子曰:學而時習之，不亦說乎?	Đức Khổng tử nói: “Học rồi mà tùy thời ôn tập, lại chẳng đẹp lòng sao?
子貢曰：夫子溫，良，恭，儉，讓以得之。	Thầy Tử Cống nói: “Thầy ta thì ôn hoà, lương thiện, cung kính, kiệm ước, khiêm nhượng, nhờ đó mà được mời nghe.
夫子之求之也，其諸異乎人之求之與!	Cách cầu nghe của thầy ta, chẳng phải khác với cách cầu nghe của người khác đó sao?”.
子曰：父在，觀其志。	Đức Khổng tử nói: “Cha còn, hãy xem chí hướng của người.
父沒，觀其行。	Cha mất, hãy xem hành vi của người.
三年無改於父之道，可謂孝矣。	Trong ba năm, không thay đổi đường lối của cha, có thể gọi là hiếu vậy.”.
有子曰：禮之用，和為貴；先王之道，斯為美，小大由之。	Thầy Hữu Tử nói: “Chỗ dùng của lễ, hoà hợp là quí; đường lối của các vua đời trước là dùng lễ khiến cho tốt đẹp; việc lớn việc nhỏ đều do đó.
有所不行，知和而和，不以禮節之，亦不可行也。	Có chỗ không làm là: biết hoà để hoà hợp nhưng không lấy lễ để điều tiết thì cũng không nên làm.”.
有子曰：信近於義，言可復也；恭近於禮，遠恥辱也。	Thầy Hữu Tử nói: “Điều hứa hẹn gần với điều nghĩa, thì lời nói mới có thể hoàn thành được; sự cung kính gần gũi với điều lễ, thì xa được điều sỉ nhục.
因不失其親，亦可宗也。	Nhân vì không đánh mất người thân của mình, cũng có thể đứng đầu một dòng dõi.”.
子曰：君子食無求飽，居無求安，敏於事而慎於言，就有道而正焉，可謂好學也已。	Đức Khổng tử nói: “Người quân tử ăn không cầu no, ở không cầu yên, gắng sức trong việc làm mà thận trọng trong lời nói, đến với người có đạo đức để trở nên chính đáng; có thể gọi là người hiếu học vậy.”.
子貢曰：貧而無諂，富而無驕，何如？	Thầy Tử Cống nói: “Nghèo mà không nịnh hót, giàu mà không ngạo mạn, như vậy là thế nào?”.
子曰：可也。	Đức Khổng tử nói: “Khá đấy.
未若貧而樂，富而好禮者也。	[Nhưng] chưa bằng nghèo mà vui, giàu mà ưa thích điều lễ.”.
子貢曰：詩云：“如切如磋，如琢如磨。”其斯之謂與？	Thầy Tử Cống nói: “Kinh Thi rằng: ‘Như cắt như chạm; như giũa như mài.’ Cũng có nghĩa như thế ư?”.
子曰：賜也，始可與言詩已矣!	Đức Khổng tử nói: “Này Tứ, thật khá là người đầu tiên đáng nghe nói về Kinh Thi.
告諸往而知來者。	Mới nói về việc trước mà đã biết việc sau.”.
子曰：不患人之不己知，患不知人也。	Đức Khổng tử nói: “Chớ lo người không biết mình, hãy lo mình không biết người thôi.”.
子曰為政以德，譬如北辰，居其所而眾星共之。	Đức Khổng tử nói: “Làm chính trị dùng đạo đức, ví như sao Bắc đẩu, ở chỗ của mình mà các sao khác chầu về.”.
子曰：詩三百，一言以蔽之，曰思無邪。	Đức Khổng tử nói: “Kinh Thi có ba trăm thiên, một lời bao trùm được hết, đó là: “Tư tưởng không lệch lạc.”.
子曰：道之以政，齊之以刑，民免而無恥；道之以德，齊之以禮，有恥且格。	Đức Khổng tử nói: “Dẫn dắt bằng biện pháp chính trị, ổn định bằng hình luật thì dân tránh được lỗi nhưng không biết xấu hổ. Dẫn dắt bằng đạo đức, ổn định bằng lễ giáo thì dân biết xấu hổ mà lại có khuôn phép chính đáng.”.
子曰：吾十有五而志於學，三十而立，四十而不惑，五十而知天命，六十而耳順，七十而從心所欲不踰矩。	Đức Khổng tử nói: “Ta mười lăm tuổi chuyên chú vào việc học, ba mươi tuổi thì vững vàng, bốn mươi tuổi thì không ngờ vực, năm mươi tuổi thì biết mệnh trời, sáu mươi tuổi thì nghe theo, bảy mươi tuổi theo lòng muốn của mình mà không vượt qua khuôn phép.”.
孟懿子問孝，子曰：無違。	Mạnh Ý Tử hỏi về hiếu, Đức Khổng tử nói: “Không trái ngược.”.
樊遲御，子告之曰：孟孫問孝於我，我對曰：無違。	Phàn Trì đánh xe, Đức Khổng tử nói cho biết: “Mạnh Tôn hỏi ta về hiếu; ta nói rằng: “Không trái ngược.”.
樊遲曰：何謂也？	Phàn Trì thưa: “Như thế nghĩa là gì?”.
子曰：生，事之以禮；死，葬之以禮，祭之以禮。	Đức Khổng tử nói: “Cha mẹ còn sống, phụng sự cho hợp lễ; từ trần, mai táng cho hợp lễ; [về sau] cúng tế cho hợp lễ.”.
孟武伯問孝。子曰：父母唯其疾之憂。	Mạnh Võ Bá hỏi về đạo hiếu, Đức Khổng tử nói: “Cha mẹ chỉ lo buồn về bệnh tật của con.”.
子游問孝。子曰：今之孝者，是謂能養。	Thầy Tử Du hỏi về hiếu, Đức Khổng tử nói: “Đời nay cho rằng hiếu là có thể nuôi nấng cha mẹ.
至於犬馬，皆能有養；不敬，何以別乎？	Đến như chó ngựa, đều có thể được nuôi nấng. Không có lòng tôn kính, lấy gì để phân biệt?”.
子夏問孝。子曰：色難。	Thầy Tử Hạ h ỏi về hiếu, Đức Khổng tử nói: “Nét mặt mới khó.
有事，子服其勞;有酒食，先生饌，曾是以為孝乎？	Có việc, con cái vất vả phục vụ; có rượu, cơm, mời cha mẹ ăn, chừng ấy đã đủ là hiếu sao?”.
子曰：視其所以，觀其所由，察其所安，人焉瘦哉？	Đức Khổng tử nói: “Nhìn việc làm của người, xem lý do việc làm của người, xét sự an vui trong việc làm của người, người ta giấu giếm sao được?
人焉瘦哉？	Người ta giấu giếm sao được?”.
子曰：溫故而知新，可以為師矣。	Đức Khổng tử nói: “Ôn lại điều cũ mà biết được điều mới, có thể làm thầy được.”.
子曰：君子不器。	Đức Khổng tử nói: “Người quân tử không phải là khí cụ.”.
子貢問君子。	Thầy Tử Cống hỏi về người quân tử.
子曰：先行其言，而後從之。	Đức Khổng tử nói: “Thi hành trước cái lời của mình rồi mới nói theo sau.”.
子曰：君子周而不比，小人比而不周。	Đức Khổng tử nói: “Người quân tử cư xử đồng đều mà không về hùa; kẻ tiểu nhân về hùa mà không cư xử đồng đều.”.
子曰：學而不思則罔，思而不學則殆。	Đức Khổng tử nói: “Học mà không suy nghĩ thì bị rối rắm; suy nghĩ mà không học thì bị nhọc mệt.”.
子曰：攻乎異端，斯害也已。	Đức Khổng tử nói: “Công kích đầu mối khác, điều ấy có hại mà thôi.”.
子曰：由，誨女知之乎？	Đức Khổng tử nói: “Này Do! Có muốn [ta] dạy cho ngươi thế nào là biết chăng?
知之為知之，不知為不知，是知也。	Biết thì nhận là biết; không biết thì nhận là không biết, như vậy mới thật là biết vậy.”.
子張學干錄。	Thầy Tử Trương học để cầu bổng lộc.
子曰：多聞闕疑，慎言其餘，則寡尤；多見闕殆，慎行其餘，則寡悔。	Đức Khổng tử nói: “Nghe cho nhiều, bỏ trống điều nghi ngờ, còn lại thận trọng lời nói, thì ít lầm lỗi. Xem cho nhiều, bỏ qua điều nguy hại, còn lại thận trọng hành động, thì ít phải ăn năn.
言寡尤，行寡悔，祿在其中矣！	Lời nói ít lầm lỗi, hành động ít phải ăn năn, bổng lộc ở trong đó vậy.”.
哀公問曰：何為則民服？	Vua Ai Công hỏi rằng: “Làm sao để dân tuân theo?” Đức Khổng tử đáp rằng: “Cất nhắc người ngay thẳng, tách rời kẻ gian tà thì dân tuân theo.
孔子對曰：舉直錯諸枉，則民服；舉枉錯諸直，則民不服。	Cất nhắc kẻ gian tà, tách rời người ngay thẳng thì dân không tuân theo.”.
季康子問：使民敬忠以勸，如之何？	Quí Khương tử hỏi: “Muốn khiến cho dân kính trọng, trung thành, khuyên nhủ lẫn nhau thì làm thế nào?”.
子曰：臨之以莊，則敬；孝慈，則忠；舉善而教不能，則勸。	Đức Khổng tử nói: “Đến với dân bằng sự trang trọng, thì dân kính trọng; hiếu thảo, nhân từ thì dân trung thành; đề cao điều thiện mà dạy dỗ những người kém cỏi, thì dân khuyên nhủ lẫn nhau.”.
或謂孔子曰：子奚不為政？	Có người hỏi Đức Khổng tử rằng: “Sao thầy chẳng làm chính trị?”.
子曰：書云孝乎：惟孝友于兄弟，施於有政。是亦為政，奚其為為政？	Đức Khổng tử nói: “Kinh Thư nói về hiếu thế này: ‘Chỉ riêng việc hiếu thảo, thuận hoà với anh em là có thi hành chính trị.’ Thế cũng là làm chính trị, sao phải ra làm mới là làm chính trị?”.
子曰：人而無信，不知其可也！	Đức Khổng tử nói: “Người mà không giữ điều hẹn ước, thật không biết có thể làm được gì!
大車無輗，小車無軏，其何以行之哉？	[Như] xe lớn mà không có đòn gỗ ngang, xe nhỏ mà không có đòn gỗ cong, làm sao có thể đi được?”.
子張問：十世可知也？	Thầy Tử Trương hỏi: “Mười triều đại có thể biết được chăng?”.
子曰：殷因於夏禮，所損益可知也；周因於殷禮，所損益可知也；其或繼周者，雖百世可知也。	Đức Khổng tử nói: “Nhà Ân nương theo hình thức cai trị của nhà Hạ, những chỗ bớt thêm có thể biết được. Nhà Chu nương theo hình thức cai trị của nhà Ân, những chỗ bớt thêm có thể biết được. Triều đại nào đó nối tiếp nhà Chu, tuy trăm triều đại đều có thể biết được.”.
子曰：非其鬼而祭之，諂也。	Đức Khổng tử nói: “Chẳng phải vong linh tổ tiên mình mà cúng tế, ấy là nịnh bợ.
見義不為，無勇也。	Thấy việc nghĩa mà không làm, ấy là không có ý chí mạnh mẽ.”.
孔子謂季氏：八佾舞於庭，是可忍也，孰不可忍也？	Đức Khổng tử bảo họ Quí: “Múa tám hàng ở sân miếu, điều ấy có thể nỡ làm thì điều gì không nỡ làm?”.
三家者以雍徹。	Ba nhà lấy Ung thi để dẹp đồ tế.
子曰：“相維辟公，天子穆穆。奚取於三家之堂？”	Đức Khổng tử nói: “’Duy vua chư hầu trợ tế, Thiên tử tỏ lòng cung kính!’ Sao lại dùng Ung thi để dẹp đồ tế ở miếu đường ba nhà?”.
子曰：人而不仁，如禮何？	Đức Khổng tử nói: “Người mà không có lòng nhân, hành lễ được sao?
人而不仁，如樂何？	Người mà không có lòng nhân, tấu nhạc được sao?”.
林放問禮之本。	Lâm Phỏng hỏi về gốc lễ.
子曰：大哉問！	Đức Khổng tử nói: “Câu hỏi lớn lao thay.
禮，與其奢也，寧儉。喪，與其易也，寧戚。	Lễ, ví bằng xa xỉ, thà tiết kiệm còn hơn; tang, ví bằng coi thường, thà thương xót còn hơn.”.
子曰：夷狄之有君，不如諸夏之亡也。	Đức Khổng tử nói: “Những rợ Di, Địch còn có vua, chẳng như các nước ở Hoa Hạ bỏ mất vua.”.
季氏旅於泰山。	Họ Quí tế thần ở Thái Sơn.
子謂冉有曰：女弗能救與？	Đức Khổng tử bảo Nhiễm Hữu rằng: “Ngươi không thể ngăn cản được ư?”.
對曰：不能。子曰：嗚呼！	Nhiễm Hữu đáp: “Không thể được.” Đức Khổng tử nói: “Than ôi!
曾謂泰山不如林放乎？	Đã từng cho rằng [thần núi] Thái Sơn chẳng bằng Lâm Phỏng sao?”.
子曰：君子無所爭，必也射乎！	Đức Khổng tử nói: “Bậc quân tử không có chuyện tranh giành; ắt có thì ở cuộc bắn thôi.
揖讓而升，下而飲，其爭也君子。	Vái chào nhún nhường khi lên, xuống thì mời uống. Tranh giành như thế là bậc quân tử.”.
子夏問曰：“巧笑倩兮，美目盼兮，素以為絢兮。”何謂也？	Thầy Tử Hạ hỏi rằng: “Cười khéo xinh xắn thay, mắt đẹp long lanh thay, trong trắng mà làm nên sặc sỡ”; ý nghĩa thế nào vậy?”.
子曰：繪事後素。	Đức Khổng tử nói: “Vẽ vời nên được theo sau cái nền trong trắng.”.
曰：禮後乎？	Thưa rằng: “Việc lễ thành tựu sau chăng?”.
子曰：起予者商也。	Đức Khổng tử nói: “Khởi phát được ý ta ấy là trò Thương vậy.
始可與言詩以矣。	Ban đầu như thế mới có thể cùng nói về Kinh Thi được.”.
子曰：夏禮，吾能言之，杞不足徵也。	Đức Khổng tử nói: “Lễ nhà Hạ, ta có thể nói được, nhưng nước Kỷ không đủ để dẫn chứng.
殷禮，吾能言之，宋不足徵也。	Lễ nhà Ân, ta có thể nói được, nhưng nước Tống không đủ để dẫn chứng.
文獻不足故也。	Những văn kiện và người hiền không đủ để nêu bằng cớ nữa.
足，則吾能徵之矣。	Nếu đủ thì ta có thể dẫn chứng ra vậy.”.
子曰：禘,自既灌而往者，吾不欲觀之矣！	Đức Khổng tử nói: “Lễ tế Đế, từ khi rót rượu trở đi, ta không muốn xem nữa!”.
或問禘之說。	Có người hỏi về học thuyết tế Đế.
子曰：不知也。	Đức Khổng tử nói: “Không biết nữa.
知其說者之於天下也，其如示諸斯乎？指其掌。	Nếu biết học thuyết ấy mà đem ra thiên hạ thì cũng như nhìn xem ở cái này chăng?” Ngài chỉ vào bàn tay của mình.
祭如在，祭神如神在。	Cúng tế như có sự hiện diện; cúng tế thần linh như có thần linh hiện diện.
子曰：吾不與祭，如不祭。	Đức Khổng tử nói: “Ta không tham dự cúng tế, thấy như không cúng tế.”.
王孫賈問曰：“與其媚於奧，寧媚於造。”何謂也？	Vương Tôn Giả hỏi rằng: “Đi nịnh thần Áo, thà nịnh thần Táo.” Ý nghĩa thế nào vậy?”.
子曰：不然，獲罪於天，無所禱也。	Đức Khổng tử nói: “Không phải vậy. Đã mắc tội với Trời thì không chỗ nào có thể cầu khấn được.”.
子曰：“周監於二代，郁郁乎文哉！	Đức Khổng tử nói: “Nhà Chu coi xét ở hai triều đại. Văn vẻ rực rỡ thay!
吾從周。”	Ta theo nhà Chu.”.
子入大廟，每事問。	Đức Khổng tử vào nhà Thái miếu, mỗi việc đều hỏi.
或曰：孰謂鄒人之子知禮乎？	Có người nói: “Ai bảo người ấp Trâu biết lễ?
入大廟，每事問。	Vào nhà Thái miếu, việc gì cũng hỏi.”.
子聞之曰：是禮也！	Đức Khổng tử nghe thấy bèn nói: “Thế là lễ vậy.”.
子曰：射不主皮，為力不同科，古之道也。	Đức Khổng tử nói: “Bắn không nhằm xuyên đích, vì sức không cùng thứ bậc với nhau. Đường lối xưa như vậy.”.
子貢欲去告朔之餼羊。	Thầy Tử Cống muốn bỏ con dê sống trong lễ Cốc Sóc.
子曰：賜也！爾愛其羊，我愛其禮。	Đức Khổng tử nói: “Này Tứ, nhà ngươi quí con dê, ta thì quí buổi lễ.”.
子曰：事君盡禮，人以為諂也。	Đức Khổng tử nói: “Phục vụ vua mà giữ trọn lễ, người ta lại cho là nịnh hót.”.
定公問：君使臣，臣事君，如之何？	Vua Định Công hỏi: “Vua sai khiến bầy tôi, bầy tôi phục vụ vua, như thế nào?”.
孔子對曰：君使臣以禮，臣事君以忠。	Đức Khổng tử trả lời rằng: “Vua sai khiến bầy tôi theo lễ, bầy tôi phục vụ vua thì hết bổn phận.”.
子曰：關雎，樂而不淫，哀而不傷。	Đức Khổng tử nói: “Thơ Quan thư, vui mà không quá trớn, buồn mà không tổn hại.”.
哀公問社於宰我。	Vua Ai Công hỏi thầy Tể Ngã về đền xã.
宰我對曰：夏后氏以松，殷人以柏，周人以栗,曰：“使民戰栗。”	Thầy Tể Ngã đáp rằng: “Triều đại nhà Hạ trồng cây thông, người nhà Ân trồng cây bách, người nhà Chu trồng cây giẻ, nói rằng: “Để khiến cho dân run sợ.”.
子聞之，曰：成事不說，遂事不諫，既往不咎。	Đức Khổng tử nghe chuyện ấy, nói rằng: “Việc đã thành không bàn bạc nữa, việc đã trót làm không can gián nữa, chuyện đã qua không trách lỗi nữa.”.
子曰：管仲之器小哉！	Đức Khổng tử nói: “Độ lượng của Quản Trọng nhỏ nhoi thay!”.
或曰：管仲儉乎？	Có người nói: “Quản Trọng có tiết kiệm chăng?”.
曰：管氏有三歸，官事不攝，焉得儉？	Đức Khổng tử nói: “Họ Quản có đài Tam qui; việc quan không cho kiêm nhiệm.
然則管仲知禮乎？	Sao gọi được là tiết kiệm?” “Thế thì Quản Trọng biết lễ chăng?”.
曰：邦君樹塞門，管仲亦樹塞門。	Đáp: “Vua chư hầu dựng bình phong che cửa. Họ Quản cũng dựng bình phong che cửa.
邦君為兩君之好，有反坫，管氏亦有反坫。	Vua chư hầu thực hiện sự giao hiếu giữa hai vua (chủ và khách), có cái giá để úp chén. Họ Quản cũng có giá úp chén.
管氏而知禮，孰不知禮？	Họ Quản mà biết lễ thì còn ai không biết lễ?”.
子語魯太師樂，曰：樂其可知也。始作，翕如也。從之，純如也，皦如也，繹如也。	Đức Khổng tử bảo quan Thái sư Nhạc nước Lỗ rằng: “Có thể gọi là biết về âm nhạc như thế này: Ban đầu, khởi sự kết hợp với nhau, triển khai đều đặn, tỏ hiện rõ ràng, tiếp nối không đứt đoạn, mới là thành tựu.
以成。儀封人請見，曰：君子之至於斯也，吾未嘗不得見也。	Viên quan giữ bờ cõi ở ấp Nghi xin ra mắt [Đức Khổng tử], nói rằng: “Bậc quân tử nào đến đây, tôi chưa từng không được ra mắt.” Các người đi theo [Đức Khổng tử] cho vào yết kiến.
從者見之，出曰：二三子何患於喪乎？	Trở ra, ông nói: “Các ông lo lắng việc ngài mất chức sao?
天下之無道也久矣，天將以夫子為木鐸。	Thiên hạ không có đạo đã lâu rồi. Trời sắp dùng Phu tử làm cái mõ gỗ đấy.”.
子謂韶：盡美矣，又盡善也。謂武：盡美矣，未盡善也。	Đức Khổng tử bình luận về nhạc Thiều rằng: “Hay hết mức, lại tốt lành trọn vẹn.” [Ngài] bình luận về nhạc Võ rằng: “Hay hết mức, nhưng chưa trọn vẹn tốt lành.”.
子曰：居上不寬，為禮不敬，臨喪不哀，吾何以觀之哉！	Đức Khổng tử nói: “Ở bậc trên mà chẳng khoan dung, hành lễ mà chẳng cung kính, có tang mà chẳng buồn thương, ta làm sao quan niệm nổi?”.
子曰：里仁為美。擇不處仁，焉得知？	Đức Khổng tử nói: “Xóm có đức nhân thì tốt đẹp, chọn lựa mà không ở nơi có nhân, sao được gọi là sáng suốt?”.
子曰：不仁者，不可以久處約，不可以長處樂。	Đức Khổng tử nói: “Người không có đức nhân không thể ở lâu trong cảnh cùng túng, không thể ở mãi trong niềm vui.
仁者安仁；知者利仁。	Người có đức nhân an ổn trong đức nhân, người trí vận dụng đức nhân để được lợi.”.
子曰：唯仁者，能好人，能惡人。	Đức Khổng tử nói: “Chỉ người có đức nhân mới biết ưa người, mới biết ghét người.”.
子曰：苟志於仁矣，無惡也。	Đức Khổng tử nói: “Nếu có ý chí hướng về đức nhân thì không có điều xấu.”.
子曰：富與貴，是人之所欲也，不以其道得之，不處也。	Đức Khổng tử nói: “Giàu và sang, đó là điều ham muốn của con người, nhưng không do đạo lý mà được thì không lấy.
貧與賤，是人之所惡也，不以其道得之，不去也。	Nghèo và hèn, đó là điều chê ghét của con người, nhưng không do đạo lý mà được kh ỏi, thì không bỏ.
君子去仁，惡乎成名？	Người quân tử mà bỏ đức nhân, than ôi nên danh sao được?
君子無終食之間違仁，造次必於是，顛沛必於是。	Người quân tử không làm trái đức nhân dù chỉ trong khoảng một bữa ăn. Vội vàng cũng thế, hoạn nạn cũng thế.”.
子曰：我未見好仁者，惡不仁者。	Đức Khổng tử nói: “Ta chưa thấy người ưa thích đức nhân, chê ghét điều bất nhân.
好仁者，無以尚之；惡不仁者，其為仁矣，不使不仁者加乎其身。	Người ưa thích đức nhân không lấy gì đặt trên đức nhân. Người chê ghét điều bất nhân, khi làm điều nhân, không để cho điều bất nhân dính bén vào mình.
有能一日用其力於仁矣乎？	Có ai suốt ngày dùng hết sức làm điều nhân chăng?
我未見力不足者。	Ta chưa thấy ai không đủ sức.
蓋有之矣，我未之見也！	Bởi vì có chăng, ta chưa được thấy.”.
子曰：人之過也，各於其黨。	Đức Khổng tử nói: “Sự thái quá của con người đều ở về phái của mình.
觀過斯，知仁矣。	Xem xét sự thái quá ấy thì biết đức nhân vậy.”.
子曰：朝聞道，夕死可矣！	Đức Khổng tử nói: “Sớm mai nghe đạo, chiều tối chết cũng được.”.
子曰：士志於道，而恥惡衣，惡食者，未足與議也！	Đức Khổng tử nói: “Kẻ sĩ có chí hướng về đạo mà hổ thẹn về chuyện áo xấu, cơm thô thì chưa đủ để cùng bàn luận.”.
子曰：君子之於天下也，無適也，無莫也，義之與比。	Đức Khổng tử nói: “Người quân tử ở trong thiên hạ, không theo hẳn, không bỏ hẳn, cùng sánh với nghĩa mà thôi.”.
子曰：君子懷德，小人懷土。	Đức Khổng tử nói: “Người quân tử nghĩ đến đạo đức, kẻ tiểu nhân nghĩ đến chỗ ở.
君子懷刑，小人懷惠。	Người quân tử nghĩ đến hình phạt, kẻ tiểu nhân nghĩ đến ban ơn.”.
子曰：放於利而行，多怨。	Đức Khổng tử nói: “Nương theo lợi mà hành động thì nhiều oán thù.”.
子曰：能以禮讓為國乎，何有？	Đức Khổng tử nói: “Cần lấy sự cư xử tốt đẹp, nhún nhường mà làm việc nước thôi, có chăng?
不能以禮讓為國，如禮何？	Không cần lấy sự cư xử tốt đẹp, nhún nhường mà làm việc nước, như thế là lễ chăng?”.
子曰：不患無位，患所以立。	Đức Khổng tử nói: “Chớ lo không chức vị; hãy lo rằng chức vị được nên.
不患莫己知，求為可知也。	Chớ lo không người biết đến mình, hãy cầu mong xứng đáng cho người biết.”.
子曰：參乎！	Đức Khổng tử nói: “Sâm này!
吾道一以貫之。	Đạo của ta chỉ có một mà xuyên suốt hết.”.
曾子曰：唯。子出，門人問曰：何謂也？	Tăng tử thưa: “Dạ.” Đức Khổng tử ra, các môn nhân hỏi rằng: “Thầy nói gì vậy?”.
曾子曰：夫子之道，忠恕而已矣！	Tăng Tử đáp: “Đạo của Thầy là trung thứ mà thôi.”.
子曰：君子喻於義，小人喻於利。	Đức Khổng tử nói: “Quân tử hiểu rõ về điều nghĩa, tiểu nhân hiểu rõ về điều lợi.”.
子曰：見賢思齊焉，見不賢而內自省也。	Đức Khổng tử nói: “Thấy người đức hạnh tài năng thì lo sao cho ngang bằng người; thấy người không tài đức thì [quay lại] tự xét mình.”.
子曰：事父母幾諫，見志不從，又敬不違，勞而不怨。	Đức Khổng tử nói: “Thờ phụng cha mẹ thì nhỏ nhẹ khuyên can. Thấy ý chí không theo mình thì vẫn kính trọng mà không lìa bỏ. Có chịu khó nhọc mà không oán trách.”.
子曰：父母在，不遠遊；遊必有方。	Đức Khổng tử nói: “Cha mẹ còn sống không nên đi xa; đi xa ắt phải xác định nơi chốn.”.
子曰：父母之年，不可不知也；一則以喜，一則以懼。	Đức Khổng tử nói: “Tuổi của cha mẹ không thể không biết. Một là để mừng, một là để lo sợ.”.
子曰：古者言之不出，恥躬之不逮也。	Đức Khổng tử nói: “Người xưa không nói ra lời, sợ hổ thẹn mình không theo kịp lời nói.”.
子曰：以約失之者，鮮矣！	Đức Khổng tử nói: “Người biết kiềm chế mà lỗi lầm, ít có vậy.”.
子曰：君子欲訥於言，而敏於行。	Đức Khổng tử nói: “Người quân tử muốn chậm chạp ở lời nói mà gắng sức ở việc làm.”.
子曰：德不孤，必有鄰。	Đức Khổng tử nói: “Người có đức không bị lẻ loi, ắt có láng giềng.”.
子游曰：事君數，斯辱矣。朋友數，斯疏矣。	Thầy Tử Du nói: “Thờ vua mà can gián nhiều thì bị nhục nhã; bạn bè mà can gián nhiều, thì xa cách.”.
子謂子賤：君子哉若人！	Đức Khổng tử nói về Tử Tiện rằng: Người như thế đáng bậc quân tử thay!
魯無君子者，斯焉取斯？	Nước Lỗ không có quân tử, thì sao được vậy?.
子貢問曰：賜也，何如？	Thầy Tử Cống hỏi rằng: “Tứ này như thế nào?”.
子曰：女器也。	Đức Khổng tử nói: “Nhà ngươi là dụng cụ.”.
曰：何器也？	Lại hỏi: “Dụng cụ gì?”.
曰：瑚璉也。	Đáp: “Cái bát khảm ngọc.”.
或曰：雍也，仁而不佞。	Có người nói: “Thầy Ung có lòng nhân mà không khéo nói.”.
子曰：焉用佞？	Đức Khổng tử nói: “Dùng tài khéo nói làm gì?
禦人以口給，屢憎於人。	Lấy miệng bẻm mép chống lại người, người ta luôn ghét.
不知其仁，焉用佞？	Chẳng biết trò ấy có nhân hay chăng, nhưng dùng tài khéo nói làm gì?”.
子使漆雕開仕。	Đức Khổng tử khiến thầy Tất Điêu Khai làm quan.
對曰：吾斯之未能信。子說。	[Thầy ấy] đáp lại: “Con chưa đủ tự tin.” Đức Khổng tử lấy làm vui lòng.
子曰：由也，好勇過我，無所取材。	Đức Khổng tử nói: “Trò Do dũng cảm hơn ta, nhưng không lấy đâu ra gỗ.”.
孟武伯問：子路仁乎？	Mạnh Võ Bá hỏi: “Thầy Tử Lộ có nhân chăng?”.
子曰：不知也。	Đức Khổng tử nói: “Không biết.”.
又問。	Lại hỏi nữa.
子曰：由也，千乘之國，可使治其賦也；不知其仁也。	Đức Khổng tử nói: “Trò Do, có thể cho điều khiển quân đội một nước có ngàn cỗ xe. Đức nhân của trò ấy thì [ta] không biết.” “.
