朝列大夫國子監司業兼史官修撰臣吳士連編。	triều liệt đại phu , quốc tử giám tư nghiệp , kiêm sử quan tu soạn , thần ngô sĩ liên biên.
水精從别江自莅仁入廣威山脚緣岸上喝江口出大江入陀江擊傘圓處處𮢶爲淵爲潭積水圖襲之。	thuỷ tinh theo sông khác , từ ly nhân vào chân núi quảng oai rồi theo dọc bờ lên cửa sông hát , ra sông lớn mà rẽ vào sông đà để đánh tản viên , nơi nơi đào sâu thành vực thành chằm , chứa nước để mưu đánh úp.
山精神化呼得蠻人編竹爲籬禦水以弩射之鱗介諸種中箭避走。	sơn tinh có phép thần biến hoá , gọi người man đan tre làm rào chắn nước , lấy nỏ bắn xuống , các loài có vẩy và có vỏ trúng tên đều chạy trốn cả.
終莫能犯也俗傳山精水精是後世讐每年大水常相攻云。	rốt cuộc thuỷ tinh không thể xâm phạm được núi tản viên ( tục truyền sơn tinh và thuỷ tinh từ đấy về sau đời đời thù oán , mỗi năm mùa nước to thường vẫn đánh nhau ).
傘圓乃我越巔山其靈應㝡爲顯驗。	núi tản viên là dãy núi cao của nước việt ta , sự linh thiêng rất ứng nghiệm.
媚娘既嫁山精蜀王憤怒嘱其子孫必滅文郎而併其國。	mị nương đã lấy sơn tinh , thục vương tức giận , dặn lại con cháu phải diệt văn lang mà chiếm lấy nước.
至孫蜀泮有勇畧乃攻取之。	đến đời cháu là thục phán có dũng lược , bèn đánh lấy nước.
史臣吳士連曰雄王之世建侯立屏分國爲十五部。	sử thần ngô sĩ liên nói : thời hùng vương đặt chư hầu để làm phên giậu , chia nước làm mười lăm bộ.
十五部之外各有長佐。	ở mười lăm bộ ấy đều có trưởng và tá.
而庶子以其次分治焉。	vua theo thứ bậc cắt đặt các con thứ để cai trị.
其五十子從母歸山安知不如是耶。	nói năm mươi con theo mẹ về núi , làm sao biết không phải là như thế ?.
蓋母爲君長諸子各主一方也。	vì mẹ làm quân trưởng , các con đều làm chúa một phương.
若山精水精之事亦甚恠誕信書不如無書姑述其舊以傳疑焉。	còn như việc sơn tinh , thuỷ tinh thì rất là quái đản , tin sách chẳng bằng không có sách , hãy tạm thuật lại chuyện cũ để truyền lại sự nghi ngờ thôi.
右鴻庞氏自涇陽王壬戌受封與帝宜同時傳至雄王季世當周赧王五十七年季卯終該二千六百二十二年。	trở lên là hồng bàng thị , từ kinh dương vương được phong năm nhâm tuất , cùng thời với đế nghi , truyền đến cuối thời vua hùng vương , ngang với đời noãn vương nhà chu năm thứ năm mươi bảy là năm quý mão thì hết , tất cả hai nghìn sáu trăm hai mươi hai năm.
蜀紀。	kỷ nhà thục.
安陽王。	an dương vương.
姓蜀諱泮巴蜀人也在位五十年都封溪今古螺城是也。	họ thục , tên huý là phán , người ba thục , ở ngôi năm mươi năm , đóng đô ở phong khê ( nay là thành cổ loa ).
甲辰元年。	giáp thìn , năm thứ nhất ,.
周赧王五十八年。	( chu noãn vương năm thứ năm mươi tám ).
王既併文郎國改國號曰甌貉國。	vua đã thôn tính được nước văn lang , đổi quốc hiệu là âu lạc.
初王屢興兵攻雄王雄王兵強將勇王屢敗。	trước kia vua nhiều lần đem quân đánh hùng vương , nhưng hùng vương binh hùng tướng mạnh , vua bị thua mãi.
雄王謂王曰我有神力蜀不畏乎遂廢武備而不修需酒食以爲樂。	hùng vương bảo vua rằng : " ta có sức thần , nước thục không sợ ư ? " rồi hùng vương bỏ không sửa sang võ bị , chỉ ham ăn uống vui chơi.
蜀軍逼近猶沉醉未醒乃吐血墮井薨其󰕛倒戈降蜀王。	quân thục kéo sát đến nơi , hãy còn say mềm chưa tỉnh , rồi thổ huyết nhảy xuống giếng chết , quân lính quay giáo đầu hàng thục vương.
於是築城于越裳廣千丈盤旋如螺形故號螺城又名思龍城唐人呼曰崑崙城謂其城最高也。	bấy giờ thục vương đắp thành ở việt thường , rộng nghìn trượng , cuốn tròn như hình con ốc , cho nên gọi là loa thành , lại có tên là thành tư long ( người nhà đường gọi là thành côn lôn , vì thành rất cao ).
其城築畢旋崩王患之乃齋戒禱于天地山川神祇再興功築之。	thành này cứ đắp xong lại sụt , vua lấy làm lo , mới trai giới khấn trời đất và thần kỳ núi sông , rồi khởi công đắp lại.
丙午三年東周君元年。	bính ngọ , năm thứ ba , ( động chu quân năm thứ nhất ).
春三月忽有神人到城門指城笑曰工築何時成乎。	mùa xuân , tháng ba , chợt có thần nhân đến cửa thành , trỏ vào thành , cười mà nói rằng : " đắp đến bao giờ cho xong !
王接入殿上問之答曰待江使來。	". vua mời vào điện hỏi , thần nhân trả lời : " cứ đợi giang sứ đến ".
即辭去。	rồi cáo từ đi ngay.
後日早王出城門果見金龜從東浮江來稱江使能説人言談未來事。	sáng hôm sau , vua ra cửa thành , quả thấy có con rùa vàng bơi trên sông từ phía đông đến , xưng là giang sứ , nói được tiếng người , bàn được việc tương lai.
王甚喜以金盤盛之置盤殿上。	vua mừng lắm , để vào mâm vàng , đặt mâm lên trên điện.
問城崩之由金龜曰此本土山川精氣前王子附之爲國報仇隱於七耀山。	vua hỏi về nguyên do thành sụp , rùa vàng đáp : " đó là do tinh khí núi sông vùng này bị con vua trước phụ vào để báo thù nước , nấp ở núi thất diệu.
山中有鬼是前代伶人死葬於此化爲鬼。	trong núi có con quỷ , đó là người con hát thời trước chôn ở đấy hoá làm quỷ.
山傍有舘舘主翁曰悟空者有一女并白鷄一隻是精之餘氣凣人往來至此夜宿必死鬼害之也。	cạnh núi có cái quán , chủ quán tên là ngộ không , có một đứa con gái và một con gà trắng , đó là dư khí của tinh , phàm người qua lại ngủ đêm ở đấy đều phải chết vì bị quỷ làm hại.
所以能嘯聚成群墮壞其城。	chúng có thể gọi nhau họp đàn lũ , làm cho sụp thành.
若殺白鷄除此精氣則其城自爾完固矣。	nếu giết con gà trắng để trừ tinh khí ấy , thì thành tự nhiên được bền vững.
王將金龜就舘假爲宿泊人。	vua đem rùa vàng đến quán ấy , giả làm người ngủ trọ.
舘主翁曰郎君即貴人也願速行勿留取禍。	chủ quán nói : " ngài là quý nhân , xin đi ngay , chớ lưu lại đây mà bị hoạ ".
王笑曰死生有命鬼魅何能爲。	vua cười nói : " sống chết có mệnh , ma quỷ làm gì nổi ?
乃留宿焉。	". rồi ngủ lại quán.
夜聞鬼精從外來呼開門金歸叱之鬼不能入鷄鳴時󰕛鬼走散。	đến đêm nghe tiếng tinh quỷ từ ngoài đến gọi mở cửa , rùa vàng liền quát mắng , quỷ không vào được , đến khi gà gáy thì lũ quỷ tan chạy hết.
金龜請王追躡之。	rùa vàng xin vua đuổi theo.
至七耀山精氣收藏殆盡王還舘。	tới núi thất diệu thì tinh khí biến mất , vua trở về quán.
明且舘主翁以爲王必死呼人就舘欲行收葬。	sáng sớm , chủ quán tưởng vua đã chết rồi , gọi người đến để khâm liệm đem chôn.
見王欣笑語趍拜曰郎君安得若此必聖人也。	thấy vua vẫn vui vẻ cười nói , chủ quán liền sụp lạy nói : " ngài làm sao được như thế , tất phải là thánh nhân !
王乞取白鷄殺而祭之。	". vua xin con gà trắng giết để tế.
鷄殺女亦子。	gà chết , con gái chủ quán cũng chết theo.
即令人掘山得古樂噐及其骸骨燒碎爲灰散之江河妖氣遂絶。	vua liền sai người đào núi , thấy có nhạc khí cổ và xương người , đem đốt thành tro , rải xuống sông , yêu khí mới mất hẳn.
自此築城不過半月而成。	từ đấy , đắp thành không quá nửa tháng thì xong.
金龜辭歸。	rùa vàng cáo từ ra về.
王感謝請曰荷君之恩其城以固如有外侮何以禦之。	vua cảm tạ , hỏi rằng : " đội ơn ngài thành đắp đã vững , nếu có giặc ngoài đến , thì lấy gì mà chống giữ ? ".
金歸乃脱其爪付王曰國家安危自有天數人亦防之倘見賊來用此靈爪爲弩機向賊發箭無憂也。	rùa vàng bèn trút chiếc móng trao cho vua và nói : " nước nhà yên hay nguy đều do số trời , nhưng người cũng nên phòng bị ; nếu có giặc đến thì dùng móng thiêng này làm lẫy nỏ , nhằm vào giặc mà bắn thì không phải lo gì ".
王命臣臯魯或云皐通造神弩以爪爲機名曰靈光金爪神弩。	vua sai bề tôi là cao lỗ ( có sách chép là cao thông ) làm nỏ thần , lấy móng rùa làm lẫy , đặt tên là linh quang kim trảo thần nỏ.
唐高王平南詔兵還過武寧州夜夢異人稱高魯曰昔輔安陽王有却敵大功被貉侯譖去之没後天帝憫其無過命賜一條江山管領都統將軍征討寇賊及農時稼穡皆主之。	cao vương nhà đường dẹp nước nam chiếu , khi quân về qua châu vũ ninh , đêm nằm chiêm bao thấy có người lạ tự xưng là cao lỗ , nói : " ngày xưa giúp an dương vương , có công đánh lui giặc , bị lạc hầu gièm pha , phải bỏ đi , sau khi chết , trời thương không có tội gì , ban cho một dải núi sông này , cho làm chức quản lĩnh đô thống tướng quân , làm chủ mọi việc đánh dẹp giặc giã và mùa màng cày cấy.
今既從明公討平逆虜復至本部不告謝非禮也。	nay theo minh công đi dẹp yên quân giặc , lại trở về bản bộ , không có lời từ biệt thì không phải lễ.
庚辰三十七年秦始皇吕政二十六年。	canh thìn , năm thứ ba mươi bảy , ( tần thuỷ hoàng lữ chính năm thứ hai mươi sáu ).
秦併六國稱皇帝。	nước tần thôn tính cả sáu nước , xưng hoàng đế.
時我交趾慈廉人李翁仲身長二丈三尺少時往鄕邑供力役爲長官所笞遂入仕秦至司隷校尉。	bấy giờ người từ liêm , giao chỉ ta , là lý ông trọng người cao hai trượng ba thước , lúc ít tuổi đến hương ấp làm lực dịch , bị trưởng quan đánh , bèn bỏ sang nước tần làm quan đến chức tư lệ hiệu uý.
始皇得天下使將兵守臨洮聲振匈奴。	thuỷ hoàng lấy được thiên hạ , sai ông đem quân đóng giữ đất lâm thao , uy danh chấn động nước hung nô.
及老歸田里卒。	khi tuổi già , về làng rồi chết.
始皇以爲異鑄銅爲像置咸陽司馬門腹中容數十人潜摇動之匈奴以爲生校尉不敢犯。	thuỷ hoàng cho ông là người kỳ lạ , đúc đồng làm tượng , để ở cửa tư mã ở hàm dương , bụng tượng chứa được mấy chục người , ngầm lay thì chuyển động được , hung nô tưởng đó là hiệu uý còn sống , không dám đến xâm phạm.
唐趙昌爲交州都護常夜夢與翁仲講春秋左氏傳因訪其故宅在焉立祠𦤶祭。	( triệu xương nhà đường làm đô hộ giao châu , đêm thường nằm chiêm bao thấy cùng ông trọng giảng bàn sách xuân thu , tả truyện , nhân hỏi chỗ ở cũ , rồi dựng đền thờ.
迨高王破南詔常顯應助順高王重修祠宇雕木立像號李校尉其神祠在慈廉縣瑞香社。	khi cao vương đi đánh nam chiếu , thần thường hiển linh giúp sức cao vương cho sửa lại đền thờ , tạc gỗ làm tượng , gọi là lý hiệu uý đền ở xã thuỵ hương huyện từ liêm ).
丁亥四十四年秦始皇三十三年。	đinh hợi , năm thứ bốn mươi bốn ( tần thuỷ hoàng năm thứ ba mươi ba ).
秦發諸道逋亡人贅壻賈人爲兵使校尉屠雎將樓船之士使史祿𮢶渠運糧深入嶺南略取陸糧地置桂林今廣西明貴縣是也南海即今廣東象郡即南安以任囂爲南海尉趙佗爲龍川令竜川南海属縣領謫徒兵五十萬人戍五嶺囂佗因謀侵我。	nhà tần phát những người trốn tránh , người ở rễ , người đi buôn , ở các đạo ra làm binh , sai hiệu uý đồ thư đem quân lâu thuyền , sai sử lộc đào ngòi vận lương , đi sâu vào đất lĩnh nam , đánh lấy miền đất lục dương , đặt các quận quế lâm ( nay là huyện quý của đất minh , quảng tây ) , nam hải ( nay là tỉnh quảng đông ) và tượng quận ( tức là an nam ) ; cho nhâm ngao làm nam hải uý , triệu đà làm long xuyên lệnh ( long xuyên là thuộc huyện của nam hải ) , đem những binh phải tội đồ năm mươi vạn người đến đóng đồn ở ngũ lĩnh , ngao và đà nhân đó mưu xâm chiếm nước ta.
贅壻男無財聘以身自質於妻家曰贅壻如人身之肬贅是餘剩之物。	( chuế tế : con trai không có tiền nộp sính lễ , lấy thân ở gửi nhà vợ nên gọi là chuế tế như cái bướu ở mình người ta , là vật thừa.
陸梁地嶺南人多處山陸間其性強梁故曰陸梁。	lục lương là người lĩnh nam phần nhiều ở chỗ núi rừng , trên cạn ( lục ) , tính người mạnh tợn ( cường lương ) nên gọi là lục lương ).
辛卯四十八年秦始皇三十七年。	tân mão , năm thứ bốn mươi tám ( tần thuỷ hoàng năm thứ ba mươi bảy ).
冬十月秦始皇崩于沙丘。	mùa đông , tháng mười , tần thuỷ hoàng mất ở sa khâu.
任囂趙佗帥師來侵。	nhâm ngao và triệu đà đem quân sang xâm lấn.
佗駐軍北江僊遊山與王戰。	đà đóng quân ở núi tiên du , bắc giang đánh nhau với vua.
王以靈弩射之佗敗走。	vua đem nỏ thần ra bắn , đà thua chạy.
時囂將舟師在小江即都護府後訛爲東湖今東湖津犯土神染病歸。	bấy giờ ngao đem thuỷ quân đóng ở tiểu giang ( tức là phủ đô hộ , sau lầm là đông hồ , tức là bến đông hồ ngày nay ) , vì phạm thổ thần nên bị bệnh , phải rút về.
謂佗曰秦亡矣用計攻泮可以立國。	bảo đà rằng : " nhà tần sắp mất , dùng mưu kế đánh phán thì có thể dựng nước được ".
佗知王有神弩不可敵退守武寧山通使講和。	đà biết vua có nỏ thần , không thể địch nổi , bèn lui giữ núi vũ ninh , sai sứ đến giảng hoà.
王喜乃分平江今東岸天德江是也以北佗治之以南王治之。	vua mừng , bèn chia từ bình giang ( nay là sông thiên đức ở huyện đông ngàn ) trở lên phía bắc thuộc quyền cai trị của đà , trở về phía nam thuộc quyền cai trị của vua.
佗遣子仲始入侍宿衛求婚王女媚珠。	đà sai con là trọng thuỷ vào hầu làm túc vệ , cầu hôn con gái vua là mỵ châu.
仲始誘媚珠竊觀靈弩潜毀其機易之託以北歸省親謂媚珠曰夫婦恩情不可將亡如兩國失和南北隔别我來到此如何得相見。	trọng thuỷ dỗ mỵ châu để xem trộm nỏ thần , rồi ngầm bẻ gãy lẫy nỏ , thay cái khác vào , giả vờ về bắc thăm cha mẹ , bảo mỵ châu rằng : " ân tình vợ chồng không thể quên nhau , nếu lỡ hai nước không hoà , nam bắc cách biệt , ta lại tới đây thì làm thế nào mà tìm thấy nhau ?
媚珠曰妾有鵝毛錦褥常附於身到處拨毛置岐路以示之。	". mỵ châu nói : " thiếp có cái nệm gấm lông ngỗng , thường mang theo mình , đi đến đâu thì rút lông ngỗng rắc ở chỗ đường rẽ để làm dấu ".
仲始歸以告佗。	trọng thuỷ về báo cho đà biết.
癸巳五十年秦二世胡亥二年。	quý tỵ , năm thứ năm mươi ( tần nhị thế hồ hợi , năm thứ hai ).
任囂病且死謂佗曰聞陳勝等作亂民心爲之所附。	nhâm ngao ốm sắp chết , bảo đà rằng : " tôi nghe nói bọn trần thắng làm loạn , lòng dân chưa biết theo về đâu.
此土僻遠吾恐群盗侵犯至此欲以絶道秦所開自備待諸侯變會。	đất này ở nơi xa lánh , sợ bọn giặc xâm phạm đến đây , muốn cùng ông chặt đường ( đường vào đất việt do nhà tần mở ) , tự phòng bị , đợi xem chư hầu biến động thế nào ".
病甚曰番禺漢曰南城負山阻水東西各數千里頗有秦人相輔亦足見國興王爲一方之主也。	đến khi ốm nặng , lại nói : " đất phiên ngung ( nhà hán gọi là nam thành ) dựa núi cách sông , đông tây dài mấy nghìn dặm , vả có người tần cùng giúp , cũng đủ dựng nước , dấy vương , làm chủ một phương.
郡中長吏無足與謀者故特召公告之。	các trưởng lại trong quận này không người nào đáng cùng mưu bàn , cho nên tôi gọi riêng ông để bảo ".
囂死佗即移檄告横浦陽山潢谿關曰盗兵且至急絶道聚兵自守。	ngao chết , đà liền gửi hịch đến các cửa ải hoành phố , dương sơn , hoàng khê , nói : " quân giặc sắp đến , phải gấp chặt đường , họp binh tự giữ ".
檄至州郡皆應之。	hịch đến nơi , các châu quận đều hưởng ứng.
於是盡殺秦所至長吏以其親黨代爲守。	bấy giờ đà giết hết các trưởng lại do nhà tần đặt , đem thân thích phe cánh thay làm thú lệnh.
佗發兵攻王王不知弩機已失圍棊笑曰佗不畏吾神弩耶。	đà đem quân đến đánh vua , vua không biết lẫy nỏ đã mất , ngồi đánh cờ cười mà bảo : " đà không sợ nỏ thần của ta sao ?
佗軍逼近王舉弩已折矣。	". quân của đà tiến sát đến nơi , vua giương nỏ thì lẫy đã gãy rồi.
尋走敗坐媚珠於馬上與王南奔。	vua thua chạy , để mỵ châu ngồi trên ngựa , cùng chạy về phía nam.
仲始認鵝毛追之。	trọng thuỷ nhận dấu lông ngỗng đuổi theo.
王至海濱途窮無舟楫連呼金龜速來救我。	vua đến bờ biển , hết đường mà không có thuyền , liền gọi rùa vàng mấy tiếng : " mau đến cứu ta ! ".
金龜湧出水上叱曰乘馬後者是賊也盍殺之。	rùa vàng nổi lên mặt nước , mắng rằng : " kẻ ngồi sau ngựa là giặc đấy , sao không giết đi ?
王拨劍欲斬媚珠媚珠祝曰忠信一節爲人所詐願化爲珠玉雪此讐耻。	". vua rút gươm muốn chém mỵ châu , mỵ châu khấn rằng : " trung tín trọn tiết , bị người đánh lừa , xin hoá thành ngọc châu để rửa thù nhục này ".
