大南寔錄/大南正編列傳初集/卷01。	QUYỂN 1.
十一月，世祖推恩戚里，安遊民兵徭身稅皆免之。	Tháng 11, Thế Tổ ra ơn cho làng họ ngoại, dân làng An Du, các việc ra lính tạp dịch thân thế đều miễn cho cả.
二年春三月壬寅，尊為王太后。	Năm thứ 2, mùa xuân tháng 3, ngày Nhâm Dần, tôn làm Vương thái hậu.
冊文曰：蓋聞帝王至德要道，莫先於孝。故愛敬行於家，而風化被於國，所謂達孝者也。	Sách văn rằng: Vốn nghe: đức rất tốt của đế vương, sự cốt yếu không gì trước hơn điều hiếu, cho nên yêu kính làm ở trong nhà, mà phong hóa ngấm khắp cả nước, thế gọi là đạo hiếu suốt cả trong nước.
恭惟聖母陛下，德閥流輝，芳閨擅美。	Kính nghĩ Thánh mẫu bệ hạ, là dòng dõi nhà thế phiệt có đức tiếng thơm chuyện tốt ở chốn khuê phòng.
粵事仁考，內修壼政，雖在顛危，周還匪懈。撫育藐質，至于有成。	Kịp thời hầu đức nhân khảo sửa sang công việc trong cung cấm, tuy ở trong lúc biến nguy hầu quanh bên cạnh không lúc nào trễ biếng, vỗ nuôi thân nhỏ mọn này cho đến trưởng thành.
繼遭國難，愈篤勤斯。	Gặp trong nước có tai nạn, càng ân cần lắm.
郊外關河，莫遑啓處。宗國之憂，夙夜儆戒，以有今日。	Quan hà ngoại cõi, không lúc nào yên ổn, lo về nước nhà, sớm khuya răn sợ, để có ngày nay.
仰荷列先聖王在天之靈，相佑其成，亦惟聖母篤生教養所致。	Trên nhờ linh thiêng của các tiên thánh vương ở trên thời giúp cho thành công; cũng là do thánh mẫu sinh ra dậy nuôi được thế.
至仁大德，無德而名。	Nhân đức rất lớn không thể xưng tụng ra được.
參攷典章，徽稱敢後。謹奉金冊，上尊號為王太后，以敘崇徽，而揚懿鑠；以敦孝敬，而答慈恩。	Tham xét điển chương, danh hiệu tốt đẹp, để hậu lòng hiếu kính mà đáp lại ơn nhân tử.
於戲！	Than ôi!
尊其所親，景仰乾元之德；綏之以福，永綿履吉之祥。	Tôn kính bề thân ngửa trông đức Kiền nguyên (6) rất lớn, trời ban cho chịu nhiều điềm Lý cát (7) vô cùng.
甲辰，世祖御殿，羣臣上表稱賀，賜宴有差，下詔布告中外。	Ngày Giáp Thìn, Thể Tổ ngự ở điện, các quan dâng biểu mừng, cho ăn yến cỗ thứ bậc khác nhau. Xuống chiếu bá cáo cho trong ngoài biết.
夏四月，追贈后祖福兼為揚武功臣、開府輔國光進鎮國大將軍、錦衣衛都指揮使司都指揮使、少尉、郡公，諡敦厚；父福忠為贊治功臣、特進開府輔國上將軍、上柱國、中軍都督府掌府事、太保、綿國公，諡正直。	Mùa hạ tháng 4, truy tặng cho ông của Thái hậu là Phúc Kiêm làm Dương Vũ công, Khai phủ phụ quốc, Quang tiến trấn quốc đại tướng quân, Cẩm y vệ đô chỉ huy sứ ty. Đô chỉ huy sứ, Thiếu úy. Quận công, thụy là Đôn Hậu, cha sinh ra Thái hậu là Phúc Trang làm Tán trị công thần, Đặc tiến khai phủ quốc thượng tướng quân, Thượng trụ quốc, Trung quân, Đô đốc phủ chưởng phủ sự, Thái bảo, Miên quốc công, thụy Chính Trực.
立祠于富春，名曰毓德祠。又為馮氏立祠于安遊，授姪孫馮世抨為該隊，監守祀事。	Lập đền thờ ở Phú Xuân gọi là đền Dục Đức, lại vì họ Phùng dựng đền ở xã An Du cho điệt ôn (cháu gọi mẹ Thái hậu là cô) là Phùng Thế Bình làm Cai đội, coi giữ việc thờ tự.
〈明命十三年，改封演國公，毓德祠改為演國公祠。	(Minh Mạng thứ 13 đổi phong đền Dục Đức của Diễn quốc công, gọi là đền Diễn quốc công).
〉三年春三月，建長壽宮。冬十月，宮成，奉居焉。世祖親詣慶賀，百官及命婦各具賀箋、禮品以進。	Năm thứ 3 (1804), mùa xuân tháng 3, dựng cung Trường thọ, mùa dông tháng 10, cung làm xong rước Vương thái hậu đến ở, Thế Tổ thân đến làm lễ chúc mừng, các quan và mệnh phụ đều đem giấy mừng cùng lễ phẩm tiến lên.
〈百官進黃金二十兩、白金一百兩，命婦進黃金一十兩，白金五十兩。	(Các con tiến 20 lạng vàng, 100 lạng bạc, mệnh phụ tiến 10 lạng vàng, 50 lạng bạc).
〉五年秋七月戊申，冊尊為皇太后，冊文曰：竊聞孝必先於立愛，禮莫大於尊親。緬考常經，足徵盛典。	Năm thứ 5 (1806) mùa thu, tháng 7, ngày Mậu Thân, dâng kim sách tôn làm Hoàng thái hậu. Sách văn rằng: Trộm nghe, hiếu tất phải trước ở có lòng yêu kính, lễ không gì lớn hơn tôn bề thân, đã xét khắp đạo thường, đủ chứng tỏ điển thịnh.
欽惟王太后陛下，淑問博洽，高邁前古。厚德懿行，夷險一致。化式庭闈，利施社稷。福貽子姓，澤被臣民。	Kính nghĩa Vương thái hậu bệ hạ, tiếng tốt rộng khắp, cao hxưa: đức hậu nết tốt, lúc yên lúc nguy một mực; đứa hóa làm phép cho chốn đình vi, lợi trạch khắp cả đến nền xã tắc; phúc để lại cho con cháu, ơn ngấm khắp đến thần dân; công nhân tích lũy.
積功累仁，以有今日。	để có ngày nay.
肆臣甫協，僉言既膺，帝號深惟。	Cho nên thần (tức Thế Tổ) mới hợp lời của mọi người đã nhận danh hiệu là đế.
發育之功，與天無極。敢不推崇徽美，以答鴻慈。	Nghĩ đến công ơn sinh dục, nhưng trời không cùng, dám không tôn xưng danh hiệu tốt đẹp, để đáp lại ơn lớn.
謹奉金冊金寶，恭上尊號為皇太后。	Kính cẩn bưng sách vàng, ấn vàng kính dâng tôn hiệu làm Hoàng thái hậu.
伏惟光受鴻稱，永綏多祉。名惟德稱，長侔兩耀之輝；福自天申，益衍九如之壽。	Cúi xin nhận lấy danh hiệu to lớn chịu nhiều phúc tốt lâu dài; phúc ban từ trời, càng dài tuổi thọ, giống chín điều như (8).
庚戍，世祖御太和殿受賀，下詔布告中外。	Ngày Canh Tuất, Thế Tổ ngự điện Thái Hòa nhận lễ chúc mừng, xuống chiếu bá cáo trong ngoài biết.
六年秋七月，聖壽七旬大慶節，世祖親率羣臣行慶賀禮。	thứ 6 (1807) mùa thu tháng 7, khánh tiết lớn mừng Thánh thọ bảy mươi tuổi, Thế Tổ thân đem các quan đến làm lễ chúc mừng.
尊人府皇子皇孫、左右宮賓、文班武班、文武命婦、公姓宮屬、諸城營鎮道、宋山縣功臣後裔、黎族鄭族各進賀禮，命樂工作八佾舞，歌《萬年歡》、《天下樂》、《太平樂》之曲。	Tôn nhân phủ, hoàng tử, hoàng tôn, tá hữu cung tần, văn ban, vũ ban, văn vũ mệnh phụ, công tính, cung thuộc, các thành doanh, trấn, đạo, dòng dõi công thần ở huyện Tống Sơn, họ Lê, họ Trịnh đều dâng lễ mừng, sai nhạc công múa bát dật (9), hát khúc Vạn niên hoan, Thiên hạ lạc, Thái bình lạc.
后慈愛天至，與姊慈妃情眷愈篤。偶因微和，適妃病劇，世祖未敢以聞。及薨，后始知之，怒卻膳。	Thái hậu tính hiền từ yêu mến tự trời sinh ra, đối với chị là Từ phi, tình yêu càng quyến luyến, bỗng nhân khi Thái hậu trở trời gặp lúc Từ phi ốm kịch, Thế Tổ chưa dám tâu lên, tới khi Từ phi mất, Hậu mới biết, giận không ăn cơm.
世祖親詣請安，后曰：“老躬有一姊，病不得見，以此食不甘、寢不寧耳。”	Thế Tổ thân đến thăm sức khỏe, Hậu bảo rằng: Thân già này có một người chị, lúc ốm không được thấy. vì thế ăn không ngon, ngủ không yên.
世祖跪於階下慰請者久之，后意解，乃復膳。	Thế Tổ quỳ ở dưới thềm, yên ủi và xin lỗi hồi lâu, ý Thái hậu mới giải bèn lại ăn cơm.
十年秋九月，后不豫。	Năm thứ mười (1811) mùa thu, tháng 9, Thái hậu bị mệt nặng.
先是彗星見，侍者以聞，后愀然不樂。	Trước đây. sao chổi mọc ra, người hầu tâu lên Hậu biết, Hậu buồn rầu không vui.
一夜潛出觀之，入謂侍者曰：“彗星之見，所應當在老躬。”	Có một đêm Hậu lẻn ra xem, vào bảo người hầu rằng: "ổi hiện ra, ứng vào thân già này".
至是不豫。	Đến đây Hậu bị bệnh nặng.
己丑，后崩，壽七十有四歲，安梓宮于長壽宮。	Ngày Kỷ Sửu, Hậu mất, thọ 74 tuổi, đem quan tài để ở cung Trường Thọ.
世祖哀慟不已，命羣臣議服制。	Thế Tổ thương khóc không thôi, sai các quan bàn quy chế để tang.
朔望殷奠，設大齋壇于天姥寺。	Ngày sóc ngày vọng tế điện to, đặt bàn chay lớn ở chùa Thiên Mụ.
十一年春三月戊寅，冊上尊諡曰：懿靜惠恭安貞慈獻孝康皇后。	Năm thứ 11 (1812) mùa xuân tháng 3, ngày Mậu Dần, sách dâng tên thụy là Y Tĩnh Huệ Cung, Anh Trinh Từ Hiến, Hiếu Khang Hoàng hậu.
冊文曰：臣聞易稱成物，詩美生民。惟厚德體于至元，故徽音垂諸永世。	Sách văn rằng: thần nghe: kinh Dịch nói là thánh vật, kinh Thi khen là sinh dân, duy có đức dày thể theo đức lớn của quẻ Khôn cho nên tiếng tốt để lại đời sau mãi mãi.
欽惟大行皇太后，慈仁得乎天性；弘大配乎坤儀。	Kính nghĩa Đại hành Hoàng thái hậu, nhân từ vốn tự tính trời, rộng lớn sánh với đạo đất.
艱難居貞，勱相仁考。旣乃遭罹國步，暨臣于艱。躬健順之儀型，勖憂勤之機略。俾臣得以再造邦家，一統海宇。自非惠訓，曷克臻此。	Gian nan vẫn theo đạo thường, giúp đức nhân khảo ta đã gặp vận nước tai biến lại đến khi thần phải khó khăn, chính mình đem phép kiên thuận, khuyên thần lấy mưu lược siêng lo, khiến cho thần dựng lại được nước nhà, nhất thống được bờ cõi, không phải do tự lời dạy của hậu, sao được đến thế.
美成之化，洽于羣方。大壽之年，逾乎七袠。遽棄天下之養，為帝鄉之遊。	Đức hóa tốt đẹp khắp đến các phương, tuổi thọ đã cao quá tuần bảy chục, sao đã vội bỏ sự cung dưỡng bằng cả thiên hạ, mà đi chơi ở chốn cõi tiên.
謂天蓋高，欲酬恩而罔極。如地之載，宜述德於無疆。	Công cao như trời, muốn báo đền ơn sâu mà chẳng biết; ơn dầy như đất, nên thuật lại đức tốt đến vô cùng.
謹率羣臣，請命宗廟。恭奉金冊，上尊諡曰懿靜惠恭安貞慈獻孝康皇后。	Nay kính cẩn thân đem các quan xin mệnh lệnh ở nhà tôn miếu, kính bưng kim sách dâng lên thụy là Ý Tĩnh Huệ Cung, Anh Trinh Từ Hiến, Hiếu Khang Hoàng hậu.
伏惟懋昭靈爽，光受大名。陟配禰宮，萃歆萬禩。	Cúi xin anh linh sáng tỏ thêm lên, nhận lấy danh hiệu to lớn phối hưởng với Nễ cung (10), cùng lâm hưởng muôn thủa.
己卯，大誥中外。	Ngày Kỷ Mão, bá cáo cho trong ngoài biết.
夏四月癸丑，葬瑞聖陵〈在定門山，屬香茶縣〉。甲寅，奉神主安于長壽宮。	Mùa hạ, tháng 4 táng ở lăng Thụy Thánh (ở núi Đinh Môn, thuộc huyện Hương Trà), ngày Giáp Dần rước thần chủ để ở cung Trường Thọ.
十二年九月，大祥禮成。禮臣上言：“孝康皇后以德配德，誕毓聖躬。弘濟蒼生，利施社稷。成陛下莫大之忠孝，留後世無竆之功德。非特有功於孝康皇帝，亦有功於祖宗，有功於百姓者也。	Năm thứ 12 (1813), tháng 9, lễ đại tường xong, Lễ thần dâng nói: Hiếu Khang Hoàng hậu lấy đức sánh với đức, sinh ra bệ hạ, rộng giúp nhân dân, lợi đến xã tắc, làm nên trung hiếu cho bệ hạ không gì lớn hơn, để lại công đức vô cùng cho đời sau, không những là có công với Hiếu Khang Hoàng đế cũng có công với tổ tông, có công với trăm họ nữa.
詩云：昊天罔極，惟母之德與父同也。	Kinh Thi có nói rằng: "Hiệu thiên võng cực" (11) là nghĩa ơn đức của mẹ cũng như cha vậy.
請以禫祭後，敬奉神主陟配禰宮。”	Xin đến sau ngày tế đàm, kính rước thần chủ lên phối hưởng ở Nễ cung.
上報可。	Sớ dâng lên, bảo là phải.
十一月，禫祭，奉神主升配皇考廟。〈明命二年，改上廟號曰興祖廟。	Tháng 11, tế đàm rước thần chủ lên phối hưởng ở miếu Hoàng khảo (Minh Mạng năm thứ 2 đổi dâng miếu hiệu là miếu Hưng Tổ).
〉演國祠今由該隊尊室繡監守，歲支官錢以供祀事。	Đền Diễn quốc công nay do cai đội là Tôn Thất Tú coi giữ, hàng năm chi tiền công để cung việc tế tự.
阮慈妃。阮慈妃，孝康皇后姊也。	Nguyễn Từ Phi Từ Phi là chị Hiếu Khang Hoàng hậu.
初歸我興祖，生子三，長襄陽郡王皞[2]，次早殤，次安邊郡王旻；女二，長福祿公主玉瑜，次明義公主玉左從玉、右從睿。	Trước kia vào hầu Hưng Tổ, sinh 3 con trai: con cả là Tương Dương Quận vương, tên là Hạo, con thứ nhì chết sớm, con thứ ba là An Biên Quận vương tên là Mân, 2 con gái lớn là Phúc Lộc Công chúa Ngọc Du, con gái thứ là Minh Nghĩa Công chúa Ngọc Tuyền.
甲午之變，晦迹民間。	Khi biến loạn năm Giáp Ngọ, Phi ẩn náu ở dân gian.
己亥春，世祖高皇帝使人迎入嘉定，從孝康皇后居焉。	Mùa xuân năm Kỷ Hợi, Thế Tổ Cao Hoàng đế sai người rước vào Gia Định, ở cùng với Hiếu Khang Hoàng hậu.
嘉隆初，迎來京，從居長壽宮之後。	Buổi đầu năm Gia Long rước về kinh, theo ở sau cung Trường Thọ.
六年冬，薨。贈懿慎徽嘉慈妃，葬楊春，建祠于金龍祀之。紹治五年，迎神主祀于福祿太長公主祠所。	Mùa đông năm thứ 6 chết, tặng là Ý Thân Huy Gia Từ phi năm thứ 5 (1845) rước thần chủ thờ ở nhà thờộc Thái trưởng công chúa.
世祖承天高皇后。世祖承天高皇后宋氏，清葩貴縣人，歸國公宋福匡之女，母黎氏。	Thế Tổ Thừa Thiên Cao Hoàng hậu Thế Tổ Thừa Thiên Cao Hoàng hậu, họ Tống, là người ở quý huyện (tức huyện Tống Sơn) tỉnh Thanh Hóa, con gái Quý quốc công Tống Phúc Khuông, mẹ là họ Lê.
先是，公攜眷南入嘉定。	Trước đây. Quốc công mang gia quyến vào Gia Định.
戊戌年，后年十八，世祖高皇帝備禮聘之。	Năm Mậu Tuất, hậu 18 tuổi, Thế Tổ Cao Hoàng đế đem đủ lễ vật đến cưới, tấn phong là Nguyên phi.
晉元妃，恭慎小心，動有法度，帝甚寵重焉。	Hậu là người cung kính cẩn thận, cử động có phép tắc lễ độ, vua rất quý trọng.
生子二，長子昭[3]早殤，次子景立為東宮，有別傳。	Sinh được 2 con trai, con cả là Chiêu, chết sớm, con thứ là Cảnh, đã có truyện chép riêng.
癸卯秋，西賊寇嘉定，帝幸富國嶼。	Mùa thu năm Quý Mão, giặc Tây Sơn đến cướp thành Gia Định, vua ngự ra đảo Phú Quốc, người nước Xiêm đến đón.
暹人來迎，帝將如暹，先遣皇子景如西求援，乃出黃金鎰半以與后，謂曰：“吾兒去矣，吾且行矣。	Khi vua sắp sang Xiêm, trước hết sai Hoàng tử Cảnh sang Tây cầu viện. Bèn đem ra nửa dật vàng tốt cho Hậu, bảo rằng con ta đi rồi, ta sẽ đi đây.
妃奉國母在此，未知後會當在何處，竟在何日。其以此金留為信物。”	Phi phụng dưỡng Quốc mẫu ở đây. chưa biết sau này gặp nhau ở nơi nào và ở ngày nào, đem vàng này để làm của tin.
甲辰春，帝單舸如暹。及還，與賊戰失利，帝復如暹，駐蹕龍邱。后奉國母赴行在。丁未秋，帝自暹還，后奉國母留富國嶼。	Mùa xuân, năm Giáp Thìn (1784) vua từ nước Xiêm về, Hậu rước quốc mẫu ở lại đảo Phú Quốc.
戊申秋，克復嘉定，使人往迎之。	Mùa thu năm Mậu Thân (1788) lấy lại thành Gia Định, sai người đến rước về Gia Định.
自是帝每出征，后常隨駕。	Từ đây trở đi, mỗi khi vua đi đánh Hậu thường đi theo.
嘉隆二年三月丙辰，立為王后。	Gia Long năm thứ 2 (1803) tháng 3, ngày Bính Thân lập làm Vương hậu.
冊文曰：天道資陰養之功，化醇萬物；聖人設內輔之職，表正六宮。	Sách văn rằng: Đạo trời nhờ công khí âm để nôi, hóa tốt muôn vật; Thánh nhân đặt chức lên trong để giúp, nêu mẫu sáu cung.
稱是懿章，歸於令德。	Xướng được điều tốt đẹp ấy thuộc về người có đức hay.
眷惟元妃宋氏，琚璜美業，琬琰芳儀。濳龍初天，妹定祥貞，靜嗣徽音于京室；維鳩日邦，媛表淑勤，儉基王化於舟梁。	Nghĩ đến Nguyên phi họ Tống, công nghiệp tốt như ngọc cư ngọc hoàng, dáng nghi đẹp như ngọc uyển ngọc diễm. Lúc rồng vàng còn ẩn núp, điềm lành sớm định, đức trinh tĩnh đã nối theo tiếng hay. Ngày chim cưu về tổ xưa tiếng tốt nêu cao, nết kiệm cần đã gây nền vương hóa.
椒寔蕃而慶衍麟振；樛蔭茂而寵延魚串。	Con cháu được đông đàn, khác gì cây tiêu liêu nhiều quả, cung tần được yêu tới nhờ ở bóng cù mộc rộng che.
洎遭屯步，樂得坤朋艱關，湯斾武旄。共朕八九世先王之讎恥，迢遞蜀城秦棧，隨予三十年，隣國之風塵坎坷，愈篤堅貞婉娩。	Gặp bước gian truân, vui được vợ tốt; chật vật cờ bái vua Thang, cờ mao vua Vũ cùng trẫm rửa căm thù cho tiên vương tám chín đời; Xa xôi thành nước Thục, đường nước Tần theo ta chịu phong trần ba mươi năm ở nước bạn. Vất vả càng thêm kiên trì.
夙閑禮度，助孝思於長樂，親調御膳之珍甘；分苦節於會稽，自織同袍之絺綌。	Mềm dịu vốn quen lễ độ, có lòng hiếu thảo với cung Trường Lạc (12), thân làm đồ ngon đồ ngọt trong bữa cơm. Chia sự đắng cay ở núi Cối Kê (13), tự dệt vải mỏng vải dầy cho quân lính.
永巷脫簪，多資補袞；明庭望燎，屢贊求衣。	Bỏ trâm (14) ra chốn ngõ sâu, phần nhiều khuyên chăm chính sự.
朕思九廟之蒸嘗，香襪同懷於履露；朕念六軍之勞苦，翠娥竝蹙於聞鼙。	Trẫm nghĩ tế chứng thường nơi chín miếu, chân dày sương cùng nhớ đến tổ tông. Trẫm nghĩ sự lao khổ của sáu quân, nghe trống trận cũng chau mày thương tướng sĩ.
飽殷憂而淵塞秉心，遵晦養而和柔著德。	Nhiều lo toan và trong lòng thành thực sâu xa, vẫn giấu kín mà tỏ đức ôn hòa mềm dẻo.
當熊衞漢，不愧馮姬；走馬造周，有光姜女。	Chắn gấu (15) để giữ vua nhà Hán, không hổ với Phùng Cơ, chạy ngựa (16) cùng dựng nghiệp nhà Chu, có phần hơn Khương Nữ.
乾坤再造，既同濟於艱難；日月竝明，宜共享其富貴。	Kiền khôn gây dựng lại, đã giúp nhau trong lúc gian nan; nhật nguyệt cùng sáng soi, cùng hưởng trong khi phú quý.
載稽古典，用錫徽稱。	Bèn xét điển đời cổ ban cho danh hiệu hay.
奉王太后慈命，特遣掌神武軍范文仁、禮部鄧德超捧金冊琮寶，立為王正后。	Vâng mệnh của Vương thái hậu, sai viên Chưởng thần vũ quân là Phạm Văn Nhân, Lễ bộ là Đặng Đức Siêu bưng sách vàng ấn ngọc lập làm Vương chính hậu Duy có nghiêm kính có thể thờ được người trên.
夫惟肅恭，可以事上；夫惟仁慈，可以接下。	Nhân từ có thể tiếp được kẻ dưới. Hậu siêng năng thì người không dám biếng lười.
后克勤人用弗怠，后克約人用弗泰。	Hậu kiệm ước thì người không dám xa xỉ.
后其念茲，以承尊廟之慶，以綏子孫之庥。	Hậu nên nghĩ về điều ấy. để chịu phúc của nhà tôn miếu, để được tốt cho con cháu sau.
三年，追贈四代。高祖宋福德為該奇、侯爵，曾祖宋福揚為掌奇、爵郡公，祖宋福誠為掌營、爵郡公，父宋福匡為太保、爵國公。立祠于富春，名曰宋公祠。	Năm thứ 3 (1804) truy tặng bốn đời: Cao tổ là Tống Phúc Đức làm Cai cơ, tước Hầu; Tằng tổ là Tống Phúc Dương làm Chưởng cơ, tước Quận công; ông là Tống Phúc Thành làm Chưởng doanh, tước Quận công; cha là Tống Phúc Khuông làm Thái bảo, tước Quốc công, lập đền ở Phú Xuân, gọi là đền Tống công.
〈明命十三年，改封歸國公，宋公祠後移于金龍，改名歸國公祠。	(Năm Minh Mạng thứ 13, đổi phong là Quy quốc công, đền Tống công sau dời đến Kim Long, đổi tên là đền Quy quốc công).
〉五年秋七月己未，冊立為皇后。	Năm thứ 5 (1806) mùa thu, tháng 7, ngày Kỷ Mùi, lập làm Hoàng hậu.
冊文曰：朕惟純坤之體，配乎乾元；王化之始，基於內治。同尊竝貴，於禮為正。	Sách văn rằng: Trộm nghĩ thế của thuần khôn, sánh với kiền nguyên, bắt đầu vương hóa, gây ở nội trị: cùng tôn cùng quý đối với lễ là trinh.
睠惟王后宋氏，義聞汪洽，淑行純備。司朕壼職，穆然中饋。	Nghĩ đến vương hậu họ Tống: tiếng nghĩa rộng khắp, nết tốt đầy đủ: giữ việc trong cung cho Trẫm, chốn nấu ăn được nghiêm lặng.
曩在播越，朕焦勞玉外，后勤相于內。艱難共濟，夷險備嘗。祁僮致敬，甘旨盡孝。恩施子姓，澤被戎伍，溫柔恭儉，以弘相朕。珩瑀之懿，式範庭闈。關雎之風，化成天下。修齊治平，寔有賴焉。	Lúc trước trong khi xiêu giạt, trẫm lo nghĩ khó nhọc ở ngoài, Hậu siêng năng giúp đỡ ở trong; gian nan cùng giúp lẫn nhau, hiểm bằng nếm đủ tất cả; khoan thai khép nép rất là kính, tiến dâng ngon ngọt hết đạo hiếu; ơn huệ để cho con cháu, đức trạch khắp tới quân nhưng; ôn hòa kính cẩn kiệm ước đã giúp đỡ ta, đức tốt như ngọc hành ngọc vũ làm khuôn phép trong cung cấm, thói hay ở thơ Quang thủ đem giáo hóa cả thiên hạ, tu tề trị bình, cũng nhờ ở đấy.
朕甫協廷臣奏請，既正帝號。言念后位于內，與朕同治。宮中之職，必本諸朝。	Trẫm mới hợp lời đình thần tâu xin, đã chính vì hoàng đế; nghĩ tới ngôi hậu ở trong cùng trẫm cùng trị, chúc ở trong cung; tốt ở triều đình là gốc.
朕已上白皇太后，旨特遣掌神武軍兼神策軍謙郡公范文仁持節、戶部尚書積善侯阮奇計為副，齎金冊金寶晉封為皇后，以隆位號。	Đã dâng lời tâu xin chỉ Hoàng thái hậu, sai Chưởng thần vũ quân kiêm coi quân thần sách là Kiêm quận công Phạm Văn Nhân mang cờ tiết, Hộ bộ thượng thư. Tích thiện hầu là Nguyễn Kỳ Kế làm phó, mang sách vàng ấn vàng, tấn phong làm Hoàng hậu5; cho long trọng vị hiệu.
后其膺此榮稱，勖修內政。	Hậu nên nhận lấy danh hiệu cao quý ấy.
恪事宗廟，母儀臣庶。祗勤于德，每思義而有光；克篤其慶，永承庥于無斁。	sửa sang chính sự ở trong cung, kính cẩn việc thờ phụng ở nhà tôn miếu, làm khuôn phép người mẹ cho thần dân, kính siêng đức nghĩ điều nghĩa cho sáng thêm; được hưởng nhiều phúc, giữ tốt mãi không chán.
十三年春二月乙未，后崩，壽五十有四歲，安梓宮于坤元殿。	Năm thứ 13 (1814) mùa xuân, tháng 2 ngày Ất Mùi Hậu mất, thọ 54 tuổi, để quan tài ở điện Khôn nguyên.
