武功耆定。	vũ công đại định .
春追尊皇祖建王為德宗建皇帝皇父荘定大王為明宗哲皇帝仍勑禮部尚書譚慎徽號定廟諱御名。	mùa xuân , truy tôn hoàng tổ kiến vương làm đức tông kiến hoàng đế , hoàng phụ trang định đại vương làm minh tông triết hoàng đế , lại sai lễ bộ thượng thư đàm thận huy hiệu định miếu huý và ngự danh .
太師鄭檢議分兵與諸將東擊東潮𰎟山至靈安陽等縣皆克之。	thái sư trịnh kiểm bàn chia quân cho các tướng đi đánh các huyện đông triều , giáp sơn , chí linh , an dương ở miền đông , đều lấy được cả .
以阮冲慤為翰林侍讀掌院事。	lấy nguyễn xung xác làm hàn lâm thị độc chưởng viện sự .
至是成舟楫所至皆得其便。	đến đây đào xong , thuyền bè đi lại đều được thuận tiện .
不然充殿前軍。	nếu không thì sung vào quân điện tiền .
初帝以二人附登庸繋之於瓊雲殿未及殺遂幸外故登庸釋之。	trước đây , vua cho là hai người này hùa theo đăng dung , đem giam ở điện quỳnh văn , chưa kịp giết thì chạy ra ngoài , cho nên đăng dung tha ra .
故敗元之功日燏居多。	cho nên chiến công đánh bại giặc nguyên , nhật duật lập được nhiều hơn cả .
以前金光門待詔阮惠為禮部左侍郎行金光門待詔知尚寶監各局。	lấy tiền kim quang môn đãi chiếu nguyễn huệ làm lễ bộ tả thị lang hành kim quang môn đãi chiếu , tri thượng bảo giám các cục .
問曰汝何由在此。	vua hỏi : " sao ngươi lại ở đây ? " .
四月殿試。	tháng bốn , thi điện .
春正月十九日都給事中武夢康上書言事其畧有四。	mùa xuân , tháng giêng , ngày mười chín , đô cấp sự trung vũ mộng khang dâng thư nói các việc , đại khái có bốn điều .
節制鄭松赦其罪使㱕有僚撫養後復封爲嵩郡公。	tiết chế trịnh tùng tha tội cho , trao về cho hữu liêu vỗ về nuôi dưỡng , sau lại phong làm tung quận công .
其勅諭曰予德宗建皇帝之孫明宗哲皇帝之第二子光紹皇帝之親弟。	lời sắc dụ viết : ta là cháu của đức tông kiến hoàng đế , con thứ hai của minh tông triết hoàng đế , em ruột của quang thiệu hoàng đế .
初克寬以萬曆二十五年四月過䦕至十月到燕京拜謁明帝十二月初六日辝明帝回國前後凣一年餘四箇月使道以通。	trước đây , khắc khoan qua cửa quan vào tháng bốn năm vạn lịch thứ hai mươi lăm , đến tháng mười tới yên kinh bái yết vua minh , ngày mồng sáu tháng mười hai từ biệt vua minh về nước , trước sau cộng một năm lẻ bốn tháng , đường đi sứ mới thông .
易曰赦過宥罪書曰𤯝災肆赦怙終賊刑。	kinh dịch nói : " tha lỗi , giảm tội " kinh thư nói : " lầm lỗi thì tha cho , cố phạm thì trị tội " .
五月以段汝諧為御史中賛。	tháng năm , lấy đoàn nhũ hải làm ngự sử trung tán .
節制鄭松兵至江會日暮且曰兵法曰窮㓂勿追。	tiết chế trịnh tùng đem quân đến bờ sông , gặp khi trời đã về chiều , liền nói rằng : binh pháp có nói : giặc cùng chớ đuổi .
長春殿側又起龍祿殿盖以銀瓦。	bên cạnh điện trường xuân lại dựng điện long bộc , mái lợp ngói bạc .
取合格阮廷正等九名。	lấy đỗ bọn nguyễn đình chính chín người .
璜復從海道出其不意逕至州。	hoàng lại theo đường biển , nhân khi bất ngờ , tiến thẳng đến châu .
秋七月帝引軍入佛誓城俘乍斗妻妾及宫女之善𰙔舞西天曲調者。	mùa thu , tháng bảy , vua đem quân vào thành phật thệ bắt vợ cả , vợ lẽ của sạ đẩu và các cung nữ giỏi hát múa khúc điệu tây thiên .
莫兵大潰。	quân mạc tan vỡ .
是年莫茂洽被青盲暗眼旁求天下有善醫者治療数年疾愈復明。	năm ấy , mạc mậu hợp bị bệnh thông manh mờ mắt , tìm thầy thuốc giỏi trong khắp nước chữa liền mấy năm , bệnh khỏi , mắt lại sáng ra .
尙書省員外郎李寳臣行東上閤門使。	thượng thư sảnh viện ngoại lang lý bảo thần hành đông thượng cáp môn sứ .
此時莫黨雖未悉平然軍聲日益大振矣。	bấy giờ , đảng mạc tuy còn chưa dẹp hết , nhưng thanh thế quan quân càng ngày càng lừng lẫy .
匠人武如蘇作大棧殿百餘屋罄竭國中財力。	người thợ vũ như tô làm điện lớn hơn trăm nóc , dùng hết tiền của và sức dân trong nước .
如陳鍵靖國之子改姓為枚。	như trần kiện là con của tĩnh quốc thì đổi làm họ mai .
使莫玉󱗲督四道将士兵馬阮倦督南道将士兵馬。	sai mạc ngọc liễn đốc suất các tướng sĩ binh mã tây đạo ; nguyễn quyện đốc suất tướng sĩ binh mã nam đạo .
山獠遁跡。	sơn lạo trốn xa .
唐帝從之。	vua đường nghe theo .
春正月選補軍族。	mùa xuân , tháng giêng , tuyển tráng đinh bổ vào quân ngũ .
命六部六寺六科󰱇本吏識字有行檢各二人以僃體訪軍民疾苦及政事得失。	sai lục bộ , lục tư , lục khoa lựa chọn lại viên của mình , người nào biết chữ , có hạnh kiểm , mỗi bộ , tự , khoa lấy hai người để bổ sung việc đi thăm hỏi , điều tra nỗi đau khổ của dân và điều hay dở của chính sự .
秋七月尊憲慈皇后為皇太后。	mùa thu , tháng bảy , tôn hiến từ hoàng hậu làm hoàng thái hậu .
癸丑詔諫議大夫牟俞都󰱇舊龍翼爲左右玉階興聖廣成武。	ngày quý sửu , xuống chiếu cho gián nghị đại phu mâu du đô chọn quân long dực cũ làm các quân tả hữu ngọc giai , hưng thánh , quảng thành , vũ .
汝以公主故得為勾當非他勾當可比當則一足趾使與他别。	" ngươi vì có công chúa xin cho được làm câu đương , không thể ví những câu đương khác được , phải chặt một ngón chân để phân biệt với người khác " .
夏地震。	mùa hạ , động đất .
十日有自賊處逃赴御營奏報云上相光啓懷文侯國瓚及陳聰阮可臘與。	ngày mồng mười , có người từ chỗ giặc trốn về đến ngự doanh tâu báo : thượng tướng quang khải , hoài văn hầu quốc toản và trần thông , nguyễn khả lạp .
僃置六部尙書員数。	đặt đủ viên số thượng thư sáu bộ .
令三軍有䏻以身徇國武藝精通用力果敢不顧生死者並許通身選入内府侍衛。	hạ lệnh cho ba quân , người nào có thể liều mình vì nước , tinh thông võ nghệ , khoẻ mạnh dũng cảm , không kể sống chết , đều được cấp văn bằng và tuyển vào làm thị vệ ở nội phủ .
秋八月定丁祭。	mùa thu , tháng tám , định lệ tế đinh .
命監察御史黎伯夷𭛁順化倉粟作帶殼米轉漕行在。	sai giám sát ngự sử lê bá di phát thóc kho thuận hoá làm gạo cả vỏ chuyên chở tới hành tại .
及殿試賜阮世標等二名進士出身鄧維明等五名同進士出身。	đến khi thi điện , cho bọn nguyễn thế tiêu hai người đỗ tiến sĩ xuất thân , bọn đặng duy minh năm người đỗ đồng tiến sĩ xuất thân .
考試士人充各司屬掾。	thi chọn sĩ nhân bổ làm thuộc lại các ty .
時阮文質所漕粮皆熟米。	bấy giờ số lương của nguyễn văn chất chở đến đều là gạo đun chín .
這此等弊乃亦天星示警。	những việc tệ này là điều sao trời đã tỏ ý răn bảo .
上皇餘行徧觀宫殿自辰至巳。	thượng hoàng thong thả đi thăm khắp các cung điện , từ giờ thìn đến giờ tỵ .
哀王年少不能防閉其母吕嘉當國内外之事寕不預知。	ai vương ít tuổi không thể ngăn giữ được mẹ , lữ gia coi việc nước , việc trong việc ngoài lại không dự biết hay sao ? .
戊申十七年宋淳祐八年春正月改徽宗廟號曰太祖廟壽陵曰徽陵。	mậu thân , năm thứ mười bảy , ( tống thuần hựu năm thứ tám ) . mùa xuân , tháng giêng , đổi miếu hiệu của huy tông gọi là thái tổ , thọ lăng gọi là huy lăng .
又差清郡公鄧璥膠郡公阮有佳等公勦山陽當道賊軰。	lại sai bọn thanh quận công đặng kính , giao quận công nguyễn hữu giai đi đánh dẹp bọn giặc ở các huyện sơn dương , đương đạo .
師出有名刑兹罔赦。	ra quân có danh nghĩa , phạm tội quyết không tha .
而徃復書詞諄切皆廌奉㫖撰也。	còn thư từ qua lại lời lẽ rất thành khẩn , đều là do trãi vâng lệnh soạn thảo cả .
旨揮天下卜筮道釋之人今後不得𭁈内宫後庭交通言語。	ra sắc chỉ rằng : " những người bói toán , đạo thích ở trong nước từ nay về sau không được trò chuyện trao đổi với người trong cung và hậu đình " .
永郡公率餘黨奔武崖。	vĩnh quận công đem dư đảng chạy đến huyện võ nhai .
後之有作恢廓而亮大之䐧沃而光澤之如斯而己烏得而非𬢱之哉。	người sau mà có trước tác , thì cũng chỉ là mở mang cho rộng thêm , tô chuốc cho bóng thêm , có thế mà thôi , sao lại được chê bai bàn cải ? .
五月差太傅鄭杜太保鄭檸等統率太原将廉郡公向導攻勦太原破偽永郡公缺名營。	tháng năm , sai bọn thái phó trịnh đỗ , thái bảo trịnh ninh thống suất các tướng ở thái nguyên do liêm quận công dẫn đường đánh dẹp xứ thái nguyên , phá dinh của nguỵ vĩnh quận công ( không rõ tên ) .
官兵大獲全勝班師回清華。	quan quân toàn thắng , đem quân về thanh hoa .
會日暮節制鄭松駐兵于險山。	gặp ngày gần tối , tiết chế trịnh tùng đóng quân lại ở hiểm sơn .
帝及諸将議令各縣沿河軍人預徒財畜入山林避居以防賊兵。	vua bàn với các tướng , ra lệnh cho quân dân dọc sông của các huyện di chuyển của cải , súc vật tránh vào rừng núi để phòng quân giặc .
鎰等奉抄送聖㫖另給郭有嚴馬船一艘欽此。	dật phụng sao thánh chỉ cấp riêng cho quách hữu nghiêm một chiết thuyền đi nhanh , kính theo lệnh này .
武百福黎文暿劉世賡等望見退走。	bọn vũ bách phúc , lê văn hy , lưu thế canh thấy thế lùi chạy .
先興建昌悉平。	các phủ tiên hưng , kiến xương bình được cả .
髙御龍舟。	thuyền rồng ngồi cao .
揭竿爲旗氓隷之徒四集投醪饗士父子之兵一心。	dựng gậy làm cờ , tụ hội bốn phương manh lệ , hoà rượu mời lính , dưới trên một dạ cha con .
春二月明遣林孛來求檳榔茘枝波羅𡧸龍眼等𣗳子因内人阮宗道言南方花果多佳種故也。	mùa xuân , tháng hai , nhà minh sai lâm bốt sang đòi giống các loại cây cau , vải , mít , nhãn , vì nội nhân nguyễn tông đạo nói hoa quả phương nam có nhiều thứ ngon .
上親制策問以政事得失。	vua thân ra đầu đề văn sách , hỏi về chính sự hay dở .
脱有不幸遭亂公子出奔有納之之道然不以正未有能濟者矣。	không may gặp loạn , công tử chạy ra ngoài thì cũng có thể đưa về nước , nhưng không chính đáng thì chưa bao giờ nên việc .
朝廷之兵來則禦之。	quân của triều đình có đến thì chống lại .
媚醯不勝憤鬱密以氊自纏投江死。	mỵ ê phẫn uất khôn xiết , ngầm lấy chăn quấn vào mình nhảy xuống sông chết .
是月金星行失度。	tháng ấy , sao kim đi trái độ .
帝從之置匭于庭令有言事裁書投其中。	vua y theo , cho đặt cái hòm ở giữa sân để ai có trình bày việc gì thì bỏ thư vào hòm ấy .
先是智髙寇宋邊宋命樞𡧸直𭓇士孫沔入内押𤤻石全彬同本路經畧使余靖經制盗賊。	trước đây , trí cao cướp biên giới nước nước tống , tống sai khu mật trực học sĩ tôn miện , nhập nội áp ban thạch toàn bân cùng kinh lược sứ bản lộ là dư tĩnh tính việc đánh giặc cướp , .
二十九日遣使陳情于明。	ngày hai mươi chín , sai sứ sang trình bày với nhà minh .
駙馬都尉陳珪刑部有侍郎裴原道工部右侍郎黎岳刑科都給事中阮保珪徃壽昌驛。	phò mã đô uý trần khuê , hình bộ hữu thị lang bùi nguyên đạo , công bộ hữu thị lang lê nhạc , hình khoa đô cấp sự trung nguyễn bảo khuê đi đến trạm thọ xương .
令賜各處父道爲守禦團練等職爵中品。	ra lệnh cho phụ đạo các xứ nhận các chức thủ ngự , đoàn luyện , tước trung phẩm .
王問以藩方事賜賚甚厚乃拜真爲奉天府尹賜冠帶朝服。	vương hỏi việc phiên trấn xa , ban thưởng rất hậu , rồi cho chân làm phủ doãn phủ phụng thiên , ban cho mũ , đai , triều phục .
宜宣召大臣𭁈諸王子諭以王業󰠡难改革弊政務悅民心庶幾人心悅天意得灾星轉爲景星世治陶爲至治太平做十分祚胤傳億載國家基緒今其自是有永矣。	nên triệu các đại thần cùng các vương tử , dụ cho biết vương nghiệp gian nan , phải trừ bỏ mối tệ , cốt cho được lòng dân , ngõ hầu lòng người vui , ý trời thuận , sao tai dị chuyển thành sao lành , đời trị biến thành thịnh trị , thái bình đủ mười phần , con cháu truyền ức năm , cơ nghiệp nước nhà từ nay được lâu dài mãi mãi .
丁亥唐󰦭通八年。	đinh hợi , ( đường hàm thông năm thứ tám ) .
帝遣何栗等如明謝恩并貢方物代身金人且奏訪求陳氏子孫無有遺贾及官軍出首者亦以陸續送回。	vua sai bọn hà lật sang tạ ơn nhà minh và nộp lễ cống , tượng người vàng thế thân , và tâu rằng đã tìm hỏi con cháu họ trần nhưng không còn người nào , các quan quân ra thú cũng đã lục tục đưa về rồi .
初明宗嗣位既九而嫡母生男。	trước đây , minh tông nối ngôi đã lâu , rồi mẹ đích mới sinh con trai .
承司府縣肆行違法鎮守留守不禁姦非並許彈劾糾奏。	thừa ty phủ , huyện ngang ngược phi pháp , trấn thủ , lưu thủ không cấm gian phi , đều cho phép tâu bày , đàn hặc .
同知纘郡公鄭𣛧爲都督僉事。	đồng tri toản quận công trịnh sâm làm đô đốc thiêm sự .
出西道參知軍民簿籍鄧得為諒山鎮安撫使尋下獄。	đưa tây đạo tham tri quân dân bạ tịch đặng đắc ra làm an phủ sứ trấn lạng sơn , ít lâu sau bắt hạ ngục .
賛曰申仁忠等撰。	bài tán viết rằng : ( bọn thân nhân trung soạn ) .
惟裴應斗以眼疾辝下齋學生李子構等數人隐不出而已。	duy có bùi ứng đẩu từ chối , lấy cớ đau mắt , bọn hạ trai học sinh lý tử cấu mấy người lui ẩn không chịu ra mà thôi .
自古帝王之增益聖德者未有不由學問。	các đế vương đời xưa , sở dĩ thánh đức ngày một tăng lên , chưa có bậc nào là không do học vấn .
上令杜環指黎壽域謂茶全曰殿前都督擊闍槃時先登破城乃此人也。	vua sai đỗ hoàn , chỉ vào lê thọ vực mà bảo trà toàn rằng : " đây là điện tiền đô đốc ; khi phá thành chà bàn , trèo lên đánh thành trước tiên là người này đây ! " .
至是始置焉。	đến khoa này mới đặt .
春二月十九日上皇崩于保元宫廟號明宗謚曰章堯文哲皇帝。	mùa xuân , tháng hai , ngày mười chín , thượng hoàng băng ở cung bảo nguyên , miếu hiệu là minh tông , tên thuỵ là chương nghiêu văn triết hoàng đế .
時憲文󰱇等勵兵直進破逆䧺壘放火燒其營。	bọn thì hiến , văn tuyển thúc quân thẳng tiến , phá được luỹ mạnh của giặc , phóng lửa đốt cháy doanh trại địch .
其池縈紆屈曲開貢口可運輕舟之出入以為逸豫極其奢侈。	hồ ấy quan co khúc khuỷu , mở cửa cống có thể chở thuyền nhẹ ra vào để rong chơi , cực kỳ xa xỉ .
鎮守留守職專擒制盗刼防禦姦非當保安方民不得擅置非例職名肆爲民擾。	chức trấn thủ , lưu thủ thì chuyên nã bắt , đàn áp bọn trộm cướp , phòng ngừa kẻ gian phi , phải giữ yên dân trong hạt , không được tự tiện đặt ra chức danh phi pháp để nhiễu hạt dân .
至是以翰林待制黎少頴唐安縣可慕人即今慕澤也。	đến đây , lấy hàn lâm đãi chế lê thiếu dĩnh ( người làng khả mộ , nay là mộ trạch , huyện đường an ) .
珝怒未解欲引軍還。	hũ chưa nguôi giận , muốn đem quân trở về .
九月朔次長安府黄龍見于帝所御舟。	tháng chín , ngày mồng một , đến phủ trường yên , có rồng vàng hiện ở thuyền ngự .
甲辰十五年明成化二十年。	giáp thìn , năm thứ mười lăm , ( minh thành hoá năm thứ hai mươi ) .
至宣光興化西道將定郡公將兵來會。	khi đến tuyên quang , hưng hoá , tướng tây đạo là định quận công đem quân đến hội .
捷至王大喜奏聞于帝。	tin thắng trận đưa về , vương mừng lắm , tâu cho vua biết .
未時帝始醒。	đến giờ mùi vua mới tỉnh , .
十二月皇弟維祫即皇帝位。	tháng mười hai , hoàng đệ là duy cáp lên ngôi hoàng đế .
在位二十八年壽三十四而崩塟阜陵。	ở ngôi hai mươi tám năm , thọ ba mươi bốn tuổi , băng táng ở phụ lăng .
先是帝立陳暠。	trước đó , vua đã lập trần cảo .
申明常朝衣服。	nhắc lại quy chế y phục thường triều .
并作九重󰱑殿前掘為池通蘇瀝江引水泛天光舟以縱觀遊。	lại làm cửu trùng đài , trước điện đào hồ thông với sông tô lịch để dẫn nước vào , thả thuyền thiên quang cho mặc sức du ngoạn .
故史臣筆之通鑑深致意於其間焉。	cho nên sử thần soạn sách thông giám để ý sâu vào chỗ ấy .
賢能為社稷之棟梁空掃地。	hiền tài là rường cột của triều đình mà sạch không như quét đất .
武勝都郭卑献桃樹四寸生花。	đỗ vũ thắng là quách ti dâng cây đào cao bốn tấc có hoa .
朕欲定地犬牙之相制者以問又吏曰髙皇帝所以界長沙者王之地也不得𢫔變焉。	trẫm muốn phân định đất phong xen kẽ để chế ngự lẫn nhau , đem việc ra hỏi , bọn quan lại đều nói : " cao hoàng đế sở dĩ lấy trường sa làm địa giới , vì là đất của vương , không nên tự tiện thay đổi " .
日則旗皷相望夜則塞火爲號與官軍相拒守。	ban ngày thì phất cờ dóng trống báo nhau , ban đêm thì đốt lửa làm hiệu cho nhau để chống giữ với quan quân .
令諸軍收粮米後至麻義。	hạ lệnh cho các quân sau khi thu lương gạo thì đến ma nghĩa .
是月明人又使委官王建立就我國催貢會勘。	tháng này , nhà minh lại sai viên quan uỷ nhiệm là vương kiến lập tới nước ta đòi lễ cống và giục hội khám .
殘卒相爭上船船中人恐覆以劎断手落水死者過半餘各自迯生。	tàn quân tranh nhau xuống thuyền , người trong thuyền sợ thuyền đắm , lấy gươm chặt đứt tay rơi xuống sông chết đến quá nửa , còn lại thì đứa nào đứa nấy đều chạy trốn .
六月以阮荗為御史󰱑都御史知詞訟。	tháng sáu , lấy nguyễn mậu làm ngự sử đài đô ngự sử tru từ tụng .
春正月重修延祐寺詔仍舊貫。	mùa xuân , tháng giêng , trùng tu chùa diên hựu , xuống chiếu vẫn làm ở nền cũ .
元人見之皆驚曰有宋人來助因此敗北。	quân nguyên trông thấy đều rất kinh hãi , bảo nhau là người tống sang giúp , vì thế thua chạy .
范賞杜六孔原范寳金吉李槩陶老阮完爲尙书省員外郎。	phạm thưởng , đỗ lục , khổng nguyên , phạm bảo , kim cát , lý khái , đào lão , nguyễn hoàn làm viên ngoại lang thượng thư sảnh .
培築各處堤路。	bồi đắp đê điều các xứ .
又使定郡公鎮守安西大同以壮藩疆并開治道途自天䦕連于興化宣光通于京北運載糧道供給軍資。	lại sai định quận công trấn giữ an tây và đại đồng để củng cố cõi phiên trấn và mở đường từ thiên quang nối liền với hưng hoá , tuyên quang , thông đến kinh bắc để vận tải lương thực cung cấp cho quân .
三月會試天下士人。	tháng ba , thi hội các sĩ nhân trong nước .
惟昭文王日燏軍有宋人衣宋衣執弓矢以戰。	riêng quân của chiêu văn vương nhật duật có cả người tống , mặc quần áo tống , cầm cung tên chiến đấu .
夏四月壬寅朔日食。	mùa hạ , tháng bốn , ngày nhâm dần mồng một , nhật thực .
蓮湖伯黎文福告急于莫登庸。	liên hồ bá lê văn phúc cáo cấp với mạc đăng dung .
黄大破悉平之俘獲偽将甚多及斬馘不可勝數。	hoàng đánh phá dẹp yên được hết , bắt sống rất nhiều tướng nguỵ , chém được quân giặc nhiều không kể xiết .
𭛁御厙金幣頒賜百僚有差。	phát vàng và lụa trong kho ban cho các quan theo thứ bậc khác nhau .
憤胷徒之未滅。	phần giận quân thù chưa bị diệt .
諧爲東閣大學士子爵。	hài làm đông các đại học sĩ , tước tử .
故當時記載皆稱妸陳枚鍵焉。	vì thế , những ghi chép đương thời đều gọi là ả trần , mai kiện ...
或遲速踈數而不齊大畧然也何有於江山。	có lúc chậm lúc chóng , có khi thưa khi mau mà không đều , đại lược là thế , có can gì đến núi sông ? .
烝㢤聖宗丕承基緒。	đức vua thánh tông , nghiệp lớn thừa kế .
官軍亦回安塲營。	quan quân cũng trở về dinh yên trường .
虜在目中雷疾寧容於掩耳師行席上火炎立見於燎毛。	giặc tận mắt nhìn , sấm sét gấp bung tai nào kịp , quân đi trên chiếu , lửa bừng bừng vèo cháy mảy lông .
詔長子俊德侯鄭檜代領其權統兵討賊。	có chiếu cho con trưởng là tuấn đức hầu trịnh cối thay lĩnh binh quyền , cầm quân đánh giặc .
諳寫士人一塲中者承憲二司如例考試。	học trò phải thi một kỳ ám tả , ai đỗ thì hai ty thừa hiến theo lệ mà khảo thí .
乃閲武藝教之以坐作擊削之法指是奇正分合之勢使知金皷之聲旌旗之號。	bèn duyệt võ nghệ , dạy cho binh sĩ phép ngồi , đứng , đánh , đâm , chỉ bảo các thế kỳ , chính , phân , hợp , cho họ biết hiệu chiêng , hiệu trống , hiệu cờ .
十二月節制鄭松令諸将以所俘賊卒六百餘人來納使觧其縛撫勞之給以衣食盡放還本貫以示好生之德。	tháng mười hai , tiết chế trịnh tùng sai các tướng đem hơn sáu trăm quân giặc bị bắt tới nộp , sai cởi trói , vỗ về yên ủi cấp cho cơm áo rồi thả hết cho về quê quán để tỏ đức hiếu sinh .
賜汝敬等鈔道里費并四我國使黎國噐等鈔及文綺襲衣命與汝敬等同行。	ban tiền giấy và chi phí dọc đường cho bọn nhữ kính , đồng thời ban tiền giấy và áo lót vóc hoa cho sứ nước ta là bọn lê quốc khí , sai họ cùng đi với bọn nhữ kính .
曆數在躬臣民徯志。	lịch số về mình , thần dân thoả chí .
日燏納之有趙忠者為家将。	nhật duật thu nạp họ , có triệu trung làm gia tướng .
八月已遣使求封。	hồi tháng tám , đã sai sứ sang cầu phong .
二十五日明遣正使光祿寺少卿宗傑副使兵科都給事中薜謙來封帝為安南國王。	ngày hai mươi lăm , nhà minh sai chánh sứ là quang lộc tự hiếu khanh tống kiệt , phó sứ là binh khoa đô cấp sự trung tiết khiêm sang phong vua làm an nam quốc vương .
官軍以銃射之死于馬下。	quan quân dùng súng bắn chết dưới chân ngựa .
師李道成卒。	sư lý đạo thành chết .
戊子八年宋大觀二年。	mậu tý , năm thứ tám , ( tống đại quan năm thứ hai ) .
其輕赦徒流罪潘季卿等亦預焉。	những người tội nhẹ xử đi đày nhưng được ân xá là bọn phan quý khanh cũng được dự trong số đó .
徽閉城門自守。	huy đóng cửa thành để giữ .
二十一日統領官富郡公鄭根親督統率督率及諸道兵直進長驅至日麗海門休兵會同諸将論叙戦功等級具以上聞。	ngày hai mươi mốt , thống lĩnh quan phú quận công trịnh căn đích thân chỉ huy các viên thống suất , đốc suất và quân các đạo thẳng tiến ruổi dài , đến tận cửa biển nhật lệ , cho quân nghỉ , hồi đồng các tướng , bàn xét các cấp chiến công , làm bản dâng lên .
召廣南總兵元郡公阮伯䮐還。	gọi tổng binh quảng nam là nguyên quận công nguyễn bá quýnh về .
太宗嘗欲以守度兄安國為相。	thái tông có lần muốn cho người anh của thủ độ là an quốc làm tể tướng .
以一智髙两廣力不䏻制乃假外境。	có một trí cao mà sức hai tỉnh quảng không thể chống nổi , lại phải nhờ đến quân cõi ngoài , .
守度頷之識其姓名貫址。	thủ độ gật đầu , rồi ghi họ tên quê quán của người đó .
仍貯川芎於布袋令家僮佩之便襲人氣不生虫󰔦。	lại đựng vị xuyên khung trong túi vải , cho gia đồng mang theo để lấy hơi người , không sinh mối mọt .
平明有僚復收兵回行營。	đến sáng , hữu liêu lại thu quân về hành dinh .
夏四月封上皇女玉瑳一作白瑳為天寕公主嫁正肃王堪一作興肃。	mùa hạ , tháng bốn , phong con gái của thượng hoàng là ngọc tha ( còn chép là bạch tha ) làm thiên ninh công chúa , gã cho chính túc vương kham , ( có sách chép là hưng túc ) .
辛卯二年宋政和元年。	tân mão , năm thứ hai , ( tống chính hoà năm thứ nhất ) .
秋七月唐帝以髙駢為右金吾衛大將軍一云檢校尚書僕射至唐僖宗乾符二年乙未徒西川節度使。	mùa thu , tháng bảy , vua đường lấy cao biền làm hữu kim ngô vệ đại tướng quân ( có sách chép là kiểm hiệu thượng thư bộc xạ ) , đến đời đường hy tông năm ất mùi niên hiệu càn phù năm thứ hai đổi làm tây xuyên tiết độ sứ .
己丑九年宋大觀三年。	kỷ sửu , năm thứ chín , ( tống đại quan năm thứ ba ) .
庚戌𭛁京師。	ngày canh tuất , xuất phát từ kinh sư .
親迎其子之妻則倫之亂矣嬖幸倡人之女則禍之胎矣。	tự mình đi đón vợ cho con , thế là nhân luân rối loạn ; yêu nhiều con gái kẻ phường hát , thế là tai học nảy mầm .
潘天爵曰鰥寡王政之所恤。	phan thiên tước nói : " người không vợ và goá chồng là hạng chính sách nhà vua thương đến .
二十五日帝過江就菩提拜詔接使還于内殿。	ngày hai mươi lăm , vua qua sông sang bến bồ đề bái lạy chiếu thư đón sứ minh về nội điện .
判大宗正寺鄭克復知北道軍民簿籍。	phán đại tông chính tự là trịnh khắc phục làm tri bắc đạo quân dân bạ tịch ; .
三月安豐人阮當明偽稱福德二年率本縣人起兵刼掠旁縣。	tháng ba , nguyễn đương minh người huyện yên phong tự xưng là phúc đức năm thứ hai đem người trong huyện dấy quân đánh cướp các huyện bên .
所築之處視民田地度其所築依價還錢。	chỗ đắp thì đo xem mất bao nhiêu ruộng đất của dân , theo giá trả lại tiền .
明日經清川地芒夢山。	ngày hôm sau , qua núi mường mộng đất thanh xuyên .
又作小梯登車。	lại làm thang nhỏ để lên xe .
文章關國家之氣運寂寂則茅。	văn chương là khí vận của nhà nước mà im ắng tựa cỏ khô .
乃以陰置毒于手中潜捫瘡處帝疾始增劇矣。	bèn ngầm giấu thuốc độc trong tay mà sờ vào chỗ lở , bệnh vua do vậy mới lại thêm nặng .
遣使徧行鄕邑撫論遣民。	sai sứ đi khắp các hương ấp phủ dụ dân chúng .
