第一回宴桃园豪杰三结义斩黄巾英雄首立功 ||| HỒI 1 Tiệc vườn đào, anh hùng kết nghĩa; Chém Khăn Vàng, hào kiệt lập công
后张让、赵忠、封谞、段珪、曹节、侯览、蹇硕、程旷、夏恽、郭胜十人朋比为奸，号为“十常侍” ||| Từ đấy chính sự trong triều ngày càng đổ nát, lòng người náo loạn, giặc cướp nổi lên như ong
时巨鹿郡有兄弟三人，一名张角，一名张宝，一名张梁 ||| Khi ấy ở đất Cự Lộc, có một nhà ba anh em: Anh cả là Trương Giác, em hai là Trương Bảo, em út là Trương Lương
那张角本是个不第秀才，因入山采药，遇一老人，碧眼童颜，手执藜杖，唤角至一洞中，以天书三卷授之，曰：“此名《太平要术》，汝得之，当代天宣化，普救世人；若萌异心，必获恶报 ||| Trương Giác vốn thi tú tài trượt, nhân thế bực mình vào núi hái thuốc
”角拜问姓名 ||| Đi đường gặp một ông cụ già mặt tròn mắt biếc, tay chống gậy lê, gọi Trương Giác vào trong một cái động, trao cho ba quyển sách và bảo rằng: Đây là cuốn "Thái bình yêu thuật", có được cuốn này ngươi nên thay trời dạy người, để cứu lấy đời
老人曰：“吾乃南华老仙也 ||| Nếu sau này manh tâm tà gian ắt bị ác báo
”言讫，化阵清风而去 ||| Trương Giác sụp xuống lạy, hỏi họ tên thì cụ già nói: "Ta là Nam Hoa lão tiên", nói đoạn hóa ra một trận gió biến mất
角得此书，晓夜攻习，能呼风唤雨，号为“太平道人” ||| Trương Giác được ba quyển sách ấy đem về ngày đêm học tập, không bao lâu biết đủ các phép hô gió mưa, tự xưng là Thái bình đạo nhân
中平元年正月内，疫气流行，张角散施符水，为人治病，自称“大贤良师” ||| Đến tháng giêng, năm Trung bình thứ nhất (một trăm tám mươi bốn), có bệnh ôn dịch
角有徒弟五百余人，云游四方，皆能书符念咒 ||| Trương Giác làm ra nước phép chữa bệnh, cứu được nhiều người, tự xưng là Đại hiền lương sư
次后徒众日多，角乃立三十六方，大方万余人，小方六七千，各立渠帅，称为将军；讹言：“苍天已死，黄天当立；岁在甲子，天下大吉 ||| Giác có đồ đệ năm trăm người, đi dạo các nơi, ai cũng biết phép thư phù niệm chú
”令人各以白土书“甲子”二字于家中大门上 ||| Về sau đồ đệ ngày càng đông; Giác bèn chi học trò ra ba mươi sáu phương, phương lớn hơn một vạn người, phương nhỏ sáu bảy ngàn người, phương nào cũng đặt một người làm thủ lĩnh xưng là tướng quân
青、幽、徐、冀、荆、扬、兖、豫八州之人，家家侍奉大贤良师张角名字 ||| Giác nói phao lên rằng: "Trời xanh đã chết, trời vàng nên dựng", "Đến năm giáp tý, thiên hạ thái bình"
角遣其党马元义，暗赍金帛，结交中涓封谞，以为内应 ||| Rồi sai người lấy đất thó trắng viết hai chữ "Giáp tý" ở ngay giữa cửa
角与二弟商议曰：“至难得者，民心也 ||| Nhân dân tám châu Thanh, U, Từ, Ký, Kinh, Dương, Duyện, Dư nhà nào cũng thờ mấy chữ hiệu: "Đại hiền lương sư Trương Giác"
今民心已顺，若不乘势取天下，诚为可惜 ||| Trương Giác lại sai đồng đảng là Mã Nguyên Nghĩa mật đem vàng lụa vào kinh kết giao với tên hoạn quan Phong Tư, đi làm nội ứng, rồi bàn với hai em rằng: - Không gì khó bằng thu phục được lòng dân, nay lòng dân đã quy thuận về ta, nếu không thừa thế chiếm lấy thiên hạ thì thật là đáng tiếc lắm
”遂一面私造黄旗，约期举事；一面使弟子唐周，驰书报封谞 ||| Bèn một mặt sai may cờ vàng hẹn ngày khởi sự, một mặt sai đồ đệ là Đường Châu đem thư báo cho Phong Tư biết
唐周乃径赴省中告变 ||| Nhưng Đường Châu lại đi thẳng đến cửa cung tố cáo
帝召大将军何进调兵擒马元义，斩之；次收封谞等一干人下狱 ||| Được tin, vua liền triệu quan đại tướng quân là Hà Tiến điều binh bắt chém Mã Nguyên Nghĩa và bắt cả bọn Phong Tư bỏ ngục
张角闻知事露，星夜举兵，自称“天公将军”，张宝称“地公将军”，张梁称“人公将军” ||| Trương Giác thấy việc đã tiết lộ, vội vàng cử binh khởi sự, tự xưng là Thiên công tướng quân, Trương Lương xưng Nhân công tướng quân nói với mọi người rằng: "Nay vận nhà Hán sắp hết, đại thánh nhân ra đời
申言于众曰：“今汉运将终，大圣人出 ||| Các ngươi nên thuận mệnh trời, theo về ta để cùng vui hưởng thái bình!"
汝等皆宜顺天从正，以乐太平 ||| Nhân dân bốn phương đội khăn vàng, đi theo Trương Giác có tới bốn năm mươi vạn người
”四方百姓，裹黄巾从张角反者四五十万 ||| Thế giặc dữ dội, quan quân thua chạy như vịt
贼势浩大，官军望风而靡 ||| Hà Tiến một mặt tâu vua, xin hỏa tốc xuống chiếu cho các nơi phòng giữ giết giặc lập công; một mặt sai ba quan trung lang tướng là Lư Thực, Hoàng Phủ Tung, Chu Tuấn đem quân tinh nhuệ chia ra làm ba ngả dẹp giặc
且说张角一军，前犯幽州界分 ||| Trong khi ấy, quân Trương Giác có một toán xâm phạm vào bờ cõi U Châu
幽州太守刘焉，乃江夏竟陵人氏，汉鲁恭王之后也 ||| Quan thái thú châu ấy là Lưu Yên, người làng Kính Lăng, đất Giang Hạ, dòng dõi Lỗ Cung Vương nhà Hán, nghe tin quân giặc sắp đến, liền triệu quan hiệu úy Châu Tĩnh đến bàn luận
当时闻得贼兵将至，召校尉邹靖计议 ||| Tĩnh nói: - Quân giặc nhiều, quân ta ít, ông nên tức khắc chiêu mộ thêm quân thì mới kịp ứng phó
靖曰：“贼兵众，我兵寡，明公宜作速招军应敌 ||| Lưu Yên cho là phải, bèn sai treo bảng mộ quân
榜文行到涿县，引出涿县中一个英雄 ||| Khi bảng treo đến Trác quận thì có ngay một vị anh hùng ra ứng mộ
那人不甚好读书；性宽和，寡言语，喜怒不形于色；素有大志，专好结交天下豪杰；生得身长七尺五寸，两耳垂肩，双手过膝，目能自顾其耳，面如冠玉，唇若涂脂；中山靖王刘胜之后，汉景帝阁下玄孙，姓刘名备，字玄德 ||| Vị anh hùng ấy không thích đọc sách mấy, tính ôn hòa, ít nói, mừng giận không hề lộ ra mặt, vốn có chí lớn, chỉ thích kết giao với những tay hào kiệt trong thiên hạ
昔刘胜之子刘贞，汉武时封涿鹿亭侯，后坐酎金失侯，因此遗这一枝在涿县 ||| Kể dáng người thì mình cao bảy thước rưỡi, hai tai chảy xuống gần vai, hai tay buông khỏi đầu gối, mắt trông thấy được tai, mặt đẹp như ngọc, môi đỏ như son, tức là dòng dõi Trung Sơn Tĩnh Vương Lưu Thắng, cháu năm đời vua Cảnh đế nhà Hán, họ Lưu, tên Bị, tự là Huyền Đức
玄德祖刘雄，父刘弘 ||| Ngày trước con Lưu Thắng là Lưu Trinh, về đời vua Hán Vũ, được phong làm Trác lộc Đình hầu, sau vì tội góp thiếu tiền cúng tế bị mất chức vì vậy còn sót một ngành ở Trác quận
弘曾举孝廉，亦尝作吏，早丧 ||| Ông của Huyền Đức là Lưu Hùng, cha là Lưu Hoằng
玄德幼孤，事母至孝；家贫，贩屦织席为业 ||| Hoằng thi đỗ hiếu liêm, đã từng làm quan, nhưng mất sớm
家住本县楼桑村 ||| Huyền Đức mồ côi cha, thờ mẹ rất hiếu, nhà nghèo, phải làm nghề đóng dép, dệt chiếu kiếm ăn
其家之东南，有一大桑树，高五丈余，遥望之，童童如车盖 ||| Nhà Huyền Đức ở thôn Lâu Tang, mé đông nam có một cây dâu rất lớn, cao hơn năm trượng, xa trông từng lớp trên xòe ra như cái tán che cỗ xe
相者云：“此家必出贵人 ||| Có người thầy tướng đi qua trông thấy khen rằng: "Nhà có cây dâu này tất sinh quý tử"
”玄德幼时，与乡中小儿戏于树下，曰：“我为天子，当乘此车盖 ||| Lúc Huyền Đức còn thơ ấu, cùng trẻ con chơi dưới gốc dâu, thường vẫn nói rằng: "Ngày sau ta làm vua, cũng ngự cái xe có tán che như cây dâu này"
”叔父刘元起奇其言，曰：“此儿非常人也！”因见玄德家贫，常资给之 ||| Người chú là Lưu Nguyên Khởi nghe nói, lấy làm lạ bảo rằng: "Thằng bé này không phải người thường"
年十五岁，母使游学，尝师事郑玄、卢植，与公孙瓒等为友 ||| Nhân thấy Huyền Đức nhà nghèo, thường tư cấp cho thay đổi theo triều đại
及刘焉发榜招军时，玄德年已二十八岁矣 ||| Lúc Lưu Yên treo bảng mộ quân, thì Huyền Đức hai mươi tám tuổi
当日见了榜文，慨然长叹 ||| Bấy giờ Huyền Đức đọc bảng văn rồi thở dài
随后一人厉声言曰：“大丈夫不与国家出力，何故长叹？”玄德回视其人，身长八尺，豹头环眼，燕颔虎须，声若巨雷，势如奔马 ||| Có một người đứng phía sau nói lớn lên rằng: - Đại trượng phu như ông, không ra giúp nước, đứng thở dài đó, được việc chi? Huyền Đức ngoảnh lại nhìn: Người ấy mình cao tám thước, đầu báo, mắt tròn, râu hùm, hàm én, tiếng vang như sấm, dáng như ngựa phi, Huyền Đức thấy dung mạo khác thường, liền hỏi họ tên
玄德见他形貌异常，问其姓名 ||| Người ấy nói: - Tôi họ Trương tên Phi, tự là Dực Đức, ở Trác quận đã lâu đời
其人曰：“某姓张名飞，字翼德 ||| Gia tư có trang trại ruộng vườn, lại có lò mổ lợn và ngôi hàng bán rượu
世居涿郡，颇有庄田，卖酒屠猪，专好结交天下豪杰 ||| Tôi chỉ thích kết giao với hào kiệt trong thiên hạ
恰才见公看榜而叹，故此相问 ||| Vừa rồi thấy ông xem bảng văn rồi thở dài, nên tôi mới hỏi
”玄德曰：“我本汉室宗亲，姓刘，名备 ||| Huyền Đức nói: Tôi đây vốn dòng dõi nhà Hán, họ Lưu tên Bị; nay thấy giặc Khăn Vàng nổi loạn, muốn ra dẹp giặc yên dân, chỉ hiềm sức mình không làm nổi, nên mới thở dài
今闻黄巾倡乱，有志欲破贼安民，恨力不能，故长叹耳 ||| Phi nói: - Nhà tôi gia tư cũng khá
”飞曰：“吾颇有资财，当招募乡勇，与公同举大事，如何 ||| Ý tôi muốn chiêu mộ trai tráng trong làng, cùng ông mưu đồ việc lớn, ông tính sao? Huyền Đức mừng lắm
”玄德甚喜，遂与同入村店中饮酒 ||| Hai người bèn rủ nhau vào hàng uống rượu
正饮间，见一大汉，推着一辆车子，到店门首歇了，入店坐下，便唤酒保：“快斟酒来吃，我待赶入城去投军 ||| Đương đánh chén, thấy một người cao lớn lực lưỡng, đẩy một cỗ xe đến cửa, vào hàng ngồi phịch xuống gọi nhà hàng: - Rượu mau lên! Để ta uống xong còn vào thành ứng mộ! Huyền Đức nhìn xem thấy người ấy mình cao chín thước, râu dài hai thước, mặt đỏ như gấc, môi như tô son, mắt phượng, mày tằm, oai phong lẫm liệt
”玄德看其人：身长九尺，髯长二尺；面如重枣，唇若涂脂；丹凤眼，卧蚕眉，相貌堂堂，威风凛凛 ||| Huyền Đức bèn mời cùng ngồi và hỏi họ tên
玄德就邀他同坐，叩其姓名 ||| Người ấy nói: - Tôi họ Quan tên Vũ, tự là Trương Sinh, sau đổi là Vân Trường, người làng Giải Lương, tỉnh Hà Đông
其人曰：“吾姓关名羽，字长生，后改云长，河东解良人也 ||| Nhân thấy có đứa thổ hào ỷ thế hiếp người, tôi bèn giết chết rồi đi làm kẻ giang hồ đã năm, sáu năm rồi
因本处势豪倚势凌人，被吾杀了，逃难江湖，五六年矣 ||| Nay nghe ở đây có lệnh chiêu binh phá giặc nên tôi đến ứng mộ
今闻此处招军破贼，特来应募 ||| Huyền Đức cũng đem chí mình ra nói, Vân Trường rất mừng
”玄德遂以己志告之，云长大喜 ||| Bèn cùng đến trại của Trương Phi bàn tính việc lớn
同到张飞庄上，共议大事 ||| Phi nói: - Sau trại tôi có một vườn đào đang nở hoa đẹp lắm, ngày mai ta nên làm lễ tế trời đất ở trong vườn, rồi ba chúng ta kết làm anh em, cùng lòng hợp sức, sau mới có thể tính được việc lớn
飞曰：“吾庄后有一桃园，花开正盛；明日当于园中祭告天地，我三人结为兄弟，协力同心，然后可图大事 ||| Huyền Đức, Vân Trường đều nói: - Như thế tốt lắm!
乌牛白马祭礼等项，三人焚香再拜而说誓曰：“念刘备、关羽、张飞，虽然异姓，既结为兄弟，则同心协力，救困扶危；上报国家，下安黎庶 ||| Ngày hôm sau sửa soạn trâu đen ngựa trắng và các lễ vật ở trong vườn đào, ba người đốt hương lạy hai lạy thề rằng: - Chúng tôi là Lưu Bị, Quan Vũ, Trương Phi, dẫu rằng khác họ, song đã kết làm anh em, thì phải cùng lòng hợp sức, cứu khốn phù nguy, trên báo đền nợ nước, dưới yên định muôn dân
不求同年同月同日生，只愿同年同月同日死 ||| Chúng tôi không cần sinh cùng ngày, cùng tháng, cùng năm, chỉ muốn chết cùng năm, cùng ngày, cùng tháng
皇天后土，实鉴此心，背义忘恩，天人共戮！”誓毕，拜玄德为兄，关羽次之，张飞为弟 ||| Hoàng thiên hậu thổ soi xét lòng này
祭罢天地，复宰牛设酒，聚乡中勇士，得三百余人，就桃园中痛饮一醉 ||| Nếu ai bội nghĩa quên ơn thì trời người cùng giết
来日收拾军器，但恨无马匹可乘 ||| Thề xong tôn Huyền Đức làm anh cả, Quan Vũ thứ hai, Trương Phi em út
正思虑间，人报有两个客人，引一伙伴当，赶一群马，投庄上来 ||| Rồi mổ trâu đặt tiệc, tụ họp dũng sĩ trong làng được ba trăm người, cũng đến vườn đào uống một bữa rượu thật say
玄德曰：“此天佑我也！”三人出庄迎接 ||| Hôm sau ba người sửa soạn khí giới, đương lo còn thiếu ngựa cưỡi, thì thấy báo có hai người buôn dắt một đàn ngựa đến trại
原来二客乃中山大商：一名张世平，一名苏双，每年往北贩马，近因寇发而回 ||| Huyền Đức nói: - Thực là trời giúp chúng ta! Nói đoạn ba người cùng ra cửa trại đón
玄德请二人到庄，置酒管待，诉说欲讨贼安民之意 ||| Nguyên hai người khách ấy đều là lái buôn lớn ở Trung Sơn, một người tên Trương Thế Bình, một người tên Tô Song, hàng năm vẫn đem ngựa lên bán miền Bắc, chỉ vì lúc ấy dọc đường có nhiều giặc cướp nên quay trở về
二客大喜，愿将良马五十匹相送；又赠金银五百两，镔铁一千斤，以资器用 ||| Huyền Đức mời hai người vào trại, làm rượu khoản đãi và nói rõ ý mình đang muốn dẹp giặc yên dân
玄德谢别二客，便命良匠打造双股剑 ||| Huyền Đức cảm tạ hai người khách và tiễn lên đường, rồi sai gọi thợ đến rèn hai thanh kiếm
云长造青龙偃月刀，又名“冷艳锯”，重八十二斤 ||| Vân Trường đánh một thanh long đao nặng tám mươi hai cân, Trương Phi đánh một ngọn xà mâu dài một trượng tám thước
张飞造丈八点钢矛 ||| Mỗi người làm một bộ áo giáp, họp hương dũng được hơn năm trăm người đem nhau đến gặp Châu Tĩnh
各置全身铠甲 ||| Châu Tĩnh đưa đi yết kiến quan thái thú Lưu Yên
共聚乡勇五百余人，来见邹靖 ||| Ba người thi lễ xong, đều xưng họ tên
邹靖引见太守刘焉 ||| Huyền Đức kể rõ tôn phái
三人参见毕，各通姓名 ||| Lưu Yên cả mừng nhận Huyền Đức là cháu
玄德说起宗派，刘焉大喜，遂认玄德为侄 ||| Vài hôm sau, có tin báo tướng giặc Khăn Vàng là Trình Viễn Chí đem năm vạn quân đến đánh Trác Quận
不数日，人报黄巾贼将程远志统兵五万来犯涿郡 ||| Lưu Yên sai Châu Tĩnh dẫn ba anh em Huyền Đức đem năm trăm quân đi trước phá giặc
刘焉令邹靖引玄德等三人，统兵五百，前去破敌 ||| Ba anh em Huyền Đức vui mừng hớn hở đi ngay
玄德等欣然领军前进，直至大兴山下，与贼相见 ||| Lúc đến dưới núi Đại Hưng, thấy quân giặc đều xõa tóc chít khăn vàng
贼众皆披发，以黄巾抹额 ||| Hai bên đối trận, Huyền Đức nhảy ngựa vụt ra, tả có Vân Trường, hữu có Dực Đức, giơ roi mắng lớn: - Quân giặc phản nước kia! Sao không xuống ngựa hàng ngay đi? Trình Viễn Chí cả giận, sai phó tướng Đặng Mậu ra đánh
当下两军相对，玄德出马，左有云长，右有翼德，扬鞭大骂：“反国逆贼，何不早降！”程远志大怒，遣副将邓茂出战 ||| Trương Phi cầm mâu xông ra đâm trúng vào bụng Đặng Mậu
张飞挺丈八蛇矛直出，手起处，刺中邓茂心窝，翻身落马 ||| Đặng Mậu ngã lăn xuống ngựa chết
程远志见折了邓茂，拍马舞刀，直取张飞 ||| Trình Viễn Chí thấy vậy, thúc ngựa múa đao xông thẳng vào định chém Trương Phi
云长舞动大刀，纵马飞迎 ||| Tức thì Vân Trường múa long đao tế ngựa ra đón địch
程远志见了，早吃一惊，措手不及，被云长刀起处，挥为两段 ||| Trình Viễn Chí trông thấy hoảng sợ, chưa kịp trở tay đã bị đao Vân Trường xả làm hai đoạn
后人有诗赞二人曰：英雄露颖在今朝，一试矛兮一试刀 ||| Đời sau có thơ khen hai người rằng: Anh hùng xuất hiện buổi sơ đầu, Người thử long đao kẻ thử mâu, Mới bước chân ra uy đã dữ, Tiếng tăm lừng lẫy cuộc ganh nhau
众贼见程远志被斩，皆倒戈而走 ||| Quân giặc thấy Trình Viễn Chí bị chém, đều vác ngược giáo ù té chạy, Huyền Đức thúc quân đuổi theo, giặc ra hàng không biết bao nhiêu mà kể
玄德挥军追赶，投降者不计其数，大胜而回 ||| Ba người đại thắng kéo quân trở về
刘焉亲自迎接，赏劳军士 ||| Lưu Yên thân ra đón tiếp, khao thưởng ba quân
次日，接得青州太守龚景牒文，言黄巾贼围城将陷，乞赐救援 ||| Hôm sau Lưu Yên tiếp được tờ điệp của quan thái thú Thanh Châu tên là Cung Cảnh, báo tin bị giặc Khăn Vàng bao vây, thành sắp vỡ, kịp xin cho quân đến cứu
刘焉与玄德商议 ||| Lưu Yên bàn với Huyền Đức
玄德曰：“备愿往救之 ||| Huyền Đức nói: - Bị này tình nguyện đem quân đi cứu
”刘焉令邹靖将兵五千，同玄德、关、张，投青州来 ||| Lưu Yên bèn sai Châu Tĩnh đem năm nghìn quân cùng Huyền Đức, Quan, Trương kéo đến Thanh Châu
贼众见救军至，分兵混战 ||| Giặc thấy có quân đến cứu, chia quân đón đánh
玄德兵寡不胜，退三十里下寨 ||| Huyền Đức thấy quân mình ít, khó đánh được, lui ba mươi dặm đóng trại, rồi bảo Quan, Trương rằng:
玄德谓关、张曰：“贼众我寡；必出奇兵，方可取胜 ||| - Giặc nhiều, ta ít, tất phải dùng kỳ binh mới có thể thắng được
”乃分关公引一千军伏山左，张飞引一千军伏山右，鸣金为号，齐出接应 ||| Bèn sai Vân Trường dẫn một nghìn quân phục bên tả núi, Trương Phi dẫn một nghìn quân phục bên hữu núi, hẹn rằng nghe tiếng chiêng thì cùng kéo ra tiếp ứng
次日，玄德与邹靖引军鼓噪而进 ||| Ngày hôm sau Huyền Đức cùng Châu Tĩnh dẫn quân đánh trống hò reo thẳng tiến
贼众迎战，玄德引军便退 ||| Quân giặc vội vã kéo ra đón đánh, Huyền Đức lui binh ngay
贼众乘势追赶，方过山岭，玄德军中一齐鸣金，左右两军齐出，玄德摩军回身复杀 ||| Giặc thừa thế đuổi tràn
三路夹攻，贼众大溃 ||| Vừa qua sườn núi, trong quân Huyền Đức khua chiêng vang lên
直赶至青州城下，太守龚景亦率民兵出城助战 ||| Hai đạo quân tả hữu xô ra
贼势大败，剿戮极多，遂解青州之围 ||| Huyền Đức thúc quân quay lại, ba mặt giáp đánh, quân giặc thua to, chạy đến dưới thành Thanh Châu, quan thái thú Cung Cảnh cũng đem dân binh ra trợ chiến, quân giặc bị chết rất nhiều, giải được vòng vây
后人有诗赞玄德曰：运筹决算有神功，二虎还须逊一龙 ||| Đời sau có thơ khen Huyền Đức rằng: Bầy mưu đặt mẹo khéo ra công, Đôi hổ chung quy kém một rồng
初出便能垂伟绩，自应分鼎在孤穷 ||| Buổi mới đã nên công trạng lớn, Chia ba chân vạc đáng anh hùng
龚景犒军毕，邹靖欲回 ||| Cung Cảnh khao quân xong, Châu Tĩnh muốn về
玄德曰：“近闻中郎将卢植与贼首张角战于广宗，备昔曾师事卢植，欲往助之 ||| Huyền Đức nói: - Mới rồi nghe tin quan trung lang tướng Lư Thực cùng Trương Giác đánh nhau ở Quảng Tôn
”于是邹靖引军自回，玄德与关、张引本部五百人投广宗来 ||| Bị này trước kia có học Lư tướng quân, nghĩa đạo thầy trò, muốn sang giúp sức
至卢植军中，入帐施礼，具道来意 ||| Châu Tĩnh dẫn quân về một mình, còn Huyền Đức cùng Quan, Trương dẫn năm trăm quân bản bộ sang Quảng Tôn
卢植大喜，留在帐前听调 ||| Khi ba người đến dinh quân Lư Thực, vào trướng thi lễ, bày tỏ ý kiến của mình, thì Lư Thực mừng lắm, lưu ở trướng tiền đợi khi dùng đến
时张角贼众十五万，植兵五万，相拒于广宗，未见胜负 ||| Bấy giờ quân Trương Giác mười lăm vạn, quân Lư Thực năm vạn, đang chống nhau ở Quảng Tôn, chưa rõ bên nào thua được
植谓玄德曰：“我今围贼在此，贼弟张梁、张宝在颍川，与皇甫嵩、朱儁对垒 ||| Một hôm Lư Thực bảo Huyền Đức rằng: - Trương Giác đã bị ta vây ở đây rồi
汝可引本部人马，我更助汝一千官军，前去颍川打探消息，约期剿捕 ||| Duy hai em nó là Trương Bảo, Trương Lương đang chống nhau với Hoàng Phủ Tung và Chu Tuấn ở Dĩnh Xuyên
”玄德领命，引军星夜投颍川来 ||| Ông nên đem quân ngay bản bộ và một nghìn quân ta giúp thêm, đến thẳng Dĩnh Xuyên dò xem tin tức ra sao, rồi cùng nhau hẹn ngày tiến đánh
时皇甫嵩、朱儁领军拒贼，贼战不利，退入长社，依草结营 ||| Lúc ấy Hoàng Phủ Tung, Chu Tuấn đem quân đánh giặc, giặc bị thua luôn, phải lui về Trường Xã, dựa theo bụi rậm đóng trại
嵩与儁计曰：“贼依草结营，当用火攻之 ||| Tung bàn với Tuấn rằng: - Quân giặc dựa vào chỗ có cỏ rậm đóng quân thì ta nên dùng mẹo hóa công
”遂令军士，每人束草一把，暗地埋伏 ||| Bèn sai quân sĩ mỗi người bó một bó cỏ, ngầm đi mai phục
其夜大风忽起 ||| Đêm ấy trời nổi cơn gió lớn, vào khoảng canh hai, quân phục kéo vào phóng hỏa, Tung và Tuấn đều dẫn quân đến đánh, khói lửa ngụt trời, quân giặc hoảng sợ, người không kịp mặt giáp, ngựa không kịp thắng yên, xô nhau mà chạy
杀到天明，张梁、张宝引败残军士，夺路而走 ||| Đôi bên đánh nhau đến sáng, Trương Lương, Trương Bảo phải dẫn tàn quân cướp đường mà chạy
