第五回发矫诏诸镇应曹公破关兵三英战吕布	HỒI 5 Phát hiệu triệu, các trấn hưởng ứng Tào Công; Phá cửa quan, ba anh hùng đánh Lã Bố
此二人本操之弟兄：操父曹嵩原是夏侯氏之子，过房与曹家，因此是同族。	Hai người ấy vốn là anh em cùng họ với Tào Tháo, vì Tháo nguyên cũng là họ Hạ Hầu, tại bố Tháo là Tào Tung vào làm con nuôi họ Tào, nên mới đổi ra là họ Tào.
不数日，曹氏兄弟曹仁、曹洪各引兵千余来助。	Được vài ngày nữa, lại có hai người họ Tào, Tào Nhân, Tào Hồng cũng đem hơn một nghìn quân lại giúp.
曹仁字子孝，曹洪字子廉：二人弓马熟娴，武艺精通。	Tào Nhân, tự là Tử Hiếu; Tào Hồng tự là Tử Liêm, hai người cung mã đều thạo, võ nghệ tinh thông.
操大喜，于村中调练军马。	Tháo mừng lắm, ngày ngày ở trong thôn, luyện tập quân mã.
卫弘尽出家财，置办衣甲旗幡。	Vệ Hoằng đem hết cả gia tài, sắm sửa cờ quạt và may áo giáp.
四方送粮食者，不计其数。	Bốn phương lại đưa lương thực đến, không biết ngần nào mà kể.
时袁绍得操矫诏，乃聚麾下文武，引兵三万，离渤海来与曹操会盟。	Bấy giờ Viên Thiệu bắt được tờ kêu gọi của Tào Tháo, bèn tụ hội văn vũ, đem ba vạn quân ở Bột Hải sang hội với quân Tào Tháo.
操作檄文以达诸郡。	Tháo bèn làm một bài hịch gửi đi các quận.
檄文曰：“操等谨以大义布告天下：董卓欺天罔地，灭国弑君；秽乱宫禁，残害生灵；狼戾不仁，罪恶充积！	Hịch rằng: "Anh em Tào Tháo chúng tôi kính đem nghĩa lớn, bá cáo cả nước: Tặc thần Đổng Trác, lừa đất dối trời, giết vua phá nước ô uế chốn cung cấm, tàn hại kẻ dân lành. Bạo ngược bất nhân, tội ác chồng chất!
今奉天子密诏，大集义兵，誓欲扫清华夏，剿戮群凶。望兴义师，共泄公愤；扶持王室，拯救黎民。	Nay vâng tờ mật chiếu của thiên tử, họp quân nghĩa binh thề quét sạch cả Hoa Hạ, tiểu trừ mọi quân hung bạo; rất mong các nơi đều dấy nghĩa binh, cùng hả lòng công phẫn để giúp vua cứu chúng.
檄文到日，可速奉行！”	Hịch này đến nơi, lập tức thi hành!".
操发檄文去后，各镇诸侯皆起兵相应：第一镇，后将军南阳太守袁术。	Tờ hịch của Tào đã phát đi, chư hầu các trấn đều khởi binh hưởng ứng: 1. Viên Thuật, hậu tướng quân, thái thú Nam Dương.
第二镇，冀州刺史韩馥。	2. Hàn Phức, thứ sử Ký Châu.
第三镇，豫州刺史孔伷。	3. Khổng Du, thứ sử Dự Châu.
第四镇，兖州刺史刘岱。	4. Lưu Đại, thứ sử Duyện Châu.
第五镇，河内郡太守王匡。	5. Vương Khuông, thái thú quận Hà Nội.
第六镇，陈留太守张邈。	6. Trương Mặc, thái thú Trần Lưu.
第七镇，东郡太守乔瑁。	7. Kiều Mạo, thái thú Đông Quận.
第八镇，山阳太守袁遗。	8. Viên Di, thái thú Sơn Dương.
第九镇，济北相鲍信。	9. Pháo Tín, tướng ở Tế Bắc.
第十镇，北海太守孔融。	10. Khổng Dung, thái thú Bắc Hải.
第十一镇，广陵太守张超。	11. Trương Siêu, thái thú Quảng Lăng.
第十二镇，徐州刺史陶谦。	12. Đào Khiêm, thứ sử Từ Châu.
第十三镇，西凉太守马腾。	13. Mã Đằng, thái thú Tây Lương.
第十四镇，北平太守公孙瓒。	14. Công Tôn Toản, thái thú Bắc Bình.
第十五镇，上党太守张杨。	15. Trương Dương, thái thú Thượng Đảng.
第十六镇，乌程侯长沙太守孙坚。	16. Tôn Kiên, Ô trình hầu, thái thú Trường Sa.
第十七镇，祁乡侯渤海太守袁绍。	17. Viên Thiệu, Kỳ hương hầu, thái thú Bột Hải.
诸路军马，多少不等，有三万者，有一二万者，各领文官武将，投洛阳来。	Quân mã các trấn, nơi nhiều nơi ít, trấn thì ba vạn, trấn thì một hai vạn, đều đem các văn quan võ tướng, kéo đến Lạc Dương.
且说北平太守公孙瓒，统领精兵一万五千，路经德州平原县。正行之间，遥见桑树丛中，一面黄旗，数骑来迎。	Đây nói chuyện thái thú Bắc Bình là Công Tôn Toản đem một vạn rưỡi quân, khi đi qua huyện Bình Nguyên, ở Châu Đức, trông thấy ở đằng xa, trong đám cây dâu, có một lá cờ vàng, với vài người kỵ mã đến đón.
瓒视之，乃刘玄德也。	Toản trông xem ai hóa ra Lưu Bị.
瓒问曰：“贤弟何故在此？”	Toản hỏi: - Hiền đệ sao lại ở đây?
玄德曰：“旧日蒙兄保备为平原县令，今闻大军过此，将来奉候，就请兄长入城歇马。”	Lưu Bị thưa: - Ngày trước em nhờ anh được cử làm huyện lệnh Bình Nguyên, nay nghe thấy đại quân qua đây, nên em lại hầu. Xin mời anh hãy vào thành nghỉ.
瓒指关、张而问曰：“此何人也？”	Toản thấy có mấy người đi theo Lưu Bị, trỏ hỏi mấy người ấy là ai.
玄德曰：“此关羽、张飞，备结义兄弟也。”	Lưu Bị nói: - Đây là Quan Vũ, Trương Phi, hai người anh em kết nghĩa với tôi đó.
瓒曰：“乃同破黄巾者乎？”玄德曰：“皆此二人之力。”	Toản hỏi có phải hai người ấy là hai người cùng phá giặc Khăn Vàng hay không, Huyền Đức nói: - Phá giặc Khăn Vàng chính là công hai người này cả!
瓒曰：“今居何职？”	Toản hỏi hiện bây giờ hai người làm chức gì?
玄德答曰：“关羽为马弓手，张飞为步弓手。”	Huyền Đức thưa: - Quan Vũ làm tay mã cung; Trương Phi làm tay bộ cung.
瓒叹曰：“如此可谓埋没英雄！	Toản than rằng: - Như thế quả là mai một anh hùng!
今董卓作乱，天下诸侯共往诛之。	Nay Đổng Trác làm loạn, chư hầu cùng dấy binh đến đánh.
贤弟可弃此卑官，一同讨贼，力扶汉室，若何？”	Hiền đệ bỏ quách một chức quan quèn này, cùng với tôi đi đánh giặc giúp nhà Hán, nên không?
玄德曰：“愿往。”	Lưu Bị vâng xin đi ngay.
张飞曰：“当时若容我杀了此贼，免有今日之事。”	Trương Phi nghe thấy tên Đổng Trác, nói rằng: - Khi trước giá để tôi giết ngay thằng giặc ấy đi thì không phải rắc rối như ngày nay.
云长曰：“事已至此，即当收拾前去。”	Quan Vũ nói: - Bây giờ việc đã như thế, ta nên thu xếp đi ngay thôi.
玄德、关、张引数骑跟公孙瓒来，曹操接着。	Lưu Bị cùng Quan, Trương liền đem vài ba người lính kỵ, theo Công Tôn Toản đi. Tào Tháo ra tiếp.
众诸侯亦陆续皆至，各自安营下寨，连接二百余里。	Các chư hầu cũng lục tục kéo đến cả, mỗi người đóng trại một chỗ, liên tiếp nhau hơn hai trăm dặm đất.
操乃宰牛杀马，大会诸侯，商议进兵之策。	Tào Tháo giết trâu mổ ngựa, hội cả mười tám chư hầu bàn việc tiến binh.
太守王匡曰：“今奉大义，必立盟主；众听约束，然后进兵。”	Thái thú Vương Khuông nói: - Nay làm việc đại nghĩa, nên lập minh chủ, để mọi người vâng theo hiệu lệnh, rồi sẽ tiến binh.
操曰：“袁本初四世三公，门多故吏，汉朝名相之裔，可为盟主。”	Tháo nói: - Viên Bản Sơ nhà bốn đời làm tam công, lại có nhiều thủ hạ cũ; nguyên là con cháu danh tướng nhà Hán, nên tôn làm minh chủ.
绍再三推辞，众皆曰非本初不可，绍方应允。	Thiệu hai ba lần từ chối, nhưng mọi người đều nói: - Phi Bản Sơ không xong! Thiệu mới vâng lời.
次日筑台三层，遍列五方旗帜，上建白旄黄钺，兵符将印，请绍登坛。	Hôm sau lập một cái đàn ba tầng, chung quanh cắm cờ ngũ phương, tầng trên dựng một lá cờ tuyết mao trắng, một cây hoàng việt; binh phù tướng ấn đủ cả; chư hầu mời Thiệu lên đàn.
绍整衣佩剑，慨然而上，焚香再拜。其盟曰：“汉室不幸，皇纲失统。	Thiệu mặc áo chỉnh tề, đeo gươm đầu hàng, đốt hương lễ hai lễ, rồi đọc lời thề: "Nhà Hán chẳng may; phép vua lơi lỏng.
贼臣董卓，乘衅纵害，祸加至尊，虐流百姓。	Tặc thần Đổng Trác, thừa kế làm ác, vạ đến ngôi vua, hại ra trăm họ.
绍等惧社稷沦丧，纠合义兵，并赴国难。	Anh em chúng tôi là Thiệu... Sợ rằng xã tắc đắm mất nên phải tụ họp nghĩa binh, cùng nhau cứu nạn nước.
凡我同盟，齐心戮力，以致臣节，必无二志。	Phàm đã là người đồng minh, ai cũng phải dốc lòng hết sức để giữ lấy đạo làm tôi không được hai lòng.
有渝此盟，俾坠其命，无克遗育。	Ai trái lời thề này, sẽ chết mất mạng, tiệt tự cháu con.
皇天后土，祖宗明灵，实皆鉴之！”读毕歃血。	Xin trời đất tổ tôn chứng giám cho!". Thiệu đọc xong, các tướng đều uống máu ăn thề.
众因其辞气慷慨，皆涕泗横流。	Mọi người nghe thấy lời nói khảng khái, ai cũng nước mắt chứa chan.
歃血已罢，下坛。众扶绍升帐而坐，两行依爵位年齿分列坐定。	Thề xong xuống đàn, Thiệu lên trướng ngồi, chư hầu hai bên theo chức tước và tuổi chia định ngôi thứ.
操行酒数巡，言曰：“今日既立盟主，各听调遣，同扶国家，勿以强弱计较。”	Tháo đứng dậy mời rượu. Rượu uống được vài tuần, Tháo nói: - Nay đã lập minh chủ rồi, chúng ta đều phải vâng nghe điều khiển, cùng giúp việc nước. Không ai được cậy khỏe cậy tài, ganh tỵ nhau.
袁绍曰：“绍虽不才，既承公等推为盟主，有功必赏，有罪必罚。	Viên Thiệu nói: - Thiệu tuy bất tài, nhưng đã được các quan cắt làm minh chủ, xin hết sức công minh; ai có công phải thưởng; ai có tội phải phạt.
国有常刑，军有纪律。各宜遵守，勿得违犯。”	Nước có hình luật quân có phép tắc, nên cùng giữ gìn, đừng ai vi phạm.
众皆曰惟命是听。	Các tướng đều nói: - Chúng tôi xin tuân lệnh.
绍曰：“吾弟袁术总督粮草，应付诸营，无使有缺。	Thiệu lại nói: - Em ta là Viên Thuật, coi việc lương thảo, ứng cấp các trại không được thiếu thốn.
更须一人为先锋，直抵汜水关挑战。余各据险要，以为接应。”	Sau nữa xin chọn lấy một người làm tiên phong, đi thẳng ngay vào cửa Dĩ Thủy khiêu chiến; còn các tướng khác phải chia nhau giữ các chốn hiểm yếu, để làm tiếp ứng.
长沙太守孙坚出曰：“坚愿为前部。”	Thái thú Trường Sa là Tôn Kiên, bước lên, xin đi tiên phong.
绍曰：“文台勇烈，可当此任。”	Thiệu nói: - Phải đấy! Văn Đài hùng mạnh, có thể đảm đang chức ấy.
坚遂引本部人马杀奔汜水关来。	Kiên liền dẫn quân bản hộ của mình, kéo đến cửa Dĩ Thủy.
守关将士，差流星马往洛阳丞相府告急。	Quân canh cửa vội vàng phi ngựa về Lạc Dương vào phủ thừa tướng cáo cấp.
董卓自专大权之后，每日饮宴。	Đổng Trác từ khi chuyên quyền, ngày nào cũng yến tiệc vui say.
李儒接得告急文书，径来禀卓。	Lý Nho tiếp được tờ cáo cấp, vào bẩm với Trác.
卓大惊，急聚众将商议。	Trác thất kinh vội vàng họp các tướng sĩ bàn bạc.
温侯吕布挺身出曰：“父亲勿虑。关外诸侯，布视之如草芥；愿提虎狼之师，尽斩其首，悬于都门。”	Lã Bố thưa rằng: - Phụ thân đừng lo, các chư hầu đóng ngoài cửa ải, con coi như cỏ rác. Con xin đem quân hổ lang, chém hết đầu chúng treo dưới cửa phủ!
卓大喜曰：“吾有奉先，高枕无忧矣！”	Trác mừng mà nói rằng: - Ta được Phụng Tiên thì cứ gối cao đầu mà ngủ không lo gì nữa.
言未绝，吕布背后一人高声出曰：“割鸡焉用牛刀？	Trác nói chưa dứt lời thì sau lưng Lã Bố có một người bước ra nói to lên rằng: - Cắt tiết gà, lọ là phải dùng đến dao mổ trâu!
不劳温侯亲往。吾斩众诸侯首级，如探囊取物耳！”	Không phải phiền đến Lã Ôn Hầu, tôi xin ra chém hết đầu chúng nó, dễ như lấy đồ ở trong túi.
卓视之，其人身长九尺，虎体狼腰，豹头猿臂；关西人也，姓华，名雄。	Trác nhìn xem: Người ấy thân cao chín thước, mình hổ lưng lang, đầu báo tay vượn, là người Quan Tây, họ Hoa, tên Hùng.
卓闻言大喜，加为骁骑校尉。拨马步军五万，同李肃、胡轸、赵岑星夜赴关迎敌。	Trác nghe nói thế, thích chí lắm, cho ngay làm kiêu kỵ hiệu úy đem năm vạn quân mã hộ cùng với Lý Túc, Hồ Chẩn, Triệu Xầm đi suốt ngày đêm ra cửa quan nghênh địch.
众诸侯内有济北相鲍信，寻思孙坚既为前部，怕他夺了头功，暗拨其弟鲍忠，先将马步军三千，径抄小路，直到关下搦战。	Trong bọn chư hầu, có Pháo Tín là tướng ở Tế Bắc, thấy Tôn Kiên được đi làm tiên phong, sợ Kiên cướp mất công đầu, bèn mật sai em là Pháo Trung, đem năm nghìn quân mã bộ đi đường tắt, ra thẳng trước cửa quan khiêu chiến.
华雄引铁骑五百，飞下关来，大喝：“贼将休走！”	Hoa Hùng đem năm trăm quân thiết kỵ ra ngoài cửa quan, thét lớn: "Tướng giặc chớ chạy!".
鲍忠急待退，被华雄手起刀落，斩于马下，生擒将校极多。	Pháo Trung vội lui, bị Hoa Hùng chém chết, tướng tá bị bắt sống rất nhiều.
华雄遣人赍鲍忠首级来相府报捷，卓加雄为都督。	Hoa Hùng sai người đem đầu Pháo Trung về báo tiệp. Trác giao ngay cho Hùng làm đô đốc.
却说孙坚引四将直至关前。	Đây nói chuyện Tôn Kiên dẫn bốn tướng đến trước cửa Dĩ Thủy.
那四将？——第一个，右北平土垠人，姓程，名普，字德谋，使一条铁脊蛇矛；第二个，姓黄，名盖，字公覆，零陵人也，使铁鞭；第三个，姓韩，名当，字义公，辽西令支人也，使一口大刀；第四个，姓祖，名茂，字大荣，吴郡富春人也，使双刀。	Bốn tướng ấy là: Một. Trình Phổ, tên chữ là Đức Mưu, người Thổ Ngân, ở Hữu Bắc Bình; Phổ cầm một ngọn xà mâu sắt. Hai. Hoàng Cái, tên chữ là Công Phúc, người ở Linh Lăng; Cái cầm một ngọn roi sắt. Ba. Hàn Đương, tên chữ là Công Nghĩa, người Linh Chi, tỉnh Liêu Tây; Đương cầm một con dao lớn. Bốn. Tổ Mậu, tên chữ là Đại Vinh, người ở Phú Xuân, quận Ngô; Mậu hai tay cầm hai dao.
孙坚披烂银铠，裹赤帻，横古锭刀，骑花鬃马，指关上而骂曰：“助恶匹夫，何不早降！”	Tôn Kiên mình mặc áo giáp bạc, đầu đội mũ chóp đỏ, cắp dao Cổ Dĩnh, cưỡi ngựa Hoa Tôn, trỏ tay lên trên cửa quan mà mắng rằng: - Thằng tiểu nhân đi phò giặc kia! Sao không mau mau xuống hàng?
华雄副将胡轸引兵五千出关迎战。	Phó tướng của Hoa Hùng là Hồ Chẩn, dẫn năm nghìn quân xuống dưới cửa quan nghênh địch.
程普飞马挺矛，直取胡轸。	Tướng Kiên là Trương Phổ vác ngọn mâu, phi ngựa ra thẳng đánh Hồ Chẩn.
斗不数合，程普刺中胡轸咽喉，死于马下。	Đánh nhau được vài hiệp Phổ đâm trúng cổ họng Chẩn, chết ngã từ trên ngựa xuống đất.
坚挥军直杀至关前，关上矢石如雨。	Kiên bèn thúc quân xông đến trước cửa quan. Trên cửa bắn tên, ném đá xuống như mưa.
孙坚引兵回至梁东屯住，使人于袁绍处报捷，就于袁术处催粮。	Kiên phải lui binh về đóng ở Lương Đông, sai người đến chỗ Viên Thiệu báo tiệp và đến chỗ Viên Thuật thúc giục lương thảo.
或说术曰：“孙坚乃江东猛虎；若打破洛阳，杀了董卓，正是除狼而得虎也。	Bấy giờ có người xui Thuật rằng: - Tôn Kiên là một con hổ dữ ở đất Giang Đông, nếu ta để cho nó phá được Lạc Dương, giết được Đổng Trác, thì khác gì trừ được lang mà lại gặp hổ.
今不与粮，彼军必散。”	Nay đừng phát lương, quân hắn sẽ tan vỡ.
术听之，不发粮草。	Thuật nghe, bèn không cấp lương cho Tôn Kiên.
孙坚军缺食，军中自乱，细作报上关来。	Kiên cạn lương, trong quân rối loạn. Quân do thám biết, về cửa quan báo tin.
李肃为华雄谋曰：“今夜我引一军从小路下关，袭孙坚寨后，将军击其前寨，坚可擒矣。”	Lý Túc bàn với Hoa Hùng rằng: - Đêm hôm nay ta đem một toán quân, đi lần con đường nhỏ xuống đánh đằng sau trại Tôn Kiên, tướng quân đánh đằng trước, chắc bắt được nó.
雄从之，传令军士饱餐，乘夜下关。	Hùng nghe kế ấy, truyền lệnh cho quân sĩ ăn no, để đêm xuống cửa quan đánh giặc.
是夜月白风清。	Đêm hôm ấy, gió mát trăng trong.
到坚寨时，已是半夜，鼓噪直进。	Quân Hùng đến trại Kiên bấy giờ độ nửa đêm, đánh trống hò reo kéo vào.
坚慌忙披挂上马，正遇华雄。	Kiên vội vàng mặc áo cưỡi ngựa đi ra, vừa gặp Hoa Hùng đến.
两马相交，斗不数合，后面李肃军到，竟天价放起火来。	Hai bên đánh nhau được vài hiệp, mặt sau Lý Túc kéo vào sai quân sĩ phóng hỏa.
坚军乱窜。	Quân Tôn Kiên rối loạn.
众将各自混战，止有祖茂跟定孙坚，突围而走。	Các tướng đánh lộn nhau, duy có Tổ Mậu theo Kiên phá vây chạy.
背后华雄追来。	Hoa Hùng từ mặt sau đuổi dồn lên.
坚取箭，连放两箭，皆被华雄躲过。再放第三箭时，因用力太猛，拽折了鹊画弓，只得弃弓纵马而奔。	Kiên cầm cung bắn hai phát tên, Hùng đều tránh được cả, lại giương cung bắn một phát nữa, kéo quá sức gãy mất cung thước hoa phải vứt bỏ cung tế ngựa chạy.
祖茂曰：“主公头上赤帻射目，为贼所识认。	Tổ Mâu bảo Kiên rằng: - Cái mũ chóp đỏ trên đầu của chúa công, bị giặc nó nhận được.
可脱帻与某戴之。”坚就脱帻换茂盔，分两路而走。	Xin cởi mũ đưa cho tôi đội. Kiên liền cởi mũ đánh đổi cho Mậu, rồi hai người chia đường chạy ra hai ngã.
雄军只望赤帻者追赶，坚乃从小路得脱。	Quân Hoa Hùng cứ đuổi theo người đội mũ chóp đỏ. Kiên chạy sang con đường nhỏ được thoát.
祖茂被华雄追急，将赤帻挂于人家烧不尽的庭柱上，却入树林潜躲。	Tổ Mậu bị Hoa Hùng đuổi kíp lắm, bèn bỏ mũ ra, treo vào một cái cột nhà cháy dở, rồi trốn vào rừng rậm, núp một chỗ.
华雄军于月下遥见赤帻，四面围定，不敢近前。用箭射之，方知是计，遂向前取了赤帻。	Quân Hùng, thấp thoáng dưới bóng trăng, trông thấy cái chóp mũ đỏ ở chỗ nhà cháy cứ vây bọc bốn mặt lại, không dám đến gần, rồi sau lấy tên bắn mãi mới biết bị lừa.
祖茂于林后杀出，挥双刀欲劈华雄；雄大喝一声，将祖茂一刀砍于马下。	Tổ Mậu ở trong rừng lúc bấy giờ xông ra, hai tay múa đôi dao, chực chém Hoa Hùng, Hùng thét to một tiếng, đưa một nhát dao, Mậu chết lăn xuống dưới ngựa.
杀至天明，雄方引兵上关。	Đánh nhau vừa đến tận sáng, Hùng mới kéo quân về.
程普、黄盖、韩当都来寻见孙坚，再收拾军马屯扎。	Trình Phổ, Hàn Dương, Hoàng Cái tìm thấy Tôn Kiên, thu nhập quân mã lại rồi đóng trại ở.
坚为折了祖茂，伤感不已，星夜遣人报知袁绍。	Tôn Kiên thấy mất Tổ Mậu, thương xót lắm, bèn cấp tốc cho người đi báo Viên Thiệu.
绍大惊曰：“不想孙文台败于华雄之手！”	Thiệu thất kinh nói: - Không ngờ Tôn Văn Đài mà thua Hoa Hùng!
便聚众诸侯商议。	Thiệu họp chư hầu để bàn bạc.
众人都到，只有公孙瓒后至，绍请入帐列坐。绍曰：“前日鲍将军之弟不遵调遣，擅自进兵，杀身丧命，折了许多军士；今者孙文台又败于华雄：挫动锐气，为之奈何？”	Chư hầu đến cả, chỉ có Công Tôn Toản đến sau. Thiệu mời các tướng vào ngồi sắp hàng trong trướng rồi nói rằng: - Em Pháo Tín không theo mệnh lệnh, tự tiện tiến binh, mình bị giết, quân sĩ chết nhiều. Đến nay Tôn Văn Đài cũng bị thua, mất hết nhuệ khí, các tướng định thế nào?
诸侯并皆不语。	Chư hầu không ai nói gì cả.
绍举目遍视，见公孙瓒背后立着三人，容貌异常，都在那里冷笑。	Thiệu ngẩng mặt lên nhìn chỉ thấy sau lưng Công Tôn Toản có ba người dị thường, đứng cười mát.
绍问曰：“公孙太守背后何人？”	Thiệu hỏi ai.
瓒呼玄德出曰：“此吾自幼同舍兄弟，平原令刘备是也。”	Toản gọi Lưu Bị ra và nói rằng: - Người này là anh em bạn học với tôi thuở nhỏ, hiện đang làm quan lệnh Bình Nguyên. Tên là Lưu Bị.
曹操曰：“莫非破黄巾刘玄德乎？”	Tháo hỏi: - Có phải là Lưu Huyền Đức đánh tan giặc Khăn Vàng khi xưa không?
瓒曰：“然。”即令刘玄德拜见。瓒将玄德功劳，并其出身，细说一遍。	Toản nói phải, rồi bảo Lưu Bị ra chào các quan, nhân thể đem công lao và hoàn cảnh xuất thân của Bị ra, nói chuyện để các tướng nghe.
绍曰：“既是汉室宗派，取坐来。”	Thiệu thấy nói Lưu Bị là tôn phái nhà Hán bèn sai lấy ghế mời ngồi.
命坐。备逊谢。	Lưu bị khiêm tốn không dám ngồi.
绍曰：“吾非敬汝名爵，吾敬汝是帝室之胄耳。”	Thiệu nói: - Ta kính không phải là kính danh tước nhà ngươi mà là kính người tôn thất nhà vua đấy thôi!
玄德乃坐于末位，关、张叉手侍立于后。	Lưu Bị mới ngồi xuống ghế ở hàng cuối cùng. Quan Vũ, Trương Phi chắp tay đứng hầu đằng sau.
忽探子来报：“华雄引铁骑下关，用长竿挑着孙太守赤帻，来寨前大骂搦战。”	Đương khi ấy, có quân do thám lại báo: - Hoa Hùng dẫn quân thiết kỵ xuống cửa quan, nó lấy sào cắm cái chóp mũ của Tôn thái thú, đến trước cửa trại, hò hét thách đánh.
绍曰：“谁敢去战？”	Thiệu hỏi: - Ai dám ra trận?
袁术背后转出骁将俞涉曰：“小将愿往。”	Sau lưng Viên Thuật, có một tướng lực lưỡng, tên là Du Thiệp bước ra thưa rằng: - Tiểu tướng xin ra.
绍喜，便著俞涉出马。	Thiệu mừng sai Thiệp ra.
即时报来：“俞涉与华雄战不三合，被华雄斩了。”	Vừa được một lát, có người về báo: - Thiệp đánh nhau với Hoa Hùng được ba hiệp, bị Hùng chém chết rồi!
众大惊。	Các tướng cả sợ.
太守韩馥曰：“吾有上将潘凤，可斩华雄。”	Thái thú Hàn Phức nói: - Tôi có thượng tướng Phan Phụng có thể chém được Hoa Hùng.
绍急令出战。潘凤手提大斧上马。去不多时，飞马来报：“潘凤又被华雄斩了。”	Thiệu bèn sai Phan Phụng ra đánh. Phụng tay cầm một cái búa to, lên ngựa, ra được một lát, lại bị Hoa Hùng chém chết.
众皆失色。	Các tướng không người nào còn máu mặt.
绍曰：“可惜吾上将颜良、文丑未至！	Thiệu nói rằng: - Tiếc thay! Danh tướng của ta là Nhan Lương, Văn Sú chưa đến.
得一人在此，何惧华雄！”	Giá thử được một trong hai người ấy ở đây thì có sợ gì Hoa Hùng.
言未毕，阶下一人大呼出曰：“小将愿往斩华雄头，献于帐下！”	Nói chưa dứt lời một người ở dưới thềm, chạy ra, nói to lên rằng: - Tiểu tướng xin ra chém đầu Hoa Hùng, đem dân dưới trướng.
众视之，见其人身长九尺，髯长二尺，丹凤眼，卧蚕眉，面如重枣，声如巨钟，立于帐前。	Mọi người nhìn xem thấy người ấy mình cao chín thước, râu dài hai thước, mắt phượng mày tằm, mặt đỏ như gấc, tiếng giống chuông kêu.
绍问何人。	Thiệu hỏi là người nào.
公孙瓒曰：“此刘玄德之弟关羽也。”	Toản thưa: - Em Huyền Đức tên là Quan Vũ đấy!
绍问现居何职。	Thiệu lại hỏi hiện làm chức gì?
