刘敬 者，齐人也。	Lưu Kính Lưu Kính, người Tề.
成王即位，周公之属傅相焉，乃营成周洛邑， 以此为天下之中也，诸侯四 方纳贡职，道里均矣，有德则易以王，无德则易以亡。	Thành vương lên ngôi, bọn Chu công phụ tá, xây Thành Chu, Lạc Ấp, lấy đó làm trung tâm thiên hạ, chư hầu bốn phương vào dâng cống, lộ trình ngang nhau, có đức sẽ dễ làm vua, không đức ắt dễ diệt vong.
凡居此者，欲 令周务以德致人，不欲依阻险，令後世骄奢以虐民也。	Phàm người chốn này, muốn khiến Chu chuộng đức để người ta đến, không muốn nương chỗ hiểm khiến đời sau kiêu sa bạo ngược với dân.
及周之盛时， 天下和洽，四夷乡风，慕义怀德，附离 而并事天子，不屯一卒， 不战一士，八夷大国之民莫不宾服，效其贡职。	Đến khi Chu hưng thịnh, thiên hạ hòa hợp, người Di bốn phương đều theo phong hóa, mộ nghĩa chuộng đức, thành tâm quy phục, phụng sự thiên tử, không phải dùng một sĩ tốt đóng đồn, một binh sĩ đi đánh, dân chúng nước lớn ngoại di không ai không thần phục, dâng cống thiên tử.
及周之衰也，分而为 两， 天下 莫朝，周不能制也。	Đến khi Chu suy vi, bị chia làm hai, thiên hạ không ai vào chầu, Chu cũng không thể khống chế.
非其德薄也，而形势弱也。	Không phải đức họ mỏng đâu, mà hình thế suy yếu vậy.
今陛下起丰沛，收卒 三千人，以之径往而卷蜀汉，定三秦，与项羽战荥阳，争成皋之口， 大战七十，小战四十，使天下之民肝脑涂地，父子暴骨中野，不可胜 数，哭泣之声未绝，伤痍者未起，而欲比隆於成康之时，臣窃以为不 侔也。	Nay bệ hạ nổi lên từ đất Phong, Bái, thu được ba nghìn người, theo lối tắt đến chiếm Thục, Hán, bình định Tam Tần, giao chiến với Hạng Vũ ở Huỳnh Dương, tranh đoạt cửa khẩu Thành Cao, đánh lớn bảy mươi trận, đánh nhỏ bốn mươi trận, khiến dân chúng thiên hạ gan óc lầy đất, cha con phơi xương trắng ngoài đồng, nhiều không kể xiết, tiếng khóc lóc chưa nguôi, vết thương chưa lành, lại muốn hưng thịnh như thời Thành, Khang, thần trộm cho không bằng được.
且夫秦地被山带河，四塞以为固，卒然有急，百万之众可具 也。	Vả lại đất Tần lắm núi có Hoàng Hà bao bọc, biên tái bốn phía hiểm trở, thình lình nguy cấp, quân trăm vạn có thể tập hợp đủ.
因秦之故，资甚美膏腴之地，此所谓天府 者 也。	Dựa vào thế của Tần, lại thêm đất đai màu mỡ, đó là kho trời vậy.
陛下入关而都之，山东虽乱，秦之故地可全而有也。	Bệ hạ vào Quan Trung rồi đóng đô. Sơn Đông dễu loạn, đất cũ của Tần vẫn có thể bảo toàn.
夫与人斗， 不搤其亢， 拊其背，未能全其 胜也。	Xét lẽ, đấu với người, không chen yết hầu, đánh vào sau lưng, không chắc toàn thắng.
今陛下入关而都，案秦之故地，此亦搤天下之亢而拊其背 也。”高帝问群臣，群臣皆山东人，争言周王数百年，秦二世即亡，不 如都周。	Nay bệ hạ vào Quan Trung đóng đô, chiếm đất cũ nước Tần, là chẹn yết hầu thiên hạ rồi đánh úp sau lưng đấy.” Cao đế hỏi quần thần, quần thần đều người Sơn Đông, tranh nói nhà Chu mấy trăm năm, nhà Tần hai đời đã diệt vong, chẳng bằng đóng đô ở Chu.
上疑未能决。	Hoàng thượng do dự chưa quyết.
及留侯明言入关便，即日车驾西都关中。	Đến khi Lưu hầu nói rõ điểm lợi nếu vào Quan Trung, ngay hôm ấy đánh xe sang tây đóng đô ở Quan Trung.
於是上曰：“本言都秦地者娄敬，‘娄’者乃‘刘’也。”赐姓 刘氏，拜为郎中，号为奉春君。	Thế rồi Hoàng thượng nói: “Người ban đầu nói đóng đô đất Tần là Lâu Kính, Lâu tức là Lưu vậy.” Bèn ban họ Lưu, phong làm Lang trung, hiệu là Phùng Xuân quân.
汉七年，韩王信反，高帝自往击之。	Hán Cao tổ năm thứ bảy, Hàn vương Tín làm phản, Cao đế tự cầm quân đánh.
至晋阳，闻信与匈奴欲共击 汉，上大怒，使人使匈奴。	Tới Tấn Dương, nghe tin Tín cùng Hung Nô muốn hợp sức đánh Hán, Hoàng thượng cả giận, sai người đi sứ Hung Nô.
匈奴匿其壮士肥牛马，但见老弱及羸畜。	Hung Nô giấu tráng sĩ khỏe, trâu ngựa béo, chỉ cho thấy người già trẻ nhỏ, gia súc gầy.
使者十辈来，皆言匈奴可击。	Sứ giả qua lại mười lần, đều nói có thể đánh Hung Nô.
上使刘敬复往 使匈奴，还报曰：“两国相击，此宜夸矜见所长。	Hoàng thượng sai Lưu Kính lại đi sứ Hung Nô, về báo rằng: “Hai nước giao tranh, đáng lý phải khoa trương thế mạnh.
今臣往，徒见羸瘠 老弱，此必欲见短，伏 奇兵以争利。	Nay thần sang đó, chỉ thấy gia súc gầy còm, người già trẻ nhỏ, ắt muốn ta thấy chỗ yếu, mai phục kỳ binh để tranh lợi.
愚以为匈奴不可击也。”是时汉兵已逾句注， 二十馀万兵已业行。	Ngu thần cho là không thể đánh Hung Nô.” Lúc ấy quân Hán đã qua Câu Chú, hơn hai mươi vạn quân đã xuất phát.
上怒，骂刘敬 曰：“齐虏！	Hoàng thượng giận, mắng Lưu Kính: “Thằng mọi nước Tề!
以口舌得官，今乃妄言沮吾军。”械系敬广武。	Nhờ miệng lưỡi được làm quan, nay lại nói xằng ngăn trở quân ta.” Bèn đóng gông Kính, giải ra Quảng Vũ.
遂往，至平城，匈奴果出奇兵围高帝白登，七 日然後得解。	Cao đế lên đường, đến Bình Thành, Hung Nô quả nhiên xuất kỳ binh bao vây Cao đế ở Bạch Đằng, bảy ngày sau mới thoát được.
高帝至广武，赦敬，曰：“吾不用公言，以困平城。	Cao đế đến Quảng Vũ, xá tội Kính, nói: “Ta không nghe lời ông, nên bị vây khốn ở Bình Thành.
吾 皆已斩前使十辈言可击者矣。”乃封敬二千户，为关内侯，号为建信 侯。	Ta đã chém mười sứ giả trước đây nói có thể đánh.” Bèn phong Kính hai nghìn hộ, làm quan Nội hầu, hiệu Kiến Tín hầu.
高帝罢平城归，韩王信亡入胡。	Cao đế bãi binh từ Bình Thành về, Hàn vương Tín trốn vào đất Hồ.
当是时，冒顿为单于，兵彊，控 弦三十万，数苦北边。	Bấy giờ, Mặc Đốn làm Thiền vu, quân mạnh, cung nỏ có ba mươi vạn, nhiều lần đánh phá biên giới phía bắc.
上患之，问刘敬。	Hoàng thượng lo lắng, hỏi Lưu Kính.
刘敬曰：“天下初定，士卒罢於兵，未可以武服也。	Lưu Kính đáp: “Thiên hạ mới yên, sĩ tốt buông binh khí, chưa thể dùng vũ lực chế phục.
冒顿杀父代立， 妻群母，以力为威，未可以仁义说也。	Mặc Đốn giết cha cướp ngôi, lấy các vợ của cha, cậy sức ra oai, chưa thể dùng nhân nghĩa thuyết phục.
独可以计久远子孙为臣耳，然 恐陛下不能为。”上曰：“诚可，何为不能！	Chỉ có thể tính kế lâu dài để con cháu hắn xưng thần thôi, e là bệ hạ không làm được.” Hoàng thượng nói: “Nếu có thể, sao ta không làm!
顾为柰何？”刘敬对 曰：“陛下诚能以適长公主妻之，厚奉遗之，彼知汉適女送厚，蛮夷 必慕以为阏氏，生子必为太子。代单于。	Vậy phải làm sao?” Lưu Kinh đáp: “Nếu bệ hạ đem công chúa dòng đích gả cho hắn, đem nhiều của cải tặng cho, hắn biết nhà Hán gả con gái đích lại đưa lễ hậu, man di ắt thích phong làm Yên chi, sinh con ắt làm Thái tử, thay làm Thiền vu.
何者？	Tại sao?
贪汉重币。	Tham nhiều của cải nhà Hán.
陛下以岁 时汉所馀彼所鲜数问遗，因使辩士风谕以礼节。	Hằng năm bệ hạ đem những thứ nhà Hán thừa họ thiếu, tặng cho nhiều lần, nhân đó sai biện sĩ dùng lễ tiết khuyên dụ.
冒顿在，固为子婿； 死，则外孙为单于。	Mặc Đốn còn thì vốn là con rể; chết đi thì cháu ngoại bệ hạ làm Thiền vu.
岂尝闻外孙敢与大父抗礼者哉？	Há từng nghe cháu ngoại dám chống lễ tiết của ông ngoại chăng?
兵可无战以渐臣 也。	Dùng binh có thể không đánh lại dần khiến thần phục.
若陛下不能遣长公主，而令宗室及後宫诈称公主，彼亦知，不肯 贵近，无益也。”高帝曰：“善。”欲遣长公主。吕后日夜泣， 曰：“妾唯太子、一女，柰何弃之匈奴！”上竟不能遣长公主，而取 家人子名为长公主，妻单于。	Nếu bệ hạ không thể sai trưởng công chúa, lại sai người trong tông thất hoặc hậu cung giả danh công chúa, hắn mà biết được, không chịu gần gũi, vậy chẳng ích gì.” Cao để nói: “Phải.” Định sai trưởng công chúa đi, Lã hậu ngày đêm khóc lóc, nói: “Thiếp chỉ có Thái tử và một con gái, sao lại bỏ cho Hung Nô?” Hoàng thượng không thể sai trưởng công chúa đi, bèn lấy con gái nhà khác giả danh trưởng công chúa, gả cho Thiền vu.
使刘敬往结和亲约。	Sai Lưu Kính sang kết minh ước hòa thân.
刘敬从匈奴来，因言“匈奴河南白羊、楼烦王， 去长安近者七百 里，轻骑一日一夜可以至秦中。	Lưu Kính từ Hung Nô về, nhân nói: “Bạch Dương Vương, Lâu Phiền vương ở Hà Nam, Hung Nô, cách Trường An gần bảy trăm dặm, khinh kỵ đi một ngày một đêm có thể đến Tần Trung.
秦中新破，少民，地肥饶，可益实。	Tần Trung mới bị phá, dân ít, đất phì nhiêu, cần tăng lực lượng.
夫诸侯初起时，非齐诸田，楚昭、屈、景莫能兴。	Lúc chư hầu mới nổi, không phải họ Điền ở Tề, họ Chiêu, Khuất, Cảnh ở Sở, chẳng thể hứng khởi được.
今陛下虽都关中， 实少人。	Nay bệ hạ dẫu đóng đô ở Quan Trung, kỳ thực ít người.
北近胡寇，东有六国之族，宗彊，一日有变，陛下亦未得高 枕而卧也。	Phía bắc gần giặc Hồ, phía đông có tông tộc của sáu nước, tông tộc mạnh, ngày kia có biến, bệ hạ cũng chưa kê cao gối mà nằm được đâu.
臣原陛下徙齐诸田，楚昭、屈、景，燕、赵、韩、魏後， 及豪桀名家居关中。	Thần xin bệ hạ dời họ Điền ở Tề, họ Chiêu, Khuất, Cảnh ở Sở, cùng hậu duệ Yên, Triệu, Hàn, Ngụy, cho tới hào kiệt danh gia đến ở Quan Trung.
无事，可以备胡；诸侯有变，亦足率以东伐。	Vô sự, có thể phòng giặc Hồ; chư hầu có biến, cũng đủ sức dẫn quân chinh phạt phía đông.
此 彊本弱末之术也”。上曰：“善。”乃使刘敬徙所言关中十馀万口。	Đó là thuật gốc mạnh ngọn yếu vậy.” Hoàng thượng nói: “Phải.” Bèn sai Lưu Kính dời các họ gồm hơn mười vạn khẩu đến Quan Trung.
叔孙通者，薛人也。	Thúc Tôn Thông Thúc Tôn Thông, người đất Tiết.
秦时以文学徵，待诏博士。	Thời Tần, nhờ văn tài được trưng dụng, làm Đãi chiếu bác sĩ.
数岁，陈 胜起山东，使者以闻，二世召博士诸儒生问曰：“楚戍卒攻蕲入陈， 於公如何？”博士诸生三十馀人前曰：“人臣无将，将即反，罪死无 赦。	Mấy năm sau, Trần Thắng dấy Sơn Đông, sứ giả báo tin, Nhị thế triệu Bác sĩ cùng các nho sinh đến hỏi: “Lính thú Sở đánh đất Kỳ vào đất Trần, các ông nói xem phải làm sao?” Bác sĩ cùng các nho sinh hơn ba mươi người tiến đến nói: “Bề tôi không được mang lòng loạn nghịch, loạn nghịch tức làm phản, tội chết không thể tha.
原陛 下急发兵击之。”二世怒，作色。	Xin bệ hạ kíp phát binh đến đánh.” Nhị thế giận, biến sắc.
叔孙通前曰：“诸生言皆非也。	Thúc Tôn Thông tiến lên nói: “Lời các nho sinh đều không đúng.
夫 天下合为一家，毁郡县城，铄其兵，示天下不复用。	Thiên hạ hợp thành một nhà, hủy bỏ thành lũy ở quận huyện, nấu chảy binh khí, để tỏ cho thiên hạ sẽ không dùng nữa.
且明主在其上， 法令具於下，使人人奉职，四方辐輳，安敢有反者！	Vả trên có minh chúa, dưới có pháp lệnh đầy đủ, khiến ai nấy giữ chức phận, bốn phương hướng về, sao dám làm phản!
此特群盗鼠窃狗 盗耳，何足置之齿牙间。	Đó chỉ là lũ trộm gà bắt chó thôi, đâu cần nói đến.
郡守尉今捕论，何足忧。”二世喜 曰：“善。”尽问诸生，诸生或言反，或言盗。	Nay Quận thú, Huyện úy bắt chúng luận tội, không đáng lo ngại.” Nhị thế mừng nói: “Phải.” Hỏi khắp lượt nho sinh, các nho sinh đều nói làm phản, có người nói bọn trộm.
於是二世令御史案诸 生言反者下吏，非所宜言。	Nhị thế liền lệnh Ngự sử đem các nho sinh nói là làm phản giao pháp quan trị tội, vì nói điều không nên nói.
诸言盗者皆罢之。	Các nho sinh nói là bọn trộm đều bãi miễn.
乃赐叔孙通帛二十匹， 衣一袭， 拜为博士。	Bèn ban cho Thúc Tôn Thông hai mươi xấp lụa trắng, một bộ quần áo, phong làm Bác sĩ.
叔孙通已出 宫，反舍，诸生曰：“先生何言之谀也？”通曰：“公不知也，我几 不脱於虎口！”乃亡去，之薛，薛已降楚矣。	Thúc Tôn Thông đã ra khỏi cung, về nhà riêng, các nho sinh hỏi: “Tiên sinh sao nói nịnh bợ thế?” Thông đáp: “Các ông không biết đấy thôi, ta suýt không thoát khỏi miệng cọp!” Bèn trốn đi, đến đất Tiết, đất Tiết đã hàng Sở.
及项梁之 薛，叔孙通从之。	Khi Hạng Lương đến đất Tiết, Thúc Tôn Thông theo.
败於定陶，从怀王。	[Hạng Lương] thua ở Định Đào, theo Hoài vương.
怀王为义帝，徙长沙，叔孙通 留事项王。	Hoài vương làm Nghĩa đế, dời đến Trường Sa, Thúc Tôn Thông ở lại thờ Hạng vương.
汉二年，汉王从五诸侯入彭城，叔孙通降汉王。	Hán vương năm thứ hai, Hán vương thống lĩnh năm chư hầu vào Bành Thành, Thúc Tôn Thông hàng Hán vương.
汉王败而 西，因竟从汉。	Hán vương thua rồi về tây, nhân đó lại theo Hán.
叔孙通儒服，汉王憎之；乃变其服，服短衣，楚制， 汉王喜。	Thúc Tôn Thông mặc nho phục, Hán vương rất ghét. Bèn đổi y phục, mặc áo ngắn, may kiểu Sở, Hán vương thích.
叔孙通之降汉，从儒生弟子百馀人，然通无所言进，专言诸故群 盗壮士进之。	Thúc Tôn Thông hàng Hán, nho sinh đệ tử hơn trăm người đi theo, nhưng Thông không tiến cử ai, chuyên tiến cử những người trước là trộm cắp, tráng sĩ.
弟子皆窃骂曰：“事先生数岁，幸得从降汉，今不能进 臣等，专言大猾，何也？”叔孙 通闻之，乃谓曰：“汉王方蒙矢石争天下， 诸生宁能斗乎？	Đệ tử đều chửi thầm: “Thờ tiên sinh mấy năm, may được theo hàng Hán, nay không thể tiến cử bọn tôi, chỉ tiến cử bọn gian hoạt, là sao?” Thúc Tôn Thông nghe được, bèn bảo rằng: “Hán vương đang xông pha tên đạn tranh đoạt thiên hạ, các trò đi đánh giết được không?
故先言斩将搴旗 之士。	Nên trước hết tiến cử dũng sĩ chém tướng đoạt cờ.
诸生且待我，我不忘 矣。”汉王拜叔孙通为博士，号稷嗣君。	Các trò hãy chờ ta, ta không quên đâu.” Hán vương phong Thúc Tôn Thông làm Bác sĩ, hiệu Tắc Tự quân.
汉五年，已并天下，诸侯共尊汉王为皇帝於定陶，叔孙通就其仪 号。	Hán vương năm thứ năm, đã thôn tính thiên hạ, chư hầu cùng tôn Hán vương làm hoàng đế tại Định Đào, Thúc Tôn Thông chế định lễ nghi danh hiệu.
高帝悉去秦苛仪法，为简易。	Cao đế bỏ hết lễ nghi pháp luật hà khắc của Tần, đổi cho đơn giản.
群臣饮酒争功，醉或妄呼，拔剑击 柱，高帝患之。	Quần thần uống rượu tranh công, có người uống say hô hoán, tuốt kiếm chém cột, Cao đế lo lắng việc đó.
叔孙通知上益厌之也，说上曰：“夫儒者难与进取， 可与守成。	Thúc Tôn Thông biết hoàng thượng ngày càng ghét cảnh đó, nói với hoàng thượng rằng: “Đám nhà nho khó có thể cùng giành thiên hạ, nhưng có thể cùng giữ thành quả.
臣原徵鲁诸生，与臣弟子共起朝仪。”高帝曰：“得无难 乎？”叔孙通曰：“五帝异乐，三王不同礼。	Thần xin trưng dụng nho sinh nước Lỗ, cùng đệ tử của thần thiết lập triều nghi.” Cao đế hỏi: “Có khó lắm không?” Thúc Tôn Thông đáp: “Nhạc thời Ngũ đế khác nhau, lễ hội Tam vương không giống nhau.
礼者，因时世人情为之 节文者也。	Lễ, theo thời thế nhân tình điều chỉnh cho phù hợp.
故夏、殷、周之礼所因损益可知者，谓不相复也。	Cho nên lễ nhà Hạ, Ân, Chu dựa vào chỗ thêm bớt có thể biết được, vì không trùng lặp.
臣原颇 采古礼与秦仪杂就之。”上曰：“可试为之，令易知，度吾所能行为 之。”於是叔孙通使徵鲁诸生三十馀人。	Thần xin chọn rộng lễ thời cổ cùng nghi nhà Tần chế định lễ nghi mới.” Hoàng thượng nói: “Hãy làm thử, nếu dễ hiểu, xét xem điều ta thi hành được mới làm.” Thế là Thúc Tôn Thông sai trưng dụng hơn ba mươi nho sinh nước Lỗ.
鲁有两生不肯行，曰：“公所 事者且十主，皆面谀以得亲贵。	Có hai nho sinh nước Lỗ không chịu đi, nói: “Ông thờ hàng chục chủ, đều ra mặt nịnh để được thân quý.
今天下初定，死者未葬，伤者未起， 又欲起礼乐。	Nay thiên hạ mới yên định, người chết chưa chôn, người thương chưa lành, lại muốn xướng lễ nhạc.
礼乐所由起，积德百年而後可兴也。	Khởi điểm của lễ nhạc là tích đức trăm năm sau mới thực hiện.
吾不忍为公所为。	Bọn tôi không đành lòng vì ông làm việc đó.
公所为不合古，吾不行。	Việc ông làm không hợp lễ chế cổ, chúng tôi không làm.
公往矣，无汙我！”叔孙通笑曰：“若真鄙 儒也，不知时变。”遂与所徵三十人西，及上左右为学者与其弟子百馀人为绵蕞 野外。	Ông đi đi, đừng vấy bẩn đến chúng tôi?” Thúc Tôn Thông cười nói: “Các ông đúng là nhà nho thiển cận, không biết biến đổi theo thời.” Bèn dẫn ba mươi người trưng dụng được sang tây, cùng tả hữu của hoàng thượng theo học và các đệ tử gồm hơn trăm người luyện tập lễ nghi ngoài đồng.
习之月馀，叔孙通曰：“上可试观。”上既 观，使行礼，曰：“吾能为此。”乃令群臣习肄， 会十月。	Tập được hơn tháng, Thúc Tôn Thông nói: “Hoàng thượng có thể xem thử.” Hoàng thượng đến xem, sai hành lễ, nói: “Ta có thể theo lễ này.” Bèn lệnh quần thần luyện tập, tháng Mười hội triều.
汉七年，长乐宫成，诸侯群臣皆朝十月。	Hán Cao tổ năm thứ bảy, xây xong cung Trường Lạc, chư hầu quần thần đến chầu tháng Mười.
仪：先平明，谒者治礼，引以 次入殿门，廷中陈车骑步卒卫宫，设兵张旗志。	Nghi chế: trước trời sáng, yết giả phụ trách lễ nghi, theo thứ tự dẫn vào Cổng điện, trong sân đình, sắp xe ngựa lính bộ bảo vệ cung điện theo hàng lối, bày binh lính giương cờ xí.
传言“趋”。殿下郎中侠陛，陛数百人。	Truyền rằng “Rảo bước”, Lang trung dưới điện chạy đến hai bên thềm, mỗi bên mấy trăm người.
功臣列侯诸将军军吏以次陈西 方，东乡；文官丞相以下陈东方，西乡。	Công thần, liệt hầu, tướng quân, quan lại trong quân, theo thứ bậc đứng phía tây, quay mặt về đông; quan văn, Thừa tướng trở xuống đứng phía đông, quay mặt về tây.
大行设九宾，胪传。	Bày chín người làm dẫn tiến, truyền gọi theo thứ bậc.
於是皇帝辇出房， 百官执职 传警， 引诸侯王以下至吏六百石以次奉贺。	Thế rồi hoàng đế ngồi xe từ trong phòng đi ra, trăm quan cầm cờ xí, truyền hô chuẩn bị, dẫn các vương hầu xuống đến các quan hạng sáu trăm thạch theo thứ bậc lên chúc mừng.
自诸侯王 以下莫不振恐肃敬。	Từ vương hầu trở xuống không ai không sợ sệt kính cẩn.
至礼毕，复置法酒。	Khi lễ xong, lại bày nghi lễ dâng rượu.
诸侍坐殿上皆伏抑首，以尊卑 次起上寿。	Các quan ngồi trên điện đều phủ phục cúi đầu, theo thứ bậc cao thấp đứng lên chúc thọ Hoàng thượng.
觞九行，谒者言“罢酒”。	Dâng chén đủ chín lần, yết giả nói “Thôi rượu”.
御史执法举不如仪者辄引去。	Ngự sử chấp pháp, ai dâng không đúng nghi thức liền bị đưa đi.
竟朝置酒，无敢讙譁失礼者。	Triều hội xong bày tiệc rượu, không ai dám ồn ào thất lễ.
於是高帝曰：“吾乃今日知为皇帝之贵 也。”乃拜叔孙通为太常，赐金五百斤。	Xong xuôi, Cao đế nói: “Hôm nay ta mới biết sự tôn quý của hoàng đế.” Bèn phong Thúc Tôn Thông làm Thái thường, ban năm trăm cân vàng.
叔孙通因进曰：“诸弟子儒生随臣久矣，与臣共为仪，原陛下官 之。”高帝悉以为郎。	Thúc Tôn Thông nhân đó tâu: “Các nho sinh đệ tử theo thần đã lâu, cùng thần chế định lễ nghi, xin bệ hạ cho họ làm quan.” Cao đế cho hết thảy làm quan lang.
叔孙通出，皆以五百斤金赐诸生。	Thúc Tôn Thông ra về, đem năm trăm cân vàng thưởng các học trò.
诸生乃皆喜 曰：“叔孙生诚圣人也，知当世之要务。”汉九年，高帝徙叔孙通为太子太傅。	Các học trò đều vui mừng nói: “Thầy Thúc Tôn thực là thánh nhân, biết việc quan trọng đời nay cần.” Hán Cao tổ năm thứ chín, Cao đế chuyển Thúc Tôn Thông làm Thái tử thái phó.
汉十二年，高祖欲以赵王如 意易太子，叔孙通谏上曰：“昔者晋献公以骊姬之故废太子，立奚 齐，晋国乱者数十年，为天下笑。	Hán Cao tổ năm thứ mười hai, Cao đế muốn cho Triệu vương Như Ý thay Thái tử, Thúc Tôn Thông can rằng: “Xưa kia, Tấn Hiến công vì nàng Ly Cơ phế Thái tử, lập Hề Tề thay, khiến Tấn loạn mấy chục năm, bị thiên hạ chê cười.
秦以不蚤定扶苏，令赵高得以诈立 胡亥，自使灭祀，此陛下所亲见。	Tần không sớm lập Phù Tô, khiến Triệu Cao giả chiếu lập Hồ Hợi, tự mình dứt tuyệt tế tự tông miếu, đều là việc bệ hạ chính mắt thấy.
今太子仁孝，天下皆闻之；吕后与 陛下攻苦食啖， 其可背哉！	Nay Thái tử nhân hậu hiếu thuận, thiên hạ đều biết; Lã hậu cùng bệ hạ qua bao khổ cực, lẽ nào lại quay lưng?
陛下必欲废適而 立少，臣原先伏诛，以颈血汙地。”高 帝曰：“公罢矣，吾直戏耳。”叔孙通曰：“太子天下本，本一摇天 下振动，柰何以天下为戏！”高帝曰：“吾听公言。”及上置酒，见 留侯所招客从太子入见，上乃遂无易太子志矣。	Nếu bệ hạ muốn phế đích lập thứ, thần xin chịu chết trước, lấy máu trên cổ tưới đất này.” Cao đế nói: “Ông đừng nói nữa, ta chỉ đùa thôi.” Thúc Tôn Thông nói: “Thái tử là gốc thiên hạ, gốc lung lay thiên hạ chấn động, sao coi thiên hạ như trò đùa được!” Cao đế nói: “Ta nghe lời ông.” Đến khi Hoàng thượng bày tiệc rượu, thấy tân khách Lưu hầu vời về theo Thái tử vào yết kiến, Hoàng thượng bèn bỏ ý định thay Thái tử.
高帝崩，孝惠即位，乃谓叔孙生曰：“先帝园陵寝庙，群臣莫 习。”徙为太常，定宗庙仪法。	Cao đế băng, Hiếu Huệ đế lên ngôi, bèn nói với Thúc Tôn sinh rằng: “Lễ nghi nơi lăng miếu tiên đế, quần thần không ai thông hiểu.” Liền đổi sang chức Thái thường, lập nghi lễ chốn tông miếu.
及稍定汉诸仪法，皆叔孙生为太常所 论箸也。	Nghi thức pháp chế nhà Hán đều do Thúc Tôn Thông soạn khi làm Thái thường vậy.
孝惠帝为东朝长乐宫， 及间往，数跸 烦人，乃作衤 复道，方筑武库南。	Thái hậu ở cung Trường Lạc, khi thanh nhàn Hiếu Huệ đế thường sang, nhiều lần cấm đường gây phiền người khác, bèn làm cầu nối hai cung, đang xây ở phía nam kho quân giới.
叔孙生奏事，因请间曰：“陛下何自筑衤复道高寝，衣 冠月出游高庙？	Thúc Tôn Thông tấu việc, nhân xin gặp riêng, nói: “Sao bệ hạ tự ý làm cầu chỗ Cao tẩm vậy?
高庙，汉太祖，柰何令後世子孙乘宗庙道上行 哉？”孝惠帝大惧，曰：“急坏之。”叔孙生 曰：“人主无过举。	Tiên đế hằng tháng áo mũ xuất du ra Cao miếu, Cao miếu là tông miếu của Thái tổ nhà Hán, sao lại cho con cháu đời sau đi đường phía trên tông miếu được?” Hiếu Huệ đế cả sợ, nói: “Hủy bỏ ngay!” Thúc Tôn Thông nói: “Làm vua không thi hành việc sai lầm.
今已 作，百姓皆知之，今坏此，则示有过举。	Nay đã trót làm, trăm họ đều biết cả, nếu hủy đi, chứng tỏ mình làm sai.
原陛下原庙渭北，衣冠月出 游之，益广多宗庙，大孝之本也。”上乃诏有司立原庙。	Xin bệ hạ làm Nguyên miếu ở bắc sông Vị, hằng tháng Cao tổ mũ áo xuất du ra đó. Mở rộng thêm tông miếu, là gốc của đại hiếu vậy.” Hoàng thượng bèn hạ chiếu sai hữu ty lập Nguyên miếu.
原庙起，以 衤复道故。	Khởi dựng Nguyên miếu, là do trót làm cầu nối hai cung vậy.
