晋唐叔虞者， 周武王子而成王弟。	Đường thúc Ngu nước Tấn là con của Chu Vũ vương, em Thành vương.
成师封曲沃，号为桓叔。	Thành Sư được phong ở Khúc Ốc, hiệu là Hoàn thúc.
靖侯庶孙栾宾 相桓叔。	Cháu ngành thứ của Tĩnh hầu là Loan Tân phò tá Hoàn thúc.
桓叔是时年五十八矣，好德，晋国之众 皆附焉。	Bấy giờ Hoàn thúc đã năm mươi tám tuổi, hiếu đức, dân nước Tấn đều quy phụ theo.
君子曰：“晋之乱其在曲沃矣。	Bậc quân tử nói: “Loạn của nước Tấn là ở Khúc Ốc vậy.
末大於本而得民心，不乱何 待！”七年，晋大臣潘父弑其君昭侯而迎曲沃桓叔。	Ngọn lớn hơn gốc mà lại được lòng dân, không loạn thì còn chờ gì nữa!” Năm thứ bảy, đại thần nước Tấn là Phan Phủ giết vua nước mình là Chiêu hầu rồi đón Khúc Ốc Hoàn thúc.
桓叔欲入晋，晋人 发兵攻桓叔。	Hoàn thúc muốn vào nước Tấn, người Tấn phát binh tấn công Hoàn thúc.
桓叔败，还归曲沃。	Hoàn thúc bị thua, trở về Khúc Ốc.
晋人共立昭侯子平为君，是为孝 侯。	Người Tấn cùng lập con của Chiêu hầu là Bình làm vua, đó là Hiếu hầu.
诛潘父。	[Người nước Tấn] giết Phan Phủ.
孝侯八年，曲沃桓叔卒，子鳝代桓 叔，是为曲沃庄伯。	Hiếu hầu năm thứ tám, Khúc Ốc Hoàn thúc chết, con là Thiện thay Hoàn thúc, đó là Khúc Ốc Trang bá.
孝侯十五年，曲沃庄伯弑其君晋孝侯于翼。	Hiếu hầu năm thứ mười lăm, Khúc Ốc Trang bá giết vua nước mình là Tấn Hiếu hầu tại ấp Dực.
晋人 攻曲沃庄伯，庄伯复入曲沃。	Người Tấn tấn công Khúc Ốc Trang bá, Trang bá lại về Khúc Ốc.
晋人复立孝侯子郄 为君，是为鄂侯。	Người Tấn lại lập con của Hiếu hầu là Khích lên làm vua, đó là Ngạc hầu.
鄂侯二年，鲁隐公初立。	Ngạc hầu năm thứ hai, Lỗ Ẩn công mới lên ngôi.
鄂侯六年卒。	Ngạc hầu năm thứ sáu thì chết.
曲沃庄伯闻晋鄂侯卒，乃兴兵伐晋。	Khúc Ốc Trang bá nghe tin Tấn Ngạc hầu chết, bèn dấy binh thảo phạt nước Tấn.
周平王使虢公 将兵伐曲沃庄伯，庄伯走保曲沃。	Chu Bình vương [liền] sai Quốc Công đem quân thảo phạt Khúc Ốc Trang bá, Trang bá chạy về giữ Khúc Ốc.
晋人共立鄂侯子光，是为哀侯。	Người Tấn cùng lập con của Ngạc hầu là Quang lên ngôi, đó là Ai hầu.
哀侯二年曲沃庄伯卒，子称代庄伯立，是为曲沃 武公。	Ai hầu năm thứ hai, Khúc Ốc Trang bá chết, con là Xứng lên thay Trang bá, đó là Khúc Ốc Vũ công.
哀侯六年，鲁弑其君隐公。	Ai hầu năm thứ sáu, người Lỗ giết vua nước mình là Ẩn công.
哀侯八年，晋侵陉廷。	Ai công năm thứ tám, nước Tấn xâm phạm ấp Hình Đình.
陉廷与曲沃武公谋，九年，伐晋于汾旁， 虏哀侯。	Người ở ấp Hình Đình bàn mưu với Khúc Ốc Vũ công, năm thứ chín, thảo phạt nước Tấn ở bên cạnh sông Phần của nước Tấn, bắt sống Ai hầu.
晋人乃立哀侯子小子为君，是为小子侯。	Người Tấn bèn lập con của Ai hầu là Tiểu Tử lên làm vua, đó là Tiểu Tử hầu.
小子元年，曲沃武公使韩万杀所虏晋哀侯。	Tiểu Tử hầu năm thứ nhất, Khúc Ốc Vũ công sai Hàn Vạn giết Tấn Ai hầu [trước đó] bị bắt làm tù binh.
曲沃益彊，晋无如之何。	Khúc Ốc ngày càng lớn mạnh, nước Tấn không biết làm thế nào.
晋小子之四年，曲沃武公诱召晋小子杀之。	Tiểu Tử hầu nước Tấn năm thứ tư, Khúc Ốc Vũ công lừa triệu Tiểu Tử hầu nước Tấn tới rồi giết chết.
周桓王使虢仲 伐曲沃武公，武公入于 曲沃，乃立晋哀侯弟缗为晋侯。	Chu Hoàn vương sai Quốc Trọng thảo phạt Khúc Ốc Vũ công, Vũ công chạy về Khúc Ốc, [Chu Hoàn vương] bèn lập em của Tấn Ai hầu là Mân làm Tấn hầu.
晋侯缗四年，宋执郑祭仲而立突为郑君。	Tấn hầu Mân năm thứ tư, nước Tống bắt Sái Trọng nước Trịnh rồi lập Đột làm Trịnh quân.
晋侯十九年，齐人管至 父弑其君襄公。	Tấn hầu năm thứ mười chín, Quản Chí Phủ người Tề giết vua nước mình là Tương công.
晋侯二十八年，齐桓公始霸。	Tấn hầu năm thứ hai mươi tám, Tề Hoàn công bắt đầu xưng bá.
曲沃武公伐晋侯缗，灭之，尽以其 宝器赂献于周釐王。	Khúc Ốc Vũ công thảo phạt Tấn hầu Mân, diệt được, rồi đem tất cả đồ quý báu [thu được của Tấn hầu] dâng cho Chu Hy vương để hối lộ.
釐王命曲沃武公为晋君，列为诸侯，於是尽并晋 地而有之。	Hy vương mệnh cho Khúc Ốc Vũ công làm Tấn quân, được liệt vào hàng chư hầu, thế là [Khúc Ốc Vũ công] chiếm hết được đất Tấn.
曲沃武公已即位三十七年矣，更号曰晋武公。	Sau khi Khúc Ốc Vũ công lên ngôi được ba mươi bảy năm, đổi hiệu thành Tấn Vũ công.
晋武公始都晋国， 前即位曲沃，通年三十八年。	Tấn Vũ công bắt đầu đóng đô ở nước Tấn, trước đây lên ngôi ở Khúc Ốc, tính tổng số năm là ba mươi tám năm.
武公称者，先晋穆侯曾孙也，曲 沃桓叔孙也。	Vũ công Xứng, là chắt của Tấn Mục hầu trước đây, cháu nội của Khúc Ốc Hoàn thúc.
桓叔者，始封曲沃。	Ban đầu Hoàn thúc được phong ở Khúc Ốc.
武公，庄伯子也。	Vũ công là con của Trang bá.
自桓叔初封曲沃 以至武公灭晋也，凡六十七岁，而卒代晋为诸侯。	Từ lúc Hoàn thúc bắt đầu được phong ở đất Khúc Ốc đến khi Vũ công tiêu diệt nước Tấn, cả thảy sáu mươi bảy năm, rồi cuối cùng thay nước Tấn làm nước chư hầu.
武公代晋二岁， 卒。	Vũ công thay nhà Tấn được hai năm thì chết.
与曲沃通年，即位凡三十九年而卒。	Tính tổng cả những năm ở Khúc Ốc, cả thảy ở ngôi được ba mươi chín năm thì chết.
子献公诡诸立。	Con là Hiến công Quỷ Chư lên thay.
献公元年，周惠王弟穨攻惠王，惠王出奔，居郑之栎邑。	Hiến công năm thứ nhất, em trai của Chu Huệ vương là Đồi tấn công Huệ vương, Huệ vương chạy trốn khỏi nước, đến sống ở ấp Lịch của nước Trịnh.
五年，伐骊戎，得骊姬、骊姬 弟，俱爱幸之。	Năm thứ năm, thảo phạt Ly Nhung, bắt được nàng Ly cơ và em gái của Ly cơ, đều được Hiến công sủng ái.
八年，士蔿说公曰：“故晋之群公 子多，不诛，乱且起。”乃使尽杀诸公子，而城聚都之， 命曰绛，始都绛。	Năm thứ tám, [đại phu] Sĩ Vị khuyên Hiến công rằng: “Nước Tấn trước đây có nhiều công tử, không giết họ, sẽ sinh loạn.” [Hiến công] bèn sai giết hết các công tử nước Tấn, rồi dựng thành Tụ và đóng đô ấp ở đó, gọi là Giáng, bắt đầu đóng đô ở đất Giáng.
九年，晋群 公子既亡奔虢，虢以其故再伐晋，弗克。	Năm thứ chín, các công tử nước Tấn [sợ bị giết] đã chạy trốn sang nước Quắc, nước Quắc lấy lý do đó, lại thảo phạt nước Tấn nhưng không hạ được.
十年，晋欲伐虢，士蔿 曰：“且待其乱。”十二年，骊姬生奚齐。	Năm thứ mười, nước Tấn muốn thảo phạt nước Quốc, Sĩ Vị nói: “Hãy đợi nước họ loạn đã.” Năm thứ mười hai, Ly cơ sinh Hề Tề.
献公有意废太子，乃曰：“曲沃吾先祖宗 庙所在，而蒲边秦，屈边翟， 不使诸子居之，我惧 焉。”於是使太子申生居曲沃，公子重耳居蒲，公子夷吾居屈。	Hiến công có ý muốn phế bỏ Thái tử, bèn nói: “Khúc Ốc là chỗ có tông miếu của tổ tiên ta, còn ấp Bồ ở giáp Tần, ấp Khuất ở cạnh nước Địch, không sai các con ra ở đấy, ta rất lo lắng.” Thế rồi sai Thái tử Thân Sinh ra ở Khúc Ốc, công tử Trùng Nhĩ ra ở ấp Bồ, công tử Di Ngô ra ở ấp Khuất.
献公 与骊姬子奚齐居绛。	Hiến công cùng con của Ly cơ là Hề Tề ở thành Giáng.
晋国以此知太子不立也。	Người nước Tấn qua đó biết rằng Thái tử sẽ không được kế vị.
太子申生，其母齐桓公 女也，曰齐姜，早死。	Mẹ của Thái tử Thân Sinh là con gái của Tề Hoàn công, gọi là Tề Khương, chết sớm.
申生同母女弟为秦穆公夫人。	Em gái cùng mẹ với Thân Sinh làm phu nhân của Tần Mục công.
重耳母，翟之狐 氏女也。夷吾母，重耳母女弟也。	Mẹ của Trùng Nhĩ là con gái họ Hồ nước Địch. Mẹ của Di Ngô là em gái của mẹ Trùng Nhĩ.
献公子八人，而太子申生、重耳、 夷吾皆有贤行。	Hiến công có tám người con trai, trong đó Thái tử Thân Sinh, Trùng Nhĩ, Di Ngô đều hiền năng đức hạnh.
及得骊姬，乃远此三子。	Đến khi có Ly cơ, [Hiến công] bèn xa lánh ba người con này.
十六年，晋献公作二军。	Năm thứ mười sáu, Tấn Hiến công lập ra hai quân.
公将上军，太子申生将下军，赵夙御戎，毕万为右， 伐灭霍，灭魏，灭耿。	Hiến công thống lãnh thượng quân, Thái tử Thân sinh thống lãnh hạ quân, Triệu Túc làm ngự nhung, Tất Vạn làm hộ vệ bên phải, thảo phạt tiêu diệt nước Hoắc, diệt nước Ngụy, diệt nước Cảnh.
还，为太子城曲沃，赐赵夙耿，赐毕万魏，以为大 夫。	Trở về, Hiến công xây thành cho Thái tử ở Khúc Ốc, ban cho Triệu Túc đất Cảnh, ban cho Tất Vạn đất Ngụy, cho làm đại phu.
士蔿曰：“太子不得立矣。	Sĩ Vị nói: “Thái tử không được lập rồi.
分之都城， 而位以卿，先为之极， 又安得立！	Phân phong cho đô thành, rồi cho làm quan khanh, trước đã phong tước vị cao nhất, sau sao còn được lập nữa!
不如逃之，无使罪至。	Chẳng bằng hãy bỏ trốn, không để tội đến mình.
为 吴太伯，不亦可乎，犹 有令名。”太子不 从。	Bắt chước Ngô Thái bá, chẳng cũng hay chăng, còn được tiếng tốt.” Thái tử không nghe.
卜偃曰：“毕万之後必大。	Bốc Yển nói: “Hậu duệ của Tất Vạn ắt hùng mạnh.
”万，盈数也；魏，大名也。	Vạn là số tròn lớn; Ngụy là tiếng tăm lớn.
以是始赏，天开之矣。	Đem đất Ngụy để ban thưởng, là trời mở mang cho rồi.
天子曰兆民，诸侯曰万民，今命之大，以从盈数，其 必有众。”初，毕万卜仕於晋 国，遇屯之比。	Thiên tử xưng là có triệu dân, chư hầu xưng là có muôn dân, nay ban đại danh, cấp số tròn lớn, ắt sẽ có dân chúng đông đảo.” Ban đầu, Tất Vạn đi bói việc làm quan ở nước Tấn, được quẻ Truân biến sang quẻ Tỷ.
辛廖占之曰：“吉。”	Tân Liệu xem bói cho rồi nói: “Tốt.
屯固比入， 吉孰大焉。	Truân là kiên cố, Tỷ là vào, tốt thay, còn gì lớn lao hơn quẻ này.
其後必蕃昌。”十七年，晋侯使太子申生伐东山。	Sau này ắt sẽ phồn thịnh.” Năm thứ mười bảy, Tấn hầu sai Thái tử Thân Sinh thảo phạt Đông Sơn.
里克谏献公曰：“太子奉冢 祀社稷之粢盛，以朝夕视君膳者也，故曰 冢子。	Lý Khắc can Hiến công rằng: “Thái tử lo việc cung phụng tế phẩm tế tự tông miếu xã tắc, là người sớm tối chăm lo việc ăn uống của nhà vua, cho nên gọi là Trủng tử.
君行则守，有守则从，从曰 抚军，守曰监国，古之制也。	Nhà vua ra ngoài thì [thái tử phải ở nhà] coi giữ, có người coi giữ rồi thì [Thái tử phải] đi theo, đi theo thì gọi là Phủ quân (vỗ về quân binh), coi giữ thì gọi là Giám quốc (giám sát đất nước), là chế độ thời xưa vậy.
夫率 师，专行谋也；誓军旅， 君与国政之所图也： 非太子之事也。	Xét lẽ, cầm quân là việc của người chuyên mưu lược quân sự; ban bố hiệu lệnh, là chức trách của nhà vua và quan chính khanh, không phải việc của Thái tử.
师在制命而已， 禀命则不威，专命则不孝，故君之嗣適不可以帅师。	Quân đội cốt ở mệnh lệnh, phải bẩm xin quân mệnh thì không còn uy nghiêm, tự ra quân lệnh thì không còn hiếu thuận, cho nên người dòng đích thừa kế của nhà vua không thể là người thống lãnh quân đội được.
君失其 官，率师不威，将安用 之？”公曰：“寡人有 子，未知其太子谁立。”里克不对而退，见太子。	Nhà vua xếp đặt quan chức không thỏa đáng thì người thắng lãnh quân đội lại không giữ được uy nghiêm, sao lại sai [Thái tử] làm việc đó?” Hiến công nói: “Quả nhân có nhiều con trai, còn chưa biết sẽ lập ai làm Thái tử.” Lý Khắc không đáp mà lui, đi gặp Thái tử.
太子曰：“吾其废 乎？”里克曰：“太子勉之！	Thái tử hỏi: “Tôi sẽ bị phế phải không?” Lý Khắc đáp: “Thái tử gắng lên!
教以军旅，”不 共是惧，何故废乎？且子惧不孝，毋惧不得立。	[Nhà vua] lệnh cho [Thái tử] thống lĩnh quân đội, không cung kính [tuân theo] mới sợ, cớ gì bị phế: Vả lại điều ngài sợ là bất hiếu, chứ không sợ không được lập.
修己而不责人，则免於难。”太子帅师，公衣之偏衣， 佩之金玦。	Chỉ cần tu thân mình mà không trách vọng người khác, thì sẽ tránh được nạn.” Thái tử chỉ huy quân đội, Hiến công khoác thiên y, đeo vòng kim quyết cho.
里克谢病，不从太 子。	Lý Khắc thác bệnh, không theo Thái tử.
太子遂伐东山。	Thái tử bèn đi thảo phạt Đông Sơn.
十九年，献公曰：“始吾先君庄伯、武公之诛晋乱，而虢常助晋 伐我，又匿晋亡公子，果为乱。	Năm thứ mười chín, Hiến công nói: “Ban đầu, các vị tiên quân ta là Trang bá, Vũ công đi tru diệt nội loạn ở Tấn, còn nước Quốc thường giúp Tấn thảo phạt ta [ở Khúc Ốc], lại giấu công tử bỏ trốn của Tấn, [nay] quả nhiên làm loạn.
弗诛，後遗子 孙忧。”乃使荀息以屈产之乘 假道於虞。	Nếu không tru diệt sẽ để lại mối lo cho con cháu.” Bèn sai Tuân Tức dùng ngựa ở Khuất Sản và xe tốt bốn ngựa kéo [tặng vua nước Ngu] để mượn đường nước Ngu.
虞假道，遂伐虢， 取其下阳以归。	Nước Ngu cho mượn đường, [nước Tấn] bèn thảo phạt nước Quắc, chiếm lấy ấp Hạ Dương của nước Quắc rồi về.
献公私谓骊姬曰：“吾欲废太子，以奚齐代之。”骊姬泣 曰：“太子之立，诸侯皆已知之，而数将兵，百姓附之，柰何以贱妾 之故废適立庶？	Hiến công nói riêng với Ly cơ rằng: “Ta muốn phế truất Thái tử để cho Hề Tề lên thay.” Ly cơ khóc nói: “Việc lập Thái tử, chư hầu đều đã biết, còn [Thái tử] lại nhiều lần cầm quân, trăm họ đều quy phụ theo, cớ sao vì tiện thiếp mà phế đích lập thứ?
君必行之，妾自杀也。”骊姬详誉太子，而阴令人谮 恶太子，而欲立其子。	Nếu nhà vua nhất định làm thế, thiếp sẽ tự sát.” Ly cơ vờ khen Thái tử, nhưng lại ngầm sai người nói xấu Thái tử, [mục đích là] muốn lập con mình lên thay.
二十一年，骊姬谓太子曰：“君梦见齐姜，太子速祭曲沃， 归釐於君。”太子於是祭其母齐姜於曲沃，上 其荐胙於献公。	Năm thứ hai mươi mốt, Ly cơ bảo Thái tử rằng: “Nhà vua mơ thấy Tề Khương, Thái tử mau đến tế ở Khúc Ốc, rồi mang thịt tế về dâng lên nhà vua.” Thế là Thái tử tế mẹ mình là Tề khương ở Khúc Ốc, rồi dâng thịt tế lên Hiến công.
献公时出猎，置胙於宫中。	Bấy giờ Hiến công ra ngoài đi săn, [Thái tử] để thịt ở trong cung.
骊姬使人置毒药胙中。	Ly cơ sai người cho thuốc độc vào trong thịt.
居 二日，献公从猎来还，宰人上胙献公，献 公欲飨之。	Hai hôm sau, Hiến công đi săn về, đầu bếp dâng thịt lên, Hiến công định ăn.
骊姬从旁止之，曰：“胙所从来远，宜试之。”祭地，地 坟；与犬，犬死；与 小臣，小臣死。	Ly cơ ở bên cạnh ngăn lại, nói: “Thịt tế từ xa mang vào, nên thử trước.” Ném thịt xuống đất, đất sùi lên; cho chó ăn, chó chết; cho Tiểu thần ăn, Tiểu thần chết.
骊姬 泣曰：“太子何忍也！	Ly cơ khóc nói: “Thái tử sao nhẫn tâm vậy!
其父而欲弑代之，况他人乎？	Cha mình mà còn muốn giết để lên thay, huống hồ là người khác?
且君老矣，旦暮 之人，曾不能待而欲弑之！”谓献公曰：“太子所以然者，不过以妾 及奚齐之故。	Hơn nữa nhà vua già rồi, người chỉ còn trong một sớm một chiều, đã không thể đối đãi tử tế lại còn muốn giết đi?” Lại nói với Hiến công: “Sở dĩ Thái tử làm vậy, chẳng qua vì thiếp và Hề Tề mà thôi.
妾原子母辟之他国，若早自杀，毋徒使母子为太子所鱼 肉也。	Mẹ con thiếp nguyện tránh đến nước khác, hoặc sớm tự sát chứ không để bị Thái tử coi mẹ con thiếp như cá thịt vậy được.
始君欲废之，妾犹恨之；至於今，妾殊自失於此。”太子闻之，奔新城。	Ban đầu nhà vua định phế truất Thái tử, thiếp còn giận vì việc đó; đến hôm nay, thiếp thực tự thấy mình đã lầm.” Thái tử biết chuyện, chạy đến Tân Thành.
献公怒，乃诛其傅杜原款。	Hiến công tức giận, bèn giết sư phó của Thái tử là Đỗ Nguyên Khoản.
或谓太子曰：“为此药者乃骊姬也，太子何不自辞明之？”太子 曰：“吾君老矣，非骊姬，寝不安，食不甘。	Có người bảo Thái tử rằng: “Thuốc độc đó là do Ly cơ bỏ vào, sao Thái tử không đích thân thanh minh sự việc?” Thái tử đáp: “Vua ta già rồi, không có Ly cơ thì ăn không ngon, ngủ không yên.
即辞之，君且怒之。	Nếu giải thích, vua cha sẽ càng giận.
不 可。”或谓太子曰：“可奔他国。”太子曰：“被此恶名以出，人谁 内我？	Không được.” Lại có người bảo Thái tử: “Hãy chạy sang nước khác đi.” Thái tử nói: “Mang tiếng xấu này mà sang nước khác, ai dung nạp ta?
我自杀耳。”十二月戊申，申生自杀於新城。	Ta chỉ còn cách tự sát thôi.” Ngày Mậu Thân tháng Mười hai, Thân Sinh tự sát ở Tân Thành.
此时重耳、夷吾来朝。	Đúng lúc ấy Trùng Nhĩ và Di Ngô vào triều kiến [Hiến công].
人或告骊姬曰：“二公子怨骊姬谮杀太 子。”骊姬恐，因谮二公子：“申生之药胙，二公子知之。”二子闻 之，恐，重耳走蒲，夷吾走屈，保其城，自备守。	Có người báo với Ly cơ rằng: “Hai công tử oán Ly cơ gièm pha giết chết Thái tử.” Ly cơ lo sợ, nhân đó hủy báng hai vị công tử: “Việc Thân Sinh cho thuốc độc vào thịt tế, hai công tử cũng biết.” Hai công tử nghe vậy, sợ hãi, Trùng Nhĩ chạy đến ấp Bồ, Di Ngô chạy đến ấp Khuất, giữ vững thành quách, đích thân phòng giữ.
初，献公使士蔿为 二公子筑蒲、屈城，弗就。	Trước đây, Hiến công sai Sĩ Vị xây thành cho hai công tử ở ấp Bồ và ấp Khuất, còn chưa xây xong.
夷吾以告 公，公怒士蔿。	Di Ngô đem việc ấy báo cho Hiến công, Hiến công khiển trách Sĩ Vị.
士蔿谢曰：“边城少寇，安用之？”退而歌曰：“狐 裘蒙茸，一国三公，吾谁適从！”卒就城。	Sĩ Vị tạ lỗi rằng: “Biên thành ít giặc cướp, sao lại phải xây thành?” Lui về mà ca rằng: “Áo hồ cừu mượt như nhung, một nước có ba công tử, ta biết theo ai bây giờ?” Cuối cùng xây đắp xong thành quách.
及申生死，二子亦归保其 城。	Đến khi Thân Sinh chết, hai vị công tử cũng về giữ thành của mình.
二十二年，献公怒二子不辞而去，果有谋矣，乃使兵伐蒲。	Năm thứ hai mươi hai, Hiến công giận trách hai con không từ biệt mà đã bỏ đi, cho rằng nhất định có âm mưu, bèn sai quân đến thảo phạt ấp Bồ.
蒲人 之宦者勃鞮 命重耳促自杀。重耳逾垣，宦者追斩其衣袪。	Có viên hoạn quan người ấp Bồ là Bột Đề bức ép Trùng Nhĩ tự sát, Trùng Nhĩ trèo tường bỏ trốn, viên hoạn quan đuổi theo chém đứt tay áo của Trùng Nhĩ.
重耳遂奔翟。	Trùng Nhĩ liền chạy sang nước Địch.
使人伐屈，屈城守，不可 下。	[Hiến công] sai người thảo phạt ấp Khuất, người trong thành Khuất phòng giữ thành, không sao hạ được.
是岁也，晋复假道於虞以伐虢。	Năm đó, nước Tấn lại mượn đường nước Ngu để thảo phạt nước Quắc.
虞之大夫宫之奇谏虞君曰：“晋 不可假道也，是且灭虞。”虞君曰：“晋我同姓，不宜伐我。”宫之 奇曰：“太伯、虞仲，太王之子也，太伯亡去，是以不嗣。	Đại phu nước Ngu là Cung Chi Kỳ can vua nước Ngu rằng: “Nước Tấn không chỉ đơn thuần mượn đường đâu, họ sẽ diệt nước Ngu đấy.” Vua nước Ngu nói: “Nước Tấn cùng họ với ta, sẽ không thảo phạt ta đâu.” Cung Chi Kỳ nói: “Thái bá, Ngu trọng là con của Thái dương vậy, Thái bá trốn đi, nên không thể kế thừa vương vị.
虢仲、虢 叔，王季之子也，为文王卿士，其记勋在王室，藏於盟府。	Quắc trọng, Quắc thúc là con của Vương quý, đều làm khanh sĩ cho Văn vương, công tích của họ được ghi trong sách của lương thất, cất trong Minh phủ.
将虢是灭，何爱于虞？	Nếu [quân Tấn] đã diệt nước Quắc thì tiếc chi nước Ngu?
且虞之亲能亲於桓、 庄之族乎？	Vả lại nước Ngu thân với nước Tấn có bằng Hoàn thúc, Trang bá không?
桓、庄之族何罪，尽灭之。	Gia tộc của Hoàn thúc, Trang bá có tội gì mà đều bị [nước Tấn] diệt hết.
虞之与虢，脣之与齿，脣亡则 齿寒。”虞公不听，遂许晋。	Nước Ngu đối với nước Quắc, giống như môi với răng, môi hở thì răng lạnh.” Ngu công không nghe, bèn đồng ý cho nước Tấn mượn đường.
宫之奇以其族去虞。	Cung Chi Kỳ đưa gia tộc rời khỏi nước Ngu.
其冬，晋灭虢，虢 公丑奔周。	Mùa đông năm ấy, nước Tấn diệt nước Quắc, Quốc công là Xú chạy sang nhà Chu.
