孔子生鲁昌平乡陬邑。	Khổng tử sinh ở ấp Trâu, hương Xương Bình, nước Lỗ.
身举五羖，爵之大 夫，起累绁之中，与语三 日，授之以政。	[Tần Mục công] đích thân cất nhắc Ngũ Cổ, phong làm đại phu, cất nhắc lên từ cảnh giam cầm, cùng đàm đạo ba ngày, rồi trao cho chính sự.
以此取之，虽王可也，其霸小矣。”景公说。	Dựa vào cách đó để có được nhân tài, dẫu xưng vương cũng có thể, chứ xưng bá là còn nhỏ.” Cảnh công đẹp lòng.
孔子年三十五，而季平子与郈昭伯以斗鸡故 得罪鲁昭公，昭公 率师击平子，平子与孟氏、叔孙氏三家共攻昭公，昭公师败，奔於 齐，齐处昭公乾侯。	Năm Khổng tử ba mươi lăm tuổi, Quý Bình tử và Hậu Chiêu bá vì chọi gà mà đắc tội với Lỗ Chiêu công, Chiêu công đem quân đánh Bình tử, Bình tử cùng Mạnh thị, Thúc Tôn thị ba nhà đánh Chiêu công, quân của Chiêu cũng bị thua, [Chiêu công] chạy sang nước Tề, Tề cho Chiêu công ở Càn Hầu.
其後顷之，鲁乱。	Một thời gian sau, nước Lỗ có loạn.
孔子適齐，为高昭子家臣，欲以通乎景公。	Khổng tử sang nước Tề, làm gia thần của Cao Chiêu tử, muốn thông qua [Cao Chiêu tử] để yết kiến cảnh công.
与 齐太师语乐，闻韶音，学之，三月不知肉味， 齐人称之。	[Khổng tử] cùng Thái sư nước Tề bàn về nhạc, nghe nhạc Thiều, học theo, ba tháng không biết mùi thịt, người nước Tề đều khen ngợi.
景公问政孔子，孔子曰：“君君，臣臣，父父，子子。”景公 曰：“善哉！	Cảnh công hỏi Khổng tử về chính sự, Khổng tử đáp: “Vua phải trọn đạo làm vua, bề tôi phải trọn đạo làm bề tôi, cha phải trọn đạo làm cha, con phải trọn đạo làm con.” Cảnh công nói: “Phải lắm!
信如君不君，臣不臣，父不父，子不子，虽有粟，吾岂 得而食诸！”他日又复问政 於孔子，孔子曰：“政在节财。”景公说，将欲以尼谿田封孔子。	Nếu vua không trọn đạo làm vua, bề tôi không trọn đạo làm bề tôi, cha không trọn đạo làm cha, con không trọn đạo làm con, dẫu có thóc, ta há ăn được ư!” Hôm khác, lại hỏi Khổng tử về chính sự, Khổng tử đáp: “Chính sự cốt ở chỗ tiết kiệm của cải.” Cảnh công thích, định đem ruộng Ni Khê phong cho Khổng tử.
晏婴进曰：“夫儒者滑稽而不可轨 法；倨傲自顺，不可以为下；崇丧遂哀，破产厚葬，不可以为俗；游 说乞贷，不可以为国。	Yến Anh tiến lên tâu: “Xét lẽ, nhà nho giỏi biện bác nhưng không thể đưa vào khuôn phép; kiêu ngạo tự theo ý mình, không thể lấy họ làm tôi thần; coi trọng việc tang ma, thương xót người chết, phá tán gia sản để hậu táng, không thể lấy đó làm phong tục; du thuyết để kiếm ăn, không thể cho họ trị quốc.
自大贤之息，周室既衰，礼乐缺有间。	Từ khi các bậc đại hiền sinh ra, đến khi nhà Chu suy vi, lễ nhạc có bị thiếu khuyết.
今孔子盛容饰， 繁登降之礼，趋详之节，累世不能殚其学，当年不能究其礼。	Nay Khổng tử đề cao nghi dung, phục sức, lên xuống đều theo lễ chế phiền toái, cùng lễ nghi lúc rảo bước, dẫu qua nhiều đời cũng không thể học hết được, lúc này không thể nghiên cứu đến lễ chế của ông ta.
君欲用 之以移齐俗，非所以先细民也。”後景公敬见孔子，不问其礼。	Nhà vua muốn dùng Khổng tử để thay đổi phong tục nước Tề, đó không phải điều cần trước tiên để quan tâm đến dân chúng vậy.” Sau đó, Cảnh công vẫn kính cẩn tiếp kiến Khổng tử, nhưng không hỏi về lễ.
异 日，景公止孔子曰：“奉子以季氏， 吾不 能。”以季孟之间待之。	Hôm khác, Cảnh công giữ Khổng tử lại nói: “Phụng sự ngài như cách phụng sự Quý thị, ta không thể làm được.” Rồi dùng cách giữa họ Quý và họ Mạnh để đối đãi Khổng tử.
齐大夫欲害孔子，孔子闻 之。	Đại phu nước Tề định hại Khổng tử, Khổng tử biết được chuyện đó.
景公曰：“吾老矣，弗能用也。”孔子遂行，反乎鲁。	Cảnh công nói: “Ta già rồi, không thể dùng được ngài vậy.” Khổng tử bèn lên đường, trở lại nước Lỗ.
孔子年四十二，鲁昭公卒於乾侯，定公立。	Năm Khổng tử bốn mươi hai tuổi, Lỗ Chiêu công chết ở Càn Hầu, Định công lên ngôi.
定公立五年，夏，季 平子卒，桓子嗣立。	Định công lên ngôi được năm năm, mùa hạ, Quý Bình tử chết, Hoàn tử lên thay.
季桓子穿井得土缶，中若羊， 问仲尼云“得狗”。	Quý Hoàn tử đào giếng, thấy cái vại đất, trong có con vật giống con dê, bèn hỏi Trọng Ni, nói là mình “đào được con chó”.
仲尼曰：“以丘所闻，羊也。	Trọng Ni nói: “Như Khâu được biết, đó là con dê vậy.
丘闻之，木石之 怪夔、罔阆， 水之怪龙、罔象， 土之怪坟羊。”吴伐越，堕会稽， 得骨节专车。	Khâu nghe nói, vật lạ sinh ra từ cây và đá là giống quỳ và võng lãng; vật lạ sinh ra từ nước là rồng và võng tượng; vật lạ sinh ra từ đất là con phần dương.” Nước Ngô đánh nước Việt, phá núi Cối Kê, được đốt xương chở đầy một xe.
吴使使问仲尼：“骨何者最 大？”仲尼曰：“禹致群神於会稽山， 防风氏後至，禹杀而戮之， 其节专车，此为大 矣。”吴客曰：“谁为神？”仲尼曰：“山川之神足以纲纪天下，其 守为神， 社稷为公侯， 皆属於王者。”客 曰：“防风何守？”	Nước Ngô sai sứ đến hỏi Trọng Ni: “Xương gì mà to tột mức thế?” Trọng Ni đáp: “Vua Vũ [nhà Hạ] triệu tập các vị thần đến núi Cối Kê, Phòng Phong thị đến muộn, Vũ giết rồi phơi thây thị chúng, đốt xương của ông ta chở đầy một xe, cho nên xương này mới lớn như vậy.” Khách nước Ngô hỏi: “Ai là thần?” Trọng Ni đáp: “Thần núi sông đủ để làm giềng mối cho thiên hạ, người giữ việc thờ cúng núi sông là thần, giữ chỗ thần xã thần tắc là công hầu, đều lệ thuộc vào nhà vua.” Khách hỏi: “Phòng Phong giữ việc gì?” Trọng Ni đáp: “Là vua của họ Uông Võng, giữ việc tế thần núi Phong và núi Ngu, họ Hy.
仲尼曰：“汪罔氏之君守封、禺之山， 为釐姓。在虞、夏、商为汪罔，於周为长翟，今谓之大人。”客曰：“人长几何？”仲尼 曰：“僬侥氏 三尺，短之至也。	Thời Ngu, Hạ, Thương là Uông Võng, đến thời Chu là Trường Địch, nay gọi là Đại Nhân.” Khách hỏi: “Người cao chừng nào?” Trọng Ni đáp: “Tộc Tiêu Nghiêu cao ba thước, cực kỳ thấp.
长者不过十之，数之极也。”於是吴客曰：“善哉圣 人！”桓子嬖臣曰仲梁怀，与阳虎有隙。	Người cao lớn cũng không quá mười lần ba thước, như thế là cao nhất rồi.” Thế là khách nước Ngô nói: “Tuyệt thay bậc thánh nhân!” Bề tôi được Hoàn tử sủng ái là Trọng Lượng Hoài, có hiềm khích với Dương Hổ.
阳虎欲逐怀，公山不狃 止之。	Dương Hổ muốn đuổi Hoài đi, Công Sơn Bất Nữu ngăn Dương Hổ.
其秋，怀益骄，阳虎执怀。	Mùa thu năm ấy, Hoài càng thêm kiêu, Dương Hổ bắt Hoài.
桓子怒，阳虎因囚桓 子，与盟而醳之。	Hoàn tử giận, Dương Hổ nhân đó bỏ tù Hoàn tử, cùng thề ước rồi mới thả.
阳虎由此益轻季氏。	Dương Hổ từ đó càng khinh thường họ Quý.
季氏亦僭於公 室，陪臣执国政，是以鲁自大夫以下皆僭离於正道。	Họ Quý cũng tiếm quyền công thất, các bồi thần nắm chính sự trong nước, vì thế nước Lỗ từ đại phu trở xuống đều tiếm quyền, xa rời chính đạo.
故孔子不仕，退 而脩诗书礼乐，弟子弥众，至自远方，莫不受业焉。	Cho nên Khổng tử không làm quan, lui về tu chỉnh Thi, Thư, Lễ, Nhạc, đệ tử ngày một đông, người từ phương xa tìm đến, không ai không đến theo học [Khổng tử].
定公八年，公山不狃不得意於季氏，因阳虎为乱，欲废三桓之 適，更立其庶孽阳虎素所善者，遂执季桓子。	Định công năm thứ tám, Công Sơn Bất Nữu không được Quý thị tin dùng, thông qua Dương Hổ để làm loạn, muốn phế bỏ dòng đích của Tam Hoàn, đổi lập dòng thứ, là người Dương Hổ vốn thân thiết, [vì thế Dương Hổ] bèn bắt Quý Hoàn tử.
桓子诈 之，得脱。	Hoàn tử lừa Dương Hổ rồi trốn thoát.
定公九年，阳虎不胜，奔于齐。	Định công năm thứ chín, Dương Hổ thua, chạy sang nước Tề.
是时孔子年五十。	Lúc bấy giờ Khổng tử năm mươi tuổi.
公山不狃以费畔季氏，使人召孔子。	Công Sơn Bất Nữu dựa vào thành Phí làm phản họ Quý, sai người triệu Khổng tử đến.
孔子循道弥久，温温无所 试，莫能己用，曰：“盖周文武起丰镐而王，今费虽小，傥庶几 乎！”欲往。	Khổng tử từ lâu noi theo đạo, nhưng không có chỗ thi thố, không ai có thể dùng mình, nói: “Đại để vua Văn vua Vũ nhà Chu nổi lên từ đất Phong đất Cảo rồi dựng nghiệp vương, nay thành Phí tuy nhỏ, hoặc giả cũng có thể hy vọng chăng!” Định đi.
子路 不说，止孔子。	Tử Lộ không vui, ngăn Khổng tử lại.
孔子曰：“夫召我者岂徒哉？	Khổng tử nói: “Người ta triệu thầy há chỉ nói suông ư?
如用我，其为东周 乎！”然亦卒不行。	Nếu dùng ta, sẽ thành nhà Đông Chu chăng!” Nhưng cuối cùng cũng không đi.
其後定公以孔子为中都宰，一年，四方皆则之。	Về sau, Định công giao Khổng tử làm quan tể ở Trung Đô, được một năm, bốn phương đều noi theo khuôn phép.
由中都宰为司空，由 司空为大司寇。	[Khổng tử] từ chức quan tể Trung Đô làm tới Tư không, từ Tư không rồi làm Đại tư khấu.
定公十年春，及齐平。	Mùa xuân năm Định công thứ mười, nước Lỗ hòa hảo với Tề.
夏，齐大夫黎鉏言於景公曰：“鲁用孔丘，其势危齐。”乃使使 告鲁为好会，会於夹谷。	Mùa hạ, đại phu nước Tề là Lê Sự nói với Cảnh công: “Nước Lỗ dùng Khổng Khâu, tình thế đó có thể nguy hiểm cho Tề.” Bèn sai sứ báo với Lỗ, gặp mặt để kết giao tại Giáp Cốc.
鲁定 公且以乘车好往。	Lỗ Định công định đi xe đến kết giao hảo.
孔子摄相事，曰：“臣闻有文事者必有武备，有武 事者必有文备。	Khổng tử nắm giữ sự vụ của Tướng quốc, nói: “Thần từng nghe có việc về văn ắt có phòng bị về võ; có việc về võ ắt phải chuẩn bị về văn.
古者诸侯出疆，必具官以从。	Ngày xưa, chư hầu ra khỏi biên giới, nhất định có đủ các quan đi theo.
请具左右司马。”定公 曰：“诺。”具左右司马。	Xin để Tả hữu Tư mã tùy tòng.” Định công nói: “Được.” Thế là Tả hữu Tư mã đều đi theo.
会齐侯夹谷，为坛位，土阶三等，以会遇 之礼相见，揖让而登。	Hội kiến với Tề hầu ở Giáp Cốc, vị trí trên đàn có bậc bằng đất phân làm ba cấp, lúc hội ngộ dùng nghi lễ tương kiến, vái nhường nhau rồi bước lên.
献酬之 礼毕，齐有司趋而进曰：“请奏四方之乐。”景公曰：“诺。”於是 旍旄羽袚矛戟剑拨鼓噪而至。	Lễ hiến rượu xong, quan Hữu ty nước Tề rảo bước tiến lên nói: “Xin tấu nhạc bốn phương.” Cảnh công nói: “Được.” Thế rồi mang theo cờ quạt, giáo, kích, kiếm, lá chắn, khua trống ầm ĩ kéo đến.
孔子趋而进，历阶 而登，不尽一等，举袂 而言曰：“吾两君为好会，夷狄之乐何为於此！	Khổng tử rảo bước ra phía trước, theo bậc đi lên, không bước qua bậc cuối cùng, nhấc ống tay áo lên nói: “Hai vua ta gặp mặt giao hảo, ở đây tấu nhạc nước Di địch làm gì!
请命有司！”有司卻 之，不去，则左右视晏子与景公。	Xin hạ lệnh cho Hữu ty!” Hữu ty sai họ lui xuống, nhưng họ không đi, thế là các quan hầu cận nhìn Yến tử và Cảnh công.
景公心怍，麾而去之。	Cảnh công trong lòng hổ thẹn, vẫy tay đuổi họ đi.
有顷，齐有 司趋而进曰：“请奏宫中之乐。”景公曰：“诺。”优倡侏儒为戏而 前。	Lát sau, quan Hữu ty nước Tề rảo bước lên nói: “Xin được tấu nhạc trong cung.” Cảnh công nói: “Được.” Bọn con hát và bọn lùn làm trò vui bước lên phía trước.
孔子趋而进，历阶而登，不尽一等，曰：“匹夫而营惑 诸侯者罪当诛！	Khổng tử rảo bước tiến lên, bước theo các bậc để lên, nhưng không bước qua bậc cuối cùng, nói: “Lũ thất phu mê hoặc chư hầu, tội đáng giết!
请命有司！”有司加法 焉，手足异处。	Xin hạ lệnh cho quan Hữu ty.” Hữu ty chấp hành theo hình pháp, khiến chúng tay một nơi, chân một nẻo.
景公惧而动，知义不若，归而大恐，告其群臣 曰：“鲁以君子之道辅其君，而子独以夷狄之道教寡人，使得罪於鲁 君，为之柰何？”有司进对曰：“君子有过则谢以质，小人有过则谢 以文。	Cảnh công sợ, chấn động, biết mình lễ nghĩa không bằng, trở về rất sợ hãi, nói với quần thần rằng: “Nước Lỗ dùng đạo của quân tử để phò tá vua mình, thế mà các ngươi chỉ đem đạo của nước Di địch để dạy quả nhân, khiến đắc tội với vua Lỗ, phải làm thế nào đây?” Hữu ty tiến lên thưa: “Quân tử có lỗi thì dùng việc làm thực chất để tạ lỗi, tiểu nhân có lỗi thì dùng hình thức bề ngoài để tạ lỗi.
君若悼之，则谢以质。”於是齐侯乃归所侵鲁之郓、汶阳、龟 阴之田以谢过。	Nếu nhà vua bứt rứt về việc đó thì hãy dùng việc làm thực chất để tạ lỗi.” Thế là Tề hầu bèn trả lại ruộng đất đã chiếm ở đất Vận, Vấn Dương, Quy Âm cho Lỗ để tạ lỗi.
定公十三年夏，孔子言於定公曰：“臣无藏甲，大夫毋百雉之 城。”使仲由为季氏宰，将 堕三都。	Mùa hạ năm Định công thứ mười ba, Khổng tử nói với Định công rằng: “Bề tôi thì không tàng trữ vũ khí, đại phu thì thành không quá trăm trĩ.” Sai Trọng Do làm quan tể cho họ Quý, định phá hủy tường thành của ba họ Quý Tôn, Mạnh Tôn và Thúc Tôn.
於是叔孙氏先堕郈。	Bấy giờ họ Thúc Tôn trước hết phá tường thành ở ấp Hậu.
季氏将堕费，公山不狃、叔孙辄率费人袭鲁。	Họ Quý định phá tường thành ở ấp Phí, Công Sơn Bất Nữu và Thúc Tôn Triếp [liền] thống lãnh người đất Phí đánh úp Lỗ.
公与三子 入于季氏之宫，登武子之 台。	Lỗ Định công cùng ba họ Quý Tôn, Mạnh Tôn, Thúc Tôn phải chạy vào cung của họ Quý, lên đài Vũ Tử.
费人攻之，弗克，入及公侧。	Người Phí tấn công vào đó, không hạ được, tiến đến bên cạnh chỗ của Định công.
孔子命申句须、乐颀下伐之， 费人北。	Khổng tử sai [các đại phu] Thân Câu Tu và Nhạc Kỳ xuống đánh, người ấp Phí thua.
国人追之，败诸姑蔑。	Người trong nước đuổi theo, đánh bại chúng ở Cô Miệt.
二子奔齐，遂堕费。	Công Sơn Bất Nữu và Thúc Tôn Triếp chạy sang nước Tề, bèn hủy tường thành ấp Phí.
将堕成， 公敛处 父谓孟孙曰：“堕成，齐人必至于北门。	Định hủy tường thành ấp Thành, Công Liêm Xử Phủ nói với Mạnh Tôn rằng: “Phá tường thành ấp Thành, người Tề ắt sẽ kéo đến cổng phía bắc.
且 成，孟氏之保鄣，无成是无孟氏也。	Vả lại ấp Thành là bình phong của họ Mạnh, không có ấp Thành thì không còn họ Mạnh nữa.
我将弗堕。”十二月，公围成， 弗克。	Ta sẽ không phá tường thành.” Tháng Mười hai, Định công bao vây ấp Thành, không hạ được.
定公十四年，孔子年五十六，由大司寇行摄相事，有喜色。	Định công năm thứ mười bốn, Khổng tử năm mươi sáu tuổi, từ chức Đại tư khấu kiêm nắm quyền Tướng quốc, nét mặt có vẻ mừng.
门人 曰：“闻君子祸至不惧，福至不喜。”孔子曰：“有是言也。	Học trò nói: “Nghe nói người quân tử họa đến không sợ, phúc đến không mừng.” Khổng tử nói: “Có câu nói như thế.
不 曰‘乐其以贵下人’乎？”於是诛鲁大夫乱政者少正卯。	Chẳng cũng có câu 'vui vì ở địa vị tôn quý mà khiêm hạ với kẻ dưới' đấy ư?” Thế rồi giết đại phu nước Lỗ làm loạn chính sự là Thiếu Chính Mão.
与闻国政三 月，粥羔豚者弗饰贾；男女行者别於涂；涂不拾遗；四方之客至乎邑 者不求有司，皆予之以 归。	Dự nghe chính sự quốc gia được ba tháng, người bán dê bán lợn không nói thách giá, trai gái đi theo hai lối khác nhau, trên đường không nhặt của rơi, khách bốn phương đến ấp không cần cầu cạnh quan Hữu ty, đều khiến họ cảm thấy như được trở về.
齐人闻而惧，曰：“孔子为政必霸，霸则吾地近焉，我之为先并 矣。	Người Tề nghe vậy thì sợ, nói: “Khổng tử nắm chính sự ắt làm nên nghiệp bá, Lỗ xưng bá thì nước ta ở gần, sẽ bị thôn tính trước tiên.
盍致地焉？”黎鉏曰：“请先尝沮之；沮之而不可则致地，庸迟 乎！”於是选齐国中女子好者八十人，皆衣文衣而舞康乐， 文马三十驷，遗鲁君。	Sao không dâng đất cho Lỗ?” Lê Sự nói: “Xin ngăn trở trước, ngăn trở không được thì dâng đất, nào có muộn gì!” Thế rồi chọn lấy tám mươi mỹ nữ nước Tề, đều mặc y phục sặc sỡ, rồi múa điệu Khang lạc, cùng một trăm hai mươi con ngựa màu lông đẹp, đem tặng vua Lỗ.
陈女乐文马 於鲁城南高门外，季桓子微服往观再三，将受，乃语鲁君为周道游， 往观终日，怠於政事。	[Nước Tề] bày đội nữ nhạc cùng ngựa đẹp ngoài cổng Cao Môn phía nam đô thành nước Lỗ. Quý Hoàn tử mặc thường phục đến xem đôi ba lần, định nhận, bèn nói vua Lỗ đi một vòng các nơi rồi đến xem, xem cả ngày, bỏ bê cả chính sự.
子路曰：“夫子可以行矣。”孔子曰：“鲁今且郊，如致膰乎大夫， 则吾犹可以止。”桓子卒受齐女乐，三日 不听政；郊，又不致膰俎於大夫。	Tử Lộ nói: “Phu tử nên đi thôi.” Khổng tử nói: “Nước Lỗ rày mai sẽ tế giao, nếu vua ban thịt tế cho các đại phu, thì ta còn có thể lưu lại.” Cuối cùng Hoàn tử nhận đội nữ nhạc của nước Tề, ba ngày không nghe chính sự; tế giao xong, lại không ban thịt tế cho các đại phu.
孔子遂行，宿乎屯。	Khổng tử bèn lên đường, nghỉ đêm tại ấp Đồn.
而师己送，曰：“夫子则非罪。”孔子曰：“吾歌 可夫？”歌曰：“彼妇之口，可以出走；彼妇之谒，可以死败。	Sư Dĩ đưa tiễn, nói: “Phu tử không có tội.” Khổng tử nói: “Ta hát được không?” Hát rằng: “Miệng người đàn bà kia, có thể làm ta bỏ chạy khỏi nước; việc bái yết của người đàn bà kia, có thể khiến ta phải chết, phải thua.
盖优哉游 哉，维以卒岁！”师己 反，桓子曰：“孔子亦何言？”师己以实告。	Ngao du, ngao du, cho trọn cuộc đời!” Sư Dĩ trở về, Hoàn tử hỏi: “Khổng tử có nói gì không?” Sư Dĩ trả lời theo sự thực.
桓子喟然叹曰：“夫子 罪我以群婢故也夫！”孔子遂適卫，主於子路妻兄颜浊邹家。	Hoàn tử ngùi ngùi than rằng: “Phu tử vì việc của bọn đàn bà ti tiện kia nên trách tội ta!” Khổng tử bèn đến nước Vệ, trú ở nhà Nhan Trạc Trâu, anh vợ của Tử Lộ.
卫灵公问孔子：“居鲁得禄几何？”对曰：“奉粟六万。”卫人亦致 粟六万。	Vệ Linh công hỏi Khổng tử: “Ở nước Lỗ được lộc bao nhiêu?” Đáp rằng: “Được sáu vạn đấu thóc.” Người Vệ cũng cho sáu vạn đấu thóc.
居顷之，或谮孔子於卫 灵公。	Được một thời gian, có người gièm pha Khổng tử với Vệ Linh công.
灵公使公孙余假一出一入。	Vệ Linh công sai Công Tôn Dư Giả theo sát Khổng tử từng bước.
孔 子恐获罪焉，居十月，去卫。	Khổng tử sợ mắc tội, ở được mười tháng, rời khỏi nước Vệ.
将適陈，过匡，颜刻为仆，以其 策指之曰：“昔吾入此，由彼缺也。”匡人 闻之，以为鲁之阳虎。	Định đến nước Trần, qua đất Khuông, Nhan Khắc làm người hầu, giơ roi ngựa trỏ nói: “Hồi trước con từng vào đấy, vào từ chỗ vỡ đó.” Người Khuông nghe nói vậy, cho người nước Lỗ kia chính là Dương Hổ.
阳虎尝暴匡人，匡人於是遂止孔子。	Dương Hổ từng tàn bạo với người Khuông, vì thế người đất Khuông bèn ngăn Khổng tử lại.
