其人曰：“某姓张名飞，字翼德。	Người ấy nói: - Tôi họ Trương tên Phi, tự là Dực Đức, ở Trác quận đã lâu đời.
离庄而行，不到三里，司徒王允，太尉杨彪、左军校尉淳于琼、右军校尉赵萌、后军校尉鲍信、中军校尉袁绍，一行人众，数百人马，接着车驾。君臣皆哭。	Đi chưa được ba dặm, thì gặp tư đồ Vương Doãn, thái úy Dương Bưu, tả quân hiệu úy Thuần Vu, Quỳnh, hữu quân hiệu úy Triệu Mạnh, hậu quân hiệu úy Pháo Tính và trung quân hiệu úy Viên Thiệu, tất cả vài trăm người ngựa kéo đến nghênh tiếp xa giá, vua tôi đều nhìn nhau mà khóc.
卢植曰：“明公差矣。	Lư Thực nói: - Ông lầm rồi! Xưa vua Thái Giáp thông minh.
昔太甲不明，伊尹放之于桐宫；昌邑王登位方二十七日，造恶三千余条，故霍光告太庙而废之。	Y Doãn bị đuổi ra Đổng cung; vua Xương Ấp lên ngôi vua mới có hai mươi bảy ngày mà làm hơn ba mươi điều ác, nên Hoắc Quang phải làm lễ cáo ở thái miếu rồi bỏ đi.
乃大恸而作歌，其歌曰：“天地易兮日月翻，弃万乘兮退守藩。	Giời đất chao, giăng sao cũng đổ Bỏ ngôi sao, ra chỗ phiên phong Bởi ai nên sự lạ lùng?
为臣逼兮命不久，大势去兮空泪潸！”	Việc đời ngán ngẩm, ròng ròng châu tuôn.
一日，卓入朝，孚迎至阁下，拔刀直刺卓。	Một hôm Trác vào chầu. Phu ra đón.
卓气力大，两手抠住；吕布便入，揪倒伍孚。	Lúc Trác đến dưới gác, Phu rút dao ra đâm, không ngờ sức Trác khỏe hơn, hai tay ôm chặt được Phu. Lã Bố trông thấy chạy lạy lôi Phu ra vật ngã xuống.
布对卓曰：“适来曹操似有行刺之状，及被喝破，故推献刀。”	Tào Tháo đi khỏi. Lã Bố nói với Trác rằng: - Vừa rồi tôi trông Tào Tháo hình như có ý muốn đâm trộm thái sư! Vì thái sư trông thấy, hắn mới nói lảng ra là đến dâng dao.
歃血已罢，下坛。众扶绍升帐而坐，两行依爵位年齿分列坐定。	Thề xong xuống đàn, Thiệu lên trướng ngồi, chư hầu hai bên theo chức tước và tuổi chia định ngôi thứ. Tháo đứng dậy mời rượu.
操行酒数巡，言曰：“今日既立盟主，各听调遣，同扶国家，勿以强弱计较。”	Rượu uống được vài tuần, Tháo nói: - Nay đã lập minh chủ rồi, chúng ta đều phải vâng nghe điều khiển, cùng giúp việc nước. Không ai được cậy khỏe cậy tài, ganh tỵ nhau.
温侯吕布挺身出曰：“父亲勿虑。	Lã Bố thưa rằng: - Phụ thân đừng lo, các chư hầu đóng ngoài cửa ải, con coi như cỏ rác.
关外诸侯，布视之如草芥；愿提虎狼之师，尽斩其首，悬于都门。”	Con xin đem quân hổ lang, chém hết đầu chúng treo dưới cửa phủ!
那四将？	Bốn tướng ấy là: Một.
——第一个，右北平土垠人，姓程，名普，字德谋，使一条铁脊蛇矛；第二个，姓黄，名盖，字公覆，零陵人也，使铁鞭；第三个，姓韩，名当，字义公，辽西令支人也，使一口大刀；第四个，姓祖，名茂，字大荣，吴郡富春人也，使双刀。	Trình Phổ, tên chữ là Đức Mưu, người Thổ Ngân, ở Hữu Bắc Bình; Phổ cầm một ngọn xà mâu sắt. Hai. Hoàng Cái, tên chữ là Công Phúc, người ở Linh Lăng; Cái cầm một ngọn roi sắt. Ba. Hàn Đương, tên chữ là Công Nghĩa, người Linh Chi, tỉnh Liêu Tây; Đương cầm một con dao lớn.
	Bốn.
	Tổ Mậu, tên chữ là Đại Vinh, người ở Phú Xuân, quận Ngô; Mậu hai tay cầm hai dao.
众人都到，只有公孙瓒后至，绍请入帐列坐。	Chư hầu đến cả, chỉ có Công Tôn Toản đến sau.
绍曰：“前日鲍将军之弟不遵调遣，擅自进兵，杀身丧命，折了许多军士；今者孙文台又败于华雄：挫动锐气，为之奈何？”	Thiệu mời các tướng vào ngồi sắp hàng trong trướng rồi nói rằng: - Em Pháo Tín không theo mệnh lệnh, tự tiện tiến binh, mình bị giết, quân sĩ chết nhiều. Đến nay Tôn Văn Đài cũng bị thua, mất hết nhuệ khí, các tướng định thế nào?
众诸侯听得关外鼓声大振，喊声大举，如天摧地塌，岳撼山崩，众皆失惊。正欲探听，鸾铃响处，马到中军，云长提华雄之头，掷于地上。	Được một lát chư hầu nghe thấy ngoài cửa quan tiếng trống đánh, tiếng người reo ầm ầm, tựa hồ như trời long đất lở, núi đổ non nghiêng, ai nấy đều thất kinh đang định sai người ra xem, thì đã thấy tiếng nhạc nhong nhong trở về, ngựa đã vào tới trung quân.
其酒尚温。	Quan Công cầm đầu Hoa Hùng ném xuống đất, chén rượu của Tào Tháo đưa hãy còn nóng.
上党太守张杨部将穆顺，出马挺枪迎战，被吕布手起一戟，刺于马下。众大惊。	Bộ tướng của Trương Dương, thái thú Thượng Đẳng tên là Mục Thuận vác ngọn giáo tế ngựa ra đánh, bị Bố đâm một ngọn kích chết lăn từ trên ngựa xuống đất.
马蹄到处鬼神嚎，目前一怒应流血。枭雄玄德掣双锋，抖擞天威施勇烈。	Quỷ thần thét, tiếng ngựa ra, Căm căm khí tức, mắt hoa đỏ ngầu. Huyền Đức cũng giục mau ngựa nhảy. Múa đôi gươm vùng vẫy ra oai.
	Đôn với Bố đánh nhau được vài hiệp.
战不数合，李傕引一军，从左边杀来，操急令夏侯渊迎敌。	Lý Thôi dẫn một đội quân từ bên tả kéo ra. Tháo lại sai Hạ Hầu Uyên ra địch.
却说荆州刺史刘表，字景升，山阳高平人也，乃汉室宗亲；幼好结纳，与名士七人为友，时号“江夏八俊”。那七人：汝南陈翔，字仲麟；同郡范滂，字孟博；鲁国孔昱，字世元；渤海范康，字仲真，山阳檀敷，字文友；同郡张俭，字元节；南阳岑咥，字公孝。	Thứ sử kinh Châu là Lưu Biểu, bắt được thư của Viên Thiệu xin đem quân chẹn đường Tôn Kiên, liền sai ngay Khoái Việt và Sái Mạo dẫn một vạn quân ra đón đường đánh Kiên. Lưu Biểu, tên chữ là Cảnh Thăng, quê ở Cao Bình, đất Sơn Dương, cũng là tôn thân nhà Hán. Lúc còn nhỏ Biểu kết bạn với bảy danh sĩ, bấy giờ người ta gọi là "Giang hạ bát tuấn". Trong tám người ấy thì một người là Lưu Biểu, còn bảy người nữa là: 1) Trần Tường 2) Phạm Phang 3) Khổng Giực 4) Phạm Khang 5) Đàn Phu 6) Trương Kiệm 7) Sầm Hinh.
孙策换回黄祖，迎接灵柩，罢战回江东，葬父于曲阿之原。丧事已毕，引军居江都，招贤纳士，屈己待人，四方豪杰，渐渐投之。不在话下。	Tôn Sách tha Hoàng Tổ, rồi sang rước linh cữu bố về, rút quân về Giang Đông, táng cha ở gò Khúc A. Việc tang xong. Tôn Sách dẫn quân về Giang Đông, vời người hiền, dùng kẻ sĩ; khéo nhún mình trọng người; hào kiệt bốn phương dần dần kéo đến theo Tôn Sách cả.
问：“其子年几岁矣？”或答曰十七岁，卓遂不以为意。	Trác hỏi con Kiên bao nhiêu tuổi, có người thưa mười bảy tuổi.
自此愈加骄横，自号为“尚父”，出入僭天子仪仗；封弟董晃为左将军、鄠侯，侄董璜为侍中，总领禁军。	Trác không cho vào đâu; từ bấy giờ lại càng kiêu căng tự xưng là thượng phụ, khi ra khi vào dùng toàn nghi vệ thiên tử. Trác lại phong em là Đổng Mẫn làm tả tướng quân, tước vu hầu; cháu là Đổng Hoành làm trị trung, coi cả quan cấm binh.
临期有计，自当相报。”	Khi nào việc đến nơi tôi sẽ có mưu kế. Lúc đó tôi sẽ xin báo cho tướng quân biết. Bố khẳng khái nhận lời rồi trở ra.
布慨诺而去。允即请仆射士孙瑞、司隶校尉黄琬商议。	Doãn lập tức mời quan bộc sa là Sĩ Tôn Thụy, quan tư lệ hiệu úy là Hoàng Uyển đến để bàn việc ấy.
次日，李肃引十数骑，前到郿坞。人报天子有诏，卓教唤入。	Hôm sau Túc dẫn vài mươi tên kỵ mã đến My Ổ, sai người báo tin cho Trác biết rằng có chiếu thiên tử đến.
李肃入拜。卓曰：“天子有何诏？”	Trác cho mời vào, Lý Túc vào lạy, Trác nói: - Thiên tử có chiếu gì?
歌曰：“千里草，何青青！	Hát rằng: "Thiên lý thảo Hà thanh thanh Thập nhật bốc Bắt đắc sinh" (Cỏ ngàn dặm Sao xanh xanh?
十日卜，不得生！”歌声悲切。	Trên mười ngày Chẳng được sống) Tiếng hát nghe thực ai oán.
李、郭、张、樊四人各自写职衔献上，勒要如此官品，帝只得从之。	Lý, Quách, Trương, Phàn bốn đứa cầu phong chức hàm gì, đều tự tay viết ra dâng lên, đòi vua phải phong như thế. Vua bắt buộc phải nghe theo: 1.
封李傕为车骑将军池阳侯领司隶校尉假节钺，郭汜为后将军美阳侯假节钺，同秉朝政；樊稠为右将军万年侯，张济为骠骑将军平阳侯，领兵屯弘农。	Lý Thôi làm sa kỵ tướng quân, Trì dương hầu, lĩnh chức tư lệ hiệu úy, được dùng cờ tiết, lưỡi phủ việt. 2. Quách Dĩ, làm hậu tướng quân, Mỹ dương hầu cũng được dùng cờ tiết, lưỡi phủ việt. Hai người cùng giữ quyền chính trong triều.
其余李蒙、王方等，各为校尉。	3. Phàn Trù, làm hữu tướng quân, Vạn niên hầu.
然后谢恩，领兵出城。	4. Trương Tế, làm phiêu kỵ tướng quân, Binh dương hầu. Trương, Phàn hai người lĩnh binh ra đóng đồn ở Hoàng Nông. Còn lũ Lý Mông, Vương Phương đều được phong làm hiệu úy.
李傕候晴再葬，是夜又复如是。	Lý Thôi đợi tạnh mưa, lại đem táng lại.
三次改葬，皆不能葬，零皮碎骨，悉为雷火消灭。天之怒卓。可谓甚矣！	Đêm hôm ấy trời lại mưa to, sấm sét lại đánh vào áo quan Trác như trước; ba lần cải táng không xong, da xương thịt vụn Đổng Trác bị mấy lần sét đánh tan tành.
有叔侄二人来投操：乃颍川颍阴人，姓荀，名彧，字文若，荀绲之子也；旧事袁绍，今弃绍投操；操与语大悦，曰：“此吾之子房也！”	Ở làng Dĩnh Âm châu Dĩnh Xuyên, có một nhà hai chú cháu cùng đi theo Tào Tháo. Người chú họ Tuân tên Úc, tự là Văn Nhược, nguyên là con Tuân Côn... Úc trước đã thờ Viên Thiệu, bây giờ bỏ Thiệu về với Tháo. Tháo cùng Úc nói chuyện xong rồi mừng lắm nói rằng: "Người này là Tử Phòng của ta đây!
遂以为行军司马。	", rồi cho làm hành quân tư mã.
荀彧曰：“某闻兖州有一贤士，今此人不知何在。”操问是谁，彧曰：“乃东郡东阿人，姓程，名昱，字仲德。”	Tuân Du lại nói với Tháo rằng: - Tôi nghe ở Duyện Châu có một người hiền sĩ, vốn ở Đông An, họ Trình tên Dục, tự là Trọng Đức, nhưng không biết bây giờ ở đâu? Người ấy chúa công nên dùng.
昱谓荀彧曰：“某孤陋寡闻，不足当公之荐。公之乡人姓郭，名嘉，字奉孝，乃当今贤士，何不罗而致之？”彧猛省曰：“吾几忘却！”	Dục lại bảo với Tuân Úc rằng: - Tôi là người quê kệch, học hành chưa được mấy, không xứng đáng với sự tiến cử của ông. Nay tôi biết có một người cùng làng với ông, tên là Quách Gia.
操闻之，哭倒于地。众人救起。	Tháo nghe tin khóc lăn xuống đất, mọi người vực dậy, Tháo nghiến răng lại nói rằng: - Đào Khiêm hỡi!
操切齿曰：“陶谦纵兵杀吾父，此仇不共戴天！	Dám thả cho quân giết bố tao. Thù này mày với tao không đội trời chung được!
