趙紀.	Kỷ nhà triệu.
朕髙帝側室之子也,棄外奉藩于代道理遼遠,壅󰰿撲愚,未嘗𦤶書.	Trẫm là con vợ lẽ của cao đế, phải đuổi ra ngoài làm phiên vương ở đất đại, vì đường sá xa xôi, kiến thức hẹp hòi quê kệch, nên chưa từng gửi thư.
髙皇帝棄群臣,孝惠皇帝即世髙后自臨事,不幸有疾,諸吕擅權爲變,不䏻獨制,乃取他姓子爲孝惠皇帝.	Cao hoàng đế lìa bỏ bầy tôi, hiếu huệ hoàng đế qua đời, cao hậu tự lên trông coi việc nước, không may có bệnh, người họ lữ chuyên quyền làm bậy, một mình khống chế ngự được, mới lấy con người họ khác nối nghiệp hiếu huệ hoàng đế.
嗣頼宗廟之靈,功臣之力,誅之已畢.	Nhờ anh linh tông miếu và sức lực của các công thần, đã giết hết bọn ấy.
朕以王󰍆吏不釋之故,不得不立,今即位.	Trẫm vì các vương hầu và quan lại không cho từ chối, không thể không nhận, nay đã lên ngôi.
乃者聞王遣将.	Mới rồi nghe nói vương có gửi thư cho tướng
帝,两帝並立亡一乘之使以通,其道之爭也.	Đế, hai đế cùng lập mà không có xe sứ thông hiếu, thế là tranh nhau.
乎而不讓,仁者不爲也.	Tranh mà không biết nhường thì người có nhân không làm.
願𭁈王分棄前惡終,今以来通使如故.	Trẫm nguyện cùng vương đều bỏ hiềm trước, từ nay trở đi thông hiếu như xưa.
故使陸賈往馳諭,吿王以朕本意.	Vì vậy mới sai lục giả sang đưa tờ dụ, để tỏ với vương bản ý của trẫm.
王亦受之,毋爲寇災矣.	Vương cũng nên nghe theo, chớ làm những việc cướp phá nữa.
因以上褚五十衣,中褚三十衣,下褚二十衣遣王.	Nhân gửi biếu vương năm mươi chiếc áo bông thượng hạng, ba mươi chiếc áo bông trung hạng, hai mươi chiếc áo bông hạ hạng.
願王聽樂消憂存問鄰國".	Mong rằng vương hãy nghe nhạc tiêu sầu và thăm hỏi nước láng giềng ".
賈至,帝謝曰:"謹奉詔爲藩王,長供職貢".	Khi giả đến, vua tạ lỗi nói: " kính vâng chiếu chỉ, xin làm phiên vương, giữ mãi lệ cống ".
於是下詔曰:"朕聞:两䧺不俱立,两賢不並世,漢皇帝賢天子,自今去帝制黃屋左纛".	Rồi đó vua hạ chiếu rằng: " trẫm nghe: hai người hùng không đứng cùng nhau, hai người hiền không ở cùng đời.
因爲書稱:"蠻夷大長老夫,臣佗昧子,再拜上書皇帝陛下,老夫故越吏也,髙帝賜璽.	Nhân viết thư rằng: " man di đại trưởng lão phu, thần đà, mạo muội đáng chết, hai lạy dâng thư lên hoàng đế bệ hạ.
綬以爲南越王.	Thao làm nam việt vương.
孝惠皇帝即位,義不忍絶,所賜老夫者甚厚.	Hiếu huệ hoàng đế lên ngôi, vì nghĩa không nỡ tuyệt nên ban cho lão phu rất hậu.
髙后用事别異華夷,由命曰毋予南越金鉄田噐,馬,牛,羊,即子予牡无予牝.	Cao hậu lên coi việc nước lại phân biệt hoa - di, ra lệnh không cho nam việt những khí cụ làm ruộng bằng sắt và đồng; ngựa, trâu, dê nếu cho thì cũng chỉ cho con đực, không cho con cái.
老夫處僻,馬牛羊齒已長.	Lão phu ở đất hẻo lánh, ngựa, trâu, dê đã già.
自已祭祀不脩有死罪,遣内史潘,中尉髙,御史平,凣三董上書謝過,皆不反.	Tự nghĩ nếu không sắm lễ vật cúng tế, thì tội thực đáng chết, mới sai nội sử phan, trung uý cao, ngự sử bình, ba bọn dâng thư tạ lỗi, nhưng đều không thấy trở về.
又風聞,老夫父母墳暮已壞削,兄弟宗𤟪已誅,泯故吏相議曰:"今内不得振於漢,外無以自髙異於吳".	Vì vậy, bọn lại bàn nhau rằng: " nay bên trong không được phấn chấn với nhà hán, bên ngoài không lấy gì để tự cao khác với nước ngô ".
故更號爲帝,自帝其國,非敢有害於天下.	Vì vậy mới đổi xưng hiệu là đế, để tự làm đế nước mình, không dám làm điều gì hại đến thiên hạ.
髙皇后聞之大怒,削去南越之籍,使使不通.	Cao hoàng hậu nghe tin cả giận, tước bỏ sổ sách của nam việt, khiến cho việc sai người đi sứ không thông.
老夫竊疑長沙王讒.	Lão phu trộm ngờ là vì trường sa vương gièm
譖,故𭛁兵以伐其邊.	Pha, cho nên mới đem quân đến đánh biên giới.
老夫處越四十九年,于今抱孫,焉然夙興夜寐,寝不安席,食不甘味,目不視靡蔓之色,耳不聽鍾皷之音者,以不得事漢也.	Lão phu ở đất việt bốn mươi chín năm, đến nay đã ẵm cháu rồi, những vẫn phải dậy sớm, ngủ muộn, nằm không yên chiếu, ăn không biết ngon, mắt không trông sắc đẹp, tai không nghe tiếng chuông trống, chỉ vì không được làm tôi nhà hán mà thôi.
今陛下幸哀,憐復故號,通使如故,老夫死骨不抒.	Nay may được bệ hạ có lòng thương đến, được khôi phục hiệu cũ, cho thông sứ như trước, lão phu dù chết xương cũng không nát.
改號不敢爲帝矣.	Vậy xin đổi tước hiệu, không dám xưng đế nữa.
謹因使使者献白壁之雙,翠羽千尾,犀角十座,紫貝五百,桂壼一噐,生翠四十雙,孔雀二雙.	Kính cẩn sai sứ giả dâng một đôi ngọc bích trắng, một nghìn bộ lông chim trả, mười sừng tên, năm trăm vỏ ốc màu tía, một giỏ cà cuống, bốn mươi đôi chim trả sống, hai đôi chim công.
昧死再拜以聞皇帝陛下".	Mạo muội liều chết, hai lạy dâng lên hoàng đế bệ hạ ".
陸賈得書還報,漢帝大悅.	Lục giả đem thư ấy về báo, vua hán rất mừng.
自是南北交好弭兵,民得休息矣.	Từ đấy nam bắc giao hảo, thôi việc binh đao, dân được yên nghỉ.
癸亥,三十年,[漢文帝二年].	Quý hợi, năm thứ ba mươi, (hán văn đế năm thứ hai).
冬,十月,晦,日食.	Mùa đông, tháng mười, ngày ba mươi, nhật thực.
甲子,三十一年,[漢文帝三年].	Giáp tý, năm thứ ba mươi mốt, (hán văn đế năm thứ ba).
冬,十月晦,日食十一月,晦,日飠.	Mùa đông, tháng mười, ngày ba mươi nhật thực.
辛巳,四十八年,[漢文帝復元四年].	Tân tỵ, năm thứ bốn mươi tám, (hán văn đế hậu nguyên, năm thứ bốn).
复,四月,晦,日食.	Mùa hạ, tháng bốn, ngày ba mươi, nhật thực.
甲申,五十一年,[漢文帝七年].	Giáp thân, năm thứ năm mươi mốt, (hán văn đế năm thứ bảy).
复,六月漢帝崩,詔短䘮.	Mùa hạ, tháng sáu, vua hán băng, có chiếu dặn để tang ngắn.
秋,九月,有星孛于西方.	Mùa thu, tháng chín, sao chổi mọc ở phương tây.
乙酉,五十二年,[漢景帝故元年].	Ất dậu, năm thứ năm mươi hai, (hán cảnh đế khải, năm thứ nhất).
漢詔令郡國立太宗𦺓.	Nhà hán chiếu sai các quận quốc dựng miếu thái tông.
丙戌,五十三年,[漢景帝二年].	Bính tuất, năm thứ năm mươi ba, (hán cảnh đế năm thứ hai).
冬,十一月,有星孛于西方.	Mùa đông, tháng mười một, có sao chổi mọc ở phương tây.
丁亥,五十四年,[漢景帝三年].	Đinh hợi, năm thứ năm mươi bốn, (hán cảnh đế năm thứ ba).
春,正月,長星出西方.	Mùa xuân, tháng giêng, có sao chổi đuôi dài mọc ở phương tây.
是月,晦,日食.	Tháng ấy, ngày ba mươi, có nhật thực.
戊子,五十五年,[漢景帝四年].	Mậu tý, năm thứ năm mươi lăm, (hán cảnh đế năm thứ bốn).
冬,十月,晦,日食.	Mùa đông, tháng mười, ngày ba mươi, nhật thực.
癸巳,六十年,[漢景帝复,中元二年].	Quý tỵ, năm thứ sáu mươi, (hán cảnh đế trung nguyên năm thứ hai).
四月,有星孛于西北.	Mùa hạ, tháng bốn, có sao chổi mọc ở phía tây bắc.
秋,九月,晦,日食.	Mùa thu, tháng chín, ngày ba mươi, có nhật thực.
甲午,六十一年,[漢景帝三年].	Giáp ngọ, năm thứ sáu mươi mốt, (hán cảnh đế năm thứ ba).
秋,九月,有星孛于西北.	Mùa thu, tháng chín, có sao chổi mọc ở phía tây bắc.
是月,晦,日食.	Tháng ấy, ngày ba mươi, nhật thực.
乙未,六十二年,[漢景帝四年].	Ất mùi, năm thứ sáu mươi hai, (hán cảnh đế năm thứ bốn).
丁酉,六十四年,[漢景帝六年].	Đinh dậu, năm thứ sáu mươi bốn, (hán cảnh đế năm thứ sáu).
秋,七月,晦,日食時帝凣遣使如漢則稱王,朝請以比諸侯,於國内則從故號.	Bấy giờ vua sai sứ sang nhà hán thì xưng là vương, giữ lễ triều yết cũng như các nước chư hầu, ở trong nước thì theo hiệu cũ.
戊戌,六十五年,[漢景帝復元年].	Mậu tuất, năm thứ sáu mươi lăm, (hán cảnh đế hậu nguyên, năm thứ nhất).
秋,七月,晦,日食.	Mùa thu, tháng bảy, ngày ba mươi, nhật thực.
庚子,六十七年[漢景帝三年].	Canh tý, năm thứ sáu mươi bảy, (hán cảnh đế năm thứ ba).
冬,十月,日月皆赤.	Mùa đông, tháng mười, mặt trời, mặt trăng đều sắc đỏ.
十二月,日如紫,五星逆行,守太微,月貫天庭中,[天庭即龍星右角太微宫垣十星,在翌軫之地;天子之宫,五帝之座].	Tháng mười hai, sắc mặt trời đỏ tía, năm sao đi ngược chiều ôm lấy chòm sao thái vi; mặt trăng đi xuyên vào thiên đình (thiên đình tức là mười ngôi sao cung viên thái vi ở góc hữu sao long tinh, ở khoảng sao dực sao chẩn; ấy là cung của thiên tử; toà của ngũ đế).
春,正月,漢帝崩.	Mùa xuân, tháng giêng, vua hán băng.
壬寅,六十九年,[漢武帝徹,春,正月,晦,日食.	Nhâm dần, năm thứ sáu mươi chín, (hán vũ đế triệt, kiến nguyên năm thứ hai).
廈,四月,有星如日夜出.	Mùa hạ, tháng bốn, có sao to bằng mặt trời mọc ban đêm.
建癸卯,七十年[漢建元秋,三年].	Quý mão, năm thứ bảy mươi, (hán kiến nguyên năm thứ ba).
七月,有星孛于西北.	Mùa thu, tháng bảy, sao chổi mọc ở phía tây bắc.
九月,晦,日食.	Tháng chín, ngày ba mươi, nhật thực.
甲辰,七十一年[漢建元四年].	Giáp thìn, năm thứ bảy mươi mốt, (hán kiến nguyên, năm thứ bốn).
帝崩,謚曰武帝.	Vua băng, thuỵ là vũ đế.
孫胡立.	Cháu là hồ lên nối ngôi.
[後陳.	(về sau, nhà trần
朝封帝爲開天体道聖武神哲皇帝].	Phong là khai thiên thể đạo thánh vũ thần triết hoàng đế).
黎文休曰:遼東微箕子不䏻成衣冠之俗,吳會非泰伯不䏻躋王覇之強.	Lê văn hưu nói: đất liêu đông không có cơ tử thì không thành phong tục mặc áo đội mũ, đất ngô cối không có thái bá thì không thể lên cái mạnh của bá vương.
大舜東夷人也,爲五帝之英主.	Đại thuấn là người đông di nhưng là bậc vua giỏi trong ngũ đế.
文王西夷人也,爲三代之賢君.	Văn vương là người tây di mà là bậc vua hiền trong tam đại.
則知善爲國者,不限地之廣狹,人之華夷,惟德是視也.	Thế mới biết người giỏi trị nước không cứ đất rộng hay hẹp, người hoa hay di, chỉ xem ở đức mà thôi.
趙武帝䏻開拓我越而自帝,其國𭁈漢抗衡,書稱"老夫",爲我越倡始帝王之基業,其功可謂大矣.	Triệu vũ đế khai thác đất việt ta mà tự làm đế trong nước, đối ngang với nhà hán, gửi thư xưng là " lão phu ", mở đầu cơ nghiệp đế vương cho nước việt ta, công ấy có thể nói là to lắm vậy.
後之帝越者,䏻法趙武固守封圻,設立軍國,交鄰有道,守位以仁,則長保境土,北人不得.	Người làm vua nước việt sau này nếu biết bắt chước vũ đế mà giữ vững bờ cõi, thiết lập việc quân quốc, giao thiệp với láng giềng phải đạo, giữ ngôi bằng nhân, thì gìn giữ bờ cõi được lâu dài, người phương bắc không thể
史臣吳士連曰:傳曰""有大德必得其位,必得其名,必得其壽".	Sử thần ngô sĩ liên nói: truyện có câu: " người có đức lớn thì ắt có ngôi, ắt có danh, ắt được sống lâu ".
帝何修而得此哉?	Đế làm gì mà được như thế?
亦曰德而也矣.	Cũng chỉ vì có đức mà thôi.
則英武之威𡸈讓漢髙.	Xem câu trả lời lục giả thì oai anh vũ kém gì hán cao.
及聞文帝爲帝親塚置守邑,歳時奉祀,及厚賜其昆弟,則又屈於漢,於是宗廟饗之,子孫保之,非以德耶?	Đến khi nghe tin văn đế đặt thủ ấp trông coi phần mộ tổ tiên, tuế thời cúng tế, lại ban thưởng ưu hậu cho anh em, thì bấy giờ vua lại khuất phục nhà hán, do đó tông miếu được cúng tế, con cháu được bảo tồn, thế chẳng phải là nhờ đức ư?
易曰:"謙尊而光,卑而不可踰".	Kinh dịch nói: " biết khiêm nhường thì ngôi tôn mà đức sáng, ngôi thấp mà không ai dám vượt qua ".
文王.	Văn vương.
在位十二年,壽五十二歳.	Ở ngôi mười hai năm, thọ năm mươi hai tuổi.
[王感鄰以義,却敵邊,亦願治之君也].	Vua lấy nghĩa để cảm nước láng giềng, đánh lui địch, yên biên cảnh, cũng gọi là bậc vua có ý muốn thịnh trị vậy.
諱胡,仲始之子,武帝之孫也.	Tên huý là hồ, con trai trọng thuỷ, cháu vũ đế.
丙午,二年,[漢建元六年].	Bính ngọ, năm thứ hai, (hán kiến nguyên năm thứ sáu).
秋,八月,有星孛于東方,長竟天.	Mùa thu, tháng tám, có sao chổi mọc ở phương đông, đuôi dài hết trời.
閩越王郢侵我邊邑.	Mân việt vương sính xâm lấn biên ấp nước ta.
王守漢約,不擅興兵,使人賫書言其事於漢.	Vua giữ ước với nhà hán, không tự tiện dấy quân, sai người đem thư nói việc đó với nhà hán.
漢多󰒂之,大爲𭛁兵,遣王恢出豫章,韓安國出會󰏲,擊閩越.	Nhà hán khen là nghĩa, vì vua mà phát đại binh, sai vương khôi xuất quân từ dự chương, hàn an quốc xuất quân từ cối kê, để đánh mân việt.
淮南王安上書諫曰:"越方外之地.	Hoài nam vương an dâng thư can rằng: " việt là đất ở ngoài cõi.
剪髮,文身之,不可以冠帶之國法度理也.	Dân cắt tóc vẽ mình, không thể lấy pháp độ của nước đội mũ mang đai mà trị được.
自三代之盛,胡粤不受正朔,非強不䏻服,威不能制,以為不居之地,不牧之民,不足以煩中國也.	Từ thời tam đại thịnh trị, người hồ, người việt đã không nhận chính sóc, không phải là vì mạnh mà không hàng phục được, uy không chế ngự được, mà vì đất ấy không thể ở được, dân ấy không thể chăn được, không bõ làm phiền đến trung quốc vậy.
今自相攻擊而陛下𭛁兵救之,是及以中國而.	Nay họ đánh lẫn nhau mà bệ hạ phát quân đến cứu, thế là trái lại đem trung quốc mà
勞夷狄也.	Phục dịch di dịch vậy.
且越人輕薄反襨,不用法度非一日之積.	Vả người việt khinh bạc, tráo trở, không theo pháp độ, không phải mới có một ngày.
一不奉詔󰁮兵誅之,臣恐後兵革無時得息也.	Nay mới không vâng chiếu mà cất quân đi đánh giết, thần sợ sau này việc binh cách không biết đến lúc nào thôi.
間者歳北不登,民生未復,今𭛁兵資粮,行数千里,夾以深林叢竹,多蝮蛇猛獸,夏月暑時,歐泄霍乱之病相隨屬也曾,未施兵接刅死傷者必眾矣.	Vừa rồi mấy năm liền không được mùa, sinh kế của dân chưa lại như cũ, nay phát binh lấy lương, đi mấy nghìn dặm lại thêm rừng sâu tre rậm, nhiều rắn độc thú dữ, tháng hè mùa nắng, các bệnh thổ tả hoặc loạn phát ra luôn, tuy chưa từng ra quân đọ kiếm mà chết chóc tất đã nhiều rồi.
臣聞軍旅之後,必有凶年,言以具愁苦之氣,薄隂陽之和,感天地之精,而災氣爲之生也.	Thần nghe rằng sau việc quân lữ, tất là mất mùa, là bởi cái khí sầu khổ phá sự điều hoà của khí âm dương, cảm đến tinh khí của trời đất, tai biến do đấy mà sinh ra.
陛下,德配天澤及草木一人有饑寒不終其天年而死者,爲之悽愴於心.	Bệ hạ đức sánh trời đất, ơn đến cỏ cây, một người đói rét không được hưởng trọn tuổi trời mà chết, bệ hạ cũng lấy làm thương xót trong lòng.
今方内無狗吠之警,而使甲卒暴露.	Hiện nay trong nước không có tiếng chó sủa báo động mà khiến quân lính phải dãi dầu
中元,霑漬山谷,邊境之民早閉晏開,朝不及夕,臣安窃爲陛下重之.	Ở đồng nội, ngấm ướt ở núi hang, khiến dân ở biên cương phải đóng cửa sớm mở cửa muộn, bữa mai không kịp bữa hôm, thần an trộm xin bệ hạ thận trọng việc đó.
且越人緜力薄材,不能陸戦,及無車騎弓弩之用,然而不可入者,以保地險,而中國之人不耐其水土也.	Vả người việt nhân tài vật lực yếu mỏng không biết đánh bộ, lại không biết dùng xe ngựa cung nỏ, thế mà không thể đem quân vào được, là vì họ giữ được đất hiểm, mà người trung quốc thì không quen thuỷ thổ.
臣聞道路言:閩越王弟甲弑而殺之,甲已誅死,其民未有所属.	Thần nghe ở đường sá người ta nói rằng: mân việt vương bị em là giáp giết chết, giáp cũng đã bị giết rồi, dân nước ấy chưa thuộc về ai.
陛下若所重臣臨冇施德,再賞以招𦤶之,此必携幼扶老以㱕聖德.	Nếu bệ hạ sai trọng thần đến nơi thăm hỏi, ban đức cấp thưởng để chiêu dụ họ, thế tất họ sẽ dắt trẻ dìu già theo về thánh đức.
若無所用之,則存亡繼絶,建其王侯,此必委質爲臣,世共貢職.	Nếu không dùng đất ấy làm gì, thì nước đã mất làm cho còn, dòng đã tuyệt khiến nối lại, phong làm vương hầu, như thế tất họ phải đem mình làm tôi, đời đời nộp cống.
陛下以方寸之印,丈二之組,填撫方外,不勞一卒,不頓一㦸,而威德並行.	Bệ hạ chỉ dùng cái ấn vuông một tấc, dây thao một trượng hai, mà trấn vỗ được đất ngoài, không phải nhọc mệt tên lính nào, không phải cùn một chiếc giáo nào, mà uy đức đều được cả.
入其地,此必震恐,迯入山林;背而去之則復群聚,留而守之,歴歳經年,則士卒罷勌,食粮之絶,一方有急四靣皆聳.	Vào đất họ, họ tất sợ hãi, trốn vào rừng núi; nếu ta bỏ về, thì họ lại họp đàn tụ lũ, nếu ta ở để giữ, thì hết năm này sang năm khác, quân lính mệt mỏi, lương thực thiếu hết, một phương có việc gấp, thì bốn mặt đều sợ.
臣恐變故之生,奸邪之作,由此始也.	Thần sợ rằng biến cố sẽ sinh, gian tà sẽ nổi, đều là bắt đầu từ đấy cả.
臣聞,天子之兵,有征而戦,言莫敢較也.	Thần nghĩ rằng: quân của thiên tử chỉ đi đánh kẻ dưới phạm lỗi, chứ không đi đánh nhau để tranh giành, vì là không ai dám đọ sức.
