武功耆定。	Võ công định sáng .
初克寬以萬曆二十五年四月過䦕至十月到燕京拜謁明帝十二月初六日辝明帝回國前後凣一年餘四箇月使道以通。	Đầu năm vua Mạnh Lịch hai mươi năm tháng tư qua Thạnh , tháng mười đến Kinh Yên , chầu thăm vua Minh , tháng mười hai ngày sáu về nước , trước sau cả năm tháng bốn , sứ đường mở thông .
易曰赦過宥罪書曰𤯝災肆赦怙終賊刑。	Dịch nói : Thả lỗi , tha tội .  Sách nói : Trừ tai , ban xá , dứt tội trái phép .
五月以段汝諧為御史中賛。	Tháng năm bổ ông Đoàn Như Hiềm làm Trung thần quan sát .
節制鄭松兵至江會日暮且曰兵法曰窮㓂勿追。	Chỉnh sửa việc quân Trịnh , quân đến , hội ở sông , chiều tối , nói rằng phép binh , nói rằng giặc cùng , chớ đuổi .
長春殿側又起龍祿殿盖以銀瓦。	Bên cạnh điện Trường Xuân lại dựng điện Long Lộc , thêm đỉnh ngói bạc .
取合格阮廷正等九名。	Lấy người hợp khảo , Nguyễn Đình Chánh đứng chín .
璜復從海道出其不意逕至州。	Hồng Phục lại từ biển đường ra bất ngờ , đến châu .
秋七月帝引軍入佛誓城俘乍斗妻妾及宫女之善𰙔舞西天曲調者。	Tháng bảy thu , vua dẫn quân vào thành Thích , bắt vợ chồng của Tấn Đẩu , cùng các cung nữ , đem về múa khúc định Tây thiên .
莫兵大潰。	Quân Mạc đổ vỡ .
是年莫茂洽被青盲暗眼旁求天下有善醫者治療数年疾愈復明。	Năm ấy , Mạc Mậu Hiệp bị mắt xanh , mắt tối , mắt mờ , cầu trên thiên hạ có người thầy thuốc tài tình , trị liệu mấy năm , bệnh trở lại sáng .
尙書省員外郎李寳臣行東上閤門使。	Sứ quan Đông Thượng hành một quan viên ngoại lãnh sự Thượng thư .
此時莫黨雖未悉平然軍聲日益大振矣。	Lúc này mặc đảng tuy chưa hết trọn , nhưng tiếng quân ngày càng lớn dấy .
匠人武如蘇作大棧殿百餘屋罄竭國中財力。	Thợ làng , võ lực như Tô , làm xây đại trần điện , trăm nhà trên , hết sức của nước .
如陳鍵靖國之子改姓為枚。	Như Trần Cẩn , con trai đời Trần , đổi họ làm Diêu .
使莫玉󱗲督四道将士兵馬阮倦督南道将士兵馬。	Làm cho Mạc Vũ Hạo đốc binh bốn đường , làm cho Nguyễn Kiệm đốc binh đường Nam .
山獠遁跡。	Dấu núi rừng đã mất .
唐帝從之。	Vua Đường đồng ý .
春正月選補軍族。	Tháng giêng xuân chọn bổ quân tộc .
命六部六寺六科󰱇本吏識字有行檢各二人以僃體訪軍民疾苦及政事得失。	Mệnh sáu bộ , sáu chùa , sáu khoa , người biết chữ có hành kiểm , mỗi hai người , để đủ thể , hỏi quân dân nỗi khổ , cũng như chính sự được thiếu .
秋七月尊憲慈皇后為皇太后。	Tháng bảy tháng thu tôn hiến vua hiền làm hoàng thái hậu .
癸丑詔諫議大夫牟俞都󰱇舊龍翼爲左右玉階興聖廣成武。	Năm quý sửu , sắc chiếu đều cho ngài Mưu Du , Đô Đốc , Lưỡng Vịch , làm Thượng thư , Thượng tướng , Thượng quan , Thượng sĩ , Thượng nhà , Thượng giảng , Thượng giáo , Thượng học , Thượng tướng , Thượng tướng , Thượng tướng , Thượng tướng , Thượng tướng , Thượng tướng , Thượng tướng , Thượng t
汝以公主故得為勾當非他勾當可比當則一足趾使與他别。	Anh vì công chúa mà được làm quan , không thể so với người quan khác .  Khi làm quan , chỉ có một chân , để biết khác với người khác .
夏地震。	Đất hạ chấn động .
十日有自賊處逃赴御營奏報云上相光啓懷文侯國瓚及陳聰阮可臘與。	Mười ngày có người từ nơi giặc trốn đến ủy doanh báo cáo rằng : Thượng tướng mở mang , vua vẫn nhớ văn hầu , quốc Tản cùng Trần Thông , Nguyễn Khả Lạp .
僃置六部尙書員数。	Phó trách sáu bộ thư người số .
令三軍有䏻以身徇國武藝精通用力果敢不顧生死者並許通身選入内府侍衛。	Lệnh ba quân có tài , vun thân vì nước , võ nghệ tinh thông , dùng sức quả dũng , chẳng lo sống chết , đều được chọn vào trong phủ phụng vệ .
秋八月定丁祭。	Tháng tám thu định ngày đinh tế .
命監察御史黎伯夷𭛁順化倉粟作帶殼米轉漕行在。	Mệnh giam sát ngự sử Lê Bá Di , đem lúa tạc đóng bao từ Sự hóa chuyển vận đến triều đình .
及殿試賜阮世標等二名進士出身鄧維明等五名同進士出身。	Đến đến thi đình , ban cho Nguyễn Thế Biểu , Đặng Nhật Hòe hai người đỗ Tiến sĩ .  Đến đến thi đình , ban cho Đặng Vũ Minh , Đặng Vũ Huy , Đặng Vũ Phúc , Đặng Vũ Hòe , Đặng Vũ Thụy năm người đỗ Cùng Tiến sĩ .
考試士人充各司屬掾。	Đỗ đạt thi cử , làm quan chức quan lại .
時阮文質所漕粮皆熟米。	Thời nhà Nguyễn văn chất , lương cơm đều lúa tốt .
這此等弊乃亦天星示警。	Đây là loại tệ nạn , thật là sao trời cảnh báo .
上皇餘行徧觀宫殿自辰至巳。	Thượng hoàng dư hành , khắp xem cung điện từ Thìn đến Tị .
哀王年少不能防閉其母吕嘉當國内外之事寕不預知。	Vua Ai tuổi trẻ , không thể phòng ngừa , mẹ Lã Văn Cả đang quản sự trong ngoài , há không biết trước .
戊申十七年宋淳祐八年春正月改徽宗廟號曰太祖廟壽陵曰徽陵。	Năm mười bảy tháng mùi mùi năm thứ tám của triều Thương hựu nhà Tống , tháng giêng , đổi miếu hiệu Huy Tông thành miếu hiệu Thái Tổ , đổi Thọ lăng thành Hiêu lăng .
又差清郡公鄧璥膠郡公阮有佳等公勦山陽當道賊軰。	Lại sai quân công Quỳnh Quận , Đặng Kiệt , quân công Giê-ao Quận , Nguyễn Hữu Gia , các bậc quân công đánh giặc đường núi Sơn Dương .
師出有名刑兹罔赦。	Thầy ra có danh , phạt nầy chớ tha .
而徃復書詞諄切皆廌奉㫖撰也。	Và đi lại , thư từ thấm nhuần đều theo sắc mệnh mà soạn .
旨揮天下卜筮道釋之人今後不得𭁈内宫後庭交通言語。	Chỉ răn đe thảy thiên hạ , người làm đạo bói , tiên tụng , nay sau không được vào trong cung , hậu đình , giao thông lời nói .
永郡公率餘黨奔武崖。	Công Vĩnh Quận dẫn quân còn lại chạy đến Vũ Nham .
後之有作恢廓而亮大之䐧沃而光澤之如斯而己烏得而非𬢱之哉。	Người sau có tác , mở mang mà sáng , lớn , ướt át mà tươi tốt , như thế mà đủ , sao mà không phải là tốt .
五月差太傅鄭杜太保鄭檸等統率太原将廉郡公向導攻勦太原破偽永郡公缺名營。	Tháng năm sai Thừa phu Trịnh , Đỗ , Thừa bảo Trịnh , Lâm , v.v. thống sướt , tướng Thiệu Nguyên , quân Lêm Công , hướng dẫn đánh phá Thiệu Nguyên .  Phá giảm , quân Vĩnh Quận công , thiếu danh , đánh bại Thiệu Nguyên .
官兵大獲全勝班師回清華。	Quan binh đại hóá toàn thắng , quay về thanh hoa .
會日暮節制鄭松駐兵于險山。	Ngày hội , Tôn Chánh đến giữ trấn , dừng quân ở núi hiểm trở .
帝及諸将議令各縣沿河軍人預徒財畜入山林避居以防賊兵。	Vua cùng các tướng bàn lời cho quân lính ở các huyện ven sông , dẫn tiền bạc , gia súc vào núi rừng , ở nơi ẩn náu , để phòng giặc .
鎰等奉抄送聖㫖另給郭有嚴馬船一艘欽此。	Các quan đều phụng sự trình lên , thánh chỉ riêng ban cho Quách Hữu Nghiêm một con thuyền ngựa .
武百福黎文暿劉世賡等望見退走。	Vũ Bá Phúc , Lê Văn Quang , Lưu Thiên Thành , đều nhìn thấy rồi chạy trốn .
先興建昌悉平。	Trước dựng thành Xây , đều bằng phẳng .
髙御龍舟。	Cưỡi ngựa lên thuyền .
揭竿爲旗氓隷之徒四集投醪饗士父子之兵一心。	Cờ treo cột , dân nghèo làm tôi , bốn phương tụ hội , rượu ngon mừng thần , cha con một lòng .
春二月明遣林孛來求檳榔茘枝波羅𡧸龍眼等𣗳子因内人阮宗道言南方花果多佳種故也。	Tháng hai xuân , sáng sai Lâm Bệ đến cầu bình lang , lý chi , bà la , long nguyệt , v.v . , do trong nhân Nguyễn Tông Đạo bảo rằng phương nam có nhiều loại hoa quả tốt lành .
上親制策問以政事得失。	Trên thân tỏ ý mà hỏi về chính sự đắc thất .
脱有不幸遭亂公子出奔有納之之道然不以正未有能濟者矣。	Bỏ có bất hạnh gặp loạn , công tử ra chạy có đạo nạp vào chưa ? Nhưng không với chính , chưa có ai vượt khỏi được .
朝廷之兵來則禦之。	Quân triều đình đến thì đuổi lui .
媚醯不勝憤鬱密以氊自纏投江死。	Mang đầy mùi hôi , không thể chịu nổi sự phẫn uất , ôm lấy tấm da , nhảy xuống sông chết .
是月金星行失度。	Tháng này sao Kim sao hành sai độ .
帝從之置匭于庭令有言事裁書投其中。	Vua theo ý đặt quỹ ở sân , cho ai có việc cần thì viết ra ghi vào trong đó .
先是智髙寇宋邊宋命樞𡧸直𭓇士孫沔入内押𤤻石全彬同本路經畧使余靖經制盗賊。	Trước ấy Trí Cao cùng giặc xâm lăng biên cương Tống , Tống mệnh giao cho Trực Hạo , Trực Hạo dẹp giặc , Tôn Tôn , Tôn Tôn dẹp giặc , Tôn Tôn dẹp giặc , Tôn Tôn dẹp giặc , Tôn Tôn dẹp giặc , Tôn Tôn dẹp giặc , Tôn Tôn dẹp giặc , T
二十九日遣使陳情于明。	Ngày hai chục chín gửi sứ báo tin vua Minh .
駙馬都尉陳珪刑部有侍郎裴原道工部右侍郎黎岳刑科都給事中阮保珪徃壽昌驛。	Phò mã đô uy Trần Khuy , Hành bộ có Thừa lương Bùi Nguyên Đạo , Công bộ phó Thừa lương Lê Nhạc , Hành khoa đều Cung thừa sự Nguyễn Bảo Khuy .  Đi trạm Thọ Xương .
令賜各處父道爲守禦團練等職爵中品。	Lệnh ban cho các chỗ , cha đạo làm giữ ấp , đoàn , liên , vị phẩm trung .
王問以藩方事賜賚甚厚乃拜真爲奉天府尹賜冠帶朝服。	Vua hỏi về việc phên phương , ban tặng rất nhiều , nên lễ bái chức Phụng Thiên phủ ủy , ban tặng mũ áo triều phục .
宜宣召大臣𭁈諸王子諭以王業󰠡难改革弊政務悅民心庶幾人心悅天意得灾星轉爲景星世治陶爲至治太平做十分祚胤傳億載國家基緒今其自是有永矣。	Nên tuyên chiếu đại thần , gọi các con vua , bảo rằng vua nghiệp khó , cải cách chính sách , cần thích lòng dân , mong được lòng dân thích ý trời , sao tai chuyển thành sao cảnh , thời thịnh đào thành thời chí , thái bình làm mười phần , mệnh dài truyền muôn thuở , nền nếp n
丁亥唐󰦭通八年。	Đinh hợi Đường Trung Thống tám năm .
帝遣何栗等如明謝恩并貢方物代身金人且奏訪求陳氏子孫無有遺贾及官軍出首者亦以陸續送回。	Vua sai Hà Lộc , Hà Lãng , Hà Lượng , Hà Lượng , Hà Lượng , Hà Lượng , Hà Lượng , Hà Lượng , Hà Lượng , Hà Lượng , Hà Lượng , Hà Lượng , Hà Lượng , Hà Lượng , Hà Lượng , Hà Lượng , Hà Lượng , Hà Lượng , Hà Lượng , Hà Lượng , Hà Lượng , Hà Lượng , Hà Lượng , Hà Lượng , Hà L
初明宗嗣位既九而嫡母生男。	Vua Minh ban đầu lên ngôi , sau chín năm mẫu đích sinh con trai .
承司府縣肆行違法鎮守留守不禁姦非並許彈劾糾奏。	Thừa tướng phủ huyện , thực hành vi phạm pháp , trấn thủ lưu thủ , không cấm gian phi , đều được đàn trách , kiệu tờ .
同知纘郡公鄭𣛧爲都督僉事。	Đồng tri thừa nghiệp quận công , Trịnh Hạo làm đô đốc thiên sự .
出西道參知軍民簿籍鄧得為諒山鎮安撫使尋下獄。	Ra đường Tây , tham biết quân dân , Đặng được làm Lương Sơn trấn an vũ sỹ , sau bị giam vào tòa án .
賛曰申仁忠等撰。	Chú giúp nói : “ Tôn nghĩa nhân , trung , đều là tác phẩm của ông . ” .
惟裴應斗以眼疾辝下齋學生李子構等數人隐不出而已。	Chỉ có Bùi Ứng Đẩu bị bệnh mắt nên từ bỏ việc dạy học sinh , Lý Tử Các , Nguyễn Cơ Khảo , mấy người ấy , ẩn mình không ra ngoài .
自古帝王之增益聖德者未有不由學問。	Từ xưa đế vương thêm lên đức thánh , chưa từng không qua học hỏi .
上令杜環指黎壽域謂茶全曰殿前都督擊闍槃時先登破城乃此人也。	Lệnh trên bảo Đỗ Hoàn chỉ vào Lê Thọ , bảo Thầy toàn nói : “ Điện tiền đốc đến đánh Chi Ba , tiên đăng phá thành , chính là người này .” .
至是始置焉。	Đến lúc này mới đặt ở đó .
春二月十九日上皇崩于保元宫廟號明宗謚曰章堯文哲皇帝。	Tháng hai tháng xuân ngày mười chín , Thượng hoàng bệnh vong tại Bảo Nguyên cung , miếu hiệu Minh Tông , tịnh hiệu Thánh Hiến , văn hiệu Thánh Thái Hoàng Đế .
時憲文󰱇等勵兵直進破逆䧺壘放火燒其營。	Thời Hiến Văn , Đoan Lệ , dẫn quân đòn đẩy phá luỹ giặc Hùng , đốt lửa đốt trại .
其池縈紆屈曲開貢口可運輕舟之出入以為逸豫極其奢侈。	Ao lượn quanh uốn cong , mở ra cửa quan hệ , có thể vận thuyền nhẹ ra vào , để làm vui thú , thật là thừa thãi .
鎮守留守職專擒制盗刼防禦姦非當保安方民不得擅置非例職名肆爲民擾。	Chức trấn thủ , lưu thủ , riêng để bắt giặc , trừ cướp , phòng ngăn gian phi , đương bảo an dân , chẳng được tùy ý đặt chức không theo quy cương , làm cho dân rối .
至是以翰林待制黎少頴唐安縣可慕人即今慕澤也。	Đến đó , Hàn Lâm Định Chế Lê Thiếu Nhiên , huyện Đường An người xưa người nay đều ngưỡng mộ .
珝怒未解欲引軍還。	Lưỡi sắt chưa lắng , muốn dẫn quân về .
九月朔次長安府黄龍見于帝所御舟。	Tháng chín ngày nhất , tại phủ Trường An , Hoàng Long hiện ở nơi thuyền vua .
甲辰十五年明成化二十年。	Giáp Sửu mười lăm năm , Minh Thành Hóa hai mươi năm .
至宣光興化西道將定郡公將兵來會。	Đến nay , sáng soi , hưng hóa , đạo Tây , tướng Định Quận công dẫn quân đến hội .
捷至王大喜奏聞于帝。	Tin vui đến , vua mừng báo với vua .
未時帝始醒。	Giờ mười hai , ông mới tỉnh .
十二月皇弟維祫即皇帝位。	Tháng mười hai , anh em vua cùng lên ngôi vua .
在位二十八年壽三十四而崩塟阜陵。	Trị vị hai mươi tám năm , sống ba mươi bốn tuổi mà mất , tang mộ ở Thự Lăng .
先是帝立陳暠。	Sau đó đế lập Trần Quảng .
申明常朝衣服。	Thông báo quy cách áo áo mặc thường .
并作九重󰱑殿前掘為池通蘇瀝江引水泛天光舟以縱觀遊。	Cùng làm chín tầng điện trước , đàm cọc thành ao , thông sông Tô Lịch dẫn nước , thuyền đưa ngắm cảnh .
故史臣筆之通鑑深致意於其間焉。	Vì thế mà sử thần bút , xây dựng sử sách , ý sâu sắc thấu trong đó .
賢能為社稷之棟梁空掃地。	Hiền năng làm cột rường cho xã tắc , chỉ quét sạch mặt đất .
武勝都郭卑献桃樹四寸生花。	Vũ Thắng đô quách , cây đào hiến dâng bốn tấc hoa nở .
朕欲定地犬牙之相制者以問又吏曰髙皇帝所以界長沙者王之地也不得𢫔變焉。	Ta muốn định sự tương quan của chân núi , răng chó , thì hỏi người làm quan , lại bảo rằng : “ Đất này là đất của vua , được định bởi vua Thượng Hoàng , không thể đổi thay được . ” .
日則旗皷相望夜則塞火爲號與官軍相拒守。	Ngày thì cờ trống cùng nhau nhìn nhau , đêm thì lửa ải làm tín hiệu , cùng quan quân chống chọi giữ nơi ấy .
令諸軍收粮米後至麻義。	Lệnh cho các quân thu lương lúa , sau đến Mã Nghĩa .
是月明人又使委官王建立就我國催貢會勘。	Tháng này sáng người , lại sai quan vương Kiến Lập , kiêm đại sứ , đến nước ta cưỡi ngựa đi hội cầu .
殘卒相爭上船船中人恐覆以劎断手落水死者過半餘各自迯生。	Tàn tớ tranh nhau lên thuyền , người trong thuyền sợ chìm , vung kiếm đoạt tay rơi xuống nước , người chết quá nửa , còn lại mỗi người cứ chạy mình .
六月以阮荗為御史󰱑都御史知詞訟。	Tháng sáu , Nguyễn Thịnh làm quan Ứng sử , đô Ứng sử , biết xử lí việc kiện tụng .
春正月重修延祐寺詔仍舊貫。	Xuân tháng giêng trùng tu Diên Hậu sở , chiếu vẫn cũng như xưa .
元人見之皆驚曰有宋人來助因此敗北。	Người đời Nguyên thấy đều kinh sợ , nói rằng có người nhà Tống đến giúp mà thế mới thua trận .
范賞杜六孔原范寳金吉李槩陶老阮完爲尙书省員外郎。	Phạm Thưởng , Đỗ Lục , Khổng Nguyên , Phạm Bảo , Kim Cát , Lý Quát , Đào Lão , Nguyễn Hòa làm quan Thượng thư , sứ quan viên ngoại lang .
培築各處堤路。	Bồi đắp đê đường nơi nơi .
又使定郡公鎮守安西大同以壮藩疆并開治道途自天䦕連于興化宣光通于京北運載糧道供給軍資。	Lại khiến Định Quận công trấn giữ An Tây Đại Đồng , mạnh cương phên , mở đường trị đạo , tự Thiên Hà liền với Hưng Hóa , sáng soi đến Kinh Bắc , vận chuyển lương đạo cung cấp quân tài .
三月會試天下士人。	Ba tháng hội thi thiên hạ sĩ nhân .
惟昭文王日燏軍有宋人衣宋衣執弓矢以戰。	Chỉ có ngày vua Văn nhà Tần , quân Tần có người nhà Tống mặc áo Tống , áo Tống cầm cung với thù .
夏四月壬寅朔日食。	Tháng tư năm hạ ngày nhẫn dần có trận mất mặt trời .
蓮湖伯黎文福告急于莫登庸。	Hồ sen , ông Lê Văn Phúc cấp giáp cứu nạn ở Mạc Đăng Nùng .
黄大破悉平之俘獲偽将甚多及斬馘不可勝數。	Hoàng Đại phá trùm , bắt giặc bịnh bao nhiêu , giả tướng cũng nhiều , chém bổ không thể đếm được .
𭛁御厙金幣頒賜百僚有差。	Cung điện ngự lão , vàng bạc ban tặng các lão lãnh có thứ bậc .
憤胷徒之未滅。	Giận dữ trong lòng vì chưa diệt trừ được quân giặc .
諧爲東閣大學士子爵。	Được phong đại học sĩ , tước tử giáp ở Đông các .
故當時記載皆稱妸陳枚鍵焉。	Vì thế nên lúc ấy ghi chép đều khen ngợi , như Trần , Lý , Trịnh , Mạnh .
或遲速踈數而不齊大畧然也何有於江山。	Thỉnh thoảng chậm nhanh , một vài lần mà không đều , đó là lẽ thô sơ thôi , có gì đáng kể với non sông .
烝㢤聖宗丕承基緒。	Thánh tông nối nghiệp đời trước .  .
官軍亦回安塲營。	Quân quan cũng về trại An Trường .
虜在目中雷疾寧容於掩耳師行席上火炎立見於燎毛。	Giặc ở trước mắt , sấm chớp chẳng thể che tai .  Quân đang ăn trưa , lửa cháy liền thấy lửa đốt lông .
詔長子俊德侯鄭檜代領其權統兵討賊。	Chiếu cho con trưởng Tôn Đức Hầu Trịnh Hội đại thay , dẹp quân giặc .
諳寫士人一塲中者承憲二司如例考試。	Biết viết bài thi của người sĩ , trong một trường , người người theo quy định hai sở , như thường xét thi .
乃閲武藝教之以坐作擊削之法指是奇正分合之勢使知金皷之聲旌旗之號。	Rồi xem võ nghệ , dạy họp ngồi đứng , đánh gạt , đánh cắp , chỉ thế chia hợp , khiến biết tiếng trống , cờ sáo .
十二月節制鄭松令諸将以所俘賊卒六百餘人來納使觧其縛撫勞之給以衣食盡放還本貫以示好生之德。	Tháng mười hai , Tết , Trịnh Tùng ban lệnh cho các tướng , các tướng đem tù binh giặc bắt được hơn sáu trăm người đem đến thảo nạp , giải bó buộc , vâng vấn , ban cho ăn mặc , đem về quê hương , để cho thấy đức hảo sinh .
賜汝敬等鈔道里費并四我國使黎國噐等鈔及文綺襲衣命與汝敬等同行。	Ban cho ngươi Kính Đẳng tiền đường phí , cùng bốn người sứ nước ta đến nước Lê , tiền cùng y phục văn kỳ , mệnh cho ngươi Kính Đẳng cùng đi .
曆數在躬臣民徯志。	Số năm trên mình , dân bề vẫn mong chờ .
日燏納之有趙忠者為家将。	Ngày đêm nghĩ đến có người trung trọng như Triệu Chính làm tướng nhà .
八月已遣使求封。	Tháng tám đã gửi sứ cầu phong .
二十五日明遣正使光祿寺少卿宗傑副使兵科都給事中薜謙來封帝為安南國王。	Ngày mười lăm tháng hai , vua sai sứ chính là quan Thái bình thượng quan Tôn Kiệt , sứ phụ là quan Bộ binh đô quan Trí thượng thư Việt Kiêm đến phong vua làm vua An Nam .
官軍以銃射之死于馬下。	Quan quân dùng súng bắn , chết dưới dưới ngựa .
師李道成卒。	Thầy Lý đạo thành chết .
戊子八年宋大觀二年。	Năm tám mùi Mùi , năm hai đại quán nhà Tống .
其輕赦徒流罪潘季卿等亦預焉。	Đã nhẹ thẻ tố tụng cho tù truân , Phan Tử Khương , v.v cũng bị trừng phạt .
徽閉城門自守。	Đóng cửa thành , tự giữ .
二十一日統領官富郡公鄭根親督統率督率及諸道兵直進長驅至日麗海門休兵會同諸将論叙戦功等級具以上聞。	Ngày hai mươi mốt , quan Thống lĩnh Phú Quận công Trịnh Cẩn , tự mình đốc thống , đốc lĩnh , đốc lĩnh các đạo binh , dẫy dật đánh tới cửa biển Lý Hải , nghỉ binh , họp cùng các tướng , bàn luận chiến công , bậc thấp bậc cao , đều báo trên .
召廣南總兵元郡公阮伯䮐還。	Triệu quân quan quân tổng binh Quảng Nam , Nguyên Quận công Nguyễn Bá Khảo về .
太宗嘗欲以守度兄安國為相。	Thái Tông từng muốn bổ ông An Quốc làm tướng .  Vì ông giữ đạo , là anh em của ông .
以一智髙两廣力不䏻制乃假外境。	Một trí cao , hai quảng lớn , sức không thể chế độ nên giả vờ ngoại cảnh .
守度頷之識其姓名貫址。	Giữ đạo , nghe nói biết tên , họ , nơi ở .
仍貯川芎於布袋令家僮佩之便襲人氣不生虫󰔦。	Còn chứa thang bìa trong túi lông , khiến người ta đeo vào , thì không sinh ra mối mọt .
平明有僚復收兵回行營。	Sáng sớm , có người bảo rút quân về trại .
夏四月封上皇女玉瑳一作白瑳為天寕公主嫁正肃王堪一作興肃。	Tháng tư hạ , phong Thượng hoàng nữ , Ngọc Sài , một bút Bạch Sài , làm Thiên Ninh Công chúa , cưới Chánh Thục Vương , Cán , một bút Hưng Thục .
辛卯二年宋政和元年。	Năm thứ hai năm Tý mão , năm đầu tiên chính hoà của nhà Tống .
秋七月唐帝以髙駢為右金吾衛大將軍一云檢校尚書僕射至唐僖宗乾符二年乙未徒西川節度使。	Tháng bảy tháng thu triều Đường , vua bổ ông Cao Biền làm đại tướng quân phò tá phương phái phải của quân đội .  Một người nói ông làm Thượng hiệu sảnh bộc thừa .  Đến năm Dần Phù thứ hai của vua Tích Tông triều Đường , ông được chuyển sang làm tiết độ sứ Tây Sơn
己丑九年宋大觀三年。	Năm chín tháng giìi , năm ba tháng đại quán .
庚戌𭛁京師。	Năm Canh Tuất đến kinh sở .
親迎其子之妻則倫之亂矣嬖幸倡人之女則禍之胎矣。	Cha mẹ đón chồng con thì mối nghiệp đã hư hỏng .  Người yêu vui dâu gái người thì nỗi họa đã nảy mầm .
潘天爵曰鰥寡王政之所恤。	Phan Thiên Giáp nói :  “ Khoan quạ là nơi vua nên thương xót .”
二十五日帝過江就菩提拜詔接使還于内殿。	Ngày hai mươi năm tháng mười một , vua qua sông đến Bồ Đề , bái chiếu tiếp sứ trở về trong điện .
判大宗正寺鄭克復知北道軍民簿籍。	Phán Đại Tông Chỉnh sở , Trịnh Khác Phục biết quân dân Bắc đường sổ sách .
