何喜文，淸四川人，白蓮敎餘黨也。	Hà Hỷ Văn, người tỉnh Tứ Xuyên, nước Thanh, là dư đảng của Bạch Liên giáo.
中興初，從戎有功，歷官中軍營、欽差掌奇，管全勇道，討賊，又管新舊唐人。尋卒。	Buổi đầu trung hưng, theo đi đánh dẹp có công, trải làm Khâm sai chưởng cơ ở doanh Trung quân, coi đạo Toàn dũng đánh giặc; lại coi cả người Trung Quốc mới và cũ, rồi chết.
阮文存。阮文存，眞腊茶榮人，原掖庭奴也。	Nguyễn Văn Tồn Người phủ Trà Vinh, nước Chân Lạp, nguyên làm nô ở trong cung cấm.
甲辰春，扈從望閣，官該隊。丁未秋，自暹還，從黎文勻襲破巴淶賊堡。尋奉命收集茶榮、斌切二處番民數千人，束補爲兵，號曰暹兵屯，以存統管。	Mùa xuân năm Giáp Thìn (1786), theo vua sang Vọng Các làm Cai đội. Mùa thu năm Đinh Mùi, từ Xiêm trở về theo Lê Văn Quân đánh úp phá vỡ bảo Ba Lay của giặc rồi phụng mệnh luyện tập dân Phiên ở 2 nơi: Trà Vinh, Mân Thiết được vài nghìn người, dồn bổ làm binh, gọi là đồn Xiêm binh, cho Tồn đứng Thống quản.
存，初名沿，無姓。以追隨有功，乃賜之姓。	Tồn khi trước tên là Duyên không có họ, vì theo đuổi có công bèn cho họ và tên.
己未，從武性守平定城。辛酉，城䧟，爲賊所執，復將兵。適我軍與賊戰，存佯爲賊出力。我軍招之，存不顧。	Năm Kỷ Mùi, theo Võ Tánh giữ thành Bình Đinh; năm Tân Dậu thành bị hãm, giặc bắt được, Tồn giả cách vì giặc hết sức đánh, quân ta vẫy về, Tồn không đoái hoài, giặc lấy làm tin.
賊信之，遂乘間逃歸于我。	Tồn bèn thừa cơ quay về với ta.
阮文誠以聞。帝使隸誠討賊。	Nguyễn Văn Thành đem việc tâu lên, vua sai lệ thuộc vào Thành để đánh giặc.
人有問存曰：「曩者在賊中，爲賊惡戰，何也？」	Có người hỏi Tồn rằng: "Trước đây ở với giặc, lại vì giặc đánh dữ dội vào quân ta là tại sao?"
存曰：「不大創我軍，則賊不信。賊旣不信，安能全師而歸？」	Tồn đáp: Không đánh dữ dội vào quân ta; thì giặc không tin, giặc đã không tin, sao có thể được đem toàn quân mà về.
人服其智。	phục là có mưu trí.
嘉隆元年，陞該奇。	Năm Gia Long thứ 1, thăng Cai cơ.
其冬，賜率所部暹兵回貫休息，令設守于鎭江斜温堡，兼管茶榮、斌切二府，隸永鎭營。	Mùa đông năm ấy, cho đem lính Xiêm bộ thuộc mình và qua nghỉ ngơi. Sai đặt đồn ở bảo Tà Ôn thuộc Trấn Giang để canh giữ, kiêm quản cả 2 phủ: Trà Vinh, Mân Thiết lệ thuộc vào doanh Vĩnh Trấn.
七年，召來京，尋厚賜遣還。	Năm thứ 7, triệu về Kinh, hậu ban cho rồi lại trở về giữ chức.
九年，改暹兵爲威遠屯，以存爲統屯，管率如故。十年，復召來京，陞統制，仍管威遠屯。	Năm thứ 9, đổi đồn Xiêm binh làm đồn Uy viễn, cho Tồn làm Thống đồn, trông coi như cũ … Năm thứ 10, lại triệu vào kinh, thăng chức Thống chế, vẫn coi đồn Uy viễn.
及還，賜黃金十兩、白金三十兩、錢二百緡、大朝冠服一副。尋命率屯兵一千戍南榮。	Khi trở về cho 10 lạng vàng, 30 lạng bạc, 200 quan tiền, 1 bộ mũ áo đại triều, rồi sai đem 1.000 lính đồn đi đóng thú ở thành Nam Vang.
十八年，督兵浚永濟河。	Năm thứ 18, đốc lính khơi sông Vĩnh Tế.
明命元年卒。命官諭祭，賜宋錦二枝、布二十疋、錢一百緡，給墓夫七名。	Minh Mạng năm đầu thì chết, sai người tới dụ tế, cho 2 cây gấm Trung Quốc, 20 tấm vải, 100 quan tiền, cấp cho 7 tên phu coi mộ.
八年，其子謂請追給贈勅，乃追贈統制。	Năm thứ 8, con là Vy xin truy cấp cho sắc tặng, bèn được truy tặng làm Thống chế.
帝諭禮部曰：「存雖出於奴虜，而忠勇天植，漢之金日磾殆無以過。	Vua dụ bộ Lễ rằng: Tồn dẫu xuất thân là kẻ nô bộc, lòng trung dũng trời sinh, thực là Kim Mật Đê đời Hán cũng không hơn được.
昔年平定之役，威遠軍沒於西賊。賊將愛存之才，存亦佯爲之用，卒全軍而歸，眞智勇也。」。	Năm xưa chiến dịch ở Bình Định, quân Uy viễn bị Tây Sơn bị bắt hết, tướng của giặc yêu tài giỏi của Tồn, mà Tồn thì giả cách vì giặc ra sức, rồi sau được toàn quân trở về, thật là trí dũng.
謂，初官該隊，尋轉衞尉，管靖邊奇〈原威大屯〉。	Vy bắt đầu làm Cai đội, rồi chuyển làm Vệ uý cai cơ Tịnh Biên (nguyên là đồn Uy Đại).
十四年，逆𠐤煽變，人訴謂與𠐤暗通。旣而謂死，事遂寢。	Năm thứ 14, giặc Khôi làm loạn, có người tố cáo Vy ngầm giao thông với Khôi, rồi sau Vy chết, việc bèn bỏ đi.
葉茂。葉茂，亦臘人，初投軍為長支，久從征伐，又多出家貲助軍費。	Diệp Mậu là người nước Chân Lạp, khi trước ra đầu quân làm Chưởng chi, theo đi đánh dẹp lâu ngày, lại xuất nhiều của nhà giúp việc quân phí.
嘉隆三年，陞欽差該奇管茶榮府。	Năm Gia Long thứ 3, thăng Khâm sai cai cơ coi phủ Trà Vinh.
何功泰。何功泰，淸葩上道人。	Hà Công Thái Người ở thượng đạo trấn Thanh Hóa.
黎末，天下大亂。泰糾土兵據淸葩上道，自稱統領，與廣地縣土目阮廷巴糾合諸蠻冊，與西賊拒戰。	Cuối đời Lê thiên hạ loạn to, Thái dụ họp thổ binh giữ thượng đạo trấn Thanh Hóa, tự xưng là Thống lĩnh, cùng với thổ mục ở huyện Quảng Địa là Nguyễn Đình Ba tụ họp các sách Man với Tây Sơn chống chọi.
甲寅，使人奉表詣嘉定輸款。	Năm Giáp Dần (1794), sai người dâng biểu đến Gia Định xin đem lòng thành về quy thuận.
厚賜遣還，遙授泰乂安、淸葩等道正統領郡公，令招集義勇，以應王師。	Vua hậu ban cho rồi cho về, bổ cho Thái ở xa làm Chánh thống lĩnh, Quận công, coi các đạo Nghệ An, Thanh Hóa; sai chiêu tập quân nghĩa dũng, để tiếp ứng với quân nhà vua.
己未，帝進征歸仁，使阮文酸往使泰起兵，爲官軍策應。	Năm Kỷ Mùi vua tiến đánh Quy Nhơn, sai Nguyễn Văn Toàn tới bảo Thái khởi binh để tiếp ứng cho quan quân.
庚申，泰遣人奉表，請率兵從上道阮文瑞討賊。	Năm Canh Thân (1800), Thái sai người dâng biểu xin đem quân theo thượng đạoội với Nguyễn Văn Thoại để đánh giặc.
許之，又授其屬爲該奇、該隊。	Vua y cho. Lại bổ những thuộc hạ của Thái làm Cai cơ, Cai đội.
辛酉，使人奉表文及北河地圖，入富春以進。	Năm Tân Dậu, sai người đem tờ biểu và bức địa đồ ở Bắc Hà vào Phú Xuân để dâng.
壬戌，泰使人奉密表，言軍事。	Năm Nhâm Tuất, Thái sai người dâng mật biểu nói về việc quân.
帝諭之曰：「我今克復舊京，阮光纘奔北，已委上道兵與萬象兵進攻乂安。爾宜率所部攻淸葩。俟朕規措略定，進取北河，以收一統。爾其勉之。」	Vua dụ rằng: Ta nay lấy lại được kinh đô cũ, Nguyễn Quang Toản chạy ra Bắc, đã uỷ binh của thượng đạo cùng binh Vạn Tượng tiến đánh Nghệ An rồi, ngươi nên đem binh trong bộ thuộc đánh Thanh Hóa, đợi trẫm xếp đặt ổn định tiến lấy Bắc Hà, để thu lại nhất thống, ngươi nên cố gắng.
其年夏，車駕北伐。至淸葩，泰上謁。帝慰勞，厚賜之。	Mùa hạ năm ấy, vua ra đánh miền Bắc, khi đến Thanh Hoá, Thái tới yết kiến, vua uý lạo và hậu thưởng cho.
嘉隆二年，監淸葩桂戶。	Năm Gia Long thứ 2, coi các hộ quế ở Thanh Hóa.
四年春入覲，賜之冠服、錢一百緡。	Mùa xuân năm thứ 4, vào hầu, vua ban cho mũ áo và 100 quan tiền.
及還，賜其部曲衣袴有差。	Khi trở về ban cho các bộ thuộc áo quần có thứ bậc khác nhau.
其年冬，泰疏言：「甲寅初，奉命歸集土兵及淸、乂豪目，束成五支，累與西賊拒戰，以待王師。壬戌，與萬象會遏賊去路。	Mùa đông năm ấy, Thái dâng sớ nói: Đầu năm Giáp Dần, thần phụng mệnh về tụ họp thổ binh và các hào mục ở Thanh, Nghệ, dồn thành 5 chi, thường cùng với Tây Sơn chống chọi để đợi quân nhà vua; năm Nhâm Tuất cùng với binh nước Vạn Tượng hội lại ngăn chặn đường đi của giặc.
今五支見兵五百八十一人。請增爲七支，籍其姓名以額上。	Nay hiệu binh 5 chi ấy là 581 người, xin cho tăng làm 7 chi, và biên các tên họ vào sổ đem số ngạch dâng lên.
又前所置甲、乙、丙三校，今又增募外籍民，竝丁一校，一百七十八人。請各免其庸緡、徭役。」	Lại trước kia có đặt 3 hiệu Giáp, Ất, Bính, nay lại mộ thêm dân ngoại tịch và 1 hiệu Đinh nữa cộng 178 người, xin đều miễn thuế thân, tiền đầu quan và lao dịch cho họ.
許之。	Vua y cho.
八年，請委人出境探捕匪渠郭必叔、鄭橒等。不許。	Năm thứ 8, xin uỷ người ra ngoài cõi dò bắt bọn đầu sỏ giặc là Quách Tất Thúc và Trịnh Vân, vua không cho.
十三年，淸葩盜起，鎭守陳公賴發兵捕之。盜走上道，泰緝捕，俘獲三十人。	Năm thứ 3, ở Thanh Hóa có cướp nổi dậy, Trấn thủ là Trần Công Lại đem binh bắt, giặc chạy lên thượng đạo, Thái tróc nã bắt sống được 30 tên.
事聞，帝嘉其功，遣阮祐儀齎金帛賜之。尋召泰來京瞻覲，賜錢二百緡。	Việc đến tai vua, vua khen có công, sai Nguyễn Hữu Nghị vàng lụa ban cho, rồi triệu Thái vào kinh ra mắt, ban cho 200 quan tiền.
十七年，賜之銅印。	Năm thứ 17, ban cho ấn bằng đồng.
明命元年入覲，賜錢二百緡、米一百方、紗緞長衣三領、縐紗袴二腰、金字鎗一口、鍍金刀一把。	Năm Minh Mạng thứ I, Thái vào chầu, ban cho 200 quan tiền và 100 phương gạo, 3 bộ áo dài bằng sa đoạn, 2 cái quần nhiễu, 1 khẩu súng chữ vàng, 1 con dao mạ vàng.
及陛辭，帝諭之曰：「爾在上道，凡事當與督、鎭商確，審熟事宜，使盜賊屏息、鎭道淸夷，以答朝廷恩遇。」	Khi vào từ biệt vua để đi, vua dụ rằng: Ngươi ở thượng đạo phàm có việc gì nên cùng với Đốc trấn thương lượng xét bàn cho kỹ, đN giặc im lặng, trấn đạo yên tĩnh, để đáp lại ơn tri ngộ của triều đình.
三年，盜殺泰於翠瀛〈洲名〉。	Năm thứ 3, giặc giết chết Thi ở bãi Thuý Doanh.
事聞，帝深憫之，賜卹銀一百兩、帛二十疋。	Việc đến tai vua, vua rất thương, cho tiền tuất 100 lạng bạc và 20 tấm lụa.
子瓊，官授後捍支正長支，管金爐冊〈屬錦水縣〉。	Con là Quỳnh bổ làm Chánh trưởng chi chi Hậu hãn, coi sách Kinh 18 (thuộc huyện Cẩm Thuỷ).
阮廷巴，亦追贈郡公。	Nguyễn Đình Ba cũng được truy tặng quận công.
百多祿。百多祿，號監牧師，西洋富浪沙人也。	Bá Đa Lộc Hiệu là Giám mục sư, người nước Phú Lãng Sa ở Tây Dương.
初渡海，客游嘉定、真臘間，暗傳爺蘇敎，人多從之。	Khi vượt biển làm du khách ở quãng Gia Định, Chân Lạp, truyền ngầm giáo Gia Tô, người phần nhiều nghe theo.
庚子，世祖高皇帝旣正王位于嘉定，多祿上謁，願爲効用，帝納之。	Năm Canh Tý (1780), Thế Tổ Cao Hoàng để lên ngôi Vương ở Gia Định, Đa Lộc đến yết kiến xin cố sức giúp việc, vua nhận lời.
壬寅，西賊入寇，乘輿外幸，皇太后、宮眷往眞臘。臘人謀叛，將有不測。多祿知之，率其徒設計保護慈駕及宮眷回三阜與帝會。	Năm Nhâm Dần, Tây Sơn vào xâm lấn, vua phải chạy ra ngoài, Hoàng thái hậu và cung quyến sang Chân Lạp, người Lạp mưu phản, sắp có việc bất trắc, Đa Lộc biết, đem các đồ đệ bày kế bảo hộ từ giá và cung quyến về Tam Phụ cùng vua hội ngộ.
癸卯，從幸海外諸島，多祿先往暹請援。	Năm Quý Mão, theo vua chạy ra các đảo ngoài biển, Đa Lộc sang nước Xiêm trước cầu viện trợ.
甲辰秋，帝以暹兵回嘉定。	Mùa thu năm Đinh Thìn, vua đem quân Xiêm về Gia Định.
及失利，駕將復如暹，使人往眞奔召多祿，護皇長子景如西求援。	Kịp khi bị bất lợi, vua lại sắp chạy sang Xiêm, sai người triệu Đa Lộc hộ Hoàng trưởng tử Cảnh sang Tây Dương cầu viện.
在西四年，西人不能爲之助。	Ở Tây 4 năm, người Tây Dương không chịu giúp.
己酉，旣復嘉定，乃護皇長子景還。	Năm Kỷ Dậu lấy lại Gia Định, bèn đưa Hoàng trưởng tử Cảnh về.
旣至，帝以有跋涉勞，獨加優遇，授達命調制戰艚水步援兵監牧上師。東宮亦以師禮待之。	Khi đã trở về, vua cho là có công trèo non vượt biển riêng ưu đãi thêm bổ làm Đạt mệnh điều chế toàn thuỷ bộ viện binh, Giám mục thượng sư; Đông cung cũngễ đối đãi coi như bậc thầy.
癸丑，與范文仁輔東宮景守延慶城。	Năm Quý Sửu cùng Phạm Văn Nhân giúp Đông cung Cảnh giữ thành Diên Khánh.
己未，從征歸仁，病卒於施耐軍次。贈太子太傅、悲柔郡公，諡忠懿，歸葬嘉定，給墓夫五十人。	Năm Kỷ Mùi theo đi đánh Quy Nhơn, bị chết ở nơi quân thứ Thi Nại, tặng là Thái tử thái phó, Bi nhu quận công, thuỵ là Trung Ý, đem về chôn ở Gia Định, cấp cho phu coi mộ 50 người.
其徒有名幔槐者、名多突者、名吧呢𠲖者、名烏離爲者〈卽名信〉、名黎文棱者，皆富浪沙人也；名耶妬悲者、名麻怒𠲖者，皆希波儒人也。	Về đồ đệ có những tên: Mạn Hoè, Đa Vật, Va Nê E, Ô Ly Vi (tức tên là Tín) và Lê Văn Lăng, đều là người nước Phú Lãng Sa; còn tên Gia Đố Bi và Ma Nô Ê đều là người nước Y Pha Nho.
初，多祿薦幔槐可用，歷授欽差該奇管中匡隊。	Khi trước Đa Lộc tiến Mạn Hoè có thể dùng được, trải bổ làm Khâm sai cai cơ coi đội Trung nông.
壬寅，西賊入寇嘉定。諸將禦之，陣于七岐江。賊船乘風衝陣，我兵皆退卻，幔槐獨乘西洋裹銅大船力戰。賊四面攻圍。幔槐自度不脫，乃自焚而死。	Năm Nhâm Dần, Tây Sơn vào lấn Gia Định, các tướng chống lại, bày trận ở sông Thất Kỳ, thuyền giặc thừa cơ có gió xông vào trận, quân ta đều rút lui, Mạn Hoè một mình đi chiếc thuyền lớn Tây Dương bọc đồng cố sức đánh, giặc 4 mặt vây đánh, Mạn Hoè tự liệu không thoát, bèn tự đốt mình chết.
後追贈效義功臣，列祀嘉定顯忠祠。	Sau truy tặng Hiệu nghĩa công thần, được liệt vào thờ ở đền Hiển trung ở Gia Định.
耶妬悲、麻怒𠲖，亦從多祿効用。	Gia Đố Bi và Ma Nô Ê cũng theo Đa Lộc xin gắng sức theo làm việc.
癸卯，命航海如呂宋求助兵，途遇西賊兵船，爲所殺。	Năm Quý Mão, sai vượt biển sang Lã Tống (tên một đảo lớn ở Phi Luật Tân) cầu giúp binh, giữa đường gặp binh thuyền của Tây Sơn, bị giết chết.
多突、吧呢𠲖、黎文棱、烏離爲四人者，從多祿自西來嘉定，願畱爲臣僕，皆授該隊。	Đa Vật, Va Nê E, Lê Văn Lăng và Ô Ly Vi, 4 người ấy theo Đa Lộc từ Tây Dương tới Gia Định, xin ở lại làm thân bộc, đều bổ làm Cai đội.
多突賜名震，吧呢𠲖賜名勝，均賜姓阮氏，歷從征伐，管龍飛、鳳飛二大船，歷官至掌奇。	Đa Vật cho tên là Chấn, Va Nê E cho tên là Thắng, đều cho họ là họ Nguyễn, trải theo đánh dẹp coi 2 chiếc thuyền lớn là Long Phi, Phượng Phi, rồi làm đến Chưởng cơ.
明命初年，以老，請回國，許之。	Minh Mạng năm đầu, vì già xin về nước, vua y cho.
黎文棱官至掌奇，烏離爲官至神策軍班直後衞衞尉。榮麻離。榮麻離，暹羅人也。初避𡨚產之亂，率眾出據古龍島居之。	Vinh Ma Ly Người nước Xiêm La, khi nước đánh loạn Oan Sản, đem quân ra chiếm giữ đảo Cổ Long rồi ở đấy.
癸卯，西賊入寇，我世祖高皇帝幸河僊，榮麻離聞之，遂率所部二百餘人、戰船十餘艘上謁，自願歸附，帝納之。	Năm Quý Mão, Tây Sơn vào xâm lấn, Thế Tổ Cao Hoàng đế chạy ra Hà Tiên, Vinh Ma Ly nghe tin, đem quân trong bộ thuộc hơn 200 người và hơn 10 chiếc thuyền chiến tới yết kiến vua, tự xin về quy phụ. Vua ưng thuận.
其年夏，我師與賊戰于疊石嶼，失利，榮麻離與尊室谷、黎福晪等爲賊所獲，皆遇害。	Mùa hạ năm ấy, quân ta cùng giặc đánh nhau ở đảo Luỹ Thạch bị thất lợi, Vinh Ma Ly cùng bọn Tôn Thất Cốc, Lê Phúc Điển bị giặc bắt được đều bị chết cả.
