高蠻，一名眞臘，一名高綿。	Cao Man có tên nữa là nước Chân Lạp, lại một tên nữa là nước Cao Miên.
匿尊復國，苦暹侵掠，讓其弟匿螉榮爲正王，自爲二王，以次弟匿深爲三王。	Nặc Tôn trở về nước, nhưng khổ về nước Xiêm lấn cướp, cho em là Nặc Ông Vinh làm Chính vương, tự làm Nhị vương, lấy em thứ là Nặc Thâm là Tam vương.
榮自西山之亂，陰圖內叛，不修職貢。	Vinh từ khi có loạn Tây Sơn, âm mưu làm phản, không sửa lễ cống.
丙申十一年冬，我世祖奉上命，率副節制阮久俊、掌奇張福慎等將兵伐之。匿榮請降。	Bính Thân, Duệ Tông năm thú 11 (1776) mùa đông, Thế Tổ ta vâng mệnh trên đốc suất bọn Phó tiết chế là Nguyễn Cửu Tuân, Chưởng cơ là Trương Phúc Thận đem quân đến đánh, Nặc Vinh xin hàng.
丁酉十二年，匿榮謀殺匿深，匿尊憤死。其臣昭錘謨、低都練據楓吹，以拒匿榮。	Đinh Dậu năm thứ 12, Nặc Vinh mưu giết Nặc Thâm, Nặc Tôn tức bực mà chết, bề tôi là Chiêu Thùy Mô, Đê Lô Luyện giữ Phong Suy để chống cự.
位奔趨據羅碧以應，請援於龍湖營。	Nặc Vinh, Vị Bôn Xu giữ La Bích để ứng tiếp, xin quân cứu viện ở doanh Long Hồ.
世祖高皇帝己亥二年，命杜淸仁等往討，擒匿榮誅之，立匿尊之子匿印爲王。	Kỷ Hợi, Thế Tổ Cao Hoàng đế năm thứ hai (1779), sai bọn Đỗ Thanh Nhân đi đánh bắt Nặc Vinh giết đi, lập con Nặc Vinh là Nặc Ấn làm vua.
印年甫八歲，以昭錘謨爲輔，畱胡文璘保護。	Ấn mới lên 8 tuổi, đem Chiêu Thù để giúp, lưu Hồ Văn Lân ở lại để bảo hộ.
癸卯四年冬，眞臘爲闍婆所攻，印遂奔暹。暹王畱之，使昭錘卞守其國。	Quý Mão năm thứ 4, mùa đông, nước Chân Lạp bị giặc Chà Và đến đánh, Ấn chạy sang nước Xiêm, vua nước Xiêm để cho ở, sai Chiêu Thùy giữ nước.
甲寅十五年秋，印還自暹，遣使貢方物於我，復畀以巴忒地。	Giáp Dần, năm thứ 15, mùa thu, Ấn từ nước Xiêm về sai cống sứ phương vật cho ta, ta lại cho ở đất Ba Thắc.
丙辰十九年，匿印卒，匿禛立。	Bính Thìn, năm thứ 19, Nặc Ấn chết, Nặc Chân lập lên.
嘉隆六年，遣其臣屋牙奔瀝來請封，許之。	Năm Gia Long thứ 6, sai bề tôi là Ốc Nha Bôn Lạch lại xin phong.
始鑄高綿國王印，封爲高綿國王，定貢例、貢品，寅、申、巳、亥三年一貢，以丁卯年爲始。	Thế Tổ y cho, mới đúc ấn "Cao Miên Quốc vương" phong cho Nặc Chân làm vua nước Cao Miên, định lệ tiến cống và phẩm vật tiến cống, cứ năm Dần, năm Thân, năm Tỵ, năm Hợi, ba năm một lần cống, bắt đầu từ năm Đinh Mão.
蠻俗，兄弟自相爭軋，不得於我，則外投於暹；不得於暹，則內投於我。	Tục nước Man, hễ anh em tranh giành nhau, không nhờ được ở ta thì chạy đến nước Xiêm, không nhờ được nước Xiêm thì chạy đến với ta.
匿禛以長當立，而弟名原、名俺、名𧑒三人外託於暹。暹常挾之歸，令分其地，以原爲二王、俺爲三王。禛不肯從。	Nặc Chân là con trưởng đang được lập, mà em là tên Nguyên, tên Yểm, tên Dun, ba người đều nhờ ở nước Xiêm bên ngoài, nước Xiêm thường đem về, sai chia đất ra, lấy Nguyên làm vương thứ hai, Yểm làm vương thứ ba, Chân không chịu theo.
十年，遣使來貢，且請改國號爲恩夷北甫徠。	Năm thứ 10, sai sứ đến cống và xin đổi quốc hiệu làm Di Bắc Phủ Lây.
諭曰：「舊號美矣，何用改爲。」不許。旣而原遁居撫栗，求援於暹。	Dụ rằng: Quốc hiệu cũ đã đẹp rồi, đổi làm gì nữa, không y cho, rồi Nguyên trốn ở Phú Lật, cầu viện với nước Xiêm.
及暹兵進至羅碧，俺、𧑒皆叛投之。	Kịp khi quân nước Xiêm tiến đến La Bích, Yểm và Dun làm phản, theo về nước Xiêm.
禛遂奔新州。	Chân mới chạy đến Tân Châu.
嘉定城臣遣阮文瑞將兵來援，護禛回嘉定。	Quan ở thành Gia Định sai Nguyễn Văn Thoại đem quân đến cứu viện, hộ đem Chân về Gia Định.
暹人自知理屈，奉書致謝，云：「此來欲爲禛兄弟講和，非有他意。禛不自知，棄國內投，憑仗天威處置惟命。」	Người nước Xiêm tự biết lý khuất, đưa thư đến tạ nói rằng: Lần này đều là muốn vì anh em Chân giảng hòa, không phải có ý khác, Chân không biết, bỏ nước chạy đi, nương nhở uy trời, xử trí thế nào xin theo mệnh lệnh.
朝廷得書，乃命嘉定城臣率舟師萬餘，約會暹人，送禛回國，畱兵築南榮城及盧淹城，建安邊臺，臺上建柔遠堂，以爲藩王望拜之所。	Triều đình nhận được thư, mới sai quan thành Gia Định đem quân thuyền hơn một vạn ước hội với người Xiêm đưa Chân về nước, để quân đắp lại thành Nam Vang và thành Lư Yêm, dựng đài An Biên, trên đài dựng nhà Nhu Viễn, để làm chỗ vua Phiên bái vọng.
然禛日常畏暹，因請官兵往護。	Nhưng Chân thường sợ nước Xiêm, nhân xin quan quân đến bảo hộ.
乃命阮文瑞保護。	Bèn sai Nguyễn Văn Thoại bảo hộ.
禛賴朝廷力，復有其國，顧爲人懦弱。異母弟原、俺、𧑒又以暹爲逋逃淵藪，國內故臣多有潛往之者，譬猶惡草畱根，有待而發。	Chân nhờ sức triều đình, lại lấy được nước, nhưng lại là người nhu nhược, em khác mẹ là Nguyên, Yểm, Dun lại lấy nước Xiêm làm chỗ trốn tránh, bề tôi cũ ở trong nước, phần nhiều có kẻ lần đến, vì như cỏ xấu còn gốc lại, đợi dịp mà phát ra.
世祖高皇帝洞悉蠻情向背，綏撫蠻人者甚誠，制禦暹人者甚嚴。	Thế Tổ Cao Hoàng đế hiểu biết tính người Man, lúc về, lúc làm phản, nên vỗ yên người Man rất thành thực, chế ngự người Xiêm rất nghiêm ngặt.
禛晚年多事姑息，政歸藩僚，不樂保護。	Chân về lúc tuổi già, phần nhiều hay nhu nhơ, chính sự về tay quan người Phiên, không thích bảo hộ.
朝廷知其意，召文瑞還。	Triều đình biết ý, triệu Văn Thoại về.
庚辰，明命元年，蠻人有僧計者，以符呪煽惑藩民，聚黨作亂，逼南榮城。禛欲棄城走，嘉定城臣討平之，斬僧計，事尋定。	Canh Thìn năm Minh Mạng thứ I (1820) người Man có tên sư tăng là Kế đem phù chú làm mê hoặc dân Phiên, họp bè lũ làm loạn, tiến đến sát thành Nam Vang, Chân muốn bỏ thành chạy, quan thành Gia Định đánh dẹp yên được, chém sư tăng Kế, việc liền yên ngay.
禛具表陳謝，請畱官保護如初。	Chân dâng biểu trình bày tạ ơn, xin để quan ở lại bảo hộ như trước.
明命二年，命阮文瑞按守朱篤，復領保護事。	Năm Minh Mạng thứ 2 (1821), sai Nguyễn Văn Thoại đóng giữ Châu Đốc, lại lĩnh việc bảo hộ.
瑞再來，禛且德之，願割利𣘁八、眞森、密律三府地以報瑞，如報鄚天賜故事。	Thoại lại trở lại, Chân cám ơn xin cắt đất phủ Lợi Kha Bát, Chân Sâm, Mật Luật để báo ơn Thoại, như việc cũ báo ơn Mạc Thiên Tứ.
瑞以事聞。但令受眞森、密律二府。	Thoại đem việc ấy tâu lên, vua chỉ cho nhận 2 phủ Chân Sâm, Mật Luật thôi.
自是禛臣事彌謹，藩僚有罪，告而後刑。值母喪，亦必表請命，方敢制服。	Từ đấy Chân thuần phục nước ta càng cẩn thận, quan người Phiên có tội báo cáo trước rồi sau mới hành hình; gặp tang mẹ cũng tất dâng biểu xin mệnh lệnh mới dám để tang phục.
明命十四年夏，犯弁黎文𠐤造反，據藩安城。官兵進勦。	Năm Minh Mạng thú 14 (1833), mùa hạ, võ biền phạm tội là Lê Văn Khôi làm phản giữ thành Phiên An, quan quân tiến đánh.
其冬，禛遣其臣屋牙折息齎咨，由安江達嘉定軍次，願派出藩卒從征。諸將軍、參贊不許，慰撫來人而遣之。	Mùa đông năm ấy, Chân sai bề tôi là Ốc Nha Tức mang tờ tư nhờ An Giang đạt đến nơi quân thứ ở Gia Định xin phái quân Phiên theo đi đánh, nhưng các tướng quân tham tán không cho, yên ủi vỗ về người đem tờ tư đến mà cho về.
禛又派兵按守地頭，拏獲逸匪淸人二百餘犯，轉送嘉定軍次。	Chân lại phái quân đóng giữ ở địa đầu, bắt được giặc trốn người nước Thanh hơn 200 người, chuyển đưa đến quân thứ ở Gia Định.
旣而顯大舉入寇。	Rồi sau người nước Xiêm đem đại binh về cướp.
初，逆𠐤稱亂，委人投書于暹，乞派兵攻眞臘，直抵嘉定，約以事成之後納地稱臣。	Trước kia, giặc Khôi nổi loạn, đưa thư cho nước Xiêm, xin phái quân đánh nước Chân Lạp, đến thẳng Gia Định, hẹn đến sau khi đã thành, xin nộp đất xưng thần.
暹人乃大發水步兵船，三道竝進。一由北尋奔陸路而來，以丕雅質知爲調撥，挾禛二弟匿俺、匿𧑒偕行；一由湖海江路而來，以丕雅肥目涉茫爲調撥；一由眞奔海程而來，以丕雅伐稜爲調撥。陸路由眞臘芃吹府進兵至蛇能澳〈去南榮城一日〉。	Người nước Xiêm bèn đem cả quân thuỷ, quân bộ, binh thuyền, chia làm ba đạo đều tiến lên: Một đạo quân do đường bộ Bắc Tâm Bôn mà lại, lấy Phi Nhã Chất Tri làm điều bát, đem 2 em của Chân là Nặc Yêm, Nặc Dun cùng đi, 1 đạo quân do đường sông Hồ Hải mà lại, lấy Phi Nhã Phì Mục Thiệp Man làm điều bát; một đạo quân do đường biển Chân Bôn mà lại, lấy Phi Mã Phạt Lăng làm điều bát; đường bộ do phủ Bông Suy nước Chân Lạp tiến quân đến vụng Sà Năng (cách thành Nam Vang 1 ngày đường).
禛聞之，棄城奔永隆。	Chân tin, bỏ thành chạy đến Vĩnh Long.
水路由𣠩嶼進犯河僊。巡撫鄭棠、按察鄧文元走安江。	Đường thuỷ do đạo Chàm tiến đến xâm phạm Hà Tiên, Tuần phủ là Trịnh Đường, Án sát là Đặng Văn Nguyên chạy đến An Giang.
暹兵兩路犯朱篤堡。又有賊兵一支自南榮來。	Quân nước Xiêm hai đường xâm phạm vào bảo Châu Đốc; lại có một chi quân giặc từ Nam Vang lại.
安江失守。布政鄧文朋、按察裴文理走新城。	Tỉnh An Giang không giữ được, Bố chính là Đặng Văn Bằng, Án sát là Bùi Văn Lý chạy đến Tân Thành.
事聞，卽命討逆左將軍宋福樑、參贊張明講、阮春等自嘉定分兵進戰。	Việc đến tai vua tức thì sai Thảo Nghịch Tả tướng quân là Tống Phúc Lương, Tham tán là Trương Minh Giảng, Nguyễn Xuân từ Gia Định chia quân tiến đánh.
差遇賊，我軍稍卻。宋福樑退回永隆，參贊張明講、阮春督同衞尉范有心抗拒於順港，與賊大戰，破之。尋而平寇將軍陳文能續至，暹眾宵遁。追至朱篤，連破之。	Vừa gặp giặc, quân ta hơi lui lại, Tống Phúc Lương lui về Vĩnh Long; Tham tán Trương Minh Giảng, Đốc đồng Nguyễn Xuân với Vệ uý là Phạm Hữu Tâm chống cự ở cửa Thuận, cùng giặc đánh nhau to, đánh phá được quân giặc, rồi sai Bình Khấu Tướng quân là Trần Văn Năng tiếp tục đến, quân nước Xiêm tối trốn đi, ta đuổi đến Châu Đốc liền phá được quân giặc.
藩僚茶知等合光化道義勇攻暹陸路，追至爐邊府，斬其渠目，暹兵大挫。我師取次收復安江，追至撫栗而還。	Quan Phiên là bọn Trà Tri hợp với quân nghĩa dũng đạo Quan Hoá đánh quân bộ của nước Xiêm, đuổi đến phủ Lô Biên, chém được tên đầu mục, quân nước Xiêm thua chạy, quân ta lần lượt lấy lại An Giang, đuổi theo đến Phủ Lật rồi trở về.
眞臘乃定。	Nước Chân Lạp mới yên định.
明命十五年春，命官兵送禛回國。是年貢例賜之錢粟，以助國用。	Năm Minh Mạng thứ 15, mùa xuân, sai quan quân đưa Chân về nước, miễn cho lệ cống năm ấy, cho tiền thóc để giúp của dùng trong nước.
帝以暹寇旣平，當先注措。乃於南榮城擇地設一大堡，名安蠻堡；上臨北尋奔處，亦令擇地設一大堡，名東邊堡；均宿重兵駐守。	Vua cho là đã bình được giặc Xiêm, việc biên cương nên để ý xếp đặt trước, bèn chọn đất ở thành Nam Vang, đặt một đồn bảo lớn gọi là bảo Nam Vang. Trên đường tứ Bắc Tầm Bôn, cũng sai chọn đất đặt một đồn bảo lớn, gọi là bảo Đông Biên, đều để trọng binh ở đấy để canh giữ.
南榮對岸爐安處〈陸路可達光化〉、南榮上蛇能澳及北尋奔至巴嫩處〈暹臘夾界處〉量設汛卡，以通關報。	Xứ Lô An (đường đi bộ có thể thông đến Quang Hoá) đối ngạn với thành Nam Vang, vụng Sà Năng ở phía trên thành Nam Vang và tử Bắc Tâm Bôn đến xứ Ba Nôn (chỗ nước Xiêm nước Lạp giáp với nhau) liệu lượng đặt đồn cửa biển thông quan báo.
是年禛卒，無嗣。有女四：玉卞、玉雲、玉秋、玉原。	Mùa đông năm ấy, Chân chết, không có con thờ tự, có bốn con gái là Ngọc Biện, Ngọc Vân, Ngọc Thu, Ngọ Nguyên.
命張明講、黎大綱率諸蠻僚權監國事。	Sai Trương Minh Giảng, Lê Đại Cương đốc suất các quan người Man quyền coi việc nước.
明命十六年，遣使齎綵幣，諭祭故王禛，封其次女玉雲爲高綿郡主。	Minh Mạng thứ 16 (1835), sai sứ mang lụa màu sang dụ tế vua đã chết là Chân; phong cho con gái thứ là Ngọc Vân làm Cao Miên Quận chúa.
長女玉卞、仲玉秋、季玉原竝爲縣君，以守先業。罷其國貢例，改安蠻堡爲鎭西城。	Con gái cả là Ngọc Biện, con gái giữa là Ngọc Thu, con gái út là Ngọc Nguyên đều phong cho làm Huyện quân, để giữ nghiệp trước; bãi lệ quốc cống; đổi bảo Nam Vang làm thành Trấn Tây.
張明講表請郡縣其地。	Trương Minh Giảng dâng biểu xin chia đất ấy làm từng quận từng huyện.
乃分其國，置府三十三、蠻二。	Bèn chia nước ra, đặt 33 phủ, 2 man.
一南榮。	1. Nam Vang.
二辰秋，後改其蘇。	2. Thì Thu sau đổi là Kỳ Tô.
三尋敦。	3. Tầm Đơn.
四綏臘。	4. Tuy Lạp.
五巴南。	5. Ba Nam.
六巴來。	6. Ba Lai.
七平暹。	7. Bình Siêm.
八𣘁扒。	8. Kha Bát.
九爐圓。	9. Lô Viên.
十海東。	10. Hải Đông.
十一金長。	11. Kim Trường.
十二輸患。	12. Thâu Trung.
十三歌謳。	13. Ca u.
十四望雲。	14. Vọng Vân.
十五河平。	15. Hà Bình.
十六徵耒。	16. Trưng Lỗi.
十七山甫。	17. Sơn Phú.
十八山卜。	18. Sơn Bốc.
十九尋于。	19. Tầm Vu.
二十開邊。	20. Khai Biên.
二十一海西。	21. Hải Tây.
二十二哥森。	22. Kha Sâm.
二十三梯笠。	23. Thê Lạp.
二十四錦牌。	24. Cẩm Bài.
二十五爐越。	25. Lô Việt.
二十六龍樽。	26. Long Tôn.
二十七廣邊。	27. Quảng Biên.
二十八化夷。	28. Hóa Dĩ.
二十九眞才。	29. Chân Tài.
三十薏苡。	30. Y Rĩ.
三十一眞誠。	31. Chân Thành.
三十二密律。	32. Mật Luật.
三十三烏門。	33. Ô Môn.
蠻二：一𦭐制、二芹𣺺。	Hai Man: 1. Cẩn Chế, 2. Cẩn Đô.
