興祖諸子。	TRUYỆN CỦA CÁC HOÀNG TỬ.
乙未春，隨睿宗南入嘉定，常從征伐，授少傅、郡公。	Mùa xuân năm Ất Mùi theo Duệ Tông vào Gia Định, thường theo đi đánh dẹp, bổ chức Thiếu phó quận công.
壬寅，西賊入寇。公與朱文接部分諸將攻賊將杜閑蟄於牛渚，大破之。賊奔歸仁，收復柴棍。癸卯春，西賊入寇。公守角魚堡。堡陷，走渡浮橋。	Năm Nhâm Dần (1782) giặc Tây Sơn vào cướp, ông cùng Chu Văn Tiếp chia các tướng ra từng bộ để đánh nhau với tướng của giặc là Đỗ Nhàn Trập ở Ngưu Chữ (Bến Nghé) cả đánh phá được, giặc chạy về Quy Nhơn, lấy lại được Sài Gòn.
賊斷橋，落水而薨。	Mùa xuân năm Quý Mão (1783) giặc Tây Sơn vào cướp, ông giữ đồn Giốc Ngư, đồn bị hãm, ông chạy sang qua cầu phao, giặc chặt dứt cầu, ông rơi xuống nước chết.
已酉，贈特進輔國上將軍、錦衣衛掌衛事、掌營，諡忠勇。	Năm Kỷ Dậu (1789) tặng là Đặc tiến phụ quốc thượng tướng quân, Cẩm y vệ chưởng vệ sự chưởng doanh, thụy là Trung Dũng.
嘉隆四年，加贈翊運宣力尊臣、開府輔國元帥、少傅、郡公，諡忠烈，賜從祀太廟。十三年，加贈宣力尊臣、開府輔國元帥、太傅、毅公，諡忠獻，又祀展親祠。	Năm Gia Long thứ 4 (1805) gia tặng là Dực Vận Tuyên Lực tôn thần, Khai phủ phụ quốc nguyên soái, Thiếu phó, Quận công, thuỵ là Trung Liệt, cho phụ tế ở nhà Thái miếu. Năm thứ 13(1184) gia tặng là Tuyên Lực tôn thần, Khai phủ phụ quốc nguyên soái thái phó, Nghị công, thụy là Trung Hiến lại thờ ở đền Triển Thân.
明命五年，改從祀世廟。	Năm Minh Mạng thứ 5 (1824) đổi phụ tế ở Thế miếu.
十二年，加贈佐運尊臣、尊人府尊人令，改諡忠懷，封安邊郡王。	Năm thứ 12, gia tặng là Tá Vận tôn thần, Tôn nhân phủ tôn nhân lệnh, đổi tên thụy là Trung Hoài, phong là An Biên quận vương.
嗣德三年，合祀親勳祠。	Năm Tự Đức thứ 3 (1850) hợp thờ ở đền Thân Huân.
無嗣。	Không có con thừa tự.
通化郡王晪。通化郡王晪，興祖第六子，世祖高皇帝同母弟。	Thông Hóa quận vương Điển: Con thứ 6 của Hưng Tổ, là em cùng mẹ với Thế Tổ Cao Hoàng Đế.
乙未，從睿宗南入嘉定，常從征伐。	Năm Ất Mùi, theo Duệ Tông vào Gia Định, thường đi theo đánh dẹp.
癸卯，西賊入寇。我兵失利，從世祖駕幸富國嶼。纔至疊石嶼，賊追及圍之。公為所獲，罵賊而薨。	Năm Quý Mão (1783) giặc Tây Sơn vào cướp, quân ta đánh không lợi, theo Thế Tổ đi ra đảo Phú Quốc, vừa đến đảo Điệp Thạch giặc đuổi kịp vây lấy, ông bị giặc bắt được, chửi giặc, bị giết chết.
己酉，贈錦衣衛掌衛事、該奇，諡壯節。	Năm Kỷ Dậu tặng là Cẩm y vệ chưởng vệ sự, Cai cơ, thụy là Tráng Tiết.
嘉隆四年，贈翊運靖難尊臣，特進輔國上將軍、太保、國公，諡忠愍，賜從祀太廟。	Năm Gia Long thứ 4, tặng là Dực Vận Tĩnh Nạn tôn thần, Đặc tiến phụ quốc thượng tướng quân, Thái bảo quốc công, thụy là Trung Mẫn, cho phụ tế ở đền Triển Thân.
十三年，加贈襄公，又祀展親祠。明命五年，改從祀世廟。	Năm Minh Mạng thứ 5 (1824) đổi làm phụ tế ở Thế miếu.
十二年，加贈佐運尊臣、尊人府尊人令，改諡忠壯，封通化郡王。	Năm thứ 12, gia tặng là Tá Vận tôn thần, Tôn nhân phủ tôn nhân lệnh, đổi tên thụy là Trung Tráng, phong là Thông Hóa quận vương.
紹治三年，合祀親勳祠。	Năm Thiệu Trị thứ 3 (1843) hợp thờ ở đền Thân Huân.
無嗣。	Không có con thừa tự.
世祖諸子。	Các con của Thế Tổ Cao Hoàng đế.
〈凡十三，第四即聖祖仁皇帝，存十二，登傳者十，未登者二。〉。英睿皇太子景。英睿皇太子景，世祖長子，母皇后宋氏，庚子生于嘉定。會西賊猖獗，乘輿靡有寧居。	Anh Duệ Hoàng thái tử Cảnh: Con cả của Thế Tổ, mẹ là Hoàng hậu họ Tống, năm Canh Tý (1780) sinh ở Gia Định, gặp giặc Tây Sơn hăng mạnh, Thế Tổ không có chỗ ở yên.
癸卯夏，疊石嶼失利，帝將如暹，乃遣富浪沙人百多祿護公如西。	Mùa hạ năn Quý Mão bị thua ở đảo Điệp Thạch. Thế Tổ sắp sang Xiêm, mới sai người Phú lăng sa là Bá đa Lộc (Evêque d'Adran) đưa ông sang Tây.
是年，公甫四歲，趨拜辭別，帝與后收淚送之。	Năm ấy ông mới 4 tuổi, đến lạy từ biệt, Vua cùng Hoàng hậu gạt nước mắt đưa chân.
甲辰，始如西，遣范文仁、阮文廉等與之偕。	Năm Giáp Thìn mới sang Tây, sai Phạm Văn Nhân, Nguyễn Văn Liêm cùng đi.
乙巳春，至小西。會大西國內有變，棲于封啤啛哆城。多祿與文仁謀，為書求助于筆須稽，數月未得報。紅毛人聞之，爭乞效順。多祿等惡其桀黠，卻之。	Mùa xuân năm Ất Tỵ đến Tiểu Tây, gặp khi trong nước Đại Tây có biến, đậu lại ở thành Phông-tia-thê-đơ, Đa Lộc cùng Văn Nhân bàn mưu làm thư cầu viện trợ ở But-tu-kê, vài tháng chưa được tin báo, người nước Hồng Mao nghe thấy, tranh xin hết sức giúp sức; bọn Bá Đa Lộc ghét về hung ngược giảo quyệt, khước từ đi.
丙午夏，小西鎮目具戰船護公如大西。	Mùa hạ năm Bính Ngọ, Trấn mục ở Tiểu Tây đem thuyền chiến đưa ông sang nước Đại Tây.
既至，國長待以王禮。	Khi đã đến nơi, Quốc trưởng đãi lấy lễ Quốc vương.
居久之，終無助意，乃謀回柁。	Ở mãi lâu ngày tuyệt không có ý giúp, bèn mưu quay về.
其秋，筆須稽使其將安尊磊齎國書及品物詣獻望閣行在，請帝入其國，自言已具戰船五十六艘泊孤亞城停待來助。	Mùa thu năm ấy nước Bút-tu-kê sai tướng là An Tôn Lỗi mang quốc thư và phẩm vật đến dâng ở hành tại Vọng Các, xin vua vào ở nước ấy, tự nói là đã có 56 chiếc thuyền chiến đậu ở thành Cô-á để đợi đến giúp.
辰帝在暹，暹人亦無助意，及聞筆須稽報至，心忌之。	Khi ấy vua ở nước Xiêm, người nước Xiêm cũng không có ý giúp.
帝乃諭安尊磊速回，而密勅將士定歸計。	Kịp nghe tin báo của nước Bút-tu-kê đến, vua có lòng ghét bèn dụ cho An Tôn Lỗi về ngay và mật báo tướng sĩ định kế trở về.
丁未秋，帝返旆嘉定，念公不已，乃遣戶部陳福佳、管小差隊宋福玉往迎之。己酉夏，公自大西還。	thu năm Đinh Mùi (1787) vua trở về Gia Định, nhớ ông lắm, bèn sai Hộ bộ là Trần Phúc Giai, quản Tiểu sai đội là Tống Phúc Ngọc đi đón ông về.
帝勞之曰：“吾兒天涯海角，一去六年，今日之會，天幸也。”	Mùa hạ năm Kỷ Dậu (1789) ông từ Đại Tây về, vua yên ủi ông rằng: Con ta đi góc biển chân trời đã 6 năm nay, ngày nay được hội họp là sự may trời giúp cho.
有司因請建儲副，帝以其年尚幼，未之許。	Các quan xin dựng làm Thái tử, vua lấy cớ là tuổi còn nhỏ chưa cho.
癸丑春，公年十四，羣臣又固請，帝乃許之。	Mùa xuân năm Quý Sửu (1792) ông 14 tuổi, các quan lại cố xin vua mới nghe theo.
冊立為東宮，封元帥、郡公。	Sách lập làm Đông cung, phong là Nguyên súy quận công, ban cho ấn có chữ "Đông cung chi ấn".
頒東宮之印，建元帥府，置僚屬，以文武大臣〈禮部一、副將一〉幫辦府事，小事由諸大臣處分，大事關白帥府裁決，以習政體。	Dựng phủ Nguyên súy, đặt liêu thuộc, lấy văn vũ đại thần (1ễ bộ 1 viên, phó tướng 1 viên) giúp làm việc phủ, việc nhỏ do các đại thần phân xử, việc lớn bẩm súy phủ quyết định, để lập chính thể.
又置太學堂，設輔導、督學，翰林侍學朝夕集太學堂講說經史。	Lại dựng nhà Thái học, đặt chức Phụ đạo, Đốc học, Hàn lâm thị học, sớm hôm họp ở nhà Thái học, giảng đọc kinh sử.
東宮言動，侍學悉書之。	Đông cung nói câu gì, làm việc gì, thị học chép cả.
翰林院制誥鄭懷德、黎光定充侍講。	Hàn lâm viện chế cáo là Trịnh Hoài Đức, Lê Quang Định sung chức thị giảng.
其夏，帝親政歸仁，留公鎮嘉定。	Mùa hạ năm ấy, vua thân đi đánh ở Quy Nhơn, để ông trở lại trấn thành Gia Định.
是冬，出鎮延慶。	Mùa đông năm ấy, ông ra trấn Diên Khánh.
帝諭之曰：“自古帝王，莫不有學。	Vua dụ rằng: Từ xưa các đế vương, không ai là không học, thế cho nên Thái Giáp học mà làm cháu hiền vua Thang, Thành vương học mà làm vua hiền nhà Chu.
是以太甲之學，為湯賢孫，成王之學，為周令辟。爾於兵事之暇，當仰遵師傅勤講經籍，學有緝熙，日無逸豫。則兵革之日，既能遣將調兵，太平之秋，亦識齊家治國。	Ngươi vào lúc việc binh thư rỗi, nên tuân theo lời sư phó, siêng giảng kinh sách, học để nối sáng, ngày không chơi rỗi, thì khi có việc binh nhung đã có thể biết sai tướng điều binh; trong lúc thái bình, cũng biết tề nhà trị nước.
至如出入左右，須擇端人正士，不可比之匪人。	Đến như người bên tả bên hữu, nên chọn người ngay thẳng, không thể ở liền với người không đứng đắn.
汝其勉之。”	Ngươi phải cố gắng đấy. Ông lạy xin vâng mệnh.
公拜受命，既至，百姓響應，一境以安。	Khi đã đến Diên Khánh trăm họ hưởng ứng một cõi đứng yên.
甲寅，西賊阮光纘使其將陳光耀水兵入牙莊海口，阮文興步兵至平康，合眾進薄延慶城，三面圍之。公召武文諒入城拒守，而令莫文蘇屯三瀆，阮文仁屯龍岡，阮龍屯上道，以遏賊兵通我援路。	Năm Giáp Dần, giặc Tây Sơn là Nguyễn Quang Toản sai tướng là Trần Quang Diệu đem thủy binh vào cửa biển Nha Trang, Nguyễn Văn Hưng đem bộ binh đến Bình Khang, hợp quân lại tiến sát đến thành Diên Khánh, bổ vây ba mặt, ông gọi Vũ Văn Lượng vào thành chống giữ, sai Mạc Văn Tô đóng đồn ở Tam Độc, Nguyễn Văn Nhân đóng đồn ở Long Cương, Nguyễn Long đóng đồn ở Thượng đạo, để ngăn quân giặc và thông đường viện của ta.
廣威公昀，世祖第十子，母德妃黎氏。	Quảng Uy công tên là Quân: Con thứ mười của Thế Tổ, mẹ là Đức Phi họ Lê.
嘉隆十六年，封廣威公。	Năm Gia Long thứ 16 phong là Quảng Uy công.
公年少好遊戲，頗倨傲。	Ông lúc còn tuổi trẻ thích chơi đùa và sấc láo kiêu ngạo.
教導吳廷价教督頗嚴，公深惡之。	Giáo đạo là Ngô Đình Giới dạy bảo đốc trách có phần nghiêm ngặt. Ông ghét lắm.
一日，令童僕捕蝦蟇縛於庭，鞭之曰：“汝毋侮我。”	Một hôm ông sai thằng nhỏ đầy tớ bắt con hà mô trói để ở sân, lấy roi đánh, bảo rằng: "Mày chớ khinh ta" (con hà mô tục gọi là con nhái, nhái với giái, tiếng miền Trung nói giới là giái, tiếng gần như nhau cho nên lấy thế làm trò đùa).
〈蝦蟇俗名(虫戒)，與价音相近也。故以爲戲〉明命初，帝以陳大義專講席，賜之教朴。	Buổi đầu năm Minh Mạng, vua cho Tần Nghĩa chuyên làm thầy giảng dạy, ban cho cái roi.
諭之曰：“朕少弟生長深宮，非教無以成德。	Dụ rằng: em nhỏ tuổi của trẫm, sinh trưởng ở trong cung cấm, không dạy thì không nên người có đức được.
卿朝夕善導，有過撻之，毋使驕惰成性。”	Ngươi sớm khôn khéo dẫn bảo, có lỗi thì đánh, chớ để cho kiêu lười thành tính.
又命翰林直講阮登仕，充公府講官。	Lại sai Hàn lâm trực giảng là Nguyễn Đăng Sĩ sung làm giảng quan ở phủ của ông.
明命十年己丑夏，公以痘薨。年二十有一。	Năm Minh Mạng thứ 10 (1829) là năm Kỷ Sửu mùa hạ, ông bị bệnh đậu chết, mất 21 tuổi.
帝爲之輟朝三日，賜諡恭直。	Vua nghỉ coi chầu ba ngày, cho tên thụy là Cung Trực.
命皇長子〈即憲祖章皇帝〉往賜酒，支發官帑錦綺布帛錢文，命官治其喪。	Sai Hoàng trưởng tử (tức là Hiến Tổ Chương Hoàng đế) đến cho rượu, chi phát gấm vóc vải lụa và tiền của công, sai quan sửa việc tang.
葬之日，賜祭一壇，無嗣。	Ngày an táng sai quan đến tế một đàn. Ông không có con thừa tự.
常信公昛。	Thường Tín công tên là Cự.
常信公昛，世祖第十一子，廣威公昀同母弟。	Con thứ 11 của Thế Tổ, là em cùng mẹ với Quảng Uy công tên là Quân.
嘉隆十六年，封常信公。	Năm Gia Long thứ 16 phong là Thường Tín công.
明命初，主隆城太長公主祀。	Buổi đầu năm Minh Mạng, coi việc thờ tự Long Thành thái trưởng công chúa.
嗣德二年夏薨，壽四十歲。	Năm Tự Đức thứ 2, mùa hạ ông mất, thọ 40 tuổi, tên thụy là Ôn Tĩnh.
諡温靜。子七、女十一。三子常墥，嗣德八年封永恩亭侯。五子常塿，是年賜爵助國卿。	Ông có 7 con trai, 11 con gái, con thứ ba là Thường Đổng, năm Tự Đức thứ 8 phong là Vĩnh đình hầu; con thứ năm là Thưởng Lâu, năm ấy cho tước là Trợ Quốc khanh.
安慶公㫕。安慶公㫕，世祖第十二子，母美人鄭氏。	Khánh công tên là Quang: Con thứ 12 của Thế Tổ, mẹ là Mỹ nhân họ Trịnh.
明命六年，封安慶公。	Năm Minh Mạng thứ 6 phong là An Khánh công.
十二年，公遇母喪，疏請匠役物料，均已加恩優給之。	Năm thứ 12 (1831) ông gặp tang mẹ, dâng sớ xin thợ và phu dịch vật liệu, đều đã gia ơn hậu cấp cho.
十三年，母喪已安厝，復奏請土磚及預支明命十四年歲俸。	Năm 13, tang mẹ đã an táng rồi, lại tâu xin gạch và chi trước cho tiền bổng năm Minh Mạng thứ 14.
帝諭曰：“安慶公㫕前因私喪一事，藉口請託，不啻再三。朕以親公之故，格外從優賞給，竝派兵象幇辦，復加恩借支明命十三年歲俸，俾辦喪事。	Vua dụ rằng: An Khánh công Quang trước nhân có việc tang riêng mượn cớ xin nài không những hai ba lần, trẫm lấy cớ là thân công, đặc cách cấp thưởng hậu cho và phái lính cùng voi đến giúp đỡ làm việc, lại gia ơn cho mượn trước lương bổng năm Minh Mạng thứ 13 để sửa việc tang.
今乃不知滿足，復有此請。	Nay lại không biết là đầy đủ, lại có lời xin nài, xem ra quả là mượn cớ để mong cầu lợi.
看來殊屬託故希冀，滿口含糊，誠爲塵瀆之甚。	Toàn nói hàm hồ, thực là nhảm nhí quá lắm.
這摺擲回，傳旨嚴飭。嗣若不安本分，妄自奏請何事，即交尊人府會同刑部嚴議不貸。”	Tập tâu ấy vất trả lại, và truyền chỉ sức quở nghiêm ngặt rằng: Sau này nếu không yên bản phận, tự tâu cầu xin việc gì, tức thì giao cho phủ Tôn nhân.hội đồng với bộ Hình nghị tội nghiêm ngặt không tha.
自是以後，不敢有所請。	Từ đấy về sau, không dám xin việc nữa.
十四年正月，三節日，公攝祭列廟遲誤，上疏請咎。	Năm thứ 14, ba ngày tết tháng giêng, ông thay vua đi tế các miếu.
下尊人府議，得罰俸一年。	Vì chậm trễ, làm lỡ việc, dâng sớ xin nhận lỗi, vua giao xuống cho Tôn nhân nghị tội, bị phạt bổng một năm.
紹治五年夏薨，年三十有五。帝輟朝三日，賜諡莊敏，厚賜錦緞錢文。葬之日，賜祭一壇。祀展親祠。無嗣。	Năm Thiệu Trị thứ 5 (1845) mùa hạ, ông mất, tuổi 35, vua nghỉ coi chầu ba ngày, cho tên thụy là Trang Mẫn, cho nhiều gấm đoạn và tiền, ngày an táng sai quan đến tế một đàn; thờ ở đền Triển Thân, ông không có con thừa tự.
