第八回。	Hồi thứ tám.
泰问为谁？整曰：「是帝亲贵之臣吴为贵黎春洽的。」	Thái hỏi người nào, Chỉnh trả lời: - Chính là Ngô Vi Quý và Lê Xuân Hợp, bọn bề tôi thân cận của nhà vua đấy!
自是居于邸第，不复朝谒，军国庶务皆使人奏闻，帝有所可否，复委大臣潘维藩陈功灿，与内翰武桢就整第辨明。	Từ đó, Chỉnh cứ ở luôn trong dinh thự riêng, không vào triều yết. Mọi việc quân, việc nước, đều sai người vào tâu. Vua có ý kiến nên chăng thì lại sai các đại thần như bọn Phan Lê Phiên, Trần công Xán, Vũ Trinh đến dinh của Chỉnh để biện bạch cho rõ.
适一日苦寒，藩等同在朝堂，使桢诣整，桢良才春莲人，以才敏见知，整亦颇爱重，帝密嘱桢乘便与整辨解。	Một hôm, trời rất rét, bọn Phiên ở trong triều, cử Trinh tới nhà Chỉnh. Trinh người làng Xuân Liên, huyện Lang Tài, nổi tiếng là người có tài và nhanh nhẹn, Chỉnh cũng có ý kính mến. Vua thường dặn Trinh nếu có dịp thuận tiện thì nên biện bạch với Chỉnh về chuyện hiềm nghi trước đó.
是日，桢覆咨戎事，坐铃阁上，不久得入，阁下行走人曰：「上公正在中堂小酌，非见客时也，官人且还。」	Hôm ấy, Trinh đến nhà Chỉnh là để phúc tư về việc quân, ngồi chờ trên linh các mãi không được vào. Một viên công sai nói với Trinh. - Thượng công đang ở nhà trong uống rượu không phải là giờ tiếp khách, quan lớn hãy về đã.
桢大声曰：「戎务紧急，报不容迟，上公燕坐，只隔两片门扃，而壅不得通，远于千里何耶？	Trinh nói to lên rằng: - Việc quân khẩn cấp, không thể báo chậm. Thượng công ngồi chơi, chỉ cách hai tấm cánh cửa, mà tắc tịt không thông; trên nhà dưới nhà mà xa nhau hơn hai ngàn dặm, thế là cớ làm sao?
某以公事来，非以私谒，还也不得！」	Tôi có việc công đến đây không phải là để gặp riêng, về cũng không được!
整闻之，急令导入。	Chỉnh nghe tiếng, vội sai người dẫn Trinh vào.
桢语事毕，请退。	Sau khi nói xong.
整曰：「那已有泰郡裨将等侯，便发兵符，毋劳内使复命。」	Trinh xin lui, Chỉnh nói: - Việc ấy đã có bọn tỳ tướng của quận Thái trông nom, sẽ phát binh phù ngay, không phải phiền đến sứ thần nhà vua phục mệnh.
可陪筵一饮，因酌一大斗与之。	Ông hãy ở đây cùng uống chén rượu đã. Rồi Chỉnh rót một chén rượu lớn đưa cho Trinh.
桢辞，整曰：「内翰得无猜我耶？」	Trinh cố từ không nhận, Chỉnh nói: - Quan nội hàn nghi tôi chăng?
桢起谕请饮之，曰：「某以不才，过蒙收录，造命全凭君相，悬弓落影，安敢痴猜？」	Trinh đứng dậy tạ lỗi, xin uống, và nói: -Tôi là kẻ bất tài, được thu dùng đã là quá lắm. Việc gây dựng cho tôi đều là nhờ ở nhà vua và quan tể tướng, dám đâu có bụng nghi ngờ như chuyện "cung treo rơi bóng" đời xưa (theo Tân thư: xưa Nhạc Quảng mời bạn uống rượu, cái cung treo ở trên tường soi bóng vào trong chén, người bạn tưởng là con rắn, uống xong về nhà thành bệnh. Sau Quảng phải mời bạn đến uống rượu một lần nữa ở chỗ ngồi trước kia và chỉ cho bạn biết rõ là bóng cái cung, soi vào trong chén rượu bấy giờ người bạn mới khỏi bệnh. - Đây mượn ý để chỉ sự nghi ngờ).
整默然。	Chỉnh im lặng không nói gì. Tan tiệc.
席罢，桢出，谓整亲师阮奎曰：「近来多有造伪虚传，百无一实，好徒缘此，织为无根之谤，以煽惑内外，寻常思议，颇能勘破，我公之明，想不容底话入耳，第于形迹之间，未免错认，某恐增滋多口，虽市虎必诬之事，而言出三人，有无莫辨。	Trinh ra bảo với viên thị sư của Chỉnh là Nguyễn Khuê rằng: - Gần đây lắm kẻ bịa đặt tin nhảm, trăm điều không có một điều thật. Bọn gian đó thêu dệt ra những việc không có căn cứ, để gây sự nghi hoặc cho cả trong và ngoài. óc suy xét của người tầm thường có khi không khám phá nổi. Nhưng người cao minh như ông lớn nhà ta, chắc là không để những câu nói ấy vào tai. Tuy vậy, về phần hình tích, có lẽ ngài cũng chưa khỏi lầm lẫn; tôi sợ rằng vì thế mà họ lại bịa ra nhiều chuyện. "Cọp ở chợ" (theo Chiến quốc sách: Bàng Thống nói với vua nhà Nguỵ rằng: một người nói ở chợ có cọp thì vua không tin, nhưng hai ba người nói ở chợ có cọp thì vua sẽ phải tin, - ý nói tuy lời gièm pha không thật, nhưng nhiều người nói thì người nghe cũng phải tin) là việc không thể có, nhưng đến ba người nói thì người nghe cũng không rõ là có hay không.
窃欲明正其情，杜绝于微，使君臣之间，两情洞达，上下相安不亦善乎？」	Huống chi những kẻ bịa chuyện, lại không phải chỉ có ba người mà thôi. Vì thế, tôi muốn nói rõ sự tình ấy, để dứt mối hiềm nghi từ lúc còn nhỏ bé, khiến cho giữa vua và tôi, tình ý thông suốt, trên dưới yên ổn với nhau, há chẳng hơn hay sao?
奎应之曰：「诺。」	Khuê trả lời: - Vâng!
公第还。	Ông hãy cứ về.
旦日奎乘间言于整。	Sáng mai, nhân lúc rảnh, Khuê đem lời Trinh thuật lại với Chỉnh.
整曰：「人言固不尽信，亦不尽无。	Chỉnh nói: - Lời người ta nói cố nhiên không thể tin cả, nhưng cũng không thể hoàn toàn không tin.
吾熟观上，忍而乡疑，底事须有。	Ta đã xem kỹ, nhà vua là người nhẫn tâm và đa nghi, việc ấy chắc có.
虽然，无无有有，其奈我何！	Tuy vậy, dù có dù không, cũng chẳng làm gì được ta.
四郊多垒，姑搁过勿道。」	Vả chăng, trong lúc bốn cõi còn nhiều giặc giã, hãy gác chuyện đó lại, khoan nói đến.
却说杨仲济自平望敛众走，至京北与某侄杨云、门人阮茂你谋起兵于嘉林，筑垒自守。	Lại nói, Dương Trọng Tế từ khi ở làng Bình Vọng rút quân chạy sang Kinh Bắc, liền cùng cháu là Dương Vân, học trò là Nguyễn Mậu Nễ, đắp đồn luỹ ở huyện Gia Lâm để chống giữ và lo tính việc khởi bính.
会王奔桂坞，使人召济，济曰：「昨者清化之行，裴辰润武将枚世汪土官，王不之命，而先以我试，是欲以我与敌也。	Vừa lúc ấy, chúa Trịnh chạy đến làng Quế ổ (nay thuộc huyện Quế Võ, Hà Bắc), cho người đến gọi Tế, Tế nói: - Vừa rồi, việc đi Thanh Hoá, trong phủ có Bùi Nhuận là võ tướng, Mai Thế Uông là thổ quan, chúa không sai hai người ấy mà lại dùng ta trước để thử quân giặc. Đó là chúa muốn đem ta mà cho giặc vậy.
待人不诚，故至于此！	Bởi chúa đãi người không thật cho nên mới đến thế này.
今与王图大事，已有桂坞武弁，何召我为？」	Bây giờ cùng chúa mưu tính việc lớn, đã có một lũ võ biền ở làng Quế ổ, vời ta làm gì?
固辞以戎事正紧不赴。	Rồi Tế chối là việc quân khẩn cấp, không thể đến được.
役所募丁几千人，筑垒自如京至富市，竖三屯，分兵自守，署云平敌将军、茂你参赞军务，移檄傍郡，数帝依整逐王之过。	Tế tự mộ lấy vài ngàn người tráng đinh, đắp luỹ từ làng Như Kinh đến làng Phú Thị (Như Kinh nay thuộc Văn Giang, Hưng Yên. Phú Thị thuộc Gia Lâm, Hà Nội), dựng lên ba đồn, chia quân đóng giữ. Tế cho Vân làm chức bình địch tướng quân, Nễ làm chức tham tán quân vụ. Lại đưa hịch đến các quận bên cạnh, kể cái tội nhà vua dựa vào Chỉnh mà đuổi chúa.
其辞曰：「伪莫之辰，黎氏已无天下，赖有郑太王翊运中兴，功烈格于上下，福庆贻于子孙。	Lời hịch đại lược như sau: "Trong hồi nguỵ Mạc, nhà Lê đã không còn nước. Nhờ có Thái vương họ Trịnh giúp cuộc trung hưng, công nghiệp thấu đến trời đất, phúc khánh để cho con cháu.
二百年来，黎皇垂拱，郑王总政，中外臣民，共戴同尊，莫敢有异心者。	Hai trăm năm nay, vua Lê chỉ việc khoanh tay rủ áo, chúa Trịnh coi hết mọi việc chính sự; thần dân trong ngoài cùng tôn phò và kính mến, không ai có lòng nào khác.
彼贼臣阮整亡命不死，妄图匪谋，引外敌以破尊国，戕故主而贼人民，唱为灭郑之言，假以扶黎之义。	Tên Nguyễn Hữu Chỉnh vốn là một kẻ vong mạng, thoát chết, mưu đồ làm việc càn rỡ, đem giặc ngoài vào phá phách nước nhà, giết chủ cũ mà làm hại nhân dân, xướng ra câu "diệt Trịnh", mượn cái tiếng "phò Lê".
昭统帝者，南兵与整所立也，德其立已，忘八世师父之恩；焚府逐王，倚一团乱贼之援，实不宜帝，何以表邦？	Vua Chiêu thống là người do quân Nam và Chỉnh lập lên. Nể giặc lập mình, quên ân nghĩa tám đời chủ suý; đốt phủ đuổi chúa, tựa vào sức một lũ loạn thần. Đã không xứng đáng làm vua, lấy gì tiêu biểu cho nước.
忝以先朝台臣，义不客已，将兴师诛整，求皇亲王孙之贤者，而立之以嗣，惟帝惟王之业，约以月朔师渡珥河，四方豪杰有与忝同志者，宜各应期会师，协力进攻，早完复正之功，永纪同休之约。」于是慈、顺土豪见其指斥乘舆，辞意悖戾，转相告曰：「名不正，言不顺，则事不成。	Tôi là viên đài thần (chức ngự sử) của tiên triều, nghĩa không thể nín. Nay sắp dấy quân giết Chỉnh, tìm lấy người hiền trong họ vua cháu chúa mà lập lên để nối cơ nghiệp vua, chúa thuở trước. Hẹn đến ngày mồng một tháng nọ sẽ kéo quân qua sông Nhĩ Hà. Các vị hào kiệt bốn phương người nào đồng chí với tôi, đều nên đúng hẹn họp quân, hợp sức tiến đánh, công khôi phục kíp sớm hoàn thành, nghĩa đồng hưu cùng ghi vĩnh viễn... " Các thổ hào ở vùng Từ Sơn, Thuận Thành thấy lời hịch chỉ trích nhà vua, giọng nói ngược ngạo, họ bèn nói với nhau rằng: "Danh đã không chính thì lời nói cũng không thuận, mà việc sẽ không thành.
吾辈共惟帝臣，不可从他，自贻伊戚。」	Chúng mình đều là bề tôi của nhà vua, không nên theo y để chuốc lấy vạ".
由是卒无应者，其已集者，亦渐渐散还，助之益寡。	Bởi vậy, chẳng một người nào hưởng ứng với Tế; mà những người đã nhóm họp với Tế rồi cũng rút về dần dần, thành ra người giúp Tế càng ngày càng ít đi.
云又素性残猛，暴掠小民；茂你又是庸猥，无所知识，众皆恶之。	Vả chăng bọn Tế, Vân sẵn có tính tàn bạo, hay cướp bóc của nhân dân, Nễ lại là tên ty bỉ dung tục, không hiểu biết gì, nên ai cũng chán ghét.
辰有文江监生得济檄，奔告于京，帝见之大怒，急召整谓曰：「仲济出身进士，何得无君！	Lúc bấy giờ có người giám sinh ở huyện Văn Giang, bắt được tờ hịch của Tế, chạy lên báo với vua. Vua xem hịch giận lắm, vội vàng cho gọi Chỉnh mà bảo rằng: - Trọng Tế xuất thân ở hàng tiến sĩ, sao lại được khinh vua.
昨以红毛帝目我，对使裂旨；今又着之檄文，无所忌惮。	Trước đây y đã gọi trẫm là vua "lông đỏ" (ý nói Chiêu Thống theo Tây Sơn) và xé tờ chỉ dụ của trẫm trước mặt sứ giả. Nay y lại viết ra tờ hịch, không kiêng sợ gì cả.
此贼不诛，何以示警？	Thằng giặc ấy mà không giết thì lấy gì để răn kẻ khác.
当亟发兵讨之。」	Vậy phải cho quân đi đánh ngay.
整再拜奉命而出，遣阮如泰黄曰选等，领兵击之。	Chỉnh lạy hai lạy, vâng mệnh lui ra, rồi sai Nguyễn Như Thái và Hoàng Viết Tuyển đem quân đi đánh Tế.
临行，整戒之曰：「仲济窃据私邑，犹老狐依子故邱，自点乡兵，若群羊牧于旷野，执鞭驱之便走，何事于战？	Lúc sắp đi, Chỉnh dặn họ rằng: - Trọng Tế chiếm giữ vụng trộm mấy thôn ấp ở quê mình, chẳng khác con cáo nương nơi gò cũ. Thứ quân nhà quê của y cũng như bầy dê chăn ở ngoài đồng, cầm roi mà đuổi là chạy, có cần gì phải đánh!
诸公可鸣鼓开旗，直抵垒下，料他只有二策：不降则走，降则直送来，无得暴掠村邑，走则不必穷追，所至恐生荆棘，我闻京北之人，怨他入骨，奔投之地，必不见容，早晚将送军前，受之而已。」	Các ông cứ gióng trống mở cờ, đến thẳng dưới luỹ. Chắc hắn chỉ có hai cách: không hàng thì chạy. Hắn hàng thì điệu ngay về, không được cướp bóc làng xóm. Hắn chạy thì không cần đuổi tới cùng, sợ sinh ra việc rắc rối khác. Ta nghe nói người vùng Kinh Bắc oán hắn đến tận xương, hắn chạy đến đâu chắc không có ai chứa chấp, sớm muộn thế nào họ cũng bắt hắn đến cửa quân cho hắn nộp đầu mà thôi.
泰选引兵渡河，济闻之，召云、你等谋拒战。	Thái, Tuyển vâng mệnh dẫn quân qua sông. Tế nghe tin báo, liền gọi bọn Vân và Nễ bàn việc chống cự.
云曰：「使整自来，亦非你对手，况碌碌偏裨辈，亦何能为？	Vân nói: - Giả sử Chỉnh tự đến đây, cũng không phải là kẻ đối thủ của cháu, huống chi mấy thằng thiên tỳ (những quan võ giúp việc cho chủ tướng) kia thì làm được trò trống gì?
可听自来送死，先断两个头，长驱过河，擒整定国在此一举，叔大人无烦挂虑。」	Cứ cho chúng nó đến để chịu chết. Chém đầu hai đứa ấy trước, rồi kéo tràn qua sông, bắt Chỉnh và dựng nước đều ở cả một chuyến này. Quan chú không phải lo lắng làm gì!
济大喜以为然，笑曰：「沙门自有护法善神，普三千世界，十五类鬼，自当退听，世尊可合手莲花座上，受兹供养而已。」	Tế mừng lắm, cho là phải, rồi cười nói: - Cửa chùa đã có thiên thần hộ pháp, khắp ba ngàn thế giới, mười lăm loài quỷ, tự nhiên đều phải lui bước nghe theo. Đức Phật Thế tôn chỉ việc chắp tay ngồi trên toà sen nhận lễ dâng cúng mà thôi.
茂你亦自请「先具牛酒，待到京开筵痛饮，此回师大人为南越生世尊、百千罗汉，悉现真身，听我点化耳。」	Mậu Nễ cũng nói: - Tôi xin sắp sẵn trâu rượu, chờ khi tới kinh mở tiệc uống cho thật say. Lần này quan thầy sẽ là đức Phật sống của nước Nam Việt, trăm nghìn Phật La hán chắc đều phải hiện chân thân để nghe ta chỉ vẽ.
叔侄师生相期自许，不复以兵事为意。	Chú cháu, thầy trò tâng bốc, khoe khoang lẫn nhau, không còn để ý gì đến việc binh nữa.
忽报泰选军已至，乃以剑授云曰：「书云：『乃言匠可绩。』识之！	Chợt có tin báo quân của Thái, Tuyển đã đến. Tế bèn lấy thanh gươm trao cho Vân và nói: - Kinh thư nói rằng: "Nãi ngôn để khả tích" (nghĩa là: Lời ngươi đưa đến thành công).
识之！」	Phải nhớ lấy nhé!
云再拜而出，引众登垒，徘徊瞻望，见泰、选师势甚盛，始有惧色。	Vân lạy hai lạy, nhận gươm lui ra, rồi dẫn quân lên mặt luỹ, phấp phỏng dòm ngó. Thấy thế quân của Thái, Tuyển rất mạnh, Vân bắt đầu tỏ vẻ lo sợ.
其所募兵，又皆为乌合，未经战阵，金鼓旗帜，耳目未尝闲习，妄想乡村中迎神奉佛一般。	Vả chăng, quân của Vân mới mộ, đều là hạng người ô hợp chưa qua trận mạc bao giờ, tai mắt chưa quen thuộc với chiêng trống cờ xí, họ tưởng đó cũng như những đám rước thần, cúng Phật ở thôn quê mà thôi.
云依垒而阵，泰、选分两道夹击，铳口火虎齐发，响振远近，烟焰蔽野。	Vân tựa vào luỹ mà dàn trận. Thái, Tuyển chia quân làm hai đường cùng đánh ập lại. Súng và hoả hổ cùng nổ ran một lúc, xa gần rung động, khói lửa ngút trời.
云众惊溃不可复制，云仓皇失措，不知所为，亦税戎服遁走。	Quân của Vân kinh hãi, tan vỡ, không sao ngăn được. Vân hoảng hốt, cuống quít, không biết làm thế nào, bèn cởi bỏ áo trận, rồi chạy trốn.
济在乐道中屯，使人来侦，则云已不在。只见两道军登垒，四下纵杀。	Trọng Tế ở trong đồn Lạc Đạo (tên xã, thuộc Gia Lâm, Hà Nội) cho người đến dò, thì Vân đã bỏ đi đâu mất, chỉ thấy hai đạo quân của Thái, Tuyển đang trèo lên luỹ, chém giết tứ tung.
侦人惶骇，奔还告急。济闻变即起，方寸正乱，未知作何区处，众亦随之四散。	Người do thám sợ hãi chạy về báo tin, Tế nghe nói, vội vàng đứng dậy, ruột gan rối bời, chưa biết tính liệu ra sao?
前后瞻望莫如之何，仰天呼曰：「惟天不佑王家，故至于此。」	Lại thấy quân lính tan tác, mỗi người chạy mỗi ngả, Tế trông trước, nhìn sau, chẳng biết làm thế nào, bèn ngửa mặt lên trời, mà kêu rằng: "Trời ơi, chỉ tại trời không phù hộ nhà chúa cho nên mới đến thế này đây!".
遂率手下数人，越垒而走。	Rồi Tế dẫn vài tên tay chân vượt luỹ chạy trốn.
暮抵玉舍，云追及之。	Chập tối, Tế chạy đến làng Ngọc Xá (sau đổi là Yên Xá, thuộc huyện Cẩm Giàng, Hải Dương (Hải Hưng)) thì Vân theo kịp.
是夜叔侄相谋，投宿民家。	Đêm ấy chú cháu bàn với nhau vào ngủ nhờ ở nhà một người dân trong làng.
云请先就桂坞谒王「王素所信重，见叔必喜。	Vân nói với Tế: - Xin chú trước hết hãy vào Quế ổ ra mắt chúa, chúa vốn tin và trọng chú, thấy chú chắc là mừng.
此处皆是武人，得叔文臣，为之谋主，有所指挥，料必听从。	Hơn nữa, ở đó đều là những người võ biền, được chú là văn thần bày mưu lập kế, chỉ huy mọi việc cho, thế nào chúa cũng nghe theo.
因此收集溃军，以图再举，不出旬日，声势复振，可以得志。」	Nhân cơ hội ấy, mình sẽ thu thập tàn quân để tính việc về sau. Chẳng qua chỉ trong mươi ngày, thanh thế nổi lên là lại có thể làm nên việc.
济曰：「不可。	Tế nói: - Không được!
前日王命召，我辞而不赴，今困败而来，将何辞以告世？	Trước đây chúa cho gọi ta, ta chối không đến. Bây giờ thua trận mà đến, thì lấy cớ gì mà nói!
成何面目？	Vả chăng như thế thì còn mặt mũi nào?
桂坞族人谓我为何如？	Mà rồi những người ở Quế ổ còn coi ta ra gì?
我与壤同功共事，最相得。	Trước đây ta đã cộng sự với quận Nhưỡng, rất là tương đắc.
今闻据有邯江，号召安广之兵，众合数万，舟船蔽江，阿公又能兵之将，我当速赴邯江，与之图回，启请于王，移驾于此，桂坞不得不扈跸赴会。	Nay nghe ông ta chiếm giữ vùng Hàm Giang, và hiệu triệu nhân dân vùng Hải An, thủ hạ có tới vài vạn, thuyền bè đầy sông. Ông ta là tay tướng giỏi, ta nên đến ngay Hàm Giang, mưu tính với ông ta, rồi xin chúa dời xa giá về đó, bọn người ở Quế ổ không thể không theo chúa tới họp.
因使他从北路起，汝领一支兵与之俱，攘郡从东路起，我奉王督战，约日同举，大事可成，不比向时孤军为贼所劫夺也。」	Nhân đó ta bảo họ nổi lên ở xứ bắc, cháu đem một cánh quân đi cùng họ; quận Nhưỡng thì nổi lên ở xứ đông; ta thì phò chúa đốc chiến. Các đạo hẹn nhau cùng cất quân trong một ngày, việc lớn chắc có thể thành. Không như trước đây, chỉ một toán quân chơ vơ, đến nỗi bị giặc uy hiếp.
云曰：「甚善！	Vân nói: - Phải lắm!
但自玉舍抵邯江，道颇旷远，匆匆五六人，狼狈而来，行色凄凉，看不入眼。	Nhưng từ Ngọc Xá đến Hàm Giang, đường sá xa xôi, mà mình chỉ có năm sáu người lủi thủi đi đường, bộ dạng tiều tuỵ, trông chẳng ra sao.
且万一有变，途间空手何以御之？	Vả lại, vạn nhất xảy ra biến cố gì, giữa đường tay không, lấy chi mà chống đỡ.
侄请募战士五六十人，器械精锐，鸣鼓而行，晨发夕到，壤郡见之，亦不卑我。」	Vậy cháu xin mộ lấy dăm sáu chục tên lính, khí giới sắc bén, mở cờ gióng trống mà đi; sớm lên đường chiều tới nơi, quận Nhưỡng thấy thế cũng không đến nỗi khinh mình.
济曰：「亦善。	Tế nói: - ý kiến của cháu cũng đúng.
汝可急往招之，期以日暮必至。」	Cháu nên gấp rút đi mộ quân lính, hẹn chiều tối hôm nay phải đến đây ngay.
不觉一回谈论，耳属于垣，尽被民人窃闻识破。	Không ngờ chú cháu y bàn luận cả đêm như thế, đều bị người trong nhà nghe thấy hết và biết rõ chuyện.
彼于中夜，具以告其邑长。	Nửa đêm, họ liền đi báo với viên ấp trưởng.
迨晓，云既去，那邑长率其徒数十人，各持器械，抬一槛来，谓济曰：「请官人入此，已有选郡公兵等在迩，护送如京，谒见鹏忠也好。」	Sáng dậy, khi Vân đã đi rồi, viên ấp trưởng liền đem vài chục bộ hạ cầm khí giới và khiêng một cái cũi đến, bảo với Tế rằng: - Mời quan lớn vào trong này! Đã có quân của quận Tuyển chờ ở gần đây, xin sẵn sàng hộ tống ngài về kinh yết kiến cụ Bằng trung công.
济佯惊曰：「诸公误矣！	Tế vờ thất kinh mà rằng: - Các ông lầm rồi!
某是海阳生徒，借馆如京，偶遭兵火，故复东归，何事与中朝贵人参谒？」	Tôi là học trò xứ Hải Dương, tới Như Kinh kiếm nơi dạy học, thình lình gặp việc binh đao, nên lại trở về xứ đông, có việc gì mà phải yết kiến bậc quý nhân trong triều?
邑长笑曰：「官人休以口舌欺人，前此翱翔升龙，叱咤京北，自以为南国一人，海阳生徒，安得有此气势？	Người ấp trưởng cười mà nói: - Quan lớn đừng có dùng miệng lưỡi nói dối người ta! Trước kia ngài đã bay lượn ở vùng Thăng Long, gầm hét ở hạt Kinh Bắc, tự cho là người tài giỏi độc nhất trong nước Nam. Học trò Hải Dương đâu có khí thế ấy?
今只要速入此槛中，及早抬去，请毋多言，空自劳耳。」	Bây giờ xin mau mau vào cũi để họ khiêng đi cho sớm. Đừng nhiều lời làm gì, mệt sức vô ích!
即携入槛中，解送选军。	Rồi họ đẩy Tế vào cũi, giải đến dinh quân của Tuyển.
所遏士民，夹道观之，或呼曰：「进士何至是耶！犹恨无赖劫儿，如何却得漏网。」	Những nơi cũi Tế đi qua, nhân dân đều đổ xô ra hai bên vệ đường để xem. Có người gọi Tế mà bảo: Ông nghè sao lại đến thế; tức thay thằng kẻ cướp vô loại kia sao lại lọt lưới?
盖指云也。	(chỉ Dương Vân) Trước đó, khi bọn Tuyển cầm quân ra đi, Chỉnh đã có lời răn bảo.
先是选等出军，面受整诫，至是获济回军，悉如所料。	Đến lúc bắt sống được Tế rồi, Tuyển liền đem quân thắng trận trở về, hết thảy đúng như lời Chỉnh đã dặn.
朝臣诣整贺捷，莫不啧啧叹服。	Các quan trong triều đến dinh Chỉnh. Mừng việc thắng trận, ai cũng tấm tắc khen ngợi và khâm phục.
陈公灿独曰：「非公料敌之神，只济无谋之误，物伤其类，尤是可悯！」	Riêng Trần Công Xán lại nói: - Không phải ông có tài tính liệu tình hình địch mà chỉ vì Tế vô mưu "Giống vật thương tình đồng loại" (dịch câu: "Vật thương kỳ loại", câu này do ở thành ngữ Thố từ hồ bi, vật thương kỳ loại, nguyên nghĩa là: "Con thỏ chết con cáo buồn, giống vật thương tình đồng loại".
无谋，指檄文一事也。	ý nói người ta thấy kẻ đồng loại gặp nạn thì cũng buồn thương. Đây chỉ vào ý Xán mượn câu này để ngầm tỏ ý nói Tế cũng là kẻ đáng thương) thật là đáng buồn! Chữ "vô mưu" ở đây là Trần Công Xán ám chỉ việc Trọng Tế viết tờ hịch chỉ trích vua Lê trước kia.
帝令罪状济以正典刑。	Vua nghe tin đã bắt được Tế, liền sai thảo bản kể tội của Tế, để làm cho nghiêm chỉnh pháp điển.
整奏曰：「请拽出北门斩之，死便足，无污笔纸为也。」	Chỉnh tâu: - Xin kéo hắn ra cửa Bắc mà chém đi là xong, chẳng cần phải làm bẩn bút mực! Phan Lê Phiên nói: - Với tên giặc khác, cố nhiên nên như vậy.
维藩曰：「他贼固然，若仲济者读书次科，出身朝土，而敢行叛逆，此实名教中罪人，安得死若是恝？	Nhưng Tế là người học hành thi đỗ, xuất thân trong hàng tiến sĩ mà dám làm việc phản nghịch như thế, thật là kẻ tội nhân trong danh giáo. Sao được chết một cách im lặng như vậy?
宜遵奉圣旨，明着大恶，使他人以济为戒，则不逞者可戢也。」	Bởi thế, cần vâng theo chỉ ý của hoàng thượng, nêu rõ tội ác của y, để cho người khác thấy y mà biết răn mình, thì bọn ngang ngược kia mới dẹp đi được.
即援笔草论进呈云：「以臣叛君，无所容于天地，其名为贼，得共诛于国人，当革去进士，献俘太学，明见绝于士类，无使污夫儒流。」	Rồi Phiên cầm bút thảo lời "Luận tội" dâng lên rằng: "Làm tôi phản vua, trời đất không còn chỗ chứa; mang tên là giặc, người nước cùng được giết đi. Vậy phải đục bỏ tên trong bia tiến sĩ, dâng tù trước nhà Thái học, để tỏ rõ rằng y đã bị đuổi ra ngoài hàng kẻ sĩ, khiến cho không làm nhơ danh của nhà nho".
诏曰：「可。」即命选等戎服执送济诣太学门伏质，然后就武试场斩之。	Vua truyền "được", rồi lập tức sai bọn Tuyển mặc quần áo trận, bắt Tế đưa đến nhà Thái học phủ phục chịu tội, rồi điệu đến Trường thi võ mà chém.
