第十五回。	Hồi thứ mười lăm.
于是隆安因报吴任，促令缮折谢表，因夹叙言：「本国已届贡期，例得恭遣陪臣赍递。	Khi ấy, Khang An liền báo tin cho Thì Nhậm biết, giục Nhậm viết tờ biểu tạ ơn. Nhậm thảo một tờ biểu, trong đó nói kèm thêm rằng: "Nước chúng tôi đã đến kỳ tiến cống, theo lệ phải kính sai bồi thần đệ dâng lễ vật.
但小藩犹是权辨国事，不敢辄行，恐于体例未合，而恬然废驰，于心终有不安。	Nhưng tiểu phiên (nước phiên thuộc nhỏ mọn, ở đây là một cách nói nhún để chỉ vua Quang Trung) còn là tạm quyền việc nước, không dám tự ý làm việc ấy, vì sợ chưa hợp lệ. Mà nếu điềm nhiên bỏ đi lòng cũng không yên.
其贡品陪臣谨已等待关上，伏候定夺。	Nay các vật phẩm tiến cống và các người bồi thần đều đã kính cẩn đợi sẵn trên cửa ải.
不胜兢惶待命之至。」	Vậy xin cúi mong bề trên quyết định, chúng tôi khôn xiết run sợ chờ lệnh... ".
隆安得谢表，即发驿马递至燕京，和珅将表进呈。	Khang An tiếp được tờ biểu tạ ơn ấy, lập tức sai ngựa trạm đệ về Yên Kinh. Hoà Khôn liền đem biểu dâng lên.
清帝览之大悦，敕赐陪臣武辉瑨、吴为贵、阮廷举等过关，入桂林城等候；而遣使来册封光中为安南王，赐赉甚厚，其贡品照旧受之。	Vua Thanh xem xong, thích lắm, bèn truyền cho các bồi thần nước Nam là bọn Võ Huy Tấn, Ngô Vi Quý, Nguyễn Đình Cử được phép qua cửa ải, vào chờ ở thành Quế Lâm; lại sai sứ thần sang phong cho vua Quang Trung làm An Nam quốc vương và ban thưởng cho rất hậu. Còn các phẩm vật tiến cống đều chiếu lệ cũ mà thu nhận.
寻复降旨，征国王入觐。	Liền đó, vua Thanh lại giáng chỉ vời vua An Nam sang chầu.
吴任乃择乂安军校南塘幕田人阮光值者，容貌端整，诈为国王。文楚为武重臣，辉益为文重臣，都督阮聿充扈侍，武辉瑨充词臣，奉国王如清展觐职方例外。	Ngô Thì Nhậm bèn kén viên quan võ người làng Mạc Điền, huyện Nam Đường ở trấn Nghệ An, tên là Nguyễn Quang Thực (Đại nam chính biên liệt truyện sơ tập lại chép là Phạm Công Trị, cháu gọi Nguyễn Huệ bằng cậu), dung mạo đoan trang, giả làm quốc vương; lấy Văn Sở làm trọng thần hàng võ, Huy Ích làm trọng thần hàng văn, đô đốc Nguyễn Duật làm hộ vệ, Võ Huy Tấn làm bề tôi coi giấy tờ, cùng hầu "quốc vương" sang yết kiến vua Thanh.
又荐雄象二匹。	Ngoài lễ dâng thường của địa phương lại dâng thêm hai thớt voi đực.
清人沿途驿递劳顿，中外皆知其假而不敢言。	Dọc đường, người Thanh phải phục dịch chuyển vận rất khó nhọc. Trong ngoài ai cũng biết là giả dối, mà không ai dám nói.
迨进京，清帝大喜，以为真光中的，于入觐时，赐与诸亲王因同宴。又加恩并行抱膝，一如家人父子之亲。	Khi "quốc vương" tới Yên Kinh, vua Thanh mừng lắm, không hề biết đó là vua Quang Trung giả. Lúc "quốc vương" vào yết kiến, vua Thanh cho cùng ăn yến với các vị thân vương, lại ban ơn đặc biệt cho làm lễ ôm gối hệt như tình cha con trong nhà.
及拜谢归国，乃命工画传神像赐之。恩礼隆厚，诚千古之旷格也。	Lúc "quốc vương" lạy tạ về nước, vua Thanh sai thợ vẽ truyền thần bức chân dung mà ban cho, ân lễ rất trọng hậu, thực là một cách đối đãi khác thường từ ngàn xưa hiếm có.
却说黎帝自镇南关从孙总督入内地南宁城，适福总督至，谋与西人讲和事，遂谋入桂林府城安歇。	Lại nói, vua Lê khi ở cửa ải Nam Quan theo Sỹ Nghị vào đất Trung Quốc, trú ngụ ở thành Nam Ninh, thì vừa gặp lúc Phúc Khang An đến thay Sỹ Nghị, và mưu đồ giảng hoà với Tây Sơn. Khang An bèn đón vua Lê vào nghỉ ở thành phủ Quế Lâm.
其本国人嗣次入内地者，皇叔忠郡公维礻安由榆关，邯江丁迓衡、丁令胤等由龙门，南真内翰陈维林、同泽出纳黎允管、后劲奇黎颖、乂安潘启德等由镇南关，高平辅道闭阮允等由高平关。	Hồi ấy những người nước Nam lần lượt sang Trung Quốc theo vua Lê gồm có: Chú vua là Trung quận công Duy Án, đi đường Du Quan (ở hồi 9 đã chép Duy Án đi cùng với phái bộ Trần Công Xán vào Tây Sơn đòi đất Nghệ An, sau phái bộ bị dìm chết ở ngoài biển. Đây lại thấy Duy Án xuất hiện, không hiểu là chép lầm hay Án còn sống sót mà người viết không ghi rõ chăng? ); Đinh Nhạ Hành và Đinh Lệnh Dận quê ở Hàm Giang, đi đường Long Môn; nội hàn Trần Duy Lâm, quê ở Nam Chân; xuất nạp Lê Doãn, quản cơ Hậu Kính Lê Dĩnh người ở Đồng Trạch và bọn Phan Khải Đức người Nghệ An đều đi đường ải Nam Quan; bọn Bế Nguyễn Cung, Bế Nguyễn Doãn là phụ đạo ở Cao Bằng đi đường Cao Bằng.
比至入见，隆安又随便安抑，照给衣粮。	Lúc họ vào ra mắt, Khang An tuỳ tiện sắp đặt chỗ ở và cấp cho lương ăn áo mặc, rồi dùng Phan Khải Đức làm chức đô ty ở Liễu Châu, Đinh Nhạ Hành làm chức thủ bị ở Toàn Châu, Bế Nguyễn Doãn làm chức bả tổng.
因以启德为柳州都司，迓衡为全州守备，阮允为把总，其忠郡公及诸人悉送入桂林黎帝所。	Còn Trung quận công cùng các người khác thì đều đưa vào ở chỗ vua Lê trong phủ Quế Lâm.
月余，隆安亦自南宁还桂林，下令悉罢诸省兵马，盛张宴乐。	Sau hơn một tháng, Khang An cũng từ Nam Ninh về Quế Lâm, liền hạ lệnh bãi hết binh mã các tỉnh, rồi bày ra yến tiệc và âm nhạc linh đình, rộn rã.
黎帝怪而问之？隆安曰：「夏天炎暑，不利南征，须俟秋凉，一并调发。」	Vua Lê lấy làm lạ hỏi, thì Khang An nói: - Mùa hè nắng nực, không lợi cho việc sang đánh miền Nam, cần chờ đến mùa thu mát mẻ, sẽ điều động một thể.
既又邀帝酣宴，从容贡曰：「师期不远，王当亲率左右僚属为前道。	Tiếp đó, Khang An lại mời vua Lê yến tiệc say sưa, rồi ung dung nói: - Ngày xuất quân không còn xa, vương nên tự mình đem tả hữu liêu thuộc làm quân dẫn đường đi trước.
但今宜雉发易服与中国同，使南还之日，贼人不复识别，然后大功可成。	Nhưng bây giờ nên gọt đầu gióc tóc (kiểu đầu của người Mãn Thanh: gọt tròn xung quanh như cái nồi đất, rồi tết đuôi xam ở đằng sau), thay đổi quần áo giống như người Trung Quốc, để khi về Nam quân giặc không thể phân biệt được, thì công lớn mới có thể thành.
反国之后，仍从故俗，兵行诡道，王盍思之。」	Sau khi khôi phục nước nhà, bấy giờ sẽ lại theo như tục cũ. "Việc binh không ngại dùng cách xảo trá" Vương nên nghĩ tới chỗ đó.
黎帝以为然，曰：「失守邦家，辱蒙天朝救援，虽举国北装惟命，此奚足惜。」	Vua Lê cho là phải và đáp: - Chúng tôi không giữ được nước nhà, may nhờ thiên triều cứu viện, dù cả nước phải ăn mặc như người Trung Quốc, cũng xin vâng lệnh. Việc ấy còn có tiếc gì?
于是与诸臣皆雉发易服。	Rồi vua Lê cùng các bề tôi đều gióc tóc, thay đổi đồ mặc.
隆安见之大喜，即以金钱赐之，恩接款洽。	Khang An thấy vậy, mừng lắm, liền cho một số tiền bạc và tiếp đãi tử tế.
黎帝君臣皆不知其诈。	Vua tôi nhà Lê đều không biết sự lừa dối của Khang An.
隆安因作密表奏清帝，内叙安南国王黎维祁无意请援，君臣已皆雉发易服，愿安居中土，伏请罢征南兵。	Nhân đó, Khang An bèn làm một tờ biểu kín tâu với vua Thanh, trong đó đại ý nói: "Vua An Nam là Lê Duy Kỳ, không còn có ý xin cứu viện, vua tôi đều đã gióc tóc đổi đồ mặc, xin ở lại yên ổn trong đất Trung Quốc. Vậy xin bãi bỏ các đạo quân định đưa sang đánh dẹp phương Nam".
和珅又奏请册封光中，尽得俞允。	Còn Hoà Khôn cũng luôn dịp tâu xin phong vương cho vua Quang Trung.
隆安复邀黎帝入，盛陈剑戟，左右环列弓马，仪仗整肃，正中竖大旗绣着「提督九省兵马」六字。	Thế là các lời xin ấy đều được vua Thanh chuẩn y. Một hôm, Khang An lại mời vua Lê vào dinh. Giáo mác trang hoàng la liệt, quân hầu đứng khắp chung quanh, cung mã, nghi trượng rất là nghiêm chỉnh, chính giữa dựng cây cờ lớn, có thêu sáu chữ: "Đề đốc cửu tỉnh binh mã" (đề đốc binh mã chín tỉnh).
茶果讫，默无所言。黎帝亦不觉其意。	Sau khi uống trà và ăn hoa quả xong, An im lặng không nói câu gì, vua Lê cũng không hiểu ý của An ra sao.
及辞出，已见西人使伴在门外矣。	Lúc từ giã đi ra, thì thấy sứ giả Tây Sơn đã ở ngoài cửa.
懊恼移时，只得回馆安歇。	Vua Lê tức tối hồi lâu, rồi đành phải về quán trọ yên nghỉ.
且说先是长派侯黎亻冏承命留本国招谕土豪，以图恢复。	Trước kia Trường phái hầu là Lê Quýnh vâng mệnh ở lại trong nước, chiêu dụ hào kiệt các địa phương để lo việc khôi phục.
至是与郑宪、李造、黎洽等数十人俱入内地。	Lúc này, Quýnh và bọn Trịnh Hiến, Lý Tạo, Lê Hợp (có bản chép là Lý Nhu Đạo, Lê Doãn Thực) tất cả gồm vài chục người đều kéo sang đất Trung Quốc.
隆安札召亻冏等共谈国事，既至一无所问，但谕以剃发易服。	Khang An cho trát đòi bọn Quýnh đến bàn việc nước. Lúc họ tới nơi, An chẳng hỏi han gì, chỉ bàn về việc gọt đầu gióc tóc và đổi đồ mặc mà thôi.
亻冏知其诈，大怒曰：「召我面谈，今无一事，独令雉发易服。	Quýnh biết An dối trá, giận lắm, nói: - Đòi ta đến ngỡ là để giáp mặt mà bàn bạc, nay té ra lại chẳng bàn bạc gì, mà chỉ toàn bảo gọt đầu gióc tóc và đổi đồ mặc.
我辈头可断，发不可雉；皮可削，服不可易也。」	Chúng ta đây, đầu có thể chặt, tóc không thể cắt, da có thể lột, đồ mặc không thể đổi!
隆安知其不可强，即命于广西安置。	Khang An biết là không thể ép buộc được, bèn sai đem bọn họ an tri ở tỉnh Quảng Tây.
是岁已酉冬杪，清帝既遣册封阮惠为安南国王，而受其贡品，复降旨召安南故王入燕。	Hồi cuối mùa đông năm ấy là năm Kỷ Dậu (1789), vua Thanh sau khi đã sai sứ phong cho vua Quang Trung làm An Nam quốc vương và nhận các vật phẩm tiến cống, liền giáng chỉ đòi vua cũ của nước An Nam phải đến Yên Kinh.
却说初升龙之溃，黎帝北狩。皇三弟瓓郡公维祗奉皇妃出，走至珥河边，值河桥已断，即沼河岸从西遁去，至宣光潜驻。	Nguyên lúc kinh thành Thăng Long tan vỡ, vua Lê chạy sang bắc, em thứ ba của vua Lê là Lan quận công Duy Chi đưa hoàng phi chạy ra, đến bến sông Nhĩ Hà thì gặp lúc cầu phao đã gãy, liền theo bờ sông chạy về phía tây.
因招谕土豪，戮力与图兴复。	Đến Tuyên Quang, Duy Chi bèn lén lút ở đấy, rồi nhân dịp chiêu dụ các tay hào mục địa phương, để cùng nhau gắng sức lo việc khôi phục.
至是起兵保乐，竖屯栅，征糇粮，与西贼相对垒，拒战数月，兵食不接，为贼所败。	Về sau, Duy Chi dấy quân ở đất Bảo Lạc (nay thuộc Cao Bằng), đắp đồn luỹ, trưng thu lương thực, chống nhau với quân Tây Sơn. Được vài tháng, quân và lương không đủ, bị quân Tây Sơn đánh thua, Duy Chi và các tướng tá đều bị bắt, đóng cũi đưa về Nam, rồi đều bị hại (theo Đại nam chính biên liệt truyện và Bang giao lục thì Duy Chi đánh phá cả các vùng Cao Bằng, Tuyên Quang, Thái Nguyên; sau lại liên kết với Lào để định đánh úp Nghệ An. Vì thế, quân Tây Sơn phải đánh dẹp rất gay go, kéo dài hàng năm (1789-1790) mới bắt được Chi).
及将佐皆被获，槛送南还，俱遇害，通国军民莫不怜之，有以诗哭之曰：「富春有地理新恨，保乐无天报旧仇。」	Quân dân cả nước, ai cũng thương xót. Có người viếng bài thơ, trong có câu rằng: Phú Xuân có đất chôn hờn mới. Bảo Lạc không trời báo oán xưa.
皇三弟既死，皇妃遂还京北，潜匿民间。西人索之不获。	Duy Chi đã chết, hoàng phi bèn trốn về vùng Kinh Bắc, lẻn lút trong dân gian, quân Tây Sơn tìm bắt nhưng không được.
是时黎帝在燕，音信不通，诸皇亲皆为贼所害。	Lúc bấy giờ, vua Lê ở Yên Kinh, tin tức không thông, các hoàng thân đều bị quân Tây Sơn giết hại.
其忠义旧臣，平章阮辉宿、参知政事范廷玙、兵部尚书阮廷简，签书枢密院事黎班、副都御史陈名案、京北镇守陈光珠等，各于林坞亡匿。	Các bề tôi trung nghĩa ngày xưa như bình chương Nguyễn Huy Túc, tham tri Phạm Đình Dữ, thượng thư bộ Binh Nguyễn Đình Giản, thiêm thư xu mật viện sự Lê Ban, phó đô ngự sử Trần Danh Án, trấn thủ Kinh Bắc Trần Quang Châu đều phải trốn nấp ở các nơi thôn ổ, quân Tây Sơn lùng bắt không được.
西人累求之不得，其故家遗族，大率有感旧之情，闾里之间，抱鼓数起。	Còn con cháu dòng dõi của các nhà quyền quý phần nhiều cũng vẫn có cảm tình với chủ cũ. Nên chi, trong chốn làng quê, tiếng trống thường nổi lên luôn luôn.
简自黎帝北走，不及从驾，乃隐山西之立石。	Nguyễn Đình Giản, từ khi vua Lê chạy sang Trung Quốc, không kịp chạy theo, bèn ẩn ở huyện Lập Thạch thuộc trấn Sơn Tây (nay thuộc Vĩnh Phú).
北平王使人往清化，收其爱女，置之后宫，欲以招简。	Vua Quang Trung cho người đến trấn Thanh Hóa, bắt con gái yêu của Giản đưa vào hậu cung muốn để vời Giản ra làm quan.
简曰：「此女不死，辱我门户；我不以儿女之情，废君臣之义也。」	Nhưng Giản nói: - Con bé ấy không chết, làm nhục nhà ta, ta không vì tình nhi nữ mà bỏ nghĩa vua tôi.
西人知不可夺，乃设计生致之。	Quân Tây Sơn biết không thể đoạt nổi chí hướng của Giản, bèn lập mưu bắt sống Giản về.
简不屈而死。	Giản không chịu khuất, rồi chết. Giản có làm bài thơ tự thuật như sau: Vị thân hay vị nước nhà, Thân còn nước mất biết là làm sao? Đội non khôn hoá thân ngao (Sách Liệt sử chép: ở biển Đông có năm hòn núi nổi lênh đênh trên mặt nước, trời sai 15 con ngao đỡ cho núi đứng vững. Đây mượn ý để nói việc chống đỡ quốc gia), Dễ đem mình cuốc khóc gào núi sông (xưa vua Thục là Đỗ Vũ mất nước, sau khi chết hoá thành con cuốc, tiếng kêu ai oán). Giận không Vương Xúc gươm trung (Vương Xúc làm quan nước Tề đời Chiến Quốc, sau Tề vị nước Yên chiếm, Vương Xúc dùng gươm tự tử), Đọc ca chính khí dãi lòng sắt đanh (Chính khí ca của Văn Thiên Tường, một trung thần đời Tống, làm khi bị giam ở yên kinh). Ngoảnh nhìn cung khuyết Long thành, Thân này với nước nhục vinh nỡ rời!
班魁梧勇悍，膂力绝人，每一饭辄兼数十人之食。	Lê Ban khôi ngô, hùng dũng, sức khoẻ hơn người; mỗi bữa ăn gấp mấy chục người.
