第十七回。	Hồi thứ mười bảy.
今且引还以定内变，然后来征，可乎？」	Nay hãy kéo về để dẹp yên cuộc phiến loạn ở bên trong, rồi sau lại vào đánh giặc cũng được.
众将皆曰：「唯命。」	Các tướng đều nói: - Xin theo mệnh lệnh!
即日解围，引还归仁。	Ngay hôm ấy Diệu giải vây cho thành Nha Trang rồi kéo quân về thành Qui Nhơn.
化闻之，先来谢罪，耀不之问。	Hoá nghe tin, đến tạ tội trước. Diệu lờ đi không hỏi.
师至安旧屯江之南岸，勇亦与内侯赐等帅本部屯于江北，挟君命以拒之。	Về tới làng Yên Cựu (ở phía nam thành phố Huế, trên bờ sông Hương (Bình Trị Thiên)), Diệu đóng quân ở bờ nam sông. Dũng cùng bọn nội hầu Tứ thì đem bản bộ đóng ở bờ bắc sông, mượn mệnh lệnh của nhà vua để chống lại với Diệu.
光缵大惧，即命中使往来慰谕和解之。耀始率左右入见，与勇等讲和。耀又请以文忠代化镇守归仁，而召化还诛之。	Quang Toản sợ lắm, phải sai bọn trung sứ qua lại vỗ về, hoà giải, Diệu mới chịu đem bọn tả hữu vào yết kiến Quang Toản và giảng hoà với bọn Dũng; kế đó Diệu lại xin gọi Hoá về và xin cho Lê Văn Trung thay chân Hoá, trấn giữ thành Qui Nhơn.
是时光缵左右日夜谮耀，言其威权太重，将有异图。	Lúc đó, bọn người ở bên cạnh Quang Toản ngày đêm gièm pha rằng, oai quyền của Diệu lớn quá, đang toan có mưu khác.
光缵信之，即令收耀兵权，命守职奉侍。	Toản tin là thật, liền rút hết binh quyền của Diệu, chỉ cho giữ một chức quan vào hàng thị thần mà thôi.
耀与文忠平生素相得，因以密书往归仁，约文忠举兵奉光绍为君，而废光缵。	Bình sinh Diệu vốn tương đắc với Lê Văn Trung, bèn gửi thư mật vào Qui Nhơn, hẹn Trung cất quân lập Quang Thiệu làm vua mà bỏ Quang Toản.
文忠从之，遂以兵还，继请光绍发亲军为后接。	Trung theo lời, bèn kéo quân về, đồng thời xin Quang Thiệu thân đem quân tiếp ứng phía sau.
文忠兵至广南，中外震骇。	Quân Trung về đến Quảng Nam, trong ngoài nhốn nháo sợ hãi.
光缵会群臣议之，皆曰：「使忠退兵，非耀不可。」	Quang Toản họp các quan lại bàn bạc, mọi người đều nói: - Bảo Văn Trung lui quân, phi Diệu không ai làm được!
即命耀往。	Quang Toản liền sai Diệu đi.
文忠不报光绍，而以单骑随耀还谒。	Văn Trung không báo trước với Quang Thiệu mà một mình một ngựa theo Diệu về yết kiến Quang Toản.
光绍惊疑，即撤兵象回归仁，闭城固守。	Quang Thiệu nghi ngờ, sợ hãi, lập tức rút quân và voi về thành Qui Nhơn, đóng chặt cửa thành để cố thủ.
光缵累遣将攻之，兼旬不拔，遂自将至黎江。	Quang Toản sai tướng đến đánh liên tiếp mấy tuần không hạ được, bèn tự mình làm tướng đem quân đi.
太府旻曰：「光绍之乱，实由文忠构成，罪不可赦，请即诛之，以警其它。」	Đến Lê Giang, có viên thái phủ tên là Mân nói với Toản rằng: - Cuộc biến loạn Quang Thiệu thực do Văn Trung gây nên, tội không thể tha, xin giết ngay để răn kẻ khác.
光缵亦以为然，乃命召文忠入，令武士缚而斩之。	Quang Toản cũng cho là phải, bèn sai vời Trung vào dinh, bảo võ sĩ trói lại đem chém.
因慰劳将士，下令进攻归仁城，旬日拔之，生获光绍。	Sau đó, Toản vỗ về tướng sĩ, hạ lệnh tiến đánh Qui Nhơn, mười ngày hạ được thành, bắt sống được Quang Thiệu.
遂留旻镇守；而锢光绍以归，用毒酒杀之。	Toản bèn để Mân ở lại giữ thành Qui Nhơn, rồi cùm Quang Thiệu đưa về, dùng thuốc độc giết chết.
西山自文岳占据归仁城，以黎景兴三十九年戊戍僣称天王，伪称泰德元年；庚子年复称帝，立光绍为太子。	Nhà Tây Sơn kể từ khi Văn Nhạc, chiếm giữ Qui Nhơn vào năm Mậu Tuất (1778), tức là năm thứ 39 niên hiệu Cảnh Hưng, thì tự xưng là thiên vương, đặt niên hiệu là Thái Đức; năm Canh Tý (1780) lại xưng hoàng đế, lập Quang Thiệu làm thái tử.
迨癸丑岳殂，光绍立五年戊午而亡，凡二十有一年云。	Năm Quý sửu (1793), Nhạc mất, Thiệu lên nối ngôi, được năm năm, đến năm Mậu Ngọ (1798) thì mất nước, tất cả là 21 năm.
且说光缵既诛文忠，其女婿文质自疑，遂反。南入嘉定，投降皇朝，命管御林军。	Lại nói, sau khi Văn Trung bị Quang Toản giết, con rể Trung là Chất nghi ngờ, sợ hãi, bèn phản Tây Sơn, vào Nam đầu hàng chúa Nguyễn ở Gia Định. Chúa Nguyễn cho coi quân ngự lâm.
初，质事光缵以攻伐，显官至大都督。	Nguyên lúc đầu, Chất thờ Quang Toản, giỏi về tài đánh dẹp, làm đến chức đại đô đốc.
及文忠死，质弃军而逃。	Đến khi Văn Trung chết, Chất bỏ quân lính chạy trốn.
太府旻恐其为乱，索之太急。	Thái phủ Mân sợ Chất làm loạn, liền lùng bắt rất gấp.
有义奴假妆文质模样，自死于山溪中，以绝追索。	Chất có người đày tớ nghĩa hiệp hoá trang như hình dáng của Chất, rồi tự tử ở khe núi, để cho Mân thôi, không lùng bắt Chất nữa.
未几，旻知其诈，命悬赏大索之。	Chẳng bao lâu, Mân biết là giả dối, bèn treo giải thưởng truy lùng Chất hết sức ráo riết.
质不得已，诣旻军门降。	Chất bất đắc dĩ phải ra thú ở cửa quan của Mân.
旻即命掌前锋军，以待差派，将欲以军律诛之。	Mân liền sai Chất coi toán quân tiền phong, để chờ sai phái, và định bụng dùng quân luật mà giết chết.
质知其意，乃谕其将校以兵象南向，具表请降。	Chất biết ý ấy, bèn dỗ bọn tướng tá của y, gồm sáu mươi người, đem quân và voi vào Nam, dâng biểu xin hàng.
后奉命帅师与旻挑战。	Sau Chất vâng mệnh chúa Nguyễn đem quân đánh nhau với Mân.
旻率大败，走入山林遁迹，其兵象器甲皆为质所获。	Quân Mân thua to, Mân phải chạy vào núi rừng mà trốn; quân, voi, khí giới đều bị Chất thu sạch.
光缵闻报，复令大司徒武俊将兵来镇，招集溃军以守之。	Quang Toản nghe tin, lại sai đại tư đồ Vũ Tuấn dẫn binh tới trấn, chiêu tập tàn quân để đóng giữ.
迨庚申间，官军驾海来征。俊力不能支，乃以城降。	Đến năm Canh Thân (1800), quân chúa Nguyễn vượt biển ra đánh, sức Tuấn chống không nổi, dâng thành xin hàng.
因改归仁为平定镇，敕令掌后军；性郡公阮廷性以兵留守，礼部尚书吴从图协镇守。	Chúa Nguyễn bèn đổi thành Qui Nhơn làm trấn Bình Định, sai quan coi hậu quân là Tính quận công Võ Đình Tính (cũng thường gọi là Võ Tính) đem quân đóng giữ, còn thượng thư bộ Lễ là Ngô Tòng Chu thì làm chức hiệp trấn.
数月，光缵令统率耀与司徒勇，督诸道水步军入寇，耀将步兵，勇将水兵合战。	Được vài tháng, Quang Toản sai thống suất Diệu và tư đồ Dũng đốc suất các đạo quân thuỷ bộ vào đánh Qui Nhơn. Diệu coi quân bộ, Dũng coi quân thuỷ, hai đạo hợp sức mà đánh.
官军悉力拒守，耀等不能克，勇于是乃驾大舰三艘，塞归仁海门，上设楼栅，列巨铳，内环以战船数百艘，督水军守之，以防外援。	Quân Nguyễn hết sức chống giữ bọn Diệu không thể đánh thắng. Dũng bèn dùng ba chiếc tàu chiến lớn, chặn ngang cửa biển Qui Nhơn, trên tàu lập chòi gác, đặt súng lớn; phía trong lại dàn quanh vài trăm chiếc chiến thuyền, đốc thúc quân thuỷ canh giữ đề phòng quân cứu viện ở ngoài đến.
次年为官军所破，大舰与战船尽被烧毁。	Năm sau, bị quân Nguyễn đánh tan, tàu lớn và chiến thuyền đều bị thiêu huỷ.
勇登陆引溃军而走，与耀相会。	Dũng lên bộ, dẫn tàn quân mà chạy, rồi hợp quân với Diệu.
西人既失水道，遂坚筑归仁城，四围土垒土山对射，城中又多竖屯栅，储积军粮，为久留计。	Quân Tây Sơn đã mất đường thuỷ, bèn đắp luỹ đất, ụ đất ở xung quanh thành Qui Nhơn, để đứng trên đó mà bắn vào thành; lại lập nhiều đồn trại kiên cố, chứa chất quân lương, làm kế ở lâu.
而官军防守绝深密，耀等攻城不拔，光缵深以为忧。	Nhưng quân Nguyễn canh giữ rất cẩn mật, bọn Diệu không sao hạ được thành. Quang Toản rất lấy làm lo.
是时，又有西洋爷苏道长在本国者，尽行遍谕诸道徒作乱，所在蜂起。	Lúc ấy lại có bọn cha cố của đạo Gia tô tây dương (tiếng dùng để gọi các nước phương Tây nói chung) ở trong nước Nam, đi khắp nơi dụ các đạo đồ làm loạn.
光缵命捕其长者诛之，撤其讲堂，毁其像影，焚其西书。	Các nơi nổi lên như ong, Quang Toản liền sai bắt bọn trùm trưởng của họ đem giết chết, rồi triệt hạ các nhà giảng, phá huỷ các ảnh tượng và đốt các sách tây của họ.
获其徒者，即令踏影放释；不肯者充给象军，以供刊草。	Hễ bắt được đồ đảng của họ, lại bắt phải giẫm chân lên ảnh thì mới tha, ai không chịu thì bắt sung quân nuôi voi, cắt cỏ cho voi ăn.
愤怨者转相驱煽，处处骚动；而官军比岁攻取，声势震薄。	Bởi thế, giáo dân tức giận, càng xui giục lẫn nhau, đâu đâu cũng đều náo động. Còn quân nhà Nguyễn thì hàng năm ra đánh, thanh thế lừng lẫy.
诸镇人民，每因南风起，辄相告曰：「旧主出矣！」	Mỗi khi gió nam nổi lên, thì nhân dân các trấn lại nói với nhau: "Chúa cũ ra đấy!"
于是国朝以归仁西人之健将精卒皆聚于此。	(bấy giờ hàng năm cứ đến khoảng tháng 4, tháng 5 khi gió nam thổi mạnh thì Nguyễn ánh đốc quân thuỷ bộ ra đánh, đến lúc có gió mùa đông bắc thổi thì lại rút quân về. Người đương thời thường gọi những đợt tấn công như vậy là những trận "giặc mùa". Bọn sĩ phu phản động chống Tây Sơn và ngả theo Nguyễn ánh mới nhân đó, đặt ra câu ca dao: Lạy trời cho chóng gió nồm, Cho thuyền chúa Nguyễn thuận buồm trẩy ra).
而光缵在富春城守备，闻报，复大举水军，战舰千余艘，刻日乘南风驾海北出。	Lúc đó, nhà Nguyễn cho rằng tướng mạnh và quân tinh nhuệ của Tây Sơn đều tụ họp cả ở Qui Nhơn mà Quang Toản ở thành Phú Xuân thì quân lính phòng giữ rất yếu ớt, bèn đốc suất hết thuỷ quân và trên một ngàn chiến thuyền, hẹn ngày thuận theo gió nam vượt biển ra phía bắc.
旌旗耀日，金鼓喧天，直抵堧海门攻之。	Cờ quạt chói nắng, chiêng trống vang trời, xông thẳng vào đánh cửa Thuận An.
西将驸马治悉众捍守，不能抵敌，遂溃。	Tướng Tây Sơn là phò mã Trị đem hết quân lính chống giữ, địch không nổi, phải tan vỡ.
光缵得报，复悉众自将而下，与官军拒战，日向中，大败而溃。	Quang Toản nghe tin, lại đốc hết tướng sĩ, tự mình cầm quân tới đánh nhau với quân Nguyễn. Gần trưa, quân Toản đại bại, vỡ chạy tan tác.
官军遂进复都城。	Quân chúa Nguyễn bèn tiến lên, chiếm lại đô thành.
时辛酉岁夏五月初三日，皇朝世祖高皇帝摄政之二十有四年也。	Hôm đó nhằm vào ngày mùng 3 tháng năm, mùa hè năm Tân dậu (1801), tức là năm thứ 24, kể từ khi chúa Nguyễn Ánh quyền giữ việc nước.
且说光缵既溃，仓皇失措，即变服与从臣数人乘驿北走。	Sau khi thua trận, Quang Toản rụng rời hoảng hốt, liền thay đổi đồ mặc, cùng vài người quan hầu, cưỡi ngựa chạy trạm, chạy ra miền Bắc.
至乂安留数日，复如升龙，会将卒据守。	Đến Nghệ An ở lại vài ngày, rồi lại ra Thăng Long hội họp tướng sĩ, lo việc chống giữ.
夏六月，乂安镇守阮慎，忽报三层龙楼无故自倒，闻者皆以为不祥之兆焉。	Tháng sáu mùa hè năm ấy, thình lình viên trấn thủ Nghệ An là Nguyễn Thận sai người báo tin lầu Rồng ba tầng ở đấy tự dưng đổ sụp. Những người nghe tin đều cho là điềm chẳng lành.
迨秋初，典军祥光侯，调拨端玉侯，奉旨领军，出香山及镇宁两路攻捣，以扰乂安。	Sang đầu mùa thu, quan nhà Nguyễn là Tường quang hầu cùng Thuỵ ngọc hầu vâng chỉ đem quân theo hai đường Hương Sơn và Trấn Ninh ra đánh, để quấy rối trấn Nghệ An.
阮慎遣将攻之，西人累败。	Nguyễn Thận sai tướng đón đánh, quân của Thận luôn bị thua.
数日，祥光侯以雨潦难久留，乃将旧船碇香山江口，首尾缚草为兵，被甲执战，船中各点灯数堞，以疑西军；而乘夜率本部兵，以轻舟顺流东下出南界海门，望洋南还。	Sau vài ngày, Tường quang hầu vì lũ lụt không thể ở lâu, bèn đem thuyền cũ cắm ở cửa sông vùng Hương Sơn, đầu và đuôi thuyền bện cỏ làm hình quân lính, cho mặc áo giáp cầm kích, trong thuyền đắp vài đĩa đèn để cho quân Tây Sơn nghi ngờ, rồi nhân lúc đêm tối đem quân bản bộ cưỡi thuyền nhẹ xuôi dòng xuống phía đông, ra cửa Nam Giới, vượt biển mà về Nam.
及西人知之，则已去二日矣！	Đến khi quân Tây Sơn biết thì quân của Tường quang hầu đã đi được hai ngày rồi.
端玉侯亦自镇宁敛众，从上道回京师。	Thuỵ ngọc hầu cũng từ Trấn Ninh rút quân theo đường mạn ngược mà về kinh sư.
八月日，光缵在升龙下谕文慰抚列镇军民，改伪号宝兴元年。	Ngày tháng tám năm ấy (1801), Quang Toản ở Thăng Long, xuống tờ dụ vỗ về quân dân các trấn, và đổi niên hiệu Cảnh Thịnh làm năm đầu niên hiệu Bảo Hưng.
冬十有一月，复以海阳、山西、山南、北宁四镇与清化、乂安兵象，自将入寇，为官军所败，以不利复引还。	Tháng mười một mùa đông năm ấy, Quang Toản thân hành đem quân và voi của bốn trấn Hải Dương, Sơn Tây, Sơn Nam, Kinh Bắc và hai trấn Thanh Hóa, Nghệ An vào đánh, nhưng bị quân nhà Nguyễn đánh thua, lại phải rút về. Mùa xuân năm Nhâm Tuất (1802), quân nhà Nguyễn qua sông Gianh tiến đánh hạ được đồn Tâm Hiệu thuộc châu Bố Chánh.
往壬戍春，官军渡大氵霝江进攻布政、三校屯，拔之；西戍兵溃走，还奇英之河中营。	Quân Tây Sơn tan vỡ, chạy về doanh Hà Trung trong hạt Kỳ Anh.
夏五月，皇朝诏改元嘉隆元年，腾谕南北两河军民知会：原自景兴四十九年丙午以后，国朝但用故黎年号。	Tháng năm mùa hè năm ấy (1802), chúa Nguyễn hạ chiếu đổi niên hiệu làm năm đầu niên hiệu Gia Long, ban tờ dụ ra cho quân dân Nam Hà, Bắc Hà đều biết. Nguyên từ năm 49 niên hiệu Cảnh Hưng, tức là từ năm Bính Ngọ (1786) trở về sau, nhà Nguyễn vẫn dùng niên hiệu cũ của nhà Lê.
其是年以前，犹称景兴六十三年，至是始改称嘉隆元年也。	Năm Nhâm Tuất (1802) này, lúc đầu cũng vẫn còn gọi là năm Cảnh Hưng, đến bây giờ mới đổi ra niên hiệu mới.
是月，归仁城中食尽，官军皆饥疲，参赞吴从周先饮药卒，性郡公自焚于火。	Bấy giờ, trong thành Qui Nhơn hết ăn, quan quân đều đói mệt. Viên tham tán là Ngô Tòng Chu uống thuốc độc chết trước. Tính quận công cũng tự đốt mà chết.
将士数万人，尽出城降于耀，耀受之。	Tướng sĩ hơn vài vạn người đều ra thành xin đầu hàng. Diệu bằng lòng nhận cho hàng.
既入城，即与将佐合谋，将还寇京城。	Sau khi vào thành, Diệu lập tức bàn với bọn tướng tá đem quân về đánh kinh thành (Phú Xuân (Huế - Bình Trị Thiên)).
数日引军出归仁界，为副将得禄所阻。	Qua vài ngày, Diệu đem quân ra khỏi địa giới trấn Qui Nhơn thì bị viên phó tướng của nhà Nguyễn là Đắc lộc hầu chặn lại.
原去年克复京城后，得禄侯钦命至此设屯树栅，以遏其冲。	Nguyên từ năm ngoái, sau khi nhà Nguyễn lấy lại kinh thành, liền sai Đắc lộc hầu tới đó lập đồn cắm trại để ngăn chặn sự tiến công của quân Tây Sơn.
至是耀引兵还，至此攻之，半日不能克。	Lúc ấy, Diệu đem quân về qua đó, đánh phá hàng nửa ngày mà không thể hạ được.
耀众为官军所射，死伤相枕，莫如之何；乃以兵象开山取路，入哀牢界，谋出乂安。	Quân Diệu bị quân nhà Nguyễn bắn sang, người chết và người bị thương gối nhau mà nằm. Diệu chẳng biết làm thế nào, bèn đem quân và voi dọn núi mở đường đi vào địa giới nước Ai Lao, định ra Nghệ An.
于是朝廷闻报，即命部分诸将各领水步诸军刻日北出。	Chúa Nguyễn nghe tin, lập tức cắt đặt các tướng, thống lĩnh các đạo quân thuỷ bộ, hẹn ngày kéo ra Bắc.
是月二十八日，水军至乂安丹崖海门，进攻群木堡，破之。	Ngày 28 tháng năm, quân thuỷ của nhà Nguyễn đi tới cửa biển Đan Nhai thuộc trấn Nghệ An, tiến đánh và phá được đồn Quần Mộc.
步军继至青龙江南，发大炮三声，师渡北岸。	Quân bộ cũng tiến đến phía nam sông Thanh Long, nổ ba tiếng súng rồi vượt sang bờ phía Bắc.
于是水步齐进，西兵惊乱溃走，官军进夺麒麟仓粟，大张旗帜。	Hai mặt thuỷ bộ đều tiến công, quân Tây Sơn kinh sợ, bỏ chạy tán loạn. Quân nhà Nguyễn bèn xông lên cướp kho thóc Kỳ Lân, rồi kéo cờ phấp phới.
西镇守阮慎、协镇阮沾，与水军统领代少尉滕弃城北走里屯，沾自缢，慎走清化，官军遂克乂安城。	Viên trấn thủ của Tây Sơn là Nguyễn Thận cùng với hiệp trấn Nguyễn Triêm, thống lĩnh Đại, thiếu uý Đằng bỏ thành chạy ra miền Bắc. Đến đồn Tiên Lý, Triêm tự thắt cổ; còn Thận chạy ra trấn Thanh Hóa. Thế là quân nhà Nguyễn lấy được thành Nghệ An.
阮耀自归合下至香山界，首闻乂安溃，遂过清漳渡青龙江，由南塘上路，走出清化，其带随将士渐渐散去。	Diệu ở Qui Hợp xuống đến địa phận Hương Sơn thì nghe tin Nghệ An đã tan vỡ, bèn đến Thanh Chương, qua sông Thanh Long, do đường phía trên huyện Nam đường chạy ra trấn Thanh Hóa. Tướng sĩ đi theo Diệu dần dần tản mát mỗi người một nơi.
官军追之，遂生获。	Quân nhà Nguyễn đuổi theo, bắt sống được Diệu.
六月日，进攻清化城，光缵弟督镇盘及慎、藤等皆降。	Ngày tháng sáu, quân nhà Nguyễn tiến đánh thành Thanh Hóa. Em Quang Toản là đốc trấn Bàn cùng bọn Thận, Đằng đều đầu hàng.
十八日驾至升龙城，敕诸军进攻，西兵大溃。	Ngày 18, vua Gia Long tiến ra Thăng Long, truyền lệnh cho các quân đánh thành, quân Tây Sơn hoàn toàn tan vỡ.
光缵弃城，与其弟垂及都督秀等渡珥河北走，垂自缢，秀及其妻亦自缢。	Quang Toản bỏ thành cùng với em là Quang Thuỳ và bọn đô đốc Tú qua sông Nhĩ Hà chạy về hướng bắc. Sau, Thuỳ và vợ chồng Tú đều tự thắt cổ.
光缵及话臣皆为北宁土豪所获，槛送军前。	Còn Quang Toản cùng các bề tôi thì đều bị thổ hào Kinh Bắc bắt được đóng cũi đưa đến trước cửa quân.
其诸镇官吏，或遁或降，无敢抗者，于是西贼悉平。	Bọn quan lại ở các trấn hoặc trốn, hoặc hàng, không một ai dám chống lại. Quân Tây Sơn đến đấy là hoàn toàn bị dẹp tan.
驾驻升龙城下，诏安集，分设列镇文武官吏。复降旨召故黎文武耆老，询以北河事宜。蠲赋役，革烦苛。照西人常行簿，每七丁拣一兵，设五营、十奇等军号。	Vua Gia Long ở lại thành Thăng Long, hạ chiếu kêu gọi nhân dân yên ổn làm ăn, chia đặt quan văn, quan võ ở các trấn: lại vời các quan văn, võ nhà Lê và các bậc kỳ lão, hỏi về công việc ở Bắc Hà; tha bớt thuế khoá, phu phen, bãi bỏ mọi sự phiền hà, chiếu theo sổ đinh cũ của nhà Tây Sơn cứ bảy suất đinh kén một người lính, rồi lập ra các quân năm doanh và mười cơ.
数月车驾还京，备礼告庙、献俘，将光缵及诸臣大加显戮，布告通国。	Vài tháng sau, vua Gia Long về kinh đô Phú Xuân, sửa lễ cáo miếu dâng tù, đem bọn vua tôi Quang Toản ra dùng cực hình giết chết, rồi bố cáo cho khắp cả nước đều biết (theo Đại nam thực lục chính biên, thì Quang Toản cùng những người con khác của anh em Nhạc, Huệ đều bị Gia Long sai dùng cực hình 5 voi xé xác để giết chết. Còn Huệ, Nhạc cũng bị trả thù rất dã man: Mồ mả bị khai quật, hài cốt bị giã nát vứt đi; đầu lâu của Nhạc, Huệ, Toản và mộc chủ của vợ chồng Nguyễn Huệ đều bị giam ở nhà Đồ Ngoại, sau lại đưa vào cấm vố vĩnh viễn trong ngục thất).
自此北南大定，海宇攸同，而大一统于万世矣！	Từ đấy Nam, Bắc yên vui, cõi bờ chung hiệp, cơ đồ sẽ thống nhất muôn đời vậy.
却说自故黎太母之入清燕京也，居安南西营凡四年，而元孙卒。五年而黎帝崩。	Lại nói, từ khi thái hậu nhà Lê chạy sang Yên Kinh, ở tại "Tây An Nam doanh" được bốn năm thì cháu đầu (tức con trai cả của Chiêu Thống) mất, năm năm thì vua Lê mất.
从亡诸臣，皆被和珅等分处别所，惟太母与维康留燕耳。	Những người đi theo đều bị Hoà Khôn đưa đi các nơi khác, chỉ còn thái hậu và Duy Khang ở lại Yên Kinh mà thôi.
他乡故国，万绪离愁；春雨秋霜，几回永慨。	Tấc lòng cố quốc tha hương, tơ sầu muôn mối; mưa xuân sương thu, mấy độ thở than.
与侍御诸臣每欲上表还本国。但为西贼蟠据，含愁而已。	Thái hậu với các thị thần thường muốn dâng biểu xin về nước, nhưng vì đất nước đang bị Tây Sơn chiếm cứ, lại đành phải ngậm sầu mà thôi.
嘉庆四年，已未冬十月十一日，太母以忧闷病，崩于安南营。	Ngày 11 tháng mười, mùa đông năm thứ tư, niên hiệu Gia Khánh nhà Thanh, tức là năm Kỷ vị (1799), thái hậu lo buồn thành bệnh, mất ở "Tây An Nam doanh".
清帝降旨遣礼臣治丧，权殡于故君陵所。	Vua Thanh giáng chỉ sai quan bộ Lễ trông coi việc tang, và đem di hài quàn tạm ở cạnh lăng vua Chiêu Thống.
