第十一回。	Hồi thứ mười một.
上召俧谓曰：「卿言正合朕意。	Vua vời Chí tới và bảo: - Ngươi nói rất hợp ý ta.
去多朕委价弟亲臣奉太后驾之高平，密旨督同阮辉宿，使之以义激动，结藩将集边兵。	Mùa đông năm ngoái, ta sai hoàng đệ và các hoàng thân hầu thái hậu lên Cao Bằng, có đưa mật chỉ cho viên đốc đồng Nguyễn Huy Túc, dặn y dùng lời nghĩa khí khích động lòng người, liên kết bọn phiên tướng, tụ tập quân biên cương, cũng là sắp sẵn cho việc ấy.
盖已预为之地，独谅山未有所使。」	Nhưng còn Lạng Sơn thì ta chưa sai ai đi.
俧对曰：「昔景兴丁酉，臣先父奉诏建节于谅，宣示威德，还集流移，亡州之民，至今遗爱。	Chí tâu: - Trước kia, khoảng năm Đinh Dậu (1777), niên hiệu Cảnh Hưng, cha thần đã vâng chiếu lên làm trấn thủ xứ Lạng Sơn, để tuyên bố uy đức của triều đình và chiêu tập những kẻ lưu vong. Nhân dân bảy châu, đến nay vẫn còn mến yêu.
臣请往谕之，因以事报宿奏闻太后，约期率师以迎乘舆，一举而两得也。」	Thần xin lên đó, vâng chỉ chiêu dụ, nhân dịp báo tin cho Túc, tâu với thái hậu, hẹn ngày ra quân để đón xa giá. Thế là một chuyến đi mà được cả hai việc.
帝称善，乃命俧往。	Vua Lê khen là phải rồi cho Chí đi.
行至凤眼，会病发不能进，道表请假日医治。	Chí mới đến huyện Phượng Nhãn thì phát bệnh, không thể đi tiếp, liền gửi tờ biểu về xin nghỉ ít hôm để điều trị.
乃赐白金十两以供药需。	Vua bèn cho mười nén bạc để chi về việc thuốc thang.
俧谢表有曰：「危险中志叶议从，难得此千载君臣之遇，彝伦处分谐情笃，不啻如一家父子之亲。	Trong lời biểu của Chí gửi về tạ ơn vua, có đoạn viết: "Gặp cơn nguy biến, chí hợp mà tâm đồng; nghĩa vua tôi ngàn năm mới gặp; trong đạo luân thường, phận ưa mà tình nặng; tình cha con một nhà khác chi? Nay gặp buổi quốc gia còn lắm nạn; chính là khi thần tử phải quên mình.
方国家多事之秋，正臣子捐躯之日，敢牵情而自爱，愿乘疾以兼行。」	Dám đâu vì việc riêng mà tiếc thân; nguyện sẽ đeo bệnh tật để dấn bước".
帝为之感动。	Vua xem tờ biểu lấy làm cảm động.
会廷玙、允励等，使人赍密表言：「东岸金华、武江、桂阳等地方，人情无不愤激。	Vừa lúc đó, bọn Đình Dư, Doãn Lệ sai người đưa tờ mật biểu tới nói rằng: "Các vùng Đông Ngàn, Kim Hoa, Võ Giàng, Quế Dương (nay đều thuộc Hà Bắc; riêng Kim Hoa sau đổi là Kim Anh nay thuộc Vĩnh Phú và một phần nhập vào huyện Sóc Sơn thuộc Hà Nội), lòng người đâu đâu cũng căm tức.
臣等奉宣诏谕诸豪目，皆愿以兵勤王，伏请驾还京北，使彼等得以进谒，面蒙圣谕，归各相告，人谁不从，扶驾出邑于此地方，天下之人，咸仰天日。	Bọn thần đã tuyên lời chiếu dụ, các hào mục đều xin dấy quân cần vương. Cúi xin xa giá trở về Kinh Bắc, để cho bọn họ được vào yết kiến. Rồi nhân đó, bệ hạ ban lời dụ trước mặt họ cho họ về nói lại với nhau, như vậy ai mà không theo? Khi đã phò giá về đóng ở đấy, thì người trong thiên hạ đều được trông thấy mặt trời.
廷简前往山西，文璘前往山南，亦得遥仗威声，以兵来会，何必远之谅山，城域隔阻，窃恐连延岁月，坐失事机，舍近谋远，非计之得也。」	Đình Giản trước đây đi Sơn Tây, Tôn Lân trước đây đi Sơn Nam, cũng được xa nhờ tiếng tăm, uy linh của nhà vua mà đem quân về họp. Hà tất phải lên Lạng Sơn, là nơi bờ cõi xa xôi cách trở? Bọn thần e rằng cứ nấn ná ngày tháng sẽ làm lỡ mất cơ hội, rồi lại bỏ chỗ gần mà lo chỗ xa, thì thật là thất sách!".
帝以为然。	Vua Lê cho lời ấy là phải.
武桢请驾良才之春莲，桢父<木昭>表进白金二百两，以为军需。	Vũ Trinh mời nhà vua về làng Xuân Liên, huyện Lang Tài (nay sáp nhập với huyện Gia Bình thành huyện Gia Lương). Cha Vũ Trinh là Vũ Chiêu làm tờ biểu xin dâng hai trăm lạng bạc để tiêu vào việc quân.
帝纳之，遂以<木昭>第为行在焉。	Vua nhận số bạc ấy, bèn dùng nhà Chiêu làm nơi hành tại.
却说初北平王之遣武文任北侵也，业有成命，而心颇疑之。使吴文楚、潘文璘等参赞军务，以分其权，密谓楚曰：「任兄王婿也，我与兄王有隙，彼心必不自安是行也。	Lại nói, khi Bắc bình vương sai Võ Văn Nhậm ra đánh đất Bắc, vốn do mệnh lệnh đã định từ trước, nhưng trong bụng cũng hơi nghi ngờ Nhậm, bèn sai bọn Ngô Văn Sở, Phan Văn Lân làm tham tán quân vụ để chia bớt quyền của Nhậm. Bắc bình vương lại bảo riêng với Sở rằng: "Nhậm là con rể vua anh. Nay ta với vua anh có sự xích mích, lòng y chắc cũng không yên.
握重兵以入人国，事变不可逆料。	Chuyến này y cầm trọng binh vào nước người, sự biến không thể liệu trước được.
我今所虑，不在北河，只在任耳！	Nay ta không lo Bắc Hà mà chỉ lo về Nhậm mà thôi.
汝宜察之于微，速以告我，啻之火然，扑之于始焰时，则易为也。」	Ngươi nên xem xét từng ly từng tý, hễ có gì thì phải gấp rút báo cho ta biết. Ví như lửa cháy, dập tắt từ khi mới bén thì dễ dàng hơn".
及任乘胜北驱，如升虚邑，无一人敢拒之者，遂洋洋自得。	Lúc Nhậm thừa thắng kéo xe ra Bắc, như vào làng bỏ trống, không một người nào dám chống cự. Nhậm có vẻ dương dương tự đắc.
及俘有整，自谓威武足以服人，区处北河，亦无甚难事。	Kịp khi bắt sống được Nguyễn Hữu Chỉnh, Nhậm tự cho là uy vũ của mình đủ khiến người ta phải phục, khu xử việc Bắc Hà không có gì khó.
闻帝北走依玲，即贻书责以献帝，而召尊室文武，令就军门等候，颐指气使，莫敢谁何。	Khi nghe vua Lê chạy sang phía bắc, nương tựa vào Nguyễn Trọng Linh, Nhậm liền tức tốc gửi thư bắt buộc Linh phải đem vua Lê ra nộp. Nhậm lại cho đòi các người trong tôn thất và các quan văn võ phải đến cửa quân chờ hầu; thường dùng cách hất hàm, đưa mắt, dùng bộ điệu, khí sắc để sai khiến mọi người mà chẳng ai dám làm gì.
已而玲不来，诸臣卒无至者。	Thế nhưng, rốt cuộc Nguyễn Trọng Linh vẫn không đến, các viên quan có thế lực cũng chẳng có ai tới.
光珠在京北，曰选在山南，丁壤在海阳，拥兵雄据，声言不日四集都下，与任决战。	Trần Quang Châu ở Kinh Bắc. Nguyễn Viết Tuyển ở Sơn Nam, Đinh Tích Nhưỡng ở Hải Dương, ai nấy cầm quân giữ đất và nói phao lên rằng, chẳng bao lâu, bốn phía sẽ nhòm về kinh đô, cùng Nhậm quyết chiến.
西兵有出城者，辄为豪民所歼，群盗亦处处并起，烽火相通。	Rồi đó, hễ quân Tây Sơn có tên nào ra khỏi thành là bị bọn thổ hào giết chết. Giặc cướp cũng nhân dịp nổi lên khắp nơi, khói lửa liên tiếp.
任于是始有惧意，乃大发环畿民丁，修大罗城，日夜督筑，不少休息，至有负土而仆者，疲劳饥渴，人皆恶之。	Lúc bấy giờ Nhậm mới có ý sợ, liền bắt hết nhân dân quanh vùng kinh kỳ đắp lại thành Đại La. Ngày đêm đốc thúc, không cho nghỉ ngơi chút nào, đến nỗi có người đang đội đất mà ngã sấp xuống. Làm lụng mệt nhọc, đói khát, ai cũng ta oán.
或言珠已潜入城中为内应，约选以舟师溯河为外应。	Khi ấy, có người đồn rằng: Trần Quang Châu đã lẻn vào trong thành làm nội ứng, hẹn Nguyễn Viết Tuyển đem binh thuyền ngược dòng sông Nhĩ Hà đi lên để làm ngoại ứng.
任乃令大索京城坊庸，寄寓诸人悉斩之。	Nhậm bèn hạ lệnh lùng khắp kinh sư, những người ở trọ trong các phố phường đều đem chém chết.
楚曰：「我内自坚，何惧于彼？	Ngô Văn Sở nói: - Mình cứ vững dạ, có lo gì họ?
我先自挠，何以镇人？	Nếu mình tự bối rối trước, thì còn trấn áp được ai?
不如释之，以安众心。」	Chi bằng tha họ cho yên lòng dân.
任不听。	Nhưng Nhậm không nghe.
会有嘉林机舍人自称黎氏詹事陈廷魁者，诣求见任。	Vừa lúc ấy có người ở làng Cơ Xá, huyện Gia Lâm, tự xưng là Trần Đình Khôi làm chức thiêm sự của nhà Lê, xin vào yết kiến.
任延入，问曰：「整以亡命之人，窃取高位，肆虐于民，天下无不愤怨！	Nhậm cho mời vào và hỏi: - Nguyễn Hữu Chỉnh là kẻ vong mạng, lấy trộm ngôi cao, tàn hại nhân dân, thiên hạ ai cũng căm giận.
北河谋诛之不克，又为所害，我为除之，宜以为德，何以召之而不至也？」	Người Bắc Hà mưu đồ đánh hắn mà không được, trở lại bị hắn làm hại. Nay ta trừ hắn đi cho, đáng lẽ ơn ta mới phải, sao ta vời mà không ai đến?
魁曰：「公能制胜千里，岂不明烛群情？	Khôi đáp: - Ông có tài quyết thắng ở ngoài ngàn dặm, lẽ nào lại không xét rõ tình người?
北河怨整虽深，而思黎之心未释。	Người Bắc Hà dù oán Chỉnh rất sâu, mà lòng nhớ nhà Lê chưa nguôi.
见公诛整，远近固已喜悦，但未议及扶黎事，是以皇皇顾望，未敢至耳！	Họ thấy ông giết Chỉnh, xa gần cũng đã mừng rỡ, nhưng vì ông chưa bàn gì đến việc phò Lê, nên người ta bàng hoàng trông ngóng, chưa dám đến vội. Nay tự quân đã bỏ nước mà đi, không có lẽ còn quay trở lại. Có Sùng nhượng công Lê Duy Cận, lúc tiên đế còn sống, đã chính vị làm đông cung, sau gặp việc biến cố năm Nhâm Dần (1782), mới bị kiêu binh truất bỏ. Nếu ông khôi phục ngôi đó cho Sùng nhượng công để tạm coi việc nước, rồi đem việc ấy bá cáo khắp trong ngoài, yết một mảnh giấy ở cửa Đại Hưng, thì chẳng bao lâu các quan văn võ sẽ đến họp cả. Lúc bấy giờ việc thiên hạ ai cũng phải nghe ông, ông xoay vần dễ như trở bàn tay, lo gì mà không xong xuôi?
嗣君去国，诚无可复之理。	Nhậm gật đầu nói: - Ông nói rất có lý. Ví như mổ trâu, cắt đúng đường gân khớp xương thì các thớ thịt sẽ đứt cả, không khó nhọc gì. Rồi đó, Nhậm bèn sai mời Sùng nhượng công vào phủ, lấy lễ thượng khách mà tiếp đãi và bảo rằng: - Thiên hạ vốn là thiên hạ của nhà Lê. Tự hoàng bỏ nước mà đi, trong nước không có ai làm chủ. Ông là thái tử cũ, đã có mệnh vua từ trước. Bây giờ ở ngôi ấy, ngoài ông ra thì còn ai nữa? Sùng nhượng công nói: - Nước mọn này mất cả giường mối, nhờ ơn thượng công (chỉ Nguyễn Huệ) đã gây dựng lại cho. Nhưng trời chưa thôi vạ, tự hoàng thơ ấu, bị tên loạn thần làm lầm lỡ, phải chuốc lấy sự bại vong. Nay chúa công (chỉ Võ Văn Nhậm) không nỡ bỏ, lại lo nối lại cái dòng đã đứt, đó là điều may lớn cho nước mọn này.
今有祟让公黎维礻堇，先帝在时，已正位东宫；壬寅之变，为骄兵祈废。	Chỉ hiềm tôi là người không có đức, nếu được lạm giữ ngôi ấy, thì công việc chỉnh đốn phen này, cũng xin nhờ chúa công giúp đỡ cho, may ra mới có thể tự lập được. Nhậm cười mà rằng: - Ông hãy cứ làm, không cần lo xa. Có tôi ở đây, bọn gian hùng dù muốn hại ông, cũng quyết phải sợ mà không dám hành động. Đợi khi thượng công ra đây, tôi xin nói giúp ông, ông sẽ được lên ngôi vua thật sự. Sùng nhượng công nghe nói, mừng lắm, bèn sắm sửa lễ vật tới yết nhà Thái miếu, rồi vào ở trong gian nhà phía tả điện Cần chính, và cho Khôi đi tìm tất cả các quan đến để bàn việc. Trước hết, Khôi tới nhà Lê Phiên. Phiên mắng rằng: - Vua phải chạy đã không đi theo, lại theo người ta mà lập vua khác. Lời nói ấy sao còn đến tai ta làm gì? Rồi Phiên bỏ trốn lập tức.
	Khôi lại tới nhà viên tham tụng là Huy Bích.
	Bích từ chối không chịu gặp.
	Sùng nhượng công bèn thảo tờ dụ các quan đại ý nói rằng: "Năm xưa đã nhường ngôi, quả không có lòng tham thiên hạ.
	Ngày nay tạm nắm quyền, chỉ mong giữ việc tế tự.
	Những ai hiểu cho ý đó, thì nên tới họp tại triều".
	Nhưng các quan văn, rốt cuộc chẳng một ai tới.
	Khôi liệu công việc chắc là không thành, bèn bàn tính với một người bạn.
公如复之，权监国事，明以因镇其地，作我长城，岂不壮哉！	Người ấy trả lời: - Anh nộp tiền để mua chút bằng sắc, triều không ngồi, tiệc không dự, mất nước không phải tội lỗi của anh, được nước không phải trách nhiệm của anh, chẳng qua anh muốn nhân lúc loạn lạc mưu đồ phú quí mà thôi. Nhưng Sùng nhượng công không phải món hàng lạ có thể buôn bán được, Văn Nhậm lại là kẻ dã tâm khó lòng tin cậy. Một mai Bắc bình vương đến, tai vạ thật là khó lường; mà sau này vua Chiêu thống trở về, anh cũng không có chỗ nào để dung thân nữa. Tục ngữ có câu: "Ở yên chẳng muốn, muốn chui đầu vào chum để mua vạ". Chính là nói hạng người như anh đó! Khôi sợ, bèn bỏ trốn. Sùng nhượng công ngồi trơ trong điện, chỉ có một vài hoàng thân và ba bốn tên võ biền, sớm tối ở chung với nhau; còn mọi công việc đều không đến tay. Hàng ngày hắn ta đi bộ đến phủ đường, chầu chực Văn Nhậm và hỏi cách xử trí, song Nhậm cũng chẳng biết xử trí ra sao. Người kinh thành thấy vậy, đều gọi hắn ta là "giám quốc lại mục" (viên thơ lại coi việc nước).
	Lại nói, Ngô Văn Sở từ khi nhận mật chỉ của Bắc bình vương và cùng Nhậm ra Bắc, lúc ở trong quân thường vẫn dùng lời nói ngọt nhử Nhậm, để ngầm dò ý.
	Đến lúc này, Sở bèn bảo Nhậm rằng: - Chúng tôi vâng mệnh theo ông đánh dẹp, giặc Chỉnh đã bị giết, nhưng dư đảng của y ở vùng đông nam vẫn chưa dẹp yên, vua Lê vẫn còn chạy trốn ở ngoài, mà các quan cũng đều lẩn tránh.
	Nay ông cho Sùng nhượng công làm giám quốc, nhưng tôi xem lão ấy chỉ là phường a dua không được tích sự gì, rốt cuộc chỉ là một cục thịt trong cái túi da, làm sao mà sai khiến được kẻ khác?
到那运动天下自有许多好事，堂堂作主，非我而谁？	Từ khi có nước Nam tới nay, triều đại thay đổi không biết là mấy lần rồi. Thiên hạ nào phải là của riêng ai. Liệu có thể lấy được thì cứ lấy đi, rồi đặt quan, chia chức để xây dựng phên giậu, làm cho tai mắt của mọi người đều được một phen đổi mới. Nếu có kẻ nào lấy trộm danh nghĩa (ý nói những kẻ mượn tiếng phò Lê) thì cứ bảo là giặc, rồi đem quân tới đánh, ai dám chống lại? Việc gì mà phải mượn đứa tôi đòi ngoài chợ trông coi việc nước, để hắn sắm vai ông chủ "tượng đất" trong vườn; còn mình thì cứ đóng mãi trong thành, làm tụi lính khách ở trọ nước ngoài? Nhậm nói: - Bọn Nhưỡng, Tuyển chẳng qua hơi tàn thoi thóp; nắm lấy cánh tay tự nhiên phải đến. Vả ta xem bọn bề tôi nhà Lê chẳng có mặt nào như Điền Đan nước Tề, Vân Trường nhà Hán (Điền Đan là người họ vua Tề đời Chiến quốc; Vân Trường tức tên tự của Quan Vũ, là bạn kết nghĩa của Lưu Bị thời Tam Quốc. Hai người đều có tài trong việc đánh dẹp và giúp nhà vua khôi phục đất nước); chẳng qua họ sợ binh oai của ta, nên sớm chiều dùng dắng đó thôi. Nếu ta hạ một cái bảng, hẹn ngày phải tới cửa quân, không tới thì chém, chắc là chúng sẽ cởi áo mang roi đến xin chịu tội.
何以客为？」	Điều đó không phải là việc đáng lo. Chỉ vì lòng người đất Bắc còn nhớ họ Lê, không thể không chiều theo lòng mong mỏi của mọi người. Mượn hắn ra làm pho tượng gỗ, là cốt để chia rẽ đồ đảng của Chiêu thống, và ràng buộc lòng dân Bắc Hà đó mà thôi. Chỗ đó không phải chỗ lũ các ông có thể biết được! Các ông khoẻ sức đánh trận, ta sẽ giao cho các ông chia đường tiến đánh, rồi giữ lấy đất, làm bức trường thành cho ta, há chẳng tốt ư? Đến lúc đó, cuộc thế xoay vần, tự nhiên có nhiều việc hay, đường đường làm chủ không phải ta thì còn ai? Cần gì mà phải làm khách?
文楚默然，无言而还，谓文麟曰：「节制侮人甚矣！	Sở im lặng ra về, rồi bảo với Lân rằng: - Lão tiết chế thật khinh người quá.
他甚么才德智略，敢以卒徒畜我！	Hắn có tài đức, trí lược gì mà dám coi bọn ta là tụi lính tráng?
看他自入城以来，做得甚事？	Xem hắn từ khi vào thành đến nay, đã làm được việc gì?
只要在急发民筑垒，扶维礻堇监国，皆是预为反计，以与我争衡，不知以贼整为戒，反欲效尤。	Thúc ép dân phải gấp rút đắp luỹ và phò Lê Duy Cận làm giám quốc, đều là sắp sẵn cái mưu làm phản, để hòng tranh giành với chủ ta. Đã không biết lấy giặc Chỉnh làm răn, trở lại muốn bắt chước nó.
他不要生却要死，可送他从整俱逝，以警其余。」	Không muốn sống lại muốn chết, thì cứ cho hắn đi theo Chỉnh, để răn những kẻ khác!
乃尽摘任所行，指为反状；引鳞证其事，密使人南还，告于北平王。	Sở bèn lượm lặt các việc làm của Nhậm, cho là tội trạng làm phản, lấy Lân làm chứng, rồi ngầm sai người về Nam báo với Bắc bình vương (theo Cương mục thì Nhậm có làm những việc trái phép, như tự đúc ấn chương, chuyên quyền trong việc cất nhắc, xếp đặt quan chức, v.v... Nhưng bên cạnh đó, Sở vốn có hiềm khích với Nhậm, nên đã dâng mật thư vu oan cho Nhậm làm phản).
王曰：「死哉武文任！	Bắc bình vương nói: - Thằng Võ Văn Nhậm đáng chết thật!
我固知其必反，果然。」	Ta vẫn biết hắn thế nào rồi cũng làm phản, quả nhiên không sai.
即下令北去，驱精壮步骑，日夜兼程，十余日，已抵升龙。	Tức thì Bắc bình vương hạ lệnh tiến ra Bắc, đốc thúc các quân bộ và quân kỵ mã ngày đêm đi gấp. Chừng hơn mười ngày, đến thành Thăng Long.
适漏下四鼓，任正在府中昏睡。	Bấy giờ đồng hồ vừa nhỏ giọt xuống đến trống canh tư, Nhậm đang ngủ say trong phủ.
楚嘱来人秘其事，不以告，密使人出城迎之。	Sở được tin, liền dặn người do Bắc bình vương sai đến phải giấu kín việc ấy, không được báo cho Nhậm biết; rồi sai người ngấm ngầm ra ngoài thành đón Bắc bình vương.
任家众左右皆不知觉。	Người nhà và người xung quanh Nhậm cũng đều không ai biết gì.
俄而北平王入，即其卧所，任犹未觉。	Chốc lát, Bắc bình vương vào thành, đến thẳng chỗ Nhậm nằm, Nhậm cũng vẫn chưa biết.
使武士黄文利手刃之，舁尸出府堂后。	Bắc bình vương liền sai võ sĩ là Hoàng Văn Lợi đâm chết Nhậm rồi khênh xác ra sau phủ đường (cũng theo Cương mục, lúc Nguyễn Huệ đến, Nhậm ra ngoài thành đón, Nguyễn Huệ liền nhường ngựa đang cưỡi và lọng che cho Nhậm vào thành, lại an ủi vỗ về ôn tồn. Sau đó, Nguyễn Huệ mới bắt Nhậm đem tra khảo và giết chết).
黎明传发，以楚为大司马，代领其众，军士始知之。	Mờ sáng, Bắc bình vương truyền lệnh cho Sở làm chức đại tư mã, thống lĩnh quân đội thay Nhậm, lúc đó quân lính mới biết.
是日设官分职，都督和义侯为山南镇守，雷光侯为山西镇守，月光侯为京北镇守，啖虎侯为海阳镇守，刑部觉和侯、户部正言侯、礼部约礼侯、刑部禄才侯并为叶镇，令各举所知，分置诸县。	Hôm ấy, Bắc bình vương cắt đặt lại quan chức: Đô đốc nghĩa hoà hầu làm trấn thủ trấn Sơn Nam; Lôi quang hầu (có bản chép Tuyết quang hầu) làm trấn thủ trấn Sơn Tây; Nguyệt quang hầu làm trấn thủ trấn Kinh Bắc; Hám hổ hầu (có bản chép Hô hổ hầu) làm trấn thủ trấn Hải Dương. Còn Giác hoà hầu coi giữ bộ Hình, chánh ngôn hầu coi bộ Hộ, Ước thiện hầu coi bộ Lễ, Lộc tài hầu coi bộ Lại, và đều kiêm nhiệm chức hiệp trấn.
武分率，文分知，外六镇听楚随才择使，禀给文凭，令各率所部兵就镇。	Bắc bình vương lại bảo họ tiến cử những người mà họ hiểu biết, chia ra cho làm quan ở các huyện. Võ thì chia ra chức suất, chức nội; văn thì chia ra chức tri, chức ngoại. Cả sáu trấn (theo Dụ am văn tập, dưới triều Tây Sơn, các trấn ở Bắc Hà được chia lại thành 7 nội trấn và 6 ngoại trấn. Đây là 6 ngoại trấn: Lạng Sơn, Cao Bằng, Tuyên Quang, Hưng Hoá, Thái Nguyên, Yên Quảng) đều do Sở tuỳ theo tài năng mà cắt đặt người, sau đó bẩm lên xin cấp văn bằng, rồi cho ai nấy lĩnh quân bản bộ về trấn của mình.
旨下仍以先皇帝第四子黎维礻堇监国，主祀事，悉召文武百官诣阙直礼部堂，听随礼官武文约引见。	Bắc bình vương lại hạ chỉ vẫn để con thứ tư của tiên hoàng nhà Lê là Lê Duy Cận làm giám quốc, coi việc tế tự, và cho đòi hết thảy các quan văn võ phải tới cửa khuyết, chực sẵn ở nhà bộ Lễ, rồi theo viên lễ quan là Võ Văn Ước vào yết kiến.
有文班吴任先谒，约误认为黎皇子，延之同坐。	Bấy giờ viên quan văn là Ngô Thì Nhậm vào yết kiến trước, Ước tưởng lầm là hoàng tử nhà Lê, liền mời cùng ngồi với mình.
已而维藩等至，拜于庭下。吴任内不自安，即起走去。	Tiếp đó, bọn Lê Phiên đến, đều lạy ở dưới sân, Ngô Thì Nhậm trong bụng rất áy náy, vội đứng dậy đi ra.
约讶之，不辨谁某，曰：「曩坐者谁也？」	Ước lấy làm lạ không biết là ai, bèn hỏi: - Người vừa ngồi đây là ai thế?
或曰：「文班吴任的。」	Có người trả lời: - Văn ban Ngô Thì Nhậm đấy!
约怒曰：「我奉命管领，安得无礼如此？」	Ước giận mà rằng: - Ta vâng mệnh cai quản tất cả, sao lại được vô lễ như vậy?
急使人追捕之。	Rồi Ước tức tốc sai người theo bắt.
吴任先知其情，出即逃匿。	Ngô Thì Nhậm đã biết trước chuyện đó, nên lúc ra, vội vàng trốn tránh ngay.
及暮，入谒中书令纪善侯陈文纪。	Đến tối, Nhậm vào yết kiến viên trung thư lệnh Kỷ lễ hầu là Trần Văn Kỷ.
