第六回。	Hồi thứ sáu.
即日自带侍卫兵五百人直趋富春，增调富春兵二千余人，倍道而行，直望京师进发，军行造次，兵色萧条，人不知是某军官名邑。	Thế rồi, luôn trong bữa đó, vua Tây Sơn tự đem năm trăm tên lính thị vệ ra thẳng Phú Xuân. Tới nơi, lại lấy thêm hơn hai ngàn quân Phú Xuân đi gấp ra kinh sư. Đoàn quân tất tưởi kéo đi, dáng dấp tiều tuỵ, người ta không còn nhận ra đó là đám quan quân nào nữa.
至乂安会统海门，有村民以海物入谒，言小民见大官经过，有不腆微物聊表寸诚。	Lúc vua Tây Sơn tới cửa biển Hội Thống ở trấn Nghệ An, có người dân quê đem ít đồ biển xin ra mắt, nói rằng: - Chúng tôi thấy quan lớn đi qua, nhân có chút quà mọn, gọi là tỏ tấc lòng thành kính.
西山主性朴实，言辞无文饰，曰：「臣非是大官，臣是南河王，外族惯呼为卞吏岳的。	Vua Tây Sơn tính vốn thật thà, không quen ăn nói văn hoa, thấy vậy, liền đáp: - Tôi không phải là quan lớn, tôi là họ ngoại của chúa Nam Hà (Chúa Nam Hà chỉ vào họ Nguyễn, vì Nhạc gả con gái cho thế tử Dương của chúa Nguyễn, nên tự xưng là họ ngoại), vẫn quen gọi là biện Nhạc ấy mà!
诸君厚情见臣远行，干糇素食，以甘旨馈，多荷多荷！」	Các người hậu tình, thấy tôi đi xa, lương khô, ăn nhạt, mà đem cho những món ngon lành thế này, cám ơn lắm, cám ơn lắm!
复匆匆而去。	Rồi lại hối hả đi luôn.
忽见数十人只着腰裤，各执竹筒担子，赤身立于道旁候西山主过，呼曰：「臣等归南，被掌进索买路钱，尽掠了财货！」	Thình lình thấy một bọn chừng vài chục người, kẻ nào cũng lưng đóng khố, tay cầm đòn ống, mình trần trùng trục đứng ở ven đường. Chờ cho vua Tây Sơn đi qua, bọn đó liền kêu lớn lên rằng: - Chúng tôi về Nam, bị Chưởng Tiến (một lục lâm hảo hán ở Nghệ An hồi ấy) đòi tiền mãi lộ, lấy hết của cải rồi.
西山主曰：「他在那里？」	Vua Tây Sơn hỏi: - Nó đâu?
曰：「他得财忙遽入山间去！」	Bọn đó đáp: - Nó lấy được của xong, vội vàng chạy vào trong dãy núi kia!
西山主使人追之，才入险中，那数十人各扳筒中藏刀，大呼曰：「尔识得我辈么？	Vua Tây Sơn liền sai một tốp lính đuổi bắt. Vừa đến một chỗ núi hiểm, mấy chục người đó đều rút dao kiếm trong đòn ống ra và reo lên: - Chúng bay đã biết bọn tao hay chưa; bọn tao đều là các bậc đàn anh trong đám thủ hạ của Chưởng Tiến.
我辈是掌进手下的名目，故来斫尔辈红毛头！」	Hôm nay đến để chặt cái đầu của lũ "lông đỏ" (không hiểu sao lại gọi Tây Sơn là "lông đỏ" (hồng mao), chưa tra cứu ra. Trong Đại nam quốc sử diễn ca thấy có câu tả cách ăn mặc của quân Tây Sơn như sau: "Quân dung đâu mới lạ nhường; Mão mao áo đỏ chật đường kéo ra". Có lẽ tác giả đã căn cứ vào cách ăn mặc đó (mũ lông áo đỏ) mà gọi Tây Sơn là "hồng mao" chăng?) chúng bay đây.
且呼且斫，众刀乱起，南兵走故，西主大惊。	Vừa reo họ vừa xông vào đâm chém, dao kiếm vung lên tua tủa, quân Nam bị đánh bất ngờ, thua chạy liểng xiểng.
自是途间不敢宿于民家，只就旷野外张幕而卧，其军皆露宿，比及至京师，尽是一团鸠形鹄面，不是王者容仪。	Vua Tây Sơn cả sợ, từ đó, trên đường hành quân không dám vào ngủ trong nhà dân nữa; tối đâu giăng màn ra giữa đồng ruộng ở đó mà ngủ, còn các quân sĩ thì đều ngủ ngoài trời. Bởi lẽ đó, khi tới kinh sư, cả đoàn quân chỉ còn là một lũ nửa người nửa ngợm, mặt mũi hốc hác, coi không ra bộ quân của vua chúa nữa.
天下传言西山城为阮家所破，失守而来；或言平用诡计，诈取一人假作王兄以益其势，天下豪杰与拥带州域，潜畜兵马者，各欲究其虚实，以图取之，而莫知其情。	Thấy vậy, thiên hạ đều đồn đại lung tung. Kẻ thì bảo thành Tây Sơn đã bị nhà Nguyễn phá vỡ, vua Tây Sơn vì không giữ được nữa nên phải chuồn ra đây. Người thì nói Bình dùng mưu chước gian dối, mượn một kẻ khác giả làm vua anh để thêm thanh thế cho mình. Hào kiệt thiên hạ và những kẻ coi giữ châu quận ngầm nuôi binh mã, đều muốn dò xem thực hư thế nào, để tìm cách bắt lấy; nhưng rốt cuộc cũng không ai biết rõ tình hình.
西山主初至京，平出郊迎谒，谢其专辄之罪。	Lúc vua Tây Sơn mới đến kinh, Bình ra tận ngoài ô đón tiếp và tạ cái tội tự chuyên của mình.
西山主曰：「将在外，苟有益于国家，专之可也！	Vua Tây Sơn nói: - Tướng ở bên ngoài, nếu gặp việc có ích lợi cho nước nhà thì cứ tự ý mà làm cũng được.
北河可取而公能取之，此乃用兵之神妙处。	Bắc Hà có thể lấy, mà ông lấy ngay được, đó là chỗ thần diệu trong phép dùng binh.
公跋涉万里，辟土广地，如此英雄手段，诚非兄之所及！	Vả lại, ông trèo đèo lội suối đi hàng muôn dặm để mở mang bờ cõi cho đất nước rộng thêm; thủ đoạn anh hùng như vậy, anh thực không thể nào sánh kịp.
第伐人之国，悬军深入，一朝革旧，万姓为仇，兄有意外之虞，故匆忙远来与公分念耳！」	Nhưng mà, mình đi đánh nước khác, kéo quân vào sâu trong xứ sở của người ta, một chốc làm thay đổi hết nền nếp cũ của họ như thế; tránh sao khỏi sự thù oán của muôn họ. Anh luôn luôn lo ngại đến những việc bất ngờ có thể xảy ra, vì vậy phải lật đật ra ngay đây để nghĩ kế đỡ ông.
乃联舆入城。	Rồi hai anh em cùng gióng ngựa đi vào thành.
及至府中，平携其妇公主来谒，且以实对，西山主曰：「系西山主弟为南国帝甥，门户相称，好哉姻缘！」	Tới phủ, Bình dắt công chúa Ngọc Hân ra chào và nói hết cả sự thật với anh. Vua Tây Sơn khen: - Chà, em vua Tây Sơn làm rể vua nước Nam, "môn đương hộ đối" mối nhân duyên đẹp thật!
又谓公主曰：「如此贵人，真不忝吾家弟妇？」	Rồi lại bảo công chúa rằng: - Người quí giá như thế này, thực không hổ là cô em dâu của nhà ta.
温存问答一如人家兄弟。	Hai người ôn tồn trò chuyện thân mật như anh em nhà thường dân vậy.
久之公主辞退，平具惟帐于正寝宫，请兄居之，而己自退居麟阁。	Hồi lâu, công chúa cáo từ lui ra. Bình sai quây màn ở cung chính tẩm, mời anh vào nghỉ; còn tự mình thì chuyển ra ngủ ở gác Kỳ lân.
平所领诸军各队伍已一番更换，至是亦将兵符纳于其兄，西山主操得兵柄，仍旧布置队伍，而其始更换者佯若不知，官军又惟大君之命是听，于是密与平定归计，平只得顺从，诸将惟武文任得知，整不与闻也。	Quân lính của Bình đem đi trước đây, các đội ngũ đều đã thay đổi một lượt. Đến lúc này, Bình đem binh phù nộp cả cho anh. Vua Tây Sơn nắm được binh quyền trong tay rồi, bèn bố trí lại đội ngũ y như cũ, còn sự thay đổi mới đây của Bình thì vờ như không hay biết gì cả. Thế là từ đó, bao nhiêu tướng sĩ lại đều chỉ nghe theo mệnh lệnh của "ông vua lớn". Được ít bữa, vua Tây Sơn liền bí mật cùng với Bình bàn chuyện rút về.
却说整初入京与文任同居五龙楼，任在楼前，整在楼后，整素是本国人，多所谙识，国人亦惟知有整，官吏士庶有来谒者皆入整门，楼后如市，而任所居楼前没有一人来者，任意不悦，整使其初附之吏居任门，延客于任，而客亦不来；整不得已，凡客来见整者，应酬讫，整使人要其客并贽礼送至任门，而任终不悦。	Bình đành phải vâng theo. Các tướng tá chỉ riêng có Võ Văn Nhậm được biết việc kín này, còn Chỉnh thì không được dự nghe. Lại nói, lúc mới tới kinh, Chỉnh và Nhậm đều đóng ở lầu Ngũ long. Nhậm đóng trước lầu, Chỉnh đóng sau lầu. Chỉnh vốn là người bản quốc, nhiều kẻ quen thuộc, nên người trong nước chỉ biết có Chỉnh. Quan lại, dân chúng, ai đến ra mắt đều vào cửa Chỉnh. Sau lầu thường đông như chợ; mà trước lầu nơi Nhậm ở thì chẳng có lấy một ma nào lui tới.
整乃迁居于仙迹寺。	Việc ấy làm cho Nhậm có vẻ không thích. Thấy vậy, Chỉnh phải sai một tên thư lại mới vào làm việc, ngày ngày ngồi chực ở cửa Nhậm để mời khách đến chỗ Nhậm, nhưng khách vẫn không đến, Chỉnh bất đắc dĩ lại phải xoay cách khác. Hễ khách nào tới thăm Chỉnh, sau khi đã thù tiếp xong. Chỉnh lại sai đưa người khách kèm theo đồ lễ đến cửa Nhậm. Nhưng rốt cuộc Nhậm vẫn không bằng lòng. Chỉnh bèn dời chỗ ở sang chùa Tiên Tích (ở xóm Nam Ngư, huyện Thọ Xương. Nay là đường Nam Bộ, Hà Nội).
任谮整于平曰：「彼以逋臣投我，欲假我之力而复其师之譬，以甘心于故国，我万里驰驱送彼归国，为彼画眉画面，彼既得志而为国人之趋附者，或探阮家天姥寺浮屠对联云：『虎自西山出，龙从东海来』。	Sau chuyện này, Nhậm bèn đem những lời gièm pha Chỉnh mà nói với Bình rằng: - Hắn là một kẻ bầy tôi đi trốn, chạy về với mình, muốn mượn sức của mình trả thù cho thầy, để hả cái lòng căm tức với nước cũ. Nay mình rong ruổi hàng muôn dặm, đưa hắn về nước, vẽ mày vẽ mặt cho hắn. Thế mà khi hắn đã đạt được chí nguyện, những người trong nước vào hùa với hắn, có kẻ lại đem hai câu đối: "Hổ tự Tây Sơn xuất, Long tòng Đông hải lai" (hổ từ non Tây ra; rồng ở biển Đông lại) ở tháp chùa Thiên Mụ của nhà Nguyễn, để bảo ông là hổ, hắn là rồng.
以公为虎，以彼为龙；虎离山而失势，龙出海而飞腾。	ý nói: "Hổ lìa khỏi núi thì thất thế, rồng ra khỏi biển vẫn vẫy vùng".
彼不惟不为我用，且有不逞之志，今我縻数万人坐食于此，卫彼以成其势，此不智之甚也！	Thế là chẳng những hắn không chịu để mình dùng, mà lại còn có chí ngang tàng nữa. Bây giờ mình giam mấy vạn người ngồi ăn không ở đây, để giúp cho hắn gây nên thế lực, nghĩ cũng khờ dại quá!
臣闻国人怨彼太深，所以未起事者，徒畏我耳！	Tôi nghe người trong nước này oán hắn rất sâu sắc, sở dĩ họ chưa nổi dậy là vì còn sợ mình đó thôi.
我如舍彼而归，国人必争啖彼之肉，且彼常言，北河人才惟彼一人，彼死我取北河更为帖泰。」	Nếu mình bỏ hắn mà về, người nước này hẳn sẽ tranh nhau nhai thịt hắn. Và hắn thường nói: "Nhân tài Bắc Hà chỉ có mình hắn". Để cho hắn chết, mình lấy Bắc Hà sẽ càng yên ổn.
平信之，虽待整外貌不衰，而心中疑之。	Bình tin lời Nhậm, nên từ đó đối với Chỉnh tuy ngoài mặt vẫn như thường, nhưng trong lòng thì rất ngờ vực.
南兵亦以远行怨整，日夜望平杀之，知平必置整于死，侮整形于口头，国人有附整者，或带整兵符而越禁地，南兵诘之，应曰：「某有右军官符信在此！」	Quân Nam vì đi xa cũng rất oán Chỉnh, ngày đêm mong cho Bình giết Chỉnh. Rồi họ biết thế nào Bình cũng đưa Chỉnh đến chỗ chết, nên họ khinh Chỉnh ra miệng. Một hôm, bọn người trong nước vào hùa với Chỉnh, có kẻ mang binh phù của Chỉnh cấp băng qua khu đất cấm; khi bị quân Nam gạn hỏi, người ấy đáp: - Tôi có binh phù của quan hữu quân cấp cho đây!
南兵曰：「右军是谁？	Quân Nam bèn nói: - Hữu quân là ai?
毋乃阮整耶！	Có phải Hữu Chỉnh không?
须半月后，看尔右军。」	Được, cứ đợi đấy nửa tháng nữa mà xem hữu quân của các anh!
整闻之，遂贰于平，且知平早晚必去，已不能独居京师，潜有割据乂安之志。	Chỉnh nghe được chuyện đó, bèn sinh ra hai lòng với Bình. Vả Chỉnh cũng đã tính toán, biết rằng sớm muộn thế nào rồi Bình cũng phải đi, mình sẽ không thể ở lại kinh sư một mình được.
密言于帝曰：「臣带他来只为尊扶，今事既成，臣决不复从他，料他必归，他归后，乂安便是豺狼藩屏，愿陛下假臣镇守南河一面，臣请自当。」	Vì vậy, Chỉnh ngầm có ý muốn chiếm cứ Nghệ An, bèn mật tâu với hoàng thượng rằng: -Thần đem hắn ra, chỉ vì việc tôn phù. Bây giờ việc đã xong, thần quyết không theo hắn nữa. Chắc thế nào hắn cũng rút về, mà khi hắn đã về rồi, thì trấn Nghệ An tức là một bức phên giậu ở bên cạnh giống sài lang. Vậy xin bệ hạ cho thần vào đấy trấn thủ, một mặt Nam Hà thần xin đương cả!
及闻西山主出，整意西山主必夺帝位而据其国，将靠西山主以自全，乃预请帝以玺符迎降，促朝臣急修降表，朝议连日不决，莫敢先下笔者，及西山主至，皇上亲迎于南郊，皇上立门阙内，使皇亲清派侯跪于道左，代致辞，西山主驾过郊门，趋而不答，还使，使答曰：「寡君以为嗣皇过礼，恐驾迟，或劳贵体跪拜，反以失礼寡君，故趋而去，请御驾还宫，改日闲暇然后相见。」	Kịp đến khi nghe tin vua Tây Sơn ra. Chỉnh lại đoán là vua Tây Sơn sẽ cướp ngôi của hoàng thượng và chiếm cứ đất nước. Rồi muốn dựa vào vua Tây Sơn để tránh tai vạ, Chỉnh bèn khuyên hoàng thượng nên sắp sẵn ngọc tỷ mà ra hàng, lại giục các quan trong triều thảo gấp một tờ biểu xin hàng. Triều đình bàn bạc mấy ngày liền chưa quyết không ai dám hạ bút trước. Lúc vua Tây Sơn tới nơi hoàng thượng thân hành ra đón ở cửa ô phía Nam. Ngài đứng ở trong cửa ô, sai hoàng thân là Thanh nguyên hầu quỳ ở mé bên trái đường đi, để chào và nói thay hoàng thượng. Vua Tây Sơn khi qua cửa ô không đáp lễ, cứ giục ngựa đi thẳng và cho một người quay lại nói rằng: - Quả quân thấy nhà vua lễ độ quá, sợ rằng nếu xa giá ở lại chậm trễ, hoặc giả làm phiền cho quý thể phải quỳ lạy mệt nhọc, rồi quả quân lại mang tiếng là thất lễ. Bởi thế, quả quân phải vội vã đi ngay. Xin ngự giá hãy cứ về cung, ngày khác thong thả sẽ cùng gặp nhau.
上知西山主犹有优假之意，既还宫，不复议降。	Hoàng thượng thấy vậy, biết vua Tây Sơn còn ưu đãi mình, nên khi về cung không bàn đến việc đầu hàng nữa.
次日西山主设坐于府堂，西山坐杨在正中，皇上坐几在左，平座几在右，侍卫甲士两行严整，为两君相见之礼，不拜，皇上御驾至府门，西山使从官出迎，皇上步至陛前，西山主起立于榻侧为敬，使平降阶迎之，延至几坐，坐定。	Hôm sau vua Tây Sơn sai bày ở phủ đường ba chỗ ngồi. Chiếc sập của vua Tây Sơn kê ở chính giữa, bên trái là ghế của hoàng thượng, bên phải là ghế của Bình. Hai bên có hai hàng giáp sĩ đứng hầu cực kỳ nghiêm chỉnh. Cuộc hội kiến này dùng lễ "hai vua gặp nhau", không ai phải lạy ai. Khi hoàng thượng ngự giá đến cửa phủ, vua Tây Sơn sai viên quan hầu ra đón. Hoàng thượng đi bộ vào trước thềm; vua Tây Sơn đang ngồi vội bước xuống đất và đứng sang bên cạnh sập để tỏ ý kính lễ; rồi sai Bình xuống dưới thềm đón tiếp và mời hoàng thượng vào ghế.
问曰：「嗣皇春秋几何？」	Mọi người đã ngồi yên chỗ, vua Tây Sơn liền hỏi: - Hoàng thượng năm nay xuân thu độ bao nhiêu?
从臣代答之，因言曰：「敝国君黎氏遭郑氏僣夺，冠履倒置，幸赖圣上至仁大义，命将出师，为敝国君整顿皇图，现今南国土地人民皆圣上再造，圣上若收几个郡国以为犒赏，敞国君一惟所命！」	Viên quan đi theo đáp thay hoàng thượng, rồi nhân đó nói tiếp rằng: - Quốc quân họ Lê chúng tôi gặp phải họ Trịnh lấn quyền lộng thế, mũ dép đảo lộn đã lâu. May nhờ thánh thượng là bậc chí nhân đại nghĩa, sai tướng ra quân, vì quốc quân chúng tôi mà chỉnh đốn lại cơ đồ. Hiện nay đất đai cùng dân chúng nước Nam đều là do thánh thượng gây dựng lại. Nếu như thánh thượng muốn thu nhận một vài quận ấp của nước tôi để làm quà khao thưởng quân sĩ, thì quốc quân chúng tôi xin nhất nhất vâng mệnh.
西山主曰：「臣闻太祖开拓南越功德如天，臣僻在南海，亦在太祖开拓宇内，臣忿强臣胁制，故为尊扶之举，若是郑家土地一寸不留，至如黎家土地一寸不敢取，臣以中国初定，尚烦经理，故来相助，四方平定之后，臣兄弟复归本国。	Vua Tây Sơn đáp: - Tôi nghe ngày xưa đức Thái tổ mở mang ra nước Nam Việt, công đức như trời. Tôi tuy ở xa khuất tại miền biển phương Nam, song cũng là đất của đức Thái tổ khai thác. Tôi vì giận kẻ cường thần hiếp chế nhà vua, nên phải làm việc tôn phò. Nếu là đất của họ Trịnh, một tấc tôi cũng không để; còn đất của nhà Lê, thì một tấc tôi cũng không dám lấy. Tôi nghĩ rằng nước ta đây mới dẹp yên, còn có nhiều việc cần phải sửa sang, vì vậy tôi phải ra để giúp đỡ nhà vua. Sau khi bốn phương đã phẳng lặng, anh em tôi lại xin rút về nước.
惟愿嗣皇奋发干纲，保安宇宙，与臣国世睦邻交，此乃两国之福！」	Bây giờ chỉ mong nhà vua chấn chỉnh giường mối triều đình, giữ yên bờ cõi, cùng nước tôi đời đời kết nghĩa láng giềng, như thế là phúc cho cả hai nước vậy.
从臣复代言曰：「圣上念及先皇帝功德，幸为续统，使臣列先皇帝基绪不绝，实惟圣上之赐，功德无穷，敞国君臣请世睦邻好，不敢违越。」	Viên quan theo hầu hoàng thượng lại thay lời mà rằng: - Thánh thượng nghĩ đến công đức của tiên hoàng đế, ra ơn nối lại dòng dõi, khiến cho cơ đồ của tiên hoàng đế không đến nỗi tuyệt diệt; ơn ấy của thánh thượng thật là vô cùng. Quốc quân chúng tôi và các bề tôi xin đời đời giữ tình láng giềng hoà hiếu, không dám sai trái.
西山主乃命烹茶，分进从容，皇上辞归，西山主起立作别，平送至阶下，西山主从之，欠身却步而返，使从官扈皇上出府门外，皇上登轿还宫，命朝臣入谒，西山主遍问官职姓名，诸员对讫。	Vua Tây Sơn sai trà đồng pha trà đệ lên các ghế. Hoàng thượng uống trà xong, ung dung cáo từ ra về. Vua Tây Sơn đứng dậy từ biệt. Bình tiễn hoàng thượng xuống thềm, vua Tây Sơn đi theo một quãng, rồi né mình bước giật lùi về chỗ, sai viên quan hầu đi hộ vệ hoàng thượng ra khỏi cửa phủ. Hoàng thượng lên kiệu về cung, rồi sai các quan trong triều tới ra mắt vua Tây Sơn. Vua Tây Sơn lần lượt hỏi hết quan chức, họ tên từng người.
西山主曰：「臣闻安南国进士最贵，诸公得非进士耶？	Các quan trả lời xong, vua Tây Sơn liền nói rằng: - Tôi nghe nói ở nước An Nam, tiến sĩ là quí nhất. Thế các ông có phải là tiến sĩ không?
臣将言于嗣皇，请数员带归本国以教国人，诸公肯相从否？」	Tôi sẽ nói với nhà vua cho xin mấy ông đem về để dạy dỗ người trong nước. Vậy các ông có chịu đi theo tôi không?
诸朝官对曰：「臣等惟敝国君所命，东西南北敢辞！」	Các viên quan trong triều đều thưa: - Quốc quân chúng tôi bảo sao chúng tôi phải nghe làm vậy. Dẫu rằng sang đông, sang tây, sang nam, sang bắc, đi đâu chúng tôi cũng không dám chối.
西山主曰：「诸公初见臣突如其来，曾疑臣否？」	Vua Tây Sơn lại hỏi: - Các ông lúc mới thấy tôi đột ngột ra đây như thế, có ngờ tôi không?
对曰：「圣上既命上公扶立黎家，此事已明白，臣等复何敢疑？」	Các viên quan đáp: - Thánh thượng đã sai thượng công ra phò lập nhà Lê, việc ấy rõ ràng lắm rồi, lũ chúng tôi đâu còn dám ngờ.
西山主曰：「疑臣者愚也。	Vua Tây Sơn nói: - Ai ngờ tôi, kẻ ấy là người ngu!
郑王勤师万里，兼并顺化，以大害小，致有今日之祸，鉴岂在远，臣若利南国，以小害大，其能久乎？	Chúa Trịnh bắt quân đi hàng muôn dặm, cố chiếm lấy đất Thuận Hoá, lấy nước lớn làm hại nước nhỏ, nên mới dẫn đến cái vạ ngày nay. Gương ấy há có xa đâu? Tôi nếu tham đất nước Nam, như vậy là lấy nước nhỏ mà hại nước lớn, còn mong lâu bền sao được?
纵及臣之身能保之，子孙亦未必能保？	Giả sử đời tôi giữ được đi nữa, thì đến đời con cháu tôi cũng không thể nào giữ nổi.
臣岂愚而养此祸胎耶！	Tôi có ngu gì mà lại nuôi cái mầm vạ ấy?
臣兄弟不久且回，诸公当辅佐皇家以安天下，两国睦邻，永坚和好，以共享太平之福。」	Chẳng bao lâu nữa anh em tôi sẽ về, các ông nên giúp rập nhà vua cho yên thiên hạ. Hai nước chúng ta sẽ kết nghĩa láng giềng, giữ vững tình hoà hiếu, để cùng hưởng phúc thái bình!
诸臣咸称曰：「传云：『圣人不勤远略。	Các quan đều ca ngợi: - Sách có nói rằng: "Bậc thánh nhân không chăm lo đến việc lập công ở phương xa".
』圣上虑及此，越出有常万万，第臣国君年少，未堪多事，臣等亦皆庸才，圣上既为存其国，幸姑留此，俾臣国君臣藉其威力，待四力既平，纪纲再造，御驾凯还未晚。」	Thánh thượng nghĩ tới chỗ đó, thật là vượt quá người thường đến muôn vạn lần. Nhưng quốc quân chúng tôi hiện còn trẻ tuổi, nhiều việc chưa quen thạo, lũ chúng tôi lại đều là những kẻ tài hèn; thánh thượng nếu đã giúp cho nước tôi được còn, xin hãy tạm lưu lại đây, để vua tôi nước chúng tôi nhờ cậy vào oai linh của thánh thượng. Bao giờ bốn phương đều yên, giường mối đã dựng lại, bấy giờ ngự giá hãy về cũng chưa muộn.
西山主曰：「纵归也亦在年月，岂在旬日耶？	Vua Tây Sơn nói: - Có về cũng còn hàng năm hàng tháng, há phải đâu là chuyện ngày một ngày hai?
诸公勿虑。」	Các ông chớ vội lo!
朝臣拜谢而退，私相议论，或以为他言是真；或以为他言是假，大约算他留与去二事，虚虚实实，莫能探得的情。	Các quan lạy tạ lui ra, rồi cùng bàn riêng với nhau: kẻ thì cho lời vua Tây Sơn nói là thật, người thì bảo lời vua Tây Sơn nói là giả; đại để cũng chỉ đoán có hai việc là ông ta đi hay ở lại, mà cứ hư hư thực thực, chẳng ai biết đích xác như thế nào cả.
然国人识破不识破，他都不管，单整是他党中人，又多狡诈，他每多方驾驭之，时西山主归意正忙，而外示以闲暇，命整择吉日，具礼谒告太庙，整请以中秋后，西山主许之。	Nhưng người trong nước biết rõ hay không biết rõ, vua Tây Sơn cũng chẳng cần. Chỉ riêng có Nguyễn Hữu Chỉnh là người trong bọn, lại là tay quỷ quyệt, nên vua Tây Sơn mới phải tìm đủ mọi cách để kiềm chế mà thôi. Lúc này, trong bụng vua Tây Sơn rất nôn nóng muốn về, nhưng bề ngoài vẫn tỏ ra vẻ ung dung, thư thái. Sau lễ tiếp kiến, vua Tây Sơn sai Chỉnh chọn ngày tốt, để vào làm lễ ra mắt ở nhà Thái miếu. Chỉnh xin chờ đến sau tết Trung thu, vua Tây Sơn cũng bằng lòng.
