第九回。	Hồi thứ chín.
适一日谒义成王庙，谓督同辉宿曰：「某今其从先人游乎！边阃之责，嗣当有难大事。	Một hôm, vừa gặp lúc đến yết kiến đền thờ Nghĩa thành vương, Tố bảo Nguyễn Huy Túc: - Tôi nay có lẽ sắp đi với tiền nhân, trách nhiệm ở bờ cõi rất nặng, rồi đây sẽ có những việc khó khăn, lớn lao.
本镇与内地通，某前经奉使，道路颇谙，只恨不在耳。	Trấn này thông với đất Trung Quốc, trước đây tôi đã đi sứ, cũng hơi thuộc đường lối, chỉ giận rằng không ở đây nữa.
公尚留此，勉强当之。」	Ông còn ở đây, hãy nên cố gắng mà đương lấy mọi việc.
又顾诸藩长曰：「若吾去后，惟副督镇官是听，毋如近日惹出多事来，必有大祸。」	Tố lại ngoảnh sang các phiên trưởng mà dặn rằng: - Sau khi tôi đi rồi, các ông chỉ nên nghe lệnh quan phó đốc trấn, chớ như vừa rồi, gây ra nhiều việc, thì thế nào cũng có vạ lớn.
人莫不奇其言，乃以为问。傃曰：「是难言也。」	Mọi người đều lấy làm lạ mà hỏi, thì Tố nói: - Điều đó rất khó nói.
日晚归营而卒。	Chiều hôm ấy, Tố về doanh rồi chết.
辉宿为之治丧，发书以闻于朝，奉旨领守镇节，不在话下。	Huy Túc một mặt lo liệu việc ma chay, một mặt viết thư báo tin cho triều đình, rồi vâng chỉ của vua lĩnh chức đốc trấn Cao Bằng.
却说自西山王敛众南还，至乂安留十余日，委别将阮睿据其地，与都督招远屯河中镇营，后而改招远屯布政州，王婿掌在军武文任顿重兵于洞海，以为犄角声援。	Lại nói vua Tây Sơn từ lúc rút quân về Nam, đến Nghệ An ở lại mười ngày, giao cho phó tướng Nguyễn Duệ giữ đất này, cùng đô đốc là Chiêu Viễn đóng quân ở doanh Hà Trung (thuộc Hà Tĩnh). Sau đó, vua Tây Sơn lại đổi Chiêu Viễn vào đóng ở châu Bố Chánh, Nguyễn Duệ coi doanh Kỳ Hoa, tả quân Võ Văn Nhậm đóng một đạo binh quan trọng ở Động Hải (Bố Chánh thuộc Quảng Bình. Kỳ Hoa thuộc Hà Tĩnh.
那时整尾及之，上公慰劳使留本州岛，与睿共事，面虽甘言许整，而私嘱睿曰：「整本北河人，亡命归我，观其为人，反复谲诈，不可倚信。	Động Hải tức Đồng Hới Quảng Bình (Bình Trị Thiên)) để làm thanh viện và nương tựa lẫn nhau. Lúc Nguyễn Hữu Chỉnh theo kịp, thượng công (tức Nguyễn Huệ) ngỏ lời yên uỷ dỗ dành, và bảo ở lại Nghệ An làm việc với Duệ. Bề ngoài tuy thượng công hứa hẹn với Chỉnh bằng những lời ngon ngọt, nhưng lại dặn riêng Duệ rằng: - Chỉnh vốn người Bắc, trốn về với ta. Xem bộ hắn ta là kẻ phản phúc gian dối, không thể tin cậy.
且北人怨整太深，我欲弃之，使其自毙，不意复逃死相随。	Vả chăng người Bắc oán hắn rất sâu. Ta định bỏ hắn, để cho hắn chết. Không ngờ hắn lại trốn chết cố theo.
乂安是彼家乡，今留汝在此，宜细察人情向背，及整之动静何如。	Nghệ An là quê hương của hắn. Nay để nhà ngươi ở lại đây, ngươi nên xem xét kỹ lòng người xứ này, xem theo ai chống ai và tình hình động tĩnh của hắn ra sao.
招远在此，一呼即来，左军在此，不甚远，事有可否，驰书速报，与之商略。	Chiêu Viễn ở gần đấy, gọi một tiếng là đến. Tả quân cũng không xa đây lắm, có việc nên chăng, ngươi phải viết thư báo tin cho mau, và cùng bàn định với ông ta.
敌国客地，所当加意谨防，勿可轻信有整，必坠彼计，慎之慎之！」	Sống ở nước ngoài đất khách, ngươi phải để ý đề phòng cẩn thận, chớ có dễ dàng tin theo Chỉnh mà mắc mưu của hắn. Ngươi phải cẩn thận lắm mới được!
自西山王上公归后，整寻得帝召命，举兵而北，且留其党黎遹从事于睿。	Sau khi thượng công về Nam, Chỉnh liền được chiếu chỉ nhà vua vời đưa quân ra Bắc. Lúc đi, Chỉnh để đồ đảng của mình là Nguyễn Duật ở lại làm việc với Duệ.
临别日再三丁宁，以好意期望，睿亦以好意送之。	Ngày chia tay lên đường, Chỉnh hai ba lần dặn dò và mong mỏi Duệ đối xử tử tế với mình; Duệ cũng tiễn đưa Chỉnh rất ân cần, tử tế.
整既得政，常常与睿通书往复，馈遗甚厚。	Sau khi Chỉnh nắm được chính quyền, thường thường gửi thư qua lại với Duệ và biếu tặng rất hậu.
又使人密征遹来京，探西山国情，揣睿本意，知西王与上公兄弟构兵，继又得睿书，约以并力南攻，大喜，以为乂安必可图。	Rồi Chỉnh lại ngầm sai người gọi Duật về kinh thành, để hỏi tình hình Tây Sơn và dò ý tứ của Duệ. Khi đã biết vua Tây Sơn và thượng công gây ra việc binh đao, anh em đánh lẫn nhau, tiếp đó lại được thư của Duệ hẹn cùng chung sức đánh vào phương Nam, thì Chỉnh rất mừng, cho là có thể mưu đồ lấy lại Nghệ An.
乃具黄金十两、缎十疋，使遹归谒睿，以利害祸福怵之。而且诱之。使人据有乂安，绝阻招远，修筑横山旧垒，画大氵霝江以为界，如前朝故事。	Chỉnh bèn thu xếp mười lạng vàng và mười tấm đoạn, sai Duật đem vào biếu Duệ, nhân tiện lấy việc lợi hại hoạ phúc mà doạ hắn ta, lại dỗ dành hắn ta giữ lấy Nghệ An, ngăn chặn Chiêu Viễn, đắp lại luỹ cũ Hoành Sơn, và vạch sông Gianh làm nơi biên giới như việc cũ trước đây (chỉ vào cuộc chiến tranh Trịnh Nguyễn (1627-1672), sau lấy sông Gianh làm giới hạn để phân chia Đàng trong (Nam) và Đàng ngoài (Bắc)).
于是武文任探子在乂安者，识破其事，忙递回报。	Lúc đó, người do thám của Võ Văn Nhậm ở Nghệ An biết rõ việc ấy, vội vàng về báo với Nhậm.
文任即以兵符召睿，睿拒之曰：「将在外，君命有所不受。	Nhậm lập tức đưa binh phù triệu Duệ về. Duệ chống lại và nói: - Tướng ở ngoài, mệnh lệnh của vua cũng có khi không cần phải theo.
上公归时，委某留镇此地，不敢擅离也。」	Lúc thượng công về, giao cho tôi đóng giữ đất này, nay tôi không dám tự tiện rời khỏi trấn này.
任曰：「睿反矣！果然。」	Nhậm được thư ấy, liền nói: - Quả nhiên Duệ làm phản rồi!
遂驰书告变，且言：「昔日用整，是畜虎亭下；今日留睿，是养蜂袖中，请急发兵北伐，先诛睿于乂安，继擒整于升龙，讨乱定国，在此一举，不可失也。」	Tiếp đó, Nhậm lập tức gửi thư cáo biến với thượng công; trong thư có đoạn viết: "Ngày trước dùng Chỉnh tức là nhốt hổ gầm giường; ngày nay để Duệ, ấy là nuôi ong tay áo. Xin kíp phát quân ra Bắc, trước hết giết Duệ ở Nghệ An, rồi sau bắt Chỉnh ở Thăng Long.
会上公与西王有隙，连兵未解，南陲内变，较北河忧更切，不果于行。	Dẹp loạn và bình định đất nước ở một chuyến này, cơ hội không nên bỏ lỡ..." Trong lúc ấy, thượng công và vua Tây Sơn đang có việc xích mích, cuộc binh đao giữa hai anh em chưa dàn xếp xong, việc nội chiến ở miền Nam so với mối lo ở miền Bắc còn cần kíp hơn nhiều.
乃使人报文任，促令前往又安捕睿，而点兵征粮，分屯要害，贻书问整与睿通谋之罪，看整如何报复。	Bởi vậy thượng công không quả quyết thi hành, bèn sai người báo cho Nhậm biết, và giục Nhậm tiến quân ra Nghệ An bắt Duệ; rồi sau đó sẽ kiểm điểm quân lính, thu góp lương thực, chia đi đóng đồn ở các nơi hiểm yếu và viết thư hỏi Chỉnh về tội thông mưu với Duệ, xem Chỉnh trả lời ra sao.
倘整街知畏，退托其辞，犹当置为后图，未可骤举；若彼分明拒命，用以执言，直可进师。	Nếu Chỉnh còn biết sợ hãi, cố tình chối cãi, thì nên để đó sau này sẽ liệu, chưa nên đánh vội. Bằng Chỉnh ra mặt chống lại, thì như thế là đã có cớ, lúc ấy cứ việc tiến quân ra đánh cũng không muộn gì.
文任听命，自领大军倍道疾驰，一日夜抵奇华营，则睿已不在矣。	Nhậm vâng lệnh, tự mình đem đại quân đi gấp. Chỉ trong một ngày một đêm. Nhậm đã đến doanh Kỳ hoa nhưng Duệ không còn ở đó nữa.
原来自去岁多，上公开整帅师入卫，恐有他变，即使阮文德领军出据演州，与睿并领镇守印，相为唇齿。	Số là mùa đông năm trước, thượng công nghe tin Chỉnh đem quân ra bảo vệ vua Lê, sợ có biến cố gì khác xảy ra, liền sai Nguyễn Văn Đức đem quân giữ phủ Diễn Châu cùng làm chức trấn thủ với Duệ, để nương tựa lẫn nhau.
及闻南陲交兵，睿、德遂贻书于整，共谋合兵南还，乘衅作乱，克捷之后，来归横山以北地。整亦迟回未决，及为任所发，二人乃去。	Kịp đến khi nghe miền Nam đánh nhau, Duệ và Đức đều gửi thư cho Chỉnh, mưu đồ hợp lực kéo quân về Nam, để thừa cơ làm loạn. Hai người hẹn rằng, sau khi đắc thắng, sẽ trả các đất từ Hoành Sơn ra Bắc, nhưng Chỉnh còn chần chừ chưa quyết định. Đến khi bị Nhậm phát giác, hai người bèn bỏ xứ Nghệ đem quân theo mạn ngược trở về Nam.
驭演引兵从上道南还，睿归西王。	Duệ về với vua Tây Sơn.
德是国朝大臣，为西人所获，勉强从事，亦不乐为之用，至是望西南山路直投还尖罗，去了多时。	Còn Đức vốn là một đại thần của chúa Nguyễn, bị quân Tây Sơn bắt, phải miễn cưỡng theo, chứ thực ra cũng không thích làm việc cho họ. Lúc đó, Đức bèn theo đường núi tây nam, trốn thẳng sang nước Tiêm La.
上公得任飞书，遣兵邀截，亦不之及。	Đức đi đã lâu, thượng công mới nhận được thư hoả tốc của Nhậm, vội sai quân đón bắt, nhưng cũng không kịp.
且说任至乂安点兵壮，征粮饷，治器械，遗书升龙切责有整。	Nhậm đến Nghệ An, kiểm điểm binh lính, trưng thu lương thực, sửa soạn khí giới, rồi đưa thư ra Thăng Long, trách móc Chỉnh gay gắt.
整得书，匿不以闻，为复陈谢言：「仆前去国来归，蒙置幕府，周旋鞭弭，经四五年。	Chỉnh được thư, giấu giếm không cho vua Lê biết, đoạn viết thư tạ tội, đại ý nói: "Trước kia tôi bỏ nước cũ về với chúa công, nhờ ơn cho vào nơi mạc phủ, hầu hạ túi cung roi ngựa đến bốn năm năm.
客秋还师，不以告仆，固知上公以是尝试观其去就。	Mùa thu năm ngoái, đại quân về Nam không cho tôi biết, tôi cũng hiểu là thượng công muốn dùng cách đó thử tôi, để xem tôi lui tới ra sao.
北人勉留，仆决然以去，想此心不二，当简知于高明，永营追谒，仆请从军偕行，蒙谕曰：『硕壤为梗，不可不去，姑留于此，一番图之。	Lúc bấy giờ người Bắc cố lưu lại, nhưng tôi quả quyết bỏ họ mà đi. Nghĩ rằng lòng này không có đổi thay như thế, bậc cao minh hẳn đã soi xét đến. Lúc vào yết kiến thượng công ở Vĩnh Dinh, tôi xin đi theo quân đội về Nam, ngài bảo tôi rằng: "Quận Thạc, quận Nhưỡng còn làm ngang trở không thể không trừ khử, nhà ngươi hãy ở lại đây, lo liệu một phen".
』仆敢不如命？	Tôi dám đâu không theo mệnh lệnh?
既以身许驰驱，靡敢爱惜，躬冒矢石，以与硕壤争锋，惟思去此二梗，随即单骑南还。	Tôi đã đem thân mình mà ruổi rong theo chúa (chỉ vua Tây Sơn) thì còn dám tiếc gì? Vì thế, tôi tự mình xông pha tên đạn, quyết chiến với bọn Thạc, Nhưỡng. Chỉ mong trừ được hai tên ngang ngược ấy, thì sẽ lập tức quay ngựa về Nam.
乃于月前战于山西，始擒硕郡，存壤猖獗海阳，尚劳剿捕，所以未归朝耳。	Nhưng, tháng trước đây đánh ở Sơn Tây, mới bắt được có quận Thạc. Riêng Nhưỡng thì vẫn đang vùng vẫy ở miền Hải Dương, còn cần phải đánh dẹp vất vả. Bởi vậy cho nên tôi chưa về triều được.
恶仆者见其北留，以是嫁谤，何不审上公归后，仆在乂安仅十余日，亦复北行，何暇与睿思虑？	Những kẻ ghét tôi, thấy tôi ở lại đất Bắc, liền đặt lời gièm pha. Sao họ không xét rằng, sau khi thượng công về Nam, tôi chỉ ở lại Nghệ An hơn mười ngày, rồi lại ra Bắc ngay, thì còn thời giờ đâu mà mưu toan với Duệ?
自此一南一北，各事其事，何曾与睿往复？	Từ đó kẻ Nam người Bắc, ai làm việc nấy, tôi có hề đi lại gì với Duệ đâu?
明烛其情，当不待辨。	Nếu xét rõ tình cảnh ấy, hẳn không cần phải chờ tôi biện bạch gì thêm.
且仆与将军共事之日，不为不久，果有他心，岂能隐而不露？	Vả chăng, cái ngày mà tôi làm việc chung với tướng quân, không phải không lâu. Nếu quả là tôi có lòng gì khác, hồ dễ đã giấu được cho khỏi lộ?
将军当为声达于主公之前，仆受赐多矣！」	Tướng quân nên chuyển đạt lời tôi đến trước chúa công, thì tôi đội ơn nhiều lắm!".
任得书，知整犹有惧意，姑以善言慰解之，使整自安而已，得以经略乂安。	Nhận được thư ấy, biết Chỉnh còn có ý sợ, Nhậm bèn viết bức thư khác, dùng lời nói khéo, vỗ về khuyên giải làm cho Chỉnh yên lòng, để mình còn có thì giờ sắp đặt công việc ở trấn Nghệ An.
但责以旦夕平壤，振旅南还，以无负成意耳。	Tiện thể Nhậm cũng không quên buộc Chỉnh phải mau chóng dẹp yên quận Nhưỡng, rồi rút quân về Nam, để khỏi trái với ý định.
整不知其意，以为任可卖弄，必宽南顾之忧。	Chỉnh tiếp thư, không hiểu rõ ý của Nhậm, cho rằng Nhậm có thể dễ lừa phỉnh, chắc không phải lo gì về mặt Nam.
时中外传言，西将左军任出军乂安，拣取丁壮刻期进发，西兵不日再来，升龙将为战场。	Lúc bấy giờ, trong ngoài đều đồn đại rằng tướng của Tây Sơn là tả quân Nhậm, kéo quân ra Nghệ An, kén chọn lính tráng, định kỳ xuất phát, chẳng bao lâu quân Tây Sơn lại tới, Thăng Long sẽ thành nơi chiến trường.
京中喧闹，迁徙提挈，金吾不能禁，廷臣多以为言，帝召问整，整对曰：「众人讹传不足为信，臣曾使人往觇，尽得其实，西王自北南还，直抵国城，上公在富春，顿兵晏乐，申明号令，缮修城垒，总北还所获军资器甲重宝，尽收贮之，西王使使宣召，不肯回朝，凡封拜处置，皆自专决，西王使人操印封为北平王。	Vì thế, trong kinh nhốn nháo, người chuyển vận đồ đạc, người bồng bế con cái, tranh nhau đi lánh nạn, lính Kim Ngô (tên một đội lính bảo vệ trật tự ở kinh đô) ngăn cấm không nổi. Nhiều viên đình thần đem việc đó tâu với vua Lê. Vua Lê liền triệu Chỉnh vào hỏi. Chỉnh tâu: -Người ta đồn nhảm, không cần phải tin. Thần đã cho người đi xem xét biết hết sự thật rồi. Vua Tây Sơn từ khi ở đất Bắc về Nam, liền vào thẳng chỗ quốc thành (tức Qui Nhơn). Còn thượng công thì đóng ở Phú Xuân, nghỉ quân để vui chơi, ban bố hiệu lệnh, sửa sang thành luỹ. Bao nhiêu vật liệu, khí giới và các báu vật lấy được ở Bắc về, thượng công đều thu chứa lấy. Vua Tây Sơn sai sứ thần tuyên triệu, thượng công không chịu về triều.
	Mọi việc phong quan, ban tước và xử trí này khác, thượng công đều tự tiện quyết định.
且问所得郑府货宝，上公拒命不肯进奉，西王大怒，是以兄弟构兵，萧墙之中，甚于敌国。	Vua Tây Sơn sai người đưa ấn phong thượng công làm Bắc bình vương và hỏi những thứ của báu lấy được ở phủ chúa Trịnh. Thượng công cũng chống lại không chịu dâng lên. Vua Tây Sơn giận lắm. Vì thế, anh em mới gây ra cuộc binh đao, ở trong một nhà mà đối với nhau còn dữ dội hơn là đối với nước thù địch.
彼方救急不暇，何敢越横山一步，与我争权。	Ngay trong bọn họ với nhau cũng không đủ thì giờ để cứu vãn được tình thế cấp bách, đâu còn dám ra khỏi Hoành Sơn một bước để tranh quyền với ta?
我要内治规模定，自是太平可冀。	Ta cần làm sao cho việc nội trị có quy mô yên ổn, thế là sẽ được thái bình.
至若乂安一镇，特遣介使持国书往，与他议定，一言便了，我与他姻好既成，不须违虑为也。」	Đến như trấn Nghệ An, thì chỉ cần sai một sứ giả đem bức quốc thư sang, bàn bạc với họ, một lời nói là xong. Ta cùng họ đã thành thông gia, ta cũng không cần lo xa làm gì.
御史阮廷简曰：「古来姻好，尽不可恃，北平王亦是一个英雄，闲视他不得。」	Quan ngự sử là Nguyễn Đình Giản nói: - Xưa nay tình hoà hảo thông gia, nói chung đều không thể tin cậy. Chỉ có bằng vào chước tự cường của mình, làm sao cho bờ cõi được vững chắc, ngăn chặn sự dòm dỏ của kẻ địch, thì như vậy mới có thể tin cậy được. Bắc bình vương cũng là một bậc anh hùng, xem thường ông ta không được đâu!
整曰：「臣尝与之共事，岂不相知？	Chỉnh nói: - Tôi đã từng cộng sự với ông ta, há lại không biết?
他信是英雄，我北河人才亦不多让。	Ông ta quả thật là bậc anh hùng, nhưng nhân tài xứ Bắc ta đây cũng không thua lắm.
万一构成兵争，臣请与之对手，其余武文任不足算也！今闻任已据乂安，饶他客兵栖万，不过如往时昭武顺义，据有乂安、南河七县，不久复归于我矣。」	Vạn nhất xảy ra việc binh đao, tôi xin chọi với ông ta, còn như bọn Võ Văn Nhậm đã chiếm giữ đất Nghệ An, nhưng cứ mặc y. Quân nước ngoài ở trọ, chẳng qua cũng như bọn Chiêu võ, Thuận nghĩa hồi xưa chiếm đóng bảy huyện phía nam Nghệ An, không bao lâu rồi cũng lại về ta (chỉ việc các tướng của họ Nguyễn là Thuận nghĩa hầu, Nguyễn Hữu Tiến và Chiêu võ hầu Nguyễn Hữu Dật, đánh chiếm được bảy huyện ở nam sông Lam hồi xưa (1655-1660), trong cuộc chiến tranh Trịnh Nguyễn. Về sau, các miền ấy, lại bị họ Trịnh giành lại).
帝曰：「人情惊疑，惟视南陲动静，为国家事体轻重，卿可熟筹预计，以宽朕怀。」	Vua Lê nói: - Nhân tình lo sợ, nghi ngờ, họ đang coi việc động tĩnh ở phương Nam để định sự thể khinh trọng của nước nhà. Ngươi nên tính kỹ liệu trước cho lòng trẫm được thư thái.
对曰：「此臣职分内事，敢不悉心！」	Chỉnh tâu: - Đó là việc trong chức phận của thần, dám đâu không hết lòng hết sức?
整虽外为夸大之，以****国人，而自得任书，内实忧惧。	Ngoài mặt, Chỉnh tuy nói năng khuếch khoác để trấn áp mọi người, nhưng kỳ thực, từ khi được thư của Nhậm, trong lòng Chỉnh rất đỗi lo sợ.
一日趋朝，屏人密言于帝曰：「武文任虽是北平王帅府左将，而本为西王女婿，年来军事指挥，亦以国婿自劾，一旦见他兄弟有隙，任以此中立，固惟将令是听，然其心岂能恝然于妇翁？	Một hôm vào chầu, Chỉnh đuổi người chung quanh ra mà nói kín với nhà vua rằng: - Võ Văn Nhậm tuy là tả tướng trong soái phủ của Bắc bình vương, nhưng vốn là rể vua Tây Sơn. Lâu nay chỉ huy việc quân, y vẫn đóng vai con rể của nước. Nay thấy anh em Tây Sơn xích mích nhau, Nhậm là kẻ đứng giữa, cố nhiên là phải tuân theo tướng lệnh, nhưng trong lòng lẽ nào lại hoàn toàn không nghĩ gì đến bố vợ?
昨有探子言任于洞海，间变，禀请入侍，北平王不许，而使直往乂安，今彼正处危疑之地，必不无内顾之意。	Vừa rồi có tên do thám nói rằng: "Nhậm ở Động Hải nghe việc biến cố ấy, bèn xin về hầu. Nhưng Bắc bình vương không cho mà bảo ra thẳng Nghệ An. Nay Nhậm đang ở vào địa vị nguy ngập và bị ngờ vực, nên không thể không có ý trông về bên trong.
臣请乘此闲，说乂安疆事，且专以恩意望他，币重言甘，外有任为之游扬，内有公主为之周旋，北平王纵有何心，亦不得不勉从于我。」	Thần xin nhân cơ hội này để thương lượng về việc bờ cõi Nghệ An. Hết sức nhắm nhe vào ân tình của họ, lại lễ nhiều, lời ngọt, ngoài có Văn Nhậm tâng bốc, trong có công chúa đỡ lời; Bắc bình vương dù có lòng nào chăng nữa cũng không thể không gượng theo mình.
帝曰：「善。」	Vua Lê khen phải.
翌日晨朝，帝谓群臣曰：「乂安密迩清化为汤沐辅郡，其子弟补宿直为国爪牙，此地不可久为他人窃据，朕将遣使之富春，与北平王一番议定，卿等当择可使者？」	Sáng hôm sau, nhân buổi chầu sớm, vua nói với các quan rằng: - Nghệ An liền kề với Thanh Hóa, là một quận phụ vào đất "thang mộc". Con em đất ấy vẫn được lựa chọn vào quân túc vệ, làm nanh vuốt cho nước nhà. Đất ấy không thể để cho người khác chiếm giữ mãi. Trẫm sắp sai người đi Phú Xuân để bàn với Bắc bình vương một phen. Vậy các ngươi hãy chọn xem người nào có thể sung vào sứ bộ?
张登揆对曰：「阮廷简、范廷玙其人方正，可以办事。」	Trương Đăng Quỹ thưa: - Nguyễn Đình Giản và Phạm Đình Dư là người ngay thẳng có thể làm được việc ấy.
潘维藩曰：「简梗直有余，而柔和不足；玙持论虽正，而见事颇迟，北平王大谲，好以智术笼罩人，谈论之间，一抑一扬，不可测量，恐二臣与之争辨，必误国事。」	Phan Lê Phiên nói: - Giản cương trực có thừa mà mềm mỏng ôn hoà thì không đủ. Dư tuy nghị luận vững vàng, nhưng xét việc hơi chậm. Bắc bình vương là người rất quỷ quyệt, hay dùng mưu khôn lung lạc người ta. Trong lúc bàn bạc, khi nén xuống, khi nâng lên, không biết đường nào mà dò. Thần sợ rằng hai người ấy tranh biện với ông ta, thế nào rồi cũng làm hỏng việc nước.
廷举其人累日不决。	Đình thần bàn mãi việc cử người, luôn mấy ngày vẫn chưa ngã ngũ.
整奏以陈公灿往，帝曰：「得之矣。」	Chỉnh bèn tâu để Trần Công Xán đi. Vua Lê nói: - Được đấy!
乃召公灿谕之曰：「卿忠贞体国，简在朕心。	Nhà vua bèn đòi Công Xán vào triều mà bảo rằng: - Người là người trung trinh vì nước, lòng trẫm đã biết.
昔富弼使契丹，敌国起敬，功成事济，此行事亦相类，卿勉为朕将命，亦南国之富弼也。	Ngày xưa Phú Bật sang sứ Khiết Đan, làm cho nước địch phải kính trọng, công việc xong xuôi (Khiết Đan là một nước ở phía đông bắc Trung Quốc, thường hay xâm phạm bờ cõi. Đời vua Tống Nhân tông, quân Khiết Đan đến đóng sát biên giới và bắt nhà Tống phải cắt đất. Phú Bật được đi sứ, đã hết sức biện bạch, kết quả làm cho quân Khiết Đan phải lui và từ đó hai nước hoà bình được đến vài chục năm). Chuyến đi này, cũng giống như thế. Ngươi cố vì trẫm vâng mệnh ra đi, cũng là Phú Bật của nước Nam đó.
