第二回。	Hồi thứ hai.
且虚位东宫，庶几季子知悔，不然待杆长成，册立未晚。」	Có điều thế tử đã lớn và khoẻ mạnh, còn vương tử thì nhỏ tuổi lại hay đau yếu; khuyên chúa hãy nghĩ đến tôn miếu xã tắc, tạm dành ngôi đông cung lại đó, may ra đứa con út (chỉ Tông vì Tông bị giáng xuống làm con út) kia nó biết hối lỗi thì hay, bằng không, đợi lúc vương tử khôn lớn hãy lập trưởng cũng chưa muộn gì.
王曰：「棕、杆在圣母为孙，不若在臣为子。	Chúa đáp: - Tên Tông và tên Cán đối với mẹ là cháu, chưa bằng đối với tôi là con.
古人谓：『知子莫若父』，臣犹未至昏懵，况朝廷公议如此，岂臣嬖小织成，圣母岂不洞照。	Người xưa đã nói: "Biết con chẳng ai bằng cha". Tôi cũng chưa đến nỗi mê lẫn, vả chăng triều đình bàn bạc chung như thế, chứ cũng chẳng phải vì tôi yêu đứa con nhỏ mà bày đặt ra việc này. Mẹ há chẳng biết rõ rồi sao?
今若不早正储位，群小之徒，心怀观望，臣恐祸且不测！	Nay nếu không sớm định người nối ngôi, bọn tiểu nhân đâm ra dòm nom, mong chờ, tôi e tai hoạ sẽ xảy đến lúc nào không biết.
且天下大器，要付托得人，以宗社为重，子犹不可私，况私于少乎？	Huống hồ ngôi báu của thiên hạ cốt phải giao phó vào tay người xứng đáng. Đã coi tôn xã làm trọng, thì dẫu con đẻ ra cũng không được tư túi; lẽ nào tôi lại dám tư túi với đứa con nhỏ?
使杆病终不起，宁立桂郡公，以还伯父正派，无托此不肖，以坠祖宗之业。」	Nếu như cuối cùng bệnh của Cán không khỏi, thì thà lập Côn quận công (có bản chép là Quế quận công, tức Trịnh Bồng, anh em con chú bác với Sâm, con Trịnh Giang), trả lại dòng chính cho nhà bác; chứ không thể nào giao cho cái thằng Tông bất hiếu, để nó làm hỏng cơ nghiệp của tổ tiên.
圣母遂不敢复言。	Thánh mẫu không dám nói gì nữa.
王乃命朝臣具本奏知皇上，立王子杆为世子。	Chúa bèn sai các quan trong triều làm tờ tâu lên vua Lê, xin lập vương tử Cán làm thế tử (Bấy giờ có nhiều người không đồng tình việc lập Cán, nên đã đặt ra câu ca dao: Đục cùn thì giữ lấy tông: Đục long, cán gãy, còn mong nỗi gì? Dùng chữ tông và cán theo nghĩa đôi để chỉ vào Trịnh Tông và Trịnh Cán.).
却说王自数年以来，夙疾时作。或一月，或半月，往往危剧太甚，寻复痊可。	Lại nói, từ mấy năm nay, bệnh cũ của chúa vẫn thường hay phát trở lại, khi thì một tháng, khi thì nửa tháng. Mỗi lần bệnh phát thường hết sức nguy kịch, nhưng rồi dần dần cũng lại khỏi.
最怯者风暑，平居在深宫中，昼夜传烛，非大朝会，未尝出见群臣。	Chúa rất sợ nắng gió, bình thường phải ở luôn trong thâm cung và nơi đó phải thắp nến suốt đêm ngày. Nếu không phải triều hội lớn, thì không bao giờ chúa ra gặp các quan.
府堂御座，亦设水晶帐，乘舆亦拖水晶帘，以避风暑。	Sập ngự trong phủ chúa có che trướng thuỷ tinh, kiệu của chúa đi cũng treo rèm thuỷ tinh, để ngăn nắng gió.
百官启事，皆凭侍臣传旨，虽亲贵者亦或一年半年，始得一见。	Các quan muốn trình báo việc gì, đều do quan hầu đem tờ khải vào. Chúa muốn phán gì cũng do quan thị truyền chỉ ra. Dẫu đến các bậc thân quí, cũng phải một năm hoặc nửa năm mới gặp mặt chúa một lần.
朝臣文武，未尝得见龙颜。	Còn các hàng văn võ trong triều, thì thường không hề được thấy mặt rồng.
府堂事，外间传说，如天曹事，是以壅蔽尤甚。	Việc của phủ chúa, bên ngoài người ta đồn đại như là việc thiên tào. Cứ như thế, sự ngăn cách, che lấp ngày càng thêm tệ.
至是王疾转剧，邓氏日夜服侍，大臣惟晖郡得出入，王母与王女亦鲜得见，每日问安，在寝门外问侍者而已。	Đến lúc này, bện của chúa lại nguy kịch. Thị Huệ ngày đêm hầu hạ. Trong hàng đại thần chỉ có quận Huy là được ra vào. Mẹ chúa và các con gái chúa cũng ít khi được tới gặp, hàng ngày thăm hỏi sức khoẻ của chúa, họ chỉ đứng ngoài cửa buồng và hỏi qua bọn quan hầu mà thôi.
邓氏侍疾，言于王曰：「妾事主上，遇蒙怜恤，众恶交丛，不知他日妾母子措身何地？」	Nhân cơ hội ấy, Thị Huệ bèn nói với chúa: - Thiếp thờ chúa thượng, nhờ ơn được quá thương yêu, thành ra nhiều kẻ thù ghét; không biết rồi đây mẹ con thiếp sẽ gửi thân vào đâu?
王慰之曰：「世子已正位东宫，国乃其国，卿他日为天下母，谁人转得？」	Chúa yên ủi rằng: - Thế tử đã chính thức lên ngôi đông cung, nước là nước của nó; rồi đây khanh sẽ làm mẹ cả thiên hạ, kẻ nào còn thay đổi được?
邓氏曰：「恐不预定，到缓急时，必马人所夺。」	Thị Huệ lại thưa: - Sợ không dự định trước, đến lúc tình thế khẩn cấp sẽ bị người khác cướp mất.
时有晖郡在。	Bấy giờ quận Huy cũng có ở đó.
乃顾晖郡曰：「卿他日善保护正宫与世子，以宁我心。」	Chúa nhìn Huy nói: - Sau này ngươi cần hết sức giúp đỡ chính cung và thế tử, để cho yên lòng ta.
晖郡曰：「臣敢不尽心所事，继之以死。	Quận Huy thưa: - Tôi dám đâu chẳng hết lòng về việc này kỳ cho đến chết.
但请及今宣治命，以世子袭位，册立正宫为妃，同听政，俾有成命。」	Nhưng ngay bây giờ, nhân lúc chúa còn tỉnh táo, xin hãy kịp thời truyền mệnh lệnh cho thế tử Cán nối ngôi và lập chính cung làm vương phi, cùng coi việc nước, để cho có mệnh lệnh sẵn sàng.
王曰：「善！	Chúa khen: - Phải đấy!
卿宜辅之。」	Khanh cần làm phụ chính cho vương tử.
晖郡曰：「受遗辅政，臣不敢独任。	Quận Huy lại thưa: - Vâng lời di chúc làm người phụ chính, tôi chẳng dám gánh vác một mình.
卿郡公王室至亲，完郡公师傅大臣，珠郡公、泗川侯皆在政府，素有德望；郡公东宫阿保，垂忠侯东宫保卫，皆为信臣，请准赐诸员与臣同受顾命。」	Hiện nay có Khanh quận công là bậc chí thân, Hoàn quận công là bậc sư phó đại thần, Châu quận công và Tứ xuyên hầu đều ở trong chính phủ, vốn có đức vọng, Diễm quận công là a bảo của đông cung, Thuỳ trung hầu là bảo vệ của đông cung, đều là những bầy tôi tin cậy. Vậy xin nhà chúa hãy cho phép những viên ấy cùng nhận cố mệnh (mệnh dặn lại lúc sắp chết) với tôi.
王许之。	Chúa bằng lòng.
晖郡乃宣旨，命泗川侯草顾命书，添差汝公草宣妃制册，草成，晖郡袖入侯旨，请下字。	Quận Huy liền sai Tứ xuyên hầu thảo tờ cố mệnh, và quan thiêm sai Nhữ Công Điền làm tờ sách phong Tuyên phi. Giấy tờ lập xong, Huy bỏ vào tay áo đem dâng chúa để xin điền tên.
时王疾已弥留，圣母入省，邓氏抱王起坐，圣母立御榻旁，涕泣请安。	Bấy giờ bệnh chúa đã nguy kịch, nhân có thánh mẫu vào thăm, Thị Huệ phải ôm chúa ngồi dậy. Thánh mẫu đứng ở đầu sập vừa khóc vừa hỏi han.
王泣下曰：「小子拜手稽首，启国圣母，小子不幸短命，不得终事圣母，念惟孝道未终，五内如割，请圣驾还宫，寝膳从容，母以小子为念，以伤圣怀，晨昏之事，已有嗣王。」	Chúa cũng khóc mà rằng: - Con xin chắp tay cúi đầu lạy mẹ. Nay con chẳng may xấu số, không được thờ mẹ cho đến cùng. Nghĩ đến đạo hiếu chưa tròn, ruột gan con đau như dao cắt. Xin mẹ hãy ngự giá về cung, cố ăn ngủ cho thảnh thơi, đừng nghĩ gì đến con mà đau lòng mẹ. Còn việc sớm hôm thăm hỏi sau này đã có tự vương (chúa nối nghiệp, chỉ Trịnh Cán) thay con.
圣母涕泣久之，意欲以储位为言，而有邓氏在，难于启齿，迟回未出。	Thánh mẫu nức nở, sụt sịt, ngập ngừng hồi lâu, ý muốn nói đến ngôi thế tử, nhưng vì có Thị Huệ ở đấy nên cũng khó hé răng, dùng dằng mãi chưa ra.
王曰：「圣母重伤小子，顾复不舍，小子见母自伤其心，不得瞑目，伏祈圣驾还宫。」	Chúa thấy vậy lại nói: - Mẹ quá thương con, không nỡ dứt tình mà đi. Con trông thấy mẹ cũng đau lòng không thể nhắm mắt. Vậy cúi xin mẹ hãy ngự giá về cung.
圣母含泪而出。	Thánh mẫu bèn ứa nước mắt trở ra.
王与邓氏诀曰：「我病不起，不得与卿白头相守。	Chúa quay sang dặn Thị Huệ. - Bệnh ta không khỏi, không ở được cùng khanh đến lúc bạc đầu.
我今大归，卿留奉侍圣母，保育嗣子，琴瑟之约，重订来生。」	Nay ta về chầu giời, khanh ở lại phụng thờ thánh mẫu, nuôi nấng tự vương; còn duyên sắt cầm đành hẹn đến kiếp khác.
邓氏哽咽刻余，截发而誓曰：「主上不怜妾身，忍使妾踽踽孤栖，妾愿以身殉主上。	Thị Huệ nấc lên đến hơn một khắc, rồi ả cắt tóc thề rằng: - Chúa thượng chẳng thương thiếp, nỡ bỏ thiếp vò võ một mình! Thiếp xin liều thân mà chết theo chúa.
奉事圣母，已有两位公主；辅佐嗣王，已有诸大臣，主上勿以是托妾。」	Thờ phụng thánh mẫu đã có hai công chúa, giúp rập tự vương đã có các quan đại thần, chúa đừng giao những việc ấy cho thiếp.
乃放声大泣。	Rồi thị khóc oà lên.
王顾垂忠侯曰：「我归后，尔等善慰解正宫，毋使毁伤。	Chúa ngoảnh sang Thuỳ trung hầu nói: - Sau khi ta qua đời, các ngươi phải nên khuyên giải chính cung cho khéo, chớ để nàng liều mình.
就使志不可夺，须并舟归陵，陪我寝园。」	Vạn nhất nếu không ngăn cản nổi ý chí của nàng, thì cứ để nàng chung thuyền với ta mà đưa đi, cho nàng được hầu hạ ta ở nơi lăng tẩm.
乃召卿郡、完郡入受顾命。	Tiếp đó, chúa cho đòi quận Khanh, quận Hoàn vào chịu cố mệnh.
两员入，命免拜赐坐，两员涕泣请安。	Hai người vào, chúa truyền miễn lạy và cho ngồi. Hai người khóc lóc hỏi han sức khoẻ.
王曰：「小子不幸恶病，今大渐弥留，今世子袭位，尚赖叔父与师保同心夹辅，以济于艰。」	Chúa nói: - Con xin chắp tay cúi đầu lạy chú, lạy thầy. Chẳng may con bị bệnh nặng, nay đã nguy cấp, muốn cho thế tử Cán lên nối ngôi chúa. Vậy nhờ chú và thầy chung sức đồng lòng, giúp cho qua khỏi bước khó khăn này.
言讫，命邓氏舁卧。	Dứt lời, chúa bảo Thị Huệ đặt mình nằm xuống.
晖郡跪，出袖中顾命书进呈，王以手挥之，晖郡再请曰：「今圣体少安，顾命书留白姓名，臣请命王亲卿郡代笔。」	Quận Huy quì xuống, rút tờ cố mệnh trong tay áo dâng trình, nhưng chúa chỉ lấy tay xua đi. Quận Huy lại thưa rằng: - Nay thánh thể không yên, mà chỗ đề tên họ trong tờ cố mệnh thì hãy còn để trống, vậy xin chúa hãy để cho vương thân Khanh quận công viết thay.
王不能答，颔之而已。	Chúa không còn nói được nữa, chỉ gật đầu mà thôi.
卿郡批笔于御榻前，历书姓名于顾命书留白处。	Quận Khanh bèn lấy bút phê, rồi ngay trước sập chúa, lần lượt viết tên mấy người vào chỗ bỏ trắng trong tờ cố mệnh.
毕，再进御览，王已瞑目不省，遂薨。	Viết xong, lại dâng cho chúa xem; nhưng lúc ấy chúa đã nhắm nghiền hai mắt không biết gì nữa. Thế là Trịnh vương qua đời.
时景兴壬寅九月十三日，王年四十四，袭位之十六年也。	Bữa ấy nhằm ngày 13 tháng quận Huy năm Nhâm Dần (1782). Chúa thọ 44 tuổi, làm chúa được 16 năm.
属纩后，晖郡一面分遣众官治丧，一面将顾命书并宣圮册文，付垂忠侯，传送出政府，命朝官奏知皇上。	Sau khi chúa tắt thở, quận Huy một mặt cắt đặt cho các quan lo liệu việc tang lễ, một mặt sai Thuỳ trung hầu sao lấy mấy bản thư cố mệnh và tờ sách phong Tuyên phi đưa ra chính phủ, để cho các quan triều tâu lên vua Lê.
皇上敕谕立世子杆为奠都王。	Ngay hôm ấy, vua Lê hạ sắc dụ lập thế tử Cán làm Điện đô vương.
百官整兵仗，就敬天门钦迎敕命，回至府堂。	Trăm quan liền đem nghi trượng, binh lính đến cửa Kính thiên để rước sắc về phủ chúa.
阿保棪郡公抱世子且朝服冠带，葵色，立于府庭，跪受敕命。	Đến phủ, quan a bảo Diễm quận công bế thế tử đã được mặc áo triều, đội mũ, mang đai màu hoa quì đứng đón ở sân, quỳ xuống nhận sắc.
讫，乃设御榻于外府堂，抱王即位。	Xong đó, ngoài phủ đường đã đặt sẵn sập ngự, quận Diễm bồng thế tử Cán lên ngôi chúa.
百官以次拜贺，礼毕，抱王入黉宫，拜圣母，讫。	Các quan theo thứ tự lần lượt vào lễ mừng. Lễ xong, quận Diễm lại bế chúa mới (Trịnh Cán) vào cung Huỳnh để lạy thánh mẫu.
各易素服发哀。	Rồi sau đấy, mọi người đều thay triều phục, mặc áo trở để làm lễ phát tang. Lúc Thịnh vương còn sống có soạn ra cuốn Vạn niên thư, phàm việc tang lễ từ lễ "phạm hàm" đến lễ "đại tường", "nhập miếu" (Phạm hàm: Lễ đặt vàng, ngọc hoặc các của quí khác vào trong miệng người chết. Đại tường: Lễ giỗ sau khi chết hai năm.
王有万年书，凡丧礼：自饭含，至大祭入庙，礼节仪文皆有成画。至庙号圣祖盛王，亦素已撰定，着在书内，至是按此而行。	Nhập miếu: Lễ rước linh hồn vào nhà thờ, để thờ chung với các tổ tiên), nghi tiết như thế nào đều đã chua rõ; cho cả đến mấy chữ miếu hiệu "Thánh tổ Thịnh vương" cũng được ghi sẵn. Nay cứ theo đó mà làm.
大臣七员，日夜宿直府中分理诸事。	Bảy viên đại thần ngày đêm túc trực ở trong phủ, chia nhau coi sóc mọi việc.
却说七辅之臣：卿郡名郑桥，乃禧祖仁王第五子，毅祖恩王之弟，在嗣王为祖叔，年尊德劭，但为人质实，于事无所可否。	Lại nói về bảy viên phụ chính này. Khanh quận công tên là Trịnh Kiều, tức là con thứ năm của Hy tổ Nhân vương, và là em Nhị tổ Ân vương, đối với chúa mới là hàng ông chú. Kiều là bậc tuổi cao, đức cả, song tính tình chất phác, thật thà, đối với công việc nên hay không nên cũng mặc, chẳng có ý kiến gì.
完郡名阮完，农贡兰溪人，癸亥科进士，为圣祖右司讲，历官吏部尚书参从致仕，起复参预朝政，为国庞硕之臣，但为人和缓，与世浮沉，模棱不断。	Hoàng quận công tên là Nguyễn Hoàn, người làng Lan Khê huyện Nông Cống, đỗ Tiến sỹ khoa Quí Hợi (1743). Trước Hoàn làm hữu tư giảng cho Thịnh vương, sau lên đến chức thượng thư bộ Lại, rồi làm Tham tụng. Hoàn đã về trí sỹ nhưng lại bị gọi ra tham dự triều chính, Hoàn là một vị trọng thần của nhà nước, nhưng tính người hoà hoãn, chìm nổi theo đời, gặp việc thường dè chừng, không quyết đoán.
泗川侯名潘黎藩，慈廉东鄂人，丁丑科进士，历官部侍郎参从，为人风度端雅，亦有经术，但其性深沉，多殉势利。	Tứ xuyên hầu tên là Phan Lê Phiên (có sách chép Duy Phiên hoặc Trọng Phiên), người làng Đông Ngạc, huyện Từ Liêm, đỗ Tiến sỹ khoa Đinh Sửu (1757). Phiên từng làm tả thị lang bộ Hộ, làm tham tụng; là người có phong độ đoan trang, học vấn rộng rãi, nhưng tính nết thâm trầm lại hay nương nhờ vào bọn quyền thế.
珠郡、棪郡、垂忠侯皆以宦者起身。	Châu quận công, Diễm quận công và Thuỳ trung hầu đều xuất thân từ hàng quan hoạn.
珠郡名珠，王山莲湖人，奉侍累朝，知兵番机密，为人谨厚，晚年以耆旧入政，然亦不用事。	Châu quận công tên là Lê Đình Châu, người làng Liên Hồ, huyện Ngọc Sơn, hầu hạ các chúa trải đã mấy triều. Châu có làm chức tri binh phiên cơ mật, là người trung hậu, lúc đã già vì là bậc kỳ cựu, nên được vào chính phủ, nhưng không giữ việc gì. Diễm quận công tức Trần Xuân Huy, người làng Khoái Lạc, huyện Thiên Bản; nguyên là gia thần của Thịnh vương, khi vương chưa lên ngôi. Lúc Thịnh vương lên cầm quyền, Huy được giao cho chức tri hộ phiên. Huy là người thuần thục, cẩn thận.
棪郡名陈春晖，天本快乐人，为潜邸家臣，及王亲政，授知户番，为人纯谨，王信之，命为世子阿保，夙夜在王左右，不预外事。	Thịnh vương rất tin, sai Huy làm a bảo cho thế tử, ngày đêm ở luôn bên cạnh thế tử, không dự gì đến những việc bên ngoài. Thuỳ trung hầu tên là Tạ Danh Thuỳ, người làng Khang Thượng, huyện Yên Mô, từng làm chức xuất nạp (một chức quan hầu cận của vua chúa chuyên giữ việc phát nhận giấy tờ, và truyền đạt mệnh lệnh) rồi lại làm trấn thủ Thanh Hóa (thời Lê trung hưng, Thanh Hoá gọi là Thanh Hóa).
垂忠侯名谢垂，安模康上人，历官出入，又领清华镇守，为人机智，济以文学，议论风生，王素所信重，召为世子保卫，但齿浅望卑，与同列不免委曲。	Thuỳ là người cơ trí, giỏi văn học, biện luận như gió. Thịnh vương vốn tin trọng, sai Thuỳ làm chức bảo vệ cho thế tử; nhưng vì Thuỳ tuổi trẻ chưa có danh vọng gì mấy, nên không tránh khỏi phải lép vế và chiều theo ý những kẻ đồng liêu.
天下之事，一由晖郡决断，无所异议者。	Bởi vậy, hết thảy mọi việc trong thiên hạ đều do một tay quận Huy quyết định, không có ai bàn qua nói lại gì hết.
原来这六人非尽与晖郡同心，晖郡为他各有位望，拘于同事使无他意。	Nguyên sáu người kia, không phải hết thảy đều một lòng với quận Huy cả. Chẳng qua thấy họ có địa vị và danh vọng, nên quận Huy mới lôi kéo họ vào cùng cánh với mình để họ khỏi có ý khác mà thôi.
惟棪郡乃邓氏之党，与泗川侯平日素相得，二人与晖郡为同心一体之人，而棪郡木讷寡闻，又得泗川与之心腹，泗川与晖郡皆迷于当局，完郡老儒，垂忠小慧，毕竟其心难测，其中老实无他，惟卿郡、珠郡尔。	Chỉ Diễm quận công vốn là phe đảng của Thị Huệ, xưa nay lại rất ăn ý với Tứ xuyên hầu; nên hai người này đều một bụng một dạ với quận Huy. Song quận Diễm là người dốt nát, ít hiểu biết, việc gì cũng phải nhờ Tứ xuyên hầu chỉ vẽ cho; mà Tứ xuyên hầu thì cũng như quận Huy, đều đang mê mẩn trong tình thế lúc bấy giờ. Còn Hoàn quận công là bậc lão nho. Thuỳ trung hầu là hạng khôn vặt. Rút lại không lường được bụng dạ của họ ra sao. Trong đó, thực thà không có ý gì, duy chỉ có Khanh quận công và Châu quận công mà thôi.
晖郡自主这局，凡事亦无所推诿，只要直截担当，人之同与不同，皆所不计。	Quận Huy tự đứng làm chủ cuộc, phàm mọi việc đều tự mình gánh vác, không cần đùn đẩy cho ai; người khác có đồng ý hay không, Huy cũng chẳng thèm kể đến.
时新王初立，主少国疑，街市之间，团三聚五，或言新王病垂危剧，宫中不日有变，晖郡威权太重，将有异图；或言正宫与晖郡私通，将以社稷托晖郡。	Lúc đó, chúa mới lên ngôi, vì còn thơ ấu nên người trong nước không khỏi có ý ngờ. ở phố phường người ta túm năm tụm ba bàn tán. Kẻ nói chúa mới bị bệnh rất nặng, chưa biết chừng ngày nào đó trong cung sẽ có biến; quận Huy uy quyền lớn quá, không khéo hắn sẽ cướp nước mất.
街巷为之语曰：「彼百官兮多暗少聪，使晖郡兮阴奸正宫。」	Người bảo chính cung tư thông với Huy, ả sắp đem xã tắc giao phó cho quận Huy. Bấy giờ, đầu đường xó chợ có câu ca dao như sau: Trăm quan ít sáng nhiều mờ (có sách chép: "Trăm quan có mắt như mờ" hoặc "Sáu ông cố mệnh ngẩn ngơ"); Để cho Huy quận vào rờ chính cung.
晖郡使提领官遍悬铁钧绞刀于诸市，戒曰：「敢聚语者，钩其舌而断之。」	Huy nghe tin, bèn sai quan đề lĩnh đem móc sắt và kéo treo khắp các chợ, doạ rằng những ai còn dám tụ họp nói chuyện thì sẽ móc lưỡi cắt đi.
由是道路以目，京畿耸然。	Do đó, ở ngoài đường sá người ta chỉ dám ghé mắt ngó nhau; dân chúng kinh kỳ đều sợ nơm nớp.
却说旧世子自新王立，邓氏每欲阴害之，垂忠以善言保护，邓氏为所牵夺，更不果，乃使出居左穿堂，着内匡、内翊、内仍、内轿四队官军监制，每日三奠许入府堂陪拜，礼毕，复就监所，日夜危栗，恐不自保。	Lại nói về thế tử cũ, từ khi chúa mới lên ngôi, Thị Huệ vẫn muốn ngầm hại thế tử, nhưng Thuỳ trung hầu thường tìm lời khôn khéo để che chở cho. Thị Huệ bị lời lẽ Thuỳ trung hầu giằng giữ, nên không dám quả quyết hành động. ả bèn bắt Tông ra ở tại nhà Tả- xuyên, rồi giao cho bốn đội Nội khuông, Nội dực, Nội nhưng, Nội kiệu giám sát. Mỗi ngày chỉ có ba bữa cúng cha, thế tử mới được vào phủ đường, lễ xong lại về sở giam. Vì vậy, thế tử ngày đêm lo lắng, sợ rằng không giữ được tính mạng.
