第十回。	Hồi thứ mười.
事势推移，为诸将所拥迫，取忤于帝。	Sự thế đổi thay, lại bị chư tướng ép buộc, thành ra trái ý hoàng thượng.
及整入京，宫阙即以焚毁，焚巢之鸟，盘飞无依，以是飘零江湖，不敢回阙，今朝桂坞，明日邯江，自营栖寓之谋，遂涉抗衡之迹，使恶之者得以执言，本来一片恭顺之虔，无由上达，公可曲为陈白，此回进止，惟上所命。」	Lúc Chỉnh vào kinh, cung khuyết liền bị tiêu huỷ. Con chim bị cháy tổ, bay quanh không biết nương nhờ vào đâu. Vì thế phải phiêu bạt giang hồ, không dám về nơi kinh khuyết. Nay Quế ổ, mai Hàm Giang, chỉ vì lo tìm nơi trú ngụ, bèn vướng lấy hình tích chống chế triều đình, khiến kẻ ghét mình có cớ mà nói. Mảnh lòng kính thuận, không có cách nào thấu đến bề trên. Ông hãy dùng lời lẽ khéo léo, tâu bày giúp cho. Lần này, dù tiến dù lui, tuỳ theo mệnh lệnh của hoàng thượng". Quỹ tiếp thư ấy, liền đem tâu vua.
揆得书以闻，帝怃然曰：「王一片真衷，朕已面谅，惟不善处变故至于此，果已回心知悔，朕必有以待之，不但宗国可保，富贵亦不失也。」	Vua ngậm ngùi mà rằng: - Tấm lòng thật thà của chúa, trẫm đã lường biết. Chỉ vì không khéo xử sự trong lúc gặp biến cố nên mới đến nỗi như thế. Nếu đã nghĩ lại và biết hối lỗi, trẫm sẽ có cách đỗi đãi, chẳng những giữ được dòng dõi, mà cũng không mất địa vị giàu sang.
因命揆为导迎使，接王归朝。	Luôn dịp, vua Lê bèn sai Quỹ làm sứ thần đi nghênh tiếp, đón chúa về triều.
时王在邯江，闻壤与整阴通信息，疑有异图，叹曰：「此非善地可居，吾宁浮海入山，毋宁坐以受辱。」	Lúc đó, chúa ở Hàm Giang, nghe nói Nhưỡng và Chỉnh ngấm ngầm thông tin tức với nhau, ngỡ rằng bọn chúng có mưu đồ gì khác, liền than rằng: - Đây không phải là chỗ yên lành có thể ở được. Ta thà vượt biển vào núi còn hơn là ngồi lại mà chịu nhục.
即使侍者密谋借商船，乘夜挈其徒，顺风开航，直趋山南，平旦，壤始知之，大惊曰：「王南幸而不告，得无有疑我意耶！	Rồi chúa sai người hầu bí mật mượn mấy chiếc thuyền buôn, đang đêm đem cả đồ đảng, thuận gió giương buồm chạy thẳng tới Sơn Nam. Sáng ngày Nhưỡng mới biết, rất lấy làm kinh sợ mà nói: - Chúa đi sang nam mà không bảo cho ta biết trước, phải chăng là có ý ngờ ta?
若不从王，此心不白，天下其谓我何？	Nếu không theo chúa, lòng này không sao bộc bạch ra được, thiên hạ sẽ cho ta là người thế nào?
亦以师舟尾之。	Tức thì, Nhưỡng cũng cưỡi chiếc thuyền binh chạy theo chúa.
王至真定，范尊麟谒见于舟次，麟，真定，博泽人也。其先世尊仕在景兴，初为恩王名将，累立战功，门阀颇高，素为郡邑所服。	Chúa đến huyện Chân Định thì có Phạm Tôn Lân (Cương mục chép là Phạm Đình Thiện) lên thuyền yết kiến. Lân quê ở làng Bác Trạch, huyện Chân Định (nay là huyện Kiến Xương, thuộc Thái Bình), vốn dòng dõi thế phiệt; ông tổ đời trước là Phạm Tôn Nhậm, một danh tướng của Trịnh Doanh, khoảng đầu niên hiệu Cảnh Hưng từng lập được nhiều chiến công, trong quận ấp ai cũng kính phục.
麟又豪侠，门庑食客，尝有百人，家中所藏器甲具足，为山南下镇豪目之最。	Tính Lân hào hiệp, khách ăn trong nhà thường có hàng trăm, khí giới cất giấu đầy đủ. Trong đám thổ hào của trấn Sơn Nam hạ, Lân là bậc nhất.
至是与王论兵事，且画进取之策，王深嘉悦曰：「我得公晚矣！	Lúc ấy gặp chúa, Lân bàn việc binh cùng chúa, và vạch chước tiến thủ. Chúa rất mừng và nói: - Tiếc rằng ta gặp ngươi muộn quá!
勉为我辅，以绍乃租功德。」	Ngươi hãy gắng giúp ta để nối công đức của tổ tiên ngày xưa.
麟曰：「臣本无才，幸得凭仗王灵，敢不竭其心力。」	Lân nói: - Tuần vốn không có tài gì. May được nhờ oai linh của chúa, dám đâu không hết lòng hết sức.
于是奉王至其家，自集徒众为之守护。	Rồi đó, Lân mời chúa về nhà, nhóm họp đồ đảng, hộ vệ cho chúa.
次日壤继至，使人先奉启云：「臣家累世蒙国厚恩，一心王室，臣今与有整情虽有故，而势不两立。	Hôm sau, Nhưỡng cũng đã theo đến nơi. Trước hết. Nhưỡng sai người đưa một tờ khải cho chúa, trong nói: "Nhà thần bao đời được đội ơn dày, một lòng với nhà chúa. Nay thần với Chỉnh, nói về tình tuy có quen thuộc, nhưng nói về thế thì không thể nào đứng đôi.
通国之人，亦皆知之，敢有何心，以辱先世。愿王察之，俾得效其尺寸之功，以补前过。」	Cả nước ai cũng biết điều đó, thần dám có lòng nào để nhục đến tổ tiên đời trước, xin chúa soi xét cho, khiến thần có thể lập được chút công, bù lại lỗi trước...".
王问麟，麟曰：「素闻壤重名，推为东州巨擘，幸得共事，深以为喜。」力劝王推诚柄用，以益其势，王许之。	Chúa xem khải rồi hỏi ý Lân, Lân vốn nghe tiếng tăm của Nhưỡng, thường coi là tay cự phách xứ đông, nay may được chung sức làm việc thì rất lấy làm mừng, nên cố khuyên chúa đem lòng thành thực mà dùng Nhưỡng để thêm thế lực.
麟即亲往迎壤，共至入见。	Chúa nghe lời, Lân lập tức tự mình ra đón Nhưỡng cùng vào gặp chúa.
由是二人相得，遂移檄太平、建昌、天长等府，约以起兵讨整，旬日间，归附者殆数万人，刻日齐进，舟楫满江，声势振薄，远近响应，人皆以为王业指日可复。	Do đó, hai người rất là tương đắc. Họ liền đưa hịch đi các phủ Thái Bình, Kiến Xương, Thiên Trường (Thái Bình, Kiến Xương sau đều thuộc tỉnh Thái Bình. Thiên Trường sau là Xuân Trường thuộc Nam Định (Hà Nam Ninh)), hẹn cùng dấy quân đánh Chỉnh. Trong khoảng mười ngày, người theo về có đến vài vạn. Họ định ngày cùng tiến quân, thuyền bè đầy sông, thanh thế lừng lẫy xa gần đều hưởng ứng. Nhiều người cho rằng, nghiệp chúa có thể tính ngày mà khôi phục.
故家子弟，如段阮俊、范玾、汝公僚、陶汝瓒诸人，亦各募乡兵来会，东西处处并起。	Con em nhà quan lúc trước, như bọn Đoàn Nguyễn Tuấn, Phạm Giáp, Nhữ Công Liêu, Đào Nhữ Toản cũng đều chiêu mộ người làng đến họp. Các xứ đông tây cùng nổi dậy trong một lúc.
登揆奉命迎王，行至先兴，路阻不得达而还。	Bấy giờ Trương Đăng Quỹ vâng mệnh đi đón chúa, đến huyện Tiên Hưng, đường bị nghẽn, phải trở lại.
会有游士从京师来，谒王，具言有整骄弄，众心离叛，帝亦见忌，劝王急进兵征之。	Vừa lúc ấy có người từ kinh thành tới yết kiến chúa, nói rõ việc Chỉnh chuyên quyền kiêu ngạo, lòng người không phục, vua cũng nghi kỵ, và khuyên chúa nên kíp tiến binh đánh Chỉnh.
王曰：「我有旧有裴辰润在京，今领金吾军，为四城提领，可使为内应，润职在巡徼，谁则疑之？」	Chúa nói: - Ta có viên tướng cũ là Bùi Nhuận, hiện ở kinh thành, coi quân Kim ngô, lĩnh chức tứ thành đề lĩnh, có thể bảo y làm nội ứng. Chức trách của Nhuận là việc tuần phòng, chắc không ai nghi ngờ.
乃使人赍旨密以告润，润乃谋诸所亲，悉易置坞门巡守更守卒。	Rồi chúa bèn sai người đưa tờ chỉ bí mật cho Nhuận, nói về việc ấy. Tiếp chỉ, Nhuận liền bàn với người thân tín. Đổi hết các quân canh giữ cửa ô.
整子沛川侯廉知其情，即发兵捕润，而使其将山南镇守曰选，发兵以攻王，水师至梧桐江，而步兵未渡大黄江口，觇者还报，壤以海舰最着二十艘，横江作一字阵，列铳船头，望之如城堞，选兵至，交战以舟小不能抵敌，为宝龙铳所射，辄沈于江，选惧，欲退保黄江，以与步兵相猗角，会东南风起，壤令海舰分泊两岸，维舟登陆，挥军走上岸，乘风射下选军船，而所将皆乌合，坐作进退，未娴号令，又倘佯无斗志，既登岸，步伍失次，选在江中望见之，大呼曰：「壤军败矣！」	Con Hữu Chỉnh là Bái xuyên hầu dò biết việc đó, lập tức sai quân bắt Nhuận; rồi sai tướng của Chỉnh là Nguyễn Viết Tuyển hiện làm chức trấn thủ Sơn Nam đem quân đánh chúa. Lúc lính thuỷ của Tuyển tới sông Ngô Đồng (thuộc huyện Giao Thuỷ, Nam Định (Hà Nam Ninh)), mà lính bộ chưa đến cửa Đại Hoàng (thuộc huyện Yên Mô, Ninh Bình (Hà Nam Ninh)), có người dò biết về báo với chúa. Nhưỡng đem hai chục thuyền biển lớn nhất, dàn ngang sông thành trận chữ "nhất", trên đầu thuyền bày đặt các thứ súng, trông như bức thành. Quân Tuyển đến đánh, vì thuyền nhỏ không thể chống cự, nhiều chiếc bị súng Bảo Long bắn chìm xuống sông, Tuyển sợ, định lui giữ Hoàng giang (tên sông, thuộc phủ Lý Nhân, Hà Nam (Hà Nam Ninh)) để cùng bộ binh nương tựa lẫn nhau. Thình lình có gió đông nam nổi lên, Nhưỡng liền sai các hải thuyền tản ra, ghé sát vào hai bờ, rồi buộc thuyền lại mà lên bộ. Tiếp đó Nhưỡng chỉ huy quân lính từ trên bờ theo chiều gió bắn xuống thuyền quân của Tuyển. Nhưng quân của Nhưỡng toàn là quân ô hợp, đứng, ngồi, tiến, lui chưa quen hiệu lệnh, lại hờ hững không có chí chiến đấu; nên sau khi lên bộ, hàng ngũ lộn xộn, chẳng ra sao. Tuyển ở dưới sông trông thấy vậy, liền hô to: - Quân Nhưỡng thua rồi!
于是疑惊大溃，夺路争走，互相践踏，不可复制，舟舰委弃江边，尽为选军所获，麟军在后望见败兵星散，皆谓壤已被贼杀了。	Thế là quân lính của Nhưỡng đâm nghi hoặc, rồi hoảng sợ, tan vỡ, đua nhau cướp đường mà chạy, giày xéo lẫn nhau, không sao ngăn cấm được nữa. Thuyền bè bỏ bừa ven sông, đều bị quân Tuyển bắt được. Quân Lân ở sau, trông thấy quân của Nhưỡng thua chạy tan tác, lại nghe nói Nhưỡng đã bị giặc giết rồi, nên đều kinh ngạc run sợ.
众皆惊愕股栗，麟亦不能约束，同时俱溃，鳞乃扈王乘单舸顺走太平，夜半抵东关，忽闻鼓声点点，如军行之号。	Riêng Lân cũng không thể kiềm thúc được nữa, thế là cùng lúc ấy, đám quân tan vỡ luôn. Lân bèn hộ vệ chúa, cưỡi một chiếc thuyền, xuôi dòng chạy sang phủ Thái Bình. Chừng nửa đêm, đến huyện Đông Quan, chợt nghe tiếng súng đùng đùng, giống như hiệu lệnh hành quân.
或言选兵追蹑，或疑劫伙抢攘，使细作觇之，方知是陈孟匡的。	Có người bảo quân Tuyển đuổi theo. Có người ngờ là bọn kẻ cướp. Sau Lân sai người đi dò, mới biết đó là quân của Trần Mạnh Khuông.
那孟匡，东关豪目，家资富厚，颇有义概，初得檄，即纠合县兵应义，约以是日进发，见在沛下屯相去不远。	Trần Mạnh Khuông là một người hào mục ở huyện Đông Quan, gia tư giàu có, lại có nghĩa khí. Khi mới tiếp được tờ hịch, lập tức tụ tập quân lính trong huyện để hưởng ứng việc nghĩa, hẹn ngày hôm ấy xuất quân ra đi. Lúc này quân Khuông đóng ở Bái Hạ, cách đấy không xa.
王听了，急使召之，匡从使者来谒，王谓曰：「寡人才德谫劣，不自惴量，动辄颠蹶，为今之计将若之何？」	Nghe nói, chúa bèn vội vàng sai người đến gọi Khuông. Khuông theo sứ giả tới yết kiến, chúa nói: - Quả nhân tài hèn, đức kém, không biết tự lượng sức mình, hễ hành động gì liền bị vấp ngã. Bây giờ nên làm thế nào?
匡曰：「胜负兵家之常，虽累胜之兵，亦有一败。	Khuông nói: - Thua được là sự thường của nhà binh, dù là đạo quân thắng trận luôn, cũng phải có một lúc thua trận.
故古之良将，先视地形，筑营垒，储粮食，备缓急，进足以取，退足以守，此为万全之策，何至一败便北。	Cho nên tướng giỏi đời xưa trước hết phải xem hình thế, đắp doanh luỹ, chứa lương thực, phòng bị sẵn những khi xảy ra việc cần kíp, làm cho khi tiến có thể đánh, khi lui có thể giữ. Đó chính là cái chước vạn toàn, không làm gì đến nỗi thua một trận mà đã phải bẹp hẳn.
臣县有沛下邑，四面沃野，前阻大江，出入只有一路，又有小溪屈曲，外通于江，可运军饷，前年兵乱，本地方界在东南之冲，臣曾已一番经理，濠堑已固，但连岁不登，谷粟尚未实尔！	ở huyện tôi có làng Bái Hạ, bốn mặt đều là đồng lầy, phía trước có sông lớn chặn ngang, chỉ có một lối ra vào, lại có khe nhỏ quanh co thông với con sông, có thể dùng để chuyển vận quân lương. Cuộc loạn lạc năm trước, địa phương đây ở vào chỗ xung yếu của hai vùng đông và nam, nên tôi đã cho sửa sang lại, nay hào rãnh đều đã bền vững. Chỉ hiềm luôn mấy năm mất mùa, thóc lúa tích trữ chưa được đầy đủ mà thôi.
请移驾权驻，徐为后图。」	Xin chúa hãy tạm dời xa giá về đó, rồi thong thả sẽ tính chuyện sau.
王从之，署麟军府长史，匡为行营使，引兵入沛下邑屯，仅得信宿，匡派人征粮未至，适整再使阮如泰将步兵来，与曰选合兵攻之，水陆相接，前后夹击，屯中据险以守，旬余不能拔，选乃筑长围以绝粮道，王师食尽，至掘芭蕉树根以食之，势益困窘，麟、匡急呼手下告曰：「与其作沛下馋鬼，何如决一死战，快杀数百人，汝辈谁能共我一乃心力，使我不负王，汝辈亦不负我。	Chúa Trịnh nghe theo, bèn phong cho Lân làm quân phủ trưởng sử. Khuông làm chức hành doanh sứ, dẫn quân vào đóng ở ấp Bái Hạ. Ở đó mới được vài đêm, Khuông sai người đi trưng thu lương thực chưa về, thì Chỉnh đã lại sai Nguyễn Như Thái đem lính bộ đến, hợp với quân của Tuyển, hai đường thuỷ bộ tiếp nhau, hai mặt trước sau đánh dồn lại. Trong đồn dựa vào tình thế hiểm yếu mà giữ, quân Chỉnh đánh luôn mười ngày không hạ được. Tuyển bèn đắp luỹ dài để tuyệt đường lương thực của quân chúa. Quân chúa hết lương đến nỗi phải đào cả củ chuối mà ăn, tình thế rất là khốn quẫn. Lân và Khuông vội gọi các thủ hạ mà bảo rằng: - Ngồi đây để làm con ma chết đói của làng Bái Hạ, sao bằng quyết một trận tử chiến, giết lấy vài trăm tên giặc cho sướng tay? Các ngươi ai là người có thể chung lòng góp sức với ta, để ta khỏi mang tiếng phụ chúa mà các ngươi cũng không mang tiếng phụ ta.
纵死不失为忠义鬼，幸得不死，将来勋业未可量也。」	Dẫu có chết còn được làm con ma trung nghĩa. May mà không chết, rồi đây công lao sự nghiệp sẽ không biết đến đâu mà lường!
众皆感激，愿从者百余人，人定后，各乘竹舟从溪道去，乘选、泰不意，放火焚其营，二人仓皇不能拒战，麟、匡乃溃围奉王而出，夺舟从海门东去，选引兵迫之不及，泰纵兵入沛下大肆屠戮，男妇老幼靡有所遗。	Mọi người nghe nói đều cảm động, có hơn trăm người xin theo. Đêm đến, bốn bề đã vắng lặng, họ bèn cưỡi thuyền nan, theo đường khe mà đi ra. Nhân lúc Tuyển và Thái sơ ý, họ liền phóng hoả đốt doanh trại. Hai người hoang mang không kịp chống cự. Lân và Khuông tức thì phá vỡ vòng vây, đem chúa ra, cướp mấy chiếc thuyền, rồi theo cửa biển chạy thẳng về phía đông. Tuyển đem quân đuổi theo, nhưng không kịp. Thái thả quân vào làng Bái Hạ, chém giết lung tung, trai, gái, già, trẻ, không sót lại một người.
自兵兴以来，无处不干戈，而杀戮之惨，未有甚于此者也。	Từ khi dấy cuộc binh đao tới lúc này, không chỗ nào không có nạn chém giết, nhưng chưa có đâu bị chém giết thảm hại như ở đây.
且说自梧桐之败，壤只身东奔，其战船军资遗弃殆尽，及沛下屯溃，王奔还海阳，复与麟等同泛海，往安广，诈称商客，分寓于万宁州民舍，未几，辚以家事辞归，从王者独孟、匡而已，月余匡病卒，王左右无人，海外羁栖，情况最为萧索，自念浮生富贵，都是梦境，昔人有自矢，愿世世勿生王家，佛闵一切众生，沉沦苦海，达人达见，真为万世明鉴，向我寓彰德时，已有此想，乃自解韬尘魔，法号海达禅师，遍游谅山、高平诸寺。	Lại nói, sau trận thua ở sông Ngô Đồng, Nhưỡng một mình chạy về phía đông, thuyền bè và đồ quân dụng bỏ mất gần hết. Đến khi đồn Bái Hạ bị vỡ, chúa chạy về Hải Dương, lại cùng bọn Lân vượt biển tới đất Quảng Yên, giả làm khách buôn, chia nhau ở trọ trong các nhà dân ở châu Vạn Ninh (nay là đất Móng Cái (Quảng Ninh)). Chẳng bao lâu, Lân vì có việc nhà, cáo từ xin về, người theo hầu chúa chỉ còn lại Mạnh Khuông mà thôi. Sau đó hơn một tháng, Khuông lại mắc bệnh, rồi chết. Lúc bấy giờ, bên cạnh chúa không còn có ai, chúa một mình sống lẩn lút ở vùng ven biển, tình cảnh rất là điêu đứng. Chúa nghĩ bụng: "Giầu sang ở kiếp phù sinh, đều là cảnh mộng. Bởi vậy, ngày xưa đã có người xin thề đời đời đừng sinh vào nhà đế vương... Phật thương hết thảy chúng sinh bị chìm đắm trong biển khổ. Óc Người thông suốt, ý kiến Người thông suốt, thật như gương sáng muôn đời. Từ lúc ta ở trọ đất Chương Đức đã có ý nghĩ như thế.
有京北生员武虔，避乱居谅山，遇王于三教寺，谈经说法，心知之，以告其藩臣何国骥、阮克陈等，二人乃托为斋蘸事，邀王归其家，屏人进曰：「臣等世袭藩屏，远幕朝廷威德，但闻人说黎皇郑王如在天上，天下无事，臣等何以得见王，不幸国家有难，乘舆远幸沙塞，臣民孰不痛心，此正忠臣义士，经纶好时节，臣请奉归团城，倡大义以图兴复，仰赖鸿福，大勋用集，琐琐蛮酋，幸得厕云台末列，臣等之愿也。」	Bây giờ nên quay đầu lại là hơn". Thế rồi chúa Trịnh gột sạch ma chướng ở đời, tự xưng là Hải đạt thiền sư, dạo khắp các chùa ở vùng Lạng Sơn, Cao Bằng. Bấy giờ có người học trò đất Kinh Bắc tên là Vũ Kiền, chạy loạn lên ở Lạng Sơn. Một hôm Kiền gặp Hải đạt thiền sư ở chùa Tam Giáo, nhân trong lúc đàm kinh thuyết pháp, Kiền ngầm biết đó là chúa, bèn báo với bọn phiên thần ở đó là Hà Quốc Ký, và Nguyễn Khắc Trần (có bản chép là Nguyễn Khắc Lâm). Hai người bèn vờ nói là có việc làm chay, đón Hải đạt thiền sư về nhà, rồi đuổi hết người nhà ra mà bảo với nhà sư rằng: - Chúng tôi nối đời làm bề tôi ở chốn biên cương. ở xa vẫn mến oai đức của triều đình, thường chỉ nghe người ta nói vua Lê chúa Trịnh như ở trên trời.
