第七回。	Hồi thứ bảy.
须集众议定官名，以众议请于帝，帝那得不从！」	Nay ông hãy định ngày hội họp các quan để bàn về việc đặt tên các quan chức rồi sau đem những lời bàn ấy mà tâu xin với nhà vua, hẳn là nhà vua phải nghe theo.
硕善其言，乃为晓示文武：言阮整引兵入寇，其受命讨贼，失律丧师，以致京城失守，自甘万罪，幸天心悔祸，贼众潜逃，今山河宛然，帝王如旧，但纪纲一坏，朝政纷如，武将文臣岂应一向缄然，请以本月日会于礼部堂，相与商议，奏请皇上，启知王上，付下施行，以正朝廷体统。	Quận Thạc khen phải, rồi sai thảo tờ hiểu thị các quan văn võ, đại ý nói rằng: "Khi Nguyễn Hữu Chỉnh đưa giặc vào cướp nước, mỗ vâng mệnh dẹp giặc, chẳng may đã sai phạm quân luật và làm tan vỡ quân đội, đến nỗi kinh thành không giữ được, thật là đáng chịu tội muôn lần. May nhờ lòng trời hối hoạ (một quan niệm cũ cho rằng, mọi tai hoạ ở trên đời đều là do trời gieo rắc, khi tai hoạ hết, ấy là lúc trời đã hối lại), quân giặc phải lẻn trốn về. Nay non sông lại y nguyên, vua chúa vẫn như cũ. Nhưng giường mối đã đổ, triều chính lại càng rối bời. Tướng võ, quan văn, há nên một mực im lặng? Vậy xin định đến ngày này tháng này, hội họp ở bộ Lễ, cùng nhau bàn định, rồi sẽ tâu lên hoàng thượng và trình lên vương thượng biết; sau đó xin giao xuống cho thi hành, để chỉnh đốn lại thể thống của triều đình".
众见此，咸以为硕为帝作会，以报西龙宫之役。	Mọi người thấy tờ hiểu thị đó, đều cho rằng quận Thạc vì nhà vua mà mở ra cuộc họp ấy, để báo thù lại cuộc họp của Nhưỡng ở Tây long trước đây.
至日，硕提兵自皇城出，攘提兵自王府来，人或以为两将交锋，有逃而去者，及见两人相接无恙；又以为硕赚壤于坐取之，稚将必坠老将计，终莫能知其意者。	Đến ngày đã định, quận Thạc kéo quân từ hoàng thành ra, Nhưỡng dẫn quân từ phủ chúa lại, người ta chắc là hai tướng sắp sửa đánh nhau, có kẻ sợ vạ lây đã phải lánh đi nơi khác. Nhưng đến khi thấy hai tướng đã gặp nhau mà không xảy ra chuyện gì, thì người ta lại đồ rằng quận Thạc lừa cho Nhưỡng ngồi vào họp rồi mới bắt, tướng trẻ tất phải mắc mưu tướng già. Rút lại, chẳng ai hiểu được ý định của quận Thạc như thế nào?
及文武赴会，相叙礼毕，硕问在会者曰：「王立已逾时，而朝廷政事未成头绪，诸公有所见者，各各开展，共择所当行者，以请于上。」	Kịp đến lúc các quan văn võ đến họp, chào hỏi nhau xong, quận Thạc nói: - Chúa lên ngôi đã hơn một tuần, mà chính sự vẫn chưa ra đầu ra mối gì cả, các ông có ý kiến gì xin cứ bày tỏ, rồi cùng lựa chọn những điều đáng làm để đem tâu xin với bề trên.
众未知所言，宁逊独多狡智，欲以双头说探硕意？	Mọi người còn chưa biết nói thế nào. Trong đám có Ninh Tốn là tay lắm mưu mẹo giảo quyệt, định dùng lối nói lập lờ nước đôi để dò ý quận Thạc, bèn lên tiếng mà rằng: - Từ khi sáng nghiệp về sau, quyền ở nhà vua.
曰：「创业以后，权在皇家，中兴以来，政归王府。」方才开说，壤诘之曰：「今是创业前欤？是中兴后欤？	Từ ngày trung hưng lại đây, quyền ở phủ chúa... Tốn vừa mở miệng đến đấy, đã bị Nhưỡng hỏi vặn ngay: - Bây giờ là sau đời sáng ngiệp hay là sau đời trung hưng?
如何带说创业来，看伊员官某说得讷甚乃尔！」	Làm sao lại còn nói đèo thêm đời sáng nghiệp vào nữa? Xem viên ấy là quan chức gì mà nói dốt đến vậy?
，逊有急辨才，曰：「某只援引以明中兴后如此尔。」	Tốn vốn có tài đối đáp nhanh nhẹn, liền nói luôn: - Ấy là tôi cũng chỉ viện dẫn ra để tỏ rằng, từ sau đời trung hưng thì như thế đó mà thôi!
壤曰：「如此，公可草议！」	Nhưỡng nói: - Nếu vậy thì mời ông ra thảo bản nghị sự.
逊议以为帝王相为一统，今官名从帝始定，亦宜并存旧名，请以平章兼参从、参知兼陪从、签书省事兼添差、都给事中兼六番知番、武臣掌府署府、兼加五军都督府、左右都督等字，议事堂在府门外，耳目惯习，请仍旧。	Tốn bèn thảo một bản nháp, đại ý như sau: "Nhà vua, nhà chúa, vẫn là một thể. Nay tên gọi các chức quan ở phủ chúa phải theo như chỉ ý của nhà vua vừa mới định, nhưng cũng nên giữ cả tên gọi cũ. Vậy xin để chức bình chương kiêm chức tham tụng, tham tri kiêm bồi tụng, thiêm thư kiêm thiêm sai, đô cấp sự kiêm lục phiên tri phiên. Về hàng quan võ thì những chức chưởng phủ, thự phủ, sẽ thêm vào những chữ ngũ quân đô đốc phủ, tả hữu đô đốc. Còn nhà nghị sự ở ngoài cửa phủ đã quen tai mắt thiên hạ, xin cứ để nguyên như tên cũ.
政事议成，先启于王，而取裁于皇上。	Các việc chính sự sau khi bàn xong, trước hết phải trình cho chúa biết, rồi sau mới tâu vua để xin nhà vua quyết định".
壤看议案，见文藏巧意，虽名为从帝而实则归重于王，反喜曰：「人称公老于词翰，果然。	Nhưỡng coi bản nháp của tờ nghị sự, thấy lời văn chứa đựng những ý từ khôn khéo, tiếng rằng theo vua mà kỳ thực là xem trọng ở chúa, bèn đổi ra giọng vui mừng mà rằng: - Người ta khen ông là tay lão luyện về nghề từ hàn, quả thật là không sai!
顷者仆适失口，幸勿见罪！」	Vừa nãy tôi nói lỡ lời, xin ông đừng giận.
乃使逊修奏本以进。	Rồi Nhưỡng bảo Tốn chép thành bản tâu để dâng lên nhà vua.
本成，壤自以前言抵牾，不敢见上，辞归。	Lúc bản tâu đã chép xong, Nhưỡng tự thấy rằng việc làm ấy và lời hứa của mình với nhà vua trước đây là trái ngược nhau, nên không dám giáp mặt vua, bèn cáo từ các quan mà về dinh.
武人诸员皆随壤散，硕与众官入殿请旨，上初以硕必顺旨，喜令引见，及览奏，怒曰：「参从便参从，何必带平章参知？	Các viên quan võ cùng đều theo Nhưỡng ra về hết. Chỉ còn lại quận Thạc và mấy viên quan văn vào điện để xin mệnh của nhà vua. Hoàng thượng lúc đầu tưởng quận Thạc hẳn phải thuận theo ý mình, nên rất mừng, cho người dẫn ông ta vào ra mắt. Đến khi coi hết tờ tâu, hoàng thượng nổi giận mà rằng: - Tham tụng, bồi tụng cứ việc tham tụng, bồi tụng, hà tất phải đèo thêm bình chương, tham tri?
掌署便掌署，何必带五军都督？	Chưởng thự cứ việc chưởng thự, can gì phải đèo thêm ngũ quân đô đốc?
卿等以虚文欺朕，若狙诈然，此岂事君之礼？」	Bọn các ngươi lấy hư văn mà đánh lừa ta; bịp bợm, xảo trá như vậy, há phải là lễ thờ vua?
硕思从来与帝有深底意思，一旦无故换改，惭怍不敢出言，叩头谢罪而已。	Quận Thạc nghĩ xưa nay mình với nhà vua vốn có ân tình sâu xa, bỗng dưng vô cớ thay đổi thì thật là xấu hổ, vì vậy, không dám hé răng, chỉ cúi rập đầu tạ tội mà thôi.
宁逊跪奏曰：「今城外皆为战场，天下大乱，而朝廷政事纷错，臣等冒干天威，不胜震剽，惟皇上烛照！」	Ninh Tốn quỳ tâu: - Nay ở ngoài thành đều là bãi chiến trường, thiên hạ đang loạn lớn, mà chính sự trong triều đình thì vẫn còn rối bời. Lũ thần trót phạm oai trời, thật là sợ hãi khôn xiết. Dám xin hoàng thượng soi xét.
上曰：「城外皆为战场，是谁家所致？	Hoàng thượng nói: - Ngoài thành đều là bãi chiến trường, vạ ấy hỏi tại nhà ai gây ra?
何者罪在朕躬，不须多言。	Đâu phải là lỗi ở trẫm?
卿等自量党众，足以胁制，辄自为之，何必苦请。」	Thôi đừng nói lắm, lũ ngươi tưởng rằng bè đảng đông, có thể ăn hiếp được trẫm, thì cứ việc làm đi! Cần gì mà phải xin mãi?
硕等皆惶恐，汗出沾背，不敢固请，乃相率长伏于庭，入漏不起。	Bọn quận Thạc đều sợ hãi, bồ hôi toát ra khắp lưng, không dám nài xin gì nữa; bèn cùng nhau phủ phục ở sân rồng, mãi đến đầu canh một chưa dậy.
上以为人怀异心，既不可恃，坚执无益，乃允其奏。	Hoàng thượng thấy họ cứ nằm lỳ ở sân, nghĩ rằng người ta đã có bụng khác với mình, không thể trông cậy được nữa, dầu có cố giữ ý mình cũng là vô ích, bèn ưng cho lời tâu của họ.
硕等得请，拜谢而出。	Bọn quận Thạc xin được mệnh lệnh rồi, liền lạy tạ mà ra.
翌日，入府择官，众议以为王初得位，皇上所信用人，如泗川侯未可骤去，乃以泗川侯为平章事兼参从，继烈侯奎峰侯为同平章事兼行参从，硕郡为中军都督府左都督掌府事加爵硕武公，壤为东军都督府左都督署府事加爵琏郡公，吴仲圭宁逊等，并为参知政事兼知陪从，阮辉昭、潘辉益等六人，并为六科都给中兼添差知番。	Hôm sau, họ cùng vào phủ để lựa chọn các quan. Mọi người bàn bạc cho rằng, chúa mới được lên ngôi, những người mà hoàng thượng tin dùng như loại Tứ xuyên hầu, chưa nên gạt bỏ vội. Rồi họ bèn lấy Tứ xuyên hầu (tức Phan Lê Phiên) làm chức bình chương kiêm tham tụng; Kế liệt hầu (tức Bùi Huy Bích) và Khuê phong hầu (tức Phan Cận) cùng làm chức đồng bình chương sự kiêm hành tham tụng; quận Thạc làm trung quân đô đốc phủ, tả đô đốc chưởng phủ sự, tước Thạc vũ công; Nhưỡng làm đông quân đô đốc phủ, hữu đô đốc thự phủ sự, tước Liễn quận công; Ngô Trọng Khuê, Ninh Tốn đều làm tham tri chính sự kiêm bồi tụng; Nguyễn Huy Chiểu, Phan Huy ích, cả bọn gồm sáu người đều làm chức đô cấp sự trung, kiêm thiêm sai tri phiên trong sáu khoa. Mệnh đó được ban xuống.
命下，泗川辞不拜，继烈侯自愧无状，曰：「吾为相不吉，前事可鉴，一生又几回误人国耶？」	Tứ xuyên hầu từ chối không nhận. Kế liệt hầu thì tự thẹn mình không làm được công trạng gì, nói: - Ta làm tể tướng không được tốt lành (trỏ việc Bùi Huy Bích trước kia làm tham tụng (tướng quốc) nhưng bất lực, để Tây Sơn lấy được Bắc Hà). Việc trước hãy còn tấm gương sờ sờ ra đấy. Một đời lại định mấy lần làm hại nước người ta nữa?
亦不拜，惟奎峰侯独任事，而国柄则在壤手，硕武公老讷不知政事，亦备员而已。	(người ta đây chỉ vào nhà vua; quan niệm phong kiến cho nước là của vua). Rồi Kế liệt hầu cũng không chịu nhận chức. Chỉ có Khuê phong hầu một mình gánh vác công việc.
政府官僚既备，日谋裁抑皇家，兵民事权尽归王府，而别议皇上禄，略加前朝。	Nhưng bấy giờ quyền bính trong nước đều ở tay Nhưỡng. Còn quận Thạc thì già nua dốt nát, chẳng biết gì đến chính sự, chỉ giữ một chức quan cho đủ số mà thôi: Quan liêu trong chính phủ đã đầy đủ, họ bèn ngày ngày bàn mưu tìm kế để đè nén nhà vua, muốn cho tất cả quyền hành về việc binh, việc dân đều thuộc về phủ chúa. Riêng có bổng lộc của nhà vua, thì họ bàn nhau đãi hậu hơn các triều trước một chút.
皇上亦每事牵持，兵民政事，纷然无定，皇上益招兵马自卫，潜有制王之谋故事。	Nhưng hoàng thượng cũng không chịu lép vế, cứ mỗi việc mỗi giằng giữ co kéo, thành ra các việc binh, dân, chính đều rối tung chẳng đâu vào đâu. Rồi đó hoàng thượng lại ra sức mộ thêm binh mã để tự vệ, và ngấm ngầm lập mưu chế ngự nhà chúa.
内殿有辅佐官，王使皇亲之附王者为皇上辅佐，上曰：「吾始许为王，坐榻犹战栗，骤欲使人窥伺，作承平规模，公归语晏都王，既欲使公为朕辅佐，朕还使公来辅佐王。」	Lệ cũ, nội điện nhà vua có một viên quan phụ tá. Án đô vương bèn sai một hoàng thân tin cẩn của mình đến sung vào chức đó. Hoàng thượng bảo với vị hoàng thân ấy rằng: - Ta vừa cho lên làm chúa, sập ngồi còn rung rinh, thế mà đã vội sai người đến dòm dỏ, làm như nền nếp lúc thái bình ấy. Ông về bảo chúa án đô rằng, chúa đã sai ông đến làm phụ tá cho trẫm, thì trẫm cũng khiến ông trở lại làm phụ tá cho chúa.
皇亲出，上曰：「左右记之，如那人再来，刖其足。」	Vị hoàng thân ấy lui ra, hoàng thượng bèn dặn mấy người tả hữu: - Các ngươi hãy nhớ lấy, hễ mà người này còn lại đây nữa, thì cứ chặt chân hắn đi cho ta!
于是帝王相仇。	Thế là từ đó, vua chúa đâm ra thù nhau.
王初入城时，济逃归嘉林，王重济为人，使人召之。	Hồi án đô vương mới vào kinh thành, Trọng Tế trốn về huyện Gia Lâm. Vương vốn mến tư cách của Trọng Tế, lúc này bèn cho sứ giả đi mời.
济至，谓曰：「蛮寇畿甸，文武或奔归或投降，卿以儒臣，敢于环畿对垒拒战，义声震薄，狂寇逋逃，亦卿威风所慑，此壤硕所不及也！	Khi Tế đến nơi, vương nói: Trong lúc giặc mọi vào cướp kinh kỳ, các quan văn võ hoặc chạy trốn hoặc đầu hàng, riêng ngươi là nho thần lại dám lập đồn bên cạnh kinh thành để chống nhau với giặc; cái tiếng nghĩa khí của ngươi đã làm rung động cả nước, bọn giặc càn rỡ sở dĩ phải trốn đi, cũng chính là sợ về oai phong của ngươi. Điều đó, quận Thạc quận Liễn không thể sánh kịp.
卿初入城，先以立王为第一义，虽瑞郡事不成，而王家声势，亦自此始。	Vả lại, ngươi mới thoạt vào thành đã lấy ngay việc lập chúa làm điều trước nhất. Tuy việc quận Thuỵ không thành, nhưng thanh thế nhà chúa lại nhen nhúm lên được cũng là từ đấy.
我初得位，皇王未睦，天下纷纭，卿勉留辅我！」	Nay ta mới được lên ngôi, nhà vua với ta lại chưa hoà thuận, mà thiên hạ thì đang còn rối ren, vậy ngươi hãy cố ở lại giúp ta.
乃以济掌财赋事，而扳其门人阮称为进朝。	Sau đó án đô vương bèn cho Tế trông nom về việc tài phú. Nguyễn Mậu Nễ, học trò của Tế, cũng được cất nhắc lên làm chức tiến triều.
济素怨帝，乃言曰：「一统之说出于整贼，殊无义理！	Tế vốn có bụng oán giận nhà vua, liền nói với án đô vương: - Cái thuyết nhất thống (tập trung quyền bính vào tay nhà vua) do ở giặc Chỉnh xướng ra, thật không nghĩa lý gì hết.
从来帝委王以权，而王扶帝以位统，何尝二？	Xưa nay nhà vua vẫn uỷ quyền cho nhà chúa, mà nhà chúa thì phò giúp mối giường của nhà vua; có hề "nhị thống" (quyền lực thuộc vào cả vua và chúa) bao giờ?
皇家不与王家共难，反利王家之失守，泗川之徒，屈身虏廷，附帝而不知有王者，此皆天理人事之所不容！	Nhà vua đã chẳng chịu chung tai nạn với nhà chúa, trái lại còn lấy sự thất bại của nhà chúa để làm lợi cho mình. Bọn Tứ xuyên hầu đã cúi mình theo giặc, giờ lại hùa theo nhà vua mà không biết chi đến chúa. Đó đều là những việc mà lẽ trời, tình người đều không thể dung tha.
昨王来迟，臣不得已扶瑞郡公，王若来早，臣岂容降辈，至今尚得逃刑。	Dạo nọ vì chúa đến chậm, thần bất đắc dĩ mà phải phò Thuỵ quận công. Nếu chúa đến sớm, thì thần há lại để cho bọn đầu hàng giặc tới nay vẫn còn trốn khỏi hình pháp?
皇家宗室尚多，别求垂拱一位，想亦不乏其人，红毛帝从红毛贼去也，亦久矣！」	Tôn thất nhà vua hãy còn nhiều, tìm một vị khác làm người khoanh tay rủ áo, tưởng cũng không thiếu gì. Chúa mà đến sớm hơn nữa, ông vua "lông đỏ" hẳn đã phải đi theo bọn giặc "lông đỏ" từ lâu rồi!
乃为王谋以兵围殿，尽捕帝家臣诛之，废帝别立。	Đoạn, Tế xui án đô vương cho quân vây điện vua ở, bắt hết bọn gia thần của vua giết đi, rồi bỏ vua này mà lập vua khác.
谋定，使阮你将兵逼其前，而密令润泽侯从东华门袭其后。	Mưu mô đã định xong, Tế bèn sai Nguyễn Mậu Nễ đem quân chẹn ở phía trước điện, đồng thời ngầm cho Nhuận trạch hầu (Bùi Nhuận) lẻn vào cửa Đông Hoa để đánh úp mé sau.
帝闻变，令皇亲毕将所募兵守御，你骑象至大兴门外，势头甚猛，殿内惶恐将溃，忽见硕武公骑象从殿后东华门来，止你不得进，曰：「你欲全生，速收军回！不然我先斩汝头号令，然后尽捕逆党诛之。」	Hoàng thượng nghe tin có biến, liền sai các hoàng thân đem hết binh lính đã mộ ra chống giữ. Nễ cưỡi voi đến ngoài cửa Đại Hưng, khí thế rất mạnh, khiến cho trong điện ai nấy đều run sợ, cơ hồ muốn tan vỡ. Thình lình thấy quận Thạc ngồi trên đầu voi từ phía sau điện xông tới cửa Đông Hoa, ngăn Nễ không được vào nữa và quát: - Mày muốn sống thì mau mau thu quân về, bằng không, tao sẽ chặt đầu mày trước để bêu ra cho thiên hạ coi, rồi sau sẽ bắt nốt những tên trong đảng nghịch.
原来硕素忌济名，且这大逆事，心亦不许。硕时为提领正号保守皇城，恐殿内有变，均蒙罪名，故急止其事。	Nguyên quận Thạc vốn ghen với danh vọng của Tế, vả lại trong bụng cũng không ưng cái việc đại nghịch ấy; mặt khác, lúc bấy giờ, quận Thạc đang làm chức đề lãnh chính hiệu, phải gìn giữ hoàng thành, e rằng trong điện có biến thì mình cũng mang tội, vì vậy quận Thạc phải kíp ngăn cản.
你畏硕乃退，润泽侯亦不敢入，于是殿内无事。	Nghe Thạc quát, Nễ sợ hãi lùi ngay, Nhuận trạch hầu cũng không dám vào nữa. Thế là trong điện được vô sự.
帝大怒，谓左右曰：「恶党既繁，祸根难拔，除是右军再来，事何由济。」	Hoàng thượng giận lắm, bảo các quan tả hữu rằng: - Đảng ác đã đông, gốc hoạ khó mà nhổ nổi. Nếu không có hữu quân (chỉ vào Nguyễn Hữu Chỉnh) trở lại, thì việc tất không xong.
乃谋召整出师入卫。	Rồi đó, hoàng thượng bèn bàn tính việc vời Nguyễn Hữu Chỉnh đem quân ra bảo vệ kinh sư.
却说整自南兵潜归时，以孤舟尾南兵后，至海外，阻风累日，旬余始抵会统海门。	Lại nói, sau khi quân Nam lén lút về, Chỉnh cướp được chiếc thuyền hối hả đuổi theo, ra đến biển lại bị gió cản lại luôn mấy ngày, chừng hơn một tuần mới vào đến cửa biển Hội Thống.
舟次东海津下，适西山兄弟从陆路回，至永营。	Lúc thuyền của Chỉnh đậu ở dưới bến Động Hải (tức xã Đông Hải, quê Chỉnh.
平闻整脱归，大惊曰：「杀汉巧觅生，譬如十五叉鬼轮回作殇，割不可断。」	Nay thuộc Nghi Lộc, Nghệ Tĩnh), thì cũng vừa gặp lúc anh em Tây Sơn đi đường bộ đã vào tới Vĩnh Doanh (tức vùng thị xã Vinh Bến Thuỷ bây giờ) Bình nghe tin Chỉnh đã trốn thoát và theo về đến đó thì cả kinh mà rằng: - Thằng chết tiệt này khéo tìm đường sống, thật chẳng khác gì mười lăm giống quỉ dạ xoa luân hồi làm hại, cắt cũng không đứt đi cho.
乃慰而抚之。	Tuy vậy, lúc Chỉnh vào ra mắt, Bình vẫn vỗ về yên ủi.
整请从归，平曰：「今硕壤未除，安南非公不可治，公姑留此！」	Chỉnh xin theo Bình cùng về, Bình nói: - Nay quận Thạc quận Liễn chưa trừ xong, nước An Nam phi ông không ai trị nổi; ông hãy tạm ở đây đã!
乃与整分所俘获铜铁诸铳与军器诸物件，送至东海，整辞不受，再送整黄金二百两、白金二百两，留兵一百人为整卫。	Rồi Bình sai người san sẻ các thứ súng đồng, súng sắt, cùng những khí giới, đồ lề thu được ở Bắc Hà, đem đến Đông Hải cho Chỉnh.
整自知留兵无用，乃受金而还其兵，曰：「臣请自调用所在土人，或力不及，驰封告急，那时请别差兵将为援。」	Chỉnh từ chối không nhận. Bình lại cho Chỉnh hai mươi lạng vàng, hai trăm lạng bạc, và để lại một trăm tên lính để hộ vệ cho Chỉnh, Chỉnh nghĩ để số lính ấy cũng chẳng dùng được bèn nhận vàng bạc, trả lại lính và nói: - Tôi xin được tự mộ lấy quân địa phương mà dùng. Nếu như sức tôi không đủ, phải đưa thư cáo cấp, thì bấy giờ mong ông hãy chú ý sai tướng sĩ giúp đỡ tôi.
平许之，乃归富春，留招远侯戍奇华，与整紧应。	Bình ưng lời, rồi về Phú Xuân, lưu Chiêu viễn hầu đóng lại ở Kỳ Hoa để hưởng ứng với Chỉnh.
平归后，招远戍奇华以内，不复与整相及，整在舟师中单有手下三十人，不敢舍舟登岸。	Nhưng Bình về rồi thì Chiêu viễn hầu cứ đóng lỳ ở Kỳ Hoa không hề liên lạc gì với Chỉnh. Chỉnh ở dưới thuyền, thủ hạ chỉ có hơn ba chục người, thành thử không dám bỏ thuyền lên cạn.
乂安人知整孤穷，共谋起兵刻期取整，整急请其婿兄阮奎与谋，谓奎曰：「今天下大乱，弟将割据本州岛以图天下，兄意以为何如？	Người xứ Nghệ biết Chỉnh đang lúc thân cô thế cùng liền bàn nhau định ngày khởi binh bắt Chỉnh. Chỉnh được tin, vội gọi người anh rể là Nguyễn Kim Khuê xuống thuyền để bàn cách đối phó. Chỉnh bảo Khuê: - Nay trong nước rối loạn, tôi muốn chiếm cứ lấy trấn này để tính việc lấy thiên hạ. ý anh thấy thế nào?
计将安出？」	Mưu mẹo của anh sắp đặt ra sao?
这阮奎真福邓田人，历受知县，其人宿学有智，为整谋曰：「公有名，人莫不畏，以公起事，取乂安如反掌耳！	Kim Khuê người làng Đặng Điền, huyện Chân Phúc, từng làm chức tri huyện, là bậc túc học và có mưu trí. Thấy Chỉnh hỏi vậy, Khuê liền bày mưu rằng: - Tên tuổi ông, thiên hạ không ai là không sợ! Sức ông lấy Nghệ An, chẳng qua chỉ như trở bàn tay.
今虽知公势孤穷，而未知虚实，所在传檄，只是互相推托，未敢有出头的人，公先发制之，他便措手不及。	Nay người trong trấn này tuy biết ông thân cô thế cùng, song họ vẫn chưa biết rõ hư thực thế nào. Tờ hịch của họ mới truyền đi, chỉ là những lời đưa đẩy lẫn nhau, chưa kẻ nào dám thò đầu ra trước. Nếu ông làm trước để chặn họ, hẳn họ sẽ trở tay không kịp.
今公手下一千，可以横行天下矣！」	Hiện nay ông mà có được một ngàn thủ hạ, thì ông có thể dọc ngang khắp thiên hạ vậy!
整曰：「兄言正合我意。」	Chỉnh nói: - Anh nói rất hợp ý tôi.
乃为羽檄征兵。	Rồi đó, Chỉnh bèn làm tờ hịch lông gà (dịch chữ "vũ hịch". Thời xưa, trên tờ Hịch văn mộ quân người ta thường cắm chiếc lông gà, để tỏ ý phải thi hành thật mau, phải làm gấp như bay) để điều động quân lính. Hịch phát bắt đầu từ làng Chỉnh ở. Ra lệnh hễ chậm một khắc sẽ chém liền.
自所在居邑始，勒一刻，迟缓者斩，其旁邑有仍轿老兵二人，素武断乡曲，止其邑勿受，整夜使手下劫其邑，刺那老兵二人斩首为令，于是真福一县，莫不听命。	Ở làng bên cạnh có hai tên lính già, nguyên là lính ở các đội Nhưng, Kiệu mãn về, thường vẫn hống hách với dân làng, thấy hịch của Chỉnh đến, chúng liền ra ngăn dân làng và bảo họ đừng nhận. Chỉnh được tin, tức thì đêm sai bọn thủ hạ sang cướp phá làng đó, đâm chết hai tên lính già, chém lấy đầu, rồi truyền hai cái đầu ấy đi khắp các thôn ấp, rao cho nhân dân biết. Thế là cả huyện Chân Phúc, không ai dám trái mệnh của Chỉnh.
旬日，得兵千余。	Chỉ trong mười ngày, Chỉnh đã mộ được hơn một ngàn quân.
其旁县豪目，见整起兵，急谋图之，推旧镇守珰忠侯为首，而各起兵以应珰忠侯。	Các hào mục ở huyện bên cạnh, thấy Chỉnh dấy binh vội vàng tính việc đánh Chỉnh. Họ tôn viên trấn thủ cũ là Đương trung hầu (Bùi Thế Toại) lên làm thủ lĩnh, rồi ai nấy đều kéo quân đi theo.
整四面受敌，势正岌岌。	Chỉnh lúc đó bị vây hãm tứ phía, tình thế hết sức nguy ngập.
