第三回。	Hồi thứ ba.
整曰：「除此惟有去国尔！」	Chỉnh đáp: - Ngoài kế ấy ra, chỉ còn một cách bỏ nước mà đi thôi!
瑶忠侯曰：「去将安之？」	Dao trung hầu lại hỏi: - Nhưng mà đi đâu?
整曰：「天下万国，问患无地可投？」	Chỉnh nói: - Thiên hạ vạn nước lo gì không có chỗ đi?
乃密语瑶忠侯如此如此。	Rồi Chỉnh ghé tai Dao trung hầu nói nhỏ mấy câu.
瑶忠侯将听而胡涂未决，谓整曰：「这亦大段事，容其再思。」	Dao trung hầu nửa muốn nghe theo, nửa lại mơ hồ chưa quyết, liền nói với Chỉnh: - Đó cũng là việc to lớn lắm, để tôi nghĩ lại xem đã!
整曰：「今事变在斯须，竟待思得再时，祸今已至矣！	Chỉnh nói: - Bây giờ sự biến chỉ trong chốc lát, đợi khi ngài nghĩ lại thì có lẽ cái lệnh tróc nã đã tới nơi rồi.
公第留思，听某自便。」	Vậy ngài hãy ở lại mà nghĩ, xin để cho tôi được tự tiện!
乃辞，归问其妻，已结束了。声言镇官差巡海面，乃尽挈其家口老少，并家产入船，众人皆莫测识。	Rồi Chỉnh cáo từ ra về. Tới nhà, Chỉnh hỏi vợ biết mọi việc đã sửa soạn xong; bèn nói là có lệnh của quan trấn thủ sai đi tuần tiễu mặt biển, rồi đưa hết người nhà từ già đến trẻ và tất cả các thứ gia sản xuống thuyền. Mọi người trong nhà đều không hiểu là chuyện gì.
整既登船，召所领奇兵三百余人，立河岸，明告其故，留许每人钱一纟强，而与之别。	Khi tất cả đã ở trên thuyền rồi, Chỉnh mới gọi hơn ba trăm lính cơ do Chỉnh trông coi, bảo họ đứng ở bờ sông, nói rõ ràng duyên cớ cho họ nghe, để lại cho mỗi tên lính một quan tiền đen, rồi từ biệt họ.
诸军始知其事。	Đến tận lúc ấy, bọn lính mới hiểu công việc của Chỉnh.
整发大炮三声，开船中流，张帆出海而去。	Thuyền nhổ neo, Chỉnh cho bắn ba phát súng lớn, rồi sai chèo ra giữa dòng sông và kéo buồm cho thuyền chạy thẳng ra biển.
却说三军既扶长君，挟功骄弄，日日聚会，侵议朝廷大政。	Lại nói, ba quân sau khi đã phò lập được thế tử Tông lên ngôi chúa, họ cậy vào công đó sinh ra kiêu căng. Hàng ngày họ tụ họp để cùng nhau bàn việc triều đình.
每条上，某事当因，某事当革，往往无理之事，要朝廷以必行，又希求恩泽，无有厌足。	Thường khi họ viết giấy đưa vào trong triều, nói việc này nên để, việc kia nên đổi. Nhiều khi những việc vô lý họ cũng bắt buộc triều đình phải làm. Chẳng những thế họ còn đòi hỏi những ơn này ơn khác, không biết thế nào là đủ.
朝廷有特议可否者，以破家殴杀吓之。	Triều đình hễ có ai bàn chuyện phải chăng, thì họ lấy việc phá nhà, đánh giết ra để hăm doạ.
百司勘讼，或认原是亲，或认彼是故，逼令变乱黑白，其所发民有讼，又自勾催论断，不听官司，百官皆屏气吞声，不敢触犯。	Những lúc các quan xử kiện, họ cũng nhúng tay vào, hoặc nhận bên nguyên là người họ, hoặc nhận bên bị là người quen, rồi ép các quan phải đổi trắng thay đen. Còn dân chúng trong vùng họ đóng có kiện cáo gì, thì họ tự ý đòi bắt và xử đoán lấy, không cần gì đến quan tư. Các quan đều phải nhịn hơi nuốt tiếng, không dám động chạm đến họ.
宫中一举一动，辄窥伺指议。或曰：此事何得如此？此事何得如彼？	Trong cung hễ động làm việc gì bất kể lớn nhỏ, họ cũng dòm nom bàn tán; hoặc bẻ việc này sao làm thế kia, hoặc hỏi việc kia sao làm thế này.
王与太妃自觉拘束不堪，廷议以为当论功行封，以示酬答，使各满愿，然后渐以法裁之。	Chúa và Dương thái phi cũng tự thấy bị bó buộc quá, không thể chịu nổi. Triều đình bàn nên xét công ban thưởng, để tỏ rõ sự đền ơn, khiến cho họ đều được mãn nguyện; rồi sau đó sẽ dùng phép vua mà trừng trị dần dần.
王以为然，乃命论翊戴功，以朋武为推忠翊运功臣，出身侯爵，管侍内后兵。	Chúa cho là phải, bèn sai các quan bàn định về công giúp đỡ tôn phò nhà chúa. Phong cho Bằng Vũ là Suy trung dực vận công thần, tước hầu, coi đội quân chầu chực ở nội cung.
炎郡、完郡与阮兼、嘉寿、誉武等皆为宣力功臣，升职有差。	Quận Viêm, quận Hoàn cùng bọn Nguyễn Kiêm, Gia Thọ, Dự Vũ đều được phong làm Tuyên lực công thần và theo thứ bực khác nhau, đều được thăng chức tất cả.
又录起会三十人为忠义迹，别加升赏。	Riêng ba chục người nhóm họp ở chùa Khán Sơn lại còn được ghi tên vào sổ trung nghĩa và cho thăng thưởng thêm.
其余中外水步诸军，各升职一次，并颁赏钱银有差。	Ngoài ra, các quân lính thuỷ, bộ, trong, ngoài đều được thăng chức một lần, đồng thời được ban tiền thưởng tuỳ theo công trạng nhiều hay ít.
又录起会，又给空头，敕令各道许让与他人取钱，以覃实惠。	Triều đình lại cấp cho họ những đạo sắc bỏ trống chỗ đề tên người, họ có thể nhượng lại cho kẻ khác mà lấy tiền để hưởng được ơn huệ thực sự.
诸军受赏既毕，王谕令各循法律，以共乐太平。	Sau khi quân lý đã nhận thưởng đâu vào đấy, chúa bèn dụ họ ai nấy đều nên tuân theo pháp luật để cùng vui hưởng thái bình.
是后诸军相戒曰：「吾辈既相扶立阿公为王，当勿甚苦扰，使知为王之乐，看将来渐渐顺境，居处加何？	Bấy giờ, quân lính liền răn bảo nhau rằng: "Cánh mình đã phò lập ông ấy làm chúa, thì cũng đừng nên quấy nhiễu quá để cho ông ấy được biết cái thú vui làm chúa. Rồi xem sau này dần dần thuận cảnh ông ấy cư xử ra sao?
若复肆太甚，到那时，随事制之，我权原不失另。」	Nếu ông ấy càn rỡ quá đáng, thì lúc bấy giờ sẽ liệu cách mà trừng trị. Chúng mình đằng nào cũng không mất quyền làm lính kia mà!".
由是少戢，王得安闲，引用亲旧入居要地，以左司讲阮侃为参从，元舅匡寿侯杨匡为权府事。	Rồi từ đó, họ cũng bớt làm bậy. Chúa được yên ổn đôi chút, liền đưa những người thân tín cũ vào các chỗ trọng yếu. Lấy tả tư giảng Nguyễn Khản làm tham tụng; cậu cả là Khuông thọ hầu Dương Khuông làm quyền phủ sự.
阮侃宜春仙田人，生来为风流公子，少年领第，事圣祖潜邱，最被眷注。	Nguyễn Khản người làng Tiên Điền, huyện Nghi Xuân, là con Xuân quận công Nguyễn Nghiễm. Khản sinh ra là một trang phong lưu công tử, thi đỗ rất sớm, theo phò Thịnh vương từ lúc chưa lên ngôi chúa, được vương rất đỗi yêu mến.
及圣祖即位，益加宠用，出入禁中，与监班同。	Kịp đến khi vương lên ngôi, Khản lại càng được tin dùng, được ra vào trong cung cấm, y như các viên nội giám.
侃率性豪华，甲第歌钟，琴诗娱乐，为风流大臣。	Tính Khản hào hoa, trong lâu đài không mấy khi dứt tiếng sênh ca, hoặc tiếng ngâm thơ, đánh đàn để mua vui. Người ta thường xem Khản là bậc phong lưu đại thần.
所居金瓯寺，山水竹石，极有趣致，王尝幸御其第，赏赐优厚，历官左侍郎参从，与春郡公同在政府，贵宠于文武无二。	Tại đình Kim Âu nơi Khản ở, có đủ cả nước, non, trúc, đá, cảnh trí hết sức thú vị. Thịnh vương hay ngự chơi nhà Khản, thường ban thưởng rất nhiều. Trước Khản làm tả thị lang sung chức bồi tụng, với Xuân quận công cùng ở trong chính phủ. Sự yêu quý của chúa đối với Khản hồi ấy, thật là có một không hai trong hàng các quan văn võ.
既而改授山西兴化兼镇守。	Sau đó, Khản được đổi làm trấn thủ Sơn Tây và kiêm cả trấn thủ Hưng Hoá.
庚子密案，罪当死，王特为减等，囚于珠郡之家，晖郡与邓氏阴欲中伤，期致之死。	Đến khi xảy ra vụ án năm Canh tý, tội Khản đáng phải chết, nhưng Thịnh vương nghĩ thương tình, đặc cách cho giảm nhẹ, chỉ bắt giam ở nhà quận Châu. Hồi ấy quận Huy và Thị Huệ cũng muốn tìm cớ đưa Khản đến chỗ chết.
侃为国音叙情曲，历述往程宠遇，暗达于王，王怜之，乃得不死。	Nhưng Khản biết ý đã làm một bài Tự tình khúc bằng chữ nôm, kể hết những sự đãi ngộ quý mến ngày xưa, rồi nhờ người lén đưa giấu cho chúa. Chúa xem bài đó, động lòng thương; nhờ vậy Khản mới thoát chết.
及新王立，复职回班，升吏部尚书，爵赞郡公。	Kịp đến khi thế tử Tông lên ngôi, Khản lại được phục chức về ban cũ, rồi thăng chức thượng thư bộ Lại, tước Tán quận công.
时乂安兵追怨平南之日，侃为乂安镇参领，兼理粮饷，纵其家人扰苦本镇，相与喧哗，言曰：「阿老为人奢侈纵欲，前年肆毒我州，我讼不获理，今又有国师，若留之，使再入相，民何以堪？	Nguyên ngày đi đánh dẹp phương Nam, Khản làm tham lĩnh trấn Nghệ An, kiêm trông coi về lương hướng của quân lính; Khản có dung túng cho người nhà quấy nhiễu xứ ấy. Nên bây giờ thấy Khản được phục chức, thì bọn lính xứ Nghệ lại lôi cái oán cũ ấy ra. Họ nhao nhao bảo nhau: "Lão ấy là người xa xỉ, phóng túng, năm xưa đã từng gieo rắc bao nhiêu tội ác cho trấn ta, ta kiện nhưng không được xử. Nay lão ấy lại làm quốc sư, rồi nếu để lão ấy lại làm tể tướng nữa thì dân chịu sao nổi?
吾等每人一拳以了之。」	Chi bằng chúng ta mỗi đứa cho một quả đấm cho xong đời lão ấy đi!
其中有解之者，复得无事。	Nhưng rồi trong bọn lại có kẻ đứng ra khuyên giải, nên Khản mới được vô sự.
杨匡乃太妃同胞弟，为人庸猥无能。	Dương Khuông là em ruột Dương thái phi; người rất dung tục bỉ ổi, không có tài năng gì hết.
庚子密案，王家臣亲党皆得祸，匡时管中威奇，与太妃居中用事，诸军谤曰：「阿舅党有何才干？	Vụ án năm Canh tý, tôi tớ, họ hàng, bè đảng nhà thế tử Tông đều bị tai vạ, riêng Khuông nhờ ngu si mà được hưởng phúc thái bình. Khi thế tử mới lên ngôi, Khuông liền được giao cho trông nom cơ Trung uy, cùng với Dương thái phi nấp bên trong mà định đoạt mọi việc. Quân lính đã từng nhạo báng rằng: "Cậu ấy thì có tài cán gì?
只藉裙人之荫得至于此。	Chẳng qua chỉ nhờ vào cái bóng của người mặc váy mà được như thế.
才离困穷，骤欲富贵，譬如积饥之人遇饭骤食，终见肠胃溃裂而后已。」	Nay vừa khỏi vòng cùng khốn, đã muốn vội giàu sang. Cũng ví như kẻ bị đói đã lâu, lúc gặp cơm thì ăn ngốn ăn ngấu rồi cũng đến nứt ruột ra mà thôi!".
至是二人同入政府，众心不服，然军情多狡，彼忍而此恩，背毁而面誉。莫知端倪。	Đến bây giờ thấy Khản và Khuông cùng vào chính phủ, lòng họ đều không phục. Tuy vậy, bọn họ cũng rất giảo quyệt, kẻ này oán nhưng kẻ kia lại ơn, sau lưng họ chê mà trước mặt họ lại khen, chẳng còn hiểu đầu đuôi ra sao?
且权要之家，往往闻太平语，不闻危语，是以凡事勇于向前，无复却顾后虑，只要做太平深谋密议，惟以抑骄兵为第一着。	Vả chăng những nhà có chức quyền trọng yếu thường thường chỉ nghe lời nói chuyện thái bình mà không nghe lời nói chuyện nguy biến. Việc gì cũng muốn mạnh bạo tiến tới, nhưng không biết ngoảnh nhìn mối lo về sau. Họ chỉ muốn nóng vội làm cho chóng được thái bình. Cho nên mới có những mưu kế sâu sắc, những lời bàn bạc kín đáo, mà việc cần kíp thứ nhất là đè nén bọn kiêu binh.
适有四人诈称同队，抑借东河居商船，为其队长所发觉，并斩之，众皆怨其滥刑，然业已自发，终亦遂帖。	Tình cờ lúc đó, trong đám kiêu binh có bốn người lính giả lấy danh nghĩa đồng đội, ức hiếp người lái buôn Đông Hà để mượn thuyền. Việc này bị người đội trưởng phát giác và triều đình đem chém cả bốn. Bọn kiêu binh đều oán là hình phạt quá lạm. Nhưng vì họ đã trót tự mình phát giác ra, nên cuối cùng cũng đành im.
二人喜，以威权自立，曰：「国自有法，若第执法如此数次，纵来骄也不骄。」	Khản và Khuông thấy đám lính im lặng, cho là uy quyền đã được lập lại; hai người mừng rỡ bảo nhau: "Nhà nước đã sẵn có pháp luật. Nếu ta cứ giữ vững pháp luật như thế vài lần, thì dù chúng có kiêu cũng chẳng kiêu được!".
时有东城知县枚允奎，罗山安全人。	Bấy giờ có viên tri huyện Đông Thành là Mai Doãn Khuê, người làng An Toàn, huyện La Sơn. Khuê vốn là tay giảo quyệt ghê gớm trong trấn Nghệ An.
为乂安巨刁，诸军骄弄恣行，多是他所促，将使要功于朝廷。	Việc quân lính ngông nghênh làm bậy, phần nhiều đều do hắn xui giục.
密告赞郡公曰：「朝廷以为骄兵可戢，不知其祸将有不可言者。	Vì muốn tâng công với triều đình, Khuê bèn mật báo với Tán quận công Nguyễn Khản rằng: - Triều đình cho rằng kiêu binh có thể dẹp được, nhưng không biết rằng hoạ lớn sắp xảy ra không thể nào ngăn nổi.
仆闻他言，皇嗣是他所迎回，今皇上年高，皇嗣孙长成，他将共会请皇上行禅让事，使帝王之位皆定于军士之手，以益重其功。	Tôi nghe bọn lính bàn nhau: Hoàng tự tôn (Hoàng tự tôn là cháu nối nghiệp của hoàng thượng, chỉ Lê Duy Kỳ, tức Chiêu Thống sau này) nguyên trước do họ đón về, nay hoàng thượng tuổi già, mà hoàng tự tôn cũng đã khôn lớn, họ muốn họp nhau tâu xin hoàng thượng nhường ngôi cho cháu. Khiến cho ngôi vua ngôi chúa đều do tay quân lính dựng lên, để công của họ càng to thêm.
其中复有挟功觖望者，欲谋扶皇家，一统天下，以夺王家之权。	Trong bọn họ lại có một số người cậy mình có công rồi tỏ ý oán vọng, họ muốn phò cho nhà vua thống nhất thiên hạ, để cướp lại quyền ở nhà chúa.
此计得行，仆恐诸公置身无地。」	Nếu kế ấy mà thành được, tôi e các ngài sẽ không còn đất mà gửi thân nữa.
赞郡公言于王，王使允奎从中发摘。	Tán quận công đem lời ấy tâu lại với chúa. Chúa sai Doãn Khuê phát giác chuyện đó.
允奎乃诬告泗川侯之甥勾稽超寿伯预谋，付下查究无状，朝廷犹直告者，而囚超寿于本贯。	Khuê bèn vu cáo cho viên câu kê Siêu thọ bá, cháu gọi Tứ xuyên hầu bằng cậu, cũng có dự mưu. Việc ấy được giao xuống tra xét thì không thấy bằng chứng gì hết. Nhưng triều đình vẫn cho là người tố cáo nói đúng, bèn đưa Siêu Thọ về giam ở quê quán.
允奎以发觉得封奎岭伯，出身管侍内殿侍候兵，为皇嗣孙讲官，使居内殿，以伺察之。	Còn Doãn Khuê vì có công phát giác, được phong làm Khuê lĩnh bá, cho cai quản toán lính chầu hầu ở nội điện. Khuê lại còn được kiêm chức giảng quan cho hoàng tự tôn và được ở luôn trong nội điện để dò xét công việc của ông hoàng đó.
却说皇嗣孙讳维祁，乃故太子维祎之子。	Lại nói, hoàng tự tôn Lê Duy Kỳ (trước tên là Duy Khiêm, hoặc Tư Khiêm), là con thái tử Lê Duy Vỹ đã mất.
初，太子丰姿秀丽，英睿夙成，尝愤皇家失权，慨然有收揽权纲之志。	Thái tử xưa vóc người đẹp đẽ, tư chất thông minh. Thấy nhà vua bị mất quyền, thái tử căm tức lắm, thường vẫn khảng khái nuôi chí thu phục lại quyền bính.
博览经史，爱好儒生，天下豪杰，莫不想望。	Thái tử lại từng xem khắp kinh sử, yêu mến các nho sinh; nên hào kiệt trong thiên hạ không ai là không ngưỡng vọng.
圣祖为世子时，素以颉颃相忌，时毅祖正妃无子，生得一女仙容公主，年才十岁，王最所爱。正妃请王嫁于太子，使他日为皇后，王许之。	Trong lúc Thịnh vương còn là thế tử, chỉ vì tranh giành trên dưới mà vương có bụng ghét thái tử. Khi ấy chính phi của Ân vương không có con trai, chỉ sinh được một con gái tức là công chúa Tiên Dung. Tiên Dung được vương hết sức yêu chiều. Năm nàng mới mười tuổi, chính phi xin với vương gả cho thái tử để sau này nàng làm hoàng hậu.
一日，王太子与世子同入侍，王赐之膳，令子婿同盘。	Vương bằng lòng. Một hôm thái tử và thế tử cùng vào thăm Ân vương; vương mời ăn cơm và để con rể với con trai cùng ngồi một mâm.
正妃曰：「王岂得与帝并食？」	Chính phi thấy vậy liền nói rằng: - Sao chúa lại được cùng ăn với vua?
乃命别之。	Rồi bà ta bắt ngồi riêng ra mỗi người một nơi.
世子变色切齿，敢怒而不敢言。	Thế tử giận tái mặt lại, nhưng vẫn cắn răng không dám nói.
既出，谓太子曰：「吾两人会须一生一死，此帝亦不当与此王并立。」	Lúc tan tiệc trở ra, thế tử bảo với thái tử: - Hai chúng ta sẽ phải một người sống, một người chết. Vua ấy cũng không nên đứng cùng với chúa này!
及嗣位，与家臣宦者韶郡公阮金锭谋，诬太子蒸于毅祖宫人，以罪状白皇上，收捕系狱。	Đến khi Thịnh vương lên ngôi chúa, liền lập mưu với gia thần là viên quan hoạn Thiều quận công Nguyễn Kim Đĩnh (chính tên là Phạm Huy Đĩnh, người xã Cao Mỗ, nay là xã Kim Bôi, huyện Tiên Hưng, Thái Bình), vu cho thái tử Vỹ thông dâm với cung nữ của Ân vương; rồi đem tội đó tâu lên hoàng thượng để bắt thái tử bỏ ngục.
先是后殿三山井中忽有声如雷，太子以术数占之，知必及难，言于皇上，皇上每为祈祷。	Trước đó, trong giếng Tam Sơn ở mé sau điện bỗng có tiếng nổ như sấm. Thái tử dùng thuật số để bói, biết mình sắp gặp nạn, bèn đến nói với hoàng thượng. Hoàng thượng cũng lấy làm lo, vẫn phải luôn luôn cầu nguyện cho con.
至建捕之日，太子知其难作，入居皇上寝殿，韶郡公引兵先入东宫，将捕获而后奏闻，遍觅不见，乃直入殿中数太子罪状。	Kịp tới ngày bị bắt, thái tử biết tai nạn xảy ra đến nơi, liền vào ẩn ở trong điện ngủ của hoàng thượng. Quận Thiều dẫn toán lính trước tiên xông thẳng vào Đông cung, định bắt thái tử đã rồi mới tâu vua, nhưng tìm khắp cả Đông cung không thấy.
且曰：「臣闻太子匿陛下寝殿，请收捕送臣。」	Quận Thiều liền vào thẳng trong điện, kể tội thái tử cho vua nghe, rồi nói rằng: - Tôi nghe nói thái tử náu ở chỗ ngủ của bệ hạ, xin hãy bắt giao cho tôi.
皇上抱太子，久之不忍诀。	Hoàng thượng ôm mãi lấy thái tử không nỡ rời ra.
韶郡长跪于庭中，太子自知不免，拜皇上御前，自出就缚，送至府中，废为庶人囚之。	Quận Thiều cũng cứ quỳ mãi ở giữa sân điện. Thái tử tự biết mình không thể thoát được, liền lạy trước mặt hoàng thượng, rồi ra cho quân lính trói. Sau khi giải về phủ chúa, thái tử bị truất xuống làm dân thường và bị giam vào ngục.
更以皇弟四子黎维谨为皇太子。	Rồi Thịnh vương ép hoàng thượng lấy người con thứ tư là Lê Duy Cận làm hoàng thái tử.
韶郡公再使人诬告丹轮中式武辉儆、梁涧等谋劫故太子出囚，起兵作乱，付下廷议捕儆究治，涧逃，儆不堪菙楚，只得妄首，太子坐绞死。	Được ít lâu sau, quận Thiều lại sai tay chân vu cáo cho hai nho sinh thi đỗ ở làng Đan Luân là Nguyễn Huy Sưởng [chính là Vũ Bá Sưởng người làng Đan Luân, nay thuộc Bình Giang, Hải Dương (Hải Hưng)] và Lương Giản (người xã Tào Sơn, huyện Ngọc Sơn, nay là Tĩnh Gia, Thanh Hoá), rằng hai người này âm mưu cướp thái tử ra khỏi ngục để cùng dấy quân làm loạn. Việc này được đưa xuống các quan bàn bạc, và bắt Sưởng để tra xét. Giản khi ấy đã kịp bỏ trốn. Còn Sưởng bị đánh đau quá, không chịu nổi roi vọt, đành phải nhận liều. Thế là thái tử phải ghép vào tội thắt cổ.
行刑之日，日中天色黑暗，咫尺不辨，刻余乃止。	Ngày hành hình, bầu trời tự nhiên tối tăm, giữa ban ngày mà chỉ cách nhau gang tấc cũng không trông rõ. Chừng hơn một khắc mới lại sáng sủa.
天下士女，莫不坠泪，以为古今大逆极惨之事。	Già, trẻ, trai, gái trong thiên hạ, không ai là không rơi nước mắt. Họ đều cho rằng đó là việc trái ngược nhất, bi thảm nhất từ xưa đến nay.
时景兴辛卯十二月二十日也。	Hôm ấy nhằm ngày 20 tháng chạp, năm Tân mão, niên hiệu Cảnh- Hưng (1771).
王既杀皇太子，颇有一统之志，将取皇孙三人监在一处。	Sau khi giết thái tử, Thịnh vương bắt đầu có chí thống nhất đất nước, định bắt cả ba con của thái tử giam vào một nơi.
一日斋戒御西湖，欲祈神梦。	Một hôm, chúa tắm gội ăn chay, rồi ngự ra hồ Tây để cầu thần báo mộng.
正行间，望见舆轿在前，轿上端坐一人，遥乔认是太子，王传问诸军曰：「有见舆轿在前行否？」	Đang đi, chợt thấy trước mặt có một cái kiệu, trên kiệu có một người ngồi chĩnh chện, nhìn kỹ té ra đó là thái tử Vỹ. Chúa truyền hỏi quân lính có ai trông thấy xe kiệu gì ở trước mặt không.
诸军皆曰：「不见。」	Quân lính đều nói không thấy.
王大惊，即命还宫。	Chúa lo lắm, liền sai quay ngay về cung.
夜卧帐中，忽见一人头戴红巾，身被绛服，杖一板棹，披帐立于榻头，张目视王。	Đêm ấy, chúa đang nằm trong màn, bỗng thấy một người đầu đội khăn hồng, mình vận áo đỏ, tay cầm một chiếc mái chèo, vạch màn ra rồi đứng ở đầu giường trừng mắt nhìn mình.
王急问是谁？答曰：「我是太子维某。」	Chúa vội hỏi ai thì người ấy đáp rằng: - Ta là Duy Vĩ đây!
王大惊，始知太子之灵也。	Chúa cả sợ, bấy giờ mới biết đó là linh hồn của thái tử Vỹ.
却说太子被收之日，宫人抱皇孙三人西奔，投宿于慈廉驿望之民家。	Nguyên khi thái tử bị bắt thì một người đàn bà trong cung bế các con của thái tử chạy trốn về phía tây, vào ngủ nhờ nhà một người dân ở làng Dịch Vọng, huyện Từ Liêm.
其人于前夜梦见一人报曰：「尔家须洒扫门庭，天子及太后乘舆且至矣！」	Người dân này đêm trước đã mơ thấy có người bảo rằng: "Mày phải quét rửa nhà cửa, sân sướng cho sạch sẽ, thiên tử và thái hậu sắp sửa tới nơi?"
觉来以为民家，那得至尊临幸。	Tỉnh dậy hắn ta nghĩ bụng: “Mình là nhà dân, đâu được cái may mắn có các bậc chí tôn ngự tới?"
是日，拱立门外，无一人至者。	Rồi suốt ngày hôm đó, hắn ta chắp tay đứng đợi ở ngoài cổng; nhưng đợi mãi mà vẫn chả thấy một ai.
向暮见一妇人抱子，望门投宿。	Đến xẩm tối, mới thấy một người đàn bà bồng con xăm xăm tiến đến trước cổng xin ngủ nhờ; hắn ta liền đón ngay vào trong nhà và mời ngồi lên chiếc phản cao nhất.
乃迎之，入置之上座，曰：「仆夜梦如此，妪与诸儿无乃大贵耶？非是王室宗亲，定是皇家支派。」	Sau khi đã kể qua câu chuyện chiêm bao cho người đàn bà nghe, hắn ta lại nói: - Cứ theo giấc mộng đêm qua của tôi như thế, thì bà và các cậu đây hẳn phải là dòng dõi quí tộc; nếu không phải thân thích nhà vua, ắt cũng là họ hàng nhà chúa!
宫人曰：「梦寐之间，何足凭据？	Người đàn bà đó chính là cung phi họ Nguyễn, nghe nói, vội gạt đi mà rằng: - Câu chuyện chiêm bao, có gì là bằng cứ.
无妄言语，这杀人事非浅。」	Bác đừng nói nhảm, đó là việc chết người chứ không phải chuyện chơi đâu!
翌日乃辞去。	Ngay sớm hôm sau, mấy mẹ con lại từ giã chủ nhà mà ra đi.
既而彼人知其踪迹追获，安置之山西镇，后复送归京师，拘于提领狱。	Nhưng chẳng bao lâu, bị người ta dò theo tung tích bắt được, đưa về an trí ở trấn Sơn Tây, rồi lại bị giải về kinh đô và giam ở ngục đề lĩnh.
及诸军收王时，皇孙年十七岁，诸军乘便具舆轿迎于监所，送归殿上。	Kịp đến khi quân lính phò thế tử Tông làm chúa, thì hoàng tôn (Lê Duy Kỳ) đã 17 tuổi. Nhân dịp ấy, quân lính bèn mang luôn kiệu tới nhà giam đón hoàng tôn về điện.
皇孙龙颜凤眼，声如洪钟，诸军见之，咸称曰「真天子也。」	Hoàng tôn mặt rồng mắt phượng, tiếng nói như chuông, quân lính thấy vậy đều khen: "Thật đúng là bậc thiên tử". Bà nội thế tử Tông xưa nay vốn thân với thái tử Lê Duy Cận.
