第十三回。	Hồi thứ mười ba.
五曰南兵别无他长，全用喷筒为利器，名为火虎，两军相接先用此烧人衣服，使之退却；然其术只此，较我枪炮不及远甚，已制生牛皮挡牌数百，若南人喷筒一发，我兵一手执牌当火，一手执刀乱斫，彼必披靡。	Điều thứ 5. - Quân Nam không có sở trường gì khác, toàn dùng thứ ống phun lửa làm lợi khí, gọi là "hoả hổ". Khi hai quân giáp nhau, trước hết họ dùng thứ đó đốt cháy quần áo người ta, buộc người ta phải lui. Nhưng tài nghệ của họ cũng chỉ có thế mà thôi, so với súng ống của ta thì còn kém rất xa. Hiện nay ta đã chế sẵn vài trăm lá chắn bằng da trâu sống. Nếu gặp "hoả hổ" của người Nam phun lửa, thì quân ta một tay cầm lá chắn đỡ lửa, một tay cầm dao chém bừa, chắc rằng chúng sẽ phải bỏ chạy tan tác.
六曰大兵行走，如遇涧溪河宽水深之处，必须斫取竹木，架为浮桥，以便兵马过渡；其江狭水浅者，带兵弁员，必须试探的确，令兵丁披次鱼贯而进，临水处不得将火绳、火药随手抛放，致有沾湿之患。	Điều thứ 6. - Đại binh đi đường, nếu gặp khe suối dòng sông, chỗ nào nước sâu thì phải chặt lấy tre gỗ bắc làm cầu phao, để binh mã vượt qua cho tiện, chỗ nào sông hẹp nước nông, thì viên quan coi quân phải dò thử đích xác, rồi cho quân lính nối tiếp nhau như xâu cá mà kéo đi. Lúc xuống nước, không được đem bùi nhùi, thuốc súng bạ đâu vứt đấy để bị ẩm ướt.
七曰大兵日用薪柴，已有官银给发，惟与南人顺情交互，无许擅斫村庄树木，致有争竞，如有近山林一二里，亦须给弁兵以护樵者，不得肆意远去，致启他故；至于汲水煮饭，亦须该管弁兵员验明确系洁净无毒，方听汲饮。	Điều thứ 7. - Rau củi của đại binh dùng hàng ngày, đã có tiền công cấp phát; chỉ được đổi chác với người Nam bằng cách thuận tình, không được tự tiện chặt cây cối ở các làng xóm, để sinh ra tranh giành. Nếu ở chỗ nào cách rừng núi độ một hai dặm, cần sai quân lính bảo vệ cho kẻ đi kiếm củi, không được tự ý đi xa, để xảy ra biến cố khác. Đến như việc lấy nước nấu cơm, cũng phải do viên quan coi quân xét nghiệm rõ ràng, quả thật trong sạch không có độc mới cho múc uống.
八曰受伤患病兵丁，该管验明禀白，发遣回营，以示休恤；或有不肯兵丁装伤假病，妄冀回家，一经查出，即行正法。	Điều thứ 8. - Những quân lính bị thương hoặc bị ốm, viên quan coi quân phải tra xét tường tận, làm giấy bẩm rõ, rồi cho đưa về doanh điều trị, để tỏ sự giúp đỡ, thương xót. Nếu có bọn quân lính không tốt, giả làm bị thương hay đau ốm, hòng được về nhà, một khi tra ra sẽ trị tội ngay tức khắc.
且此次用兵远涉沙塞，朝廷体恤，已于例外每兵加给一夫，该管先须谕晓，兵夫亦各相恤，不得恣意差使。	Vả lại, lần này hành quân xa xôi qua miền biên ải, triều đình thương đến binh lính, đã chu cấp rộng ra ngoài thể lệ, mỗi người lính được cấp một tên phu. Các viên coi quân cần hiểu dụ trước cho mọi người biết.
至于兵行，器械随身，不得自已空手行走，一委役夫负运难堪，以致中途逃散。	Lính và phu cũng cần phải thương yêu giúp đỡ lẫn nhau, không được tuỳ tiện sai khiến một cách tàn ngược. Đến như lúc hành quân, lính đều phải lấy khí giới, không được tự mình buông tay đi không, vật gì cũng giao cho phu dịch mang đội, để đến nỗi họ không thể chịu nổi, phải giữa đường bỏ trốn.
又夫数较多，难以稽查，致有前营混入后营，彼此不相熟习，易于杂乱，必于每夫给腰牌，开写姓名营号以便试别。	Ngoài ra, số phu quá nhiều, tra cứu rất khó, thậm chí có người ở doanh trước lẫn vào doanh sau, người này người kia không quen biết nhau, dễ sinh ra lộn xộn. Do đó, phải cấp cho mỗi tên phu một mảnh thẻ bài đeo ở lưng, kê rõ tên họ, doanh hiệu, để tiện nhận xét phân biệt.
右军律各条，弁兵各宜凛遵，若有违者，一以军法从事，无赦。」	Các điều quân luật trên đây, quân lính đều phải tuân theo một cách nghiêm túc. Kẻ nào làm trái, nhất thiết xử theo quân pháp, không tha.
又先檄本国其略曰：「兴灭继绝，义所当为。何外于蛮羌，极溺救焚，不得已乃见于兵革。	Rồi đó, trước tiên Nghị sai truyền hịch sang dụ nước Nam, đại lược nói: "Dấy nước đã diệt, nối dòng đã tuyệt, việc đáng làm nào kể nơi man rợ, xa xôi; vớt người bị chìm, cứu kẻ bị thiêu, đừng chẳng được phải dùng đến cung tên, binh lính.
念安南黎氏，本天朝贡臣，三百余年执壤奠虔供厥服，一十五路，锡土封奄有其邦。	Nghĩ lại họ Lê ở An Nam vốn là cống thần của thiên triều. Ba trăm năm vật sản tiến dâng, kính theo chức phận; mười lăm lộ đất phong chia cắt, gồm có nước nhà.
乃于乾隆年间，国酋阮岳，阮惠等，称兵作乱，袭破罗城。前黎王忧惧物故，嗣孙维祁播越于外。	Thế mà khoảng năm Càn Long, tù trưởng trong nước là bọn Nguyễn Nhạc, Nguyễn Huệ, dấy quân làm loạn, đánh phá La Thành: vua Lê trước vì lo sợ mà phải qua đời, tự tôn là Duy Kỳ phiêu bạt ra ngoài.
故臣阮辉宿奉嗣孙母妻奔投内地，恳请援兵。	Bề tôi cũ là Nguyễn Huy Túc đem mẹ và vợ tự tôn chạy sang nội địa, tha thiết xin quân cứu viện.
经查宿等，嗣孙现栖北谅地方，臣民犹思故主。	Sau khi hỏi rõ bọn Túc, thì tự tôn hiện nương náu ở vùng Kinh Bắc, Lạng Sơn, thần dân còn nhớ chủ cũ.
阮岳以犬羊之夷，肆豺狼之毒，所在虏掠，百姓怨入骨髓。	Nguyễn Nhạc là quân mọi rợ như giống trâu dê, quen thói hung tợn của loài lang sói, đến đâu cướp bóc đó, trăm họ oán đến xương tuỷ.
夫以边氓崛起，干常逆理，天道之所不容；敢于内地横行，虐众残民，王法之所当讨。	Từ một tên dân ở nơi biên thuỳ nổi dậy, can phạm luân thường, làm trái nghĩa lý, đạo trời không thể dung tha; lại dám hoành hành ở nơi nội địa, bạo ngược quần chúng, tàn hại nhân dân, phép vua cũng cần phải đánh.
业经题奏钦奉，大皇帝矜恤黎氏之丧亡，不忍交州之涂炭，特命督抚佩征蛮大将军印，调兵五十万，直抵罗城，明正阮岳等罪恶，无容得以逃天之诛。	Hiện đã đem việc này tâu lên, vâng được đức đại hoàng đế thương xót đến họ Lê tan nát, không nỡ để Giao Châu lầm than; đặc cách sai quan đốc phủ đeo ấn chinh Man (xưa bọn thống trị Trung Quốc gọi các dân tộc ở phương nam là Man (man rợ chưa khai hoá); "chinh Man" đây nghĩa là: đi đánh Việt Nam) đại tướng quân, điều động năm mươi vạn quân, thẳng tới La Thành, trị tội bọn Nguyễn Văn Nhạc, không để chúng trốn thoát hình phạt của trời.
该国世戴黎王，久蒙豢养，知能不泯，感发由衷，不可丧其天良，忘君从敌。	Dân nước Nam đời đời tôn đội vua Lê, nhờ ơn nuôi dưỡng đã lâu, tri năng chưa mất, tình cảm đang còn, không thể để mất lương tâm trời cho, bỏ vua theo giặc.
有能先唱义声，倚天朝为大援，纠合同志，戮力歼仇，榆塞奏凯，幕府上功。胙土分茅，俾与黎氏同其福庆，如郑大爷故事。	Kẻ nào có thể xướng trước tiếng nghĩa, dựa vào thiên triều làm nơi cứu viện, nhóm họp các người đồng chí, ra sức trừ diệt quân thù, cửa ải hát khúc khải ca, mạc phủ (chỗ làm việc ở nơi đóng quân của các tướng soái đời xưa) dâng lên công trạng, sẽ được cắt đất chia phong, hưởng chung phúc lộc với họ Lê, như ông tổ họ Trịnh ngày trước.
檄文传到，勒兵激昂，修尔干戈，敌王所忾，一乃心力，其克有勋，仰覃颁赏于军中，永保同休于国内，尚其勖哉。」	Hịch văn đưa tới, quân lính đều nên hăng hái, mài giũa giáo mác của các người mà chống lại quân thù của nhà vua. Đồng lòng chung sức, ắt có công lao. Rồi sẽ ngửa trông ban thưởng ở cửa công, giữ mãi phúc chung ở trong nước. Hãy cố gắng lên!".
于是西将阮文艳、潘启德镇守谅山，见檄文惶恐，一日之间所集土兵逃者太半。	Lúc đó, tướng Tây Sơn là Nguyễn Văn Diễm và Phan Khải Đức đang đóng giữ Lạng Sơn, thấy tờ hịch đến đều run sợ. Trong khoảng một ngày, thổ binh do họ chiêu tập được, bỏ trốn mất quá nửa.
启德密遣人先以蜡书诣关上请降。	Khải Đức trước hết bí mật sai lính đem thư sáp đến cửa ải xin hàng.
文艳自度孤军劳不可支，且己又是广南人，纵降亦未必见容，乃自敛众夜遁还至京北，与留守阮文和并力守镇城，而遣骑兵驰书升龙告急。	Văn Diễm tự liệu quân mình lẻ loi, thế không chống nổi; vả mình lại là người Quảng Nam, nếu có hàng, chưa chắc đã được bao dung, bèn đang đêm rút quân bỏ trốn về Kinh Bắc, cùng với viên lưu thủ ở đó là Nguyễn Văn Hoà hợp sức giữ lấy trấn thành, rồi sai lính cưỡi ngựa đưa thư về Thăng Long cáo cấp.
却说北平王阮惠自岁夏起驾往升龙，杀其将节制阮文任，一番易置官军，整顿机务，专委大司马吴文楚、内侯潘文璘、掌府阮文用、都督阮文雪、户部侍郎陈顺言、吏部侍郎吴任等，同守升龙城。	Lại nói, Bắc bình vương Nguyễn Huệ từ mùa hè năm ngoái ra Thăng Long giết viên chủ tướng tiết chế là Võ Văn Nhậm, rồi thay đổi quan quân, chỉnh đốn công việc, chuyển giao cho các viên đại tư mã Ngô Văn Sở, nội hầu Phan Văn Lân, chưởng phủ Nguyễn Văn Dụng, đô đốc Nguyễn Văn Tuyết, thị lang bộ Hộ Trần Thuận Ngôn, thị lang bộ Lại Ngô Thì Nhậm cùng giữ thành Thăng Long.
置酒大会，语之曰：「楚、璘吾之瓜牙，用、言吾之心腹，雪则吾之甥，仁是吾之宾臣也。	Lúc sắp lên đường về Nam, Huệ mở tiệc họp đông đủ mọi người, rồi nói: Sở và Lân là nanh vuốt của ta; Dụng và Ngôn là tâm phúc của ta; Tuyết là cháu của ta; còn Nhậm thì vừa là bề tôi vừa là khách của ta, lại là dòng văn học Bắc Hà, thông thạo việc đời.
且北河文流，熟于世务，今委全城辖下十有一镇，军国机要，并听得便宜行事。	Nay ta giao cho các ngươi cả mười một trấn trong toàn hạt (thời Lê, Bắc Hà gồm 11 trấn. Về sau, Quang Trung có chia lại). Những việc quan trọng trong nước, đều cho tuỳ tiện mà làm.
此间会同商榷，勿以新旧间隔，同心共济，以副我所望，尚其勉之哉。」	Mọi việc cùng nhau họp bàn ổn thoả, chớ vì kẻ cũ người mới xa cách nhau. Ai nấy phải đồng lòng hiệp sức, lo chung công việc để xứng đáng với sự trông mong của ta. Các ngươi hãy cố gắng nữa lên!
诸人各起拜奉命，于是择日南还。	Mọi người đều đứng dậy lạy tạ và xin vâng mệnh. Sau đó, Bắc bình vương chọn ngày lên đường về Nam.
已而山海有为梗者，一遣偏裨临之，随即扑灭；府县有以案牍来者，随事处分，亦无留滞。	Từ khi ấy, trên rừng dưới biển hễ có ai dám ngang ngạnh, Sở chỉ cần sai một viên tỳ tướng đi đánh là dẹp tan được ngay. Các phủ huyện có đệ án kiện, giấy tờ lên thì Sở cứ theo việc mà xử, không để ứ đọng.
常以暇日走马通衢为乐，自以为北河无复难事。	Trong những ngày rỗi, Sở thường cưỡi ngựa qua các đường phố để mua vui, tự cho rằng ở Bắc Hà không còn việc gì khó.
一日坐协护堂会食，楚谓璘、雪曰：「主公以大城委我，啻之使制锦，未能信其能操刀，公等看下何如？	Một hôm, mọi người cùng họp nhau ăn uống ở nhà hiệp nghị, Sở bảo Lân và Tuyết rằng: - Chúa công đem cả thành lớn giao phó cho ta, cũng ví như sai người cắt áo gấm mà chưa thể tin là có biết cách cầm kéo hay không. Các ông thấy việc đó ra sao?
使有齐圣从天而下，阎公从地而出，吾一网打尽，况公么数辈，徒劳人试剑利否耳！	Giả sử có Tề thiên đại thánh từ trên trời rơi xuống hay Diêm vương từ dưới đất lên, ta cũng chỉ quét một lưới là hết.
其何能为？」	Huống chi cái lũ tẹp nhẹp, chẳng qua chỉ để người ta thử xem gươm có sắc hay không, chứ làm được trò trống gì?
又顾吴任曰：「侍郎诚长于文墨，弓剑之事，亦曾闲习否耶？」	Rồi Sở ngoảnh lại bảo Ngô Thì Nhậm rằng: - Quan thị lang thật giỏi về nghề văn học, còn việc cung kiếm có thông thạo gì không?
任曰：「有文事必有武备，是非别两途。	Nhậm nói: - Có văn tất phải có võ, văn võ không phải chia làm hai đường.
然古人行军临事而惧，何以兵为戏，而轻易若是。	Nhưng người xưa dùng binh, gặp việc thì lo sao ngài lại lấy việc binh làm trò chơi mà coi thường như thế?
窃闻国人之奔清者，其中多有媒孽开疆构成兵变。	Tôi trộm nghe bọn người nước ta chạy sang bên Trung Hoa, trong đó có nhiều người định xúi họ, mở mang bờ cõi, gây ra binh biến.
公受阃外之寄，恐不免一番头发为白，到此回当念某言。」	Ngài chịu sự ký thác ở cõi ngoài, e rằng không khỏi một phen bạc đầu vì lo lắng, đến lúc ấy ngài nên nhớ đến lời nói của tôi.
楚笑曰：「此回当烦公赋一诗以退虏，如其不能，匣剑靴刀，自是武臣分事，何必过虑。」	Sở cười và nói: - Lúc ấy sẽ phiền ông làm một bài thơ để lui quân giặc. Nếu không làm được như thế, thì túi dao bao kiếm chính là phận sự của kẻ võ thần, can gì phải quá lo?
居无何，果闻边报。	Chẳng bao lâu, nghe tin báo ở ngoài biên ải đưa về.
楚大惊，即召故黎文武，以崇让公维礼监国事，为书称礼姓名，及诈称豪目推礼监国状，使文臣阮贵衙、陈伯览，文属武辉瑨，武臣阮廷宽、黎维褚，武属阮登坛等，赉奉禀札，向关上以求缓师；而内与璘等共商护战守之宜。	Sở rất kinh sợ, tức thì hội họp các quan văn võ cũ của nhà Lê, mượn tiếng Sùng nhượng công Duy Cận coi việc nước, làm một bức thư đứng tên Duy Cận; lại giả danh các hào mục lập một tờ trạng suy tôn Duy Cận làm giám quốc; rồi sai bọn quan văn là Nguyễn Quí Nha, Trần Bá Lãm, Võ Huy Tấn, bọn quan võ là Nguyễn Đình Khoan, Lê Duy Chử, Nguyễn Đăng Đàn đem bức thư và tờ bẩm tới cửa ải để xin hoãn binh. Một mặt, Sở họp với bọn Văn Lân bàn việc đánh giữ.
掌府用曰：「窃闻陈末明人南侵，黄福、张辅、沐晟、柳升皆中国枭将。	Chưởng phủ là Nguyễn Văn Dụng nói: - Trộm nghe hồi cuối đời Trần, người Minh sang lấn nước ta, có bọn Hoàng Phúc, Trương Phụ, Mộc Thạnh, Liễu Thăng đều là những tướng kiệt hiệt của Trung Quốc.
黎太祖起义蓝山，势力弗敌。	Bấy giờ vua Lê Thái Tổ khởi nghĩa ở vùng Lam Sơn, thế lực không địch nổi họ.
然兵行诡道，不厌权谋，惟善埋伏，乘虚掩杀敌兵，用能以少制众。	Nhưng hành binh theo cách quỷ quyệt, lại hay dùng mưu mẹo khôn ngoan; rồi nhờ khéo dùng cách mai phục, nhân lúc quân giặc không phòng bị mà đánh úp; cho nên có thể lấy ít quân mà đánh được kẻ nhiều quân, vây Vương Thông ở bến Đông Bộ, giết Liễu Thăng ở núi Mã Yên (Bến Đông Bộ tức bến Đông Tân ở khúc sông Nhĩ Hà, Hà Nội.
窘王通于东步头，杀柳升于马鞍岭；武功奇绝，千古艳谈。	Núi Mã Yên ở xã Mai sao thuộc huyện Ôn Châu, Lạng Sơn) võ công tuyệt lạ, ngàn thủa ngợi khen.
今清人远来，跋涉山间，吾以逸待劳，当预于要害之处，设伏以待，行此之计，何惧不克。」	Nay người Thanh ở xa đến đây, phải trèo đèo vượt suối, ta lấy quân nghỉ ngơi mà đón đánh quân nhọc mệt, nhắm trước các nơi xung yếu, cho quân nấp sẵn để chờ; cứ làm theo kế ấy, lo gì mà không thắng?
吴任曰：「不然，公知其一，未知其二。	Thì Nhậm nói: - Không phải thế! Ông chỉ biết một mà chưa biết hai.
天下之事，情同而势异者，得失较别。	Việc thiên hạ, tình tuy giống nhau mà thế có khác nhau, sự đắc thất do đó cũng khác hẳn.
昔本国内属，明人肆其残暴，通国之人皆欲逐之。	Xưa kia, nước ta bị phụ thuộc vào Trung Quốc, quân Minh buông tuồng làm điều tàn bạo. Người cả nước ai cũng muốn đuổi chúng đi.
故黎太祖一呼，远近回应，雄杰云合。	Cho nên vua Lê Thái Tổ chỉ gọi một tiếng là xa gần hưởng ứng, hào kiệt trong nước kéo đến như mây tụ.
每与敌战，国人惟恐失利，一间捷报欢喜不胜。	Mỗi lúc đánh nhau với giặc, người trong nước chỉ lo quân mình bất lợi. Mỗi khi có tin thắng trận, ai nấy đều hết sức vui mừng.
人心如此，几有埋伏之处，皆为之掩匿而敌人不觉，用能取胜，皆此之由。	Lòng người như thế, nên hễ chỗ nào có quân mình mai phục, thì người ta đều giấu kín cho, khiến giặc không hề biết. Sở dĩ thắng được giặc, đều bởi cớ ấy.
今黎逋播诸臣，在在有之，闻清人来援，引领而望，一国士民奔走争迎。	Ngày nay, những người bề tôi trốn tránh của nhà Lê, đâu đâu cũng có nghe tin quân Thanh sang cứu, họ đều nghển cổ mà trông. Sĩ dân cả nước, giành nhau mà đón chúng.
我军于何处埋伏，地形之险易，兵数之多寡，敌人未知，彼店皆先告之，因计就计，四面拿捕。	Quân ta mai phục ở đâu, địa thế hiểm hay không, số quân nhiều hay ít, quân giặc chưa biết thì họ đã báo trước với chúng. Chúng sẽ nhân kế của ta mà lập kế của chúng, rồi bốn mặt kéo đến vây bắt.
军机既泄，自失便宜，是徒自陷于死地也。	Quân cơ đã bị tiết lộ, tự nhiên mất hết điều tiện lợi. ấy là mình tự hãm mình vào chỗ chết.
更能掩击得谁？	Còn hòng đánh úp được ai?
兵法曰：『善覆者，靡不胜；误覆者，靡不败。	Binh pháp có nói: "Khéo che đậy không khi nào không thắng, vụng che đậy không khi nào không thua".
』胜负之分，今昔之异也。」	Được thua khác nhau là do ở chỗ xưa với nay khác nhau vậy!
楚曰：「然则计将安出？」	Sở hỏi: - Vậy thì nên làm thế nào?
吴任曰：「用兵之道，惟战与守而已。	Nhậm trả lời: - Phép dụng binh chỉ có một đánh một giữ mà thôi.
今清师之来，信息甚大，国人为之内应，多有虚传，以张大其势，惊动人心。	Nay quân Thanh sang đây, tiếng tăm rất lớn. Những kẻ trong nước làm nội ứng cho chúng, phần nhiều là phao tin đồn nhảm, làm cho thanh thế của chúng to thêm, để cho lòng người sợ hãi lay động.
我军有事差派，才一出城，便遭执戮。	Quân ta có ai được sai phái đi đâu, vừa ra khỏi thành là đã bị bắt giết.
北河隶兵籍者得隙使逃，以此众战，无异驱群羊而攻猛虎，安得不败？	Số người Bắc Hà thuộc vào sổ quân của ta, hễ gặp dịp sơ hở là bỏ trốn liền. Đem đội quân ấy mà đánh, không khác gì xua bầy dê đi chọi cọp dữ, không thua sao được?
至于撄城固守，众情不坚，内忧必作。	Đến như việc đóng cửa thành mà cố thủ, thì lòng người đã không vững, ắt thế nào cũng sinh ra mối lo ở bên trong.
虽有孙吴复起，亦且束手不能自谋；又无异将一鳝以投虾筥，请熟思之。	Dầu cho Tôn, Ngô (tức Tôn Võ, người nước Tề đời Xuân Thu, và Ngô Khởi người nước Vệ đời Chiến quốc; hai nhà quân sự nổi tiếng của Trung Quốc thời xưa) sống lại, cũng phải bó tay, không thể làm được gì. Thật chẳng khác gì đem một con chạch bỏ giỏ cua. Xin nghĩ kỹ mà xem!
战之不克，守之不固，均之非善策也。	Đánh đã chẳng được, giữ cũng không vững. Vậy thì cả hai chước đánh và giữ đều không phải là kế hay.
无已有一焉。及早敕水师满载粮船，乘风张帆，直出海口，至汴山屯宿。	Nghĩ cho cùng thì chỉ còn một cách này: sơm sớm truyền cho thuỷ quân chở đầy các thuyền lương, thuận gió giương buồm, ra thẳng cửa biển, đến vùng Biên Sơn mà đóng.
步军整器械，擂鼎而行，退保三迭山。	Quân bộ thì sửa soạn khí giới, gióng trống lên đường, lui về giữ núi Tam Điệp.
水陆相通，操险以守。遣人驰书，禀知主公。	Hai mặt thuỷ bộ liên lạc với nhau, giữ lấy chỗ hiểm yếu, rồi cho người chạy giấy về bẩm với chúa công.
且看清师至城后，区处黎家事理如何；与昭统帝复国后，兵谋国计，如何处分，侯主公来决战未晚也。」	Thử xem quân Thanh đến thành, khu xử việc nhà Lê ra sao? Vua Chiêu thống sau khi phục quốc, xếp đặt việc quân việc nước thế nào? Chờ chúa công ra, bấy giờ sẽ quyết chiến một phen cũng chưa muộn gì.
楚曰：「主公南还，以城委我。	Sở nói: - Chúa công về Nam, đem thành này giao phó cho ta.
敌来决战，与城相为存亡。上不忝为守土之臣，次无负握兵之责。	Giặc đến thì phải sống chết với giặc, còn mất với thành, trên không thẹn là kẻ bề tôi giữ đất, dưới không phụ chức trách cầm quân.
若乃望风先奔，弃城与敌，不惟得罪于主公，北人其谓我何？」	Nếu mới thấy bóng giặc đã trốn, bỏ thành cho giặc, chẳng những mang tội với chúa công mà người Bắc còn coi ta ra cái gì?
吴任曰：「古之良将，量敌而后战，虑胜而后战，应变设奇如奕棋然；先输人一着，后胜人一着矣。无以后着为先着，方是高手。	Nhậm nói: - Tướng giỏi thời xưa, lường thế giặc rồi mới đánh, nắm phần thắng rồi mới hành động, tuỳ theo tình thế thay đổi mà bày ra chước lạ. Giống như đánh cờ, trước thì chịu thua người một nước, sau mới được người ta một nước; đừng có đem nước sau làm nước trước, đó mới là tay cao cờ.
我全军而归，不亡一镞，许他寄宿一睡，随复驱之。	Nay ta hãy bảo toàn lấy quân lực mà rút lui, không bỏ mất một mũi tên. Cho chúng ngủ trọ một đêm, rồi lại đuổi đi, cũng như ngọc bích của nước Tấn đời xưa, vẫn nguyên lành chứ có mất gì.
犹晋之璧，究无所失，苟以此获戾，某敢暴白于主公，必蒙鉴谅，请公勿疑。」	Nếu có vì thế mà mắc lỗi, tôi sẽ xin bộc bạch với chúa công, thế nào cũng được chúa công lượng xét, xin ông chớ nghi ngại.
楚乃从之，密传京北、太谅诸镇守，声言会筑月德江土垒，而潜师以归；并移咨海阳、山西诸镇守，刻日各领弁兵来会升龙城；山南镇亦整饬船艘，俟水翠至并发。	Sở bèn nghe theo, rồi mật truyền cho các viên trấn thủ ở Kinh Bắc, Thái Nguyên, Lạng Sơn một mặt nói phao là đem quân đắp luỹ ở sông Như Nguyệt, một mặt cất lẻn rút quân về. Lại tư cho các viên trấn thủ ở Hải Dương, Sơn Tây, hẹn ngày họp quân ở thành Thăng Long. Còn trấn Sơn Nam thì sắp sửa thuyền bè, chờ thuỷ quân đến sẽ cùng xuất phát.
