高祖为布衣时，何数以吏事护高祖。	Khi Cao tổ còn mặc áo vải, Hà nhiều lần dựa vào chức vị để bảo vệ Cao tổ.
未罢，淮阴侯谋反关 中，吕后用萧何计，诛淮阴侯，语在淮阴事中。	Chưa dẹp xong [Trần Hy], Hoài Âm hầu [lại] mưu phản ở Quan Trung, Lã hậu theo kế của Tiêu Hà, giết Hoài Âm hầu, việc này đã chép trong Hoài Âm hầu liệt truyện.
上已闻淮阴侯诛，使 使拜丞相何为相国，益封五千户，令卒五百人一都尉为相国卫。	Cao tổ nghe tin Hoài Âm hầu bị giết, sai sứ phong Thừa tướng Tiêu Hà làm Tướng quốc, phong thêm cho năm nghìn hộ, lệnh năm trăm lính và một viên Đô úy làm hộ vệ cho Tướng quốc.
诸君 皆贺，召平独吊。	Mọi người đều chúc mừng, riêng Thiệu Bình chia buồn.
召平者，故秦东陵侯。	Thiệu Bình vốn là Đông Lăng hầu thời Tần.
相国从其 计，高帝乃大喜。	Tướng quốc theo kế đó, Cao đế bèn cả mừng.
汉十二年秋，黥布反，上自将击之，数使使问相国何为。	Hán Cao tổ năm thứ mười hai, mùa thu, Kình Bố làm phản, hoàng thượng đích thân cầm quân đi đánh, nhiều lần sai sứ hỏi Tướng quốc đang làm gì.
相国为 上在军，乃拊循勉力百姓，悉以所有佐军，如陈豨时。	Tướng quốc vì hoàng thượng đang cầm quân bên ngoài, bèn vỗ về khuyến khích trăm họ, đem hết của cải giúp cho quân đội, như khi hoàng thượng đi đánh dẹp Trần Hy.
於是相国从其计，上乃 大说。	Thế rồi Tướng quốc bèn theo kế đó, hoàng thượng cả mừng.
上罢布军归，民道遮行上书，言相国贱彊买民田宅数千万。	Hoàng thượng dẹp xong Kình Bố, đưa quân trở về, dân chúng đón đường dâng thư, nói Tướng quốc ép mấy nghìn mấy vạn hộ phải bán ruộng nhà với giá thấp.
上 至，相国谒。	Hoàng thượng về tới, Tướng quốc đến yết kiến.
民所上书皆以与相国， 曰：“君自谢民。”	Các thư do dân trình lên đều đưa cho Tướng quốc, nói: “Ông hãy tự tạ lỗi với dân.”
相国因为民请曰：“长安地狭，上林中多空地， 弃，原令民得入田，毋收(cid:0)为禽兽食。”	Tướng quốc nhân đó vì dân xin rằng: “Trường An đất hẹp, trong vườn Thượng Lâm còn nhiều đất trống, bỏ hoang, xin cho dân được vào làm ruộng, [chỉ được thu hoạch lương thực] không được lấy rơm rạ, để còn làm thức ăn cho cầm thú.”
上大怒曰：“相国多受贾人财物，乃为请吾苑！”	Hoàng thượng cả giận nói: “Tướng quốc nhận nhiều của cải của thương nhân, bèn vì họ xin vườn thượng uyển của ta ư?”
乃下相国廷尉，械 系之。	Bèn giao Tướng quốc cho Đình úy, cùm trói lại.
数日，王卫尉侍， 前问曰：“相国何大罪，陛下系之暴也？”	Mấy hôm sau, Vương Vệ úy hầu hoàng thượng, tiến lên hỏi: “Tướng quốc phạm tội lớn gì mà bệ hạ cùm trói gắt gao vậy?”
上曰：“吾闻李斯 相秦皇帝，有善归主，有恶自与。今相国多受贾竖金而为民请吾苑， 以自媚於民，故系治之。”	Hoàng thượng nói: “Ta nghe nói khi Lý Tự làm Tướng quốc cho Tần Thủy Hoàng đế, có việc gì tốt thì quy cho chúa, có việc gì xấu tự nhận về mình. Nay Tướng quốc nhận nhiều tiền vàng của thương nhân rồi vì dân chúng xin vườn thượng uyển của ta, để tự được tiếng tốt với dân, cho nên giam lại trị tội.”
王卫尉曰：“夫职事苟有便於民而请之， 真宰相事，陛下柰何乃疑相国受贾人钱乎！且陛下距楚数岁，陈豨、 黥布反，陛下自将而往，当是时，相国守关中，摇足则关以西非陛下 有也。相国不以此时为利，今乃利贾人之金乎？且秦以不闻其过亡天 下，李斯之分过，又何足法 哉。陛下何疑宰相之浅也。”	Vương Vệ úy nói: “Xét lẽ, về chức phận nếu có việc tiện lợi cho dân thì phải cầu xin cho họ, đó đích thực là phận sự của Tể tướng, sao bệ hạ lại nghi Tướng quốc nhận tiền của thương nhân! Hơn nữa bệ hạ cự nhau với Sở mấy năm, Trần Hy, Kình Bố làm phản, bệ hạ đích thân cầm quân đi đánh, lúc bấy giờ, Tướng quốc giữ Quan Trung, [chỉ cần] huơ chân thì từ Hàn Cốc về phía tây không còn là của bệ hạ nữa. Tướng quốc không nhân lúc đó toan lợi, nay lại ham lợi tiền vàng của thương nhân ư? Thêm nữa, Tần vì không chịu nghe lỗi lầm của mình, nên mất thiên hạ, Lý Tư vượt phận, đâu đủ để làm khuôn phép. Sao bệ hạ lại khinh suất nghi ngờ Tướng quốc vậy.”
高帝不怿。	Cao đế không hài lòng.
是 日，使使持节赦出相国。	Hôm ấy, sai sứ cầm phù tiết đến xá tội rồi thả Tướng quốc.
相国年老，素恭谨，入，徒跣谢。	Tướng quốc tuổi cao, vốn cung kính cẩn thận, vào cùng, đi chân trần tạ tội.
高帝 曰：“相国休矣！相国为民请苑，吾不许，我不过为桀纣主，而相国 为贤相。吾故系相国，欲令百姓闻吾过也。”	Cao đế nói: “Tướng quốc nghỉ đi thôi! Tướng quốc vì dân xin vườn thượng uyển, ta không cho, ta bất quá là chúa như Kiệt, Trụ, còn Tướng quốc là hiền tướng. Ta sở dĩ giam Tướng quốc, là muốn khiến trăm họ biết lỗi lầm của ta vậy.”
孝惠二年，相国何卒， 谥为文 终侯。	Hiếu Huệ đế năm thứ hai, Tướng quốc Tiêu Hà chết, thụy là Văn Chung hầu.
後嗣以罪失侯者四世，绝，天子辄复求何後，封续酂侯，功臣莫 得比焉。	Con cháu đời sau vì phạm tội bị mất tước hầu, cả thảy bốn lần, mỗi lần không người kế thừa thì thiên tử liền tìm hậu duệ của Hà, phong cho để tiếp nối tước Tán hầu, các công thần khác không ai sánh bằng.
太史公曰：萧相国何於秦时为刀笔吏，录录未有奇节。	Thái sử công bàn rằng: Tướng quốc Tiêu Hà thời Tần làm viên thư lại, rất tầm thường, chưa thấy tài cán gì lạ.
及汉兴，依日月之末光，何谨守管籥，因民之疾法，顺流与之更 始。 淮阴、黥布等皆以诛灭，而何之勋烂焉。 位冠群臣，声施後世， 与闳夭、散宜生等争烈矣。 萧何为吏，文而无害。	Đến khi triều Hán hưng khởi, dựa vào chút dư quang của nhật nguyệt, Hà cẩn trọng giữ nơi then khóa, nhân lúc người dân ghét pháp luật nhà Tần, thuận theo thế thời, cùng dân thay cũ đổi mới.
鲍生谓 丞相曰：“王暴衣露盖，数使使劳苦君者，有疑君心也。为君计，莫 若遣君子孙昆弟能胜兵者悉诣军所，上必益信君。”	Bão Sinh nói với Thừa tướng rằng: “Hán vương dãi gió dầm sương, nhiều lần sai sứ về úy lạo ngài, là có lòng ngờ ngài đấy. Kế cho ngài, không gì bằng sai con cháu anh em ngài ai có thể làm lính, thảy đều đến chỗ quân doanh Hán vương, Hán vương ắt càng tin tưởng ngài.”
群臣争功，岁馀功不 决。	Quần thần tranh công, hơn một năm chưa quyết được.
功臣皆曰：“臣等身被坚执 锐，多者百馀战，少者数十合，攻城略地，大小各有差。今萧何未尝 有汗马之劳，徒持文墨议论，不战，顾反居臣等上，何也？”	Các công thần đều nói: “Bọn thần mặc giáp cầm binh khí, người nhiều đánh trên trăm trận, người ít cũng mấy chục trận, đánh thành cướp đất, lớn nhỏ khác nhau. Nay Tiêu Hà chưa từng có công hãn mã, chỉ cần giấy mực luận bàn, không phải chinh chiến, thế mà lại ở trên bọn thần là cớ làm sao?”
高帝 曰：“诸君知猎乎？”	Cao đế đáp: “Các ông biết việc đi săn không?”
曰：“知之。”	Đáp: “Biết chứ.”
“知猎狗乎？”	“Biết con chó săn không?”
曰：“知 之。”	Đáp: “Biết chứ.”
群臣皆莫敢言。	Quần thần đều không dám nói.
列侯毕已受封，及奏位次，皆曰：“平阳侯曹参身被七十创，攻 城略地，功最多，宜第一。”	Sau khi liệt hầu đã đều được phong thưởng, đến khi xếp thứ bậc, đều nói: “Bình Dương hầu Tào Tham thân bị bảy mươi vết thương, đánh thành cướp đất, công lao lớn nhất, đáng đứng đầu.”
高祖曰：“善。”	Cao tổ nói: “Phải lắm.”
上曰：“吾闻进贤受上赏。萧何功虽高，得鄂君乃益明。”	Hoàng thượng nói: “Ta nghe nói tiến cử người hiền thì được trọng thưởng. Tiêu Hà tuy có công cao, được Ngạc quân [nói ra] thì càng thêm rõ ràng.”
於是 因鄂君故所食关内侯邑封为安平侯。	Thế là nhân ấp phong quan nội hầu của Ngạc quân trước đây, nay phong làm An Bình hầu.
秦破，为布衣，贫，种瓜於 长安城东，瓜美，故世俗谓之“东陵瓜”，从召平以为名也。	Nhà Tần bị diệt, làm kẻ áo vải, nghèo đói, trồng dưa ngoài cửa đông thành Trường An, dưa ngon, cho nên người đời gọi dưa đó theo tên của Thiều Bình là “Dưa Đông Lăng”, từ ấy Thiệu Bình lấy đó làm tên.
召平谓 相国曰：“祸自此始矣。上暴露於外而君守於中，非被矢石之事而益 君封置卫者，以今者淮阴侯新反於中，疑君心矣。夫置卫卫君，非以 宠君也。原君让封勿受，悉以家私财佐军，则上心说。”	Thiệu Bình nói với Tướng quốc rằng: “Họa bắt đầu từ đây vậy. Hoàng thượng dãi gió dầm sương bên ngoài còn ngài giữ tại Quan Trung, không phải chịu cảnh hòn tên mũi đạn mà lại được tăng thêm ấp phong, đặt quân túc vệ cho ngài, vì nay Hoài Âm hầu mới làm phản ở Quan Trung, [nên hoàng thượng] có lòng nghi ngờ ngài đấy. Xét lẽ, đặt quân túc vệ cho ngài, không phải vì sủng ái ngài đâu. Xin ngài từ chối phong thưởng, chớ nhận, đem hết của cải trong nhà giúp cho quân đội, như thế hoàng thượng sẽ đẹp lòng.”
客有说相国 曰：“君灭族不久矣。夫君位为相国，功第一，可复加哉？然君初入 关中，得百姓心，十馀年矣，皆附君，常复孳孳得民和。上所为数问 君者，畏君倾动关中。今君胡不多买田地，贱贳贷 以自汙？上心乃安。”	Khách có kẻ nói với Tướng quốc rằng: “Không lâu nữa ngài sẽ bị diệt tộc thôi. Xét lẽ, ngài ở địa vị Tướng quốc, công lao đứng đầu, còn có thể gia phong nữa không? Khi ngài mới vào Quan Trung, được lòng trăm họ, hơn chục năm rồi, thảy đều theo ngài, lại luôn miệt mài chính sự, được dân ủng hộ. Hoàng thượng nhiều lần sai người hỏi về ngài, là sợ ngài khuynh đảo Quan Trung. Nay sao ngài không mua nhiều ruộng đất, cho vay kiếm lời, tự làm hoen ố mình? Hoàng thượng sẽ yên tâm.”
上笑曰：“夫相国乃利民！”	Hoàng thượng cười nói: “Ôi, Tướng quốc làm lợi cho dân thế đấy!”
何素不与曹参相能，及何病，孝惠自临视相国病，因问曰：“君 即百岁後，谁可代君者？”	Tiêu Hà và Tào Tham vốn không ưa nhau, đến khi Hà bệnh nặng, Hiếu Huệ đế đích thân đến thăm bệnh Tướng quốc, nhân hỏi rằng: “Sau khi ông trăm tuổi, ai có thể thay ông?”
对曰：“知臣莫如主。”	Đáp rằng: “Biết bề tôi không ai bằng chúa.”
孝惠曰：“曹参 何如？”	Hiếu Huệ đế hỏi: “Tào Tham thế nào?”
何顿首曰：“帝得之矣！臣死不恨矣！”	Hà dập đầu thưa: “Hoàng thượng chọn được người rồi, thần chết không ân hận nữa.”
何置田宅必居穷处，为家不治垣屋。 曰：“後世贤，师吾俭；不 贤，毋为势家所夺。”	Hà xếp đặt ruộng đất nhà cửa nhất quyết phải ở nơi xa xôi hẻo lánh, dựng nhà không cần làm tường, nói: “Đời sau hiền năng, học theo cách tiết kiệm của ta; không hiền năng, cũng không bị nhà có quyền thế cướp đoạt.”
