平原君赵胜者，赵之诸公子也。	Bình Nguyên quân Triệu Thắng Bình Nguyên quân Triệu Thắng là một trong các công tử của nước Triệu.
秦之围邯郸，赵使平原君求救， 合从於楚，约与食客门下有勇力文武备具者二十人偕。	Tần bao vây Hàm Đan, Triệu phái Bình Nguyên quân đi cầu cứu, hợp tung với Sở. Bình Nguyên quân định cùng hơn hai mươi tân khách, môn hạ có dũng lực, văn võ toàn tài lên đường.
平原君 曰：“使文能取胜，则善矣。文不能取胜，则歃血於华屋之下，必得 定从而还。士不外索，取於食客门下足矣。”	Bình Nguyên quân nói: “Nếu dùng văn mà thủ thắng thì tốt, dùng văn mà không thể thủ thắng thì uống máu ăn thề ở đại điện, phải kết được tung ước mới về. Võ sĩ đâu cần tìm bên ngoài, lấy trong số thực khách, môn hạ cũng đủ rồi.”
得十九人，馀无可取 者，无以满二十人。	Lựa được mười chín người, không thêm được ai, chưa đủ số hai mươi.
门下有毛遂者，前，自赞於平原君曰：“遂闻君 将合从於楚，约与食客门下二十人偕，不外索。今少一人，原君即以 遂备员而行矣。”	Môn hạ có Mao Toại tiến lên, tự tiến cử với Bình Nguyên quân: “Toại nghe nói ngài muốn hợp tung với Sở, định lựa lấy hai mươi tân khách, môn hạ cùng đi, không tìm ở ngoài. Nay thiếu một người, xin ngài lấy Toại này cho đủ số lên đường.”
平原君曰：“先生处胜之门下几年於此矣？”	Bình Nguyên quân hỏi: “Tiên sinh làm môn hạ của Thắng mấy năm rồi?”
毛遂 曰：“三年於此矣。”	Mao Toại đáp: “Ở ba năm rồi.”
平原君曰：“夫贤士之处世也，譬若锥之处囊 中，其末立见。今先生处胜之门下三年於此矣，左右未有所称诵，胜 未有所闻，是先生无所有也。先生不能，先生留。”	Bình Nguyên quân nói: “Phàm hiền sĩ ở đời, ví như mũi dùi trong bọc, ắt phải lộ ra. Nay tiên sinh làm môn hạ của Thắng cũng đã ba năm, tả hữu chưa từng thấy ai khen ngợi, Thắng chưa từng được nghe, vậy là tiên sinh không có tài gì. Tiên sinh không thể đi được, hãy ở lại đi!”
毛遂曰：“臣乃 今日请处囊中耳。使遂蚤得处囊中，乃颖脱而出， 非特其末见而已。”	Mao Toại nói: “Toại nay mới xin được ở trong bọc. Ví như Toại ở trong bọc sớm thì đã ló ra ngoài, không chỉ thấy đầu mũi thôi đâu.”
平原君竟与毛遂偕。	Cuối cùng, Bình Nguyên quân cho Mao Toại đi.
十九人相与目笑之而未废也。	Mười chín người kia cùng nhìn mà cười, tỏ ý xem thường.
毛遂比至楚，与十九人论议，十九人皆服。	Đi gần đến Sở, Mao Toại bàn bạc cùng mười chín người kia, thảy đều khâm phục.
平原君与楚合从，言 其利害，日出而言之，日中不决。	Bình Nguyên quân cùng Sở vương bàn hợp tung, nói chuyện lợi hại, từ lúc mặt trời mọc đến khi đứng bóng vẫn chưa quyết được.
十九人谓毛遂曰：“先生上。”	Mười chín người kia nói với Mao Toại: “Ông lên đi.”
毛 遂按剑历阶而上，谓平原君曰：“从之利害，两言而决耳。今日出而 言从，日中不决，何也？”	Mao Toại cầm kiếm theo bậc bước lên, nói với Bình Nguyên quân: “Lợi hại của hợp tung, đôi câu là quyết được. Nay nói từ lúc mặt trời lên đến khi đứng bóng, vẫn chưa quyết, sao vậy?”
楚王谓平原君曰：“客何为者也？”	Sở vương hỏi Bình Nguyên quân: “Khách làm gì thế?”
平原 君曰：“是胜之舍人也。”	Bình Nguyên quân đáp: “Là xá nhân của Thắng.”
楚王叱曰：“胡不下！吾乃与而君言，汝 何为者也！”	Sở vương quát: “Sao không lui! Ta và chủ ngươi đang bàn chính sự, ngươi lên làm gì?”
毛遂按剑而前曰：“王之所以叱遂者，以楚国之众也。 今十步之内，王不得恃楚国之众也，王之命县於遂手。吾君在前，叱 者何也？且遂闻汤以七十里之地王天下，文王以百里之壤而臣诸侯， 岂其士卒众多哉，诚能据其势而奋其威。今楚地方五千里，持戟百 万，此霸王之资也。以楚之彊，天下弗能当。白起，小竖子耳，率数 万之众，兴师以与楚战，一战而举鄢郢，再战而烧夷陵，三战而辱王 之先人。此百世之怨而赵之所羞，而王弗知恶焉。 合从者为楚，非为赵也。吾君在前，叱者何也？”	Mao Toại cầm kiếm bước lên nói: “Đại vương quát Toại là cậy Sở đông quân thôi. Nay trong mười bước, ngài không thể cậy quân chúng đông của Sở, bởi mạng ngài treo trên tay Toại. Trước mặt chủ tôi, ngài quát gì thế? Và Toại nghe nói Thành Thang đất có bảy chục dặm mà làm vua thiên hạ, Văn vương đất có trăm dặm vuông mà chư hầu thần phục, há vì sĩ tốt đông đảo, chẳng qua nhờ nắm được thế của mình, thể hiện được uy của mình thôi. Nay Sở rộng năm nghìn dặm vuông, quân binh trăm vạn, là vốn của nghiệp bá vương vậy. Nhờ sự hùng cường của Sở, thiên hạ không ai cự nổi. Bạch Khởi là tên nhãi nhép, cầm mấy vạn quân, dấy binh giao chiến với Sở, đánh một trận hạ được đất Yên, Dĩnh, đánh hai trận thiêu Di Lăng, đánh ba trận sỉ nhục tiên tổ của đại vương. Đó là oán hận trăm đời, Triệu cũng hổ thẹn mà đại vương lại không. Việc hợp tung là vì Sở, không phải vì Triệu. Trước mặt chủ tôi, ngài quát nỗi gì?”
楚王曰：“唯唯， 诚若先生之言，谨奉社稷而以从。”	Sở vương đáp: “Vâng, vâng, quả như lời tiên sinh nói, kính cẩn dâng xã tắc để theo hợp tung.”
毛遂曰：“从定乎？”	Mao Toại hỏi: “Hợp tung quyết chưa?”
楚王 曰：“定矣。”	Sở vương đáp: “Quyết rồi.”
毛遂谓楚王之左右曰：“取鸡狗马之血来。”	Mao Toại nói với tả hữu của Sở vương: “Hãy mang máu gà, chó, ngựa đến đây.”
毛遂奉铜槃 而跪进之楚王曰：“王当歃血而定从，次者吾君， 次者遂。”	Mao Toại bưng mâm đồng, quỳ dâng Sở vương, nói: “Xin đại vương uống máu để định hợp tung, thứ đến chủ tôi, sau nữa đến Toại.”
毛遂左手持槃血而右手招十九人曰：“公 相与歃此血於堂下。公等录录， 所谓因人成事者也。”	Mao Toại tay trái bưng mâm máu, tay phải vẫy mười chín người kia, nói: “Các vị cùng uống máu dưới điện. Các ông đông đảo, nhưng phải dựa vào người khác để hoàn thành việc của mình đó.”
平原君已定从而归，归至於赵，曰：“胜不敢复相士。胜相士多 者千人，寡者百数，自以为不失天下之士，今乃於毛先生而失之也。 毛先生一至楚，而使赵重於九鼎大吕。 毛先 生以三寸之舌，彊於百万之师。胜不敢复相士。”	Bình Nguyên quân ước định tung ước xong, về đến Triệu, nói: “Thắng không dám xét đoán kẻ sĩ nữa. Thắng đánh giá kẻ sĩ, nhiều thì hàng nghìn, ít thì hàng trăm, tự cho không bỏ sót kẻ hiền sĩ trong thiên hạ, nay với Mao tiên sinh quả bỏ sót vậy. Mao tiên sinh một phen đến Sở, khiến Triệu được trọng hơn cả cửu đỉnh, đại lã. Mao tiên sinh dùng ba tấc lưỡi mà mạnh hơn đội quân trăm vạn. Thắng không dám xét đoán kẻ sĩ nữa.”
遂以为上客。	Bèn tôn làm thượng khách.
平原君既返赵，楚使春申君将兵赴救赵，魏信陵君亦矫夺晋鄙军 往救赵，皆未至。	Bình Nguyên quân trở về Triệu, Sở phái Xuân Thân quân cầm quân giải cứu Triệu, Tín Lăng quân nước Ngụy cũng giả chiếu chỉ của vua đoạt quân của Tấn Bỉ đến giải cứu Triệu, đều chưa tới nơi.
秦急围邯郸，邯郸急，且降，平原君甚患之。	Tần siết chặt vòng vây Hàm Đan, Hàm Đan nguy cấp, sắp phải hàng, Bình Nguyên quân rất lo lắng.
邯郸 传舍吏子李同说平原君曰：“君不忧赵亡 邪？”	Con trai người coi trạm Hàm Đan là Lý Đồng hỏi Bình Nguyên quân: “Ngài không lo Triệu mất ư?”
平原君曰：“赵亡则胜为虏，何为不忧乎？”	Bình Nguyên quân đáp: “Triệu mất thì Thắng làm tù binh, sao lại không lo?”
李同曰：“邯郸 之民，炊骨易子而食，可谓急矣，而君之後宫以百数，婢妾被绮縠， 馀粱肉，而民褐衣不完，糟糠不厌。民困兵尽，或剡木为矛矢，而君 器物锺磬自若。使秦破赵，君安得有此？使赵得全，君何患无有？今 君诚能令夫人以下编於士卒之间，分功而作，家之所有尽散以飨士， 士方其危苦之时，易德耳。”	Lý Đồng nói: “Dân Hàm Đan, đốt xương đổi con để ăn, tình hình nguy cấp lắm thay, vậy mà hậu cung của ngài đông đến hàng trăm, hầu thiếp mặc lụa là, thừa cơm thịt, còn dân đen y phục rách rưới, tấm mẳn không đủ no. Dân khốn quẫn, binh khí hết, có người gọt cây làm giáo làm tên, trong khi chuông khánh nhà ngài vẫn nguyên vẹn. Giả sử Tần phá được Triệu, ngài sao còn những thứ ấy? Như Triệu được bảo toàn, ngài lo gì không có những thứ ấy? Nay ngài có thể lệnh cho hàng phu nhân trở xuống biên vào sĩ tốt, chia việc cho làm, phát tán của nả trong nhà cho sĩ tốt, sĩ tốt đương lúc nguy khốn, dễ dàng cảm ân đức của ngài.”
於是平 原君从之，得敢死之士三千人。	Bình Nguyên quân nghe theo, hợp được ba nghìn binh sĩ cảm tử.
李同遂与三千人赴秦军，秦军为之卻 三十里。	Lý Đồng cùng ba nghìn người đó xông ra đánh Tần, quân Tần phải lui ba mươi dặm.
亦会楚、魏救至，秦兵遂罢，邯郸复存。	Đúng lúc ấy, Sở và Ngụy đến cứu, Tần bên bãi binh, Hàm Đan được bảo toàn.
虞卿欲以信陵君之存邯郸为平原君请封。	Ngu khanh nhân việc Tín Lăng quân bảo tồn Hàm Đan muốn xin gia phong Bình Nguyên quân.
公孙龙闻之，夜驾见平 原君曰：“龙闻虞卿欲以信陵君之存邯郸为君请封，有之乎？”	Công Tôn Long hay tin, giữa đêm đi xe đến gặp Bình Nguyên quân, nói: “Long nghe nói Ngu khanh nhân việc Tín Lăng quân bảo tồn Hàm Đan muốn xin gia phong cho ngài, có việc ấy không?”
平原 君曰：“然。”	Bình Nguyên quân đáp: “Có.”
龙曰：“此甚不可。且王举君而相赵者，非以君之智 能为赵国无有也。割东武城而封君者，非以君为有功也，而以国人无 勋，乃以君为亲戚故也。君受相印不辞无能，割地不言无功者，亦自 以为亲戚故也。今信陵君存邯郸而请封，是亲戚受城而国人计功也。 此甚不可。且虞卿操 其两权，事成，操右券以责； 事不成，以虚名德君。君必勿听也。”	Long nói: “Việc ấy rất không nên. Đại vương cất nhắc ngài làm Tể tướng nước Triệu, không phải vì ngài có tài năng ở Triệu không ai bằng, cắt Đông Vũ Thành phong cho ngài, không phải vì ngài có công còn người khác không có, mà vì ngài là thân thích. Ngài nhận ấn tướng mà không nói mình vô năng, nhận đất phong lại không nói mình vô công, vì tự cho mình là thân thích vậy. Nay Tín Lăng quân bảo tồn Hàm Đan mà xin gia phong, là lấy danh thân thích để nhận thành, lại lấy danh người trong nước để tính công vậy. Thế rất không nên. Vả Ngu khanh nắm cả hai đầu, việc thành, nắm khế ước để đòi nợ; việc không thành, dựa hư danh chịu ơn ngài. Ngài quyết không được nghe theo.”
平原君遂不听虞 卿。	Bình Nguyên quân bèn không nghe Ngu khanh.
平原君以赵孝成王十五年卒。	Bình Nguyên quân mất năm Triệu Hiếu Thành vương thứ mười lăm.
子孙代，後竟与赵俱亡。	Con cháu thay nhau tập ấm, đến tận khi Triệu bị diệt Vong.
平原君厚待公孙龙。	Bình Nguyên quân hậu đãi Công Tôn Long.
公孙龙善为坚白之辩，及邹衍过赵 言至道，乃绌公孙龙。	Công Tôn Long giỏi biện bác về “cứng” và “trắng” (kiên bạch), khi Trâu Diễn đến Triệu nói về đạo lý tột vời, bèn phế truất Công Tôn Long.
虞卿者，游说之士也。 蹑蹻檐簦 说赵孝成王。	Ngu khanh Ngu khanh là kẻ sĩ du thuyết, mang giày cỏ áo tơi thuyết Hiếu Thành vương nước Triệu.
一见，赐黄金百镒，白璧一双；再 见，为赵上卿，故号为虞卿。	Yết kiến lần thứ nhất, được tặng trăm dật vàng, một đôi ngọc bích; yết kiến lần thứ hai, được làm thượng khanh nước Triệu, nên gọi là Ngu khanh.
秦赵战於长平，赵不胜，亡一都尉。	Tần và Triệu giao chiến ở Trường Bình, Triệu không thắng, mất một Đô úy.
赵王召楼昌与虞卿曰：“军 战不胜，尉复死，寡人使束甲而趋 之，何如？”	Triệu vương vời Lâu Xương và Ngu khanh đến hỏi: “Quân đánh không thắng, Đô úy lại chết, quả nhân sai cuốn giáp xông vào quân địch, được không?”
楼昌曰：“无益也，不如发重使为媾。”	Lâu Xương đáp: “Vô ích thôi, chẳng bằng sai sứ thần trọng yếu đi giảng hòa.”
虞卿曰：“昌 言媾者，以为不媾军必破也。而制媾者在秦。且王之论秦也，欲破赵 之军乎，不邪？”	Ngu khanh nói: “Xương nói giảng hòa, vì cho nếu không giảng hòa quân ắt bị phá. Còn việc giảng hòa là do Tần. Đại vương xét xem Tần có muốn phá quân Triệu hay không?”
王曰：“秦不遗馀力矣，必且欲破赵军。”	Triệu vương nói: “Tần dốc toàn lực, ắt muốn phá quân Triệu.”
虞卿 曰：“王听臣，发使出重宝以附楚、魏，楚、魏欲得王之重宝，必内 吾使。赵使入楚、魏，秦必疑天下之合从，且必恐。如此，则媾乃可 为也。”	Ngu khanh nói: “Đại vương nghe thần, phái sứ mang nhiều báu vật sang Sở và Ngụy, Sở và Ngụy được nhiều báu vật của đại vương, ắt chấp nhận sứ của ta. Sứ Triệu sang Sở và Ngụy, Tần ắt ngờ thiên hạ hợp tung, hẳn sợ. Như thế, giảng hòa mới thành.”
赵王不听，与平阳君为媾，发郑硃入秦。	Triệu vương không nghe, cùng Bình Nguyên quân tình việc giảng hòa, sai Trịnh Chu sang Tần.
赵王召虞 卿曰：“寡人使平阳君为媾於秦，秦已内郑硃矣，卿之为奚如？”	Triệu vương vời Ngu khanh đến, hỏi: “Quả nhân phái Bình Nguyên quân tính việc giảng hòa với Tần, Tần đã tiếp nhận sứ Trịnh Chu, khanh thấy sao?”
虞 卿对曰：“王不得媾，军必破矣。天下贺战者皆在秦矣。郑硃，贵人 也，入秦，秦王与应侯必显重以示天下。楚、魏以赵为媾，必不救 王。秦知天下不救王，则媾不可得成也。”	Ngu khanh đáp: “Đại vương không giảng hòa được, quân ắt bị phá thôi. Thiên hạ kẻ chúc mừng chiến thắng đều ở Tần. Trịnh Chu là người hiển quý, vào Tần, Tần vương và ứng hầu ắt tỏ lòng coi trọng cho thiên hạ thấy. Sở và Ngụy cho rằng Triệu đã giảng hòa, ắt không cứu đại vương. Tần biết thiên hạ không cứu đại vương, việc giảng hòa không thể thành công được.”
长平大败，遂围邯郸，为天下笑。	[Triệu] đại bại ở Trường Bình, [Tần] liền bao vây Hàm Đan, [Triệu] bị thiên hạ chê cười.
秦既解邯郸围，而赵王入朝，使赵郝 约事於秦，割六县而媾。	Tần đã giải vây Hàm Đan, Triệu vương vào chầu, phái Triệu Hách sang Tần giao ước, cắt sáu huyện để giảng hòa.
虞卿谓赵王 曰：“秦之攻王也，倦而归乎？王以其力尚能进，爱王而弗攻 乎？”	Ngu khanh nói với Triệu vương: “Tần đánh đại vương, mỏi mệt mà rút về chăng? Đại vương cho sức họ còn tiến đánh được, vì yêu đại vương nên không đánh nữa chăng?”
王曰：“秦之攻我也，不遗馀力矣，必以倦而归也。”	Triệu vương đáp: “Tần đánh ta, đã dốc toàn lực, ắt vì mỏi mệt mà rút về vậy.”
虞卿 曰：“秦以其力攻其所不能取，倦而归，王又以其力之所不能取以送 之，是助秦自攻也。来年秦复攻王，王无救矣。”	Ngu khanh nói: “Tần dốc sức đánh mà không chiếm được, mỏi mệt rút về, đại vương lại đem cái họ dốc sức chiếm không được tặng cho họ, là giúp Tần tự đánh mình vậy. Sang năm Tần lại đánh đại vương, đại vương không thể tự cứu mình được nữa.”
王以虞卿之言赵 郝。	Triệu vương đem lời Ngu khanh nói với Triệu Hách.
赵郝曰：“虞卿诚能尽秦力之所至乎？诚知秦力之所不能进，此 弹丸之地弗予，令秦来年复攻王，王得无割其内而媾乎？”	Triệu Hách nói: “Ngu khanh thực biết khả năng của Tần ư? Dẫu biết sức Tần không thể tiến đánh được, nếu không cắt mảnh đất nhỏ như hòn đạn này cho họ, sang năm Tần lại đánh đại vương, liệu đại vương có thể không cắt đất trong nước để giảng hòa chăng?”
王 曰：“请听子割，子能必使来年秦之不复攻我乎？”	Triệu vương nói: “Nghe lời ông cắt đất, ông có thể khiến Tần sang năm không đánh nữa chăng?”
赵郝对曰：“此 非臣之所敢任也。他日三晋之交於秦，相善也。今秦善韩、魏而攻 王，王之所以事秦必不如韩、魏也。今臣为足下解负亲之攻， 开关通币，齐交韩、魏，至来年而王 独取攻於秦，此王之所以事秦必在韩、魏之後也。此非臣之所敢任 也。”	Triệu Hách đáp: “Điều đó thần không dám đảm bảo. Khi xưa, Tam Tấn quan hệ với Tần rất tốt. Nay Tần thân Hàn và Ngụy rồi đánh đại vương, ắt vì đại vương thờ Tần không bằng Hàn và Ngụy vậy. Nay thần xin vì đại vương hóa giải việc nước bị tấn công vì bội phản minh ước, mở ải lưu thông của cải, kết giao như Hàn và Ngụy, sang năm nếu Tần chỉ đánh đại vương, ấy vì đại vương thờ Tần không bằng Hàn và Ngụy vậy. Đó không phải điều thần dám đảm bảo.”
王以告虞卿。	Triệu vương nói lại với Ngu khanh.
虞卿对曰：“郝言‘不媾，来年秦复攻王，王得无 割其内而媾乎’。今媾，郝又以不能必秦之不复攻也。今虽割六城， 何益！来年复攻，又割其力之所不能取而媾，此自尽之术也，不如无 媾。秦虽善攻，不能取六县；赵虽不能守，终不失六城。秦倦而归， 兵必罢。我以六城收天下以攻罢秦，是我失之於天下而取偿於秦也。 吾国尚利，孰与坐而割地，自弱以彊秦哉？今郝曰‘秦善韩、魏而攻 赵者，必王之事秦不如韩、魏也’，是使王岁以六城事秦也，即坐而 城尽。来年秦复求割地，王将与之乎？弗与，是弃前功而挑秦祸也； 与之，则无地而给之。语曰‘彊者善攻，弱者不能守’。今坐而听 秦，秦兵不弊而多得地，是彊秦而弱赵也。以益彊之秦而割愈弱之 赵，其计故不止矣。且王之地有尽而秦之求无已，以有尽之地而给无 已之求，其势必无赵矣。”	Ngu khanh nói: “Hách bảo: 'Không giảng hòa, sang năm Tần lại đánh đại vương, liệu đại vương có thể không cắt đất trong nước để giảng hòa chăng.' Giảng hòa, Hách lại không dám chắc sang năm Tần không đánh nữa. Nay tuy cắt sáu thành, ích gì? Sang năm Tần lại đánh, lại cắt đất mà họ dốc sức không lấy được để giảng hòa, đó là thuật tự diệt vậy, chẳng bằng không cầu hòa. Tần tuy giỏi đánh, cũng không thể chiếm sáu huyện; Triệu dù không thể giữ, cuối cùng không mất sáu thành. Tần mỏi mệt rút về, quân ắt suy yếu. Ta đem sáu thành lời kéo thiên hạ đánh Tần mỏi mệt, là ta mất thành cho thiên hạ lại lấy được bồi hoàn từ Tần. Nước ta vẫn lợi, chứ ai ngồi không cắt đất tự làm yếu mình, giúp Tần mạnh? Nay Hách nói 'Tần thân Hàn và Ngụy rồi đánh đại vương, ắt vì đại vương thờ Tần không bằng Hàn và Ngụy vậy', là khiến đại vương mỗi năm cắt sáu thành để thờ Tần, tức ngồi không mà mất hết thành. Sang năm Tần lại đòi cắt đất, đại vương chịu không? Không cắt, tức bỏ công trước mà chuốc họa Tần đánh; nếu cắt, sẽ chẳng còn đất mà cắt nữa, Tục ngữ nói: 'Kẻ mạnh giỏi đánh, kẻ yếu không thể giữ.' Nay ngồi mà theo Tần, quân Tần không tốn sức lại được nhiều đất, là làm Tần mạnh mà khiến Triệu yếu vậy. Giúp Tần thêm mạnh mà phải cắt đất của nước Triệu ngày càng yếu, kế đó hẳn không thể dùng. Và đất của đại vượng có hạn, đòi hỏi của Tần lại vô cùng, lấy đất có hạn đáp ứng đòi hỏi vô cùng, tình thế ấy ắt không còn Triệu nữa.”
赵王计未定，楼缓从秦来，赵王与楼缓计之，曰：“予秦地如毋 予，孰吉？”	Triệu vương chưa quyết được kế sách, Lâu Hoãn từ Tần đến, Triệu vương tính kế cùng Lâu Hoãn, Triệu vương hỏi: “Cắt đất cho Tần với không cắt, đằng nào hơn?”
缓辞让曰：“此非臣之所能知也。”	Hoãn thoái thác nói: “Điều đó thần không biết được.”
王曰：“虽然，试 言公之私。”	Triệu vương nói: “Dẫu vậy, hãy thử nói ý ông.”
楼缓对曰：“王亦闻夫公甫文伯母 乎？公甫文伯仕於鲁，病 死，女子为自杀於房中者二人。其母闻之，弗哭也。其相室曰： ‘焉有子死而弗哭者乎？’其母曰：‘孔子，贤人 也，逐於鲁，而是人不随也。今死而妇人为之自杀者二人，若是者必 其於长者薄而於妇人厚也。’故从母言之，是为贤母；从妻言之，是 必不免为妒妻。故其言一也，言者异则人心变矣。今臣新从秦来而言 勿予，则非计也；言予之，恐王以臣为为秦也：故不敢对。使臣得为 大王计，不如予之。”	Lâu Hoãn đáp: “Đại vượng hẳn từng nghe chuyện về mẹ của Công Phủ Văn Bá? Công Phủ Văn Bá làm quan ở Lỗ, ốm chết, hai người con gái vì ông ta tự sát trong phòng. Bà mẹ hay tin không khóc. Người giúp việc trong nhà hỏi: “Sao con chết mà bà không khóc?” Bà mẹ đáp: “Khổng tử là người hiền, bị đuổi khỏi Lỗ, nó không đi theo. Nay nó chết mà hai người tự tử chết theo, ắt vì nó bạc với tôn trưởng mà hậu đãi đàn bà.” Cho nên từ địa vị người mẹ, là lời mẹ hiền; từ góc độ người vợ, ắt không tránh khỏi bị coi là người vợ đố kỵ. Cho nên một lời nói, người nói khác nhau người nghe ắt hiểu khác.
王曰：“诺。”	Triệu vương đáp: “Được.”
虞卿闻之，入见王曰：“此饰说也，王蜰 勿予！”	Ngu khanh biết chuyện, liền vào yết kiến Triệu vương, nói: “Đó là những lời màu mè, xin đại vương chớ cắt đất.”
楼缓闻之，往见王。	Lâu Hoãn hay tin, tới yết kiến Triệu vương.
王又以虞卿之言告楼缓。 楼缓对 曰：“不然。虞卿得其一，不得其二。夫秦赵构难而天下皆说，何 也？曰‘吾且因彊而乘弱矣’。今赵兵困於秦，天下之贺战胜者则必 尽在於秦矣。故不如亟割地为和，以疑天下而慰秦之心。不然，天下 将因秦之怒，乘赵之弊，瓜分之。赵且亡，何秦之图乎？故曰虞卿得 其一，不得其二。原王以此决之，勿复计也。”	Triệu vương lại đem lời Ngu khanh nói với Lâu Hoãn, Lâu Hoãn đáp: “Không phải thế đâu. Ngu khanh biết một không biết hai. Xét lẽ, Tần và Triệu xung đột, thiên hạ đều mừng. Tại sao? Vì họ cho 'Ta dựa kẻ mạnh, lợi dụng kẻ yếu.' Nay quân Triệu bị Tần vây khốn, kẻ chúc mừng chiến thắng trong thiên hạ ắt đều tập trung ở Tần. Cho nên chẳng bằng cắt đất giảng hòa, khiến thiên hạ nghi ngờ còn Tần thì hả dạ. Nếu không, thiên hạ sẽ nhân Tần tức giận, thừa lúc Triệu yếu mà xâu xé. Triệu sẽ mất, cần gì mưu tính đến Tần nữa? Nên nói Ngu khanh biết một không biết hai. Xin đại vương hãy quyết định, chớ tính toán gì nữa.”
虞卿闻之，往见王曰：“危哉楼子之所以为秦者，是愈疑天下， 而何慰秦之心哉？独不言其示天下弱乎？且臣言勿予者，非固勿予而 已也。秦索六城於王，而王以六城赂齐。齐，秦之深雠也，得王之六 城，并力西击秦，齐之听王，不待辞之毕也。则是王失之於齐而取偿 於秦也。而齐、赵之深雠可以报矣，而示天下有能为也。王以此发 声，兵未窥於境，臣见秦之重赂至赵而反媾於王也。从秦为媾，韩、 魏闻之，必尽重王；重王，必出重宝以先於王。则是王一举而结三国 之亲，而与秦易道也。”	Ngu khanh nghe tin, bèn qua yết kiến Triệu vương, nói: “Nguy thay! Lâu tử vì Tần như thế, càng khiến thiên hạ sinh nghi, Tần nào có hả dạ? Sao không nói phô ra cho thiên hạ biết mình yếu? Và thần nói không cắt đất, không phải nhất định không cắt thôi đâu. Tần đòi đại vương sáu thành, đại vương lấy sáu thành cắt cho Tề. Tề và Tần oán thù sâu nặng, Tề được sáu thành của đại vương, sẽ dốc sức đánh Tần, chưa cần nói dứt lời Tề đã nghe đại vương. Vậy đại vương mất sáu thành cho Tề mà được hoàn trả ở Tần. Còn có thể báo được thâm thù của Tề và Triệu, lại cho thiên hạ thấy mình dám làm. Đại vương công bố điều ấy, quân chưa nhòm vào biên cảnh, thần thấy Tần đã mang nhiều của đến Triệu, ngược lại còn cầu hòa với đại vương. Tần xin giảng hòa, Hàn và Ngụy hay tin, ắt coi trọng đại vương; coi trọng đại vương trước tiên ắt mang nhiều báu vật đến biếu. Như thế, đại vương làm một việc mà kết thân ba nước, lại thay đổi được vị thế với Tần.”
赵 王曰：“善。”	Triệu vương đáp: “Hay.”
则使虞卿东见齐王，与之谋秦。	Rồi sai Ngu khanh sang đông yết kiến Tề vương, cùng tính kế đối phó Tần.
