孝文皇帝，高祖中子也。	Hiếu Văn hoàng đế là con giữa của Cao tổ.
占曰：“大横庚庚，余为天王， 夏启以光。”	Quẻ bói nói rằng: “Chằn chặn vệt ngang, ta làm thiên vương, Hạ Khải vẻ vang.”
代王曰：“寡人固已为王矣，又何 王？”	Đại vương nói: “Quả nhân vốn đã là vương rồi, lại còn làm vương gì nữa?”
卜人曰：“所谓天王者乃天子。”	Thày bói nói: “Thiên vương chính là thiên tử.”
於是代王乃遣太后弟薄昭往 见绛侯，绛侯等具为昭言所以迎立王意。	Thế rồi Đại vương bèn phái em của thái hậu là Bạc Chiêu tới gặp Giáng hầu, đám Giáng hầu nói hết với Chiêu về ý định đón lập Đại vương.
薄昭还报曰：“信矣，毋可 疑者。” 代王乃笑谓宋昌曰：“果如公言。”	Bạc Chiêu về thưa: “Việc đáng tin, xin chớ nghi ngại” Đại vương bèn cười nói với Tống Xương: “Quả như người nói!”
乃命宋昌参乘，张武等 六人乘传诣长安。	Đoạn lệnh cho Tống Xương làm tham thừa, cùng bọn Trương Vũ sáu người lên xe tới Trường An.
至高陵休止， 而使宋昌先驰之长 安观变。	Đến Cao Lăng dừng lại, rồi sai Tống Xương chạy trước tới Trường An quan sát biến động.
昌至渭桥， 丞相以下皆迎。	Hán Văn đế (Tam Tài đồ hội) Xương đến Vị Kiều, từ thừa tướng trở xuống đều tới nghênh đón.
宋昌还报。	Tống Xương về báo.
代 王驰至渭桥，群臣拜谒称臣。	Đại vương tuổi ngựa tới Vị Kiều, quần thần bái kiến xưng thần.
代王下车拜。	Đại vương xuống xe vái.
太尉勃进曰：“原请间 言。”	Thái úy Bột bước lên nói: “Xin được nói chuyện riêng!”
宋昌曰：“所言公，公言 之。所言私，王者不受私。”	Tống Xương nói: “Điều muốn nói là việc công thì cứ nói công khai. Điều muốn nói là việc riêng thì bậc vương giả không nhận tình riêng.”
太尉乃跪上天子玺符。 代王谢曰：“至 代邸而议之。”	Thái úy bèn quỳ xuống dâng ngọc tỷ thiên tử, Đại vương tạ từ nói: “Tới cung của Đại vương rồi bàn.”
遂驰入代邸。	Bèn ruổi xe vào cung Đại vương.
群臣从至。	Quần thần theo tới.
丞相陈平、太尉周勃、大将军陈武、御史大夫张苍、宗正刘郢、 硃 虚侯刘章、东牟侯刘兴居、典客刘揭皆再拜言曰：“子弘等皆非孝惠 帝子，不当奉宗庙。臣谨请阴安侯 列侯顷王后 与琅邪王、宗 室、大臣、列侯、吏二千石议曰：‘大王高帝长子，宜为高帝 嗣。’原大王即天子位。” 代王曰：“奉高帝宗庙，重事也。寡人不 佞，不足以称宗庙。原请楚王计宜者， 寡人不敢当。”	Thừa tướng Trần Bình, thái úy Chu Bột, đại tướng quân Trần Vũ, ngự sử đại phu Trương Thương, tông chính Lưu Dĩnh, Chu Hư hầu Lưu Chương, Đông Mâu hầu Lưu Hưng Cư, điển khách Lưu Yết đều lạy thêm lần nữa rồi nói: “Các hoàng tử như Hoằng đều không phải con của Hiếu Huệ đế, không xứng thờ phụng tông miếu. Chúng thần cung thỉnh Âm An hầu, các chư hầu Khoảnh Vương Hậu và Lang Da vương, các vị tôn thất, đại thần, liệt hầu, quan lại lĩnh lương hai ngàn thạch bàn rằng, đại vương là con cả của Cao đế, đáng làm người nối dõi Cao đế. Mong đại vương lên ngôi thiên tử” Đại vương nói: “Thờ phụng tông miếu của Cao đế là việc hệ trọng. Quả nhân bất tài, không xứng thờ phụng tông miếu. Nguyện xin Sở vương xét người thích hợp, quả nhân không dám đảm đương.”
群臣皆伏固请。	Quần thần đều rạp mình nhi xin.
代王西乡让者三，南乡让者 再。	Đại vương ngoảnh về hướng tây từ chối ba lần, ngoảnh về hưởng nam từ chối hai lần.
丞相平等皆 曰：“臣伏计之，大王奉高帝宗庙最宜称，虽天下诸侯万民以为宜。 臣等为宗庙社稷计，不敢忽。原大王幸听臣等。臣谨奉天子玺符再拜 上。”	Đám thừa tướng Trần Bình đều nói: “Chúng thần cúi nghĩ, đại vương thờ phụng tông miếu của Cao để là xứng đáng nhất, ngay chư hầu và vạn dân trong thiên hạ cũng cho rằng ngài xứng đáng. Chúng thần lo tính cho tông miếu xã tắc, không dám lơ là. Mong đại vương thuận cho chúng thần. Chúng thần xin bưng ngọc tỷ thiên tử, vái dâng lần nữa!”
代王曰：“宗室将相王列侯以为莫宜寡人，寡人不敢辞。”	Đại vương nói: “Tôn thất cùng vương, tướng, các chư hầu đều cho rằng không ai xứng bằng quả nhân, quả nhân không dám từ chối nữa.”
遂 即天子位。	Đoạn bèn lên ngôi thiên tử.
群臣以礼次侍。	Quần thần theo lễ lần lượt chầu hầu.
乃使太仆婴与东牟侯兴居清宫， 奉天子法驾， 迎于代邸。	Bèn sai thái bộc Hạ Hầu Anh cùng Đông Mâu hầu Hưng Cư dọn cung, dùng xa giá của thiên tử tới cung riêng của Đại vương nghênh đón.
皇帝即日夕入未央宫。	Hoàng đế ngay đêm hôm ấy vào cung Vị Ương.
乃夜拜宋昌为卫将军，镇抚 南北军。	Đương đêm mệnh cho Tống Xương làm Vệ tướng quân, trấn giữ cánh quân nam bắc.
以张武为郎中令，行殿中。	Cho Trương Vũ làm Lang trung lệnh, tuần hành trong điện.
於是夜下诏书 曰：“间者诸吕用事擅权，谋为大逆，欲以危刘氏宗庙，赖将相列侯 宗室大臣诛之，皆伏其辜。朕初即位，其赦天下，赐民爵一级，女子 百户牛酒， 酺 五日。”	Giữa đêm ban chiếu thư, viết: “Gần đây họ Lã chấp chính chuyên quyền, âm mưu đại nghịch, muốn hủy tông miếu họ Lưu, nhờ các quan văn võ, liệt hầu, tông thất, đại thần giết chúng, tất cả phải chịu tội. Trẫm mới lên ngôi, đại xá thiên hạ, ban cho muôn dân tước vị một cấp, đàn bà cứ trăm hộ được mổ trâu uống rượu, ăn mừng năm ngày.”
孝文皇帝元年十月庚戌，徙立故琅邪王泽为燕王。	Ngày Canh Tuất, tháng Mười, năm đầu tiên đời Hiếu Văn hoàng đế, đổi lập Lang Da vương Trạch trước đây làm Yên vương.
辛亥，皇帝即阼，谒高庙。	Ngày Tân Hợi, hoàng đế lên ngôi, bái yết Cao miếu.
右丞相平徙为左丞 相，太尉勃为右丞相，大将军灌婴为太尉。	Đổi Hữu thừa tướng Bình làm Tả thừa tướng Thái úy Bột làm Hữu thừa tướng, đại tướng quân Quán Anh làm thái úy.
壬子，遣车骑将军薄昭迎皇太后于代。	Ngày Nhâm Tý, sai Xa kỵ tướng quân Bạc Chiêu rước hoàng thái hậu ở đất Đại.
皇帝曰：“吕产自置为相 国，吕禄为上将军，擅矫遣灌将军婴将兵击齐，欲代刘氏，婴留荥阳 弗击，与诸侯合谋以诛吕氏。吕产欲为不善，丞相陈平与太尉周勃谋 夺吕产等军。硃虚侯刘章首先捕吕产等。太尉身率襄平侯通持节承诏 入北军。典客刘揭身夺赵王吕禄印。益封太尉勃万户，赐金五千斤。 丞相陈平、灌将军婴邑各三千户，金二千斤。硃虚侯刘章、襄平侯 通、东牟侯刘兴居邑各二千户，金千斤。 封典客揭为阳信侯， 赐金千斤。”	Hoàng đế nói: “Lã Sản tự lập làm tướng quốc, Lã Lộc làm thượng tướng quân, tự ý giả mệnh sai tướng quân Quán Anh cầm quân đánh Tề, muốn thay họ Lưu, Quán Anh ở lại Huỳnh Dương không đánh, cùng chư hầu hợp mưu để giết họ Lã. Lã Sản muốn làm loạn, thừa tướng Trần Bình cùng thái úy Chu Bột bàn mưu đoạt quân của bọn Lã Sản. Chu Hư hầu Lưu Chương bắt bọn Lã Sản đầu tiên. Thái úy đích thân dẫn Tương Bình hầu Kỷ Thông mang phù tiết vâng chiếu vào cánh quân phía bắc. Điển khách Lưu Yết đích thân đoạt lấy ấn của Triệu vương Lã Lộc. Vậy gia phong cho thái úy Bột một vạn hộ, ban vàng năm ngàn cân. Phong ấp cho thừa tướng Trần Bình, tướng quân Quán Anh mỗi người ba ngàn hộ, vàng hai ngàn cân. Chu Hư hầu Lưu Chương, Tương Bình hầu Kỷ Thông, Đông Mâu hầu Lưu Hưng Cư mỗi người hai ngàn hộ, vàng một ngàn cân. Phong cho điển khách Lưu Yết làm Dương Tín hầu, ban vàng một ngàn cân.”
十二月，上曰：“法者，治之正也，所以禁暴而率善人也。今犯 法已论，而使毋罪之父母妻子同产坐之，及为收帑，朕甚不取。其议 之。”	Tháng Mười hai, vua nói: “Luật pháp là căn cứ của việc trị nước, dùng để cấm bạo ngược mà dẫn dắt người thiện vậy. Nay kẻ phạm pháp đã luận tội, nhưng khiến cha mẹ, vợ con, anh em người ta không có tội phải chịu liên đới, bắt làm nô lệ. Trẫm rất không tán thành. Hãy bàn xem!”
有司皆曰：“民不能自治，故为法以禁之。相坐坐收，所以累 其心，使重犯法，所从来远矣。如故便。”	Các quan hữu ty đều nói: “Dân không thể tự trị, nên làm ra luật pháp để ngăn cấm. Liên đới bắt tù là nhằm bó buộc lòng dân, khiến sợ phạm pháp. Phép này theo đã lâu. Xin để yên như cũ thì tốt.”
上曰：“朕闻法正则民 悫，罪当则民从。且夫牧民而导之善者，吏也。其既不能导，又以不 正之法罪之，是反害於民为暴者也。何以禁之？朕未见其便，其孰计 之。”	Vua nói: “Trẫm nghe, phép đúng đắn thì dân thành thật, tội xác đáng thì dân tin theo. Vả lại người chăn dân, dẫn dắt dân làm điều thiện là quan vậy. Đã không thể dẫn dắt, còn dùng luật pháp bất chính xử tội người ta, trái lại là hại dân, là bạo ngược vậy. Ngăn cấm thế nào? Trẫm chưa thấy điều đó tốt đẹp ở đâu, hãy bàn cho kỹ!”
有司皆曰：“陛下加大惠，德甚盛，非臣等所及也。请奉诏 书，除收帑诸相坐律令。”	Các quan hữu ty đều nói: “Bệ hạ ban ơn lớn, đức rất thịnh, không phải điều chúng thần có thể nghĩ tới. Xin vâng chiếu thư, bỏ các điều luật liên đới, bắt sung nô lệ.”
正月，有司言曰：“蚤建太子，所以尊宗庙。请立太子。”	Tháng Giêng, các quan hữu ty nói rằng: “Sớm lập thái tử sẽ có lợi cho việc phụng thờ tông miếu. Xin hãy lập thái tử.”
上 曰：“朕既不德，上帝神明未歆享，天下人民未有嗛志。 今纵 不能博求天下贤圣有德之人而禅天下焉，而曰豫建太子，是重吾不德 也。谓天下何？其安之。”	Vua nói: “Trẫm vốn không có đức độ, nên thượng đế thần linh chưa hâm hưởng, thiên hạ nhân dân chưa vừa ý. Nay đã không thể rộng tìm người tài giỏi có đức trong thiên hạ để nhường thiên hạ cho, lại còn lập trước thái tử, ấy là làm nặng thêm sự bất đức của trẫm vậy. Trẫm phải nói với thiên hạ thế nào? Cứ để yên đó.”
有司曰：“豫建太子，所以重宗庙社稷，不 忘天下也。”	Các quan hữu ty nói: “Lập trước thái tử là tỏ lòng coi trọng tông miếu xã tắc, không quên thiên hạ vậy?”
上曰：“楚王，季父也，春秋高，阅天下之义理多矣， 明於国家之大体。吴王於朕， 兄也，惠仁以好德。淮南王，弟也，秉德以陪朕。 岂为不豫哉！诸侯王宗室昆弟有功臣，多贤及有德义者，若 举有德以陪朕之不能终，是社稷之灵，天下之福也。今不选举焉，而 曰必子，人其以朕为忘贤有德者而专於子，非所以忧天下也。朕甚不 取也。”	Vua nói: “Sở vương là chú ta, tuổi tác cao, nếm trải nhiều đạo lý trong thiên hạ, nắm rõ đại thể của nước nhà. Ngô vương với trẫm, là bậc huynh trưởng vậy, nhân từ lại đức độ. Hoài Nam vương là em trẫm vậy, giữ đức giúp rập trẫm. Đó chẳng phải lo liệu trước sao! Chư hầu, vương, tôn thất, con em, công thần có nhiều người giỏi và có đức, nếu tiến cử người có đức để giúp rập trẫm làm những việc chưa xong, ấy là điều may của xã tắc, là cái phúc của thiên hạ vậy. Nay không lựa chọn tiến cử, mà nói phải lập con trai, người ta lại cho rằng trẫm quên người hiền tài có đức mà chăm chú vào con mình, ấy không phải là lo cho thiên hạ vậy. Trẫm rất không tán thành.”
有司皆固请曰：“古者殷周有国，治安皆千馀岁，古之有天 下者莫长焉，用此道也。 立嗣必子，所从来 远矣。高帝亲率士大夫，始平天下，建诸侯，为帝者太祖。诸侯王及 列侯始受国者皆亦为其国祖。子孙继嗣，世世弗绝，天下之大义也， 故高帝设之以抚海内。今释宜建而更选於诸侯及宗室，非高帝之志 也。更议不宜。子某最长，纯厚慈仁，请建以 为太子。”	Các quan hữu ty đều nài xin rằng: “Thời xưa, Ân, Chu lập quốc, đều trị yên hơn ngàn năm, không có vương triều nào có được thiên hạ thời xưa kéo dài hơn thế, là do dùng cách này vậy. Lập người nối dõi phải là con trai, phép này theo đã lâu. Cao đế đích thân thống lĩnh sĩ đại phu, dẫn đầu bình thiên hạ, lập chư hầu, làm thái tổ của các hoàng đế. Vua chư hầu và liệt hầu sớm nhận nước phong cũng đều là tổ mỗi nước. Con cháu nối dõi, đời đời không dứt, ấy là nghĩa lớn của thiên hạ, nên Cao để đặt ra để vỗ về bốn biển. Nay bỏ lập người nên lập mà thay chọn chư hầu, tôn thất, ấy không phải ý của Cao đế vậy. Việc thay đổi này không nên. Trong số con trai của bệ hạ, ai lớn nhất, thuần hậu nhân từ, xin lập làm thái tử!”
上乃许之。	Vua bèn chấp thuận.
因赐天下民当代父後者爵各一级 封将军薄昭 为轵侯。	Nhân đó thưởng cho nhân dân trong thiên hạ, ai xứng nối nghiệp cha được ban tước một cấp. Phong cho tướng quân Bạc Chiêu làm Chỉ hầu.
三月，有司请立皇后。	Tháng Ba, các quan hữu ty xin lập hoàng hậu.
薄太后曰：“诸侯皆同姓，立太子母为皇 后。”	Bạc thái hậu nói: “Chư hầu đều cùng họ, hãy lập mẹ thái tử làm hoàng hậu.”
皇后姓窦氏。	Hoàng hậu họ Đậu.
上为立后故，赐天下鳏寡孤独穷困及年八十已上孤 兒九岁已下布帛米肉各有数。	Vua nhân dịp lập hoàng hậu, ban vải, bông, gạo, thịt cho những người cô độc cùng khổ trong thiên hạ, cùng người già từ tám mươi tuổi trở lên, trẻ con từ chín tuổi trở xuống, mỗi thứ một ít.
上从代来，初即位，施德惠天下，填抚 诸侯四夷皆洽驩，乃循从代来功臣。	Vua từ đất Đại đến, mới lên ngôi, ban hành ổn đức cho thiên hạ, vỗ về chư hầu và man di, khiến đều vui mừng hòa thuận, đoạn vỗ về các công thần theo từ đất Đại đến.
上曰：“方大臣之诛诸吕迎朕， 朕狐疑，皆止朕，唯中尉宋昌劝朕，朕以得保奉宗庙。已尊昌为卫将 军，其封昌为壮武侯。 诸从朕六人，官皆至九 卿。”	Vua nói: “Trước đây các đại thần giết họ Lã rồi rước trẫm, trẫm hồ nghi, mọi người đều ngăn trẫm, riêng Trung úy Tống Xương khuyên trẫm, trẫm vì vậy mà được phụng thờ tông miếu, Trẫm đã thăng Xương làm Vệ tướng quân, nay phong Xương làm Tráng Võ hầu. Sáu người theo trẫm tới, đều phong quan tới hàng Cửu khanh.”
上曰：“列侯从高帝入蜀、汉中者六十八人皆益封各三百户，故 吏二千石以上从高帝颍川守尊等十人食邑六百户，淮阳守申徒嘉等十 人五百户，卫尉定等十人四百户。封淮南王舅父赵兼为周阳侯， 齐王舅父驷钧为清郭 侯。”	Vua nói: “Sáu mươi tám liệt hầu theo Cao đế vào đất Thục, Hán Trung đều gia phong mỗi người ba trăm hộ; mười viên lại trước đây lĩnh lương hai ngàn thạch trở lên đi theo Cao đế như Lưu Tôn, làm quân thú Dĩnh Xuyên, được ban thực ấp sáu trăm hộ; đám Thân Đồ Gia, làm quận thủ Hoài Dương, mười người được ban năm trăm hộ; đám Vệ úy Lưu Định mười người được ban bốn trăm hộ. Phong cậu của Hoài Nam vương là Triệu Kiêm làm Chu Dương hầu, cậu của Tề vương là Tứ Quân làm Thanh Quách hầu.”
秋，封故常山丞相蔡兼 为樊侯。	Mùa thu, phong thừa tướng của nước Thường Sơn trước đây là gái Kiêm làm Phàn hầu.
人或说右丞相曰：“君本诛诸吕，迎代王，今又矜其功，受上 赏，处尊位，祸且及身。”	Có người khuyên Hữu thừa tướng rằng: “Ông vốn là người giết họ Lã, rước Đại vương, nay lại cây có công, nhận phong thưởng, ở ngôi cao, ắt sẽ mang vạ vào mình.”
右丞相勃乃谢病免罢，左丞相平专为丞 相。	Hữu thừa tướng Bột bèn cáo bệnh xin bãi miễn, Tả thừa tướng Bình một mình đảm đương chức thừa tướng.
二年十月，丞相平卒，复以绛侯勃为丞相。	Tháng Mười, năm thứ hai, thừa tướng Bình chết, lại mệnh cho Giáng hầu Bột làm thừa tưởng.
上曰：“朕闻古者诸 侯建国千馀，各守其地，以时入贡，民不劳苦，上下驩欣，靡有遗 德。今列侯多居长安，邑远，吏卒给输费苦，而列侯亦无由教驯其 民。其令列侯之国，为吏及诏所止者，遣太 子。”	Vua nói: “Trẫm nghe, thời xưa chư hầu dựng nước hơn ngàn, ai giữ đất nấy, đúng thời vào cống, dân không khó nhọc, trên dưới vui mừng, không ai trái đức. 1, Nay liệt hầu phần đông ở Trường An, ấp phong ở xa, binh lính vận chuyển vừa tốn vừa khổ, mà liệt hầu cũng không có cách nào dạy dỗ dân minh. Nay lệnh cho liệt hầu tới nước phong. Còn ai giữ chức, vâng chiếu ở lại thì sai thái tử của họ đi.”
十一月晦，日有食之。 十二月望，日又食。	Ngày ba mươi, tháng Mười một, có nhật thực, Ngày rằm, tháng Mười hai, lại nhật thực.
上 曰：“朕闻之，天生蒸民，为之置君以养治之。人主不德，布政不 均，则天示之以菑，以诫不治。乃十一月晦，日有食之，適见于天， 菑孰大焉！朕获保宗庙，以微眇之身讬于兆民君王之上，天下治乱， 在朕一人，唯二三执政犹吾股肱也。朕下不能理育群生，上以累三光 之明，其不德大矣。令至，其悉思朕之过失，及知见思之所不及，匄 以告朕。及举贤良方正能直言极谏者，以匡朕之不逮。因各饬其任 职，务省繇费以便民。朕既不能远德，故忄间然念外人之有非， 是以设备未息。今纵不 能罢边屯戍，而又饬兵厚卫，其罢卫将军军。太仆见马遗财足， 馀 皆以给传置。”	Vua nói: “Trẫm nghe nói, trời sinh muôn dân, vì dân đặt vua để nuôi nấng trị vì. Quân chủ thất đức, chấp chính bất công thì trời hiện thiên tai, răn sự bất trị. Vào ngày ba mươi tháng Mười một, có nhật thực, trời đã chê trách, tai dị nào bằng! Trẫm bảo vệ tông miếu, đem tấm thân nhỏ mọn đặt trên muôn dân, chư hầu, thiên hạ yên hay loạn đều do một mình trẫm, dăm ba đại thần chấp chính như chân tay trẫm vậy. Trẫm dưới không thể chăn nuôi muôn vật, trên làm tổn tới ánh tam quang, sự thất đức thật lớn. Nay chiếu chỉ tới, tất cả hãy nghĩ về lỗi lầm của trẫm cùng những bất cập trong sự hiểu biết của trẫm, nói cho trẫm hay. Rồi cất cử người hiền lương, chính trực, có thể nói thẳng, cực lực can gián, để chỉnh sửa những điều chưa được của trẫm. Nhân đây ai nấy thận trọng với chức trách của mình, gắng tiết kiệm chi phí lao dịch để lợi cho dân. Trẫm đã không thể ban ơn đức đến chốn xa, nên sốt sắng lo người ngoài có điều sai quấy, bởi vậy sắp đặt phòng ngừa chưa lúc nào ngừng. Nay đã không thể bỏ việc đồn thú biên phòng, lại còn tăng quân bảo vệ dày đặc, vậy thì bãi quân của Vệ tướng quân. Số ngựa Thái bộc hiện có chỉ để lại vừa đủ, còn lại đem giao cả cho dịch trạm.”
正月，上曰：“农，天下之本，其开籍田， 朕亲率耕，以给宗庙粢盛。”	Tháng Giêng, vua nói: “Nghề nông là gốc của thiên hạ, hãy mở ruộng tịch điền, trẫm đích thân đi cày, để cung cấp thóc gạo cúng trong tông miếu.”
三月，有司请立皇子为诸侯王。	Tháng Ba, quan hữu ty xin lập hoàng tử làm vua chư hầu.
上曰：“赵幽王幽死，朕甚怜 之，已立其长子遂为赵王。遂弟辟彊及齐悼惠王子硃虚侯章、东牟侯 兴居有功，可王。”	Vua nói: “Triệu U vương bị giam chết, trẫm rất thương, đã lập con trưởng ông ta là Toại làm Triệu vương. Em của Toại là Tịch Cường cùng con của Tề Điệu Huệ vương là Chu Hư hầu Chương, Đông Mâu hầu Hưng Cư Có công, có thể lập làm vương.”
乃立赵幽王少子辟彊为河间王，以齐剧郡立硃虚 侯为城阳王，立东牟侯为济北王，皇子武为代王，子参为太原王，子 揖为梁王。	Đoạn bèn lập con thứ của Triệu U vương là Tịch Cường làm Hà Gian vương, đem quận lớn của nước Tề phong cho Chu Hư hầu làm làm Tế Bắc vương, lập Đông Mâu hầu Thành Dương Vương, hoàng tử Võ làm Đại vương, hoàng tử Tham làm Thái Nguyên vương, hoàng tử Ấp làm Lương vương.
上曰：“古之治天下，朝有进善之旌， 诽 谤之木， 所以通治道而来谏者。今法有 诽谤妖言之罪，是使众臣不敢尽情，而上无由闻过失也。将何以来远 方之贤良？其除之。民或祝诅上以相约结而後相谩， 吏以为大逆，其有他言，而吏又以为诽谤。此细民之愚 无知抵死，朕甚不取。自今以来，有犯此者勿听治。”	Vua nói: “Thời xưa trị thiên hạ, triều đình dựng cờ góp ý, đặt thẻ chỉ trích, để mở đường cai trị, với người khuyên can. Nay luật đặt ra tội chỉ trích, nói xấu, ắt khiến bề tôi không dám hết lòng, mà bề trên không cách nào biết lỗi. Như vậy sao có thể vời được người hiền ở phương xa? Phải xóa bỏ! Có người dân nguyền rủa vua, cùng nhau cấu kết, sau lại các giác lẫn nhau, quan lại cho là đại nghịch, hoặc có lời khác thì quan lại cho là chỉ trích. Loại dân mọn này ngu muội vô tri mà phải mắc tội chết, trẫm rất không tán thành. Từ rày về sau, có người phạm điều này thì chớ trị tội.”
九月，初与郡国守相为铜虎符、竹使符。	Tháng Chín, bắt đầu ban cho quận thú và thừa tướng các nước hổ phù bằng đồng, sứ phủ bằng tre.
三年十月丁酉晦，日有食之。	Ngày Đinh Dậu cuối tháng Mười, năm thứ ba, có nhật thực.
十一月，上曰：“前日遣列侯之 国，或辞未行。丞相朕之所重，其为朕率列侯之国。”	Tháng Mười một, vua nói: “Buổi trước xuống chiếu phái liệt hầu đến nước phong, có người thoái thác chưa đi. Thừa tướng là người trẫm coi trọng, hãy vì trẫm dẫn đầu liệt hầu tới nước phong!”
绛侯勃免丞相 就国，以太尉颍阴侯婴为丞相。	Giáng hầu Chu Bột miễn chức thừa tướng, tới nước phong, cho Thái úy Dĩnh Âm hầu Quán Anh làm thừa tướng.
罢太尉官，属丞相。	Bỏ chức quan Thái úy, nhập vào chức tướng.
四月，城阳王章 薨。	Tháng Tư, Thành Dương Vương Chương mất.
淮南王长与从者魏敬杀辟阳侯审食其。	Hoài Nam vương Trường cùng tùy tùng Ngụy Kính giết Tích Dương hầu Thẩm Tự Cơ.
五月，匈奴入北地，居河南为寇。	thừa Tháng Năm, Hung Nô xâm nhập Bắc Địa, đóng ở Hà Nam làm giặc.
六月，帝曰：“汉与匈奴约为昆弟，毋使 害边境，所以输遗匈奴甚厚。今右贤王离其国，将众居河南降地，非 常故，往来近塞，捕杀吏卒，驱保塞蛮夷，令不得居其故，陵轹边 吏，入盗，甚敖无道，非约也。其发边吏骑八万五千诣高奴，遣丞相 颍阴侯灌婴击匈奴。”	Tháng Sáu, vua nói: “Hán và Hung Nô giao ước làm anh em, để không hại đến biên giới, cho nên tặng lễ vật cho Hung Nô rất hậu hĩnh. Nay Hữu hiền vương rời nước của mình, đem quân đóng ở đất hàng Hà Nam, không phải lý do chính đáng, qua lại vùng biên, bắt giết quan quân, đuổi man di giữ ải, khiến họ không được ở chốn cũ, bắt nạt quân lính, vào cướp bóc, ngạo mạn vô lễ, trái với giao ước. Nay cất tám vạn năm ngàn kỵ binh biên phòng tới Cao Nô, sai thừa tướng Dĩnh Âm hầu Quán Anh đánh Hung Nô!”
