吴太伯， 太伯弟仲雍， 皆周太王之子， 而王季历之兄也。	Ngô Thái bá và em trai là Trọng Ung, đều là con của Chu Thái vương và là anh của vua Quý Lịch.
柯卢卒，子周繇立。 周繇卒，子屈羽立。	Kha Lư chết, con là Chu Dao lên thay. Chu Dao chết, con là Khuất Vũ lên thay.
屈羽卒，子夷吾立。 夷吾 卒，子禽处立。	Khuất Vũ chết, con là Di Ngô lên thay. Di Ngô chết, con là Cầm Xử lên thay.
禽处卒，子转立。	Cầm Xử chết, con là Chuyển lên thay.
转卒， 子颇高立。 颇高卒，子句卑立。	Chuyển chết, con là Phả Cao lên thay. Phả Cao chết, con là Câu Ty lên thay.
句卑卒，子去 齐立。 去齐卒，子寿梦立。	Câu Ty chết, con là Khứ Tề lên thay. Khứ Tề chết, con là Thọ Mông lên thay.
寿梦立而吴始益大，称 王。	Thọ Mông lên ngôi thì nước Ngô bắt đầu lớn mạnh dần, xưng vương.
自太伯作吴，五世而武王克殷，封其後为二：其一虞，在中国； 其一吴，在夷蛮。	Từ thuở Thái bá dựng nước Ngô, trải năm đời thì đến khi [Chu] Vũ vương lật đổ nhà Ân, hậu duệ được phong hai nơi: một là nước Ngu, nằm ở Trung nguyên, một là nước Ngô, nằm ở vùng man di.
中国之虞灭二世，而夷蛮 之吴兴。	Nước Ngu ở Trung nguyên bị diệt được hai đời thì nước Ngô ở vùng man di hứng khởi.
吴伐楚。	Ngô đánh Sở.
二十五年，王寿梦卒。	Năm thứ hai mươi lăm, vua Thọ Mông chết.
季札贤，而寿梦欲立之，季札让不可，於是乃 立长子诸樊，摄行事当国。	Quý Trát là người hiền năng, nhưng khi Thọ Mông định lập [Quý Trát] làm vua, Quý Trát lại thoái thác, thế là bèn lập con trưởng là Chư Phàn, để nắm quyền hành xử lý mọi việc trong nước.
吴人固立季札，季札弃其 室而耕，乃舍之。	Người Ngô cố lập Quý Trát, Quý Trát bỏ nhà đi cày ruộng, người ta mới chịu thôi.
十三年，王诸樊卒。	Năm thứ mười ba, vua Chư Phàn chết.
有命授弟馀祭，欲传 以次，必致国於季札而止，以称先王寿梦之意，且嘉季札之义，兄弟 皆欲致国，令以渐至焉。	Có di mệnh truyền ngôi cho em là Dư Sái, muốn truyền lần lượt, nhất định truyền quốc đến Quý Trát mới thôi, để thuận theo ý nguyện của tiên vương Thọ Mông, hơn nữa để biểu dương khí tiết của Quý Trát, các anh em đều muốn truyền quốc cho, nên mới theo cách này để dần dần truyền đến [Quý Trát].
四年，吴使季札聘於鲁，请观周乐。 为歌周南、召南。	Năm thứ tư, nước Ngô sai Quý Trát sang thông hiếu với nước Lỗ, được mời thưởng thức âm nhạc nhà Chu.
歌颂。 曰：“至矣哉，直而不 倨，曲而不诎， 近而不偪，远而不携， 而迁不淫， 复而不厌， 哀而不愁，乐而不荒， 用而不匮，广而不宣， 施而不费， 取而不贪，处而不厎， 行而不流。五声和，八 风平， 节有度，守有序， 盛德之所同也。”	Hát “Tụng”, [nghe xong, Quý Trát] nói: “Cực điểm vậy thay, thẳng thắn mà không ngạo mạn, uyển chuyển mà không khuất phục, thân cận mà không bức bách, xa xôi mà không lỏng lẻo, biến đổi mà không dâm loạn, trăn trở mà không mệt mỏi, đau thương mà không ưu sầu, vui vẻ mà không hoang đàng, dùng mà không thiếu, rộng mà không lộ, ra ơn mà không phí phạm, lấy mà không tham nhiều, ngừng nghỉ mà không trì trệ, vận hành mà không trôi tuột. Lời của năm thanh hài hòa, khí của tám phương bình ổn, tiết tấu có chừng mực, phách nhịp có quy tắc, giống như nơi chứa đức tốt vậy.”
遂去之。	Đoạn bỏ đi.
文子闻之，终身不听琴 瑟。	Văn tử nghe được lời ấy, sau này cả đời không nghe tiếng đàn cầm đàn sắt nữa.
十七年，王馀祭卒， 弟馀眛立。	Năm thứ mười bảy, vua Dư Sái chết, em là Dư Muội lên thay.
四年，王馀眛卒，欲授弟季札。	Năm thứ tư, vua Dư Muội chết, muốn truyền ngôi cho em là Quý Trát.
於是吴人 曰：“先王有命，兄卒弟代立，必致季子。季子今逃位，则王馀眛後 立。今卒，其子当代。”	Vì thế, người Ngô nói: “Tiên vương đã có di mệnh, anh mất thời em lên thay, ắt truyền đến Quý tử. Nay Quý tử trốn ngôi, thì vua Dư Muội là người cuối cùng trong các anh em được lập. Nay [vua Dư Muội] mất đi, lập con ngài lên thay.”
乃立王馀眛之子僚为王。	Bèn lập con của vua Dư Muội là Liêu lên làm vương.
公子光 者，王诸樊之子也。	Công tử Quang là con vua Chư Phàn.
常以为吾父 兄弟四人，当传至季子。	[Quang] luôn cho rằng cha mình có ba người anh em, [ngôi báu] đáng lẽ được truyền đến Quý tử.
季子即不受国，光父先立。 即不传季子，光 当立。	Quý tử đã không nhận ngôi báu, thì cha của Quang là người đầu tiên được lập. Đã không truyền ngôi đến Quý tử thì đáng lý Quang phải được lập.
阴纳贤士，欲以袭王僚。	[Quang] liền ngầm chiêu nạp hiền sĩ, muốn tập kích Ngô vương Liêu.
伍子胥之初奔吴，说吴王僚以伐楚之利。	Hồi Ngũ Tử Tư mới chạy sang nước Ngô, thuyết phục Ngô vương Liêu về mối lợi khi thảo phạt nước Sở.
十二年冬，楚平王卒。	Mùa đông năm thứ mười hai, Sở Bình vương chết.
楚发兵绝吴兵後，吴兵不得还。	Nước Sở cất quân chặn phía sau quân Ngô, quân Ngô không trở về được.
於是吴公子光 曰：“此时不可失也。”	Thế là, công tử Quang nước Ngô nói: “Thời cơ [hành thích Ngô vương] này không thể bỏ lỡ.”
光曰：“我身，子之身也。”	Quang đáp: “Mạng sống của ta cũng chính là mạng sống của ông vậy.”
公子光竟代立为王，是为吴王阖庐。	Rốt cuộc công tử Quang thay thế rồi lên ngôi vương, đó là Ngô vương Hạp Lư.
阖庐乃以专 诸子为卿。	Hạp Lư liền cho con của Chuyên Chư làm chức khanh.
於是吴王遂纵兵追之。	Thế là Ngô vương bèn tung quân truy kích.
十年春，越闻吴王之在郢，国空，乃伐吴。	Mùa xuân năm thứ mười, nước Việt nghe tin Ngô vương đang ở Dĩnh đô, trong nước trống không, liền chinh phạt nước Ngô.
吴王病伤而死。	Ngô vương bị thương rồi ốm chết.
季康子使子贡以周礼说太宰嚭，乃得止。	Quý Khang tử sai Tử Cống dùng lễ chế nhà Chu thuyết phục Thái tể Phỉ, [Thái tể Phỉ] mới thôi [không đòi hỏi].
越王句践率其众以朝吴，厚献遗之，吴王喜。	Việt vương Câu Tiễn dẫn các bề tôi của mình sang triều kiến nước Ngô, dâng lễ vật trọng hậu, Ngô vương vui lòng.
吴王不听，使子胥於齐，子胥属其子於齐鲍氏， 还报吴王。	Ngô vương không nghe, sai Tử Tư đi sứ nước Tề, Tử Tư gửi gắm con mình cho Bào thị nước Tề, trở về phục mệnh với Ngô vương.
吴王闻 之，大怒，赐子胥属镂 之剑以死。	Ngô vương biết chuyện, cả giận, ban kiếm Chúc lũ để cho Tử Tư tự vẫn.
齐人败吴，吴王乃引兵归。	Người Tề đánh bại quân Ngô, Ngô vương bèn dẫn quân về.
六月子，越王句践伐吴。	Ngày Bính Tý tháng Sáu, Việt vương Câu Tiễn chinh phạt nước Ngô.
丙戌，虏吴太子友。	Ngày Bính Tuất, bắt sống Thái tử Hữu nước Ngô.
丁亥，入吴。	Ngày Đinh Hợi, vào đất Ngô.
乃引兵归国。	Liền dẫn quân về nước.
二十年，越王句践复伐吴。	Năm thứ hai mươi, Việt vương Câu Tiễn lại chinh phạt nước Ngô.
二十一年，遂围吴。	Năm thứ hai mươi mốt, bèn bao vây nước Ngô.
越王句践欲迁吴王夫差於甬东， 予百家居之。	Việt vương Câu Tiễn định đày Ngô vương Phù Sai ra Dũng Đông, cấp cho trăm hộ để ở lại đó.
越王灭吴，诛太宰嚭，以为不 忠，而归。	Việt vương tiêu diệt nước Ngô, giết Thái tể Phỉ vì cho là bất trung, rồi trở về.
余读春秋古 文，乃知中国之虞与荆蛮句吴兄弟也。	Ta đọc cổ văn Xuân Thu, mới hay nước Ngu ở Trung nguyên và Câu Ngô ở Kinh Man là anh em vậy.
是时晋献公灭周北虞公，以开晋伐虢也。	Khi ấy, Tấn Hiến công diệt Ngu công ở phía bắc nước Chu để mở đường cho nước Tấn đánh nước Quốc.
十二世而晋灭中国之虞。	[Được] mười hai đời thì nước Tấn diệt nước Ngu ở Trung nguyên.
大凡 从太伯至寿梦十九世。	Tính ra từ Thái bá đến Thọ Mông gồm mười chín đời.
王寿梦二年， 楚之亡大夫申公巫臣怨楚将子反而饹晋，自晋使吴，教吴用兵 乘车，令其子为吴行人， 吴於是始通於中国。	Vua Thọ Mông năm thứ hai, vì oán tướng nước Sở là Tử Phản nên viên đại phu đào tẩu của Sở là Thân công Vu Thần chạy trốn sang nước Tấn, từ Tấn đi sứ sang Ngô, dạy người Ngô phép dùng binh và chiến xa, sai con ở lại Ngô làm chức Hành nhân, từ đó Ngô mới bắt đầu qua lại với Trung nguyên.
十六年，楚共王伐吴，至衡山。	Năm thứ mười sáu, Sở Cung vương đánh nước Ngô, đến tận Hành Sơn.
寿梦有子四人，长曰诸 樊， 次曰馀祭，次曰馀眛， 次曰季札。	Thọ Mông có bốn người con trai, con trưởng là Chư Phàn, kế là Dư Tế, tiếp là Dư Muội, út là Quý Trát.
王诸樊元年，诸樊已除丧，让位季 札。	Vua Chư Phàn năm thứ nhất, Chư Phàn đã đoạn tang, liền nhường ngôi cho Quý Trát.
季札谢曰：“曹宣公之卒也，诸侯与曹人不义曹君， 将立子臧，子臧 去之，以成曹君， 君子曰 ‘能守节矣’。君义嗣， 谁敢干君！有国， 非吾节也。札虽不材，原附於子臧之义。”	Quý Trát từ tạ rằng: “Tào Tuyên công chết đi, chư hầu và người nước Tào đều cho rằng Tào quân bất nghĩa, định lập Tử Tang, Tử Tang rơi nước Tào, để thành toàn cho Tào quân, người Quân tử cho là: 'Biết thủ tiết đấy'. Đại huynh nối ngôi theo lễ, ai dám mạo phạm! Việc nhận ngôi vua, không phải khí tiết của Trát. Trát tuy bất tài, cũng nguyện noi theo tiết tháo của Tử Tang.”
秋，吴伐楚，楚败我师。	Mùa thu, Ngô đánh Sở, bị Sở đánh bại.
四年，晋平公初立。	Năm thứ tư, Tấn Bình công mới lên ngôi.
王馀祭三年，齐相庆封有罪，自齐来饹吴。	Vua Dư Sái năm thứ ba, Tướng quốc nước Tề là Khánh Phong mắc tội, từ Tề chạy sang Ngô.
吴予庆封硃方之县， 以为奉邑，以女妻之，富於在 齐。	Nước Ngô đem huyện Chu Phương ban cho Khánh Phong làm ấp hưởng lộc, gả con gái cho, [khiến Khánh Phong] giàu có hơn khi ở nước Tề.
曰：“美哉，始基之矣，犹未 也。 然勤而不怨。”	Sau khi nghe hát “Chu nam”, “Thiệu nam”, [Quý Trát] nói: “Đẹp đẽ thay, bắt đầu gây dựng nền móng, còn chưa hoàn thiện, nhưng dân vất vả mà không oán thán.”
歌 秦。 曰：“此之谓夏声。夫能夏则大，大之至也，其周之旧乎？”	Hát “Tần phong”, [nghe xong, Quý Trát] nói: “Đây gọi là Hạ thanh. Ôi, đã là Hạ thì to lớn, to lớn đến cực độ vậy, đó là âm nhạc cũ của nhà Chu chăng?”
去鲁，遂使齐。	[Quý Trát] rời nước Lỗ, bèn đi sứ sang nước Tề.
故晏子因陈桓子以纳政与邑，是 以免於栾高之难。	Vì thế, Yến tử nhờ Trần Hoàn tử để giao lại ấp phong và quyền tước, nhờ thế thoát được nạn Loan Cao.
将去，谓叔向曰：“吾子勉之！君侈 而多良，大夫皆富，政将在三家。 吾子直，必思自免於 难。”	Sắp sửa đi thì nói với Thúc Hướng rằng: “Ngài hãy cố gắng! Nhà vua xa xỉ mà lại nhiều bề tôi giỏi, các đại phu đều giàu có [ắt ban bố ân huệ sâu dày], cho nên chính sự sắp về tay ba nhà. Ngài là người ngay thẳng, ắt phải tự nghĩ cách mà tránh nạn.”
季札之初使，北过徐君。	Lúc Quý Trát mới đi sứ, lên phía bắc qua chỗ Từ quân.
季札心知 之，为使上国，未献。	Quý Trát trong lòng hiểu ý, song vì còn đi sứ nước lớn nên chưa đem tặng.
还至徐，徐君已死，於是乃解其宝剑，系之徐 君冢树而去。	Khi trở về đến nước Từ, Từ quân đã chết, thế là bèn cởi kiếm báu buộc lên cây ở mộ Từ quân rồi mới đi.
七年，楚公子围弑其王夹敖而代立，是为灵王。	Năm thứ bảy, công tử nước Sở là Vi giết vua nước mình là Giáp Ngao để tự lập làm vua, đó là Linh vương.
十年，楚灵王会诸侯而以伐吴之硃方，以诛齐 庆封。	Năm thứ mười, Sở Linh vương hội chư hầu để vây đánh đất Chu Phương của nước Ngô, nhằm giết Khánh Phong nước Tề.
吴亦攻楚，取三邑而去。	Nước Ngô cũng vây đánh nước Sở, đoạt ba ấp rồi rút về.
十一年，楚伐 吴，至雩娄。	Năm thứ mười một, nước Sở tiến đánh nước Ngô, đến tận Vu Lâu.
十二年， 楚复来伐，次於乾谿，楚师败走。	Năm thứ mười hai, nước Sở lại đến đánh, đóng quân ở Càn Khê, quân Sở thua chạy.
王馀眛二年，楚公子弃疾 弑其君灵王代立焉。	Vua Dư Muội năm thứ hai, công tử nước Sở là Khí Tật giết vua nước mình là Linh vương để lên thay.
王僚二年， 公子光伐楚，败而亡王 舟。	Vương Liêu năm thứ hai, công tử Quang thảo phạt nước Sở, bị thua, còn làm mất chiến thuyền của tiên vương.
五年，楚之亡臣伍子胥来饹，公子光客之。	Năm thứ năm, bề tôi bỏ trốn của nước Sở là Ngũ Tử Tư chạy đến [nước Ngô], công tử Quang đối đãi như khách.
八年，吴使公子光伐楚，败楚师，迎楚故太子建母於居巢以归。	Năm thứ tám, nước Ngô sai công tử Quang thảo phạt nước Sở, đánh bại quân Sở, đón mẹ của Thái tử Kiến trước đây từ Cư Sào trở về.
因北伐，败陈、蔡之师。	Thừa cơ bắc phạt, đánh bại quân đội nước Trần và nước Sái.
九年，公子光伐楚，拔居巢、锺离。	Năm thứ chín, công tử Quang thảo phạt nước Sở, hạ được Cư Sào, Chung Ly.
初，楚边邑卑梁氏之处 女与吴边邑之女争桑，二女家怒相灭，两国边邑长闻 之，怒而相攻，灭吴之边邑。	Hồi trước, có xử nữ tộc Ty Lương thị ở biên ấp nước Sở tranh lá dâu với người con gái ở biên ấp nước Ngô, dẫn đến hai nhà nổi giận rồi đánh giết nhau, quan trưởng biên ấp hai nước hay tin cũng tức giận đánh nhau, biên ấp nước Ngô bị diệt.
吴王怒，故遂伐楚，取两都而去。	Ngô vương nổi giận, nên mới phạt Sở, chiếm hai thành ấp rồi về.
公子光曰：“胥之父兄 为僇於楚，欲自报其仇耳。未见其利。”	Công tử Quang bảo: “Cha và anh của Tư bị Sở giết, nên muốn báo thù cho họ mà thôi, chưa thấy lợi gì cả.”
子胥退而耕於野，以待专诸之事。	Tử Tư lui về cày ruộng ở nơi thôn dã, để đợi việc Chuyên Chư [hành thích Ngô vương Liêu thành công].
十三年春，吴欲因楚丧而伐之， 使公子盖馀、烛 庸 以兵围楚之六、灊。	Mùa xuân năm thứ mười ba, nước Ngô muốn nhân lúc nước Sở có tang sang đánh, liền sai công tử Cái Dư, Chúc Dung đem quân bao vây ấp Lục, ấp Tiềm nước Sở.
使季札於晋，以观诸侯之变。	Phái Quý Trát sang Tấn, để quan sát động tĩnh của chư hầu.
专诸曰：“王僚可杀也。母老子弱， 而两 公子将兵攻楚，楚绝其路。方今吴外困於楚，而内空无骨鲠之臣，是 无柰我何。”	Chuyên Chư đáp: “Ngô vương Liêu thì có thể giết được. Mẹ già con thơ, còn hai công tử thì đem quân vây đánh Sở, bị Sở cắt đứt đường về. Nay, nước Ngô bên ngoài bị Sở vây khốn, bên trong không có bề tôi cương trực, thì sao làm gì được ta chứ.”
王僚使兵陈於道， 自王宫至光之家，门阶户席，皆王僚之亲也，人夹持铍。	Ngô vương Liêu sai binh sĩ đứng dàn trên đường, từ vương cung đến tận nhà Quang, các chỗ như cổng, thềm, cửa, chỗ ngồi đều có thân tín của Ngô vương Liêu, ai nấy đều cầm kiếm sắc.
吴公子烛庸、盖馀二 人将兵遇围於楚者，闻公子光弑王僚自立，乃以其兵降楚，楚封之於 舒。	Công tử nước Ngô là Chúc Dung, Cái Dư, hai người cầm quân bị người Sở bao vây, nghe tin công tử Quang giết Ngô vương Liêu để tự lập, liền đem quân hàng Sở, nước Sở phong cho ở đất Thư.
王阖庐元年，举伍子胥为行人而与谋国事。	Ngô vương Hạp Lư năm thứ nhất, cất nhắc Ngũ Tử Tư làm Hành nhân để cùng mưu tính việc nước.
楚诛伯州犁，其孙伯 嚭亡奔吴， 吴以为大夫。	Nước Sở giết Bá Châu Lê, cháu nội [Bá Châu Lê] là Bá Phỉ chạy trốn sang nước Ngô, Ngô vương phong làm đại phu.
三年，吴王阖庐与子胥、伯嚭将兵伐楚，拔舒，杀吴亡将二公 子。	Năm thứ ba, Ngô vương Hạp Lư cùng Tử Tư, Bá Phỉ đem quân chinh phạt nước Sở, hạ được đất Thư, giết hại tướng vốn là hai công tử nước Ngô trốn sang.
四年，伐楚，取六与灊。	Năm thứ tư, chinh phạt nước Sở, chiếm được ấp Lục và ấp Tiềm.
五年，伐越，败 之。	Năm thứ năm, chinh phạt nước Việt, nước Việt thua trận.
六年，楚使子常囊瓦伐吴。	Năm thứ sáu, nước Sở sai Tử Thường, Nang Ngõa chinh phạt nước Ngô.
迎而击之，大败楚军於豫章，取楚之居巢而还。	Đón đánh quân Sở, đại phá quân Sở ở Dự Chương, chiếm được Cư Sào của nước Sở rồi rút về.
二子对曰：“楚将子常贪，而 唐、蔡皆怨之。王必欲大伐，必得唐、蔡乃可。”	Hai người đáp rằng: “Tướng nước Sở là Tử Thường tham lam, mà nước Đường, nước Sái đều oán ông ta. Nếu nhà vua nhất định muốn đánh lớn, tất phải được nước Đường, nước Sái ủng hộ mới được.”
阖庐从之，悉兴 师，与唐、蔡西伐楚，至於汉水。	Hạp Lư nghe theo, đem hết quân binh, cùng nước đường, nước Sái tiến sang phía Tây chinh phạt nước Sở, kéo đến Hán Thủy.
遂以其部五千人袭冒楚，楚兵 大败，走。	Bèn đem năm nghìn quân của mình đánh úp quân Sở, quân Sở đại bại, rút chạy.
比至郢， 五战，楚五败。	Đến khi tới đất Dĩnh, thì năm lần đánh, Sở bại cả năm lần.
楚昭王亡出郢，奔郧。	Sở Chiêu vương trốn khỏi Dĩnh đô, chạy đến đất Vân.
郧公弟欲弑昭王，昭王 与郧公饹随。	Em của Vân công muốn giết Chiêu vương, Chiêu vương cùng Vân công chạy sang đất Tùy.
而吴兵遂入郢。	Thế rồi quân Ngô liền kéo vào Dĩnh đô.
吴使别兵击越。	Ngô vương sai cánh quân khác đánh nước Việt.
十一年，吴王使太子夫差伐 楚，取番。	Năm thứ mười một, Ngô vương sai Thái tử Phù Sai chinh phạt nước Sở, chiếm được đất Phan.
楚恐而去郢徙鄀。	Nước Sở lo sợ, bèn bỏ đất Dĩnh dời đô sang ấp Nhược.
十五年，孔子相鲁。	Năm thứ mười lăm, Khổng tử làm Tướng quốc nước Lỗ.
十九年夏，吴伐越，越王句践迎击之槜李。	Mùa hạ năm thứ mười chín, nước Ngô đánh nước Việt, Việt vương Câu Tiễn đón đánh ở đất Tuy Lý.
三年，乃报越。	Năm thứ ba, mới báo thù được nước Việt.
王夫差元年， 以大夫伯嚭为太宰。	Ngô vương Phù Sai năm thứ nhất, lấy đại phu Bá Phỉ làm Thái tể.
二年，吴王悉精兵以伐越，败之夫椒， 报姑苏也。	Năm thứ hai, Ngô vương đem hết quân tinh nhuệ để thảo phạt nước Việt, đánh bại nước Việt ở đất Phù Tiêu, báo được mối thù ở đất Cô Tô.
越王句践乃以甲兵五千人栖於会稽， 使大夫种 因吴太宰嚭而 行成， 请委国为臣妾。	Việt vương Câu Tiễn liền đem năm nghìn giáp binh lưu lại ở Cối Kê, sai đại phu Chủng thông qua Thái tể Bá Phỉ của nước Ngô để cầu hòa, xin giao nước, nguyện làm tôi đòi cho nước Ngô.
吴王将许之，伍 子胥谏曰：“昔有过氏 杀斟灌以伐斟寻， 灭夏后帝相。 帝相之妃后缗方娠， 逃於有仍 而生少康。少康为有仍 牧正。有过又欲杀少康，少康奔 有虞。有虞思 夏德，於是妻之以二女而邑之於纶，有田 一成，有众一旅。後遂收夏 众，抚其官职。 使人诱之， 遂灭有过氏，复禹之绩，祀夏配天， 不失旧物。 今吴不如有过之彊，而句践大於少康。今不因此而 灭之，又将■之，不亦难乎！且句践为人能辛苦，今不灭，後必悔 之。”	Ngô vương định nhận lời, Ngũ Tử Tư can rằng: “Xưa Hữu Qua thị giết Châm Quán rồi thảo phạt Châm Tầm, tiêu diệt con cháu nhà Hạ là Đế Tướng. Phi tử của Đế Tướng là Hậu Mân đang có thai, chạy trốn đến Hữu Nhưng rồi sinh ra Thiếu Khang. Thiếu Khang làm chức Mục chính cho Hữu Nhưng. Hữu Qua lại muốn giết Thiếu Khang, Thiếu Khang chạy sang Hữu Ngu. Hữu Ngu nhớ đức của nhà Hạ, do đó đem hai con gái gả cho [Thiếu Khang] rồi phong cho ấp Luân; đất đai vuông một thành, dân có một lữ. Sau bèn thu phục dân chúng, vỗ về các quan chức nhà Hạ. Sai người dụ dỗ Hữu Qua, rồi tiêu diệt Hữu Qua thị, khôi phục cơ đồ của Hạ Vũ, tế tự nhà Hạ phối hưởng với trời, không làm mất đi những việc cũ [của triều Hạ]. Nay nước Ngô không mạnh bằng Hữu Qua, còn Câu Tiễn lại lớn hơn Thiếu Khang. Nay không thừa thế bây giờ mà diệt đi, lại muốn khoan dung, chẳng cũng nguy lắm sao! Hơn nữa, Câu Tiễn là người có thể chịu được cay đắng [để chờ thời], nay không tiêu diệt, sau tất phải hối hận.”
吴王不听，听太宰嚭，卒许越平，与盟而罢兵去。	Ngô vương không nghe, mà theo lời Thái tể Phỉ, rốt cuộc cho nước Việt được hòa, cùng lập minh ước rồi rút quân về.
七年，吴王夫差闻齐景公死而大臣争宠，新君弱，乃兴师北伐 齐。	Năm thứ bảy, Ngô vương Phù Sai nghe tin Tề Cảnh công chết mà các đại thần lại tranh sủng, vua mới còn yếu đuối, liền cất quân lên phía bắc chinh phạt nước Tề.
吴王不听，遂北伐齐，败齐师於艾陵。	Ngô vương không nghe, bèn tiến lên phía bắc chinh phạt nước Tề, đánh bại quân Tề ở Ngải Lăng.
九年，为驺伐鲁， ，至与 鲁盟乃去。 十年，因伐齐而归。	Năm thứ chín, [nước Ngô] vì nước Trâu mà chinh phạt nước Lỗ, kéo đến [nước Lỗ], cùng nước Lỗ kết minh rồi về. Năm thứ mười, thừa cơ chinh phạt nước Tề rồi về.
十一年，复北伐齐。	Năm thứ mười một, lại tiến lên phía bắc phạt Tề.
唯子胥惧， 曰：“是弃吴也。”	Riêng Tử Tư lo sợ, nói: “Ấy là vứt bỏ nước Ngô vậy.”
将死，曰：“树 吾墓上以梓， 令可为器。抉吾眼置之吴东门， 以观越之灭吴 也。”	Khi sắp chết, [Tử Tư] nói: “Trồng cây tử trên mộ của ta, để sau này làm quan tài. Móc mắt ta treo trên cửa đông nước Ngô, để ta xem nước Việt tiêu diệt nước Ngô.”
齐鲍氏弑齐悼公。	Bào thị nước Tề giết Tề Điệu công.
吴王闻之，哭於军门外三 日，乃从海上攻齐。	Ngô vương biết chuyện, khóc ngoài cửa quân ba ngày, đoạn theo đường biển tấn công nước Tề.
十三年，吴召鲁、卫之君会於橐皋。	Năm thứ mười ba, Ngô vương triệu Lỗ quân, Vệ quân đến hội minh ở đất Thác Cao.
十四年春，吴王北会诸侯於黄池， 欲霸中国以全周室。	Mùa xuân năm thứ mười bốn, Ngô vương lên phía bắc hội chư hầu ở đất Hoàng Trì, muốn xưng bá Trung nguyên để bảo toàn cho nhà Chu.
吴人告败於王夫 差，夫差恶其闻也。	Người Ngô báo việc bại trận với Ngô vương Phù Sai, Phù Sai sợ tin tức đến tại chư hầu.
或泄其语，吴王 怒，斩七人於幕下。	Có kẻ tiết lộ tin ấy, Ngô vương nổi giận, chém bảy người ngay dưới trướng [để diệt khẩu].
七月辛丑，吴王与晋定 公争长。	Ngày Tân Sửu tháng Bảy, Ngô vương và Tấn Định công tranh làm minh chủ.
吴王曰：“於周室我为长。”	Ngô vương bảo: “Trong nhà Chu, ta là trưởng.”
晋定公曰：“於姬姓我为伯。”	Tấn Định công bảo: “Trong họ Cơ, ta lớn nhất.”
赵 鞅怒，将伐吴，乃长晋定公。	Triệu Ưởng nổi giận, định tiến đánh nước Ngô, bèn tôn Tấn Định công làm minh chủ.
吴王已盟，与晋别，欲伐宋。	Ngô vương sau khi lập lời minh, chia tay vua Tấn, muốn đánh nước Tống.
国亡太子，内空，王居外久，士皆罢敝，於是乃 使厚币以与越平。	Nước mất Thái tử, trong nước trong rỗng, Ngô vương ở ngoài nước lâu, quân sĩ đều mệt mỏi, thế là bèn đem hậu lễ để giảng hòa với nước Việt.
十五年，齐田常杀简公。	Năm thứ mười lăm, Điền Thường nước Tề giết Giản công.
十八年，越益彊。	Năm thứ mười tám, nước Việt ngày càng mạnh.
越王句践率兵伐败吴师於笠泽。	Việt vương Câu Tiễn dẫn quân lại đánh bại quân Ngô ở Lạp Trạch.
楚灭陈。	Nước Sở diệt nước Trần.
