吕太后者， 高祖微时妃也， 生孝惠帝、女鲁元太 后。	Lã thái hậu là vợ của Cao tổ khi còn hàn vi, sinh ra Hiếu Huệ đế, con gái là Lỗ Nguyên thái hậu.
非刘氏功臣番君吴芮子臣为长沙王。	Con của Phiên quân Ngô Nhuế, vị công thần không mang họ Lưu, tên là Thần làm Trường Sa vương.
吕后最怨戚夫人及其子赵王，乃令永巷 囚戚夫人，而 召赵王。	Lã hậu rất oán Thích phu nhân và con bà ta là Triệu vương, bèn sai bắt giam Thích phu nhân vào cung Vĩnh Hạng, rồi cho vời Triệu vương.
使者三反，赵相建平侯周昌谓使者曰：“高帝属臣赵王，赵 王年少。窃闻太后怨戚夫人，欲召赵王并诛之，臣不敢遣王。王且亦 病，不能奉诏。”	Sứ giả tới lui ba lần, tướng quốc nước Triệu là Kiến Bình hầu Chu Xương nói với sứ giả rằng: “Cao đế giao phó Triệu vương cho tôi vì Triệu vương tuổi nhỏ, Trộm nghe thái hậu oán Thích phu nhân, muốn với Triệu vương tới giết một thể, tôi không dám để vương đi. Vả lại vương còn ốm, không thể vâng chiếu.”
吕后大怒，乃使人召赵相。	Lã hậu cả giận, bèn sai người với tướng quốc nước Triệu tới.
赵相徵至长安，乃使人 复召赵王。	Tướng quốc nước Triệu đến Trường An, bèn sai người với Triệu vương lần nữa.
王来，未到。	Triệu vương lên đường, còn chưa tới nơi.
孝惠帝慈仁，知太后怒，自迎赵王霸上，与 入宫，自挟与赵王起居饮食。	Hiếu Huệ đế nhân từ, biết thái hậu nổi giận, đích thân đón Triệu vương ở Bá Thượng, cùng vào cung, lại cùng Triệu vương ăn uống ngủ nghỉ.
太后欲杀之，不得间。	Thái hậu muốn giết Triệu vương mà không tìm được dịp.
孝惠元年十二 月，帝晨出射。	Tháng Mười hai năm thứ nhất đời Hiếu Huệ đế, vua đi săn bắn từ sớm.
赵王少，不能蚤起。	Triệu vương còn nhỏ, không thể dậy sớm.
太后闻其独居，使人持酖饮之。	Thái hậu nghe tin vương ở một mình, liền sai người mang rượu độc cho uống.
犁明，孝惠还， 赵王已死。	Bình minh, Hiếu Huệ về, Triệu vương đã chết.
於是乃徙淮 阳王友为赵王。	Thế rồi bèn điều Hoài Dương Vương Hữu làm Triệu vương.
夏，诏赐郦侯父追谥为令武侯。	Mùa hạ, xuống chiếu truy phong cha của Lịch hầu làm Lệnh Vũ hầu.
居 数日，乃召孝惠帝观人彘。	Mấy ngày sau, bèn vời Hiếu Huệ đế tới xem lợn người.
孝惠见，问，乃知其戚夫人，乃大哭，因 病，岁馀不能起。 使人请太后曰：“此非人所为。臣为太后子，终不 能治天下。”	Hiếu Huệ trông thấy, hỏi ra thời biết là Thích phu nhân, liền khóc lớn, nhân đổ bệnh, hơn năm trời không dậy nổi, sau sai người thưa với thái hậu: “Đó không phải việc con người làm. Thần là con của thái hậu, rốt cục không thể trị thiên hạ được nữa.”
孝惠以此日饮为淫乐，不听政，故有病也。	Hiếu Huệ từ đó ngày ngày uống rượu, đàn hát dâm dật, không nghe chính sự, cho nên mắc bệnh vậy.
二年，楚元王、齐悼惠王皆来朝。	Năm thứ hai, Sở Nguyên vương, Tề Điệu Huệ vương đều tới chầu.
十月，孝惠与齐王燕饮太后 前，孝惠以为齐王兄，置上坐，如家人之礼。	Tháng Mười, Hiếu Huệ và Tề vương thết tiệc uống rượu trước mặt thái hậu, Hiếu Huệ cho rằng Tề vương là anh, để ngồi trên theo lễ người nhà.
太后怒，乃令酌两卮 酖，置前，令齐王起为寿。	Thái hậu nổi giận, bèn sai sót hai chén rượu độc đặt ở trước mặt, sai Tề vương dậy chúc thọ.
齐王起，孝惠亦起，取卮欲俱为寿。	Tề vương đứng dậy, Hiếu Huệ cũng đứng dậy, nâng chén muốn cùng chúc thọ.
太后 乃恐，自起泛孝惠卮。	Thái hậu sợ, tự mình đứng dậy hất chén của Hiếu Huệ.
齐王怪之，因不敢饮，详醉 去。	Tề vương thấy lạ nên không dám uống, giả say bỏ đi.
问，知其酖，齐王恐，自以为不得脱长安，忧。	Dò hỏi, biết là rượu độc, Tề vương sợ, tự cho rằng không thể thoát khỏi Trường An, đâm ra lo lắng.
齐内史士 说王曰：“太后独有孝惠与鲁元公主。 今王有七十馀城，而 公主乃食数城。王诚以一郡上太后，为公主汤沐邑，太后必喜，王必 无忧。”	Nội sử nước Tề tên là Sĩ khuyên vương rằng: “Thái hậu chỉ có Hiếu Huệ và công chúa Lỗ Nguyên. Nay vương có hơn bảy mươi thành mà công chúa mới có vài thành. Vương thật lòng dâng một quận cho thái hậu, làm ấp thang mộc của công chúa, thái hậu tất mừng, vương ắt hết lo.”
於是齐王乃上城阳之郡，尊公主为王太后。	Vậy là Tề vương bèn dâng quận Thanh Dương, suy tôn công chúa làm vương thái hậu.
吕后喜，许之。 乃置酒齐邸， 乐饮，罢，归齐王。	Lã hậu mừng rỡ, bằng lòng, bèn đặt tiệc rượu ở cung riêng của Tề vương, uống vui vẻ, xong xuôi thì cho Tề vương về.
三年，方筑长安 城，四年就半，五年六年城就。	Năm thứ ba, bắt đầu xây thành Trường An, năm thứ tư được một nửa, năm thứ năm, thứ sáu thì xây xong.
诸侯来会。	Chư hầu đến họp.
十月朝贺。	Tháng Mười vào chầu mừng.
七年秋八月戊寅，孝惠帝崩。	Ngày Mậu Dần, tháng Tám, mùa thu, năm thứ bảy, Hiếu Huệ đế băng.
发丧，太后哭，泣不下。	Lúc phát tang, thái hậu khóc nhưng không rơi lệ.
留侯子张辟彊为侍中， 年十五，谓丞相曰：“太后独 有孝惠，今崩，哭不悲，君知其解乎？”	Con của Lưu hầu là Trương Tịch Cương làm Thị trung, mười lăm tuổi, nói với thừa tướng rằng: “Thái hậu chỉ có mình Hiếu Huệ đế, nay ngài băng, bà khóc mà không đau buồn, ông biết duyên do không?”
辟彊曰：“帝毋壮子，太后畏君等。君今请拜吕 台、吕产、吕禄为将，将兵居南北军，及诸吕皆入宫，居中用事，如 此则太后心安，君等幸得脱祸矣。”	Tịch Cương nói: “Vua không có con lớn, thái hậu sợ các ông. Nay ông xin cho Lã Thai, Lã Sản, Lã Lộc làm tướng, cầm quân giữ các cánh nam bắc, rồi cho người họ Lã thảy vào cung, ở trong nhậm chức, như vậy thì thái hậu yên tâm, các ông mới may thoát khỏi vạ.”
丞相乃如辟彊计。 太后说，其哭 乃哀。	Thừa tướng bèn theo kế của Tịch Cương, Thái hậu hài lòng, khóc mỗi đau buồn.
乃大赦天下。	Thế rồi đại xá thiên hạ.
太子即位为帝，谒高庙。	Thái tử nối ngôi hoàng đế, bái yết ở miếu Cao tổ.
元 年，号令一出太后。	Năm đầu tiên, mọi hiệu lệnh đều do thái hậu ban ra.
太后称制，议欲立诸吕为王，问右丞相王陵。	Thái hậu xưng mệnh lệnh của mình là chế, bàn việc muốn lập những người họ Lã làm vương, hỏi Hữu thừa tướng Vương Lăng.
王陵曰：“高帝刑 白马盟曰‘非刘氏而王，天下共击之’。今王吕氏，非约也。”	Vương Lăng nói: “Cao đế từng giết ngựa trắng, thề rằng Không phải họ Lưu mà làm vương, thiên hạ sẽ cùng đánh. Nay phong vương cho họ Lã là trái với giao ước vậy.”
太后 不说。 问左丞相陈平、绛侯周勃。	Thái hậu không vui, hỏi Tả thừa tướng Trần Bình, Giáng hầu Chu Bột.
勃等对曰：“高帝定天下，王子 弟，今太后称制，王昆弟诸吕，无所不可。”	Đám Chu Bột đáp rằng: “Cao đế bình thiên hạ, phong vương cho con em, nay thái hậu xưng chế, phong vương cho con em họ Lã, có gì không được?”
太后喜，罢朝。	Thái hậu mừng, bãi triều.
王陵让 陈平、绛侯曰：“始与高帝喋血盟， 诸君不在邪？今高帝崩，太后女主，欲王吕 氏，诸君从欲阿意背约，何面目见高帝地下？”	Vương Lăng trách Trần Bình, Giáng hầu rằng: “Xưa cùng Cao để cắt máu ăn thề, các ông không có ở đó sao? Nay Cao đế bằng, thái hậu là nữ chúa, muốn phong vương cho họ Lã, các ông muốn theo ý riêng bội ước, còn mặt mũi nào gặp Cao đế ở dưới đất nữa?”
陈平、绛侯曰：“於 今面折廷争，臣不如君；夫全社稷，定刘氏之後，君亦不如臣。”	Trần Bình, Giáng hầu nói: “Hôm nay chê trách thẳng mặt, tranh cãi trong triều, chúng tôi không bằng ông; song bảo toàn xã tắc, ổn định con cháu họ Lưu, ông lại không bằng chúng tôi.”
王 陵无以应之。	Vương Lăng không trả lời được.
十一月，太后欲废王陵，乃拜为帝太傅， 夺之相权。	Tháng Mười một, thái hậu muốn phế Vương Lăng, bèn cho làm Thái phó của hoàng đế, tước quyền thừa tưởng.
乃以左丞相平为右丞相，以辟阳侯 审食其为左丞相。	Thái hậu bèn cho Tả thừa tướng Bình làm Hữu thừa tướng, cho Tích Dương hầu Thẩm Tự Cơ làm Tả thừa tướng.
左丞相不治事，令监宫中，如郎中令。	Tả thừa tướng không trị việc nước, được sai coi việc trong cung như Lang trung lệnh.
食其故得幸太后，常用事，公卿皆因而决事。	Tự Cơ xưa được thái hậu sủng hạnh, thường nắm quyền, công khanh đều qua ông ta để giải quyết mọi việc.
乃追尊郦侯父为悼武 王，欲以王诸吕为渐。	Lại truy tôn cha của Lịch hầu làm Điệu Võ vương, muốn nhân đó dần phong vương cho họ Lã.
四月，太后欲侯诸吕，乃先封高祖之功臣郎中令无择 为博城侯。	Tháng Tư, thái hậu muốn phong hầu cho họ Lã, bèn thoạt tiên phong cho công thần của Cao tổ là Lang trung lệnh Vô Trạch làm Bác Thành hầu.
鲁元公主薨，赐谥为鲁元太后。 子偃为鲁王。 鲁王父，宣平侯 张敖也。	Công chúa Lỗ Nguyên mất, ban thụy hiệu là Lỗ Nguyên thái hậu; con tên Yển làm Lỗ vương, cha của Lỗ vương là Tuyên Bình hầu Trương Ngao vậy.
封齐悼惠王子章为硃虚侯， 以吕禄女妻之。	Phong cho con của Tề Điệu Huệ vương tên là Chương làm Chu Hư hầu, đem con gái của Lã Lộc gả cho.
齐丞相寿为平 定侯。	Thừa tướng nước Tề tên Thọ làm Bình Định hầu.
少府延为梧侯。	Thiếu phủ Diên làm Ngô hầu.
乃封吕种为沛侯， 吕平为扶柳侯， 张买为南宫侯。	Lại phong cho Lã Chủng làm Bái hầu, Lã Bình làm Phù Liễu hầu, Trương Mãi làm Nam Cung hầu.
太后欲王吕氏，先立孝惠後宫子彊为淮阳王， 子不疑为常山王， 子山为襄城侯， 子朝为轵侯， 子武为壶关侯。	Thái hậu muốn phong vương cho họ Lã, thoạt tiên lập con cái cung tần của Hiếu Huệ như Cường làm Hoài Dương Vương, Bất Nghi làm Thường Sơn vương, Sơn làm Tương Thành hầu, Triều làm Chỉ hầu, Võ làm Hồ Quan hầu.
太后风大臣，大臣请立郦侯 吕台为吕王，太后许之。	Thái hậu đánh tiếng tới các đại thần, các đại thần xin lập Lịch hầu Lã Thai làm Lã vương, thái hậu thuận cho.
建 成康侯释之卒，嗣子有罪，废，立其弟吕禄 为胡陵侯，续康侯後。	Kiến Thành Khang hầu là Thích Chi chết, con nối dõi có tội bị phế, lập người em là Lã Lộc làm Hồ Lăng hầu, kế tục Khang hầu.
二年，常山王薨，以其弟襄城侯山为常山王，更名义。	Năm thứ hai, Thường Sơn vương mất, cho người em là Tương Thành hầu tên Sơn làm Thường Sơn vương, đổi tên thành Nghĩa.
十一月，吕王 台薨，谥为肃王，太子嘉代立为王。	Tháng Mười một, Lã vương Thai mất, đặt tên thụy là Túc vương, thái tử Gia thay làm vương.
三年，无事。	Năm thứ ba, vô sự.
四年，封吕嬃为临光侯，吕他为俞侯， 吕更始为赘其侯， 吕忿为吕城侯， 及诸侯丞相五人。	Năm thứ tư, phong hầu cho Lã Tu làm Lâm Quang hầu, Lã Tha làm Du hầu, Lã Canh Thủy làm Chuế Kỳ hầu, Lã Phẫn làm Lã Thành hầu, lại phong tước hầu cho năm vị thừa tướng của chư hầu.
宣平侯女为孝惠皇后时，无子，详为有身，取美人子名之， 杀其母，立所名子为太 子。	Lúc con gái của Tuyên Bình hầu làm hoàng hậu của vua Hiếu Huệ không có con, bèn giả mang thai, lấy con của phi tần làm con mình, rồi giết người mẹ, lập con làm thái tử.
孝惠崩，太子立为帝。	Hiếu Huệ băng, thái tử được lập làm vua.
帝壮，或闻其母死，非真皇后子，乃出言 曰：“后安能杀吾母而名我？我未壮，壮即为变。”	Khi vua lớn lên, nghe nói mẹ bị giết, mình không phải con hoàng hậu, liền buông lời nói: “Hoàng hậu sao có thể giết mẹ ta mà gọi ta là con được? Ta chưa lớn, đến khi lớn ắt sẽ thay đổi.”
太后闻而患之， 恐其为乱，乃幽之永卷中，言帝病甚，左右莫得见。	Thái hậu nghe tin liên lo lắng, sợ sẽ làm loạn, bèn ngầm giam ở cung Vĩnh Hạng, nói rằng vua bị bệnh nặng, bá quan không ai được gặp.
太后曰：“凡有 天下治为万民命者，盖之如天，容之如 地，上有欢心以安百姓，百姓欣然以事其上，欢欣交通而天下治。今 皇帝病久不已，乃失惑惛乱，不能继嗣奉宗庙祭祀，不可属天下，其 代之。”	Thái hậu nói: “Phàm người có thiên hạ, giữ mạng muôn dân, thì phải che dân như trời, chở dân như đất. Vua Có vui lòng vỗ về trăm họ, trăm họ mới vui vẻ tôn thờ vua, vui vẻ giao hòa thì thiên hạ được trị. Nay hoàng đế bệnh lâu không khỏi, đâm loạn thần mất trí, không thể tiếp tục gánh vác việc phụng thờ tông miếu, không thể giao phó thiên hạ được, cần phải thay đổi!”
帝废位，太后幽杀之。	Vua bị truất ngôi, thái hậu ngầm giết đi.
五月丙辰，立常山王义 为帝，更名曰弘。	Ngày Bính Thìn tháng Năm, lập Thường Sơn vương Nghĩa làm vua, đổi tên thành Hoằng.
以轵侯朝为常山 王。	Cho Chỉ hầu Triều làm Thường Sơn vương.
置太尉官，绛侯勃为太尉。	Đặt chức quan Thái úy, cho Giáng hầu Bột làm Thái úy.
五年八月，淮阳王薨，以弟壶关侯武 为淮阳王。	Tháng Tám năm thứ năm, Hoài Dương vương mất, cho người em là Hồ Quan hầu Võ làm Hoài Dương Vương.
六年十月，太后曰吕王嘉居处骄恣，废之，以肃王台弟吕 产为吕王。	Tháng Mười năm thứ sâu, thái hậu nói Lã vương Gia cư xử ngạo mạn, bèn phế truất, cho em của Túc vương Thai là Lã Sản làm Lã vượng.
夏，赦天下。	Mùa hạ, đại xá thiên hạ.
封齐悼惠王子兴居为东牟侯。	Phong con của Tề Điệu Huệ vương là Hưng Cư làm Đông Mâu hầu.
七年正月，太后召赵王友。	Tháng Giêng năm thứ bảy, thái hậu cho vời Triệu vương Hữu.
友以诸吕女为受后，弗爱，爱他姬， 诸吕女妒，怒去，谗之於太后，诬以罪过，曰：“吕氏安得王！太后 百岁後，吾必击之”。	Hữu lấy con gái họ Lã làm vương hậu, nhưng không yêu, yêu nàng phi khác. Con gái họ Lã ghen, giận bỏ đi, nói gièm với thái hậu, vu tội bảo ông ta nói rằng: “Họ Lã sao được làm vương! Sau khi thái hậu trăm tuổi, ta ắt đánh chúng?”
太后怒，以故召赵王。	Thái hậu nổi giận, nên vời Triệu vương.
赵王至，置邸不见，令 卫围守之，弗与食。	Triệu vương tới, sắp cho ở cung riêng mà không gặp, sai vệ sĩ vây giữ, không cho ăn.
丁丑，赵王幽死，以民 礼葬之长安民冢次。	Ngày Đinh Sửu, Triệu vương bị giam chết, dùng lễ dân thường chôn ở nghĩa địa của dân thường ở Trường An.
太后恶之，心不乐，乃谓左右曰：“此为我 也。”	Thái hậu ghét, lòng không vui, bèn nói với tả hữu rằng: “Đó là vì ta vậy?”
二月，徙梁王恢为赵王。	Tháng Hai, đổi Lương Vương Khôi làm Triệu vương.
吕王产徙为梁王，梁王不之国，为帝太 傅。	Lã vương Sản đổi làm Lương Vương, Lương vương không tới nước phong, làm thái phó của hoàng đế.
立皇子平昌侯太为吕王。	Lập hoàng tử Bình Xương hầu Thái làm Lã vương.
更名梁曰吕，吕曰济川。	Đổi tên đất Lương thành đất Lã, đất Lã thành đất Tế Xuyên.
太后女弟吕嬃 有女为营陵侯刘泽妻，泽为大将 军。	Em gái của thái hậu là Lã Tu có con gái làm vợ của Doanh Lăng hầu Lưu Trạch, Trạch là đại tướng quân.
太后王诸吕，恐即崩後刘将军为害，乃以刘泽为琅邪王，以慰其 心。	Thái hậu phong vương cho họ Lã, sợ ngay sau khi băng, Lưu tướng quân sẽ gây hại, bèn cho Lưu Trạch làm Lang Da vương để lấy lòng ông ta.
梁王恢之徙王赵，心怀不乐。	Lương Vương Khôi bị dời sang làm vua nước Triệu, trong lòng không vui.
太后以吕产女为赵王后。	Thái hậu cho con gái của Lã Sản làm vương hậu của Triệu vương.
王后从官 皆诸吕，擅权，微伺赵王，赵王不得自恣。	Quan tùy tùng của vương hậu đều mang họ Lã, chuyên quyền, ngầm theo dõi Triệu vương, Triệu vương không được tự do.
王有所爱姬，王后使人酖 杀之。	Vương có người ái phi, vương hậu sai người đầu độc giết đi.
王乃为歌诗四章，令乐人歌之。	Vương bèn làm bài ca bốn đoạn, sai nhạc công hát.
太后闻 之，以为王用妇人弃宗庙礼，废其嗣。	Thái hậu nghe tin, cho rằng vương vì đàn bà mà bỏ lễ ở tông miếu, phế truất người nổi dõi của vương.
宣平侯张敖卒，以子偃为鲁王，敖赐谥为鲁元王。	Tuyên Bình hầu Trương Ngao chết, cho con là Yển làm Lỗ vương, ban cho Ngao tên thụy là Lỗ Nguyên vương.
秋，太后使使告代王，欲徙王赵。	Mùa thu, thái hậu sai sứ nói với Đại vương rằng muốn dời ông ta tới làm vua đất Triệu.
代王谢，原守代边。	Đại vương tạ từ, xin giữ biên cương đất Đại.
太傅产、丞相平等言，武信侯吕禄 上侯，位次第一， 请立为赵王。	Đám thái phó Sản, thừa tướng Bình nói, Võ Tín hầu Lã Lộc giữ tước hầu hàng đầu, ngôi thứ số một, xin lập làm Triệu vương.
太后许之，追尊禄父康 侯为赵昭王。	Thái hậu ưng thuận, truy tôn cha của Lộc là Khang hầu làm Triệu Chiêu vương.
九月，燕灵王建薨，有美人子，太后使人杀之，无後， 国除。	Tháng Chín, Yên Linh vương Kiến mất, có con với nàng phi, thái hậu sai người giết đi, nên tuyệt tự, nước bị phế bỏ.
八年十月，立吕肃王子东平侯吕通为燕王，封通弟吕庄为东平 侯。	Tháng Mười năm thứ tám, lập con của Lã Túc vương là Đông Bình hầu Lã Thông làm Yên vương, phong em của Thông là Lã Trang làm Đông Bình hầu.
三月中，吕后祓，还过轵道，见 物如苍犬，据高后掖，忽弗复见。	Giữa tháng Ba, Lã hậu làm lễ cầu phúc, về qua Chỉ Đạo, thấy một vật như con chó xanh, thúc nách Cao hậu, thoắt không thấy nữa.
卜之，云 赵王如意为祟。	Sai bói việc này thì nói rằng đó là hồn của Triệu vương Như Ý tác quái.
高后为外孙鲁元王偃年少，蚤失父母，孤弱，乃封张敖前姬两 子，侈为新都侯，寿为乐昌侯，以 辅鲁元王偃。	Cao hậu vì cháu ngoại Lỗ Nguyên vương Yển tuổi nhỏ, sớm mất cha mẹ, cô đơn yếu ớt, bèn phong cho hai người con của vợ trước của Trương Ngao là Xỉ làm Tân Đô hầu, Thọ làm Lạc Xương hầu, để phò trợ Lỗ Nguyên vương Yển.
及封中大谒者张释为建陵侯， 吕荣为祝兹侯。	Lại phong cho Trung đại yết giả Trương Thích làm Kiến Lăng hầu, Lã Vinh làm Chúc Tư hầu.
诸中宦者令丞皆为关内侯，食邑五百户。	Các hoạn quan giữ chức lệnh, thừa đều được làm Quan nội hầu, thực ấp năm trăm hộ.
七月中，高后病甚，乃令赵王吕禄为上将军，军北军；吕王产居 南军。	Giữa tháng Bảy, Cao hậu bệnh nặng, bèn lệnh cho Triệu vương Lã Lộc làm thượng tướng quân lĩnh đạo quân phía bắc; Lã vương Sản giữ đạo quân phía nam.
吕太后诫产、禄曰：“高帝已定天下，与大臣约，曰‘非刘氏 王者，天下共击之’。今吕氏王，大臣弗平。我即崩，帝年少，大臣 恐为变。必据兵卫宫，慎毋送丧，毋为人所制。”	Lã thái hậu răn Sản và Lộc: “Cao đế bình định thiên hạ xong, giao ước với các đại thần rằng: Không phải họ Lưu mà phong vương, thiên hạ sẽ cùng đánh. Nay họ Lã làm vương, đại thần bất bình. Ta sắp băng, vua còn nhỏ, e đại thần có biến. Các ngươi phải cầm quân giữ cung, chớ có đưa tang, đừng để kẻ khác khống chế.”
辛巳，高后崩，遗 诏赐诸侯王各千金， 将相列侯郎吏皆以秩 赐金。	Ngày Tân Tỵ, Cao hậu băng, để lại di chiếu ban cho chư hầu mỗi người ngàn vàng, các tướng, liệt hầu, lang, lại đều được ban vàng theo tước trật.
大赦天下。	Đại xá thiên hạ.
以吕王产为相国，以吕禄女为帝后。	Cho Lã vương Sản làm tướng quốc, cho con gái Lã Lộc làm hoàng hậu.
高后已葬， 以左丞相审食其为帝太傅。	An táng Cao hậu xong, cho Tả thừa tướng Thẩm Tự Cơ làm Thái phó của hoàng đế.
硃虚侯刘章有气力，东牟侯兴居其弟也。 皆齐哀王弟，居长安。	Chu Hư hầu Lưu Chương có khí phách, năng lực, Đông Mâu hầu Hưng Cư là em ông ta, đều là em của Tề Ai vương, sống ở Trường An.
当是时，诸吕用事擅权，欲为乱，畏高帝故大臣绛、灌等，未敢发。	Lúc bấy giờ, họ Lã chấp chính chuyên quyền, muốn làm loạn, sợ đám đại thần Giáng hầu, Quán hầu của Cao để khi xưa, nên chưa dám phát động.
硃虚侯妇，吕禄女，阴知其谋。	Vợ Chu Hư hầu là con gái của Lã Lộc.
恐见诛，乃阴令人告其兄齐王，欲令 发兵西，诛诸吕而立。	Chu Hư hầu ngầm biết âm mưu, sợ bị giết, bèn ngầm sai người các giác với anh mình là Tề vương, muốn hạ lệnh cất quân tiến về tây, giết họ Lã để lên ngôi.
硃虚侯欲从中与大臣为应。	Chu Hư hầu muốn từ trong cung cùng các đại thần làm nội ứng.
齐王欲发兵，其相 弗听。 八月丙午，齐王欲使人诛相，相召平乃反，举兵欲围王，王因 杀其相，遂发兵东，诈夺琅邪王兵，并将之而西。	Tề vương muốn dấy binh, tháng Tám, Tề song vương định sai người giết tướng quốc, tướng quốc Thiệu Bình bèn làm phản, cất quân muốn bao vây vương, vương nhân đó giết tướng quốc, rồi dấy binh tiến về đông, dùng kế đoạt quân của Lang Da vương, cùng thống lĩnh tiến về tây.
齐王乃遗诸侯王书曰：“高帝平定天下，王诸子弟，悼惠王王 齐。悼惠王薨，孝惠帝使留侯良立臣为齐王。孝惠崩，高后用事，春 秋高，听诸吕，擅废帝更立，又比杀三赵王， 灭梁、赵、燕以王诸 吕，分齐为四。忠臣进谏，上惑乱弗听。今高后崩，而帝春秋富，未 能治天下，固恃大臣诸侯。而诸吕又擅自尊官，聚兵严威，劫列侯忠 臣，矫制以令天下，宗庙所以危。寡人率兵入诛不当为王者。”	Ngày Bính Ngọ Tề vương bèn viết thư cho các vua chư hầu, nói rằng: “Cao đế bình định thiên hạ, phong vương cho con em, Điệu Huệ vương làm vua nước Tề. Điệu Huệ vương mất, Hiếu Huệ để sai Lưu hầu Lương lập tôi làm Tề vương. Hiếu Huệ băng, Cao hậu nắm quyền, tuổi tác cao, nghe lời họ Lã, tự ý phế truất hoàng đế thay người khác, lại liên tiếp giết ba vị Triệu vương, diệt Lương, Triệu, Yên để phong vương cho họ Lã, chia đất Tề làm tư. Trung thần can gián, người mê loạn không nghe. Nay Cao hậu bằng mà hoàng đế tuổi nhỏ, chưa thể trị thiên hạ, cố nhiên phải dựa vào đại thần và chư hầu. Vậy mà họ Lã lại tự ý thăng chức, tự tập binh lính dương oai, uy hiếp liệt hầu, trung thần, giả chế sắc ra lệnh cho thiên hạ, tông miếu bởi vậy mà nguy. (Vậy nên) quả nhân đem quân vào giết những kẻ không đáng được làm vương!”
汉闻 之，相国吕产等乃遣颍阴侯灌婴将兵击之。	Nhà Hán nghe tin, bọn tướng quốc Lã Sản bèn sai Dĩnh Âm hầu Quán Anh cầm quân tới đánh.
灌婴至荥阳，乃谋 曰：“诸吕权兵关中，欲危刘氏而自立。今我破齐还报，此益吕氏之 资也。”	Quán Anh đến Huỳnh Dương, bèn bàn mưu: “Đám họ Lã nắm quân ở Quan Trung, muốn lật họ Lưu để tự lập. Nay ta phá quân Tề xong về bẩm báo, sẽ làm tăng thế lực của họ Lã vậy.”
乃留屯荥阳，使使谕齐王及诸侯，与连和，以待吕氏变，共 诛之。	Bèn ở lại đóng quân ở Huỳnh Dương, sai sứ dụ Tề vương và chư hầu cùng liên thủ, để đợi họ Lã gây biến thì cùng đánh chúng.
齐王闻之，乃还兵西界待约。	Tề vương nghe tin, bèn đem quân về biên giới phía tây, đợi hẹn.
当是时，济川王 太、淮阳王武、常山王朝名为少帝弟，及鲁元王吕后外孙，皆年少未 之国，居长安。	Lúc bấy giờ, Tế Xuyên vương Thái, Hoài Dương Vương Vũ, Thường Sơn vương Triều lấy danh nghĩa là em của Thiếu đế, cùng cháu ngoại của Lã hậu là Lỗ Nguyên vương, đều nhỏ tuổi chưa tới nước phong, ở Trường An.
