微子开者， 殷帝 乙之首子而帝纣之庶兄也。	Vị tử Khai là con đầu của đế Ất nhà Ân và là anh thứ của vua Trụ.
君子闻之， 曰：“宋宣公可谓知人矣，立其弟以成义，然卒其子复享之。 殇公元年，卫公子州吁弑其君完自立，欲得诸侯，使告於宋 曰：“冯在郑，必为乱，可与我伐之。”	Bậc quân tử nghe việc đó, nói: “Tống Tuyên công khá gọi là người biết nhìn người vậy, lập em lên thay để thành toàn đạo nghĩa, nhưng rốt cuộc con lại được thừa hưởng ngôi vị.” Thương công năm đầu, công tử nước Vệ là Châu Hu giết vua nước mình là Hoàn rồi tự lên ngôi, [Châu Hu] muốn lấy lòng chư hầu, sai người báo với nước Tống rằng: “Phùng đang ở nước Trịnh, chắc chắn sẽ làm loạn, có thể cùng tôi thảo phạt Phùng.”
殇公怒，遂弑殇公，而迎穆公 子冯於郑而立之，是为庄公。	Thương công tức giận, [Hoa Đốc] liền giết Thương công, rồi đón con của Mục công là Phùng ở nước Trịnh về nước rồi lập làm vua, đó là Trang công.
湣公自罪曰：“寡人以不能事鬼神，政不脩，故 水。”	Mẫn công ty trách rằng: “Do quả nhân không biết phụng thờ quỷ thần, không sửa sang chính sự, cho nên nước lụt.”
二十三年， 迎卫公子毁於齐，立之，是为卫文公。	Năm thứ hai mươi ba, đón công tử nước Vệ là Hủy ở nước Tề về, lập lên làm vua, đó là Vệ Văn công.
桓公义太子 意，竟不听。	Hoàn công cho Thái tử là người có đạo nghĩa, rốt cuộc không nghe.
公子目夷谏曰：“小国争盟，祸也。”	Công tử Mục Di can rằng: “Nước nhỏ tranh làm minh chủ, đó là họa vậy.”
不听。	[Tương công] không chịu nghe.
目夷曰：“祸其在此乎？君 欲已甚，何以堪之！”	Mục Di nói: “Họa là ở đây chăng? Dục vọng của vua thật thái quá, sao đáp ứng được!”
子鱼曰：“祸犹未也。”	Tử Ngư nói: “Họa vẫn còn, chưa hết đâu.”
子鱼曰：“祸在此 矣。”	Tử Ngư nói: “Họa chính ở việc này vậy.”
襄公将战，子鱼谏曰：“天之弃商久矣， 不可。”	Tương công định đánh, Tử Ngư can rằng: “Trời bỏ nhà Thương đã lâu rồi, không đánh được đâu.”
楚人未济，目夷曰：“彼众我寡，及其未济击之。”	Người Sở chưa qua được sông, Mục Di nói: “Địch đông ta ít, nhân khi chúng chưa vượt sông, hãy đánh ngay đi.”
公不 听。	Trong công không nghe.
已济未陈，又曰：“可击。”	[Đến khi quân Sở] đã sang sông, chưa kịp bày trận, [Mục Di] lại nói: “Có thể đánh được rồi.”
公曰：“待其已陈。”	Tượng công nói: “Đợi chúng bày trận xong đã.”
陈成，宋人 击之。	Trận đã bày xong, người Tống tiến đánh quân Sở.
国人皆怨公。	Người trong nước đều oán hận Tương công.
子鱼曰：“兵以胜为功，何常言与！ 必如公言，即奴事之耳，又何战为？”	Tử Ngư nói: “Việc binh cốt lấy thắng để lập công, sao lại nói lời tầm thường như thế! Nếu nhất nhất như lời ngài, thì chỉ làm nô lệ phụng sự người mà thôi, còn đánh làm gì nữa?”
叔瞻曰：“成王无礼， 其不没乎？为礼卒於无别，有以知其不遂霸也。”	Thúc Chiêm nói: “Thành vương vô lễ, chẳng có kết cục tốt chăng? Dùng lễ mà rốt cuộc không biết phân biệt, theo đó thì biết ông ta không thành được nghiệp bá vậy.”
先，襄公夫人欲通於公子鲍，不可， 乃助之施於国， 因大夫华元为右师。	Trước đây, phu nhân của Tương cũng muốn tư thông với công tử Bão, không được, [nhưng vẫn yêu quý Bão] bèn giúp Bão thi ơn huệ trong nước, nhờ phu nhân Hoa Nguyên nên [Bão được] làm Hữu sư.
弟鲍革立，是为文公。	[Nhờ thế] em trai là Bão Cách lên ngôi, đó là Văn công.
十四年，楚庄王围郑。	Năm thứ mười bốn, Sở Trang vương bao vây nước Trịnh.
子反告庄王。	Tử Phản báo với Trang vương.
王问：“城中何如？”	Trang vương hỏi: “Trong thành thế nào?”
曰：“析骨而炊， 易子而食。”	Đáp: “Bẻ xương mà đun, đổi con mà ăn.”
庄王曰：“诚哉言！我军亦有二日 粮。”	Trang vương nói: “Nói thành thực thay! Quân ta cũng chỉ còn hai ngày lương.”
以信故，遂罢兵去。	Vì sự thành thực đó, [Sở Trang vương] bèn bãi binh về.
二十二年，文公卒，子共公瑕立。	Năm thứ hai mươi hai, Văn công chết, con là Cung công Hà lên thay.
华元为右师，鱼石为左师。	Hoa Nguyên làm Hữu sư, Ngư Thạch làm Tả sư.
三十五年，楚公子围弑其君自立，为灵王。	Năm thứ ba mươi lăm, công tử nước Sở là Vi giết vua nước mình rồi tự lập, đó là Linh vương.
四 十四年，平公卒，子元公佐立。	Năm thứ bốn mươi tư, Bình công chết, con là Nguyên công Tá lên thay.
三十七年，楚惠王灭陈。	Năm thứ ba mươi bảy, Sở Huệ vương diệt nước Trần.
心，宋之分野也。	Sao Tâm ứng với địa phận nước Tống.
司星子韦曰：“可移於相。”	Quan phụ trách quan sát tinh tượng là Tử Vi nói: “Có thể di họa sang Tướng quốc.”
景公曰：“相，吾之股肱。”	Cảnh công nói: “Tướng quốc như chân tay của ta.”
曰：“可 移於民。”	[Tử Vi] lại bảo: “Có thể di họa cho dân chúng.”
景公曰：“君者待民。”	Cảnh công nói: “Vua phải dựa vào trăm họ.”
曰：“可移於岁。”	[Tử Vi] nói rằng: “Có thể di họa đến mùa màng.”
景公 曰：“岁饥民困，吾谁为君！”	Cảnh công nói: “Mùa màng thất bát thì dân khốn khổ, ta còn làm vua của ai nữa!”
子韦曰：“天高听卑。君有君人之言 三，荧惑宜有动。”	Tử Vi nói: “Trời cao mà nghe dưới thấp. Nhà vua có ba câu nói của bậc nhân quân như thế, Hỏa tinh sẽ dịch chuyển vậy.”
於是候之，果徙三度。	Thế rồi chờ xem, quả nhiên Hỏa tinh rời đi ba độ.
宋公子特攻杀太子 而自立，是为昭公。	Công tử nước Tống là Đặc đánh giết Thái tử rồi tự lập, đó là Chiêu công.
昭公者，元公之曾庶孙也。	Chiêu công là chắt nội ngành thứ của Nguyên công.
君偃十一年，自立为王。	Tống quân là Yển năm thứ mười một, Yển tự lập làm vương.
盛血以韦囊，县而射之，命曰“射天”。	Dùng túi da chứa đầy máu, treo lên mà bắn, gọi là “Bắn trời”.
淫於酒妇人。	Đắm chìm trong rượu và đàn bà.
於是诸侯皆曰“桀宋”。	Bấy giờ chư hầu đều gọi là “Vua Kiệt của nước Tống.”
“宋其 复为纣所为，不可不诛”。	“Vua Tống làm lại những việc vua Trụ từng làm, không thể không giết.”
太史公曰：孔子称“微子去之，箕子为之奴，比干谏而死，殷有三 仁焉”。	Thái sử công bàn rằng: Khổng tử khen “Vi tử bỏ Trụ mà đi, Cơ tử nguyện làm nô lệ, Tỷ Can can ngăn mà chết, nhà Ân có ba người có đức nhân.”
春秋讥宋之乱自宣公废太子而立弟， 国以不宁者十世。	Sách Xuân thu chê loạn của nước Tống là bắt đầu từ việc Tuyên công phế bỏ Thái tử rồi lập em lên thay, nước vì thế mười đời không được yên.
其大夫正考父美之，故 追道契、汤、高宗，殷所以兴，作商颂。 襄公既败於泓，而君子或以为多， 伤中国阙礼义，襃之也， 宋襄之有礼让也。 殷有三仁，微、箕纣亲。 一囚一去，不顾其身。	Quan đại phu [nước Tống] là Chính Khảo Phủ xưng tụng Tương công, cho nên truy thuật nguyên nhân hưng thịnh của triều Ân vào các thời của Tiết, Thành Thang, Cao tông, làm phần Thương tụng.
纣始为象箸， 箕子叹曰：“彼为象箸，必为玉桮；为桮，则必思远方珍 怪之物而御之矣。舆马宫室之渐自此始，不可振也。”	Ban đầu, vua Trụ dùng ngà voi làm đũa, Cơ tử than rằng: “Nhà vua dùng ngà voi làm đũa, rồi ắt lấy ngọc làm chén; dùng ngọc làm chén thì ắt nghĩ cách khiến các vật quý lạ ở phương xa về tay mình. Xe ngựa cung thất dần [trở nên xa hoa] bắt đầu từ đây, không thể chấn chỉnh được nữa.”
周武王伐纣克殷，微子乃持其祭器造於军门，肉袒面缚， 左牵羊，右把茅，膝行而前以告。	Chu Vũ vương thảo phạt vua Trụ, lật đổ triều Ân, Cơ tử bèn mang đồ tế khí đến trước quân doanh, để trần, trói tay quặt sau lưng, cho người bên trái dắt theo dê, bên phải cầm cỏ mao, đi bằng gối đến trước [Vũ vương] để trình thưa.
