黥布者，六人也， 姓英氏。	Kình Bố người huyện Lục, họ Anh.
项梁号为武信君，英 布为当阳君。	Hạng Lương hiệu là Vũ Tín quân, Anh Bố làm Đương Dương quân.
项梁败死定陶，怀王徙都彭城，诸将 英布亦皆保聚彭城。	Hạng Lương thua chết ở Định Đào, Hoài vương dời đô đến Bành Thành, các tướng là bọn Anh Bố đều tụ họp bảo vệ Bành Thành.
当是时，秦急围赵，赵数使人请救。	Bấy giờ, Tần ráo riết vây Triệu, Triệu nhiều lần sai người xin cứu viện.
怀王使宋义 为上将，范曾为末将，项籍为次将，英在、蒲将军皆为将军，悉属宋 义，北救赵。	Hoài vương sai Tống Nghĩa làm thượng tướng Phạm Tăng làm mạt tướng, Hạng Tịch làm thứ tướng, Anh Bố và Bồ tướng quân làm tướng quân, đều dưới quyền Tống Nghĩa, tiến lên bắc cứu Triệu.
及项籍杀宋义於河上，怀王因立籍为上将军，诸将皆属 项籍。	Đến khi Hạng Tịch giết Tống Nghĩa trên Hoàng Hà, Hoài vương nhân đó lập Tịch làm thượng tướng quân, các tướng đều do Hạng Tịch chỉ huy.
项籍使布先渡河击秦，布数有利，籍乃悉引兵涉河从之，遂破 秦军，降章邯等。	Hạng Tịch sai Bố trước hết vượt Hoàng Hà đánh Tần. Bố nhiều lần giành thắng lợi, Tịch liền dẫn hết quân vượt Hoàng Hà theo Bố, rồi phá quân Tần, khiến bọn Chương Hàm đầu hàng.
楚兵常胜，功冠诸侯。	Quân Sở thường thắng, Công đứng đầu chư hầu.
诸侯兵皆以服属楚者，以布 数以少败众也。	Quân chư hầu đều theo chỉ huy của Sở, vì Bố bao phen lấy ít thắng nhiều vậy.
项籍之引兵西至新安，又 使布等夜击阬章邯秦卒二十馀万人。	Hạng Tịch đem quân sang tây đến Tân An, lại sai bọn Bố đương đêm tấn công chôn sống hơn hai mươi vạn quân Tần của Chương Hàm.
至关，不得入，又使布等先从间 道 破关下军，遂得入，至咸阳。	Đến cửa Hàm Cốc, không vào được, lại sai bọn Bố trước theo đường nhỏ phá quân dưới Hàm Cốc, đại quân vào được, kéo đến Hàm Dương.
布常为军锋。	Bố thường làm quân tiên phong.
项王封诸将，立布为九江王，都六。	Hạng vương phân phong cho các tướng, lập Bố làm Cửu Giang vương, đóng đô ở đất Lục.
项氏立怀王为义帝，徙都 长沙，乃阴令九江王布等行击之。	Họ Hạng lập Hoài vương làm Nghĩa đế, dời đô đến Trường Sa, bèn ngầm lệnh bọn Cửu Giang vương là Bố tấn công Nghĩa đế trên đường.
其八月，布使将击义帝，追杀之郴 县。	Tháng Tám, Bố sai tướng tấn công Nghĩa đế, đuổi giết tại Sâm Huyện.
汉二年，齐王田荣畔楚，项王往击齐，徵兵九江，九江王布称病 不往，遣将将数千人行。	Hán vương năm thứ hai, Tề vương là Điền Kinh phản Sở, Hạng vương đem quân đánh Tề, trung quân ở Cửu Giang, Cửu Giang vương là Bố cáo ốm không đến, sai tướng đem mấy nghìn quân tới.
汉之败楚彭城，布又称病不佐楚。	Hán đánh bại Sở ở Bành Thành, Bố lại cáo ốm không giúp Sở.
项王由此 怨布，数使使者诮让召布，布愈恐，不 敢往。	Vì thế Hạng vương oán Bố, nhiều lần sai sứ khiển trách, triệu Bố đến, Bố càng sợ, không dám tới.
项王方北忧齐、赵，西患汉，所与者独九江王，又多布材，欲 亲用之，以故未击。	Hạng vương đang lo Tề, Triệu ở phía bắc, quân Hán phía tây, người giúp chỉ có Cửu Giang vương, lại cho Bố nhiều của cải, muốn thân thiết trọng dụng Bố, vì thế chưa đánh.
汉三年，汉王击楚，大战彭城，不利，出梁地，至虞， 谓左右曰：“如彼等者，无足与计天下 事。”	Hán vương năm thứ ba, Hán vương đánh Sở, đại chiến tại Bành Thành, thất bại, rút ra đất Lương, đến đất Ngu, bảo tả hữu rằng: “Người như bọn ngươi, không đủ để bàn việc thiên hạ.”
汉王曰：“孰能为我使淮 南，令之发兵倍楚，留项王於齐数月，我之取天下可以百全。”	Hán vương rằng: “Ai có thể vì ta đi sứ Hoài Nam, khiến họ phát binh phản Sở, lưu Hạng vương ở đất Tề mấy tháng, ta sẽ lấy được thiên hạ không mảy may tổn thất.”
随何 曰：“臣请使之。”	Tùy Hà nói: “Thần xin đi.”
乃与二十人俱，使淮南。	Bèn cùng hai mươi người, đi sứ Hoài Nam.
至，因太宰主之， 三日不得见。	Đến nơi, nhờ Thái tế giới thiệu, ba ngày không được yết kiến.
随何因说太宰曰：“王之 不见何，必以楚为彊，以汉为弱，此臣之所以为使。使何得见，言之 而是邪，是大王所欲闻也；言之而非邪，使何等二十人伏斧质淮南 市，以明王倍汉而与楚也。”	Tùy Hà nhân đó nói với Thái tể: “Đại vương không gặp Hà, hẳn cho Sở mạnh, coi Hán yếu, đó là nguyên nhân tôi đi sứ. Nếu Hà được gặp, lời nói phải, là điều đại vương muốn nghe, nói không phải, đem hai mươi người bọn Hà ra chịu búa rìu ngoài chợ Hoài Nam, để tỏ rằng đại vương phản Hán theo Sở vậy.”
太宰乃言之王，王见之。 随何曰：“汉 王使臣敬进书大王御者，窃怪大王与楚何亲也。”	Thái tể bèn nói với Hoài Nam vương, Hoài Nam vương cho tiếp kiến, Tuy Hà nói: “Hán vương sai thần kính dâng thư lên đại vương ngự lãm, trộm lấy làm lạ sao đại vương lại thân với Sở vậy?”
淮南王曰：“寡人 北乡而臣事之。”	Hoài Nam vương đáp: “Quả nhân quay mặt về bắc xưng thần thờ Sở.”
随何曰：“大王与项王俱列为诸侯，北乡而臣事 之，必以楚为彊，可以讬国也。项王伐齐，身负板筑， 以为士卒先，大王宜悉淮南之众，身自 将之，为楚军前锋，今乃发四千人以助楚。夫北面而臣事人者，固若 是乎？夫汉王战於彭城，项王未出齐也，大王宜骚淮南之 兵渡淮，日夜会战彭城下，大王抚万人之众，无一人渡淮者，垂拱而 观其孰胜。夫讬国於人者，固若是乎？大王提空名以乡楚，而欲厚自 讬，臣窃为大王不取也。然而大王不背楚者，以汉为弱也。夫楚兵虽 彊，天下负之以不义之名，以其背盟约 而杀义帝也。然而楚王恃战胜自彊，汉王收诸侯，还守成皋、荥阳， 下蜀、汉之粟，深沟壁垒，分卒守徼乘塞， 楚人还兵，间以梁地，深入 敌国八九百里， 欲战则不得，攻城则力不 能，老弱转粮千里之外；楚兵至荥阳、成皋，汉坚守而不动，进则不 得攻，退则不得解。故曰楚兵不足恃也。 使楚 胜汉，则诸侯自危惧而相救。夫楚之彊，適足以致天下之兵耳。故楚 不如汉，其势易见也。今大王不与万全之汉而自讬於危亡之楚，臣窃 为大王惑之。臣非以淮南之兵足以亡楚也。夫大王发兵而倍楚，项王 必留；留数月，汉之取天下可以万全。臣请与大王提剑而归汉，汉王 必裂地而封大王，又况淮南，淮南必大王有也。故汉王敬使使臣进愚 计，原大王之留意也。”	Tùy Hà nói: “Đại vương và Hạng vương đều là chư hầu, quay mặt về bắc xưng thần thờ Sở, ắt cho Sở là mạnh, có thể gửi gắm đất nước. Hạng vương đánh Tề, lưng mang ván, chày để đắp thành, đặng làm gương cho sĩ tốt, đại vương nên dốc hết quần chúng Hoài Nam, đích thân đến đó, làm tiên phong cho Sở, nay lại phát bốn nghìn người giúp Sở. Người quay mặt về bắc xưng thần thờ người ta, có làm thế không? Hán vương giao chiến ở Bành Thành, Hạng vương chưa ra khỏi đất Tề, đại vương nên ngày đêm đem quân Hoài Nam vượt sông Hoài, đến hội quân cùng đánh dưới Bành Thành. Đại vương cầm vạn quân, nhưng không ai vượt sông Hoài, khoanh tay mà xem ai thắng. Người gửi gắm quốc gia cho người khác, lại như thế ư? Đại vương lấy danh suông theo Sở, nhưng muốn được hậu đãi, thần trộm vì đại vương cho là không nên. Thế nhưng đại vương không phản Sở, vì cho Hán yếu. Xét lẽ, quân Sở tuy mạnh, nhưng bị thiên hạ cho là bất nghĩa, vì họ làm trái minh ước, giết Nghĩa đế. Vậy Sở vương cậy đánh thắng, tự cho mình mạnh, Hán vương thu thập chư hầu, về giữ Thành Cao, Huỳnh Dương, chuyển gạo từ đất Thục, Hán đến, tường cao hào sâu, chia quân giữ vùng biên giới. Người Sở rút quân, bị ngăn bởi Lương, tiến sâu tám chín trăm dặm nước địch, muốn đánh không được, đánh thành sức không đủ, già trẻ chuyển lương từ ngoài ngàn dặm. Quân Sở đến Huỳnh Dương, Thành Cao, Hán giữ vững không ra đánh, Sở tiến không đánh được, lui không thoát thân. Cho nên nói quân Sở không đủ để cậy. Giả sử Sở thắng Hán, thì chư hầu tự thấy nguy mà cứu nhau. Sức mạnh của Sở, chuốc lấy sự chống đối của chư hầu. Cho nên Sở không bằng Hán, thế đó dễ thấy. Nay đại vương không theo Hán vạn toàn lại tự gửi vào Sở nguy vong, thần trộm cho điều đó sai lầm. Thần không cho quân Hoài Nam đủ sức diệt Sở. Đại vương phát binh phản Sở, Hạng vương tất lưu lại. Lưu lại mấy tháng, Hán có thể lấy thiên hạ mà không tổn hại gì. Thần xin cùng đại vương mang kiếm theo về Hán, Hán vương ắt cắt đất phân phong cho đại vương, đâu chỉ riêng Hoài Nam, đại vương nhất định có Hoài Nam rồi. Cho nên Hán vướng kính cẩn sai sứ thần dâng tiến kế ngu muội, xin đại vương hãy lưu tâm cho.”
淮南王曰：“请奉命。”	Hoài Nam vương nói: “Xin vâng mệnh.”
楚使者在，方急责英布发兵，舍传 舍。	Sứ giả Sở ở chỗ Hoài Nam vương, giục Anh Bố mau phát binh, sứ giả đến dịch quán.
随何直入，坐楚使者上坐，曰：“九江王已归汉，楚何以得发 兵？”	Tùy Hà đi thẳng vào, ngồi chỗ trên sứ giả Sở, nói: “Cửu Giang vương đã theo Hán, Sở làm thế nào khiến ông ta phát binh được?”
布愕然。	Bố rất kinh sợ.
楚使者起。	Sứ giả Sở đứng lên.
何因说布曰：“事已搆， 可遂杀楚使者，无使归，而疾走汉并 力。”	Hà nhân đó nói với bố: “Việc đã như thế, hãy giết sứ giả Sở ngay, chớ cho về, rồi kíp sang Hán cùng hợp sức.”
布曰：“如使者教，因起兵而击之耳。”	Bố nói: “Xin theo lời sứ giả dạy, nhân đó dấy binh đánh Sở.”
於是杀使者，因起兵 而攻楚。	Thế rồi giết sứ giả, nhân đó dấy binh đánh Sở.
楚使项声、龙且攻淮南，项王留而攻下邑。	Sở sai Hạng Thanh, Long Thư tấn công Hoài Nam, Hạng vương lưu lại rồi đánh Hạ Ấp.
数月，龙且击淮南，破布军。	Mấy tháng sau, Long Thư đánh Hoài Nam, phá được quân Bố.
布欲引兵走汉，恐楚王杀之，故间 行与何俱归汉。	Bố muốn dẫn quân sang Hán, sợ Sở vương giết, nên lẻn đi cùng Hà về Hán.
淮南王至，上方踞床洗，召布入 见，布大怒，悔来，欲自杀。	Hoài Nam vương đến, hoàng thượng đang ngồi xổm trên giường rửa chân, vời Bố vào gặp, Bố cả giận, hối vì đã đến, muốn tự sát.
於是乃使人入九江。	Thế rồi bèn sai người vào Cửu Giang.
楚 已使项伯收九江兵，尽杀布妻子。	Sở đã sai Hạng Bá thu quân ở Cửu Giang, giết hết vợ con Bố.
布使者颇得故人幸臣，将众数千人 归汉。	Sứ giả của Bố tìm được nhiều bạn cũ, sủng thần của Bố, đem mấy nghìn quân về Hán.
汉益分布兵而与俱北，收兵至成皋。	Hán chia thêm quân cho Bố rồi cùng lên phía bắc, thu thêm quân đến Thành Cao.
四年七月，立布为淮南 王，与击项籍。	Năm thứ tư, tháng Bảy, lập Bố làm Hoài Nam vương, cùng đánh Hạng Tịch.
汉五年，布使人入九江，得数县。	Hán vương năm thứ năm, Bố sai người vào Cửu Giang, lấy được mấy huyện.
六年，布与刘贾入九江，诱大 司马周殷，周殷反楚，遂举九江兵与汉击楚，破之垓下。	Năm thứ sáu, Bố cùng Lưu Giả vào Cửu Giang, dụ Đại tư mã Chu Ân, Chu Ân phản Sở, cất quân Cửu Giang cùng Hán đánh Sở, phá được Sở tại Cai Hạ.
项籍死，天下定，上置酒。	Hạng Tịch chết, thiên hạ an định, Hoàng thượng bày tiệc.
随何跪 曰：“夫陛下引兵攻彭城，楚王未去齐也，陛下发步卒五万人，骑五 千，能以取淮南乎？”	Tùy Hà quỳ tâu: “Bệ hạ dẫn quân đánh Bành Thành, Sở vương chưa ra khỏi Tề, bệ hạ đem năm vạn bộ tốt, năm nghìn kỵ binh, có thể lấy được Hoài Nam không?”
上曰：“不能。”	Hoàng thượng đáp: “Không thể.”
随何曰：“陛下使何与二十 人使淮南，至，如陛下之意，是何之功贤於步卒五万人骑五千也。然 而陛下谓何腐儒，为天下安用腐儒，何也？”	Tùy Hà nói: “Bệ hạ sai Hà cùng hai mươi người đi sứ Hoài Nam, đến nơi, làm được đúng ý bệ hạ, là công của Hà, còn hơn năm vạn bộ tốt và năm nghìn kỵ binh vậy. Thế mà bệ hạ bảo Hà là hủ nho, trị thiên hạ sao có thể dùng hủ nho là cớ làm sao?”
上曰：“吾方图子之 功。”	Hoàng thượng đáp: “Ta đang xét công của ngươi.”
乃以随何为护军中尉。	Rồi phong Tùy Hà làm Hộ quân trung úy.
布遂剖符为淮南王，都六，九江、庐 江、衡山、豫章郡皆属布。	Bố được ban lệnh phù làm Hoài Nam vương, đóng đô ở đất Lục, các quận Cửu Giang, Lô Giang, Hành Sơn, Dự Chương đều thuộc về Bố.
七年，朝陈。	[Hán Cao tổ] năm thứ bảy, triều kiến ở đất Trần.
八年，朝雒阳。	Năm thứ tám, triều kiến ở Lạc Dương.
九年，朝长安。	Năm thứ chín, triều kiến ở Trường An.
十一年，高后诛淮阴侯，布因心恐。	Năm thứ mười một, Cao hậu giết Hoài Âm hầu, Bố nhân đó sợ hãi.
夏，汉诛梁王彭越，醢之， 盛其醢遍赐诸侯。	Mùa hạ, Hán giết Lương Vương Bành Việt, ướp muối, đem thịt đó ban cho chư hầu.
至淮南，淮南王方猎，见醢，因大恐，阴令人部聚 兵，候伺旁郡警急。	Đến Hoài Nam, Hoài Nam vương đang đi săn, thấy thịt ướp, cả sợ, ngầm sai người tập hợp quân, chờ xem động thái các quận lân cận.
姬侍王，从容语次，誉赫长者也。	Người thiếp hầu bên Hoài Nam vương, nhân lúc trò chuyện, khen Hách là bậc trưởng giả.
王怒曰：“汝安从知之？”	Hoài Nam vương giận nói: “Sao ngươi lại biết?”
王疑其与乱。	Hoài Nam vương ngờ họ dâm loạn.
布使人追，不及。	Bố sai người đuổi theo, không kịp.
赫至，上 变，言布谋反有端，可先未发诛也。	Hách đến, tấu sự biến, nói Bố có ý mưu phản, khi chưa làm phản nên biết trước đi.
上读其书，语萧相国。	Hoàng thượng đọc thư Hách, nói với Tiêu tướng quốc.
相国 曰：“布不宜有此，恐仇怨妄诬之。请击赫，使人微 验淮南王。”	Tướng quốc rằng: “Bố chưa chắc làm thế, e vì thù oán vu xằng cho Bố. Xin trói Hách, sai người ngầm thăm dò Hoài Nam vương.”
淮南王布见赫以罪亡，上变，固已疑其言国 阴事；汉使又来，颇有所验，遂族赫家，发兵反。	Hoài Nam vương Bố thấy Hách vì tội bỏ trốn, tâu sự biến, vốn nghi Hách nói việc bí mật trong nước; sứ Hán lại đến, tỏ ý dò xét, bèn giết cả họ nhà Hách, phát binh làm phản.
反书闻，上乃赦贲 赫，以为将军。	Thư báo truyền đến, hoàng thượng xá tội cho Hách, phong làm tướng quân.
上召诸将问曰：“布反，为之柰何？”	Hoàng thượng triệu các tướng đến hỏi: “Bố làm phản, phải làm thế nào?”
皆曰；“发兵击之，阬竖 子耳。何能为乎！”	Đều nói: “Đem quân đến đánh, chôn sống thằng nhãi ấy, còn làm gì nữa!”
令尹曰：“是故当 反。”	Lệnh doãn đáp: “Phản là đương nhiên.”
滕公曰：“上裂地而王之，疏爵而贵之， 南 面而立万乘之主，其反何也？”	Đằng công hỏi: “Hoàng thượng cắt đất phong hắn làm vương, ban tước khiến được tôn quý, quay mặt về nam làm chúa nước vạn cỗ xe, sao lại làm phản?”
令尹曰：“往年杀彭越，前年杀韩 信，此三人者，同功一 体之人也。自疑祸及身，故反耳。”	Lệnh doãn đáp: “Năm rồi giết Bành Việt, năm ngoái giết Hàn Tín, ba người đó, công lao ngang nhau. Ông ta nghĩ họa đến mình, cho nên làm phản.”
滕公言之上曰：“臣客故楚令尹 薛公者，其人有筹筴之计，可问。”	Đằng công nói với hoàng thượng: “Khách của thần là Tiết công, trước đây làm Lệnh doãn nước Sở, người này có kế sách, có thể hỏi ông ta.”
上乃召见问薛公。	Hoàng thượng bèn triệu kiến để hỏi Tiết Công.
薛公对 曰：“布反不足怪也。使布出於上计， 山东非汉之有也；出於中 计，胜败之数未可知也 ；出於下计，陛下安枕而卧矣。”	Tiết công đáp: “Bố làm phản không có gì lạ. Giả sử Bố đưa ra kế hay, Sơn Đông không còn của Hán nữa; đưa ra kế thường, thắng bại chưa rõ thế nào; đưa ra kế dở, bệ hạ kê cao gối mà nằm vậy.”
上 曰：“何谓上计？”	Hoàng thượng hỏi: “Sao gọi là kế hay?”
令尹对曰：“东取吴， 西取楚，并齐取鲁，传檄燕、赵， 固守其所，山东非汉之有也。”	Lệnh doãn đáp: “Đông lấy Ngô, tây lấy Sở, cùng Tề chiếm Lỗ, truyền hịch Yên, Triệu; giữ vững đất của mình, Sơn Đông không phải của Hán nữa.”
“何谓中计？”	Hỏi: “Sao gọi là kế thường?”
“东取吴，西取楚， 并韩取魏，据敖庾之粟， 塞成皋之口，胜败之数未可知也。”	Đáp: “Đông lấy Ngô, tây lấy Sở, cùng Hàn lấy Ngụy, chiếm kho lương ở đất Ngao, chọn cửa ải Thành Cao, thắng bại chưa thể biết được.”
上曰：“是计将安 出？”	Hoàng thượng hỏi: “Hắn sẽ đưa ra kế nào?”
上曰：“何谓废上中计而出下 计？”	Hoàng thượng hỏi: “Sao lại bỏ kế hay và kế thường, đưa ra kế dở?”
令尹曰：“布故丽山之徒也，自致万乘之主，此皆为身，不顾 後为百姓万世虑者也，故曰出下计。”	Lệnh doãn đáp: “Bố vốn là tội đồ đày ra Ly Sơn, tự làm đến vua nước vạn cỗ xe, đều làm vì mình, không nghĩ đến trăm họ muôn đời sau, nên cho rằng sẽ đưa ra kế dở.”
上曰：“善。”	Hoàng thượng nói: “Phải.”
乃立皇子长为淮南王。	Lập hoàng tử Trường làm Hoài Nam vương.
上 遂发兵自将东击布。	Hoàng thượng liền phát binh, đích thân làm tướng sang đông đánh Bố.
布之初反，谓其将曰：“上老矣，厌兵，必不能来。使诸将，诸 将独患淮阴、彭越，今皆已死，馀不足畏也。”	Lúc đầu Bố làm phản, bảo các tướng rằng: “Hoàng thượng già rồi, chán việc dùng binh, ắt không đến đâu. Giả sử các tướng, chỉ lo nhất Hoài Âm, Bành Việt, nay đã chết cả, ngoài ra đều không đáng sợ.”
故遂反。	Nên bèn làm phản.
尽劫其兵，渡淮击楚。	Cướp hết quân binh, qua sông Hoài đánh Sở.
楚发兵与战徐、僮间， 为三军，欲 以相救为奇。	Sở đem quân giao chiến giữa đất Từ đất Đồng, chia quân làm ba cánh, muốn để cứu viện lẫn nhau.
或说楚将曰：“布善用兵，民素畏之。且兵法，诸侯战 其地为散地。 今别为三，彼败吾一军，馀皆走，安 能相救！”	Có người nói tướng Sở rằng: “Bố giỏi dùng binh, dân vốn sợ Bố. Vả binh pháp nói, chư hầu giao chiến trên đất mình dễ tan chạy. Nay chia ba cánh, họ đánh bại một cánh quân ta, các cánh quân còn lại chạy hết, sao có thể cứu viện nhau?”
不听。	Tướng Sở không nghe.
布果破其一军，其二军散走。	Bố quả phá được một cánh, hai cánh còn lại đều chạy.
遂西，与上兵遇蕲西，会甀。	Bố bèn sang tây, gặp quân Hoàng thượng ở đất Trụy, phía tây huyện Kỳ.
布兵精甚，上乃壁庸城，望布 军置陈如项籍军，上恶之。	Quân của Bố rất tinh nhuệ, Hoàng thượng bèn đắp lũy ở Dung Thành. Trông thấy quân Bố bày trận giống quân Hạng Tịch, Hoàng thượng ghét.
与布相望见，遥谓布曰：“何苦而 反？”	Hoàng thượng cùng Bố trông nhau, từ xa hỏi Bố: “Sao phải khổ sở làm phản?”
布曰：“欲为帝耳。”	Bố đáp: “Muốn làm hoàng đế thôi.”
上怒骂之，遂大战。	Hoàng thượng giận, mắng chửi Bố, rồi đại chiến.
布军败走，渡淮， 数止战，不利，与百馀人走江南。 布故与番君婚，以故长沙哀王 使人 绐布，伪与亡，诱走越，故信而随之番阳。	Quân Bố thua chạy, vượt sông Hoài, mấy lần dừng đánh, đều thua, cùng hơn trăm người chạy đến Giang Nam, Bố vốn thông hôn với Phan quân, nhân đó Ai vương ở Trường Sa sai người lừa Bố, vờ cùng chạy trốn, dụ chạy đến đất Việt, vốn tin nên theo đến Bà Dương.
番阳人杀布兹乡 民田舍，遂灭黥布。	Người Bà Dương giết Bố tại ngôi nhà của dân Tư Hương, Kình Bố bị diệt.
立皇子长为淮南王，封贲赫为期思侯， 诸将率多以功封者。	Lập hoàng tử Trường làm Hoài Nam vương, phong Bôn Hách làm Kỳ Tư hầu, các tướng soái phần lớn nhờ công nên được phong.
太史公曰：英布者，其先岂春秋所见楚灭英、六，皋陶之後哉？	Thái sử công bàn rằng: Anh Bố, tổ tiên há phải như sách Xuân thu ghi việc Sở diệt nước Anh, nước Lục, là hậu duệ của Cao Dao chăng?
项氏之所阬杀 人以千万数，而布常为首虐。 功冠诸侯，用此得王，亦不免於身为世 大僇。 祸之兴自爱姬殖，妒媢 生患，竟以灭国！ 九江初筮，当刑而王。	Họ Hạng chôn sống hàng ngàn hàng vạn người, còn Bố đứng đầu bọn bạo ngược, công lao vượt hẳn chư hầu, do thế được phong vương, cũng không tránh được việc bị đời giết chết.
汉元年四月，诸侯皆罢戏下，各就国。	Hán vương năm đầu, tháng Tư, chư hầu đều bãi binh tại đất Hý, thảy về nước phong.
谒者随何进曰：“不审陛下所谓。”	Yết giả là Tùy Hà tiến lên nói: “Không hiểu ý bệ hạ muốn nói.”
阴许畔楚与汉，未 敢泄也。	Ngầm đồng ý phản Sở theo Hán, chưa dám tiết lộ.
出就舍，帐御饮食从官如汉王居，布又 大喜过望。	Ra đến chỗ ở, thấy màn trướng, đồ ăn uống, quan viên tùy tòng đều như chỗ Hán vương ở, Bố lại cả mừng hơn mong đợi.
赫恐，称病。	Hách sợ, cáo ốm.
王愈 怒，欲捕赫。	Vương càng giận, muốn bắt Hách.
赫言变事，乘传诣长安。	Hách nói có sự biến, ngồi xe theo đường dịch trạm đến Trường An.
汝阴侯滕公召故楚令尹问之。	Nhữ Âm hầu Đằng Công triệu viên Lệnh doãn nước Sở trước đây đến hỏi.
“何谓 下计？”	Hỏi: “Sao gọi là kế dở?”
“东取吴，西取下蔡，归重於越，身归长 沙，陛下安枕而卧，汉无事矣。”	Đáp: “Đông lấy Ngô, tây lấy Hạ Thái, coi trọng đất Việt, bản thân về Trường Sa, bệ hạ có thể kê cao gối mà nằm, nhà Hán vô sự.”
令尹对曰：“出下计。”	Lệnh doãn đáp: “Đưa ra kế dở.”
布所幸姬疾，请就医，医家与中大夫贲赫 对门，姬数如医家，贲赫自以 为侍中，乃厚餽遗，从姬饮医家。	Người thiếp được Bố sủng ái mắc bệnh, xin đến thầy thuốc, nhà thầy thuốc đối diện cổng nhà Trung đại phu Phì Hách, người thiếp nhiều lần đến nhà thầy thuốc, Phì Hách tự cho mình là Thị trung, bèn biếu hậu lễ, theo người thiếp đến nhà thầy thuốc uống rượu.
果如薛公筹 之，东击荆，荆王刘贾走死富陵。	Quả như Tiết công trù hoạch, Bố đông đánh đất Kinh, Kinh vương Lưu Giả thua chạy, chết ở Phú Lăng.
身被刑法，何其拔兴之暴也！	Thân bị hành pháp, sao dấy lên nhanh thế?
