韩王信者， 故韩襄王孽孙也， 长八尺五寸。	Hàn vương là Tín, vốn là cháu nội dòng thứ của Hàn Tương vương, mình cao tám thước năm tấc.
及虏臧荼，乃下诏诸将相列侯，择群臣有功者以为燕王。	Đến khi bắt sống Tang Đồ, bèn hạ chiếu phong các tướng văn võ làm liệt hầu, chọn quần thần ai có công cho làm Yên vương.
群臣 知上欲王卢绾，皆言曰：“太尉长安侯卢绾常从平定天下，功最多， 可王燕。”	Quần thần biết Hoàng thượng muốn phong vương cho Lư Oản, đều nói: “Thái úy Trường An hầu Lư Oản thường theo bệ hạ bình định thiên hạ, công cao nhất, đáng được phong Yên vương.”
汉五年八月，乃立虏绾为燕王。	Hán vương năm thứ năm, tháng Tám, bèn lập Lư Oản làm Yên vương.
诸侯王得幸莫如 燕王。	Trong các vương hầu không ai được sủng ái bằng Yên vương.
汉十一年秋，陈豨反代地，高祖如邯郸击豨兵，燕王绾亦击其东 北。	Hán Cao tổ năm thứ mười một, mùa thu, Trần Hy làm phản đất Đại, Cao tổ đến Hàm Đan đánh quân Hy, Yên vương Oản cũng tấn công phía đông bắc.
当是时，陈豨使王黄求救匈奴。	Bấy giờ, Trần Hy sai Vương Hoàng cầu cứu Hung Nô.
燕王绾亦使其臣张胜於匈奴，言 豨等军破。	Yên vương Oản cũng sai bề tôi là Trương Thắng sang Hung Nô, nói quân bọn Hy đã bị phá.
张胜至胡，故燕王臧茶子衍出亡在胡，见张胜曰：“公所 以重於燕者，以习胡事也。燕所以久存者，以诸侯数反，兵连不决 也。今公为燕欲急灭豨等，豨等已尽，次亦至燕，公等亦且为虏矣。 公何不令燕且缓陈豨而与胡和？事宽，得长王燕；即有汉急，可以安 国。”	Trương Thắng đến đất Hồ, con của Yên vương Tang Đồ là Diễn trốn ở đây, thấy Trương Thắng, nói: “Ông sở dĩ được trọng ở Yên, vì hiểu việc người Hồ. Yên sở dĩ tồn tại lâu dài, vì chư hầu nhiều lần phản, dụng binh liên tục không ngừng. Nay ông vì Yên muốn diệt gấp bọn Hy, diệt bọn Hy rồi, kế sẽ đến Yên, bọn ông cũng sắp bị cầm tù thôi. Sao ông không khiến Yên tạm không đánh Trần Hy, giảng hòa với Hồ? Việc thư thả thì Yên vương trị quốc được lâu dài, khiến Hán nguy cấp thì có thể giữ yên được nước.”
张胜以为然，乃私令匈奴助豨等击燕。	Trương Thắng cho là phải, bèn ngầm sai Hung Nô giúp bọn Hy tấn công Yên.
燕王绾疑张胜与胡反， 上书请族张胜。	Yên vương Oản ngờ Trương Thắng cùng Hồ làm phản, dâng thư xin diệt họ Trương Thắng.
胜还，具道所以为者。 燕王寤，乃诈论它人，脱胜家 属，使得为匈奴间，而阴使范齐之陈豨所，欲令久亡， 连兵勿决。	Thắng về nói rõ nguyên do, Yên vương tỉnh ngộ, bèn luận tội kẻ khác, giải thoát người nhà Thắng, cho làm gián điệp giúp Hung Nô, rồi ngầm sai Phạm Tề đến chỗ Trần Hy, muốn giúp tồn tại lâu dài, chinh chiến liên miên không dứt.
汉十二年，东击黥布，豨常将兵居代，汉使樊哙击斩豨。	Hán Cao tổ năm thứ mười hai, sang phía đông đánh Kinh Bố, Hy thường đem quân ra đất Đại, Hán sai Phan Khoái đánh, chém được Hy.
其裨将 降，言燕王绾使范齐通计谋於豨所。	Tỳ tướng của Hy đầu hàng, nói Yên vương Oản sai Phạm Tề đến chỗ Hy bàn mưu kế.
上又 使辟阳侯审食其、御史大夫赵尧往迎燕王，因验问左右。	Hoàng thượng lại sai Tịch Dương hầu Thẩm Tự Cơ, Ngự sử đại phu Triệu Nghiêu đến đón Yên vương, nhân đó thẩm tra tả hữu.
乃遂称病不行。	Bèn thác bệnh không đi.
其左右皆亡匿。	Người hầu cận cũng trốn hết.
语颇泄， 辟阳侯闻之，归具报上，上益怒。	Lời của Oản dần tiết lộ, Tịch Dương hầu nghe được, báo lại hoàng thượng, hoàng thượng càng giận.
又得匈奴降者，降者言张胜亡在匈 奴，为燕使。	Lại có tên Hung Nô đến hàng, nói Trương Thắng trốn ở Hung Nô, làm sứ cho Yên.
使樊哙击燕。	Sai Phan Khoái đánh Yên.
燕王绾悉将 其宫人家属骑数千居长城下，侯伺，幸上病愈，自入谢。	Yên vương Oản đem hết người trong cung cùng gia quyến cưỡi mấy nghìn ngựa đến dưới chân Trường thành, nghe ngóng động tĩnh, mong Hoàng thượng khỏi bệnh, tự vào tạ tội.
四月，高祖 崩，卢绾遂将其众亡入匈奴，匈奴以为东胡卢王。	Tháng Tư, Cao tổ băng hà, Lư Oản bèn đem quân trốn sang Hung Nô, Hung Nô phong là Đông Hồ Lư vương.
绾为蛮夷所侵夺， 常思复归。	Oản bị người man di xâm lấn đánh cướp, thường nghĩ cách về Hán.
居岁馀，死胡中。	Được hơn năm, chết ở đất Hồ.
高后时，卢绾妻子亡降汉，会高后病，不能见，舍燕邸，为欲置 酒见之。 高祖竟崩，不得见。	Thời Cao hậu, vợ con Lư Oản trốn sang hàng Hán, gặp lúc Cao hậu bị bệnh, không gặp được, cho ở công quán kinh đô Yên, muốn sắp đặt tiệc rượu tiếp kiến Cao hậu lại băng hà, không được tiếp kiến.
孝景中六年，卢绾孙他之，以东胡王降， 封为亚谷侯。	Hiếu Cảnh đế năm Trung Nguyên thứ sáu, cháu nội Lư Oản là Đà Chi lấy danh nghĩa Đông Hồ vương đầu hàng, được phong Á Cốc hầu.
陈豨者，宛朐人也， 不知始所以得从。	Trần Hy Trần Hy, người đất Uyển Cù, không biết ban đầu vì sao được theo [Cao tổ].
及高祖七年冬，韩王信反，入匈奴，上至 平城还，乃封豨为列侯， 以赵相国将监赵、代边兵，边兵皆属焉。	Đến Cao tổ năm thứ bảy, mùa đông, Hàn vương Tín làm phản, chạy sang Hung Nô, Hoàng thượng đến Bình Thành rồi về, bèn phong Hy làm liệt hầu, lấy danh nghĩa Tướng quốc nước Triệu giám sát việc quân biên giới đất Triệu và Đại, quân biên giới đều do Hy chỉ huy.
豨还之代，周昌乃求入见。	Hy về đất Đại, Chu Xương bèn xin vào kinh triều kiến.
九月，遂与王黄等反，自立为 代王，劫略赵、代。	Tháng Chín, bèn cùng bọn Vương Hoàng làm phản, tự lập làm Đại vương, đánh cướp xung quanh đất Triệu và Đại.
上闻，乃赦赵、代吏人为豨所诖误劫略者，皆赦之。	Hoàng thượng hay tin, hạ lệnh quan dân Triệu, Đại lầm lỡ theo Hy đánh cướp, đều được tha tội.
上自往，至 邯郸，喜曰：“豨不南据漳水，北守邯郸，知其无能为也。”	Hoàng thượng đích thân đến, tới Hàm Đan, mừng nói: “Hy nam không chiếm Chương Thủy, bắc không giữ Hàm Đan, biết hắn không làm nên trò trống gì.”
赵相奏 斩常山守、尉，曰：“常山二十五城，豨反，亡其二十城。”	Tướng quốc Triệu tâu xin chém Quận thú và Quận ủy Thường Sơn, nói: “Thường Sơn có hai mươi lăm thành, Hy làm phản, bỏ mất hai mươi thành.”
上问 曰：“守、尉反乎？”	Hoàng thượng hỏi: “Quận thú, Quận úy phản à?”
对曰：“不反。”	Đáp: “Không phản.”
上曰：“是力不足也。”	Hoàng thượng nói: “Vì không đủ sức thôi.”
赦 之，复以为常山守、尉。	Xá tội, lại cho làm Quận thú, Quận úy Thường Sơn.
上问周昌曰：“赵亦有壮士可令将者 乎？”	Hoàng thượng hỏi Chu Xương: “Triệu có tráng sĩ có thể sai làm tướng không?”
对曰：“有四人。”	Đáp rằng: “Có bốn người.”
四人谒，上谩骂曰：“竖子能为将 乎？”	Bốn người yết kiến, hoàng thượng khinh mạn mắng: “Nhãi ranh mà có thể làm tướng ư?”
四人惭伏。	Bốn người xấu hổ quỳ sụp.
上封之各千户，以为将。	Hoàng thượng phong mỗi người nghìn hộ, cho làm tướng.
左右谏曰：“从入蜀、 汉，伐楚，功未遍行，今此何功而封？”	Tả hữu can rằng: “Người theo vào Thục, Hán, đánh Sở, có công chưa phong hết, nay đám này có công cán gì mà phong?”
上曰：“非若所知！陈豨 反，邯郸以北皆豨有，吾以羽檄徵天下兵， 未有至者，今唯独邯郸中兵耳。吾胡爱四千户 封四人，不以慰赵子弟！”	Hoàng thượng nói: “Không phải điều các ngươi biết! Trần Hy làm phản, từ Hàm Đan về bắc đều thuộc quyền Hy, ta dùng hịch trưng dụng quan thiên hạ, chưa có ai đến, nay chỉ có quân Hàm Đan thôi. Ta nào tiếc bốn nghìn hộ phong cho bốn người, không thế sao vỗ về con em nước Triệu?”
皆曰：“善。”	Đều nói: “Phải.”
於是上曰：“陈豨将 谁？”	Thế rồi Hoàng thượng hỏi: “Ai làm tướng cho Trần Hy?”
曰：“王黄、曼丘臣，皆故贾人。”	Đáp: “Vương Hoàng, Man Khấu Thần, đều là lái buôn.”
上曰：“吾知之矣。”	Hoàng thượng nói: “Ta biết rồi.”
十一年冬，汉兵击斩陈豨将侯敞、王黄於曲逆下， 破豨将张春於聊城，斩首万 馀。	Năm thứ mười một, mùa đông, quân Hán đánh chém được tướng Hầu Sưởng, Vương Hoàng của Trần Hy dưới thành Khúc Nghịch, đánh bại tướng Trương Xuân của Hy ở Liêu Thành, chém hơn vạn thủ cấp.
太尉勃入定太原、代地。	Thái úy Bột vào bình định Thái Nguyên, đất Đại.
十二月，上自击东垣，东垣不下，卒骂 上；东垣降，卒骂者斩之，不骂者黥之。	Tháng Mười hai, hoàng thượng đích thân đánh Đông Viên, không hạ được, sĩ tốt mắng chửi hoàng thượng. Đông Viên đầu hàng, lính nào mắng chửi bị chém, kẻ nào không chửi bị thích chữ.
更命东垣为真定。	Lại đổi tên Đông Viên thành Chân Định.
王黄、曼 丘臣其麾下受购赏之，皆生得，以故陈豨军遂败。	Thuộc hạ dưới trướng Vương Hoàng, Man Khâu Thần nhận vàng treo thưởng, cả hai đều bị bắt sống, vì thế quân của Trần Hy thua.
上还至洛阳。 上曰：“代居常山北，赵乃从山南有之，远。”	Hoàng thượng về đến Lạc Dương, nói: “Đại ở bắc Thường Sơn, Triệu từ nam Thường Sơn cai quản đất này, quá xa.”
乃 立子恆为代王，都中都， 代、雁门皆属代。	Bèn lập con là Hằng làm Đại vương, đóng đô ở Trung Đô, đất Đại, Nhạn Môn đều thuộc về nước Đại.
太史公曰：韩信、卢绾非素积德累善之世，徼一时权变，以诈力 成功，遭汉初定，故得列地，南面称孤。	Thái sử công bàn rằng: Hàn Tín, Lư Oản không phải hạng tích đức tích thiện đời đời, chỉ là quyền biến nhất thời, dùng sức trá ngụy mà thành công, gặp lúc Hán mới định, nên mới được đất phong, quay mặt về nam xưng “cô”.
陈豨，梁人， 其少时数称慕魏公子；及将军守边，招致宾客而下士，名声过实。	Trần Hy, người nước Lương, lúc trẻ nhiều lần tán dương Ngụy công tử; đến khi cầm quân giữ biên cương, chiêu vời tân khách, khiêm hạ với kẻ sĩ, danh tiếng quá với thực lực.
周 昌疑之，疵瑕颇起，惧祸及身，邪人进说，遂陷无道。	Chu Xương nghi ngờ, tì vết lộ ra, sợ họa đến thân, gian tà dâng lời, sa chỗ vô đạo.
穨当孽孙韩嫣， 贵幸，名富显於当世。	Cháu dòng thứ của Đồi Đương là Hàn Yên, được sủng ái, nổi tiếng giàu sang đương thời.
卢绾亲与高祖太上皇相爱， 及生男，高祖、卢绾同日生，里中持羊酒贺两 家。	Cha Lư Oản và cha Cao tổ rất quý nhau, cùng sinh được con trai, Cao tổ và Lư Oản sinh cùng ngày, trong làng mang dê, rượu chúc mừng hai nhà.
及高祖、卢绾壮，俱学书，又相爱也。	Khi Cao tổ và Lư Oản lớn lên, đều học sách, lại quý mến nhau.
里中嘉两家亲相爱，生子 同日，壮又相爱，复贺两家羊酒。	Trong làng khen hai nhà tương thân tương ái, sinh con cùng ngày, lớn lên quý nhau, lại mang dê rượu chúc mừng hai nhà.
高祖使使召卢绾，绾称病。	Cao tổ sai sứ triệu Lư Oản, Oản cáo ốm.
绾愈恐，闭 匿，谓其幸臣曰：“非刘氏而王，独我与长沙耳。往年春，汉族淮 阴，夏，诛彭越，皆吕后计。今上病，属任吕后。吕后妇人，专欲以 事诛异姓王者及大功臣。”	Oản càng sợ, đóng cửa trốn, bảo bề tôi thân tín rằng: “Không phải họ Lưu mà được phong vương, chỉ ta và Trường Sa vương thôi. Mùa xuân năm ngoái, Hán giết cả họ Hoài Âm hầu; mùa hè, giết Bành Việt, đều là kế của Lã hậu. Nay Hoàng thượng ốm, việc đều giao Lã hậu. Lã hậu là đàn bà, chỉ muốn tìm cớ giết những vương thân khác họ và các đại công thần.”
於是上曰：“卢绾果反矣！”	Thế là Hoàng thượng nói: “Lư Oản phản thật rồi!”
见上，具言豨宾客盛甚，擅兵於外数 岁，恐有变。	Gặp Hoàng thượng, [Xương] nói việc Hy có rất đông tân khách, nắm quân ở ngoài nhiều năm, sợ có biến.
上乃令人覆案豨客居代者财物诸不法事，多连引豨。	Hoàng thượng bèn sai người tra xét của cải cùng việc phi pháp của các tân khách của Hy tại đất Đại, phần nhiều liên quan đến Hy.
豨 恐，阴令客通使王黄、曼丘臣所。	Hy sợ, ngầm sai tân khách đi sứ chỗ Vương Hoàng Man Khâu Thần.
及高祖十年七 月，太上皇崩，使人召豨，豨称病甚。	Đến Cao tổ năm thứ mười, tháng Bảy, Thái thượng hoàng băng hà, sai người triệu Hy, Hy thác bệnh nặng.
乃 各以千金购黄、臣等。	Bèn treo thưởng bọn Hoàng, Thần mỗi người nghìn vàng.
高祖十二年冬，樊哙军卒追斩豨於灵丘。	Cao tổ năm thứ mười hai, mùa đông, quân của Phan Khoái đuổi chém Hy ở Linh Khưu.
内见疑彊大，外倚蛮貊以为 援，是以日疏自危，事穷智困，卒赴匈奴，岂不哀哉！	Trong triều thế lớn nên bị ngờ, bên ngoài dựa man di tiếp viện, vì vậy ngày càng bị xa lánh, tự chuốc lấy nguy hiểm, cùng đường quẫn trí, cuối cùng chạy sang Hung Nô, há không đáng buồn ư!
於戏悲夫！	Ôi chao buồn thay!
卢绾妻亦病死。	Vợ Lư Oản cũng ốm chết.
豨常告归过赵，赵相周昌见豨宾客随之者千馀乘，邯郸官舍皆 满。	Hi từng cáo lão về quê, qua Triệu, Tướng quốc Triệu là Chu Xương thấy tân khách của Hy có hơn nghìn cỗ xe đi theo, ở chật đầy các quan xá Hàm Đan.
