孔子生鲁昌平乡陬邑。	Khổng tử sinh ở ấp Trâu, hương Xương Bình, nước Lỗ.
孔子葬鲁城北泗上， 弟子皆服 三年。	Khổng tử được an táng ở phía trên sông Tứ, phía bắc kinh thành nước Lỗ, học trò đều để tang ba năm.
孔子生鲤，字伯鱼。	Khổng tử sinh ra Lý, tự là Bá Ngư.
伯鱼年五十，先孔子死。	Bá Ngư thọ năm mươi tuổi, chết trước Khổng tử.
伯鱼生伋，字子思，年六十二。	Bá Ngư sinh ra Cấp, tự là Tử Tư, thọ sáu mươi hai tuổi.
子思生白，字子上，年四十七。 子上生求，字子家，年四十五。	Tử Tư sinh ra Bạch, tự là Tử Thượng, thọ bốn mươi bảy tuổi. Tử Thượng sinh ra Cầu, tự là Tử Gia, thọ bốn mươi lăm tuổi.
子家生箕，字子京，年四十六。	Tử Gia sinh ra Cơ, tự là Tử Kinh, thọ bốn mươi sáu tuổi.
子京生穿，字子高，年五十一。 子高 生子慎，年五十七，尝为魏相。	Tử Kinh sinh ra Xuyên, tự là Tử Cao, thọ năm mươi mốt tuổi. Tử Cao sinh ra Tử Thận, thọ năm mươi bảy tuổi, từng làm Tướng quốc nước Ngụy.
子襄生忠，年五十七。	Tử Tương sinh ra Trung, thọ năm mươi bảy tuổi.
余读孔氏书，想见其为人。	Ta đọc sách của họ Khổng, ngỡ như được thấy người.
防山在 鲁东，由是孔子疑其父墓处，母讳之也。	Phòng Sơn ở phía đông nước Lỗ, do đó, Khổng tử không rõ phần mộ của cha mình, bà mẹ tránh nhắc việc đó.
孔子为兒嬉戏，常陈俎豆， 设礼容。	Khổng tử lúc bé chơi đùa, thường bày đồ cúng tế, học các động tác lễ nghi.
孔子母死，乃殡五父之衢， 盖其慎也。	Mẹ Khổng tử chết, bèn tạm quàn ở đường Ngũ Phủ, đó là cách làm thận trọng vậy.
郰人 輓父之母诲孔子父墓，然後往合葬於防焉。	Mẹ của Vãn Phủ ở ấp Trâu nói cho Khổng tử biết phần mộ của cha Khổng tử, sau đó [Khổng tử] chuyển quan tài của mẹ đến hợp táng ở Phòng Sơn.
阳虎绌曰：“季氏飨士， 非敢飨子也。”	Dương Hổ xua đuổi rằng: “Họ Quý thết đãi kẻ sĩ, không dám thết đãi cậu.”
孔子年十七，鲁大夫孟釐子病且死， 诫其嗣懿子曰：“孔丘，圣人之後，灭 於宋。其 祖弗父何始有宋而嗣让厉公。 及正考父佐戴、 武、宣公，三命兹益恭，故鼎 铭云：‘一命而偻，再命 而伛，三命而俯，循墙而 走，亦莫敢余侮。 饘於是，粥於是，以餬余口。’ 其恭如是。吾闻圣人之後，虽不 当世，必有达者。 今孔丘年少好 礼，其达者欤？吾即没，若必师之。”	Khổng tử mười bảy tuổi, đại phu nước Lỗ là Mạnh Hy tử ốm sắp chết, răn bảo con nối dõi là Ý tử rằng: “Khổng Khâu là hậu duệ của thánh nhân, bị nước Tống diệt. Tiên tổ là Phất Phủ Hà ban đầu có nước Tống nhưng nhường nước cho Lệ công. Đến Chính Khảo Phủ phò tá Đái công, Vũ công, Tuyên công, ba lần nhận mệnh mà càng thêm cung kính, cho nên khắc trên vạc rằng: 'Lần thứ nhất nhận mệnh thì cúi mình nhận lấy, lần thứ hai nhận mệnh thì khom mình nhận lấy, lần thứ ba nhận mệnh thì phủ phục mà nhận, men tường mà chạy, cũng không ai dám khinh mạn ta. Nấu cơm bằng vạc này, nấu cháo bằng vạc này, để nuôi miệng ta.' Ông ta cung kính đến như thế đấy. Ta nghe nói hậu duệ của bậc thánh nhân, dẫu không làm vua cũng ắt là bậc thông đạt. Nay Khổng Khâu tuổi còn trẻ mà ham lễ, đó là người thông đạt chăng? Ta chết rồi, con nhất định phải tôn người đó làm thầy.”
及釐子卒，懿子与鲁人南宫敬 叔 往学礼焉。	Đến khi Hy tử chết, Ý tử cùng Nam Cung Kính Thúc người nước Lỗ đến học lễ Khổng tử.
是岁，季武子卒，平子代立。	Năm này, Quý Vũ tử chết, Bình tử lên thay.
已而去鲁，斥乎齐，逐乎宋、卫，困於陈蔡之间，於是反鲁。	Thế rồi rời nước Lỗ, bị bài xích ở Tề, bị xua đuổi ở Tống và Vệ, bị nguy khốn ở khoảng Trần và Sái, rồi lại trở về Lỗ.
孔 子长九尺有六寸，人皆谓之“长人”而异之。	Khổng tử cao chín thước sáu tấc, ai cũng bảo là “người cao” và lấy làm lạ.
鲁复善待，由是反鲁。	Nước Lỗ lại đối đãi tử tế [với Khổng tử], do đó [Khổng tử] trở về Lỗ.
鲁南宫敬叔言鲁君曰：“请与孔子適周。”	Nam Cung Kính Thúc nước Lỗ nói với vua Lỗ rằng: “Xin cho Khổng tử đến nhà Chu.”
鲁君与之一乘车，两马，一竖子俱，適周问 礼，盖见老子云。	Vua Lỗ cho Khổng tử một cỗ xe, hai con ngựa, một tiểu đồng đi theo, đến nhà Chu hỏi về lễ, còn gặp Lão tử.
辞去，而老子送之曰：“吾闻富贵者送人以财， 仁人者送人以言。吾不能富贵，窃仁人之号， 送子以言，曰：‘聪明深察而近於 死者，好议人者也。博辩广大危其身者，发人之恶者也。为人子者毋 以有己， 为人臣者毋以有己。’” 孔子自周反于鲁，弟 子稍益进焉。	Lúc từ biệt lên đường, Lão tử có nói tiễn chân: “Tôi nghe nói người giàu sang dùng của cải tiễn nhau, người có lòng nhân dùng lời nói tiễn nhau. Tôi không phải người giàu sang, trộm gọi là người nhân, dùng lời nói tiễn chân ngài, rằng: 'Kẻ thông minh, suy xét sâu xa thì gần với cái chết, vì thích bàn về người khác. Kẻ biện bác rộng, tài năng quảng đại thì nguy hại đến thân, vì nêu cái xấu của người. Kẻ làm con không biết dựa vào đâu để giữ mình, kẻ làm tôi không biết dựa vào đâu để giữ mình'.” Khổng tử từ nhà Chu trở về nước Lỗ, học trò ngày càng đông.
齐景公与晏婴来適鲁，景 公问孔子曰：“昔秦穆公国小处辟，其霸何也？”	Tề Cảnh công cùng Yến Anh đến nước Lỗ, Cảnh công hỏi Khổng tử rằng: “Trước kia, Tần Mục công đất nước nhỏ bé, ở chốn hẻo lánh, tại sao có thể xưng bá?”
对曰：“秦，国虽 小，其志大；处虽辟，行中正。身举五羖，爵之大 夫，起累绁之中，与语三 日，授之以政。以此取之，虽王可也，其霸小矣。”	Khổng tử đáp: “Tần, nước tuy nhỏ nhưng chí lại lớn, tuy ở chốn hẻo lánh nhưng thi hành chính sự trung chính. [Tần Mục công] đích thân cất nhắc Ngũ Cổ, phong làm đại phu, cất nhắc lên từ cảnh giam cầm, cùng đàm đạo ba ngày, rồi trao cho chính sự. Dựa vào cách đó để có được nhân tài, dẫu xưng vương cũng có thể, chứ xưng bá là còn nhỏ.”
孔子適齐，为高昭子家臣，欲以通乎景公。	Khổng tử sang nước Tề, làm gia thần của Cao Chiêu tử, muốn thông qua [Cao Chiêu tử] để yết kiến cảnh công.
与 齐太师语乐，闻韶音，学之，三月不知肉味， 齐人称之。	[Khổng tử] cùng Thái sư nước Tề bàn về nhạc, nghe nhạc Thiều, học theo, ba tháng không biết mùi thịt, người nước Tề đều khen ngợi.
景公 曰：“善哉！信如君不君，臣不臣，父不父，子不子，虽有粟，吾岂 得而食诸！”	Cảnh công nói: “Phải lắm! Nếu vua không trọn đạo làm vua, bề tôi không trọn đạo làm bề tôi, cha không trọn đạo làm cha, con không trọn đạo làm con, dẫu có thóc, ta há ăn được ư!”
他日又复问政 於孔子，孔子曰：“政在节财。”	Hôm khác, lại hỏi Khổng tử về chính sự, Khổng tử đáp: “Chính sự cốt ở chỗ tiết kiệm của cải.”
晏婴进曰：“夫儒者滑稽而不可轨 法；倨傲自顺，不可以为下；崇丧遂哀，破产厚葬，不可以为俗；游 说乞贷，不可以为国。自大贤之息，周室既衰，礼乐缺有间。 今孔子盛容饰， 繁登降之礼，趋详之节，累世不能殚其学，当年不能究其礼。君欲用 之以移齐俗，非所以先细民也。”	Yến Anh tiến lên tâu: “Xét lẽ, nhà nho giỏi biện bác nhưng không thể đưa vào khuôn phép; kiêu ngạo tự theo ý mình, không thể lấy họ làm tôi thần; coi trọng việc tang ma, thương xót người chết, phá tán gia sản để hậu táng, không thể lấy đó làm phong tục; du thuyết để kiếm ăn, không thể cho họ trị quốc. Từ khi các bậc đại hiền sinh ra, đến khi nhà Chu suy vi, lễ nhạc có bị thiếu khuyết. Nay Khổng tử đề cao nghi dung, phục sức, lên xuống đều theo lễ chế phiền toái, cùng lễ nghi lúc rảo bước, dẫu qua nhiều đời cũng không thể học hết được, lúc này không thể nghiên cứu đến lễ chế của ông ta. Nhà vua muốn dùng Khổng tử để thay đổi phong tục nước Tề, đó không phải điều cần trước tiên để quan tâm đến dân chúng vậy.”
後景公敬见孔子，不问其礼。	Sau đó, Cảnh công vẫn kính cẩn tiếp kiến Khổng tử, nhưng không hỏi về lễ.
异 日，景公止孔子曰：“奉子以季氏， 吾不 能。”	Hôm khác, Cảnh công giữ Khổng tử lại nói: “Phụng sự ngài như cách phụng sự Quý thị, ta không thể làm được.”
齐大夫欲害孔子，孔子闻 之。	Đại phu nước Tề định hại Khổng tử, Khổng tử biết được chuyện đó.
景公曰：“吾老矣，弗能用也。”	Cảnh công nói: “Ta già rồi, không thể dùng được ngài vậy.”
仲尼曰：“以丘所闻，羊也。丘闻之，木石之 怪夔、罔阆， 水之怪龙、罔象， 土之怪坟羊。”	Trọng Ni nói: “Như Khâu được biết, đó là con dê vậy. Khâu nghe nói, vật lạ sinh ra từ cây và đá là giống quỳ và võng lãng; vật lạ sinh ra từ nước là rồng và võng tượng; vật lạ sinh ra từ đất là con phần dương.”
仲尼曰：“禹致群神於会稽山， 防风氏後至，禹杀而戮之， 其节专车，此为大 矣。”	Trọng Ni đáp: “Vua Vũ [nhà Hạ] triệu tập các vị thần đến núi Cối Kê, Phòng Phong thị đến muộn, Vũ giết rồi phơi thây thị chúng, đốt xương của ông ta chở đầy một xe, cho nên xương này mới lớn như vậy.”
吴客曰：“谁为神？”	Khách nước Ngô hỏi: “Ai là thần?”
仲尼曰：“山川之神足以纲纪天下，其 守为神， 社稷为公侯， 皆属於王者。”	Trọng Ni đáp: “Thần núi sông đủ để làm giềng mối cho thiên hạ, người giữ việc thờ cúng núi sông là thần, giữ chỗ thần xã thần tắc là công hầu, đều lệ thuộc vào nhà vua.”
客 曰：“防风何守？”	Khách hỏi: “Phòng Phong giữ việc gì?”
仲尼曰：“汪罔氏之君守封、禺之山， 为釐姓。 在虞、夏、商为汪罔，於周为长翟，今谓之大人。”	Trọng Ni đáp: “Là vua của họ Uông Võng, giữ việc tế thần núi Phong và núi Ngu, họ Hy. Thời Ngu, Hạ, Thương là Uông Võng, đến thời Chu là Trường Địch, nay gọi là Đại Nhân.”
客曰：“人长几何？”	Khách hỏi: “Người cao chừng nào?”
仲尼 曰：“僬侥氏 三尺，短之至也。长者不过十之，数之极也。”	Trọng Ni đáp: “Tộc Tiêu Nghiêu cao ba thước, cực kỳ thấp. Người cao lớn cũng không quá mười lần ba thước, như thế là cao nhất rồi.”
於是吴客曰：“善哉圣 人！”	Thế là khách nước Ngô nói: “Tuyệt thay bậc thánh nhân!”
桓子嬖臣曰仲梁怀，与阳虎有隙。	Bề tôi được Hoàn tử sủng ái là Trọng Lượng Hoài, có hiềm khích với Dương Hổ.
阳虎欲逐怀，公山不狃 止之。	Dương Hổ muốn đuổi Hoài đi, Công Sơn Bất Nữu ngăn Dương Hổ.
其秋，怀益骄，阳虎执怀。	Mùa thu năm ấy, Hoài càng thêm kiêu, Dương Hổ bắt Hoài.
桓子怒，阳虎因囚桓 子，与盟而醳之。	Hoàn tử giận, Dương Hổ nhân đó bỏ tù Hoàn tử, cùng thề ước rồi mới thả.
阳虎由此益轻季氏。	Dương Hổ từ đó càng khinh thường họ Quý.
季氏亦僭於公 室，陪臣执国政，是以鲁自大夫以下皆僭离於正道。	Họ Quý cũng tiếm quyền công thất, các bồi thần nắm chính sự trong nước, vì thế nước Lỗ từ đại phu trở xuống đều tiếm quyền, xa rời chính đạo.
故孔子不仕，退 而脩诗书礼乐，弟子弥众，至自远方，莫不受业焉。	Cho nên Khổng tử không làm quan, lui về tu chỉnh Thi, Thư, Lễ, Nhạc, đệ tử ngày một đông, người từ phương xa tìm đến, không ai không đến theo học [Khổng tử].
定公八年，公山不狃不得意於季氏，因阳虎为乱，欲废三桓之 適，更立其庶孽阳虎素所善者，遂执季桓子。	Định công năm thứ tám, Công Sơn Bất Nữu không được Quý thị tin dùng, thông qua Dương Hổ để làm loạn, muốn phế bỏ dòng đích của Tam Hoàn, đổi lập dòng thứ, là người Dương Hổ vốn thân thiết, [vì thế Dương Hổ] bèn bắt Quý Hoàn tử.
定公九年，阳虎不胜，奔于齐。	Định công năm thứ chín, Dương Hổ thua, chạy sang nước Tề.
公山不狃以费畔季氏，使人召孔子。	Công Sơn Bất Nữu dựa vào thành Phí làm phản họ Quý, sai người triệu Khổng tử đến.
欲往。	Định đi.
孔子曰：“夫召我者岂徒哉？如用我，其为东周 乎！”	Khổng tử nói: “Người ta triệu thầy há chỉ nói suông ư? Nếu dùng ta, sẽ thành nhà Đông Chu chăng!”
然亦卒不行。	Nhưng cuối cùng cũng không đi.
其後定公以孔子为中都宰，一年，四方皆则之。	Về sau, Định công giao Khổng tử làm quan tể ở Trung Đô, được một năm, bốn phương đều noi theo khuôn phép.
由中都宰为司空，由 司空为大司寇。	[Khổng tử] từ chức quan tể Trung Đô làm tới Tư không, từ Tư không rồi làm Đại tư khấu.
夏，齐大夫黎鉏言於景公曰：“鲁用孔丘，其势危齐。”	Mùa hạ, đại phu nước Tề là Lê Sự nói với Cảnh công: “Nước Lỗ dùng Khổng Khâu, tình thế đó có thể nguy hiểm cho Tề.”
乃使使 告鲁为好会，会於夹谷。	Bèn sai sứ báo với Lỗ, gặp mặt để kết giao tại Giáp Cốc.
鲁定 公且以乘车好往。	Lỗ Định công định đi xe đến kết giao hảo.
孔子摄相事，曰：“臣闻有文事者必有武备，有武 事者必有文备。古者诸侯出疆，必具官以从。请具左右司马。”	Khổng tử nắm giữ sự vụ của Tướng quốc, nói: “Thần từng nghe có việc về văn ắt có phòng bị về võ; có việc về võ ắt phải chuẩn bị về văn. Ngày xưa, chư hầu ra khỏi biên giới, nhất định có đủ các quan đi theo. Xin để Tả hữu Tư mã tùy tòng.”
定公 曰：“诺。”	Định công nói: “Được.”
献酬之 礼毕，齐有司趋而进曰：“请奏四方之乐。”	Lễ hiến rượu xong, quan Hữu ty nước Tề rảo bước tiến lên nói: “Xin tấu nhạc bốn phương.”
景公曰：“诺。”	Cảnh công nói: “Được.”
孔子趋而进，历阶 而登，不尽一等，举袂 而言曰：“吾两君为好会，夷狄之乐何为於此！请命有司！”	Khổng tử rảo bước ra phía trước, theo bậc đi lên, không bước qua bậc cuối cùng, nhấc ống tay áo lên nói: “Hai vua ta gặp mặt giao hảo, ở đây tấu nhạc nước Di địch làm gì! Xin hạ lệnh cho Hữu ty!”
有司卻 之，不去，则左右视晏子与景公。	Hữu ty sai họ lui xuống, nhưng họ không đi, thế là các quan hầu cận nhìn Yến tử và Cảnh công.
景公心怍，麾而去之。	Cảnh công trong lòng hổ thẹn, vẫy tay đuổi họ đi.
有顷，齐有 司趋而进曰：“请奏宫中之乐。”	Lát sau, quan Hữu ty nước Tề rảo bước lên nói: “Xin được tấu nhạc trong cung.”
孔子趋而进，历阶而登，不尽一等，曰：“匹夫而营惑 诸侯者罪当诛！请命有司！”	Khổng tử rảo bước tiến lên, bước theo các bậc để lên, nhưng không bước qua bậc cuối cùng, nói: “Lũ thất phu mê hoặc chư hầu, tội đáng giết! Xin hạ lệnh cho quan Hữu ty.”
有司加法 焉，手足异处。	Hữu ty chấp hành theo hình pháp, khiến chúng tay một nơi, chân một nẻo.
景公惧而动，知义不若，归而大恐，告其群臣 曰：“鲁以君子之道辅其君，而子独以夷狄之道教寡人，使得罪於鲁 君，为之柰何？”	Cảnh công sợ, chấn động, biết mình lễ nghĩa không bằng, trở về rất sợ hãi, nói với quần thần rằng: “Nước Lỗ dùng đạo của quân tử để phò tá vua mình, thế mà các ngươi chỉ đem đạo của nước Di địch để dạy quả nhân, khiến đắc tội với vua Lỗ, phải làm thế nào đây?”
有司进对曰：“君子有过则谢以质，小人有过则谢 以文。君若悼之，则谢以质。”	Hữu ty tiến lên thưa: “Quân tử có lỗi thì dùng việc làm thực chất để tạ lỗi, tiểu nhân có lỗi thì dùng hình thức bề ngoài để tạ lỗi. Nếu nhà vua bứt rứt về việc đó thì hãy dùng việc làm thực chất để tạ lỗi.”
於是齐侯乃归所侵鲁之郓、汶阳、龟 阴之田以谢过。	Thế là Tề hầu bèn trả lại ruộng đất đã chiếm ở đất Vận, Vấn Dương, Quy Âm cho Lỗ để tạ lỗi.
定公十三年夏，孔子言於定公曰：“臣无藏甲，大夫毋百雉之 城。”	Mùa hạ năm Định công thứ mười ba, Khổng tử nói với Định công rằng: “Bề tôi thì không tàng trữ vũ khí, đại phu thì thành không quá trăm trĩ.”
季氏将堕费，公山不狃、叔孙辄率费人袭鲁。	Họ Quý định phá tường thành ở ấp Phí, Công Sơn Bất Nữu và Thúc Tôn Triếp [liền] thống lãnh người đất Phí đánh úp Lỗ.
公与三子 入于季氏之宫，登武子之 台。	Lỗ Định công cùng ba họ Quý Tôn, Mạnh Tôn, Thúc Tôn phải chạy vào cung của họ Quý, lên đài Vũ Tử.
费人攻之，弗克，入及公侧。	Người Phí tấn công vào đó, không hạ được, tiến đến bên cạnh chỗ của Định công.
将堕成， 公敛处 父谓孟孙曰：“堕成，齐人必至于北门。且 成，孟氏之保鄣，无成是无孟氏也。我将弗堕。”	Định hủy tường thành ấp Thành, Công Liêm Xử Phủ nói với Mạnh Tôn rằng: “Phá tường thành ấp Thành, người Tề ắt sẽ kéo đến cổng phía bắc. Vả lại ấp Thành là bình phong của họ Mạnh, không có ấp Thành thì không còn họ Mạnh nữa. Ta sẽ không phá tường thành.”
定公十四年，孔子年五十六，由大司寇行摄相事，有喜色。	Định công năm thứ mười bốn, Khổng tử năm mươi sáu tuổi, từ chức Đại tư khấu kiêm nắm quyền Tướng quốc, nét mặt có vẻ mừng.
门人 曰：“闻君子祸至不惧，福至不喜。”	Học trò nói: “Nghe nói người quân tử họa đến không sợ, phúc đến không mừng.”
孔子曰：“有是言也。不 曰‘乐其以贵下人’乎？”	Khổng tử nói: “Có câu nói như thế. Chẳng cũng có câu 'vui vì ở địa vị tôn quý mà khiêm hạ với kẻ dưới' đấy ư?”
於是诛鲁大夫乱政者少正卯。	Thế rồi giết đại phu nước Lỗ làm loạn chính sự là Thiếu Chính Mão.
与闻国政三 月，粥羔豚者弗饰贾；男女行者别於涂；涂不拾遗；四方之客至乎邑 者不求有司，皆予之以 归。	Dự nghe chính sự quốc gia được ba tháng, người bán dê bán lợn không nói thách giá, trai gái đi theo hai lối khác nhau, trên đường không nhặt của rơi, khách bốn phương đến ấp không cần cầu cạnh quan Hữu ty, đều khiến họ cảm thấy như được trở về.
齐人闻而惧，曰：“孔子为政必霸，霸则吾地近焉，我之为先并 矣。盍致地焉？”	Người Tề nghe vậy thì sợ, nói: “Khổng tử nắm chính sự ắt làm nên nghiệp bá, Lỗ xưng bá thì nước ta ở gần, sẽ bị thôn tính trước tiên. Sao không dâng đất cho Lỗ?”
於是选齐国中女子好者八十人，皆衣文衣而舞康乐， 文马三十驷，遗鲁君。	Thế rồi chọn lấy tám mươi mỹ nữ nước Tề, đều mặc y phục sặc sỡ, rồi múa điệu Khang lạc, cùng một trăm hai mươi con ngựa màu lông đẹp, đem tặng vua Lỗ.
子路曰：“夫子可以行矣。”	Tử Lộ nói: “Phu tử nên đi thôi.”
孔子曰：“鲁今且郊，如致膰乎大夫， 则吾犹可以止。”	Khổng tử nói: “Nước Lỗ rày mai sẽ tế giao, nếu vua ban thịt tế cho các đại phu, thì ta còn có thể lưu lại.”
桓子卒受齐女乐，三日 不听政；郊，又不致膰俎於大夫。	Cuối cùng Hoàn tử nhận đội nữ nhạc của nước Tề, ba ngày không nghe chính sự; tế giao xong, lại không ban thịt tế cho các đại phu.
而师己送，曰：“夫子则非罪。”	Sư Dĩ đưa tiễn, nói: “Phu tử không có tội.”
孔子曰：“吾歌 可夫？”	Khổng tử nói: “Ta hát được không?”
歌曰：“彼妇之口，可以出走；彼妇之谒，可以死败。 盖优哉游 哉，维以卒岁！”	Hát rằng: “Miệng người đàn bà kia, có thể làm ta bỏ chạy khỏi nước; việc bái yết của người đàn bà kia, có thể khiến ta phải chết, phải thua. Ngao du, ngao du, cho trọn cuộc đời!”
师己 反，桓子曰：“孔子亦何言？”	Sư Dĩ trở về, Hoàn tử hỏi: “Khổng tử có nói gì không?”
