魏之先，毕公高之後也。	Tổ tiên nước Ngụy là hậu duệ của Tất công Cao.
魏武子以魏诸子 事晋公子重耳。	Ngụy Vũ tử đem các con họ Ngụy phụng sự công tử Trùng Nhĩ nước Tấn.
晋献公之二十一年，武子从重耳出亡。	Tấn Hiến công năm thứ hai mươi mốt, Vũ tử theo Trùng Nhĩ lưu vong nước ngoài.
十九年反，重 耳立为晋文公，而令魏武子袭魏氏之後封，列为大夫，治於魏。	Năm thứ mười chín trở về, Trùng Nhĩ lên ngôi, đó là Tấn Văn công, rồi lệnh cho Ngụy Vũ tử thừa tập tước phong của họ Ngụy, liệt vào hàng đại phu, trị lý nước Ngụy.
魏悼子徙治霍。	Ngụy Điệu tử dời trị sở đến ấp Hoắc.
生魏绛。	[Ngụy Điệu] tử sinh Ngụy Giáng.
魏绛事晋悼公。	Ngụy Giáng phụng sự Tấn Điệu công.
悼公三年，会诸侯。	Điệu công năm thứ ba, hội kiến chư hầu.
悼公弟杨干乱行，魏绛僇辱 杨干。	Em của Điệu công là Dương Can dàn quân rối loạn, Ngụy Giáng giết kẻ hầu của Dương Can để hạ nhục.
悼公怒曰：“合诸侯以为荣，今辱吾 弟！”	Điệu Công giận nói: “Hội họp chư hầu để được vẻ vang, nay lại hạ nhục em ta!”
将诛魏绛。	Định giết Ngụy Giáng.
卒任魏绛政，使和戎、翟， 戎、翟亲附。	Rốt cuộc giao chính sự cho Ngụy Giáng, sai hòa hiếu với người Nhung, Địch, người Nhung người Địch kết thân và quy phụ.
悼公之十一年，曰：“自吾用魏绛，八年之中，九合诸 侯，戎、翟和，子之力也。”	Điệu công năm thứ mười một, Điệu công nói: “Từ khi ta trọng dụng Ngụy Giáng, trong vòng tám năm, chín lần hội họp chư hầu, Nhung, Địch hòa thân, đó là công sức của ông ta vậy.”
赐之乐，三让，然後受之。	Ban nhạc cho, từ chối ba lần, rồi sau mới nhận.
徙治安邑。	Dời trị sở đến An Ấp.
魏绛卒，谥为昭子。	Ngụy Giáng chết, thụy là Chiêu tử.
生魏嬴。 嬴生魏献子。	[Ngụy Giáng] sinh Ngụy Doanh. Doanh sinh Ngụy Hiến tử.
献子事晋昭公。	Hiến tử phụng sự Tấn Chiêu công.
昭公卒而六卿彊，公室卑。	Sau khi Chiêu công chết, Lục khanh hùng mạnh, tông thất nước Tấn suy yếu.
晋顷公之十二年，韩宣子老，魏献子为国政。	Tấn Khoảnh công năm thứ mười hai, Hàn Tuyên tử đã già, Ngụy Hiến tử nắm chính sự trong nước.
晋宗室祁氏、羊舌 氏相恶，六卿诛之，尽取其邑为十县，六卿各令其子为之大夫。	Tông thất nước Tấn là họ Kỳ và họ Dương Thiệt ganh ghét nhau, bị Lục khanh giết, chiếm hết đất phong, lập thành mười huyện, Lục khanh mỗi người đều sai con mình đến làm đại phu ở các huyện đó.
献子 与赵简子、中行文子、范献子 并为晋卿。	Hiến tử cùng Triệu Giản tử, Trung Hàng Văn tử, Phạm Hiến tử đều làm quan khanh ở nước Tấn.
其後十四岁而孔子相鲁。	Mười bốn năm sau Khổng tử làm Tướng quốc nước Lỗ.
後四岁，赵简子以晋阳之乱也，而与 韩、魏共攻范、中行氏。	Bốn năm sau, Triệu Giản tử dùng Tấn Dương để làm loạn, rồi cùng Hàn và Ngụy tấn công họ Phạm và họ Trung Hàng.
魏献子生魏侈。	Ngụy Hiến tử sinh Ngụy Xa.
魏侈与赵鞅共攻范、中 行氏。	Ngụy Xa và Triệu Uởng cùng đánh họ Phạm và họ Trung Hàng.
魏侈之孙曰魏桓子，与韩康子、 赵襄子共伐灭知伯， 分其地。	Cháu nội Ngụy Xa là Ngụy Hoàn tử, cùng Hàn Khang tử và Triệu Tương tử đánh diệt Trí bá, chia nhau đất đai.
桓子之孙曰文侯都。	Cháu nội Hoàn tử là Văn hầu Đô.
魏 文侯元年，秦灵公之元年也。	Ngụy Văn hầu năm thứ nhất, là năm Tần Linh công thứ nhất.
与韩武子、 赵桓子、周威王同时。	Cùng thời với Hàn Vũ tử, Triệu Hoàn tử, Chu Uy vương.
六年，城少梁。	Năm thứ sáu, xây thành ở Thiếu Lương.
十三年，使子击围繁、庞，出其民。	Năm thứ mười ba, sai Tử Kích bao vây đất Phồn và đất Bàng, chuyển dân ở đó đi nơi khác.
十六年，伐 秦，筑临晋元里。	Năm thứ mười sáu, đánh nước Tần, xây thành ở Lâm Tấn và Nguyên Lý.
十七年，伐中山，使子击守之，赵仓唐傅之。	Năm thứ mười bảy, đánh Trung Sơn, sai Tử Kích đóng giữ ở đó, Triệu Thương Đường làm phụ tá.
子方曰：“亦贫贱者骄人耳。夫诸侯而 骄人则失其国，大夫而骄人则失其家。贫贱者，行不合，言不用，则 去之楚、越，若脱鵕然，柰何其同之哉！”	Tử Phương đáp: “Cũng có người nghèo hèn mà kiêu ngạo với người khác vậy. Xét lẽ, chư hầu mà kiêu căng với người thì mất nước, đại phu mà kiêu căng với người thì mất gia ấp. Kẻ nghèo hèn, hành vi không phù hợp, lời nói không được tin dùng thì phải bỏ mà sang nước Sở nước Việt, như là cởi chiếc hài vậy, sao có thể giống người giàu sang được!”
二十二年，魏、赵、韩列为诸侯。	Năm thứ hai mươi hai, Ngụy, Triệu, Hàn được liệt vào hàng chư hầu.
二十四年，秦伐我，至阳狐。	Năm thứ hai mươi tư, Tần đánh Ngụy, kéo quân đến Dương Hồ.
二十五年，子击生子■。	Năm thứ hai mươi lăm, Tử Kích sinh Tử Oanh.
秦尝欲伐魏，或曰：“魏君贤人是礼，国人称 仁，上下和合，未可图也。”	Tần từng định đánh Ngụy, có người nói: “Vua Ngụy đối đãi với người hiền theo lễ, người trong nước khen là có lòng nhân, trên dưới hòa hợp, chưa thể tính chuyện đánh được.”
文侯由此得誉於诸侯。	Vì thế Văn hầu được chư hầu xưng tụng.
文侯曰：“先生临事勿让。”	Văn hầu nói: “Tiên sinh lâm sự chớ có thoái thác.”
文侯曰：“先生就舍，寡人之相 定矣。”	Văn hầu nói: “Xin tiên sinh về phủ, quả nhân đã quyết định chọn ai làm Tướng quốc rồi.”
李克趋而出，过翟璜之家。	Lý Khắc rảo bước ra ngoài, qua nhà Địch Hoàng.
翟璜曰：“今者闻君召先生而卜 相，果谁为之？”	Địch Hoàng hỏi: “Nay nghe nói nhà vua triệu kiến tiên sinh rồi chọn người làm Tướng quốc, rốt cuộc chọn ai?”
李克曰：“魏成子为相矣。”	Lý Khắc đáp: “Ngụy Thành tử làm Tướng quốc.”
翟璜逡巡再拜曰：“璜，鄙人也，失 对，原卒为弟子。”	Địch Hoàng lùi lại vái hai vái nói: “Hoàng là người bỉ lậu, đáp lời thất thố, nguyện suốt đời làm đệ tử của ngài.”
二十六年，虢山崩，壅河。	Năm thứ hai mươi sáu, núi Quốc bị lở, chọn dòng Hoàng Hà.
三十二年，伐郑。	Năm thứ ba mươi hai, đánh Trịnh.
三十五年，齐伐取我襄陵。	Năm thứ ba mươi lăm, Tề đánh chiếm mất Tương Lăng của Ngụy.
三十六年，秦侵我阴晋。	Năm thứ ba mươi sáu, Tần xâm nhập Âm Tấn của Ngụy.
三十八年，伐秦，败我武下，得其将识。	Năm thứ ba mươi tám, đánh Tần, quân Ngụy bị đánh bại ở Vũ Hạ, [Ngụy] bắt được tướng Tần là Thức.
是 岁，文侯卒，子击立，是为武侯。	Năm này, Văn hầu chết, Tử Kích lên thay, đó là Vũ hầu.
魏武侯元年，赵敬侯初立， 公子朔为乱，不胜，奔魏，与魏袭邯 郸，魏败而去。	Ngụy Vũ hầu năm thứ nhất, Triệu Kính hầu mới lên ngôi, công tử Sóc làm loạn, không thắng, chạy sang Ngụy, cùng Ngụy đánh úp Hàm Đan, quân Ngụy thua rồi rút.
二年，城安邑、王垣。	Năm thứ hai, xây thành ở An Ấp và Vương Viên.
七年，伐齐，至桑丘。	Năm thứ bảy, đánh Tề, kéo đến Tang Khâu.
九 年，翟败我于澮。	Năm thứ chín, quân Địch đánh bại quân Ngụy ở bên sông Khoái.
齐威 王初立。	Tề Uy vương mới lên ngôi.
十一年，与韩、赵三分晋地，灭其後。	Năm thứ mười một, cùng Hàn và Triệu chia đất Tấn làm ba phần, diệt hậu duệ nước Tấn.
十三年，秦献公县栎阳。	Năm thứ mười ba, Tần Hiến công đặt huyện Lịch Dương.
十五年，败赵北蔺。	Năm thứ mười lăm, đánh bại quân Triệu ở Bắc Lân.
十六年，伐楚，取鲁阳。	Năm thứ mười sáu, đánh Sở, chiếm được Lỗ Dương.
武侯卒， 子■立，是为惠王。	Vũ hầu chết, Tử Oanh lên thay, đó là Huệ vương.
惠王元年，初，武侯卒也，子■与公中缓争为太 子。	Huệ vương năm thứ nhất, trước đây, Ngụy Vũ hầu chết, Tử Oanh cùng Công Trọng Hoãn tranh làm Thái tử.
公孙颀自宋入赵，自赵入韩，谓韩懿侯 曰：“魏■与公中缓争为太子， 君亦闻之乎？今魏■得王错， 挟上党，固半国也。因而除之， 破魏 必矣，不可失也。”	Công Tôn Kỳ từ Tống sang Triệu, từ Triệu sang Hàn, nói với Hàn Ý hầu rằng: “Tử Oanh ở Ngụy tranh làm Thái tử với Công Trọng Hoãn, nhà vua có nghe việc ấy chăng? Nay Tử Oanh được Vương Thác [phụ tá], có đất Thượng Đảng, vốn là một nửa nước rồi. Nhân cơ hội này trừ đi, ắt phá được Ngụy, không thể để lỡ.”
懿侯说，乃与赵成侯 合军并兵以伐魏，战于浊泽，魏 氏大败，魏君围。	Ý hầu mừng, bèn cùng Triệu Thành hầu hợp quân để đánh Ngụy, giao chiến ở Trạc Trạch, họ Ngụy đại bại, vua Ngụy bị bao vây.
赵谓韩曰：“除魏君，立公中缓，割地而退，我且 利。”	Triệu hầu nói với Hàn hầu rằng: “Giết vua Ngụy, lập Công Trọng Hoãn, cắt đất rồi lui, ta sẽ được lợi.”
韩曰：“不可。杀魏君，人必曰暴；割地而退，人必曰贪。不 如两分之。魏分为两，不彊於宋、卫，则我终无魏之患矣。”	Hàn hầu nói: “Không được. Giết vua Ngụy, người ta ắt cho là tàn bạo; cắt đất rồi lui, người ta ắt bảo là tham lam. Chẳng bằng chia đôi nước Ngụy. Ngụy bị chia làm hai, không mạnh bằng Tống và Vệ, thì rốt cuộc chúng ta không còn nỗi lo nước Ngụy nữa.”
赵不 听。	Triệu hầu không nghe.
韩不说，以其少卒夜去。	Hàn hầu không vui, ban đêm đem quân của mình rút về.
若从一家之谋，则魏必分矣。	Nếu theo mưu kế của một nhà thì Ngụy ắt bị chia cắt rồi.
故曰“君终无適子，其国可破 也”。	Cho nên nói “Nhà vua chết mà không có con đích [kế thừa], nước có thể bị phá vậy”.
五年，与韩会宅阳。	Năm thứ năm, [Ngụy] cùng Hàn hội kiến ở Trạch Dương.
城武堵。	Xây thành ở Vũ Đổ.
六年，伐取宋仪台。	Năm thứ sáu, đánh chiếm được Nghi Đài của Tống.
九年，伐败韩于澮。	Năm thứ chín, đánh bại Hàn ở sông Khoái.
秦献公卒，子孝公立。	Tần Hiến công chết, con là Hiếu công lên thay.
十年，伐取赵皮牢。	Năm thứ mười, đánh chiếm Bì Lao của Triệu.
十二年，星昼坠，有声。	Năm thứ mười hai, sao rơi giữa ban ngày, phát ra tiếng.
十四年，与赵会鄗。	Năm thứ mười bốn, hội kiến với Triệu ở ấp Hạo.
十六年，与秦孝公会杜平。	Năm thứ mười sáu, hội kiến với Tần Hiếu công tại Đỗ Bình.
十八年，拔邯 郸。	Năm thứ mười tám, hạ được Hàm Đan.
十九年，诸侯围我襄陵。	Năm thứ mười chín, chư hầu bao vây Tương Lăng nước Ngụy.
二十年，归赵邯郸，与盟漳水上。	Năm thứ hai mươi, trả lại Hàm Đan cho Triệu, cùng kết minh trên sông Chương Thủy.
二十一年，与秦会彤。	Năm thứ hai mươi mốt, hội kiến với Tần ấp Đồng.
赵成侯卒。	Triệu Thành hầu chết.
二十八年，齐 威王卒。	Năm thứ hai mươi tám, Tề Uy vương chết.
中山君相魏。	Trung Sơn quân làm Tướng quốc nước Ngụy.
三十年，魏伐赵， 赵告急 齐。	Năm thứ ba mươi, Ngụy đánh Triệu, Triệu cấp báo với Tề.
齐宣王用孙子计，救赵击魏。	Tề Tuyên vương theo kế của Tôn tử, đánh Ngụy để cứu Triệu.
魏遂大兴师，使庞涓将，而令太子 申为上将军。	Ngụy bèn huy động lực lượng lớn, sai Bàng Quyên chỉ huy, rồi lệnh cho Thái tử Thân làm Thượng tướng quân.
客曰：“固原效之。”	Khách đáp: “Vốn muốn dâng lên.”
太子曰：“诺，请必从公之言而还 矣。”	Thái tử đáp: “Phải, xin nghe theo lời ông mà rút về.”
太子因欲还，其御曰：“将出而还，与北同。”	Thái tử nhân đó muốn rút về, người điều khiển chiến xa nói: “Vừa xuất quân mà lại quay về thì xem như thua trận.”
三十一年，秦、赵、齐共伐我， 秦将商君诈我将军公子卬而袭夺其军， 破之。	Năm thứ ba mươi mốt, Tần, Triệu và Tề cùng tấn công nước Ngụy, tướng Tần là Thương quân lừa Tướng quân của Ngụy là công tử Ngang rồi đánh úp cướp lấy quân, phá được quân Ngụy.
秦用商君，东地至河，而齐、赵数破我，安邑近秦，於是徙治 大梁。	Tần trọng dụng Thương quân, đất phía đông của họ đến sông Hoàng Hà, còn Tề và Triệu nhiều lần phá quân Ngụy, An Ấp [nước Ngụy] lại ở gần Tần, thế là bèn dời đô về Đại Lương.
以公子赫为太子。	Lấy công tử Hách làm Thái tử.
三十三年，秦孝公卒，商君亡秦归魏，魏怒，不入。	Năm thứ ba mươi ba, Tần Hiếu công chết, Thương quân trốn khỏi Tần về nước Ngụy, Ngụy giận, không cho vào.
三十五年， 与齐宣王会平阿南。	Năm thứ ba mươi lăm, hội kiến với Tề Tuyên vương ở phía nam Bình A.
孟轲曰：“君不可以言利若是。夫君欲利则大夫欲利，大夫欲 利则庶人欲利，上下争利，国则危矣。为人君，仁义而已矣，何以利 为！”	Mạnh Kha đáp: “Nhà vua không thể nói về lợi như thế. Xét lẽ, nhà vua muốn lợi thì đại phu cũng muốn lợi, đại phu muốn lợi thì dân chúng cũng muốn lợi, trên dưới tranh lợi thì nước nguy mất. Người làm vua, thi hành nhân nghĩa mà thôi, sao phải nói đến lợi!”
三十六年，复与齐王会甄。	Năm thứ ba mươi sáu, lại hội kiến với Tề vương ở ấp Quyên.
是岁，惠王卒， 子襄王立。	Năm này, Huệ vương chết, con là Tương vương lên thay.
襄王元年，与诸侯会徐州，相王也。	Tương vương năm thứ nhất, hội kiến với chư hầu tại Từ Châu, cùng xưng vương.
追 尊父惠王为王。	Truy tôn cha là Huệ vương làm vương.
六年，与秦会应。	Năm thứ sáu, hội kiến với Tần ở ấp Ứng.
魏伐楚，败之陉山。	Ngụy đánh Sở, đánh bại quân Sở ở Hình Sơn.
十二年，楚败我襄陵。	Năm thứ mười hai, Sở đánh bại quân Ngụy ở Tương Lăng.
十三年，张仪相魏。	Năm thứ mười ba, Trương Nghi làm Tướng quốc nước Ngụy.
魏有女子化为丈夫。	Nước Ngụy có người con gái biến thành con trai.
十六年，襄王卒，子哀王立。	Năm thứ mười sáu, Tương vương chết, con là Ai vương lên thay.
六年，秦来立公子政为太子。	Năm thứ sáu, Tần đến [Ngụy] lập công tử Chính làm Thái tử.
与秦会临晋。	Hội kiến với Tần ở Lâm Tấn.
七 年，攻齐。	Năm thứ bảy, tấn công Tề.
与秦伐燕。	Cùng Tần đánh Yên.
八年，伐卫，拔列城二。	Năm thứ tám, đánh Vệ, hạ được hai thành.
卫君曰：“先生果能，孤请世世以卫事先生。”	Vệ quân nói: “Nếu tiên sinh quả có thể làm được, cô xin đời đời đem nước Vệ phụng sự tiên sinh.”
如耳见成陵君 曰：“昔者魏伐赵，断羊肠，拔阏与， 约斩 赵，赵分而为二，所以不亡者，魏为从主也。今卫已迫亡，将西请事 於秦。与其以秦醳卫，不如以魏醳卫，卫之德魏必终无 穷。”	Như Nhĩ bái kiến Thành Lăng quân, nói: “Trước đây, Ngụy đánh Triệu, cắt đứt Dương Trường, hạ Yên Dự, ước định phân cắt Triệu, chia Triệu làm hai phần, sở dĩ Triệu chưa diệt vong, vì Ngụy làm chủ hợp tung. Nay Vệ sắp diệt vong, sẽ hướng sang phía tây để phụng sự nước Tần. So với việc nhờ Tần để giải cứu Vệ, chẳng bằng Ngụy giải cứu cho Vệ, Vệ ắt mãi mãi cảm kích ân đức của Ngụy.”
成陵君曰：“诺。”	Thành Lăng quân nói: “Phải.”
如耳见魏王曰：“臣有谒於卫。卫故周室 之别也，其称小国，多宝器。今国迫於难而宝器不出者，其心以为攻 卫醳卫不以王为主，故宝器虽出必不入於王也。臣窃料之，先言醳卫 者必受卫者也。”	Như Nhĩ yết kiến Ngụy vương, nói: “Thần từng bái kiến vua Vệ. Vệ vốn là chi riêng của vương thất nhà Chu, tuy xưng nước nhỏ nhưng nhiều vật báu. Nay Vệ nguy nan cận kề mà không chịu đưa ra của báu, vì trong lòng họ cho là đánh Vệ hay giải cứu Vệ đều không phải do đại vương làm chủ, cho nên của báu dẫu có đem ra cũng nhất định không dâng cho đại vương. Thần trộm tính là, trước hãy giải cứu Vệ thì sau ắt nhận được của báu của Vệ vậy.”
如耳出，成陵君入，以其言见魏王。	Như Nhĩ ra khỏi cung, Thành Lăng quân vào cung, đem lời Như Nhĩ nói với Ngụy vương.
九年，与秦王会临晋。	Năm thứ chín, [Ngụy] hội kiến với Tần vương ở Lâm Tấn.
昭鱼曰：“吾欲太子 之自相也。”	Chiêu Ngư đáp: “Tôi muốn Thái tử đích thân làm Tướng quốc.”
代曰：“请为君北，必相之。”	Đại nói: “Xin vì ngài mà lên phía bắc, nhất định khiến Thái tử làm Tướng quốc.”
昭鱼曰：“柰何？”	Chiêu Ngư hỏi: “Thuyết phục thế nào?”
对 曰：“君其为梁王，代请说君。”	Đáp rằng: “[Nếu] ngài là Lương Vương, Đại xin thuyết phục ngài.”
对曰：“代也 从楚来，昭鱼甚忧，曰：‘田需死，吾恐张仪、犀首、薛公有一人相 魏者也。’代曰：‘梁王，长主也，必不相张 仪。张仪相，必右秦而左魏。犀首相，必右韩而左魏。薛公相，必右 齐而左魏。梁王，长主也，必不便也。’王曰：‘然则寡人孰 相？’代曰：‘莫若太子之自相。太子之自相，是三人者皆以太子为 非常相也，皆将务以其国事魏，欲得丞相玺也。以魏之彊，而三万乘 之国辅之，魏必安矣。故曰莫若太子之自相也。’”遂北见梁王，以 此告之。	Đáp rằng: “[Sẽ nói]: Đại cũng từ Sở tới, Chiêu Ngư rất lo, nói: 'Điền Nhu chết, ta sợ Trương Nghi, Tê thủ, Tiết công có một người sẽ làm Tướng quốc nước Ngụy.' Đại nói: 'Lương vương là bậc minh chúa hiền đức, nhất định không cho Trương Nghi làm Tướng quốc. Trương Nghi làm Tướng quốc ắt giúp Tần mà không giúp Ngụy. Tê thủ làm Tướng quốc ắt giúp Hàn mà không giúp Ngụy. Tiết công làm Tướng quốc ắt giúp Tề mà không giúp Ngụy. Lương vương là bậc minh chúa hiền đức, nhất định thấy chỗ bất lợi đó vậy.' Lương vương hỏi: 'Vậy thì quả nhân chọn ai là Tướng quốc?' Đại đáp: 'Chẳng ai bằng Thái tử làm Tướng quốc. Thái tử đích thân làm Tướng quốc, ba người kia đều cho là Thái tử không thể làm Tướng quốc mãi, đều ra sức để đất nước họ phụng sự Ngụy, muốn nhờ đó có được ấn tín Thừa tướng vậy. Nhờ sự hùng cường của Ngụy, rồi lại được ba nước vạn cỗ xe phụ giúp, Ngụy ắt được yên. Cho nên nói chẳng ai bằng Thái tử làm Tướng quốc'.” Bèn lên phía bắc yết kiến Lương vương, đem những lời ấy nói với Lương vương.
十年，张仪死。	Năm thứ mười, Trương Nghi chết.
十一年，与秦武王会应。	Năm thứ mười một, hội kiến với Tần Vũ vương ở ấp Ứng.
十二年，太子朝於秦。	Năm thứ mười hai, Thái tử sang triều kiến Tần vương.
十四年，秦来归武王后。	Năm thứ mười bốn, Tần sai người đưa Vũ Vương hậu về [Ngụy].
十六年，秦拔我 蒲反、阳晋、封陵。	Năm thứ mười sáu, Tần hạ được Bồ Bản, Dương Tấn và Phong Lăng nước Ngụy.
十七年，与秦会临晋。	Năm thứ mười bảy, hội kiến với Tần ở Lâm Tấn.
十八 年，与秦伐楚。	Năm thứ mười tám, cùng Tần đánh Sở.
二十三年，秦复予我河外及封陵为和。	Năm thứ hai mươi ba, Tần lại trả Hà Ngoại cùng Phong Lăng cho Ngụy để giảng hòa.
哀王卒， 子昭王立。	Ai vương chết, con là Chiêu vương lên thay.
二年，与秦战，我不利。	Năm thứ hai, giao chiến với Tần, quân Ngụy bất lợi.
芒 卯以诈重。	Mang Mão nhờ gian dối nên được trọng dụng.
七年，秦拔我城大小六十一。	Năm thứ bảy, Tần hạ được sáu mươi mốt thành lớn nhỏ của Ngụy.
十年，齐灭宋，宋王死我温。	Năm thứ mười, Tề diệt Tống, Tống vương chết ở ấp Ôn nước Ngụy.
十二年，与秦、赵、韩、燕共伐 齐，败之济西，湣王出亡。	Năm thứ mười hai, cùng Tần, Triệu, Hàn, Yên đánh Tề, đánh bại quân Tề ở phía tây ấp Tế, Mẫn vương chạy khỏi nước.
与秦王会西周。	Hội kiến với Tần vương ở Tây Chu.
十三年，秦拔我安城。	Năm thứ mười ba, Tần hạ được An Thành nước Ngụy.
十八年，秦 拔郢，楚王徙陈。 十九年，昭王卒，子安釐王立。	Năm thứ mười tám, Tần hạ thành Dĩnh, Sở vương dời đô đến đất Trần. Năm thứ mười chín, Chiêu vương chết, con là An Ly vương lên thay.
三年，秦拔我四城，斩首四万。	Năm thứ ba, Tần hạ được bốn thành của Ngụy, chém bốn vạn thủ cấp.
四年，秦破我及 韩、赵，杀十五万人，走我将芒卯。	Năm thứ tư, Tần đánh phá Ngụy cùng Hàn và Triệu, giết mười lăm vạn người, đuổi tướng Ngụy là Mang Mão phải bỏ chạy.
魏将段干子请予秦南阳 以和。	Tướng Ngụy là Đoàn Can tử đề nghị cắt Nam Dương cho Tần để giảng hòa.
王曰：“是则然 也。虽然，事始已行，不可更矣。”	Ngụy vương nói: “Cái đó hẳn rồi. Thế nhưng, việc đã bắt đầu thi hành, không thể sửa được.”
对曰：“王独不见夫博之所以贵 枭者，便则食，不便则止矣。今王曰‘事始已行，不可更’，是何王 之用智不如用枭也？”	Đại đáp: “Riêng đại vương không thấy nguyên nhân người chơi trò bác hý coi trọng hình chim kiêu [trên quân cờ], tiện thì ăn quân, không tiện thì thôi. Nay đại vương nói việc đã bắt đầu thi hành, không thể sửa được, sao đại vương dùng trí lại không bằng [người chơi đánh bạc] dùng hình chim kiêu vậy?”
九年，秦拔我怀。	Năm thứ chín, Tần hạ được ấp Hoài của Ngụy.
十年，秦太子外质於魏死。	Năm thứ mười, Thái tử nước Tần làm con tin ở nước ngoài chết ở Ngụy.
十一年，秦拔我郪 丘。	Năm thứ mười một, Tần hạ Thê Khâu của Ngụy.
秦昭王谓左右曰：“今时韩、魏与始孰彊？”	Tần Chiêu vương hỏi tả hữu rằng: “Hiện nay Hàn và Ngụy có mạnh hơn so với trước đây không?”
对曰：“不如始 彊。”	Đáp rằng: “Không mạnh bằng trước đây.”
王曰：“今时如耳、魏齐与孟尝、芒卯孰贤？”	Tần vương hỏi: “Hiện nay Như Nhĩ và Ngụy Tề so với Mạnh Thường và Mang Mão, ai giỏi hơn?”
对曰：“不 如。”	Đáp rằng: “Không bằng [Mạnh Thường và Mang Mão].”
王曰：“以孟尝、芒卯之贤，率彊韩、魏以攻秦，犹无柰寡人 何也。今以无能之如耳、魏齐而率弱韩、魏以伐秦，其无柰寡人何亦 明矣。”	Tần vương nói: “Dựa vào sự hiền năng của Mạnh Thường, Mang Mão, thống lãnh Hàn và Ngụy hùng mạnh để tấn công Tần, còn không làm gì được quả nhân. Nay dựa vào những kẻ kém cỏi như Như Nhĩ và Ngụy Tề thống lãnh quân đội của Hàn và Ngụy suy yếu để tấn công Tần, chúng không làm được gì quả nhân lại càng rõ.”
左右皆曰：“甚然。”	Tả hữu đều nói: “Đúng quá.”
