屈原者，名平，楚之同姓也。 为楚怀王左徒。	Khuất Nguyên Khuất Nguyên tên là Bình, cùng họ vua Sở, làm chức Tả đồ thời Sở Hoài vương.
楚人既咎子兰以 劝怀王入秦而不反也。	Người Sở đổ lỗi cho Tử Lan trong việc khuyện Hoài vương sang Tần để rồi không về được.
屈平既嫉之，虽放流，睠顾楚国，系心怀王，不忘欲反，冀幸君 之一悟，俗之一改也。	Khuất Bình ghét việc đó, tuy bị xua đuổi, nhưng luôn nghĩ đến Sở, lòng lo cho Hoài vương, không sao quên được, muốn trở về, hy vọng nhà vua tỉnh ngộ, phong tục được thay đổi.
其存君兴国而欲反覆之，一篇之中三致志焉。	Ông muốn bảo vệ nhà vua, chấn hưng đất nước, nên muốn xoay chuyển cục diện, trong một thiên ba lần nhắc đến chí hướng đó.
然终无可柰何，故不可以反，卒以此见怀王之终不悟也。	Cuối cùng không biết làm sao, nên không thể về được, từ đó có thể thấy sau rốt Hoài vương vẫn không tỉnh ngộ.
人君无愚智 贤不肖，莫不 欲求忠以自为，举贤以自佐，然亡国破家相随属，而圣君治国累世而 不见者，其所谓忠者不忠，而所谓贤者不贤也。	Người làm vua dù tài trí hay ngu muội, hiền năng hay kém cỏi, không ai không muốn có trung thần phụ giúp, cất nhắc người hiền năng phò tá, nhưng chuyện nước mất nhà tan cứ nối tiếp, còn bậc vua thánh trị nước nhiều đời không thấy, vì cái gọi là trung mà không phải trung, cái gọi là hiền mà không phải hiền vậy.
怀王以不知忠臣之 分，故内惑於郑袖，外欺於张仪，疏屈平而信上官大夫、令尹子兰。	Hoài vương không biết trung thần, cho nên trong bị Trịnh Tụ mê hoặc, ngoài bị Trương Nghi dối lừa, xa lánh Khuất Bình, tin tưởng Thượng Quan Đại Phu và Lệnh doãn Tử Lan.
兵挫地削，亡其六郡，身客死於秦，为天下笑。 此不知人之祸也。	Quân thua cắt đất, mất liền sáu quận, thân làm khách rồi chết ở Tần, bị thiên hạ chê cười, là họa của việc không biết người vậy.
易 曰：“井泄不食， 为我心恻， 可以汲。 王明，并受其福。”	[Kinh] Dịch viết: “Giếng trong mà chẳng ăn, để lòng ta thương xót, có thể múc nước mà dùng. Vua sáng, thảy đều được phúc.”
王之不明，岂足福哉！	Vua không sáng, há được phúc ru?
令尹子兰闻之大怒，卒使上官大夫短屈原於顷襄王，顷襄王怒而 迁之。	Lệnh doãn Tử Lan hay chuyện cả giận, sai Thượng Quan Đại Phu bài xích Khuất Nguyên với khoảnh Tương vương, Khoảnh Tương vương giận, đày đi xa.
渔父 见而问之曰：“子非三闾大夫欤？ 何故而至 此？”	Ông chài trông thấy thì hỏi: “Ngài chẳng phải Tam Lư đại phu đấy ư? Sao lại đến nông nỗi này?”
屈原曰：“举世混浊而我独清，众人皆醉而我独醒，是以见 放。”	Khuất Nguyên đáp: “Đời đục cả riêng mình ta trong, người say cả riêng mình ta tỉnh, nên bị xua đuổi.”
渔父曰：“夫圣人者，不凝滞於物而能与世推移。举世混浊， 何不随其流而扬其波？众人皆醉，何不餔 其糟而啜其醨？何故怀瑾握瑜 而自令见放为？”	Ông chài nói: “Bậc thánh nhân, không bị ngưng trệ vào vật mà có thể thay đổi theo đời. Đời đục cả, sao không nương dòng mà dâng sóng? Người say cả, sao không ăn bã húp rượu nhạt? Cớ sao ôm ngọc cẩn, cầm ngọc du, tự khiến người ta đuổi đi?”
乃作怀沙之赋。 其 辞曰： 陶陶孟夏兮，草木莽莽。	Bèn làm bài phú “Hoài sa”, lời như sau: [Phiên âm:] Đào đào mạnh hạ hề, thảo mộc mãng mãng.
玄文幽处 兮，矇谓之不章； 离娄微睇兮，瞽以为无明。	Huyền văn u xứ hề, mông vị chi bất chương; Ly Lâu vị đệ hề, cổ dĩ vị vô minh.
变白而为黑兮，倒上以 为下。	Biến bạch nhi vi hắc hề, đảo thượng dĩ vi hạ.
文质疏内兮，众不知吾之异采； 材朴委积兮，莫知余之所有。	Văn chất sơ nội hề, chúng bất tri ngô chi dị thái; Tài phác ủy tích hề, mạc tri dư chi sở hữu.
重仁袭义兮， 谨厚以为丰；重华不可牾兮， 孰知余之从容！	Trọng nhân tập nghĩa hề, cẩn hậu dĩ vi phong; Trùng Hoa bất khả ngộ hề, thục tri dư chi thung dung!
古固有不并兮，岂知其故也？	Cổ cố hữu bất tịnh hề, khởi tri kỳ cố dã?
汤禹久远兮，邈不可慕也。	Thang, Vũ cửu viễn hề, mạc bất khả mộ dã.
惩违改忿兮，抑心 而自彊；离湣而不迁兮，原志之有象。	Trừng vi cải phẫn hề, ức tâm nhi tự cường; Ly mẫn nhi bất thiên hề, nguyện chí chi hữu tượng.
世既莫吾知兮，人心不可谓兮。	Đời đã chẳng biết ta chừ, lòng người chẳng thể nói chừ.
定心广志，馀何畏 惧兮？	Định tâm lập chí, còn chi lo sợ chừ?
世溷不吾知，心不可谓兮。	Đời đục chẳng biết ta, lòng không thể dò chừ.
知死不可让兮，原勿爱 兮。	Biết chết không thể tránh chừ, xin chớ tiếc chừ.
於是怀石遂自汨罗以死。	Thế rồi ôm đá tự trầm mà chết ở sông Mịch La.
屈原既死之後，楚有宋玉、唐勒、景差 之徒者，皆好辞而以 赋见称；然皆祖屈原之从容辞令，终莫敢直谏。	Sau khi Khuất Nguyên chết, Sở có bọn Tống Ngọc, Đường Lặc, Cảnh Sai, đều thích văn từ, nổi tiếng thi phú, tuy đều theo ngôn từ uyển chuyển hàm súc của Khuất Nguyên, song rốt cuộc không ai dám thẳng thắn can gián.
其後楚日以削，数十 年竟为秦所灭。	Về sau, Sở ngày càng yếu, mấy chục năm nữa thì bị Tần diệt.
贾生名谊，雒阳人也。	Giả Nghị Giả sinh tên là Nghị, người Lạc Dương.
年十八，以 能诵诗属书闻於郡中。	Mười tám tuổi, làu thông thi thư, nổi tiếng khắp quận.
孝文皇帝初立，闻河南守吴公 治平为天下第一，故与李斯同邑而常学事焉，乃徵为廷尉。	Lúc Hiếu Văn hoàng đế mới lên ngôi, nghe nói Thái thú Hà Nam Ngô công giỏi cai trị bậc nhất thiên hạ, vốn là đồng hương với Lý Tư nên thường theo học, bèn trưng dụng làm Đình úy.
文帝召以为博士。	Văn đế triệu vào triều cho làm quan Bác sĩ.
每诏令议下，诸老先生不能言，贾 生尽为之对，人人各如其意所欲出。	Mỗi khi chiếu lệnh nghị bàn, các lão tiên sinh không biết trả lời ra sao, Giả sinh ứng đối được hết, ai nấy đều thấy giống ý mình muốn nói.
孝 文帝说之，超迁，一岁中至太中大夫。	Hiếu Văn để yêu quý, cất nhắc vượt cấp, trong một năm lên đến chức Thái trung đại phu.
贾生以为汉兴至孝文二十馀年，天下和洽，而固当改正朔，易服 色，法制度，定官名，兴礼乐，乃悉草具其事仪法，色尚黄，数用 五，为官名，悉更秦之法。	Giả sinh cho nhà Hán hưng khởi tính đến Hiếu Văn đế đã hơn hai mươi năm, thiên hạ hòa hợp, cần thay lịch pháp, đổi màu sắc phục, định rõ pháp chế, xác lập chức quan, chấn hưng lễ nhạc, bèn thảo hết thảy nghi thức, pháp độ, màu chuộng vàng, dùng số năm, định rõ tên các chức quan, thay đổi toàn bộ pháp độ của triều Tần.
诸律令所更定，及列侯悉就国，其说皆自 贾生发之。	Việc thay đổi và chế định luật lệnh, cùng quy định bắt các chư hầu thảy đều phải đến nước phong, chủ trương đều do Giả sinh đề xuất.
於是天子议以为贾生任公卿之位。	Thế nên thiên tử nghị bàn, cho Giả sinh ở tước vị công khanh.
绛、灌、东阳侯、冯敬 之属尽害之， 乃短贾生曰：“雒阳之人，年少初学，专欲擅权，纷乱诸 事。”	Bọn Giang, Quán, Đông Dương hầu, Phùng Kính thảy đều ganh ghét, bèn gièm Giả sinh rằng: “Người ở Lạc Dương, tuổi nhỏ học sơ, ý muốn chuyên quyền, làm rối mọi sự.”
於是天子後亦疏之，不用其议，乃以贾生为长沙王太傅。	Vì thế, thiên tử sau cũng xa lánh, không theo kiến nghị của Giả sinh, rồi cho Giả sinh làm Thái phó cho Trường Sa vương.
贾生既辞往行，闻长沙卑湿，自以寿不得长，又以適去， 意不自得。	Giả sinh từ biệt lên đường, nghe nói Trường Sa trũng ẩm, tự cho mình thọ không được lâu, lại bị biển trích đến đó, trong lòng không vui.
侧闻屈原 兮，自沈汨罗。	Trắc văn Khuất Nguyên hề, tự trầm Mịch La.
讯曰： 已矣， 国其莫我知，独堙郁兮其谁语？	Tấn viết: Dĩ hĩ, quốc kỳ mạc ngã tri, Độc nhân uất hề kỳ thùy ngữ?
凤漂漂 其高遰兮，夫固自缩而远去。	Phượng phiêu phiêu kỳ cao thệ hề, Phù cố tự súc nhi viễn khứ.
所贵圣人之神德兮，远浊世而自藏。	Sở quý thánh nhân chi thần đức hề, Viễn trọc thế nhi tự tàng.
楚人命鸮曰“服”。	Người Sở gọi con quạ là “phục”.
曰“野 鸟入处兮，主人将去”。	Viết: “Dã điểu nhập xứ hề, chủ nhân tương khứ.”
服 乃叹息，举首奋翼，口不能言，请对以意。	Phục nãi thán tức, cử thủ phấn dực, Khẩu bất năng ngôn, thỉnh đối dĩ ý.
命不可说兮，孰知其极？	Mệnh bất khả thuyết hề, thục tri kỳ cực?
天不可与虑 兮，道不可与谋。	Thiên bất khả dữ lự hề, đạo bất khả dữ mưu.
且夫天地为炉兮，造化为工；阴阳为炭兮，万物 为铜。	*** Thả phù thiên địa vị lô đề, tạo hóa vi công; Âm dương vị thán hề, vạn vật vị đồng.
小知 自私兮，贱彼贵我；通人大 观兮，物无不可。	Tiểu tri tự tư hề, tiện bỉ quý ngã; Thông nhân đại quan hề, vật vô bất khả.
述迫之徒兮，或趋西东； 大人不曲兮， 亿变齐同。	Truột bách chi đồ hề, hoặc xu tây đông; Đại nhân bất khúc hề, ức biến tề đồng.
其生若浮兮，其死若休； 澹乎若深渊之静，氾乎若不系之舟。	Sống tựa nổi trôi chừ, chết như ngơi nghỉ. Bình lặng như vực tĩnh thẳm sâu chừ, Nổi trội như con thuyền không buộc.
不以生 故自宝兮，养空而浮； 德人无累 兮，知命不忧。	Không vì sống mà thấy quý chừ, chuộng rỗng mà nổi. Có đức không lụy chừ, biết mệnh không lo.
後岁馀，贾生徵见。	Hơn một năm sau, Giả sinh được triệu kiến.
上因感鬼神事，而问鬼神之 本。	Vua nhân cảm kích việc quỷ thần, bèn hỏi về gốc của quỷ thần.
既罢，曰：“吾久 不见贾生，自以为过之，今不及也。”	Tiếp kiến xong, Văn đế nói: “Ta lâu không gặp Giả sinh, tự cho mình giỏi hơn, nay mới hay là không bằng.”
居顷之，拜贾生为梁怀王太 傅。	Không lâu sau, phong Giả sinh làm Thái phó cho Lương Hoài vương.
梁怀王，文帝之少子，爱，而好书，故 令贾生傅之。	Lương Hoài vương là con nhỏ của Văn đế, được sủng ái, thích sách vở, nên Văn đế sai Giả sinh làm thầy dạy.
文帝复封淮南厉王子四人皆为列侯。	Văn đế lại phong bốn người con của Hoài Nam Lệ vương đều được tước hầu.
贾生谏，以为患之兴自此起 矣。	Giả sinh can, cho là họa dấy từ đấy.
贾生数上疏，言诸侯或连数郡，非古之制，可稍削之。	Giả sinh nhiều lần dâng sớ, nói có chư hầu được phong liền mấy quận, đó không phải chế độ thời cổ, có thể bớt đi.
文帝不 听。	Văn đế không nghe.
居数年，怀王骑，堕马而死，无 後。	Được mấy năm, Hoài vương cưỡi ngựa, ngã ngựa chết, không người nối dõi.
贾生之死时年三十三矣。	Giả sinh chết khi ba mươi ba tuổi.
及孝文崩，孝武皇帝立，举贾生之孙二人至郡守，而贾嘉最好学，世 其家，与余通书。	Đến khi Hiếu Văn đế băng hà, Hiếu Vũ hoàng đế lên ngôi, cất nhắc hai cháu nội của Giả sinh làm đến Quận thú, trong đó Giả Gia ham học nhất, kế thừa gia nghiệp, có thư qua lại với ta.
適长沙，观 屈原所自沈渊， 未尝不垂涕，想见其为人。	Đến Trường Sa, xem nơi Khuất Nguyên tự trầm, chưa từng không sa nước mắt, ngỡ như thấy người xưa.
及见贾生吊之，又 怪屈原以彼其材，游诸侯，何国不容，而自令若是。 读服乌赋，同死 生，轻去就，又爽然自失矣。 屈平行正，以事怀王。 瑾瑜比洁，日月争光。	Đến khi xem lời Giả sinh điếu, lại thấy lạ vì với tài như Khuất Nguyên, du thuyết chư hầu, nước nào chẳng dung, đâu đến nỗi thế?
秦发兵击之，大 破楚师於丹、淅， 斩首八万，虏楚 将屈匄，遂取楚之汉中地。	Tần phát binh đánh Sở, cả phá quân Sở ở sông Đan, sông Tích, chém tám vạn thủ cấp, bắt sống tướng Sở là Khuất Cái, chiếm đất Hán Trung của Sở.
怀王稚子子兰劝王行：“柰何绝秦欢！”	Con nhỏ của Hoài vương là Tử Lan khuyên đi: “Sao có thể khiến Tần không vui.”
亡走赵，赵不内。	Trốn sang Triệu, Triệu không chứa.
长子顷襄王立，以其弟子兰为令尹。	Con trưởng là Khoảnh Tương vương lên ngôi, phong cho em là Tử Lan làm Lệnh doãn.
屈原曰：“吾闻之，新沐者必弹冠，新浴 者必振衣，人又谁能以身之察察，受物之汶 汶者乎！ 宁赴常流而葬乎江鱼腹中耳，又安能以皓皓之白 而蒙世俗之温蠖乎！”	Khuất Nguyên đáp: “Ta nghe nói, người mới gội đầu ắt phủi mũ, người mới tắm ắt phủi quần áo, con người đâu chịu đem tấm thân trong sạch cho vật làm nhơ bẩn đâu! Thà gieo mình xuống sông, chôn thây bụng cá chứ không để phẩm cách thanh cao bị đời vấy bẩn!”
夫党人之鄙妒兮，羌不知吾所臧。	Phù đảng nhân chi bỉ đố hề, khương bất tri ngô sở tang.
自屈原沈汨罗後百有馀年，汉有贾生，为长沙王太傅，过湘水， 投书以吊屈原。	Hơn trăm năm từ sau khi Khuất Nguyên tự trầm ở sông Mịch La, nhà Hán có Giả sinh, làm Thái phó cho Trường Sa vương, qua Tương Thủy, viết văn ném xuống sông để điếu Khuất Nguyên.
廷尉 乃言贾生年少，颇通诸子百家之书。	Đình úy bèn nói Giả sinh tuổi trẻ, tinh thông các sách của bách gia chư tử.
及渡湘水，为赋以吊屈原。 其辞 曰： 共承嘉惠兮，俟罪长沙。	Đến khi qua sông Tương Thủy, làm bài phú điếu Khuất Nguyên, lời như sau: [Phiên âm:] Cộng thừa gia huệ hề, sĩ tội Trường Sa.
请问于服兮： “予去何之？吉乎告我，凶言其菑。 淹数之度兮，语予其期。”	Thỉnh vấn vu phục hồ: “Dư khứ hà chi? Cát hồ cáo ngã, hung ngôn kỳ tai. Yêm số chi độ hề, ngữ dư kỳ kỳ.”
夫祸之与福兮，何异纠纆。	Phù họa chi dữ phúc hề, hà dị củ triền.
至孝昭时，列为九卿。	Đến thời Hiếu Chiêu đế, được liệt vào hàng Cửu khanh.
伤怀永哀兮，汩徂南土。	Thương hoài vĩnh ai hề, cốt tồ nam thổ.
眴兮窈窈， 孔静幽墨。	Huyễn hề yểu yểu, khổng tĩnh u mặc.
冤结纡轸兮，离愍之长鞠； 抚情效志兮，俯诎 以自抑。	Oan kết vu chẩn hề, ly mẫn chi trường cúc; Phủ tình hiệu chí hề, phủ truất dĩ tự ức.
刓方以为圜兮，常度未替； 易初本由兮，君子所鄙。	*** Ngoan phương dĩ vi viên hề, thường độ vị thế; Dịch sơ bản do hề, quân tử sở bỉ.
章画职墨兮，前度未改； 内直质重兮，大人所盛。	Chương hoạch chức mặc hề, tiến độ vị cải; Nội trực chất trong hề, đại nhân sở thịnh.
巧匠不斫兮，孰察其揆正？	Xảo tượng bất chước hề, thục sát kỳ quỹ chính?
任重载盛兮，陷滞而不济； 怀瑾握瑜兮，穷不得余所示。	*** Nhậm trọng tải thịnh hề, hãm trệ nhi bất tế; Hoàn cẩn ác du hề, cùng bất đắc dư sở thị.
怀情抱质兮，独 无匹兮。	Ôm ấp nỗi niềm chừ, riêng khôn sánh chừ.
人生 禀命兮，各有所错兮。	Nhân sinh có mệnh chừ, thảy có sắp đặt chừ.
曾伤爰哀，永叹喟兮。	Đau thương chồng chất, mãi thở than chừ.
呜呼哀哉，逢时不祥！	Ô hô ai tai, phùng thì bất tường!
章甫荐屦兮， 渐不可久；嗟苦先生兮， 独离此咎！	Chương phủ tiến lũ hề, tiệm bất khả cửu; Ta khổ tiên sinh hề, độc ly thử cữu!
弥 融爚以隐处兮， 夫岂从螘与蛭螾？	Di dung được dĩ ẩn xứ hề, Phù khởi tòng nghĩ dữ điệt dẫn?
贾生既以適居长沙，长沙卑湿，自以为寿不 得长，伤悼之，乃为赋以自广。 其辞 曰： 单阏之岁兮， 四月孟夏，庚子 日施兮，服集予舍， 止于坐隅，貌甚间暇。	Giả sinh đã bị biếm trích đến Trường Sa, Trường Sa ẩm thấp, tự cho mình sống không được thọ, bi thương ai oán, bèn làm phú để tự khuây, lời phú như sau: [Phiên âm:] Đan át chi tuế hề, tứ nguyệt mạnh hạ, Canh Tý nhật thi hề, phục tập dư xá, Chỉ vu tọa ngung, mạo thậm nhàn hạ.
异物来集兮，私怪 其故，发书占之兮，筴言其度。	Dị vật lai tập hề, tư quái kỳ cố, Phát thư chiêm chi hề, sách ngôn kỳ độ.
斡流而迁兮， 或推而还。	Oát lưu nhi thiên hề, hoặc thôi nhi hoàn.
忽然为人兮，何足控抟； 化为异物 兮，又何足患！	Hốt nhiên vi nhân hề, hà túc khống bác; Hóa vi dị vật hề, hựu hà túc hoạn!
拘士系俗兮，羖如囚拘； 至人遗物兮，独与道俱。	Câu sĩ hệ tục hề, hoản như tù câu; Chí nhân di vật hề, độc dữ đạo câu. Chúng nhân hoặc hoặc hề, hiếu ổ tích ý; Chân nhân đàm mạc hà, độc dữ đạo tức. Thích trí di hình nề, siêu nhiên tự táng; Liêu khoách hốt hoang hề, dữ đạo cao tường. Thừa lưu tắc thể hề, đắc để tắc chỉ; Túng khu ủy mệnh hề, bất tư dữ kỷ.
细故䎬粦兮，何足以疑！	Vướng vất nhỏ bé chừ, sao đủ để nghi.
至夜半，文帝前席。	Đến nửa đêm, Văn để tiến đến trước chiếu.
凤皇在笯兮， 鸡雉翔舞。	Phượng hoàng tại nô hề, kê trĩ tường vũ.
同糅玉石兮，一■而 相量。	Đồng nhu ngọc thạch hề, nhất khái nhi tương lượng.
邑犬群吠兮，吠所怪也；诽骏疑桀兮，固庸 态也。	Ấp khuyển quần phệ hề, phệ sở quái dã; Phỉ tuấn nghi kiệt hề, cố dung thái dã.
进路 北次兮，日昧昧其将暮；含忧虞哀兮， 限之以大故。	Tiến lộ bắc thứ hề, nhật muội muội kỳ tương mộ; Hàm ưu ngu ai hề, hạn chi dĩ đại cố.
乱曰： 浩浩沅、湘兮， 分流汨兮。	Loạn viết: Hạo hạo Nguyên, Tương hề, phân lưu cốt hề. Tu lộ u phất hề, đạo viễn hốt hề.
伯乐既殁兮，骥将焉程兮？	Bá Nhạc đã chết chừ, ký ruổi được chăng chừ?
于嗟嚜嚜兮，生 之无故！	Hu ta mặc mặc hề, sinh chi vô cố!
使骐骥可 得系羁兮，岂云异夫犬羊！ 般纷纷其离此尤兮， 亦 夫子之辜也！	Sử kỳ ký khả đắc hệ ky hề, Khởi vân dị phù khuyển dương! Ban phân phân kỳ ly thử vưu hề, Diệc phu tử chi cô dã! Si cửu châu nhi tương quân hề, Hà tất hoài thử đô dã?
万物变化兮，固无休息。	*** Vạn vật biến hóa hề, cố vô hưu tức.
沕穆无穷兮， 胡可胜言！	Vật mục vô cùng hề, hồ khả thăng ngôn!
彼吴彊大兮，夫差以败；越栖会稽兮，句践霸世。	Bỉ Ngô cường đại hề, Phù Sai dĩ bại; Việt thê Cối Kê hề, Câu Tiễn bá thế.
迟数有命兮，恶识其时？	Trị số hữu mệnh hề, ô thức kỳ thì?
乘流则逝兮，得坻则止； 纵躯委命 兮，不私与己。	Kẻ mắc tục lụy chừ, khác nào tù nhân; Chí nhân bỏ vật chừ, riêng noi theo đạo. Chúng nhân u mê chừ, yêu ghét chứa chất; Chân nhân đạm bạc chừ, riêng theo đạo đức. Bỏ trí bỏ hình chừ, tự quên, siêu thoát; Xa rộng mênh mang chừ, cùng đạo bay liệng. Nương dòng mà trôi chừ, tới bờ dừng nghỉ, Buông thân tùy mệnh chừ, mình không thiên vị.
贾生自伤为傅无状，哭泣岁馀，亦死。	Giả sinh tự thương vì mình làm thầy không vẹn chức phận, khóc lóc hơn một năm, cũng chết.
太史公曰：余读离骚、天问、招魂、哀郢，悲其志。	Thái sử công bàn rằng: Ta đọc Ly tao, Thiên vấn, Chiêu hồn, Ai Dĩnh, buồn với chí hướng của Khuất Nguyên.
