孙子武者，齐人也。 以兵法见於吴王阖庐。	Tôn Vũ Tôn tử tên Vũ, người nước Tề, nhờ giỏi binh pháp nên được tiếp kiến Ngô vương Hạp Lư.
既驰三辈毕，而田忌一不胜而再胜，卒得王千金。	Đấu ba hạng xong, Điền Kỵ thua một nhưng thắng hai, cuối cùng được ngàn vàng từ vua.
於是忌进孙 子於威王。	Sau đó, Điền Kỵ tiến cử Tôn tử lên Uy vương.
威王问兵法，遂以为师。	Uy vương hỏi về binh pháp rồi tôn làm thầy.
其後魏伐赵，赵急，请救於齐。	Về sau, Ngụy đánh Triệu, Triệu nguy cấp, xin Tề cứu.
齐威王欲将孙膑，膑辞谢 曰：“刑馀之人不可。”	Tề Uy vương muốn phong Tôn Tẫn làm tướng, Tẫn từ chối, nói: “Kẻ bị ngục hình không thể làm tướng quân.”
於是乃以田忌为将，而孙子为师，居辎车 中，坐为计谋。	Thế là bèn phong Điền Kỵ làm tướng, Tôn Tẫn làm quân sư. Tẫn thường ngồi trong xe có rèm che để hoạch định mưu kế.
田忌从之，魏果去邯郸，与齐战於桂陵，大破梁军。	Điền Kỵ nghe theo, quân Ngụy quả nhiên bỏ Hàm Đan, đánh nhau với Tề Quế Lăng, đại phá quân Lương.
後十三岁， 魏与赵攻韩，韩告 急於齐。	Mười ba năm sau, Ngụy và Triệu đánh Hàn, Hàn báo nguy với Tề.
齐使田忌将而往，直走大梁。	Tề sai Điền Kỵ đem quân sang, đến thẳng Đại Lương.
魏将庞涓闻之，去韩而归，齐 军既已过而西矣。	Tướng Ngụy là Bàng Quyên biết tin, bỏ Hàn rút về thì quân Tề đã sang phía tây rồi.
孙子谓田忌曰：“彼三晋之兵素悍勇而轻齐，齐号 为怯，善战者因其势而利导之。兵法，百里而趣利者蹶上将， 五十 里而趣利者军半至。使齐军入魏地为十万灶，明日为五万灶，又明日 为三万灶。”	Tôn Tẫn nói với Điền Kỵ: “Quân Tam Tấn vốn dũng mãnh nên khinh quân Tề, quân Tề có tiếng là khiếp nhược, người giỏi đánh trận sẽ lựa theo tình thế mà dẫn dắt để có lợi cho mình. Binh pháp nói, tiến quân gấp trăm dặm để đoạt lợi thì chủ tướng cũng kiệt quỵ, tiến gấp năm chục dặm thì chỉ nửa số quân đến nơi. Sai quân Tề vào Ngụy làm mười vạn bếp, hôm sau bớt đi còn năm vạn, hôm sau nữa bớt còn ba vạn.”
庞涓行三日，大喜，曰：“我固知齐军怯，入吾地三 日，士卒亡者过半矣。”	Bàng Quyên tiến quân ba ngày, thấy vậy cả mừng, nói: “Ta vốn biết quân Tề nhát gan, vào đất ta có ba ngày mà quân lính đã trốn quá nửa rồi.”
乃弃其步军，与其轻锐倍日并行逐之。	Bèn bỏ quân bộ, cùng quân khinh kỵ ngày đêm gấp rút đuổi đánh.
孙子 度其行，暮当至马陵。	Tôn tử tính hành trình quân địch, biết buổi tối sẽ đến Mã Lăng.
马陵道陕，而旁多阻隘，可伏兵，乃斫大树白 而书之曰“庞涓死于此树之下”。	Đường Mã Lăng hẹp, hai bên hiểm trở, có thể phục binh, bèn chặt cây lớn tước vỏ lộ phần trắng, viết lên rằng: “Bàng Quyên chết ở dưới cây này”.
於是令齐军善射者万弩，夹道而 伏，期曰“暮见火举而俱发”。	Thế rồi sai vạn tay cung thiện xạ trong quân Tề mai phục hai bên đường, hẹn rằng: “Buổi tối, nếu thấy nổi lửa thì nhất tề bắn tên”.
庞涓果夜至斫木下，见白书，乃钻火 烛之。 读其书未毕，齐军万弩俱发，魏军大乱相失。	Đêm ấy, quả nhiên Bàng Quyên đến chỗ cây nọ, thấy trên cây thân trắng có dòng chữ, bèn đốt đuốc lên xem, đọc chưa xong thì vạn tay cung nước Tề nhất loạt bắn ra, quân Ngụy đại loạn, không ứng cứu được nhau.
庞涓自知智穷兵 败，乃自刭，曰：“遂成竖子之名！”	Bàng Quyên tự biết trí cùng binh bại, liền tự vẫn, nói: “Ta làm thằng nhãi nổi danh rồi?”
齐因乘胜尽破 其军，虏魏太子申以归。	Quân Tề thừa thắng phá tan quân Ngụy, bắt được thái tử Thân nước Ngụy làm tù binh rồi rút về.
孙膑以此名显天下，世传其兵法。	Từ đó, danh tiếng Tôn Tẫn vang lừng thiên hạ, binh pháp của ông được lưu truyền ở đời.
吴起者，卫人也，好用兵。 尝学於曾子，事鲁君。	Ngô Khởi Ngô Khởi người nước Vệ, thích dùng binh, thường học binh pháp của Tăng tử, thờ vua Lỗ.
齐人攻鲁，鲁 欲将吴起，吴起取齐女为妻，而鲁疑之。	Người Tề tấn công Lỗ, Lỗ muốn phong Ngô Khởi làm tướng, nhưng phải lấy vợ nước Tề nên còn nghi ngờ.
吴起於是欲就名，遂杀其 妻，以明不与齐也。	Ngô Khởi muốn lập danh, bèn giết vợ để tỏ mình không can hệ gì với Tề.
将而攻齐，大破之。	Ngô Khởi cầm quân đánh Tề, cả phá được.
鲁人或恶吴起曰：“起之为人，猜忍人也。其少时，家累千金， 游仕不遂，遂破其家，乡党笑之，吴起杀其谤己者三十馀人，而东出 卫郭门。与其母诀，齧臂而盟曰：‘起不为卿相，不复入卫。’遂事 曾子。居顷之，其母死，起终不归。曾子薄之，而与起绝。起乃之 鲁，学兵法以事鲁君。鲁君疑之，起杀妻以求将。夫鲁小国，而有战 胜之名，则诸侯图鲁矣。且鲁卫兄弟之国也，而君用起，则是弃 卫。”	Người nước Lỗ có kẻ gièm Ngô Khởi rằng: “Khởi làm người, quá nhẫn tâm. Lúc trẻ, nhà có ngàn vàng, đi du thuyết hòng làm quan không thành, đến nỗi phá tán toàn bộ sản nghiệp, làng xóm chê cười, Ngô Khởi giết hơn ba mươi người chê cười mình, rồi rời nước Vệ đi sang phía đông. Khi chia tay mẹ già, Khởi bèn cắn vào cánh tay mà thề: 'Khởi không làm nên khanh tướng, không về nước Vệ nữa.' Rồi thờ Tăng tử làm thầy. Không lâu sau, mẹ mất, Khởi vẫn không về. Tăng tử cho Khởi là người bạc bẽo nên cắt đứt quan hệ thầy trò. Khởi bèn sang nước Lỗ, học binh pháp rồi thờ vua Lỗ. Vua Lỗ nghi ngờ Khởi, Khởi liền giết vợ để mong làm tướng. Xét lẽ, Lỗ là nước nhỏ, nếu có danh nghĩa chiến thắng, chư hầu sẽ đánh nước Lỗ. Vả Lỗ và Vệ là nước anh em, nếu vua Lỗ dùng Khởi thì mất lòng nước Vệ.”
鲁君疑之，谢吴起。	Vua Lỗ nghi ngờ nên từ chối Ngô Khởi.
吴起於是闻魏文侯贤，欲事之。	Ngô Khởi nghe nói Ngụy Văn hầu hiền đức, muốn thờ ông ta.
文侯问李克曰：“吴起何如人 哉？”	Văn hầu hỏi Lý Khắc: “Ngô Khởi là người thế nào?”
李克曰：“起贪而好色， 然用兵司马穰 苴不能过也。”	Lý Khắc đáp: “Khởi tham lam hiếu sắc, nhưng dùng binh thì Tư Mã Nhương Tư cũng không hơn được.”
於是魏文候以为将，击秦，拔五城。	Thế là Ngụy Văn hầu cho làm tướng. Khởi cầm quân đánh Tần, hạ được năm thành.
起之为将，与士卒最下者同衣食。 卧不设席，行不骑乘，亲裹赢 粮，与士卒分劳苦。	Khởi làm tướng, ăn mặc giống sĩ tốt thấp nhất, nằm không trải chiếu, đi không ngựa xe, chia bớt phần lương, san sẻ khỏ nhọc cùng binh sĩ.
卒有病疽者，起为吮之。	Quân lính có kẻ bị u nhọt, Khởi dùng miệng hút mủ cho.
卒母闻而哭之。	Mẹ binh lính đó biết chuyện bật khóc.
人曰：“子卒也，而将，军自吮其疽，何哭 为？”	Có người hỏi: “Con bà là lính mà được tướng quân dùng miệng hút mủ cho, sao lại phải khóc?”
母曰：“非然也。往年吴公吮其父，其父战不旋踵，遂死於 敌。吴公今又吮其子，妾不知其死所矣。是以哭之。”	Bà mẹ đáp: “Không phải đâu. Khi trước Ngô công hút mủ cho cha nó, cha nó xông pha chiến đấu rồi chết trong tay địch. Nay Ngô công lại hút mủ cho nó, tôi không biết rồi nó sẽ chết ở đâu, vì thế mà khóc.”
文侯以吴起善用兵，廉平，尽能得士心，乃以为西河守，以拒 秦、韩。	Văn hầu cho Ngô Khởi giỏi dụng binh, liêm khiết công bằng, khéo thu phục nhân tâm binh sĩ, bèn phong làm Thái thú Tây Hà để chống Tần và Hàn.
魏文侯既卒，起事其子武侯。	Ngụy Văn hầu chết, Khởi thờ con trai ông là Vũ hầu.
武侯浮西河而下，中流，顾而谓吴 起曰：“美哉乎山河之固，此魏国之宝也！”	Vũ hầu đi thuyền từ Tây Hà xuống, giữa dòng quay lại bảo Ngô Khởi: “Đẹp thay, non sông hiểm trở, đó chính là báu vật của nước Ngụy vậy.”
起对曰：“在德不在 险。昔三苗氏左洞庭，右彭蠡，德义不修，禹灭之。夏桀之居，左河 济，右泰华，伊阙在其南，羊肠在其北， 修政不仁，汤 放之。殷纣之国，左孟门， 右太行，常山在其北，大河经其南，修政不 德，武王杀之。由此观之，在德不在险。若君不修德，舟中之人尽为 敌国也。”	Khởi đáp: “Cốt ở đức chứ không ở đất hiểm yếu. Xưa, Tam Miêu bên trái có hồ Động Đình, bên phải có bến Bành Lãi, không sửa sang đức nghĩa, bị Hạ Vũ tiêu diệt. Chỗ vua Kiệt nhà Hạ ở, trái là sông Hoàng sông Tế, phải là Thái Sơn, Hoa Sơn, núi Y Khuyết ở phía nam, núi Dương Trường trấn mạn bắc, nhưng chính trị bất nhân, bị Thành Thang xua đuổi. Nước của vua Trụ nhà Ân, trái có núi Mạnh Môn, phải có Thái Sơn và Hành Sơn, Thường Sơn ở mạn bắc, sông Hoàng Hà rộng lớn chắn phía nam, nhưng chính sự không dùng đức, bị Vũ vương giết chết. Từ đó mà xét, cốt ở đức chứ không ở đất hiểm hay không. Nhà vua không tu đức, người trong thuyền thảy đều là người nước địch vậy.”
武侯曰：“善。”	Vũ hầu nói: “Phải lắm”.
吴起为西河守，甚有声名。	Ngô Khởi làm Thái thú Tây Hà, rất có danh tiếng.
魏置相，相田文。	Ngụy lập Tưởng quốc, phong cho Điền Văn.
吴起不悦，谓田文曰：“请与子论功，可乎？”	Ngô Khởi không vui, bảo Điền Văn rằng: “Xin luận công với ngài, được chăng?”
田文 曰：“可。”	Điền Văn đáp: “Được.”
起曰：“将三军，使士卒乐死，敌国不敢谋，子孰与 起？”	Khởi hỏi: “Thống lãnh ba quân, khiến sĩ tốt vui lòng xông vào chỗ chết, nước địch không dám động binh, ngài với Khởi ai hơn?”
文曰：“不如子。”	Văn đáp: “Tôi không bằng ngài.”
起曰：“治百官，亲万民，实府库，子孰 与起？”	Khởi hỏi: “Sắp đặt trăm quan, muôn dân quy thuận, kho đụn đầy ắp, ngài với Khởi ai hơn?”
起曰：“守西河而秦兵不敢东乡，韩赵 宾从，子孰与起？”	Khởi hỏi: “Trấn giữ Tây Hà mà quân Tần không dám quấy rối phía đông, Hàn, Triệu quy phục, ngài với Khởi ai hơn?”
起曰：“此三者，子皆出吾 下，而位加吾上，何也？”	Khởi hỏi: “Ba việc đó ngài đều kém tôi, mà địa vị lại trên tôi, cớ làm sao?”
文曰：“主少国疑，大臣未附，百姓不 信，方是之时，属之於子乎？属之於我乎？”	Văn đáp: “Vua tuổi còn nhỏ, nước vẫn chưa yên, đại thần chưa quy phục, trăm họ chưa tin theo, vào lúc này đây, giao ngài làm Tướng quốc hay giao cho tôi?”
起默然良久，曰：“属 之子矣。”	Khởi trầm ngâm hồi lâu, đáp: “Giao cho ngài.”
文曰：“此乃吾所以居子之上也。”	Văn nói: “Chính thế tôi ở chức cao hơn ngài vậy.”
吴起乃自知弗如田 文。	Ngô Khởi tự biết mình không bằng Điền Văn.
田文既死，公叔为相，尚魏公主，而害吴起。	Điền Văn chết, Công Thúc làm Tướng quốc, lấy công chúa nước Ngụy, ghét bỏ Ngô Khởi.
公 叔之仆曰：“起易去也。”	Kẻ hầu của Công Thúc nói: “Khởi dễ trừ thôi.”
公叔曰：“柰何？”	Công Thúc hỏi: “Tại sao?”
其仆曰：“吴起为人 节廉而自喜名也。君因先与武侯言曰：‘夫吴起贤人也，而侯之国 小，又与彊秦壤界，臣窃恐起之无留心也。’武侯即曰：‘柰 何？’君因谓武侯曰：‘试延以公主，起有留心则必受之。无留心则 必辞矣。以此卜之。’君因召吴起而与归，即令公主怒而轻君。吴起 见公主之贱君也，则必辞。”	Y đáp: “Ngô Khởi là người liêm khiết nhưng hiếu danh. Ngài nói trước với Vũ hầu rằng: 'Ngô Khởi là người hiền mà nước của Vũ hầu thì nhỏ, lại giáp Tần mạnh, thần e Khởi không có ý ở lại lâu dài.' Vũ hầu sẽ hỏi: 'Tại sao?' thì ngài đáp: 'Thử gả công chúa cho Khởi, nếu Khởi có ý ở lại lâu dài sẽ chấp thuận, bằng không sẽ từ chối. Từ đó sẽ biết thôi.' Nhân thế, ngài triệu Ngô Khởi đến nhà, cố ý khiến công chúa giận mà coi thường ngài. Ngô Khởi thấy công chúa coi thường ngài thì ắt từ chối.”
於是吴起见公主之贱魏相，果辞魏武 侯。	Quả nhiên, Ngô Khởi thấy công chúa coi thường Tướng quốc nước Ngụy, liền từ chối yêu cầu của Ngụy Vũ hầu.
武侯疑之而弗信也。	Vũ hầu nghi ngờ Ngô Khởi nên không tin dùng nữa.
吴起惧得罪，遂去，即之楚。	Ngô Khởi sợ đắc tội, bèn bỏ đi, đến nước Sở.
楚悼王素闻起贤，至则相楚。	Sở Điệu vương vốn nghe danh Khởi hiền tài, vừa đến lập tức phong làm Tướng quốc.
明法审令，捐不急之官，废公族疏 远者，以抚养战斗之士。	Ngô Khởi thẩm xét rõ pháp lệnh, bỏ các chức quan không cần thiết, cắt bổng lộc những người họ xa với vua để cấp phát cho chiến binh.
於是南平百 越；北并陈蔡，卻三晋；西伐秦。	Vì thế phía nam bình định Bách Thành; phía bắc thôn tính Trần và Sái, đẩy lùi Tam Tấn; phía tây đánh Tần.
诸侯患楚之彊。	Chư hầu lo sợ trước sự hùng mạnh của Sở.
故楚之贵戚尽欲害 吴起。 及悼王死，宗室大臣作乱而攻吴起，吴起走之王尸而伏之。	Do quý tộc nước Sở thảy muốn hại Ngô Khởi nên sau khi Điệu vương chết, các đại thần trong tông thất làm loạn, công kích Ngô Khởi, Khởi chạy núp ở chỗ đặt thi thể nhà vua.
击 起之徒因射刺吴起，并中悼王。	Bọn công kích bèn bắn Ngô Khởi, trúng cả thi thể Điệu vương.
悼王既葬，太 子立，乃使令尹尽诛射吴起而并中王尸者。	Chôn Điệu vương xong, thái tử lên ngôi, bèn lệnh giết bọn đã bắn Ngô Khởi và thi thể nhà vua.
坐射起而 夷宗死者七十馀家。	Những kẻ liên quan bị diệt tộc lên đến hơn bảy mươi nhà.
太史公曰：世俗所称师旅，皆道孙子十三篇，吴起兵法，世多 有，故弗论，论其行事所施设者。	Thái sử công bàn rằng: Người đời xưng tụng chuyện quân lữ, đều nói đến 13 thiên Tôn tử và sách binh pháp của Ngô Khởi. Các sách này người đời phần nhiều đều có, nên không bàn thêm, chỉ bàn về cách hành sự của họ.
语曰：“能行之者未必能言，能言 之者未必能行。”	Có câu: “Người làm giỏi chưa chắc nói giỏi, người nói giỏi chưa chắc làm giỏi.”
吴起说 武侯以形势不如德，然行之於楚，以刻暴少恩亡其躯。 悲夫！ 孙子兵法，一十三篇。	Ngô Khởi nói với Vũ hầu coi trọng thế hiểm yếu chẳng bằng tu đức, nhưng thi hành chính sự ở nước Sở lại tàn khốc ít lòng nhân, đến nỗi phải mất mạng.
田忌欲引兵之赵，孙子曰：“夫解杂乱纷纠者 不控卷， 救斗者 不搏撠， 批亢捣虚， 形格势禁，则自为解耳。 今梁 赵相攻，轻兵锐卒必竭於外，老弱罢於内。君不若引兵疾走大梁，据 其街路，旻其方虚，彼必释赵而自救。是我一举解赵之围而收弊於魏 也。”	Điền Kỵ muốn dẫn quân đến Triệu, Tôn Tẫn nói: “Xét lẽ, gỡ chỗ rối thì không phải xốc tay, chữa chỗ đánh nhau thì chẳng cần xông vào, tránh thực dùng hư, khiến họ thấy khó sẽ phải tự bỏ. Nay Lương, Triệu đánh nhau, tinh binh ắt mỏi mệt ở chiến trường, quân già yếu uể oải ở trong nước. Chẳng bằng ngài hãy dẫn quân đến thẳng kinh đô Đại Lương, chặn đứng đường đi, đánh vào chỗ không phòng bị, họ ắt bỏ vây nước Triệu quay về tự cứu nước mình. Như vậy ta cất quân một lần mà giải được vây cho Triệu, dẫn dắt được nước Ngụy.”
