张耳者，大梁人也。 其少时， 及魏公子毋忌为客。	Trương Nhĩ, người ở Đại Lương, lúc còn trẻ, làm môn khách của công tử Vô Kỵ nước Ngụy.
秦灭魏数岁，已闻此两人魏之名士也，购求有得张耳千金，陈 馀五百金。	Tần diệt Ngụy được mấy năm, nghe nói hai người là danh sĩ nước Ngụy, thưởng ngàn vàng cho ai tìm được Trương Nhĩ, năm trăm lượng vàng nếu tìm được Trần Dư.
张耳、陈馀乃变名姓，俱之陈，为里监门 以自食。	Trương Nhĩ và Trần Dư liền đổi họ tên, cùng đến đất Trần, làm người coi cổng để nuôi thân.
两人相对。	Hai người đứng đối diện nhau.
吏去，张 耳乃引陈馀之桑下而数之曰：“始吾与公言何如？今见小辱而欲死一 吏乎？”	Viên lại đi rồi, Trương Nhĩ mới dẫn Trần Dư đến dưới gốc dâu trách rằng: “Từ đầu tôi đã nói với anh thế nào? Nay gặp chút nhục nhỏ đã muốn giết viên lại rồi ư?”
秦诏书购求两人，两人亦反用门者以令里中。	Tần hạ chiếu thư treo thưởng tìm hai người, hai người lại lấy danh nghĩa giữ cổng sai người vào làng lùng bắt.
陈涉起蕲，至入陈，兵数万。	Trần Thiệp dấy binh ở đất Kỳ, tiến vào đất Trần, quân có mấy vạn.
张耳、陈馀上谒陈涉。	Trương Nhĩ, Trần Dư yết kiến Trần Thiệp.
涉及左右生 平数闻张耳、陈馀贤，未尝见，见即大喜。	Thiệp cùng thân tín vốn nghe danh Trương Nhĩ, Trần Dư hiền năng, nhưng chưa từng gặp, gặp thì cả mừng.
陈中豪杰父老乃说陈涉曰：“将军身被坚执锐，率士卒以诛暴 秦，复立楚社稷，存亡继绝，功德宜为王。且夫监临天下诸将，不为 王不可，原将军立为楚王也。”	Các bậc hào kiệt, phụ lão đất Trần bèn nói với Trần Thiệp: “Tướng quân thân mang giáp bền, nắm binh khí sắc, thống suất sĩ tốt diệt Tần bạo ngược, khôi phục xã tắc của Sở, bảo tồn nước bị diệt vong, kế nối dòng mạch đã dứt, công đức đáng được làm vua. Vả lại, thống lãnh các tướng trong thiên hạ, không làm vua không thể được, xin tướng quân tự lập làm Sở vương.”
陈涉问此两人，两人对曰：“夫秦为 无道，破人国家，灭人社稷，绝人後世，罢百姓之力，尽百姓之财。 将军瞋目张胆，出万死不顾一生之计，为天下除残也。今始至陈而王 之，示天下私。原将军毋王，急引兵而西，遣人立六国後，自为树 党，为秦益敌也。敌多则力分，与众则兵彊。如此野无交兵，县无守 城，诛暴秦，据咸阳以令诸侯。诸侯亡而得立，以德服之，如此则帝 业成矣。今独王陈，恐天下解也。”	Trần Thiệp hỏi Trương Nhĩ và Trần Dư, cả hai đáp rằng: “Tần vô đạo, phá đất nước người, diệt xã tắc người, cắt hậu thế người, khiến trăm họ mỏi mệt, tiêu tán hết của cải. Tướng quân trợn mắt bạo gan, đưa ra kế sách muôn chết không đoái hoài một phần sống, vì thiên hạ trừ bạo tàn. Nay mới đến đất Trần đã xưng vương, tỏ cho thiên hạ thấy niềm riêng. Xin tướng quân chớ xưng vương, kíp dẫn quân sang tây, sai người lập con cháu của sáu nước, tự dựng bè đảng, tăng cường thế lực đối địch với Tần. Địch nhiều thì phải chia sức, cùng bè đảng đông thì quân sẽ mạnh. Như thế ngoài nội không phải giao binh, trong huyện không cần giữ thành, diệt Tần hung bạo, chiếm Hàm Dương để ra lệnh cho chư hầu. Chư hầu diệt vong mà rồi được lập, dùng đức khiến họ thần phục, như thế nghiệp đế vương ắt thành. Nay một mình xưng vương ở Trần, e thiên hạ sẽ tan rã.”
陈涉不听，遂立为王。	Trần Thiệp không nghe, tự lập làm vua.
陈馀乃复说陈王曰：“大王举梁、楚而西，务在入关，未及收河 北也。臣尝游赵，知其豪桀及地形，原请奇兵北略赵地。”	Trần Dư lại nói với Trần vương rằng: “Đại vương cất quân đất Lương, đất Sở rồi sang phía tây, cốt vào quan ải, chưa kịp thu đất Hà Bắc. Thần thường du ngoạn nước Triệu, biết hào kiệt và địa hình ở đó, xin đem kỳ binh lên phía bắc lấy đất Triệu.”
於是陈王 以故所善陈人武臣为将军，邵骚为护军，以张耳、陈馀为左右校尉， 予卒三千人，北略赵地。	Thế là Trần vương lấy người quen cũ ở đất Trần là Vũ Thần làm tướng quân, Thiệu Tao làm hộ quân, lấy Trương Nhĩ, Trần Dư làm Tả hữu hiệu úy, cấp cho ba nghìn quân, lên phía bắc chiếm đất Triệu.
武臣等从白马渡河， 至诸县，说其豪桀曰： “秦为乱政虐刑以残贼天下，数十年矣。北有长城之役，南有 五岭之戍， 外内骚动，百姓 罢敝，头会箕敛，以 供军费，财匮力尽，民不聊生。重之以苛法峻刑，使天下父子不相 安。陈王奋臂为天下倡始，王楚之地，方二千里，莫不响应，家自为 怒，人自为斗，各报其怨而攻其雠，县杀其令丞，郡杀其守尉。今已 张大楚，王陈，使吴广、周文将卒百万西击秦。於此时而不成封侯之 业者，非人豪也。诸君试相与计之！夫天下同心而苦秦久矣。因天下 之力而攻无道之君，报父兄之怨而成割地有土之业，此士之一时 也。”	Bọn Vũ Thần từ Bạch Mã vượt Hoàng Hà, đến các huyện, thuyết phục hào kiệt rằng: “Tần thi hành chính sự bạo ngược, hình phạt hà khắc, tàn hại thiên hạ mấy chục năm rồi. Phía bắc phải lao dịch ở Trường thành, phía nam đi lính thú ở Ngũ lĩnh, trong ngoài không yên, trăm họ mỏi mệt, dựa đầu người thu thuế khóa, cung ứng phí tổn quân đội, của hết sức cùng, dân không sống nổi. Lại thêm hình luật hà khắc, khiến thiên hạ cha con không yên. Trần vương vung tay khởi xướng thiên hạ, làm vua đất Sở, rộng hai nghìn dặm, không ai không theo, nhà nhà tự lấy làm giận, người người tự mình chiến đấu, thảy đều báo oán, tấn công kẻ thù, ở huyện giết Huyện lệnh, Huyện thừa, ở quận giết Quận thú, Quận úy. Nay đã lấy quốc hiệu là Đại Sở, lên ngôi ở đất Trần, sai Ngô Quảng, Chu Văn đem trăm vạn quân sang tây đánh Tần. Người không nhân lúc này làm nên nghiệp được phong hầu, không phải hào kiệt vậy. Các ngài thử cùng suy tính xem! Thiên hạ chung lòng mà khổ với Tần lâu rồi. Dựa sức thiên hạ để đánh vua vô đạo, báo oán cho cha anh làm nên nghiệp được cắt chia đất, là cơ hội của kẻ sĩ vậy.”
豪桀皆然其言。	Hào kiệt đều cho là phải.
乃行收兵，得数万人，号武臣为武信君。	Liền tiến hành gom quân, được mấy chục vạn, phong Vũ Thần làm Vũ Tín quân.
下赵 十城，馀皆城守，莫肯下。	Hạ mười thành nước Triệu, các thành khác đều giữ vững, không chịu hàng.
范阳人蒯通说范阳令曰： “窃闻公之将死，故吊。虽然，贺公得通而生。”	Khoái Thông người Phạm Dương nói với Huyện lệnh Phạm Dương rằng: “Trộm nghe ngài sắp chết, nên đến viếng. Nhưng chúc mừng ngài gặp Thông này nên được sống.”
范阳令 曰：“何以吊之？”	Huyện lệnh Phạm Dương hỏi: “Sao lại viếng tôi?”
对曰：“秦法重，足下为范阳令十年矣，杀人之 父，孤人之子，断人之足，黥人之首，不可胜数。然而慈父孝子莫敢 倳刃公之 腹中者，畏秦法耳。今天下大乱，秦法不施，然则慈父孝子且倳刃公 之腹中以成其名，此臣之所以吊公也。今诸侯畔秦矣，武信君兵且 至，而君坚守范阳，少年皆争杀君，下武信君。君急遣臣见武信君， 可转祸为福，在今矣。”	Đáp rằng: “Pháp chế nước Tần hà khắc, túc hạ làm Huyện lệnh Phạm Dương mười năm rồi, giết cha người ta, khiến con người ta côi cút, chặt chân người ta, thích chữ lên trán người ta, nhiều không kể xiết. Thế nhưng những kẻ cha từ con hiếu không ai dám cầm dao đâm vào bụng ngài, vì sợ pháp chế Tần thôi. Nay thiên hạ đại loạn, pháp chế nhà Tần không được thi hành, thế thì cha từ con hiếu sẽ cầm dao đâm bụng ngài để thành danh, nên tôi đến viếng ngài vậy. Nay chư hầu phản Tần rồi, quân của Vũ Tín quân sắp đến, còn ngài giữ vững Phạm Dương, đám trai tráng đều tranh giết ngài, hàng Vũ Tín quân. Ngài kíp sai tôi đến gặp Vũ Tín quân, có thể chuyển hóa thành phúc chính là ở lúc này vậy.”
范阳令乃使蒯通见武信君曰：“足下必将战胜然後略地，攻得然 後下城，臣窃以为过矣。诚听臣之计，可不攻而降城，不战而略地， 传檄而千里定，可乎？”	Huyện lệnh Phạm Dương liền sai Khoái Thông đến yết kiến Vũ Tín quân, nói: “Túc hạ ắt muốn đánh thắng sau mới cướp đất, đánh được sau mới hạ thành, tôi trộm cho là nhầm. Thực lòng theo kế của tôi, có thể không đánh mà họ được thành, không đánh mà cướp được đất, truyền hịch mà bình định ngàn dặm, vậy được không?”
武信君曰：“何谓也？”	Vũ Tín quân hỏi: “Thế là thế nào?”
蒯通曰：“今范阳 令宜整顿其士卒以守战者也，怯而畏死，贪而重富贵，故欲先天下 降，畏君以为秦所置吏，诛杀如前十城也。然今范阳少年亦方杀其 令，自以城距君。君何不赍臣侯印，拜范阳令，范阳令则以城下君， 少年亦不敢杀其令。令范阳令乘硃轮华毂，使驱驰燕、赵郊。燕、赵 郊见之，皆曰此范阳令，先下者也，即喜矣，燕、赵城可毋战而降 也。此臣之所谓传檄而千里定者也。”	Khoái Thông đáp: “Nay Huyện lệnh Phạm Dương đang chỉnh đốn sĩ tốt để chống giữ, khiếp nhược mà sợ chết, tham lam mà trọng giàu sang, nên muốn hàng trước thiên hạ, sợ ngài cho là quan do Tần đặt, rồi giết như mười thành trước. Nay trai tráng Phạm Dương cũng muốn giết Huyện lệnh của họ, tự đem thành đó chống ngài. Sao ngài không trao tôi ấn phong hầu để phong cho Huyện lệnh Phạm Dương, ông ta sẽ đem thành hàng ngài, đám trai tráng cũng không dám giết Huyện lệnh của họ. Ngài sai Huyện lệnh Phạm Dương cưỡi xe có bánh màu son, ruổi xe ngoài thành nước Yên, Triệu. Người ngoài thành nước Yên, Triệu thấy, đều nói là Huyện lệnh Phạm Dương là người hàng trước, liền vui mừng, các thành ở Yên, Triệu có thể không đánh mà hàng vậy. Điều ấy tôi gọi là truyền hịch mà bình định ngàn dặm đó.”
赵地闻之，不战以城下者三十馀城。	Đất Triệu biết chuyện, không đánh mà hơn ba mươi thành xin hàng.
至邯郸，张耳、陈馀闻周章军入关，至戏卻； 又闻诸将为陈王徇地，多以 谗毁得罪诛，怨陈王不用其筴不以为将而以为校尉。	Đến Hàm Đan, Trương Nhĩ và Trần Dư nghe quân Chu Chương vào ải, đến sông Hy thì lui; lại nghe các tướng chiếm đất cho Trần vương, nhiều người hủy báng nên bị giết, hai người oán Trần vương không theo kế của mình, không cho mình làm tướng, chỉ cho làm hiệu úy.
乃说武臣 曰：“陈王起蕲，至陈而王，非必立六国後。将军今以三千人下赵数 十城，独介居河北， 不王无以填之。且陈王听谗，还报，恐不脱於祸。又不如立其 兄弟；不，即立赵後。将军毋失时，时间不容息。”	Bèn nói với Vũ Thần: “Trần vương dấy binh đất Kỳ, đến đất Trần xưng vương, không chịu lập con cháu sáu nước. Nay tướng quân đem ba nghìn quân hạ mấy chục thành ở Triệu, một mình đóng ở Hà Bắc, không xưng vương không thể trấn giữ đất này. Vả Trần vương nghe sàm tấu, về báo, e không thoát khỏi họa. Chẳng bằng lập anh em làm vua; nếu không, lập ngay hậu duệ nước Triệu. Tướng quân chớ lỡ thời cơ, thời gian không chờ đợi.”
武臣乃听之，遂立为赵王。	Vũ Thần liền nghe theo, tự lập làm Triệu vương.
以 陈馀为大将军，张耳为右丞相，邵骚为左丞相。	Phong Trần Dư làm đại tướng quân, Trương Nhĩ làm Hữu thừa tướng, Thiệu Tao làm Tả thừa tướng.
使人报陈王，陈王大怒，欲尽族武臣等家，而发兵击赵。	Sai người báo cho Trần vương, Trần vương cả giận, muốn giết hết gia tộc bọn Vũ Thần, rồi đem quân đánh Triệu.
陈王相 国房君谏曰：“秦未亡而诛武臣等家，此又生一秦也。不如因而贺 之，使急引兵西击秦。”	Tướng quốc Phòng Quân của Trần vương can rằng: “Tần chưa bị diệt mà giết cả gia tộc bọn Vũ Thần, như thế lại xuất hiện một nước Tần vậy. Chẳng bằng nhân đó chúc mừng, sai ông ta kíp đem quân sang tây đánh Tần.”
陈王然之，从其计，徙系武臣等家宫中，封 张耳子敖为成都君。	Trần vương cho là phải, theo kế đó, đem giải người nhà bọn Vũ Thần vào cung, phong con của Trương Nhĩ là Ngao làm Thành Đô quân.
陈王使使者贺赵，令趣发兵西入关。	Trần vương sai sứ đến chúc mừng Triệu, lệnh mau đem quân sang tây vào ải.
张耳、陈馀说武臣曰：“王 王赵，非楚意，特以计贺王。楚已灭秦，必加兵於赵。原王毋西兵， 北徇燕、代，南收河内以自广。赵南据大河，北有燕、代，楚虽胜 秦，必不敢制赵。”	Trương Nhĩ, Trần Dư nói với Vũ Thần: “Đại vương xưng vương ở Triệu, không phải ý của Sở, họ chỉ dùng kế chúc mừng đại vương. Sở đã diệt Tần, ắt đem quân đánh Triệu. Xin đại vương đừng đem quân sang tây, hãy lên bắc đánh đất Yên, Đại, nam thu lấy Hà Nội để mở rộng cho mình. Triệu phía nam chiếm sông lớn, bắc có đất Yên, Đại, Sở dẫu thắng Tần, ắt không dám chế phục Triệu.”
赵王以为然，因不西兵，而使韩广略燕，李良略 常山，张黡略上党。	Triệu vương cho là phải, nhân đó không đem quân sang tây, mà sai Hàn Quảng chiếm đất Yên, Lý Lương chiếm Thường Sơn, Trương Yểm chiếm Thượng Đảng.
韩广至燕，燕人因立广为燕王。	Hàn Quảng đến đất Yên, người Yên nhân đó lập Quảng làm Yên vương.
赵王乃 与张耳、陈馀北略地燕界。	Triệu vương bèn cùng Trương Nhĩ, Trần Dư lên phía bắc chiếm đất biên giới nước Yên.
赵王间出，为燕军所得。	Triệu vương ra ngoài, bị quân Yên bắt được.
燕将囚之，欲与 分赵地半，乃归王。	Tướng Yên bỏ tù, muốn được chia nửa nước Triệu mới thả Triệu vương.
使者往，燕辄杀之以求地。	Sứ giả sang, Yên liền bắt giết để đòi đất.
有 厮养卒谢其舍中曰： “吾为公说燕，与赵王载 归。”	Có người lính nấu ăn nói với người trong nhà rằng: “Tôi sẽ thay ông thuyết phục Yên vương, rồi cùng Triệu vương ngồi xe trở về.”
舍中皆笑曰：“使者往十馀辈，辄死，若何以能得王？”	Người trong nhà đều cười nói: “Hơn chục sứ giả sang, đều bị giết, ngươi làm sao đưa được đại vương về?”
燕将见之，问燕将曰：“知臣何欲？”	Tướng Yên cho gặp, y hỏi tướng Yên: “Ông biết tôi muốn gì không?”
燕将曰：“若欲得赵王 耳。”	Tướng Yên đáp: “Ngươi muốn Triệu vương thôi.”
曰：“君知张耳、陈馀何如人也？”	Lại hỏi: “Ông biết Trương Nhĩ, Trần Dư là người thế nào không?”
燕将曰：“贤人 也。”	Tướng Yên đáp: “Là người hiền năng.”
曰：“知其志何欲？”	Hỏi: “Biết chí của họ thể nào không?”
曰：“欲得其王耳。”	Đáp: “Muốn cứu vua họ thôi.”
赵养卒乃笑 曰：“君未知此两人所欲也。夫武臣、张耳、陈馀杖马箠 下赵数十 城，此亦各欲南面而王，岂欲为卿相终己邪？夫臣与主岂可同日而道 哉，顾其势初定，未敢参分而王，且以少长先立武臣为王，以持赵 心。今赵地已服，此两人亦欲分赵而王，时未可耳。今君乃囚赵王。 此两人名为求赵王，实欲燕杀之，此两人分赵自立。夫以一赵尚易 燕，况以两贤王左提右挈，而责杀王之罪， 灭燕易矣。”	Tên lính nấu ăn nước Triệu bèn cười nói: “Ông chưa biết điều họ muốn đâu. Vũ Thần, Trương Nhĩ, Trần Dư, vung roi ngựa hạ mấy chục thành của Triệu, họ đều muốn ngoảnh mặt về nam làm vua, há muốn trọn đời làm khanh tướng ư? Ôi, bề tôi và chúa há có thể giống nhau ư? Thiết nghĩ quyền thế mới được yên định, chưa dám chia nhau làm vua, tạm theo ngôi thứ lớn nhỏ, trước lập Vũ Thần làm vua, ổn định lòng người nước Triệu. Nay đất Triệu đã thần phục, hai người đó cũng muốn chia Triệu để làm vua, chưa đến lúc thôi. Nay ông bỏ tù Triệu vương. Hai người họ lấy danh nghĩa đòi Triệu vương, thực lại muốn Yên giết đi, hai người chia Triệu để tự lập. Một nước Triệu còn xem thường Yên, huống chi hai vua hiền kè kè hai bên, rồi trách tội giết vua họ, việc diệt Yên rất dễ dàng vậy.”
燕将以为然，乃 归赵王，养卒为御而归。	Tướng Yên cho là phải, bèn thả Triệu vương, tên lính đánh xe chở Triệu vương về.
至石邑， 秦兵塞井陉，未能前。	Đến Thạch Ấp, quân Tần chặn Tỉnh Hình, chưa tiến lên được.
秦将诈称二世使人遗李良书，不封， 曰：“良尝事我得显幸。良诚 能反赵为秦，赦良罪，贵良。”	Tướng Tần vờ xưng Nhị thế, sai người đưa thư cho Lý Lương, thư không dán, viết: “Lương từng thờ ta, được hiển quý sủng ái. Nếu Lương vì Tần phản Triệu, xá tội cho Lương, khiến Lương hiển quý.”
良得书，疑不信。	Lương nhận được thư, hãy còn ngờ.
乃还之邯郸，益请 兵。	Bèn trở về Hàm Đan xin thêm quân.
未至，道逢赵王姊出饮，从百馀骑。	Chưa đến nơi, trên đường gặp chị Triệu vương ra ngoài uống rượu, hơn trăm kỵ mã đi theo.
李良望见，以为王，伏谒道 旁。	Lý Lương từ xa trông thấy, cho là Triệu vương, phủ phục bên đường yết kiến.
王姊醉，不知其将，使骑谢李良。	Chị Triệu vương uống say, không biết là tướng Triệu, sai kỵ mã đáp tạ Lý Lương.
李良素贵，起，惭其从官。	Lý Lương vốn người hiển quý, đứng dậy, thẹn với quan lại tùy tòng.
从 官有一人曰：“天下畔秦，能者先立。且赵王素出将军下，今女兒乃 不为将军下车，请追杀之。”	Quan tùy tòng có người nói: “Thiên hạ phản Tần, ai giỏi lập trước. Và Triệu vương vốn xuất thân dưới quyền tướng quân, nay người đàn bà kia thấy tướng quân mà không thèm xuống xe, xin đuổi giết đi.”
李良已得秦书，固欲反赵，未决，因此 怒，遣人追杀王姊道中，乃遂将其兵袭邯郸。	Lý Lương nhận được thư của Tần, vốn muốn phản Triệu, chưa quyết, nhân lúc này tức giận, sai người đuổi giết chị Triệu vương trên đường, rồi đem quân đánh úp Hàm Đan.
赵人多为张耳、陈馀耳目者，以故得脱出。	Người Triệu phần nhiều là tai mắt của Trương Nhĩ, Trần Dư, nhờ đó họ thoát được.
收其兵，得数万 人。	Thu thập quân binh, được mấy vạn người.
客有说张耳曰：“两君羁旅，而欲附赵，难； 独立赵後，扶以义，可就 功。”	Có người khách nói với Trương Nhĩ: “Hai ông là khách trọ, muốn khiến Triệu quy phụ, khó đấy, chỉ có lập con cháu Triệu, dùng nghĩa phò giúp thì có thể thành công.”
乃求得赵歇， 立为赵王，居信都。	Bèn tìm được Triệu Yết, lập làm Triệu vương đóng tại Tín Đô.
张耳与赵王歇走入 钜鹿城，王离围之。	Trương Nhĩ cùng Triệu vương là Yết chạy vào thành Cự Lộc, Vương Ly bao vây.
陈馀北收常山兵，得数万人，军钜鹿北。	Trần Dư lên phía bắc thu quân ở Thường Sơn, được mấy vạn người, đóng quân phía bắc Cự Lộc.
王离兵食多，急攻钜鹿。	Quân Vương Ly lương nhiều, tấn công kíp Cự Lộc.
钜鹿城 中食尽兵少，张耳数使人召前陈馀，陈馀自度兵少，不敌秦，不敢 前。	Trong thành Cự Lộc lương hết quân ít, Trương Nhĩ nhiều lần sai người nói Trần Dư tiến quân, Trần Dư tự xét quân ít, không địch nổi Tần, không dám tiến.
数月，张耳大怒，怨陈馀，使张黡、陈泽往让陈馀 曰：“始吾与公为刎颈交，今王与耳旦暮且死，而公拥兵数万，不肯 相救，安在其相为死！苟必信，胡不赴秦军俱死？且有十一二相 全。”	Được mấy tháng, Trương Nhĩ cả giận, oán Trần Dư, sai Trương Yểm, Trần Thích đến trách Trần Dư rằng: “Ban đầu tôi cùng ông kết sinh tử chi giao, nay đại vương và Nhĩ này sớm tối là chết, mà ông cầm mấy vạn quân, không chịu ứng cứu, như thế đâu phải dám chết vì nhau! Nếu thực thủ tín, sao không xông vào quân Tần cùng chết? Như thế hoặc giả có một hai phần bảo toàn được nhau.”
陈馀曰：“吾度前终不能救赵，徒尽亡 军。且馀所以不俱死，欲为赵王、张君报秦。今必俱死，如以肉委饿 虎，何益？”	Trần Dư đáp: “Tôi thấy trước sau không thể cứu Triệu, chỉ đem quân tận diệt thôi. Vả Dư này sở dĩ không cùng chết, muốn báo thù Tần cho Triệu vương và Trương quân. Nay cùng chết cả, như đem thịt ném cho hổ đói, ích gì đâu?”
张黡、陈泽曰：“事已急，要以俱死立信，安知後 虑！”	Trương Yểm, Trần Thích nói: “Việc đã nguy cấp, hãy cùng chết để làm tin, cần gì nghĩ việc về sau!”
陈馀曰：“吾死顾以为无益。必如公言。”	Trần Dư nói: “Tôi chết chỉ vô ích. Nhưng xin theo lời ông.”
乃使五千人令张 黡、陈泽先尝秦军，至皆没。	Bèn sai năm nghìn quân cho Trương Yểm, Trần Thích đến trước thử sức quân Tần, đều chết hết.
当是时，燕、齐、楚闻赵急，皆来救。	Bấy giờ, Yên, Tề, Sở nghe tin Triệu nguy cấp, đều đến cứu ứng.
张敖亦北收代兵，得万馀 人，来，皆壁馀旁，未敢击秦。	Trương Ngao cũng lên bắc thu quân đất Đại, được hơn vạn người, kéo đến, đều đóng bên cạnh Trần Dư, chưa dám đánh Tần.
涉间自杀。	Thiệp Nhàn tự sát.
於是赵王歇、张耳乃得出钜鹿，谢诸侯。	Bởi thế Triệu vương là Yết, Trương Nhĩ mới ra được khỏi Cự Lộc, bái tạ chư hầu.
张耳与陈馀相见，责让 陈馀以不肯救赵，及问张黡、陈泽所在。	Trương Nhĩ và Trần Dư gặp nhau, Nhĩ trách Trần Dư không chịu cứu Triệu, rồi hỏi Trương Yểm, Trần Thích ở đâu.
陈馀怒曰：“张黡、陈泽以 必死责臣，臣使将五千人先尝秦军，皆没不出。”	Trần Dư giận đáp: “Trương Yểm, Trần Thích đòi tôi cùng chết, tôi sai năm nghìn quân đi trước thử sức quân Tần, đều chết không thoát được ra.”
张耳不信，以为杀 之，数问陈馀。	Trương Nhĩ không tin, cho là Dư giết họ, hỏi Trần Dư mấy lần.
陈馀怒曰：“不意君之望臣深也！ 岂以臣为重去将哉？”	Trần Dư giận nói: “Không ngờ ông oán tôi sâu thế! Há nghĩ tôi coi trọng không dám bỏ ấn tướng chăng?”
乃脱解印 绶，推予张耳。	Bèn cởi ấn tướng, đưa cho Trương Nhĩ.
张耳亦愕不受。	Trương Nhĩ cũng ngạc nhiên không nhận.
客有说张耳曰：“臣 闻‘天与不取，反受其咎’。今陈将军与君印，君 不受，反天不祥。急取之！”	Có người khách nói với Trương Nhĩ: “Tôi nghe: 'Trời trao không lấy, trái lại bị tội.' Nay Trần tướng quân trao ấn cho ngài, ngài không nhận, trái ý trời ắt không tốt lành. Nhận ngay đi!”
张耳乃佩其印，收其麾下。	Trương Nhĩ bèn đeo ấn, thu hết thuộc hạ của Dư.
而陈馀还， 亦望张耳不让，遂趋出。	Trần Dư trở lại, cũng oán Trương Nhĩ không chịu từ chối ấn tín, bèn bỏ ra ngoài.
张耳 遂收其兵。	Trương Nhĩ liền thu quân của Trần Dư.
陈馀独与麾下所善数百人之河上泽中渔猎。	Trần Dư cùng mấy trăm bộ hạ thân tín làm nghề đánh cá trong đầm trên Hoàng Hà.
由此陈馀、张 耳遂有卻。	Từ đấy Trần Dư, Trương Nhĩ sinh hiềm khích.
赵王歇复居信都。	Triệu vương Yết về ở Tín Đô.
张耳从项羽诸侯入关。	Trương Nhĩ theo chư hầu cùng Hạng Vũ vào Quan Trung.
汉元年二月，项羽立诸 侯王，张耳雅游， 人多为之言，项羽亦素数闻张耳贤，乃分赵立张耳为常山王，治信 都。	Hán vương năm đầu, tháng Hai, Hạng Vũ lập vua các chư hầu, Trương Nhĩ vốn giao du rộng, được nhiều người nói giúp, Hạng Vũ cũng nhiều lần nghe nói Trương Nhĩ hiền năng, bèn chia nước Triệu, lập Trương Nhĩ làm Thường Sơn vương, trị sở ở Tín Đô.
陈馀客多说项羽曰：“陈馀、张耳一体有功於赵。”	Nhiều tân khách của Trần Dư nói với Hạng Vũ rằng: “Trần Dư, Trương Nhĩ có công như nhau ở Triệu.”
项羽以陈馀 不从入关，闻其在南皮， 即以南皮旁三县以封之，而徙赵王歇王代。	Hạng Vũ cho rằng Trần Dư không theo vào Quan Trung, nghe nói Nhĩ ở Nam Bì, liền đem ba huyện bên cạnh Nam Bì phong cho, rồi dời Triệu vương Yết ra đất Đại.
张耳之国，陈馀愈益怒，曰：“张耳与馀功等也，今张耳王，馀 独侯，此项羽不平。”	Nhĩ làm vương, Trương Nhĩ đến nước được phong, Trần Dư càng thêm giận, nói: “Trương Nhĩ và Dư công lao ngang nhau, nay riêng Dư làm hầu, như thế Hạng Vũ không công bằng.”
及齐王田荣畔楚，陈馀乃使夏说说 田荣曰：“项羽为天下宰不平，尽王诸将善 地，徙故王王恶地，今赵王乃居代！原王假臣兵，请以南皮为扞 蔽。”	Đến khi Tề vương là Điền Kinh phản Sở, Trần Dư bèn sai Hạ Duyệt nói với Điền Vinh rằng: “Hạng Vũ làm chủ thiên hạ mà không công bằng, phong các tướng làm vua chỗ đất tốt, dời các vua cũ ra nơi đất xấu, nay Triệu vương ở đất Đại! Nếu đại vương cho tôi mượn quân, xin đem Nam Bì làm phên giậu.”
田荣欲树党於赵以反楚，乃遣兵从陈馀。	Điền Kinh muốn tạo đảng Triệu để phản Sở, bèn phái quân theo Trần Dư.
陈馀因悉三县兵袭常 山王张耳。	Trần Dư nhân đó đem hết quân ba huyện đánh úp Thường Sơn vương Trương Nhĩ.
