舞阳侯樊哙者， 沛人也。 以屠狗为事， 与高祖俱隐。	Phàn Khoái Vũ Dương hầu Phàn Khoái, người huyện Bái, làm nghề thịt chó, ẩn cư cùng Cao tổ.
击破赵贲军开封北，以卻敌先登，斩候一人，首 六十八级，捕虏二十七人，赐爵卿。	Đánh phá quân Triệu Bôn phía bắc Khai Phong, xông lên trước đẩy lui quân địch, chém một Quân hầu cùng sáu mươi tám thủ cấp, bắt sống hai mươi bảy quân địch, được ban tước khanh.
从攻破杨熊军於曲遇。	Theo đi đánh phá quân Dương Hùng ở Củ Ngung.
攻宛 陵，先 登，斩首八级，捕虏四十四人，赐爵封号贤成君。	Đánh Uyển Lăng, xông lên trước, chém tám thủ cấp, bắt sống bốn mươi bốn quân địch, được ban tước phong hiệu Hiền Thành quân.
从攻长社、轘辕， 绝河津，东 攻秦军於尸，南攻秦军於犨。	Theo đánh Trường Xã, Hoàn Viên, chặn bến sông Hoàng Hà, đông đánh quân Tần ở đất Thi, nam đánh quân Tần ở đất Xu.
破南阳守齮於阳城。	Phá Quận thú Nam Dương là Kỹ ở Dương Thành.
东攻宛城，先登。 西至郦， 以卻敌，斩首二十四级，捕虏四十人，赐重封。	Đông đánh Uyển Thành, xông lên trước, Tây đến đất Lịch, do đẩy lui địch, chém được hai mươi tư thủ cấp, bắt sống bốn mươi quân địch, được thưởng trọng hậu.
攻武关，至霸上，斩都尉一人，首十级， 捕虏百四十六人，降卒二千九百人。	Tấn công Vũ Quan, tiến đến Bá Thượng, chém được một Đô úy, mười thủ cấp, bắt sống một trăm bốn mươi sáu quân địch, thu được hai nghìn chín trăm quân hàng.
项羽在戏下，欲攻沛公。	Hạng Vũ ở Hý Hạ, muốn đánh Bái công.
沛公如厕，麾樊哙去。	Bái công đi nhà xí, vẫy Phan Khoái cùng đi.
既出，沛公留车骑，独骑一马，与樊哙等 四人步从，从间道山下归走霸上军，而使张良谢项羽。	Ra ngoài, Bái công bảo tên lính đánh xe ở lại, một mình một ngựa, cùng bốn người bọn Phan Khoái chạy bộ theo, men đường nhỏ trên núi xuống chạy về quân doanh ở Bá Thượng, rồi sai Trương Lương tạ lỗi với Hạng Vũ.
汉王赐哙爵为列侯，号临 武侯。 迁为郎中，从入汉中。	Hán vương ban cho Khoái tước liệt hầu, hiệu là Lâm Vũ hầu, thăng làm Lang trung, cho theo vào Hán Trung.
还定三秦，别击西丞白水北， 雍轻车骑於雍南，破 之。	Về bình định Tam Tần, đánh Huyện thừa đất Tây ở bắc Bạch Thủy, tấn công quân khinh xa và quân kỵ của Ung vương ở nam đất Ung, phá được.
从攻雍、斄城，先登击章平军 好畤， 攻城，先登陷阵，斩县令丞各一人，首十一级，虏二 十人，迁郎中骑将。	Theo đánh thành Ung, thành Thái, xông lên trước. Đánh quân Chương Hàm ở Hảo Chỉ, đánh thành, xông lên trước hãm trận, chém Huyện lệnh, Huyện thừa và mười một thủ cấp, bắt sống hai mươi quân địch, được thăng lên Lang trung kỵ tướng.
从击秦车骑壤东， 卻敌，迁为将军。	Theo đánh quân kỵ của Tần ở phía đông đất Nhưỡng, đẩy lui địch, được thăng tướng quân.
攻赵贲，下郿、 槐里、柳中、咸阳；灌废丘， 最。	Đánh Triệu Bôn, hạ được đất My, Hòe Lý, Liễu Trung, Hàm Dương, dẫn nước nhấn chìm Phế Khưu, lập công đầu.
至栎阳，赐食邑杜之樊乡。	Đến Lịch Dương, được ban thực ấp tại Phàn Hương huyện Đỗ.
从攻项籍，屠煮枣。	Theo đánh Hạng Tịch, làm cỏ cả Chử Tảo.
击破王武、程处军於外黄。	Đánh phá quân của Vương Vũ và Trình Xử ở Ngoại Hoàng.
攻邹、鲁、瑕丘、薛。	Tấn công đất Trâu, Lỗ, Hà Khưu và Tiết.
哙还至荥阳，益食平阴二千户， 以将军守广武。	Khoái về đến Huỳnh Dương, lại được thực ấp hai nghìn hộ tại Bình Âm, lấy danh nghĩa tướng quân giữ Quảng Vũ.
从高祖击项籍，下阳夏， 虏楚周将军卒四千人。	Theo Cao tổ đánh Hạng Tịch, hạ được Dương Giả, bắt được bốn nghìn quân của Chủ tướng quân nước Sở.
围项籍於陈， 大破之。	Bao vây Hạng Tịch ở đất Trần, cả phá được.
屠胡陵。	Làm cỏ cả Hồ Lăng.
更赐爵列侯，与诸侯剖符，世世勿绝，食舞阳，号为舞阳 侯，除前所食。	Lại được ban tước liệt hầu, cùng chư hầu nhận phù tiết, đời đời không dứt, thực ấp tại Vũ Dương, hiệu là Vũ Dương hầu, bãi bỏ thực ấp trước đây.
以将军从高祖攻反韩王信於代。	Lấy danh nghĩa tướng quân theo Cao tổ đánh Hàn vương Tín làm phản ở đất Đại.
因击陈豨与曼丘臣军， 战襄国，破柏人，先登，降 定清河、常山凡二十七县，残东垣， 迁为左丞相。	Nhân đó, đánh quân của Trần Hy và Man Khâu Thần, giao chiến ở Tương Quốc, phá Bách Nhân, xông lên trước; bức hàng, bình định Thanh Hà, Thường Sơn gồm hai mươi bảy huyện, san phẳng Đông Viên, được thăng làm Tả thừa tướng.
破豨别将 胡人王黄军於代南，因击韩信军於参合。	Phá quân của biệt tướng của Hy là Vương Hoàng người Hồ ở nam đất Đại, nhân đó đánh quân Hàn Tín tại Tam Hợp. Quân sĩ dưới quyền chém được Hàn Tín.
与诸将共定代乡邑七十三。	Cùng các tướng bình định bảy mươi ba hương ấp đất Đại.
益食邑千三百户，定食舞阳五千四百 户。	Thêm thực ấp một nghìn ba trăm hộ, định thực ấp ở Vũ Dương là năm nghìn bốn trăm hộ.
从，斩首百七十六级，虏二百八十八人。	Phàn Khoái theo Cao tổ đi chinh chiến, cả thảy chém được một trăm bảy mươi sáu thủ cấp, bắt sống hai trăm tám mươi tám quân địch.
别，破军七，下城五， 定郡六，县五十二，得丞相一人，将军十二人，二千石已下至三百石 十一人。	Một mình cầm quân, phá bảy đội quân, hạ năm thành, bình định sáu quận, năm mươi hai huyện, bắt được một Thừa tướng, mười hai tướng quân, mười một viên quan từ hàng hai nghìn thạch xuống đến ba trăm thạch.
上独枕一宦者卧。	Hoàng thượng một mình nằm gối đầu lên viên hoạn quan.
高帝笑而起。	Cao đế cười rồi dậy.
孝惠六年，樊哙卒，谥为武侯。	Hiếu Huệ đế năm thứ sáu, Phan Khoái chết, thụy là Vũ hầu.
舞阳侯中绝数月。	Tước Vũ Dương hầu gián đoạn mấy tháng.
孝文帝 既立，乃复封哙他庶子市人为舞阳侯，复故爵邑。	Hiếu Văn đế lên ngôi, bèn khôi phục cho con ngành thứ của Khoái là Thị Nhân làm Vũ Dương hầu, tước vị ấp phong như trước.
市人立二十九岁 卒，谥为荒侯。	Thị Nhân được phong hầu hai mươi chín năm thì chết, thụy là Hoang hầu.
诏下吏。	Hạ chiếu thẩm xét.
曲周侯郦商者，高阳人。	Lịch Thương Khúc Chu hầu Lịch Thương, người Cao Dương.
从攻长社，先登，赐爵封信成君。	Theo đánh Trường Xã, xông lên trước, được phong tước Tín Thành quân.
从沛公攻缑氏，绝河津，破 秦军洛阳东。	Theo Bái công tấn công họ Câu, chặn bến Hoàng Hà, phá quân Tần ở đông Lạc Dương.
从攻下宛、穰，定十七县。	Theo đánh hạ đất Uyển, đất Nhương, bình định mười bảy huyện.
项羽灭秦，立沛公为汉王。	Hạng Vũ diệt Tần, lập Bái công làm Hán vương.
汉王赐商爵信成君，以将军为陇西都 尉。	Hán vương ban cho Thượng tước Tín Thành quân, cho đem quân làm Đô úy Lũng Tây.
别将定北地、上郡。	Bình Định Bắc Địa, Thượng Quận.
赐食邑武成六千户。	Được ban thực ấp sáu nghìn hộ ở Vũ Thành.
以梁相国将从击项羽二岁三月，攻胡陵。	Với danh nghĩa Tướng quốc nước Lương theo đánh Hạng Vũ hai năm ba tháng, tấn công Hồ Lăng.
其秋，燕王臧荼反，商以将军从击荼， 战龙脱， 先登陷阵，破荼军易下， 卻敌，迁为右丞相，赐爵列侯，与诸侯剖符，世世勿绝，食 邑涿五千户，号曰涿侯。	Mùa thu năm ấy, Yên vương Tang Đồ làm phản, Thương với danh nghĩa tướng quân theo đánh Đồ, giao chiến ở Long Thoát, xông lên phá trận, đánh tan quân Đồ dưới thành huyện Dịch, đẩy lui địch, thăng làm Hữu thừa tướng, ban tước liệt hầu, cùng chư hầu nhận phù tiết, đời đời nối truyền, hưởng thực ấp năm nghìn hộ tại đất Trác, hiệu là Trác hầu.
还，以将军为 太上皇卫一岁七月。	Trở về, lấy danh nghĩa tướng quân làm hộ vệ Thái thượng hoàng một năm bảy tháng.
又以右丞相从高帝击 黥布，攻其前拒， 陷两陈，得以破布军，更食曲周 五千一百户，除前所食，凡别破军三，降定郡六，县七十三，得丞 相、守相、大将各一人，小将二人，二千石已下至六百石十九人。	Lại lấy thân phận Hữu thừa tướng theo Cao đế đánh Kình Bố, đánh mũi tiên phong, hãm hai trận, phá được quân Bố. Lại hưởng năm nghìn một trăm hộ ở Khúc Chu, phế bỏ đất phong cũ. Từng phá riêng ba cánh quân, bức hàng bình định sáu quận, bảy mươi ba huyện, bắt được Thừa tướng, Thú tướng, đại tướng mỗi chức một viên, tiểu tướng hai viên, quan hai nghìn thạch xuống đến sáu trăm thạch cả thảy mười chín viên.
孝景前三年，吴、楚、齐、赵反，上以寄为将军，围赵城，十月 不能下。	Hiếu Cảnh đế niên hiệu Tiền Nguyên năm thứ ba, các nước Ngô, Sở, Tề, Triệu làm phản, Cảnh đế cho Ký làm tướng quân, bao vây thành Triệu, mười tháng chưa hạ nổi.
汝阴侯夏侯婴，沛人也。	Hạ Hầu Anh Nhữ Âm hầu Hạ Hầu Anh, người huyện Bái.
每送使客还，过沛泗上亭，与高祖语，未尝 不移日也。	Khi đưa sứ hay khách về, qua đình Tứ Thượng huyện Bái, cùng Cao tổ nói chuyện, chưa lần nào không nói chuyện cả ngày.
高祖戏而伤婴，人有告高 祖。	Cao tổ đùa khiến Anh bị thương, có người tố cáo Cao tổ.
高祖之初与徒属欲攻沛也，婴时以县令史为高祖使。	Ban đầu Cao tổ cùng thuộc hạ muốn đánh huyện Bái, lúc đó Anh lấy danh nghĩa viên lại của Huyện lệnh chịu Cao tổ sai phái.
上降沛一日，高祖为沛 公，赐婴爵七大夫，以为太仆。	Hôm hàng phục huyện Bái, Cao tổ làm Bái công, ban Anh tước thất đại phu, cho làm Thái bộc.
从攻胡陵，婴与萧何降泗水监平， 平以胡陵降，赐婴 爵五大夫。	Theo đánh Hồ Lăng, Anh cùng Tiêu Hà hàng phục Huyện giám Tử Thủy là Bình, Bình đem Hồ Lăng ra hàng, ban cho Anh tước ngũ đại phu.
从击秦军砀东，攻济阳，下户牖，破李由军雍丘下，以兵 车趣攻战疾，赐爵执帛。	Theo đánh quân Tần ở động đất Đãng, tấn công Tế Dương, hạ Hộ Dũ, phá quân Lý Do dưới thành Ung Khưu, đem binh xa tấn công chớp nhoáng, được ban tước chấp bạch.
常以太仆奉车从击章邯军东阿、濮阳下，以 兵车趣攻战疾，破之，赐爵执珪。	Từng lấy danh nghĩa Thái bộc đem chiến xa theo đánh quân Chương Hàm ở Đông A và Bộc Dương, đem binh xa tấn công chớp nhoáng, phá địch, được ban tước chấp khuế.
复常奉车从击赵贲军开封，杨熊军 曲遇。	Lại từng đem chiến xa theo đánh quân Triệu Bôn ở Khai Phong, quân Dương Hùng ở Củ Ngung.
婴从捕虏六十八人，降卒八百五十人，得印一匮。	Anh theo Cao tổ, bắt sống sáu mươi tám quân địch, bức hàng tám trăm năm mươi lính, thu một hòm ấn.
因复常奉车从击秦军雒阳东，以 兵车趣攻战疾，赐爵封转为滕公。	Nhân đó lại từng đem chiến xa theo đánh quân Tần ở đông Lạc Dương, dẫn binh xa tấn công chớp nhoáng, được đổi ban tước đẳng công.
因复奉车从攻南阳，战於蓝田、芷阳， 以兵车趣攻战疾，至霸上。	Rồi đem chiến xa theo đánh Nam Dương, giao chiến ở Lam Điền, Chỉ Dương, kéo binh xa tấn công chớp nhoáng, đến Bá Thượng.
项羽至，灭 秦，立沛公为汉王。	Hạng Vũ tới, diệt Tần, lập Bái công làm Hán vương.
汉王赐婴爵列侯，号昭平侯，复为太仆，从入 蜀、汉。	Hán vương ban Anh tước liệt hầu, hiệu Chiêu Bình hầu, lại làm Thái bộc, theo vào đất Thục, Hán.
还定三秦，从击项籍。	Trở về bình định Tam Tần, theo đánh Hạng Tịch.
至彭城，项羽大破汉军。	Đến Bành Thành, Hạng Vũ đại phá quân Hán.
因从击韩信军胡骑晋阳旁，大破之。	Nhân đó theo đánh quân kỵ người Hồ của Hàn Tín cạnh Tấn Dương, đại phá được.
追北至平城，为胡所围，七日不 得通。	Đuổi lên bắc đến Bình Thành, bị Hồ bao vây, bảy ngày không phá được.
复以 太仆从击胡骑句注北，大破之。	Lại lấy danh nghĩa Thái bộc theo đánh kỵ binh người Hồ ở bắc Cú Chú, cả phá được.
以太仆击胡骑平城南，三陷陈，功为 多，赐所夺邑五百户。	Lấy danh nghĩa Thái bộc đánh quân kỵ người Hồ ở nam Bình Thành, ba lần hãm trận, lập nhiều công, được ban năm trăm hộ trong các ấp chiếm được.
婴自上初起沛，常为太仆，竟高祖崩。	Từ khi Hoàng thượng mới dấy lên ở huyện Bái, Anh luôn làm Thái bộc, đến khi Cao tổ băng.
八岁卒，谥为文侯。	Tám năm sau thì chết, thụy là Văn hầu.
子共侯赐立，三十一年卒。	Con Táo là Cộng hầu Tứ lên thay, được ba mươi mốt năm thì chết.
高祖之为沛公，略地至雍丘下，章邯败 杀项梁，而沛公还军於砀，婴初以中涓从击破东郡尉於成武及秦军於 扛里，疾斗，赐爵七大夫。	Cao tổ làm Bái công, đánh chiếm đất đai đến dưới thành Ung Khưu, Chương Hàm đánh giết Hạng Lương, Bái công rút quân về đất Đãng. Hồi đầu Anh lấy danh nghĩa thân tín theo đánh phá Quận úy Đông Quận ở Thành Vũ cùng quân Tần ở Giang Lý, dốc sức chiến đấu, được ban tước thất đại phu.
从攻秦军亳南、开封、曲遇，战疾力， 赐爵执帛，号宣陵君。	Theo đánh quân Tần ở nam đất Bạc, Khai Phong, Củ Ngung, dốc sức chiến đấu, được tặng tước chấp bạch, hiệu Tuyên Lăng quân.
从攻阳武以西至雒阳， 破秦军尸北，北绝河津，南破南阳守齮阳城东，遂定南阳郡。	Theo đánh Dương Vũ, sang tây đến Lạc Dương, phá quân Tần ở bắc đất Thi, bắc chặn bến Hoàng Hà, nam phá Quận thú Nam Dương là Kỹ ở phía đông Dương Thành, bình định quận Nam Dương.
西入武 关，战於蓝田，疾力，至霸上，赐爵执珪，号昌文君。	Tây vào Vũ Quan, giao chiến ở Lam Điền, ra sức đánh, đến Bá Thượng, được ban tước chấp khuê, hiệu Xương Văn quân.
从 还定三秦，下栎阳，降塞王。	Theo về bình định Tam Tần, hạ được Lịch Dương, bức hàng Tái vương.
还围章邯於废丘，未拔。	Trở về bao vây Chương Hàm ở Phế Khưu, chưa hạ được.
从东出临晋 关，击降殷王，定其地。	Theo sang đông ra khỏi ải Lâm Tấn, đánh hàng Ân vương, bình định đất đai.
击项羽将龙且、魏相项他军定陶南，疾战， 破之。	Đánh tướng Long Thư của Hạng Vũ và Tướng quốc Hạng Tha nước Ngụy ở nam Định Đào, dốc sức đánh, phá được.
赐婴爵列侯，号昌文侯，食杜平乡。	Ban cho Anh tước liệt hầu, hiệu Xương Văn hầu, thực ấp ở Bình Hương đất Đỗ.
复以中谒者从降下砀，以至彭城。	Lại lấy danh nghĩa Trung yết giả theo đi bức hàng hạ huyện Đãng, kéo đến Bành Thành.
项羽击，大破汉王。	Hạng Vũ tấn công, cả phá Hán vương.
汉王遁而 西，婴从还，军於雍丘。	Hán vương chạy trốn sang tây, Anh chạy theo, đóng quân ở Ung Khưu.
王武、魏公申徒反， 从击破之。	Vương Vũ và Ngụy công Thân Đồ làm phản, theo đánh phá được.
攻下黄， 西收兵，军於荥阳。	Đánh hạ đất Hoàng, sang tây thu quân, đóng ở Huỳnh Dương.
击项羽之将项冠於鲁下，破之，所将卒斩右司马、骑将各 一人。	Đánh tướng Hạng Quán của Hạng Vũ dưới thành nước Lỗ, phá được, tướng sĩ chém được một viên Hữu tư mã, một viên Kỵ tướng.
击破柘公王武， 军於燕西，所将卒斩楼烦将五人， 连尹一人。	Đánh phá quân của Gia Công Vương Vũ, phía tây nước Yên, tướng sĩ chém được năm viên tướng Lâu Phiền, một viên Liên doãn.
击王武别将桓婴白马下，破之，所将卒斩都尉一人。	Đánh biệt tướng Hoàn Anh của Vương Vũ dưới thành Bạch Mã, phá được, tướng sĩ chém được một viên Đô úy.
还至敖仓，婴迁为 御史大夫。	Về đến Ngao Thương, Anh được thăng làm Ngự sử đại phu.
三年，以列侯食邑杜平乡。	Hán vương năm thứ ba, cho hưởng thực ấp tước liệt hầu tại Bình Hương huyện Đỗ.
转南，破薛郡长，身虏骑将一人。	Chuyển sang phía nam, phá Quận thú Tiết Quận, đích thân bắt sống một Kỵ tướng.
攻阳，前至下相以东南僮、取 虑、徐。	Đánh Phó Dương, trước tiên đến đất Đồng, Thu Lự và Từ ở phía đông nam Hạ Tương.
项羽使项声、薛公、 郯公复定淮北。	Hạng Vũ sai Hạng Thanh, Tiết Công, Đàm công bình định vùng bắc sông Hoài.
婴度淮北，击破项声、郯公下邳， 斩薛公，下下邳，击破楚骑於平阳， 遂降彭城，虏柱国项佗，降 留、薛、沛、酂、萧、相。	Anh qua sông Hoài lên phía bắc, đánh phá Hạng Thanh và Đàm Công ở Hạ Bi, chém Tiết công, hạ được Hạ Bi, đánh phá quân kỵ của Sở ở Bình Dương, bức hàng Bành Thành, bắt sống Trụ quốc Hạng Đà, bức hàng các đất Lưu, Tiết, Bái, Toản, Tiêu, Tướng.
从击项籍军於陈下，破之，所将卒斩楼烦将二 人，虏骑将八人。	Theo đánh quân Hạng Tịch dưới thành đất Trần, phá được, tướng sĩ chém được hai viên tướng Lâu Phiền, bắt được tám viên Kỵ tướng.
赐益食邑二千五百户。	Được ban thêm thực ấp hai nghìn năm trăm hộ.
所将卒五人共斩项籍，皆赐爵列 侯。	Tướng sĩ năm người cùng chém Hạng Tịch, đều được ban tước liệt hầu.
下东城、历 阳。	Đánh hạ Đông Thành, Lịch Dương.
渡江，破吴郡长吴下， 得吴守，遂定吴、豫章、会稽郡。	Vượt Trường Giang, phá Quận thú Ngô Quận dưới thành đất Ngô, bắt sống Quận thú Ngô Quận, bình định Ngô Quận, Dự Chương, Cối Kê.
还定淮北，凡 五十二县。	Kéo về bình định phía bắc sông Hoài, gồm năm mươi hai huyện.
复 从击韩信胡骑晋阳下，所将卒斩胡白题将一人。	Lại theo đánh kỵ binh người Hồ của Hàn Tín dưới thành Tấn Dương, tướng sĩ chém một tướng bộ tộc Bạch Đề của Hồ.
至平城，为胡所围， 从还军东垣。	Đến Bình Thành, bị Hồ bao vây, phá vây theo về Đông Viên.
从击陈豨，受诏别攻豨丞相侯敞军曲逆下，破之，卒斩敞及特将 五人。	Theo đánh Trần Hy, nhận chiếu đánh quân Thừa tướng Hầu Sưởng của Hy dưới thành Khúc Nghịch, phá được, lính chém được Sưởng cùng năm viên đặc tướng.
降曲逆、卢奴、上曲阳、 安国、安平。	Hàng phục được các đất Khúc Nghịch, Lư Nô, Thượng Khúc Dương, An Quốc, An Bình.
攻下东垣。	Đánh hạ Đông Viên.
黥布反，以车骑将军先出，攻布别将於相，破之，斩亚将楼烦将 三人。	Kình Bố làm phản, lấy thân phận Xa kỵ tướng quân dẫn binh đi trước, đánh biệt tướng của Bố ở đất Tương, phá được, chém á tưởng, và ba tướng Lâu Phiền.
又进击破布上柱国军及大司马军。	Lại tiến đánh phá quân Thượng trụ quốc cùng quân Đại tư mã của Bố.
益食二千五百户。	Thêm thực ấp hai nghìn năm trăm hộ.
凡从得二千石二人，别 破军十六，降城四十六，定国一，郡二，县五十二，得将军二人，柱 国、相国各一人，二千石十人。	Trước sau Anh bắt được hai tướng hạng hai nghìn thạch, cầm quân phá mười sáu cánh quân, hàng phục bốn mươi sáu thành, bình định một nước, hai quận, năm mươi hai huyện, bắt hai tướng quân, một Trụ quốc, một Tướng quốc, mười quan hạng hai nghìn thạch.
上将军吕禄等闻之，乃遣婴为大将，将军往击之。	Bọn thượng tướng quân Lã Lộc nghe tin, bèn sai Anh làm đại tướng, đem quân qua đánh.
二 十八年卒，子彊代侯。	Tại vị hai mươi mốt năm thì A chết, con là Cương thay tước hầu.
十三年，彊有罪，绝二岁。	Được mười ba năm, Cương có tội, tước hầu gián đoạn hai năm.
沛公从百馀骑因项伯面见项羽，谢无有 闭关事。	Bái công cùng trên trăm quân kỵ thông qua Hạng Bá gặp Hạng Vũ, nói không có ý đóng cửa quan ngăn cản.
项羽既飨军士，中酒，亚父谋欲杀 沛公，令项庄拔剑舞坐中，欲击沛公，项伯常蔽之。	Hạng Vũ khao thưởng quân sĩ, trong cuộc rượu, Á phụ [Phạm Tăng] âm mưu giết Bái công, lệnh Hạng Trang tuốt kiếm múa trợ hứng, muốn đâm Bái công, Hạng Bá lấy thân mình che.
时独沛公与张良 得入坐，樊哙在营外，闻事急，乃持铁盾入到营。	Lúc ấy chỉ có Bái công và Trương Lương được vào ngồi, Phan Khoái ở ngoài doanh, nghe tin nguy cấp, bèn cầm thuẫn sắt tiến vào quân doanh.
营卫止哙，哙直撞 入，立帐下。	Vệ sĩ trong doanh ngăn Khoái, Khoái xông thẳng vào, đứng ngay dưới trướng.
项羽目之，问为 谁。	Hạng Vũ nhìn Khoái, hỏi là ai.
张良曰：“沛公参乘樊哙。”	Trương Lương đáp: “Viên tham thừa của Bái công.”
项羽曰：“壮士。”	Hạng Vũ khen: “Tráng sĩ.”
哙既饮酒，拔剑切肉食，尽之。	Khoái uống rượu xong, tuốt kiếm cắt thịt, ăn hết đùi lợn.
项羽曰：“能复饮乎？”	Hạng Vũ nói: “Có uống nữa không?”
哙 曰：“臣死且不辞，岂特卮酒乎！且沛公先入定咸阳，暴师霸上，以 待大王。大王今日至，听小人之言，与沛公 有隙，臣恐天下解，心疑大王也。”	Khoái nói: “Thần chết còn không từ, há chỉ chén rượu ư! Vả Bái công bình định Hàm Dương trước, quân binh dãi dầu ở Bá Thượng, để chờ đại vương. Nay đại vương đến, nghe lời tiểu nhân, gây hiềm với Bái công, thần sợ thiên hạ tan rã vì trong lòng nghi ngờ đại vương.”
项羽默 然。	Hạng Vũ nín thinh.
项羽亦因遂 已，无诛沛公之心矣。	Hạng Vũ nhân đó bèn thôi, không có ý giết Bái Công nữa.
是日微樊哙饹入营谯让项羽， 沛公事几殆。 明日，项羽入屠咸阳，立沛公为汉王。	Hôm ấy nếu Phàn Khoái không chạy vào doanh trách Hạng Vũ, Bái công đã gặp nguy. Hôm sau, Hạng Vũ vào làm cỏ cả Hàm Dương, lập Bái công làm Hán vương.
项羽败汉王於彭城，尽复取鲁、 梁地。	Hạng Vũ đánh bại Hán vương ở Bành Thành, thu hết đất Lỗ và Lương.
一岁，项羽引而东。	Được một năm, Hạng Vũ dẫn quân sang phía đông.
项籍既死，汉王为帝，以哙坚守战有功，益食八百户。	Hạng Tịch đã chết, Hán vương lên ngôi hoàng đế, Khoái phòng thủ chắc, lập nhiều công, được gia phong thực ấp tám trăm hộ.
楚王韩信反，哙从至陈，取信，定楚。	Sở vương Hàn Tín làm phản, Khoái theo đến đất Trần, bắt được Tín, bình định Sở.
自霍人以往 至云中， 与绛侯等共定 之，益食千五百户。	Cùng bọn Giáng hầu bình định từ đất Hoắc Nhân đến Vân Trung, được thêm thực ấp một nghìn năm trăm hộ.
破 得綦毋卬、尹潘军於无终、广昌。	Phá được quân của Kỳ Vô Ngang, Doãn Phiên ở Vô Chung, Quảng Xương.
军所 将卒斩韩信，破豨胡骑横谷，斩将军赵既，虏 代丞相冯梁、守孙奋、大将王黄、将军、太仆解福等十 人。	Phá quân kỵ người Hồ của Hy tại Hoành Dục, chém tướng quân Triệu Ký, bắt sống Thừa tướng nước Đại là Phùng Lương, Quận thú Tôn Phấn, đại tướng Vương Hoàng, tướng quân Thái bộc là Giải Phúc gồm mười người.
群臣绛、灌等莫敢入。	Bọn Giáng, Quán không ai dám vào.
十馀日，哙乃排闼直入， 大臣随之。	Hơn mười ngày sau, Khoái bèn đẩy cửa vào thẳng cung, đại thần theo sau.
哙等见上流涕曰：“始陛下与臣等 起丰沛，定天下，何其壮也！今天下已定，又何惫也！且陛下病甚， 大臣震恐，不见臣等计事，顾独与一宦者绝乎？且陛下独不见赵高之 事乎？”	Bọn Khoái gặp hoàng thượng, khóc nói: “Khi xưa bệ hạ cùng bọn thần dấy lên ở đất Phong, đất Bái, bình định thiên hạ, sao mà mạnh mẽ thế! Nay thiên hạ đã được bình định, sao mỏi mệt vậy! Huống nữa bệ hạ bệnh nặng, đại thần kinh sợ, không gặp chúng thần bàn việc, lại riêng ở cùng viên quan hoạn ư? Bệ hạ không nhớ chuyện của Triệu Cao ư?”
是时高帝病甚，人有恶哙党 於吕氏，即上一日宫车晏驾，则哙欲以兵尽诛灭戚氏、赵王如意之 属。	Bấy giờ Cao đế bệnh nặng, có người ghét Khoái kết đảng họ Lã, liền dâng thư nói ngày nào hoàng thượng băng hà, Khoái sẽ đem quân giết hết đám người họ Thích, Triệu vương Như Ý.
高帝闻之大怒，乃使陈平载绛侯代将，而即军中斩哙。	Cao đế nghe vậy cả giận, bèn sai Trần Bình đưa xe chở Giáng hầu thay làm tướng quân, rồi chém Khoái ngay trong quân.
至则高祖已崩，吕后释哙，使复爵邑。	Về tới thì Cao tổ đã băng, Lã hậu thả Khoái, khôi phục chức tước ấp phong.
子伉代侯。 而伉母吕须亦为临光 侯，高后时用事专权，大臣尽畏之。	Con là Kháng thừa kế tước hầu, còn mẹ Kháng là Lã Tu cũng được phong Lâm Quang hầu. Bấy giờ Cao hậu chuyên quyền, đại thần đều sợ.
