御史大夫韩安国者，梁成安人也， 後徙睢阳。	Ngự sử đại phu Hàn An Quốc là người Thành An nước Lương, sau rời đến Thư Dương.
汉使还报，梁事皆得释， 安国之力也。	Sứ nhà Hán về báo, việc ở nước Lương đều được giải quyết, đó là công của An Quốc vậy.
於是景帝、太后益重安国。	Từ đó Cảnh đế và Thái hậu càng thêm coi trọng An Quốc.
孝王卒，共王即位，安国坐 法失官，居家。	Hiếu vương chết, Cộng vương lên ngôi, An Quốc phạm pháp mất chức, về nhà.
建元中，武安侯田蚡为汉太尉，亲贵用事，安国以五百金物遗 蚡。	Trong niên hiệu Kiến Nguyên, Vũ An hầu Điền Phần làm Thái úy triều Hán, thân cận quyền quý được nằm trọng quyền, An Quốc đem lễ vật trị giá năm trăm cân vàng biếu Phần.
蚡言安国太后，天子亦素闻其贤，即召以为北地都尉，迁为大司 农。	Phần nói về An Quốc với Thái hậu, thiên tử cũng vốn biết tài của An Quốc, liền triệu vào triều cho làm Đô úy Bắc Địa, rồi thăng làm Đại tư nông.
闽越、东越相攻，安国及大行王恢将。	Mân Việt và Đông Việt đánh nhau, An Quốc cùng quan Đại hành Vương Khôi làm tướng xuất chinh.
建元六年，武安侯为丞相，安国为御史大夫。	Năm Kiến Nguyên thứ sáu, Vũ An hầu làm Thừa tướng, An Quốc làm Ngự sử đại phu.
匈奴来请和亲，天子下议。	Hung Nô đến xin giảng hòa kết thân, thiên tử giao cho quần thần bàn nghị.
大行王恢，燕人也，数为边吏，习知 胡事。 议曰：“汉与匈奴和亲，率不过数岁即复倍约。不如勿许，兴 兵击之。”	Đại hành Vương Khôi là người Yên, nhiều lần làm quan nơi biên giới, biết rõ việc ở Hung Nô, bàn rằng: “Hán và Hung Nô giảng hòa kết thân, chưa được vài năm Hung Nô lại bội ước. Chẳng bằng không đồng ý, dấy binh đến đánh.”
安国曰：“千里而战，兵不获利。今匈奴负戎马之足，怀 禽兽之心，迁徙鸟举，难得而制也。得其地不足以为广，有其众不足 以为彊，自上古不属为人。汉数 千里争利，则人马罢，虏以全制其敝。且彊弩之极，矢不能穿鲁缟； 冲风之末，力不能漂鸿毛。非初不劲， 末力衰也。击之不便，不如和亲。”	An Quốc nói: “Đánh xa ngàn dặm, quân không được lợi. Nay Hung Nô cậy binh mã đầy đủ, mang lòng cầm thú, rời chuyển như chim bay, khó mà chế ngự. Được đất của chúng không đủ để mở rộng lãnh thổ, được dân của chúng không đủ để mạnh thêm, từ thượng cổ đã không xem là dân trong nước. Nhà Hán đi mấy nghìn dặm để tranh lợi, sẽ khiến người ngựa mỏi mệt, địch đem toàn lực khống chế điểm yếu của ta. Vả lại cung nỏ hết tầm, mũi tên không thể xuyên qua tấm the mỏng nước Lỗ; xung phong hết sức, không thổi bay nổi một sợi lông hồng. Không phải ban đầu không mạnh, mà sức về cuối suy yếu vậy. Đánh chúng không tiện, chẳng bằng kết thân.”
群臣议者多附安国，於是上许和 亲。	Quần thần tham gia bàn nghị phần nhiều phụ họa theo An Quốc, vì thế Hoàng thượng đồng ý giảng hòa kết thân.
阴使聂翁壹为间，亡入匈 奴，谓单于曰：“吾能斩马邑令丞吏，以城降，财物可尽得。”	Nhà Hán ngầm sai Nhiếp Ông Nhất làm gián điệp, lẻn sang Hung Nô, nói với Thiền vu rằng: “Tôi có thể chém được quan Huyện lệnh, Huyện thừa ở Mã Ấp, đem thành dâng hàng, có thể thu được hết của.”
单于 爱信之，以为然，许聂翁壹。 聂翁壹乃还，诈斩死罪囚，县其头马邑 城，示单于使者为信。 曰：“马邑长吏已死，可急来。”	Thiền vu vui mừng tin tưởng, cho là phải, đồng ý với Nhiếp Ông Nhất, Nhiếp Ông Nhất liền trở về, vợ chém mấy tên tử tù, treo đầu trên thành Mã Ấp, để sứ giả của Thiền vu tưởng thật, nói: “Trưởng lại của huyện Mã Ấp đã chết, hãy đến gấp.”
当是时，汉伏兵车骑材官二十馀万，匿马邑旁谷中。	Bấy giờ, nhà Hán mai phục hơn ba mươi vạn quân xa kỵ và sĩ tốt tinh nhuệ, ẩn mình bên hang núi cạnh Mã Ấp.
卫尉李广为 骁骑将军， 太仆公孙贺为轻车将军， 大行王恢为将屯将军， 太中大夫李息为材官将军。 御史大夫韩安国为护军将军，诸将皆属护军。	Vệ úy Lý Quảng làm Kiêu kỵ tướng quân, Thái bộc Công Tôn Hạ làm Khinh xa tướng quân, Đại hành Vương Khôi làm Tướng đồn tướng quân, Thái trung đại phu Lý Tức làm Tài quan tướng quân, Ngự sử đại phu Hàn An Quốc làm Hộ quân tướng quân, các tướng đều thuộc quyền chỉ huy của Hộ quân.
王恢、李息、李广别从代主击其辎重。	Vương Khôi, Lý Tức, Lý Quảng dẫn các cánh quân chủ công từ đất Đại tiến đánh xe lương của Hung Nô.
於是单于入汉长城武州塞。 未至 马邑百馀里，行掠卤，徒见畜牧於野，不见一人。	Bấy giờ, Thiền vu dẫn quân vào biên ải Vũ Châu thuộc trường thành nhà Hán, còn cách Mã Ấp hơn trăm dặm, tung hoành cướp bóc, chỉ thấy súc vật đầy đồng, không thấy bóng người.
单于怪之，攻烽 燧，得武州尉史。 欲刺问尉史。 尉史曰：“汉兵数十万伏马邑 下。”	Thiền vu lấy làm lạ, tấn công đài đốt lửa báo, bắt được viên Úy sử của Vũ Châu, tra hỏi, viên Úy sử nói: “Mấy chục vạn quân Hán mai phục dưới thành Mã Ấp.”
乃引兵还。	Bèn dẫn quân về.
出塞，曰：“吾得尉史，乃天也。”	Ra khỏi ải, nói: “Ta bắt được Úy sử, đúng là trời xui.”
命尉史为“天王”。	Thế rồi gọi viên Úy sử ấy là “Thiên vương”.
塞下传言单 于已引去。 汉兵追至塞，度弗及，即罢。	Dưới ải truyền tin báo Thiền vu đã dẫn quân lui, quân Hán đuổi đến biên ải, đoán chừng không kịp, liền bãi binh.
王恢等兵三万，闻单于不与 汉合，度往击辎重，必与单于精兵战，汉兵势必败，则以便宜罢兵， 皆无功。	Ba vạn quân của bọn Vương Khôi nghe tin Thiền vu không giao chiến với quân Hán, xét thấy nếu xông sang đánh xe lương, nhất định sẽ giao chiến với tinh binh của Thiền vu, quân Hán ắt thua, xét tình hình rồi bãi binh, đều không lập được công gì.
天子怒王恢不出击单于辎重，擅引兵罢也。	Thiên tử giận Vương Khôi không tiến đánh xe lương của Thiền vu, tự ý cho quân ngừng chiến.
恢曰：“始约虏入马 邑城，兵与单于接，而臣击其辎重，可得利。今单于闻，不至而还， 臣以三万人众不敌，礻是取辱耳。 臣固知还而斩，然得完陛下士三万人。”	Khôi nói: “Ban đầu ước định giặc vào thành Mã Ấp sẽ dẫn quân đón đánh Thiền vu, còn thần đánh xe lương của chúng thì có thể thắng. Nay Thiền vu đã biết tình hình, không đến mà kéo quân về, thần cho đem ba vạn quân ắt không đánh nổi, chỉ chuốc nhục thôi. Thần vốn biết rút về sẽ bị chém, nhưng có thể giữ toàn vẹn ba vạn quân sĩ của bệ hạ.”
恢私行千金丞相蚡。	Khôi đem ngàn vàng đút riêng cho Thừa tướng Điền Phần.
蚡不敢 言上，而言於太后曰：“王恢首造马邑事，今不成而诛恢，是为匈奴 报仇也。”	Phần không dám nói với Hoàng thượng, mà nói với Thái hậu: “Vương Khôi là người đầu tiên tạo ra việc ở Mã Ấp, nay việc không thành lại giết Khôi, đó là báo thù cho Hung Nô vậy.”
上朝太后，太后以丞相言告上。 上曰：“首为马邑事者， 恢也，故发天下兵数十万，从其言，为此。且纵单于不可得，恢所部 击其辎重，犹颇可得，以慰士大夫心。今不诛恢，无以谢天下。”	Hoàng thượng triều kiến Thái hậu, Thái hậu đem lời Thừa tướng nói với Hoàng thượng, Hoàng thượng nói: “Người làm ra sự kiện ở Mã ấp là Khôi, cho nên phát động mấy chục vạn quân trong thiên hạ, theo lời y mới có việc ấy. Hơn nữa nếu không bắt được Thiền vu, quân của Khôi đánh vào xe lương của Hung Nô cũng thu hoạch lớn, có thể an ủi sĩ đại phu. Nay không giết Khôi, không biết lấy gì tạ lỗi thiên hạ.”
於 是恢闻之，乃自杀。	Khôi biết chuyện, bèn tự sát.
安国为人多大略，智足以当世取合，而出於忠厚焉。 贪嗜於财。	An Quốc là người hùng tài đại lược, đủ trí tuệ để thích ứng với đời, lại có lòng trung hậu, nhưng tham của.
所推举皆廉士，贤於己者 也。	Người được An Quốc tiến cử đều là kẻ sĩ liêm khiết, tài năng hơn ông ta.
於梁举壶遂、臧固、郅他， 皆天下名士，士亦以此称慕之，唯天子以为国器。	Ở nước Lương, tiến cử Hồ Toại, Tang Cổ, Chất Đà, đều là danh sĩ trong thiên hạ, cũng vì thế kẻ sĩ khen ngợi và hâm mộ An Quốc, thiên tử cũng coi là rường cột quốc gia.
安国为御史大 夫四岁馀，丞相田蚡死，安国行丞相事，奉引堕车蹇。	An Quốc làm Ngự sử đại phu hơn bốn năm, Thừa tướng Điền Phần chết, An Quốc tạm xử lý sự vụ của Thừa tướng dẫn đường cho xe vua đi, bị ngã què chân.
天子议置相，欲用安国，使使视之， 蹇甚，乃更以平棘侯薛泽为丞相。	Thiên tử bàn việc giao chức Thừa tướng, định giao cho An Quốc, sai sứ đến thăm, thấy chân An Quốc què nặng, bèn thay đổi, cho Bình Cức hầu Tiết Trạch làm Thừa tướng.
安国病免数月，蹇愈，上复以安国 为中尉。	An Quốc bị bệnh thôi giữ chức mấy tháng, chân khỏi, Hoàng thượng lại cho An Quốc làm Trung úy.
岁馀，徙为卫尉。	Được hơn một năm, chuyển sang làm Vệ úy.
将军李广为匈奴所得，复失之；公 孙敖大亡卒：皆当斩，赎为庶人。	Tướng quân Lý Quảng bị Hung Nô bắt, lại trốn được; quân của Công Tôn Ngao bị tổn thất lớn, đều đáng chém, cho chuộc tội làm dân thường.
明年，匈奴大入边，杀辽西太守， 及入雁门，所杀略数千人。	Năm sau, Hung Nô dẫn đại quân xâm phạm biên giới, giết Thái thú Liêu Tây, đến khi vào Nhạn Môn, giết hại mấy nghìn người.
车骑将军卫青击之，出雁门。	Xa kỵ tướng quân Vệ Thanh đem quân đi đánh, kéo ra Nhạn Môn.
卫尉安国为 材官将军，屯於渔阳。	Vệ úy An Quốc làm Tài quan tướng quân, đồn quân ở Ngư Dương.
安 国壁乃有七百馀人，出与战，不胜，复入壁。	Trong quân doanh của An Quốc chỉ có hơn bảy trăm người, ra giao chiến, không thắng, lại rút vào.
天子闻之，怒，使使责让安国。	Thiên tử nghe tin, nổi giận, sai sứ đến trách tội An Quốc.
徒安国益东，屯右北平。	Chuyển An Quốc sang biên giới phía đông, đóng đồn ở Hữu Bắc Bình.
安国始为御史大夫及护军，後稍斥疏，下迁；而新幸壮将军卫青 等有功，益贵。	Ban đầu An Quốc làm Ngự sử đại phu rồi làm Hộ quân, sau dần bị bài xích, xa lánh, biếm trích; còn những người mới được sủng ái là tướng quân Vệ Thanh có công, càng được hiển quý.
数月，病欧血死。	Được mấy tháng, bị bệnh nôn ra máu rồi chết.
安 国以元朔二年中卒。	An Quốc mất năm Nguyên Sóc thứ hai.
太史公曰：余与壶遂定律历，观韩长孺之义，壶遂之深中隐厚。	Thái sử công bàn rằng: Ta với Hồ Toại thẩm định âm luật, lịch pháp, thấy được đức nghĩa của Hàn Trường Nhụ; trong sâu thẳm đáy lòng Hồ Toại ẩn chứa niềm trung hậu.
世之言梁多长者，不虚哉！	Người đời nói nước Lương có nhiều bậc trưởng giả, quả không phải nói suông!
壶遂 官至詹事，天子方倚以为汉相，会遂卒。	Hồ Toại làm quan đến chức Chiêm sự, thiên tử đang muốn trông cậy vào, giao làm Thừa tướng triều Hán thì Toại chết.
未至越，越杀其王降，汉 兵亦罢。	Chưa đến đất Việt, người đất Việt giết vua rồi hàng, quân Hán cũng bãi binh.
其明年，则元光元年，雁门马邑豪聂翁壹 因大行王恢言上 曰：“匈奴初和亲，亲信边，可诱以利。”	Năm sau, tức năm Nguyên Quang thứ nhất, bậc hào môn Mã Ấp, quận Nhạn Môn là Nhiếp Ông Nhất thông qua Đại hành Vương Khôi nói với Hoàng thượng rằng: “Hung Nô ban đầu giảng hòa kết thân, tỏ ra thân gần tin tưởng dân chúng vùng biên, có thể dùng lại để lôi kéo họ.”
於是单于穿 塞将十馀万骑，入武州塞。	Thế là Thiền vu vượt qua biên ải đem hơn chục vạn kỵ binh, tiến vào ải Vũ Châu.
约单于入马 邑而汉兵纵发。	Ước chừng Thiền vu đã vào Mã Ấp, quân Hán liền xuất kích.
单于顾谓左右曰：“几为汉所卖！”	Thiền vu quay lại bảo thuộc hạ rằng: “Suýt bị người Hán bán đứng rồi!”
於是下恢廷 尉。	Thế là Khôi bị giao cho Đình úy.
车骑将军卫青击匈奴，出上谷，破 胡茏城。	Xa kỵ tướng quân Vệ Thanh đánh Hung Nô, đem quân ra Thượng Cốc, phá được Hung Nô ở Long Thành.
安国捕生虏，言匈奴远去。 即上 书言方田作时，请且罢军屯。	An Quốc bắt sống tù binh Hung Nô, chúng nói Hung Nô đã rút xa, liền dâng thư nói hiện đang phải lo việc đồng áng, xin tạm bỏ các đồn quân.
罢军屯月馀，匈奴大入上谷、渔阳。	Bãi bỏ đồn quân được hơn tháng, Hung Nô đem đại quân vào Thượng Cốc, Ngư Dương.
匈奴虏略千馀人及畜产 而去。	Hung Nô cướp được hơn nghìn người cùng gia súc rồi rút quân.
是时匈奴虏言当入东 方。	Bấy giờ Hung Nô nói sẽ xâm phạm phía đông.
安国既疏远，默默也；将屯又为匈奴所欺，失亡多， 甚自愧。 幸得罢归，乃益东徙屯，意忽忽不乐。	An Quốc đã bị xa lánh, không nghe nhắc đến; đem quân đóng đồn lại bị Hung Nô khinh thường, tổn thất rất nhiều, tự thấy hổ thẹn, may được bãi miễn cho vệ chức cũ, lại phải sang đông dời các đồn quân, trong lòng ấm ức không vui.
