晋唐叔虞者， 周武王子而成王弟。	Đường thúc Ngu nước Tấn là con của Chu Vũ vương, em Thành vương.
於是使太子申生居曲沃，公子重耳居蒲，公子夷吾居屈。	Thế rồi sai Thái tử Thân Sinh ra ở Khúc Ốc, công tử Trùng Nhĩ ra ở ấp Bồ, công tử Di Ngô ra ở ấp Khuất.
晋国以此知太子不立也。	Người nước Tấn qua đó biết rằng Thái tử sẽ không được kế vị.
太子申生，其母齐桓公 女也，曰齐姜，早死。	Mẹ của Thái tử Thân Sinh là con gái của Tề Hoàn công, gọi là Tề Khương, chết sớm.
申生同母女弟为秦穆公夫人。	Em gái cùng mẹ với Thân Sinh làm phu nhân của Tần Mục công.
重耳母，翟之狐 氏女也。 夷吾母，重耳母女弟也。	Mẹ của Trùng Nhĩ là con gái họ Hồ nước Địch. Mẹ của Di Ngô là em gái của mẹ Trùng Nhĩ.
献公子八人，而太子申生、重耳、 夷吾皆有贤行。	Hiến công có tám người con trai, trong đó Thái tử Thân Sinh, Trùng Nhĩ, Di Ngô đều hiền năng đức hạnh.
及得骊姬，乃远此三子。	Đến khi có Ly cơ, [Hiến công] bèn xa lánh ba người con này.
十六年，晋献公作二军。	Năm thứ mười sáu, Tấn Hiến công lập ra hai quân.
卜偃曰：“毕万之後必大。 ”万，盈数也；魏，大名也。 以是始赏，天开之矣。 天子曰兆民，诸侯曰万民，今命之大，以从盈数，其 必有众。”	Bốc Yển nói: “Hậu duệ của Tất Vạn ắt hùng mạnh. Vạn là số tròn lớn; Ngụy là tiếng tăm lớn. Đem đất Ngụy để ban thưởng, là trời mở mang cho rồi. Thiên tử xưng là có triệu dân, chư hầu xưng là có muôn dân, nay ban đại danh, cấp số tròn lớn, ắt sẽ có dân chúng đông đảo.”
十七年，晋侯使太子申生伐东山。	Năm thứ mười bảy, Tấn hầu sai Thái tử Thân Sinh thảo phạt Đông Sơn.
公曰：“寡人有 子，未知其太子谁立。”	Hiến công nói: “Quả nhân có nhiều con trai, còn chưa biết sẽ lập ai làm Thái tử.”
太子曰：“吾其废 乎？”	Thái tử hỏi: “Tôi sẽ bị phế phải không?”
太子遂伐东山。	Thái tử bèn đi thảo phạt Đông Sơn.
十九年，献公曰：“始吾先君庄伯、武公之诛晋乱，而虢常助晋 伐我，又匿晋亡公子，果为乱。弗诛，後遗子 孙忧。”	Năm thứ mười chín, Hiến công nói: “Ban đầu, các vị tiên quân ta là Trang bá, Vũ công đi tru diệt nội loạn ở Tấn, còn nước Quốc thường giúp Tấn thảo phạt ta [ở Khúc Ốc], lại giấu công tử bỏ trốn của Tấn, [nay] quả nhiên làm loạn. Nếu không tru diệt sẽ để lại mối lo cho con cháu.”
献公私谓骊姬曰：“吾欲废太子，以奚齐代之。”	Hiến công nói riêng với Ly cơ rằng: “Ta muốn phế truất Thái tử để cho Hề Tề lên thay.”
骊姬泣 曰：“太子之立，诸侯皆已知之，而数将兵，百姓附之，柰何以贱妾 之故废適立庶？君必行之，妾自杀也。”	Ly cơ khóc nói: “Việc lập Thái tử, chư hầu đều đã biết, còn [Thái tử] lại nhiều lần cầm quân, trăm họ đều quy phụ theo, cớ sao vì tiện thiếp mà phế đích lập thứ? Nếu nhà vua nhất định làm thế, thiếp sẽ tự sát.”
骊姬详誉太子，而阴令人谮 恶太子，而欲立其子。	Ly cơ vờ khen Thái tử, nhưng lại ngầm sai người nói xấu Thái tử, [mục đích là] muốn lập con mình lên thay.
二十一年，骊姬谓太子曰：“君梦见齐姜，太子速祭曲沃， 归釐於君。”	Năm thứ hai mươi mốt, Ly cơ bảo Thái tử rằng: “Nhà vua mơ thấy Tề Khương, Thái tử mau đến tế ở Khúc Ốc, rồi mang thịt tế về dâng lên nhà vua.”
太子於是祭其母齐姜於曲沃，上 其荐胙於献公。	Thế là Thái tử tế mẹ mình là Tề khương ở Khúc Ốc, rồi dâng thịt tế lên Hiến công.
居 二日，献公从猎来还，宰人上胙献公，献 公欲飨之。	Hai hôm sau, Hiến công đi săn về, đầu bếp dâng thịt lên, Hiến công định ăn.
骊姬从旁止之，曰：“胙所从来远，宜试之。”	Ly cơ ở bên cạnh ngăn lại, nói: “Thịt tế từ xa mang vào, nên thử trước.”
谓献公曰：“太子所以然者，不过以妾 及奚齐之故。妾原子母辟之他国，若早自杀，毋徒使母子为太子所鱼 肉也。始君欲废之，妾犹恨之；至於今，妾殊自失於此。”	Lại nói với Hiến công: “Sở dĩ Thái tử làm vậy, chẳng qua vì thiếp và Hề Tề mà thôi. Mẹ con thiếp nguyện tránh đến nước khác, hoặc sớm tự sát chứ không để bị Thái tử coi mẹ con thiếp như cá thịt vậy được. Ban đầu nhà vua định phế truất Thái tử, thiếp còn giận vì việc đó; đến hôm nay, thiếp thực tự thấy mình đã lầm.”
或谓太子曰：“为此药者乃骊姬也，太子何不自辞明之？”	Có người bảo Thái tử rằng: “Thuốc độc đó là do Ly cơ bỏ vào, sao Thái tử không đích thân thanh minh sự việc?”
或谓太子曰：“可奔他国。”	Lại có người bảo Thái tử: “Hãy chạy sang nước khác đi.”
太子曰：“被此恶名以出，人谁 内我？我自杀耳。”	Thái tử nói: “Mang tiếng xấu này mà sang nước khác, ai dung nạp ta? Ta chỉ còn cách tự sát thôi.”
十二月戊申，申生自杀於新城。	Ngày Mậu Thân tháng Mười hai, Thân Sinh tự sát ở Tân Thành.
人或告骊姬曰：“二公子怨骊姬谮杀太 子。”	Có người báo với Ly cơ rằng: “Hai công tử oán Ly cơ gièm pha giết chết Thái tử.”
骊姬恐，因谮二公子：“申生之药胙，二公子知之。”	Ly cơ lo sợ, nhân đó hủy báng hai vị công tử: “Việc Thân Sinh cho thuốc độc vào thịt tế, hai công tử cũng biết.”
二子闻 之，恐，重耳走蒲，夷吾走屈，保其城，自备守。	Hai công tử nghe vậy, sợ hãi, Trùng Nhĩ chạy đến ấp Bồ, Di Ngô chạy đến ấp Khuất, giữ vững thành quách, đích thân phòng giữ.
初，献公使士蔿为 二公子筑蒲、屈城，弗就。	Trước đây, Hiến công sai Sĩ Vị xây thành cho hai công tử ở ấp Bồ và ấp Khuất, còn chưa xây xong.
夷吾以告 公，公怒士蔿。	Di Ngô đem việc ấy báo cho Hiến công, Hiến công khiển trách Sĩ Vị.
及申生死，二子亦归保其 城。	Đến khi Thân Sinh chết, hai vị công tử cũng về giữ thành của mình.
二十二年，献公怒二子不辞而去，果有谋矣，乃使兵伐蒲。	Năm thứ hai mươi hai, Hiến công giận trách hai con không từ biệt mà đã bỏ đi, cho rằng nhất định có âm mưu, bèn sai quân đến thảo phạt ấp Bồ.
重耳遂奔翟。	Trùng Nhĩ liền chạy sang nước Địch.
是岁也，晋复假道於虞以伐虢。	Năm đó, nước Tấn lại mượn đường nước Ngu để thảo phạt nước Quắc.
虞之大夫宫之奇谏虞君曰：“晋 不可假道也，是且灭虞。”	Đại phu nước Ngu là Cung Chi Kỳ can vua nước Ngu rằng: “Nước Tấn không chỉ đơn thuần mượn đường đâu, họ sẽ diệt nước Ngu đấy.”
虞君曰：“晋我同姓，不宜伐我。”	Vua nước Ngu nói: “Nước Tấn cùng họ với ta, sẽ không thảo phạt ta đâu.”
宫之 奇曰：“太伯、虞仲，太王之子也，太伯亡去，是以不嗣。虢仲、虢 叔，王季之子也，为文王卿士，其记勋在王室，藏於盟府。 将虢是灭，何爱于虞？且虞之亲能亲於桓、 庄之族乎？桓、庄之族何罪，尽灭之。虞之与虢，脣之与齿，脣亡则 齿寒。”	Cung Chi Kỳ nói: “Thái bá, Ngu trọng là con của Thái dương vậy, Thái bá trốn đi, nên không thể kế thừa vương vị. Quắc trọng, Quắc thúc là con của Vương quý, đều làm khanh sĩ cho Văn vương, công tích của họ được ghi trong sách của lương thất, cất trong Minh phủ. Nếu [quân Tấn] đã diệt nước Quắc thì tiếc chi nước Ngu? Vả lại nước Ngu thân với nước Tấn có bằng Hoàn thúc, Trang bá không? Gia tộc của Hoàn thúc, Trang bá có tội gì mà đều bị [nước Tấn] diệt hết. Nước Ngu đối với nước Quắc, giống như môi với răng, môi hở thì răng lạnh.”
虞公不听，遂许晋。	Ngu công không nghe, bèn đồng ý cho nước Tấn mượn đường.
宫之奇以其族去虞。	Cung Chi Kỳ đưa gia tộc rời khỏi nước Ngu.
其冬，晋灭虢，虢 公丑奔周。	Mùa đông năm ấy, nước Tấn diệt nước Quắc, Quốc công là Xú chạy sang nhà Chu.
遂奔梁。	[Di Ngô] bèn chạy sang nước Lương.
二十五年，晋伐翟，翟以重耳故，亦击晋於齧桑， 晋兵解而去。	Năm thứ hai mươi lăm, nước Tấn thảo phạt nước Địch, nước Địch vì Trùng Nhĩ, cũng đánh nước Tấn ở Khiết Tang, quân Tấn giải vây rồi rút về.
当此时，晋彊，西有河西，与秦接境，北边翟，东至河内。	Đương lúc bấy giờ nước Tấn mạnh, phía tây có Hà Tây, tiếp giáp biên giới với nước Tần, phía bắc giáp biên giới nước Địch, phía đông đến Hà Nhuế.
骊姬弟生悼子。	Em gái Ly cơ sinh Điệu tử.
二十六年夏，齐桓公大会诸侯於葵丘。	Mùa hạ năm thứ hai mươi sáu, Tề Hoàn công hội chư hầu tại Quỳ Khâu.
晋献公病，行後，未至，逢周之宰孔。	Tấn Hiến công ốm, đi sau, còn chưa đến nơi, thì gặp Tể Khổng nhà Chu.
病甚，乃谓荀息曰：“吾以奚齐为後，年 少，诸大臣不服，恐乱起，子能立之乎？”	[Hiến công] bệnh nặng thêm, bèn báo Tuân Tức rằng: “Ta lấy Hề Tề làm người kế thừa, tuổi y còn trẻ, các đại thần không phục, e sinh biến loạn, ông có thể giúp [ta] lập Hề Tề không?”
荀息曰：“能。”	Tuân Tức đáp: “Có thể.”
献公 曰：“何以为验？”	Hiến công nói: “Ông dựa vào đâu?”
对曰：“使死者复生， 生者不惭， 为之验。”	Đáp rằng: “Dẫu nhà vua chết rồi sống lại, thì người sống [là thần đối với người chết đi sống lại là nhà vua] cũng không hổ thẹn điều gì, dựa vào đấy vậy.”
於是遂属奚齐於荀息。	Thế rồi phó thác Hề Tề cho Tuân Tức.
里克、邳郑欲内重耳，以三公子之 徒作乱， 谓荀息曰：“三怨将起，秦、晋辅之，子将何如？”	Lý Khắc, Bi Trịnh muốn đưa Trùng Nhĩ trở về, bèn lợi dụng đồ đảng của ba công tử để làm loạn, bảo Tuấn Tức rằng: “Ba người oán rồi vùng lên, nước Tần và nước Tấn phụ giúp họ, ông sẽ làm thế nào?”
荀息 曰：“吾不可负先君言。”	Tuân Tức đáp: “Tôi không thể phụ lời ủy thác của tiên quân.”
君子曰：“诗所谓‘白珪之玷，犹可磨也，斯言之玷，不可为 也’，其荀息之谓 乎！不负其言。”	Bậc quân tử nói: “Kinh Thi viết: 'Bạch khuê có vết, còn có thể mài, lời nói lỗi lầm, không thể sửa sai', câu đó để nói về Tuân Tức chăng! [Tuân Tức] không phụ lời hứa của mình.”
初，献公将伐骊戎，卜曰“齿牙为祸”。	Trước đây, Hiến công định thảo phạt Ly Nhung, bói quẻ rằng “Răng gây ra họa”.
及破 骊戎，获骊姬，爱之，竟以乱晋。	Đến khi phá Ly Nhung, bắt được Ly cơ, sủng ái nàng, rốt cuộc khiến Tấn bị loạn.
里克等已杀奚齐、悼子，使人迎公子重耳於翟， 欲立之。	Sau khi bọn Lý Khắc giết Hề Tề và Điệu tử, bèn sai người đón công tử Trùng Nhĩ ở nước Địch, muốn lập Trùng Nhĩ.
及遗里克书曰：“诚 得立，请遂封子於汾阳之邑。”	Rồi gửi thư cho Lý Khắc rằng: “Nếu được lập, xin phân phong cho ngài ấp Phần Dương.”
秦兵与夷吾亦至晋，齐乃使隰朋会秦俱入夷吾，立为晋 君，是为惠公。	Quân Tần và Di Ngô cũng đến nước Tấn, nước Tề bèn sai Thấp Bằng hẹn với Tần cùng đưa Di Ngô về nước Tấn, lập làm Tấn quân, đó là Huệ công.
齐桓公至晋之高梁而还归。	Tề Hoàn công đến Cao Lương nước Tấn rồi rút quân về.
亦不与里克汾阳邑，而夺之权。	[Di Ngô] cũng không phong ấp Phần Dương cho Lý Khắc, còn đoạt lấy quyền [của Lý Khắc].
四月，周 襄王使周公忌父会齐、秦大夫共礼晋惠公。	Tháng Tư, Chu Tuyên vương sai Chu công Kỳ Phủ hội kiến các đại phu nước Tề và nước Tần cùng bái phỏng Tấn Huệ công.
惠公以重耳在外，畏里克为变，赐里克死。	Do Trùng Nhĩ ở ngoài, nên Huệ công sợ Lý Khắc sẽ gây biến, bèn ban chết cho Lý Khắc.
里克对曰：“不有所废，君何以兴？欲 诛之，其无辞乎？乃言为此！臣闻命矣。”	Lý Khắc đáp: “Không phế truất họ đi, sao nhà vua có thể lên ngôi được? Muốn giết thần, chẳng lẽ không có lời nào khác chăng? Cho nên mới nói những lời như thế! Thần xin tuân mệnh.”
遂伏剑而死。	Bèn dùng kiếm tự sát.
秋，狐突之下国， 遇申生，申生与载而告之 曰：“夷吾无礼， 余得请於帝，将以晋与秦，秦将 祀余。”	Mùa thu, Hồ Đột đến hạ quốc, [bất ngờ] gặp [hồn phách của] Thân Sinh, Thân Sinh lên ngồi cùng xe với [Hồ Đột] rồi nói rằng: “Di Ngô vô lễ, ta đã thỉnh cầu thiên đế [phạt kẻ có tội], sẽ đem nước Tấn trao cho nước Tần, nước Tần sẽ tế tự ta.”
申生曰：“诺，吾将复请帝。後十日， 新城西偏将有巫者见我焉。”	Thân Sinh nói: “Được, ta sẽ lại thỉnh cầu thiên đế. Mười ngày sau, mé tây Tân Thành sẽ có một đồng cốt là hiện thân của ta.”
许 之，遂不见。	[Hồ Đột] vừa đồng ý, bèn không nhìn thấy [Thân Sinh] đâu nữa.
及期而往， 复见，申生告之曰：“帝许罚有罪矣，弊於韩。”	Đến hẹn [Hồ Đột] tới nơi hẹn, lại trông thấy [Thân Sinh], Thân Sinh nói với Hồ Đột rằng: “Thiên đế đồng ý trừng phạt kẻ có tội, sẽ thua trận ở đất Hàn [Nguyên].”
秦缪公许之，使人与归报晋，厚赂三子。	Tần Mục công đồng ý, sai người cùng về báo cho nước Tấn, hối lộ nhiều của cho ba đại phu.
三子 曰：“币厚言甘，此必邳郑卖我於秦。”	Ba vị đại phu nói: “Lễ trọng lời ngọt, thế này Bi Trịnh ắt bán đứng bọn ta cho nước Tần rồi.”
二年，周使 召公过礼晋惠公，惠公礼倨， 召公讥之。	Năm thứ hai, nhà Chu sai Thiệu công và Quá đến bái phỏng Tấn Huệ công, Huệ công hành lễ ngạo mạn, bị Thiệu công chê trách.
四年，晋饥，乞籴於秦。	Năm thứ tư, nước Tấn bị nạn đói, phải xin mua thóc của nước Tần.
缪公问百里奚， ”百里奚曰：“天菑流行，国家代有，救菑恤邻，国之道也。与 之。”	Mục công hỏi Bách Lý Hề, Bách Lý Hề đáp rằng: “Thiên tai xảy ra, các nước lần lượt chịu nạn, cứu giúp lúc thiên tai, xót thương nước láng giềng, là đạo nghĩa của quốc gia. Hãy bán cho họ.”
邳郑子豹曰：“伐之。”	Con của Bi Trịnh là Báo lại bảo: “Hãy thảo phạt họ.”
缪公曰：“其君是恶，其民何 罪！”	Mục công nói: “Vua họ tuy ác, nhưng dân họ có tội gì!”
五年，秦饥，请籴於晋。	Năm thứ năm, nước Tần bị nạn đói, xin mua thóc của nước Tấn.
晋君谋之，庆郑曰： “以秦得立，已而倍其地约。晋饥而秦贷我，今秦饥请 籴，与之何疑？而谋之！”	Tấn quân bàn tính chuyện đó, Khánh Trịnh nói: “Nhờ Tần nên được lên ngôi, đã bội ước không cắt đất. Nước Tấn bị nạn đói, nước Tần còn bán thóc cho, nay nước Tần gặp nạn đói nên xin mua thóc, còn nghi ngại gì nữa? Còn tính toán làm gì!”
虢射曰： “往年天以晋赐秦，秦弗知取而贷我。今天以秦赐晋，晋其可 以逆天乎？遂伐之。”	Quắc Xạ nói: “Năm ngoái trời đem nước Tấn ban cho nước Tần, nước Tần không biết đường chiếm lấy lại còn bán thóc cho ta. Nay trời đem nước Tần tặng cho nước Tấn, sao nước Tấn có thể làm trái ý trời chứ? Xin hãy thảo phạt nước Tần.”
公曰：“郑不孙。”	Huệ công nói: “Trịnh không nhún thuận.”
遂去。	[Quân Tề] bèn rút.
公曰：“得晋侯将以为 乐，今乃如此。且吾闻箕子见唐叔之初封，曰‘其後必当大矣’，晋 庸可灭乎！”	Mục Công nói: “Bắt được Tấn hầu vốn là chuyện đáng vui mừng, nay nàng lại khóc lóc như thế. Vả lại ta từng nghe khi Cơ tử gặp Đường thúc lúc mới được phong, có nói rằng: 'Hậu duệ ông ta ắt sẽ lớn mạnh'. Vậy thì nước Tấn sao có thể diệt vong được!”
乃与晋侯盟王城而 许之归。	Bèn cùng Tấn hầu lập minh ước ở Vương Thành rồi cho về.
晋人闻之，皆哭。	Người Tấn nghe tin đó, ai nấy đều khóc.
於 是秦缪公更舍晋惠公，餽之七牢。	Thế rồi Tần Mục Công đổi chỗ ở cho Tấn Huệ công, đãi bằng cỗ Thất lao.
十一月，归晋侯。	Tháng Mười một, đưa Tấn hầu về.
晋侯至国，诛庆郑，修政教。	Tấn hầu về đến nước, giết Khánh Trịnh, sửa sang chính giáo.
初，惠公亡在梁，梁伯以其 女妻之，生一男一女。	Trước đây, khi Huệ công trốn sang nước Lương, Lương bá có đem con gái gả cho, sinh được một trai một gái.
梁伯卜之，男为人臣，女为人妾，故名男为 圉，女为妾。	Lương bá bói quẻ, nói con trai thì làm tôi tớ cho người, con gái thì làm hầu thiếp cho người, cho nên con trai đặt tên là Ngữ, con gái đặt tên là Thiếp.
