魏其侯窦婴者，孝文后从兄子也。	Ngụy Kỳ hầu Đậu Anh là con trai anh họ bên ngoại của Hiếu Văn đế.
梁人高遂乃说魏其 曰：“能富贵将军者，上也；能亲将军者，太后也。今将军傅太子， 太子废而不能争；争不能得，又弗能死。自引谢病，拥赵女，屏间处 而不朝。相提而论， 是自明扬主上之 过。有如两宫螫将军， 则妻子毋类 矣。”	Cao Toại người Lương bèn khuyên Ngụy Kỳ hầu rằng: “Người có thể khiến tướng quân giàu sang là Hoàng thượng, người có thể khiến tướng quân thành thân tín là Thái hậu. Nay tướng quân làm thầy Thái tử, Thái tử bị phế mà không thể can ngăn; can không được lại không thể chết. Tự thác bệnh rồi lui gót, mang theo mỹ nữ nước Triệu, ẩn cư không vào triều. Đem các việc ấy mà bàn, là tự vạch rõ lỗi lầm của chúa thượng. Nếu Hoàng thượng và Thái hậu giận tướng quân, thì vợ con tướng quân cũng chẳng còn.”
魏其侯然之，乃遂起，朝请如故。	Ngụy Kỳ hầu cho là phải, bèn ra, lại vào chầu như trước.
桃侯免相，窦太后数言魏其侯。	Đào hầu bị bãi chức Thừa tướng, Đậu Thái hậu nhiều lần tiến cử Ngụy Kỳ hầu.
孝景帝 曰：“太后岂以为臣有爱，不相魏其？魏其者，沾沾 自喜耳，多易。 难以为相，持重。”	Hiếu Cảnh đế nói: “Thái hậu há nghĩ thần tiếc không cho Ngụy Kỳ làm Thừa tướng ư? Ngụy Kỳ là người hay hí hửng tự mừng, nhiều việc tỏ ra xem nhẹ, khó làm Thừa tướng, nắm chức trọng yếu được.”
遂不用，用建陵侯卫绾为丞相。	Bèn không dùng, mà dùng Kiến Lăng hầu Vệ Oản làm Thừa tướng.
武安侯田蚡者，孝景后同 母弟也，生长陵。	Vũ An hầu Điền Phần là em cùng mẹ với Hiếu Cảnh đế, sinh ở Trường Lăng.
魏其已为大将军後，方盛，蚡为诸郎， 未贵，往来侍酒魏其，跪起如子姓。	Sau khi Ngụy Kỳ hầu đã làm đại tướng quân, đang lúc thịnh, Phần làm quan Lang, chưa hiển quý, thường đến hầu rượu Ngụy Kỳ, quỳ xuống đứng lên như con cháu.
及孝景 晚节，蚡益贵幸，为太中大夫。	Đến khi Hiếu Cảnh đế tuổi cao, Phần ngày càng được hiển quý và sủng ái, làm Thái trung đại phu.
蚡辩有口，学槃 盂诸书， 王太后贤之。	Phần giỏi biện luận, học các sách Bàn vu, Vương thái hậu cho là hiền năng.
孝景崩， 即日太子立，称制，所镇抚多有田蚡宾客计筴，蚡弟田胜，皆以太后 弟，孝景後三年封 蚡为武安侯，胜为周阳侯。	Hiếu Cảnh để băng hà, ngay hôm ấy Thái tử lên ngôi, Thái hậu nhiếp chính, kế sách dùng để trấn áp hay vỗ về thiên hạ phần lớn đều từ tân khách của Điền Phần. Em trai Phần là Điền Thắng, đều là em của Vương thái hậu, năm Hậu Nguyên thứ ba đời Hiếu Cảnh đế, phong Phần làm Vũ An hầu, Thắng làm Chu Dương hầu.
武安侯新欲用事为相，卑下宾客，进名士家居者贵之，欲以倾魏 其诸将相。	Vũ An hầu mới nắm quyền đã mong được làm Thừa tướng, tỏ ra nhún nhường khiêm hạ với tân khách, tiến cử danh sĩ sống ở nhà chưa ra làm quan, khiến họ được hiển quý, muốn nhân đó lấn lướt các tướng võ tướng văn như Ngụy Kỳ hầu.
建元元年，丞相绾病免，上议置丞相、太尉。	Năm Kiến Nguyên thứ nhất, Thừa tướng là Oản bị bệnh thôi giữ chức, Hoàng thượng nghị bàn việc lập Thừa tướng và Thái úy.
籍福说武安 侯曰：“魏其贵久矣，天下士素归之。今将军初兴，未如魏其，即上 以将军为丞相，必让魏其。魏其为丞相，将军必为太尉。太尉、丞相 尊等耳，又有让贤名。”	Tịch Phúc khuyên Vũ An hầu rằng: “Ngụy Kỳ hiển quý đã lâu, kẻ sĩ trong thiên hạ vốn quy phục ông ta. Nay tướng quân mới hưng khởi, chưa được như Ngụy Kỳ, dù Hoàng thượng muốn phong tướng quân làm Thừa tướng, ngài nhất định phải nhường cho Ngụy Kỳ. Ngụy Kỳ làm Thừa tướng, tướng quân ắt làm Thái úy. Thái úy cũng tôn quý như Thừa tướng, lại có tiếng nhường cho người hiền.”
武安侯乃微言太后风上，於是乃以魏其侯为 丞相，武安侯为太尉。	Vũ An hầu bèn khéo léo nói với Thái hậu để đánh tiếng lên Hoàng thượng, thế là Hoàng thượng bên phong Ngụy Kỳ hầu làm Thừa tướng, Vũ An hầu làm Thái úy.
籍福贺魏其侯，因吊曰：“君侯资性喜善疾 恶，方今善人誉君侯，故至丞相；然君侯且疾恶，恶人众，亦且毁君 侯。君侯能兼容，则幸久；不能，今以毁去矣。”	Tịch Phúc chúc mừng Ngụy Kỳ hầu, nhân đó nhắc nhở: “Quân hầu tính thích thiện ghét ác; nay người tốt khen ngợi quân hầu, cho nên làm đến Thừa tướng; nhưng quân hầu lại ghét ác, kẻ ác lại đông, cũng sẽ hủy báng quân hầu. Quân hầu có thể khiêm tốn bao dung thì may mắn lâu dài; nếu không sẽ vì lời hủy báng mà thất thế.”
魏其不听。	Ngụy Kỳ không nghe.
迎鲁申公，欲设明堂，令列侯 就国，除关，以礼为服制， 以兴太平。	Đón Thân công nước Lỗ, muốn dựng nhà Minh đường, lệnh cho chư hầu ai về nước ấy, bỏ việc thu thuế ở quan ải, dùng lễ chế định pháp độ, hưng khởi lối cai trị của thời thái bình.
时诸外家为列侯，列侯多尚公 主，皆不欲就国，以故毁日至窦太后。	Bấy giờ ngoại thích đều làm liệt hầu, liệt hầu nhiều người lấy Công chúa, đều không muốn đến nước phong, vì vậy lời hủy báng đến tai Đậu thái hậu.
太后好黄老之言，而魏其、武 安、赵绾、王臧等务隆推儒术，贬道家言，是以窦太后滋不说魏其 等。	Thái hậu thích đạo Hoàng Lão, còn bọn Ngụy Kỳ, Vũ An, Triệu Oản, Vương Tang tôn sùng Nho thuật, chỉ trích học thuyết Đạo gia, vì thế Đậu Thái hậu càng không thích bọn Ngụy Kỳ.
及建元二年，御史大夫赵绾请无奏事东宫。	Đến năm Kiến Nguyên thứ hai, Ngự sử đại phu Triệu Oản đề nghị không tâu việc chính sự với Đông cung.
窦太后大怒，乃罢逐赵绾、王臧等，而免丞相、太尉，以 柏至侯许昌为丞相，武彊侯庄青翟为御史大夫。	Đậu Thái hậu cả giận, bèn bãi chức và đuổi bọn Triệu Oản, Vương Tang, rồi bãi chức Thừa tướng, Thái úy, lấy Bách Chi hầu Hứa Xương làm Thừa tướng Vũ Cường hầu Trang Thanh Địch làm Ngự sử đại phu.
魏其、武安由此以侯 家居。	Ngụy Kỳ, Vũ An do đó là liệt hầu nhưng ở nhà.
武安侯虽不任职，以王太后故，亲幸，数言事多效，天下吏士趋 势利者，皆去魏其归武安，武安日益横。	Vũ An hầu tuy không giữ chức, nhưng nhờ Vương Thái hậu nên được Hoàng thượng tin yêu, nhiều lần kiến nghị chính sự, có hiệu quả, các quan lại cùng kẻ sĩ trong thiên hạ chạy theo thế và lợi, đều bỏ Ngụy Kỳ để theo Vũ An. Vũ An ngày càng kiêu lộng.
建元六年，窦太后崩，丞相 昌、御史大夫青翟坐丧事不办，免。	Năm Kiến Nguyên thứ sáu, Đậu Thái hậu băng hà, Thừa tướng là Xương, Ngự sử đại phu Thanh Địch do không chu đáo trong tang lễ, bị bãi chức.
以武安侯蚡为丞相，以大司农韩 安国为御史大夫。	Lấy Vũ An hầu là Phần làm Thừa tướng, lấy Đại tư nông Hàn An Quốc làm Ngự sử đại phu.
天下士郡诸侯愈益附武安。	Kẻ sĩ trong thiên hạ, các Quận thú cùng chư hầu ngày càng theo về Vũ An.
又以为诸侯 王多长，上初即位，富於春秋，蚡以肺腑为 京师相， 非痛折节以礼诎之，天下不 肃。	Lại thêm các vua chư hầu phần nhiều cao tuổi, Hoàng thượng mới lên ngôi, tuổi còn rất trẻ, Phần là tâm phúc nên được làm Thừa tướng ở kinh, cho là không mạnh tay áp chế, dùng lễ để chế phục, thiên hạ không nể sợ.
当是时，丞相 入奏事，坐语移日，所言皆听。	Bấy giờ, Thừa tướng vào tâu việc, ngồi nói hồi lâu, những điều nói ra đều được nghe theo.
荐人或起家至二千石，权移主上。	Người mà Vũ An tiến cử hoặc là bình dân đến hạng hai nghìn thạch, chia bớt quyền lực của chúa thượng.
上 乃曰：“君除吏已尽未？吾亦欲除吏。”	Hoàng thượng bèn nói: “Ông phong cho quan lại đã hết chưa? Ta cũng muốn phong cho quan lại.”
尝请考工地益宅， 上怒曰：“君何不遂取武 库！”	Vũ An từng xin chọn đất quan sở để mở rộng dinh thự, Hoàng thượng giận nói: “Sao ông không lấy kho quân giới luôn đi!”
是後乃退。	Từ đấy về sau mới thôi.
尝召客饮，坐其兄盖侯 南乡，自坐东乡，以为汉相尊，不可 以兄故私桡。	Từng triệu tân khách đến uống rượu, để anh trai là Cái hầu ngồi quay về nam, còn mình ngồi quay về đông, cho là Thừa tướng nhà Hán là tôn quý, không thể vì anh mà phải nhún nhường.
诸侯奉金玉狗马玩 好，不可胜数。	Chư hầu dâng vàng, ngọc, chó, ngựa, cùng các thứ thưởng ngoạn, nhiều không kể xiết.
魏其失窦太后，益疏不用，无势，诸客稍稍自引而怠傲，唯灌将 军独不失故。	Sau khi Đậu Thái hậu qua đời, Ngụy Kỳ ngày càng bị lạnh nhạt, không được trọng dụng, các tân khách dần rời đi, thậm chí tỏ ra ngạo mạn, chỉ có Quán tướng quân vẫn không khác trước.
魏其日默默不得志，而独厚遇灌将军。	Ngày ngày Ngụy Kỳ lặng lẽ bất đắc chí, mà cũng chỉ hậu đãi một mình Quán tướng quân.
灌将军夫者，颍阴人也。	Quán tướng quân tên là Phu, người Dĩnh Âm.
夫父张孟，尝为颍阴侯婴舍人，得幸， 因进之至二千石，故蒙灌氏姓为灌孟。	Cha Phu là Trương Mạnh, từng làm Xá nhân cho Dĩnh Âm hầu Quán Anh, được sủng ái, nhân đó làm quan trật hai nghìn thạch, cho nên lấy theo họ Quán, đổi thành Quán Mạnh.
吴楚反时，颍阴侯灌何为将 军，属太尉，请灌孟为校尉。	Khi Ngô, Sở làm phản, Dĩnh Âm hầu Quán Hà làm tướng quân, thuộc quyền quan Thái úy, tiến cử Quản Mạnh làm Hiệu úy.
夫以千人与父俱。	Phu đem nghìn người cùng cha lên đường.
灌孟年老， 颍阴侯彊请之，郁郁不得意，故战常陷坚，遂死吴军中。	Quán Mạnh tuổi cao, Dĩnh Âm hầu miễn cưỡng dùng, nên ông ta trầm uất bất đắc ý, vì thế khi giao chiến thường đánh vào trận địa kiên cố của địch, rồi chết trong quân Ngô.
军法，父子 俱从军，有死事，得与丧归。	Theo quân pháp, cha con đều tòng quân, có người chết thì người kia được đưa xe tang về nhà.
灌夫不肯随丧归，奋曰： “原取吴王若将军头，以报父之仇。”	Quán Phu không chịu theo xe tang về, khảng khái nói: “Xin lấy đầu Ngô vương hoặc đầu tướng địch để báo thù cho cha.”
於是灌夫被 甲持戟，募军中壮士所善原从者数十人。	Thế rồi Quán Phu mặc giáp cầm kích, mộ được mấy chục tráng sĩ trong quân vui lòng đi theo.
及出壁门，莫敢前。 独二人 及从奴十数骑驰入吴军，至吴将麾下，所杀伤数十 人。	Đến khi ra khỏi phòng lũy, không ai dám tiến, chỉ có hai người cùng mười mấy nô bộc tùy tòng phóng ngựa vào quân Ngô, đến dưới cờ tướng Ngô, giết và làm bị thương mấy chục người.
不得前，复驰还，走入汉壁，皆亡其奴，独与一骑归。	Không tiến được, lại phi ngựa về, chạy vào phòng lũy quân Hán, nô bộc chết hết, chỉ còn một kỵ binh cùng về.
夫身中大 创十馀，適有万金良药，故得无死。	Phu thân trúng mười vết thương lớn, may có thuốc tốt vạn lượng, cho nên không chết.
将军壮义之，恐亡夫，乃言太尉，太尉 乃固止之。	Tướng quân cho là có đảm lược và nghĩa khí, sợ mất Phu, bèn nói với Thái úy, Thái úy cố ngăn lại.
吴已破，灌夫以此名闻天下。	Sau khi quân Ngô bị phá, Quán Phu vì thế nổi danh thiên hạ.
颍阴侯言之上，上以夫为中郎将。	Dĩnh Âm hầu tâu việc của Quán Phu lên Hoàng thượng, Hoàng thượng cho Phu làm Trung lang tướng.
数月，坐法去。	Mấy tháng sau, vì phạm pháp bị bãi chức.
後家居长安， 长安中诸公莫弗称之。	Về sau, gia đình sống ở Trường An, các nhà công hầu ở Trường An không ai không xưng tụng Quán Phu.
孝景时，至代相。	Thời Hiếu Cảnh đế, Quán Phu đến nước Đại làm Tướng quốc.
孝景崩，今上初即位，以为 淮阳天下交，劲兵处，故徙夫为淮阳太守。	Hiểu Cảnh đế băng hà, đương kim Hoàng thượng mới lên ngôi, cho Hoài Dương là đầu mối giao lưu của thiên hạ, chỗ có quân binh hùng mạnh, cho nên dời Phu làm Thái thú Hoài Dương.
建元元年，入为太仆。	Năm Kiến Nguyên thứ nhất, vào triều làm Thái bộc.
二 年，夫与长乐卫尉窦甫饮，轻重不得， 夫醉，搏甫。	Năm thứ hai, Phu cùng Vệ úy Trường Lạc là Đậu Phủ uống rượu, kẻ uống nhiều người uống ít, Phu say, đánh Phủ.
甫，窦太后昆弟也。	Phủ là anh em của Đậu Thái hậu.
上恐 太后诛夫，徙为燕相。	Hoàng thượng sợ Thái hậu giết Phu, chuyển Phu làm Tướng quốc nước Yên.
数岁，坐法去官，家居长安。	Được mấy năm, vi phạm pháp nên bị bãi quan, chuyển nhà về Trường An.
灌夫为人刚直使酒，不好面谀。	Quán Phu là người cương trực, uống rượu vào thì đổi cả tính nết, không thích ra mặt bợ đỡ.
贵戚诸有势在己之右，不欲加 礼，必陵之；诸士在己之左，愈贫贱，尤益敬，与钧。	Với các hoàng thân quý thích, các nhà có thế lực từ tầm mình trở lên, nếu không muốn tỏ ra lễ độ, nhất định sẽ lăng nhục; các kẻ sĩ thấp hơn mình, nhất là người nghèo hèn, lại rất cung kính, đối đãi bình đẳng.
士亦以此多之。	Kẻ sĩ cũng vì thế càng kính trọng ông ta.
夫不喜文学，好任侠，已然诺。	Phu không ưa văn chương học vấn, thích hành hiệp, điều gì đã hứa thì thực hiện bằng được.
家累数千万，食客日数十百人。	Trong nhà có mấy ngàn vạn, thực khách hằng ngày có mười thậm chí hàng trăm người.
陂池田园，宗族宾客为权利，横於颍川。	Nào xây bờ ao, nào ruộng đất trang viên, tông tộc và tân khách vì tranh quyền đoạt lợi, hoành hành ở Dĩnh Xuyên.
灌夫亦倚魏其而通列侯宗室为名高。	Quán Phu cũng dựa vào Ngụy Kỳ để kết giao với liệt hầu, tông thất nhằm nâng cao thanh danh.
两人相为引重， 其游如父子然。 相得驩甚，无厌，恨 相知晚也。	Hai người cùng dựa vào nhau, qua lại như cha con, rất hòa hợp vui vẻ, không biết chán, chỉ hận biết nhau quá muộn.
灌夫有服，过丞相。 丞相从容曰：“吾欲与仲孺过魏其侯， 会仲孺有服。”	Quán Phu có tang, qua thăm hỏi Thừa tướng, Thừa tướng thong thả nói: “Tôi định cùng Trọng Nhụ qua nhà Ngụy Kỳ hầu, lại gặp lúc Trọng Nhụ đang có tang.”
灌夫曰：“将军乃肯幸临况魏其侯， 夫安敢以服为解！请语魏其侯帐具，将军旦日蚤临。”	Quán Phu nói: “Tướng quân còn chịu quang lâm nhà Ngụy Kỳ hầu, Phu đâu dám vì có tang mà từ chối! Xin nói Ngụy Kỳ hầu chuẩn bị yến tiệc, sáng mai tướng quân sẽ đến sớm.”
灌 夫具语魏其侯如所谓武安侯。	Quán Phu nói lại mọi chuyện với Ngụy Kỳ hầu như đã nói với Vũ An hầu.
至日中，丞相不来。	Đến trưa, Thừa tướng vẫn chưa đến.
魏其谓灌夫 曰：“丞相岂忘之哉？”	Ngụy Kỳ hỏi Quán Phu: “Chẳng lẽ Thừa tướng quên sao?”
灌夫不怿，曰：“夫以服请，宜往。”	Quán Phu không vui, nói: “Phu có tang mà vẫn nhận lời hẹn, chắc sẽ đến thôi.”
乃驾，自 往迎丞相。	Bèn đánh xe, đích thân đến đón Thừa tướng.
於 是夫入见，曰：“将军昨日幸许过魏其，魏其夫妻治具，自旦至今， 未敢尝食。”	Thế rồi Phu vào gặp, nói: “Hôm qua tướng quân có hứa qua nhà Ngụy Kỳ, vợ chồng Ngụy Kỳ chuẩn bị yến tiệc, từ sáng đến giờ, vẫn chưa dám ăn.”
及饮酒酣，夫 起舞属丞相， 丞相不起，夫从坐上语侵之。	Tới khi uống đã ngà ngà, Phu dậy múa mời Thừa tướng, Thừa tướng vẫn ngồi yên, Quán Phu từ chỗ ngồi hướng lên Thừa tướng nói lời mạo phạm.
魏其乃扶灌夫去，谢丞相。	Ngụy Kỳ bèn dìu Quán Phu về, tạ lỗi với Thừa tướng.
丞相 卒饮至夜，极驩而去。	Thừa tướng vẫn uống rượu đến khuya, vui vẻ hết mức rồi về.
丞相尝使籍福请魏其城南田。	Thừa tướng từng sai Tịch Phúc đòi đất phía nam thành của Ngụy Kỳ.
魏其大望曰：“老仆虽弃，将军虽 贵，宁可以势夺乎！”	Ngụy Kỳ rất oán, nói: “Kẻ tôi tớ già này dẫu là đồ bỏ đi, tướng quân tuy sang quý, há có thể dùng quyền thế mà cướp được ư!”
不许。	Không cho.
籍福恶两人有 郄，乃谩自好谢丞相曰：“魏其老且死，易忍，且待之。”	Tịch Phúc không thích hai người có hiềm khích, bèn tự bịa những lời tốt đẹp nói với Thừa tướng: “Ngụy Kỳ già sắp chết, tạm nhẫn nhịn, hãy chờ vậy.”
已而武安 闻魏其、灌夫实怒不予田，亦怒曰：“魏其子尝杀人，蚡活之。蚡事 魏其无所不可，何爱数顷田？且灌夫何与也？吾不敢复求田。”	Thế rồi Vũ An biết sự thực Ngụy Kỳ và Quán Phu giận không chịu trả ruộng, cũng giận nói: “Con trai Ngụy Kỳ từng giết người, Phần này để cho sống. Phần thờ Ngụy Kỳ, không gì không nghe, sao lại tiếc mấy khoảnh ruộng? Vả lại Quán Phu thì quan hệ gì? Ta không dám đòi hỏi ruộng ấy nữa.”
武安 由此大怨灌夫、魏其。	Vũ An từ đấy rất giận Quán Phu và Ngụy Kỳ.
元光四年春，丞相言 灌夫家在颍川，横甚，民苦之。 请案。	Mùa xuân năm Nguyên Quang thứ tư, Thừa tướng nói Quán Phu, nhà ở Dĩnh Xuyên, hoành hành bạo ngược, làm khổ dân chúng, xin triều đình tra xét.
上曰：“此丞相事，何 请。”	Hoàng thượng nói: “Đó là phận sự của Thừa tướng, còn đề nghị làm gì?”
灌夫亦持丞相阴事，为奸利，受淮南王金与语言。	Quán Phu cũng nắm được một số việc ngầm của Thừa tướng, như việc gian dối trục lợi, nhận vàng của Hoài Nam vương và chuyện hai người nói riêng.
宾客居间， 遂止，俱解。	Tân khách khuyên giải rồi thôi, cùng dàn hòa nhau.
夏，丞相取燕王女为夫人， 有太后诏，召列侯宗室皆往贺。	Mùa hè, Thừa tướng lấy con gái của Yên vương làm phu nhân, có chiếu của Thái hậu, triệu liệt hầu và tông thất đều phải đến chúc mừng.
魏其侯过灌夫，欲与俱。	Ngụy Kỳ hầu qua nhà Quán Phu, định cùng đi.
夫谢 曰：“夫数以酒失得过丞相，丞相今者又与夫有郄。”	Phu từ chối, nói: “Phu nhiều lần dựa vào rượu mà thất lễ, đắc tội với Thừa tướng, nay Thừa tướng và Phu còn có hiềm khích.”
魏其曰：“事 已解。”	Ngụy Kỳ nói: “Việc hòa giải rồi.”
彊与俱。	Ép cùng đi.
夫怒，因嘻笑 曰：“将军贵人也，属之！”	Phu giận, nhân đó cười gượng nói: “Tướng quân là người tôn quý, xin hãy uống hết đi!”
时武安不肯。	Lúc ấy Vũ An không chịu.
魏其侯去，麾灌夫出。	Ngụy Kỳ hầu về, gọi Quán Phu cùng về.
籍福起为 谢，案灌夫项令谢。	Tịch Phúc dậy tạ tội, ấn gáy Quán Phu bảo tạ lỗi.
夫愈怒，不肯谢。	Phu càng giận, không chịu tạ lỗi.
武安乃麾骑缚夫置传舍，召长 史曰：“今日召宗室，有诏。”	Vũ An bèn gọi kỵ sĩ trói Phu lại đưa ra dịch trạm, triệu quan Trưởng sử đến: “Nay triệu người trong tổng thất đến là có chiếu chỉ.”
劾灌夫骂坐不敬，系居室。	Hạch tội Quán Phu mắng chửi, bất kính với tân khách, sai trói lại giam vào phòng.
魏其侯大媿，为资使宾客请，莫能解。	Ngụy Kỳ hầu cả thẹn, bỏ tiền nhờ tân khách cầu xin, nhưng không ai khuyên giải được.
夫人谏魏其曰：“灌将军得罪丞相，与太后 家忤，宁可救邪？”	Vợ Ngụy Kỳ can rằng: “Quán tướng quân đắc tội với Thừa tướng, làm trái chiếu chỉ của Thái hậu, làm sao cứu được?”
魏其侯曰：“侯自我得之，自我捐之，无所恨。 且终不令灌仲孺独死，婴独生。”	Ngụy Kỳ hầu nói: “Tước hầu do ta mà được, sẽ do ta mà mất, có gì đáng tiếc. Vả lại cũng không thể để Trọng Nhụ chết, còn Anh này sống một mình được.”
乃匿其家， 窃出上书。	Bèn giấu người nhà, lén dâng thư lên Hoàng thượng.
上然 之，赐魏其食，曰：“东朝廷辩之。”	Hoàng thượng cho là phải, ban đồ ăn cho Ngụy Kỳ, nói: “Hãy đến đông cung biện giải việc đó.”
魏其之东朝，盛推灌夫之善，言其醉饱得过，乃丞相以他事诬罪 之。	Ngụy Kỳ đến đông cung, ra sức khen chỗ tốt của Quán Phu, nói ông ta say rượu phạm lỗi, rồi bị Thừa tướng đem việc khác đổ tội cho.
魏其度不可柰何，因言丞 相短。	Ngụy Kỳ đoán chừng không biết làm sao, nhân đó kể chỗ kém của Thừa tướng.
武安曰：“天下幸而安乐无事，蚡得为肺腑，所好音乐狗马田 宅。蚡所爱倡优巧匠之属，不如魏其、灌夫日夜招聚天下豪桀壮士与 论议，腹诽而心谤，不仰视天而俯画地， 辟倪两宫间， 幸天下有变，而欲有大 功。 臣乃不知魏其等所为。”	Vũ An nói: “Thiên hạ may được an lạc vô sự, Phần được làm tâm phúc của Hoàng thượng, chỉ thích âm nhạc, chó ngựa, điền trạch. Thứ mà Phần này thích chỉ là loại phường hát, thợ giỏi, không như Ngụy Kỳ và Quán Phu ngày đêm chiêu tập anh kiệt, tráng sĩ trong thiên hạ đến cùng bàn luận, trong bụng chê bai, trong lòng hủy báng, không ngẩng nhìn lên trời chỉ cúi xuống vẽ dưới đất, ngó nghiêng hai cung, nếu thiên hạ có biến, thì định lập đại công. Thần thực không biết những việc làm của bọn Ngụy Kỳ.”
於是上问朝 臣：“两人孰是？”	Thế là Hoàng thượng hỏi các triều thần: “Hai người họ ai phải?”
御史大夫韩安国曰：“魏其言灌夫父死事，身荷 戟驰入不测之吴军，身被数十创，名冠三军，此天下壮士，非有大 恶，争杯酒，不足引他过以诛也。魏其言是也。丞相亦言灌夫通奸 猾，侵细民，家累巨万，横恣颍川，凌轹宗室，侵犯骨肉，此所 谓‘枝大於本，胫大於股，不折必披’， 丞相言亦是。唯明主裁之。”	Ngự sử đại phu Hàn An Quốc nói: “Ngụy Kỳ nói việc cha Quán Phu chết, Quán Phu đích thân vác kích phi ngựa vào quân Ngô đầy bất trắc, thân bị hơn chục vết thương, tên tuổi đứng đầu ba quân, đó là tráng sĩ trong thiên hạ, không phải kẻ đại ác, tranh đua lúc chén rượu, không đủ lấy lỗi đó mà giết được. Ngụy Kỳ nói phải. Thừa tướng cũng nói Quán Phu giao du với phương gian tà giảo hoạt, xâm hại dân chúng, trong nhà có đến cự vạn, hoành hành ngông bạo ở Dĩnh Xuyên, khinh khi tông thất, mạo phạm thân thích của Hoàng thượng, đó gọi là cành lớn hơn gốc, bắp to hơn đùi, không bẻ cũng gãy, Thừa tướng nói cũng phải. Xin minh chúa hãy quyết định.”
主爵都尉汲黯是魏 其。	Chủ tước đô úy Cấp Ảm cho là Ngụy Kỳ nói phải.
内史郑当时是魏其，後不敢坚对。	Nội sử Trịnh Đường Thời cho Ngụy Kỳ nói phải, sau không dám nói chắc.
