郑桓公友者，周厉王少子而宣王庶弟也。	Trịnh Hoàn công tên là Hữu, là con út của Chu Lệ vương, em dòng thứ của [Chu] Tuyên vương.
对曰：“齐、秦、晋、 楚乎？夫齐，姜姓，伯夷之後也，伯夷佐尧典礼。秦，嬴姓，伯翳之 後也，伯翳佐舜怀柔百物。及楚之先，皆尝有功於天下。而周武王克 纣後，成王封叔虞于唐， 其地阻险，以此有德与周衰并，亦必兴 矣。”	Đáp rằng: “Tề, Tần, Tấn, Sở chăng? Xét lẽ, Tề họ Khương, là hậu duệ của Bá Di, Bá Di giúp việc điển lễ cho Đế Nghiêu. Tần họ Doanh, là hậu duệ của Bá Ế, Bá Ế vỗ về trăm vật giúp đế Thuấn. Đến tổ tiên nước Sở, đều từng có công với thiên hạ. Mà sau khi Chu Vũ vương đánh bại vua Trụ, Thành vương phân phong Thúc Ngu đất Đường, đất đó hiểm trở, các hậu duệ có đức ở đấy, lại nhân khi nhà Chu suy, nhất định sẽ hưng thịnh vậy.”
桓公曰：“善。”	Hoàn công nói: “Phải.”
於是卒言王，东徙其民雒东，而虢、郐果献 十邑， 竟国之。	Thế rồi rốt cuộc nói với U vương, dời dân của mình sang phía đông, đến phía đông sông Lạc, còn vua nước Quắc và vua nước Cối hiến mười ấp, cuối cùng dựng nước ở đó.
二岁，犬戎杀幽王於骊山下，并杀桓公。	Được hai năm, Khuyển Nhung giết U vương ở dưới chân núi Ly Sơn, rồi giết cả Hoàn công.
郑人共立其子掘突， 是为武公。	Người Trịnh cùng lập người con của Hoàn công là Quật Đột, đó là Vũ công.
武公十年，娶申侯女 为夫人，曰武姜。	Vũ công năm thứ mười, lấy con gái của Thân hầu làm phu nhân, đó là Vũ Khương.
生太子寤生，生之 难，及生，夫人弗爱。	[Vũ Khương] sinh Thái tử Ngu Sinh, khó sinh, sau khi sinh, phu nhân không yêu [Ngu Sinh].
後生少子叔段，段生易，夫人爱之。	Sau này sinh con nhỏ là Thúc Đoạn, Đoạn dễ sinh, phu nhân yêu quý Đoạn.
二十七年，武公疾。	Năm thứ hai mươi bảy, Vũ công ốm.
夫 人请公，欲立段为太子，公弗听。	Phu nhân xin với Vũ công, muốn lập Đoạn làm Thái tử, Vũ công không nghe.
是岁，武公卒，寤生立，是为庄 公。	Năm đó, Vũ công chết, Ngu Sinh lên thay, đó là Trang công.
庄公元年，封弟段於京， 号太叔。	Trang công năm thứ nhất, phân phong cho em là Đoạn ở đất Kinh, hiệu là Thái Thúc.
祭仲曰：“京大於国，非所以封庶 也。”	Sái Trọng nói: “Đất Kinh lớn hơn quốc đô, không phải chỗ để phong cho dòng thứ.”
庄公曰：“武姜欲之，我弗敢夺也。”	Trang Công nói: “Vũ Khương muốn như vậy, ta không dám trái ý.”
段至京，缮治甲兵，与 其母武姜谋袭郑。	Đoạn đến đất Kinh, sửa sang quân bị, cùng mẹ là Vũ Khương âm mưu đánh úp Trịnh.
二十二年，段果袭郑，武姜为内应。	Năm thứ hai mươi hai, quả nhiên Đoạn đánh úp Trịnh, Vũ Khương làm nội ứng.
於是庄公迁其母武姜於城颍， 誓言曰：“不至黄泉， 毋相见也。”	Thế rồi Trang công đày mẹ là Vũ Khương ra Thành Dĩnh, thề rằng: “Không đến suối vàng, không nhìn nhau nữa.”
居岁馀，已悔思 母。	Được hơn năm, thấy hối hận, nhớ mẹ.
颍谷之考叔 有献於 公，公赐食。	Khảo thúc ở Dĩnh Cốc dâng [lễ vật] lên Trang công, Trang công tặng cho đồ ăn.
考叔曰：“臣有母，请君食赐臣母。”	Khảo Thúc nói: “Thần có mẹ, xin nhà vua ban đồ ăn cho mẹ thần.”
庄公曰：“我甚 思母，恶负盟，柰何？”	Trang Công nói: “Ta rất nhớ mẹ, nhưng sao trái lời thề được, phải làm thế nào đây?”
考叔曰：“穿地至黄泉，则相见矣。”	Khảo thúc đáp: “Đào xuyên đất đến suối vàng thì có thể gặp nhau rồi.”
於是 遂从之，见母。	Thế là [Trang công] bèn theo cách đó để gặp mẹ.
二十四年，宋缪公卒，公子冯奔郑。	Năm thứ hai mươi tư, Tống Mục công chết, công tử Phùng chạy sang Trịnh.
郑侵周地，取禾。	Trịnh xâm chiếm đất nhà Chu, cướp lúa.
二十五年，卫州吁弑其君 桓公自立，与宋伐郑，以冯故也。	Năm thứ hai mươi lăm, Châu Hu nước Vệ giết vua nước mình là Hoàn công, rồi tự lập làm vua, vì việc của Phùng nên cùng Tống đánh Trịnh.
二十七年，始朝周桓王。	Năm thứ hai mươi bảy, bắt đầu vào chầu Chu Hoàn vương.
桓王怒其 取禾，弗礼也。	Hoàn vương giận Trịnh đã cướp lúa, không tiếp đãi đúng lễ nghi.
二十九年，庄公怒周弗礼，与鲁易 祊、许田。	Năm thứ hai mươi chín, Trang công giận nhà Chu không tiếp đúng lễ, cùng Lễ trao đổi đất ấp Bang lấy Hứa Điền.
三十三年，宋杀孔 父。	Năm thứ ba mươi ba, Tống giết Khổng Phủ.
三十七年，庄公不朝周，周桓王率陈、蔡、虢、卫伐郑。	Năm thứ ba mươi bảy, Trang công không vào chầu nhà Chu, Chu Hoàn vương thống lĩnh các nước Trần, Sái, Quắc, Vệ đánh nước Trịnh.
祝 聸请从之，郑伯止之，曰：“犯长且难之，况敢陵天子乎？”	Chúc Đam xin đuổi đánh, Trịnh bá ngăn lại nói: “Phạm đến bậc tôn trưởng đã khó xử trí rồi, huống chi dám lăng nhục thiên tử?”
三十八年，北戎伐齐，齐使求救，郑遣太子忽将兵救齐。	Năm thứ ba mươi tám, Bắc Nhung đánh nước Tề, Tề sai người cầu cứu, nước Trịnh sai Thái tử Hốt đem quân đến cứu Tề.
齐釐公 欲妻之，忽谢曰：“我小国，非齐敌也。”	Tề Hy công định gả con cho [Thái tử Hốt], Hốt từ chối rằng: “Tôi là nước nhỏ, không xứng với nước Tề.”
时祭仲与俱，劝使取之， 曰：“君多内宠，太子无大援将不 立，三公子皆君也。”	Bấy giờ Sái Trọng cùng đi, khuyên Thái tử nên đồng ý, nói: “Trong nước nhà vua sủng ái nhiều người, Thái tử không có nước lớn ủng hộ sẽ không được lập, ba công tử đều có thể làm vua.”
所谓三公子者，太子忽，其弟突，次弟子亹 也。	Ba công tử tức Thái tử Hốt, em là Đột, em nữa là Vi.
四十三年，郑庄公卒。	Năm thứ bốn mươi ba, Trịnh Trang công chết.
初，祭仲甚有宠於庄公，庄公使为卿；公 使娶邓女，生太子忽，故祭仲立之，是为昭公。	Trước đây, Sái Trọng rất được Trang công tin yêu, Trang công sai làm quan khanh; Trang công lấy người con gái nước Đặng, rồi sinh Thái tử Hốt, cho nên Sái Trọng lập Hốt, đó là Chiêu công.
雍氏有宠於宋。	Họ Ung được nước Tống sủng ái.
宋庄公闻祭仲之立忽，乃使人诱召祭仲而执之，曰：“不立 突，将死。”	Tống Trang công nghe tin Sái Trọng lập Hốt, bèn sai người dụ triệu Sái Trọng đến rồi bắt, nói: “Không lập Đột, sẽ phải chết.”
以突归，立之。	Đưa Đột về, lập Đột.
己亥，突至 郑，立，是为厉公。	Ngày Kỷ Hợi, Đột về đến Trịnh, lên ngôi, đó là Lệ công.
厉公四年，祭仲专国政。	Lệ công năm thứ tư, Sái Trọng chuyên quyền chính sự trong nước.
纠妻，祭仲女也，知之，谓其母 曰：“父与夫孰亲？”	Vợ Củ là con gái của Sái Trọng, biết chuyện đó, hỏi mẹ rằng: “Cha và chồng, ai thân hơn?”
母曰：“父一而已，人尽夫也。”	Mẹ đáp: “Cha chỉ có một thôi, chồng lấy ai chả được.”
厉公无柰祭仲何，怒纠曰：“谋 及妇人，死固宜哉！”	Lệ công không làm gì được Sái Trọng, giận Củ, nói: “Bàn mưu với đàn bà, chết là phải lắm!”
夏，厉公出居边邑栎。	Mùa hạ, Lệ công ra ở ấp Lịch tại vùng biên giới.
秋，郑厉公突因栎人杀其大夫单伯， 遂居之。	Mùa thu, Trịnh Lệ công Đột dựa vào dân ấp Lịch giết đại phu ấp đó là Đan bá, rồi ở lại đó.
诸侯闻厉公出奔，伐郑，弗克而去。	Chư hầu hay tin Lệ công chạy ra ngoài, [đem quân] đánh Trịnh, không hạ được nên rút về.
宋颇予厉公兵，自守於栎，郑以故亦不伐栎。	Nước Tống cấp nhiều quân cho Lệ công, để tự giữ ở ấp Lịch, vì thế Trịnh cũng không đánh ấp Lịch.
昭公二年，自昭公为太子时，父庄公欲以高渠弥为卿，太子忽恶 之，庄公弗听，卒用渠弥为卿。	Chiêu công năm thứ hai, từ khi Chiêu công còn làm Thái tử, cha là Trang cũng muốn cho Cao Cừ Di làm quan khanh, Thái tử Hốt ghét ông ta, nhưng Trang công không nghe, rốt cuộc vẫn cho Cừ Di làm quan khanh.
祭仲与渠弥不敢入厉公，乃更 立昭公弟子亹为君，是为子亹也，无谥号。	Sái Trọng cùng Cừ Di không dám đưa Lệ công về, bèn đổi lập em của Chiêu công là Tử Vỉ làm vua, đó là Tử Vỉ, không có thụy hiệu.
所以然者，子亹自齐襄公为公子之时， 尝会斗，相仇，及会诸侯，祭仲请子亹无行。	Sở dĩ như vậy vì từ khi Tề Tương công còn là công tử, Tử Vỉ từng đánh nhau, gây thù oán, đến khi hội chư hầu, Sái Trọng đề nghị Tử Vỉ không đi.
子亹曰：“齐彊，而厉 公居栎，即不往，是率诸侯伐我，内厉公。我不如往，往何遽必辱， 且又何至是！”	Tử Vỉ nói: “Tề mạnh, mà Lệ công ở đất Lịch, nếu không đi, Tề sẽ thống lãnh chư hầu đánh ta, rồi đưa Lệ công về. Chẳng bằng ta cứ đi, đi thì dẫu nhục thế nào chăng nữa, cũng đâu đến nỗi như ông nghĩ!”
於是祭仲恐齐并杀之，故称疾。	Thế rồi Sái Trọng sợ Tề giết luôn mình nên thác bệnh.
子亹至，不谢 齐侯，齐侯怒，遂伏甲而杀子亹。	Tử Vỉ đến nơi, không tạ lỗi với Tề hầu, Tề hầu tức giận, bèn mai phục giáp sĩ rồi giết Tử Vỉ.
高渠弥亡归， 归与祭仲谋，召子亹弟公子婴於陈而立之，是为郑子。	Cao Cừ Di trốn về nước, bàn mưu với Sái Trọng, triệu em của Tử Vỉ là công tử Anh ở nước Trần rồi lập làm vua, đó là Trịnh tử.
是岁，齐襄公使彭生醉拉杀鲁桓 公。	Năm đó, Tề Tượng công sai Bành Sinh nhân lúc Lỗ Hoàn công uống rượu say dìu đỡ rồi giết chết.
郑子八年，齐人管至父等作乱，弑其君襄公。	Trịnh từ năm thứ tám, bọn Quản Chí Phủ người Tề làm loạn, giết vua nước mình là Tương công.
十二年，宋人长万 弑其君湣公。	Năm thứ mười hai, Trường Vạn người Tống giết vua nước mình là Mẫn công.
郑祭仲死。	Sái Trọng nước Trịnh chết.
十四年，故郑亡厉公突在栎者使人诱劫郑大夫甫假， 要以求入。	Năm thứ mười bốn, Lệ công Đột nước Trịnh Vốn lưu vong ở đất Lịch sai người lừa rồi uy hiếp đại phu nước Trịnh là Phủ Giả, ép giúp mình trở về.
假曰：“舍我，我为君 杀郑子而入君。”	Giả nói: “Thả ta, ta vì ngài giết Trịnh tử rồi đưa ngài về.”
厉公与盟，乃舍之。	Lệ công cùng thề, rồi thả ra.
初，内蛇与外蛇斗於郑南门中，内蛇 死。	Trước đây, có con rắn trong thành và con rắn ngoài thành đánh nhau ở cổng nam đô thành nước Trịnh, con rắn trong thành chết.
居六年，厉公果复入。	Được sáu năm, Lệ công quả nhiên lại về.
入而让其伯父原 曰：“我亡国外居，伯父无意入我，亦甚矣。”	Trở về, Lệ công trách người bác là Nguyên rằng: “Ta trốn ra sống bên ngoài nước, bá phụ không có ý đưa ta về, cũng thực quá lắm!”
原曰：“事君无二 心，人臣之职也。原知罪矣。”	Nguyên nói: “Thờ vua không hai lòng, đó là chức phận của bề tôi. Nguyên biết tội rồi.”
厉公於是谓甫假曰：“子之 事君有二心矣。”	Lệ công nhân đó nói với Phủ Giả rằng: “Ngài thờ vua hai lòng đấy.”
遂诛之。	Bèn giết Phủ Giả.
假曰：“重德不报，诚然哉！”	Giả nói: “Đại đức không báo đáp được, thì phải thế thôi!”
厉公突後元年，齐桓公始霸。	Năm thứ nhất sau khi Lệ công Đột trở lại làm vua, Tề Hoàn công bắt đầu xưng bá.
五年，燕、卫与周惠王弟穨伐王， 王出奔温，立弟穨为王。	Năm thứ năm, Yên và Vệ cùng em của Chu Huệ vương là Đồi tấn công Chu vương, Chu vương chạy ra nước Ôn, lập em là Đồi làm vương.
六年， 惠王告急郑，厉公发兵击周王子穨，弗胜，於是与周惠王归，王居于 栎。	Năm thứ sáu, Huệ vương cấp báo với nước Trịnh, Lệ công phát binh đánh Vương tử nhà Chu là Đồi, không thắng, thế là cùng Chu Huệ vương về nước, Huệ vương ở đất Lịch.
七年春，郑厉公与虢叔袭杀王子穨而入惠王于周。	Mùa xuân năm thứ bảy, Trịnh Lệ công cùng Quốc thúc đánh úp giết Vương tử Đồi rồi đưa Huệ vương về Chu.
秋，厉公卒，子文公踕 立。	Mùa thu, Lệ công chết, con là Văn công Tiệp lên thay.
厉公初立四岁，亡居栎，居栎十七岁，复入，立七岁，与亡 凡二十八年。	Lệ công mới lên ngôi được bốn năm, lưu vong ở đất Lịch, ở đất Lịch mười bảy năm, lại trở về, lên ngôi được bảy năm, cùng thời gian lưu vong, cả thảy hai mươi tám năm.
文公十七年，齐桓公以兵破蔡，遂伐楚，至召陵。	Văn công năm thứ mười bảy, Tề Hoàn công đem quân phá nước Sái, rồi thảo phạt Sở, kéo đến Thiệu Lăng.
二十四年，文公之贱妾曰燕姞，梦 天与之兰，曰：“余为伯鯈。余，尔祖也。 以是为而子， 兰有国香。”	Năm thứ hai mươi tư, tiện thiếp của Văn công là Yên Cật mơ thấy trời trao cho cỏ lan, nói: “Ta là Bá Điều. Ta là tổ của ngươi đây. Đem hoa này đặt tên cho con ngươi, lan là quốc hương.”
以梦告文公，文公幸之，而予之草兰为 符。	[Yên Cật] đem chuyện giấc mộng nói với Văn công, Văn công ân ái với nàng, rồi trao cho cỏ lan làm bằng chứng.
遂生子，名曰兰。	Sau sinh con, đặt tên là Lan.
三十六年，晋公子重耳过，文公弗礼。	Năm thứ ba mươi sáu, công tử Trùng Nhĩ nước Tấn qua Trịnh, Văn công không tiếp đúng lễ.
文公弟叔詹曰：“重耳 贤，且又同姓，穷而过君，不可无礼。”	Em của Văn công là Thúc Chiêm nói: “Trùng Nhĩ hiền năng, lại cùng họ với nhau, cùng khốn mới qua chỗ nhà vua, không thể không dùng lễ để tiếp đãi.”
文公曰：“诸侯亡公子过者 多矣，安能尽礼之！”	Văn công nói: “Các công tử của chư hầu lưu vong qua chỗ ta rất đông, sao có thể tận lễ hết được!”
詹曰：“君如弗礼，遂杀之；弗杀，使即反 国，为郑忧矣。”	Chiêm nói: “Nếu nhà vua không theo lễ, hãy giết y đi; không giết, nếu [Trùng Nhĩ] được về nước, sẽ thành mối lo của Trịnh vậy.”
三十七年春，晋公子重耳反国，立，是为文公。	Mùa xuân năm thứ ba mươi bảy, công tử Trùng Nhĩ nước Tấn về nước, lên ngôi, đó là Văn công.
秋，郑入滑，滑 听命，已而反与卫，於是郑伐滑。	Mùa thu, Trịnh vào nước Hoạt, nước Hoạt nghe lệnh [của Trịnh], rồi lại phản để theo Vệ, thế là Trịnh đánh Hoạt.
周襄王使伯馃 请滑。	Chu Tương vương sai Bá Phục đi nói đỡ cho nước Hoạt.
郑文公怨惠王之 亡在栎，而文公父厉公入之，而惠王不赐厉公爵禄， 又怨襄王之与卫滑，故不听襄王请而 囚伯馃。	Trịnh Văn công oán vì khi Chu Huệ vương lưu vong ở ấp Lịch, cha Văn công là Lệ công đưa Huệ vương về nước, nhưng Huệ vương không ban tặng tước lộc cho Lệ công; lại oán Tương vương chống lưng cho Vệ và nước Hoạt, cho nên không nghe theo yêu cầu của Tương Vương, nhân đó bỏ tù Bá Phục.
王怒，与翟人伐郑，弗克。	Tương vương giận, cùng người Địch tấn công Trịnh, không hạ được.
冬，翟攻伐襄王，襄王出奔郑， 郑文公居王于氾。	Mùa đông, nước Địch đánh Tương Vương, Tương vương chạy sang nước Trịnh, Trịnh Văn công cho Tương vương ở ấp Phiếm.
三十八年，晋文公入襄王成周。	Năm thứ ba mươi tám, Tấn Văn công đưa Tương vương về Thành Chu.
四十一年，助楚击晋。	Năm thứ bốn mươi mốt, giúp Sở đánh Tấn.
自晋文公之过无礼，故背晋助楚。	Từ khi Tấn Văn công qua nước Trịnh, Trịnh không dùng lễ tiếp đãi, nên lúc này Trịnh quay lưng với nước Tấn để giúp nước Sở.
四十三 年，晋文公与秦穆公共围郑，讨其助楚攻晋者，及文公过时之无礼 也。	Năm thứ bốn mươi ba, Tấn Văn công cùng Tần Mục công bao vây Trịnh, hỏi tội Trịnh giúp Sở đánh Tấn, cùng tội vô lễ khi Văn công sang Trịnh.
初，郑文公有三夫人，宠子五人，皆以罪蚤死。	Trước đây, Trịnh Văn công có ba phu nhân, có năm người con trai được sủng ái, đều có tội, chết sớm.
公怒，溉 逐群公子。	Trịnh Văn công giận, đuổi các công tử.
子兰奔 晋，从晋文公围郑。	Tử Lan chạy sang Tấn, theo Tấn Văn Công bao vây Trịnh.
时兰事晋文公甚谨，爱幸之，乃私於晋，以求入 郑为太子。	Bấy giờ Lan thờ Tấn Văn công rất nghiêm cẩn, được Văn công sủng ái, bèn ngầm tạo quan hệ ở Tấn, để mong được về Trịnh làm Thái tử.
晋於是欲得叔詹为僇。	Thế rồi Tấn muốn bắt Thúc Chiêm giết đi.
郑文公恐，不敢谓叔詹言。	Trịnh Văn công sợ, không dám nói với Thúc Chiêm.
詹闻， 言於郑君曰：“臣谓君，君不听臣，晋卒为患。然晋所以围郑，以 詹，詹死而赦郑国，詹之原也。”	Chiêm nghe chuyện, nói với Trịnh quân rằng: “Thần đã nói với nhà vua, nhà vua không chịu nghe thần, rốt cuộc Tấn thành mối lo. Nhưng sở dĩ Tấn bao vây Trịnh là do Chiêm, Chiêm chết mà xá được cho Trịnh, đó là tâm nguyện của Chiêm vậy.”
郑人以詹尸与晋。	Người Trịnh đem xác Chiêm cho Tấn.
晋文公 曰：“必欲一见郑君，辱之而去。”	Tấn Văn công nói: “Nhất định phải gặp mặt Trịnh quân một lần, làm nhục ông ta rồi mới rút.”
郑人患之，乃使人私於秦 曰：“破郑益晋，非秦之利也。”	Người Trịnh lo sợ việc đó, bèn sai người lén sang nói với Tần rằng: “Trịnh bị phá thì Tấn mạnh thêm, không có lợi cho Tần.”
秦兵罢。	Tần liền bãi binh.
晋文公欲入兰为太子，以 告郑。	Tấn Văn công muốn đưa Lan về làm Thái tử, bèn báo cho Trịnh.
郑大夫石癸曰：“吾闻姞姓乃后稷之元妃， 其後当有兴者。子兰母，其後也。且夫人子尽已 死，馀庶子无如兰贤。今围急，晋以为请，利孰大焉！”	Đại phu nước Trịnh là Thạch Quý nói: “Tôi nghe nói họ Cật là dòng nguyên phi của Hậu Tắc, hậu duệ đáng được hưng thịnh. Mẹ của Tử Lan là hậu duệ của nguyên phi Hậu Tắc vậy. Vả lại các con của phu nhân đã chết hết, các con ngành thứ còn lại không ai hiển năng bằng Lan. Nay nước bị bao vây nguy cấp, Tấn đã yêu cầu như thế, còn lợi nào lớn hơn!”
遂许晋，与 盟，而卒立子兰为太子，晋兵乃罢去。	Bèn đồng ý với Tấn, cùng kết minh ước, rồi rốt cuộc lập Tử Lan làm Thái tử, Tấn bèn bãi binh rút về.
四十五年，文公卒，子兰立，是为缪公。	Năm thứ bốn mươi lăm, Văn công chết, Tử Lan lên thay, đó là Mục công.
缪公元年春，秦缪公使三将将兵欲袭郑，至滑，逢郑贾人弦高诈 以十二牛劳军，故秦兵不至而还，晋败之於崤。	Mùa xuân năm [Trịnh] Mục công thứ nhất, Tần Mục công sai ba tướng đem quân định tập kích nước Trịnh, kéo đến đất Hoạt, gặp người lái buôn nước Trịnh là Huyền Cao, [Huyền Cao] vờ đem mười hai con bò úy lạo quần chúng, cho nên quân Tần [tưởng Trịnh biết việc Tần xuất quân] không kéo đến nữa mà rút về, bị quân Tấn đánh bại ở Hào Sơn.
初，往年郑文公之卒 也，郑司城缯贺以郑情卖之，秦兵故来。	Vốn là năm trước, Trịnh Văn công chết, quan Ty thành nước Trịnh là Tăng Hạ đem tình hình nước Trịnh báo cho Tần, vì thế quân Tần kéo sang.
三年，郑发兵从晋伐秦，败 秦兵於汪。	Năm thứ ba, Trịnh phát binh theo Tấn đánh Tần, đánh bại quân Tần ở ấp Uông.
往年楚太子商臣弑其父成王代立。	Năm trước, Thái tử Thương Thần nước Sở giết cha mình là Thành vương rồi lên thay.
二十一年，与宋华元伐郑。	Năm thứ hai mươi mốt, cùng Hoa Nguyên nước Tống đánh nước Trịnh.
二十二年，郑缪公卒，子夷立，是为灵公。	Năm thứ hai mươi hai, Trịnh Mục công chết, Tử Di lên thay, đó là Linh công.
灵公元年春，楚献鼋於灵公。	Mùa xuân năm Linh công thứ nhất, Sở dâng lên Linh công con giải.
子家、子公将朝灵公， 子公之食指动，谓子家 曰：“佗日指动，必食异物。”	Tử Gia, Tử Công sắp triều kiến Linh công, ngón trỏ của Tử Công từng máy động, Tử Công bảo Tử Gia rằng: “Hôm nọ ngón trỏ máy động, ắt được ăn vật lạ.”
及入，见灵公进鼋羹，子公笑 曰：“果然！”	Đến khi vào triều, thấy Linh công cho ăn canh thịt giải, Tử Công cười nói: “Quả nhiên!”
灵公问其笑故，具告灵公。	Linh công hỏi tại sao cười, bèn kể lại đầy đủ với Linh công.
灵公召之，独弗予羹。	Linh công triệu đến, duy Tử Công không được ăn canh.
子 公怒，染其指，尝之而出。	Tử Công giận, nhúng ngón tay vào canh, nếm rồi đi ra.
公怒，欲杀子 公。	Linh công giận, định giết Tử Công.
子公与子家谋先。	Tử Công cùng Tử Gia bàn mưu với nhau trước.
夏，弑灵公。	Mùa hạ, giết Linh công.
郑人欲立灵公弟去疾，去疾让 曰：“必以贤，则去疾不肖；必以顺，则公子坚长。”	Người Trịnh định lập em của Linh công là Khứ Tật, Khứ Tật chối rằng: “Nếu nhất định phải lập người hiền thì Khí Tật là kẻ kém cỏi; nếu nhất định lập người cung thuận thì công tử Kiên lớn tuổi hơn.”
坚者，灵公庶 弟，去疾之兄也。	Kiên là em ngành thứ của Linh công, anh của Khí Tật.
於是乃立子坚， 是为襄公。	Thế là bèn lập Tử Kiên, đó là Tương công.
襄公立，将尽去缪氏。	Tương công lên ngôi, định trừ khử hết người họ Mậu.
缪氏者，杀灵公、子公之族家也。	Họ Mậu giết Linh công, chính là gia tộc của Tử Công.
去疾 曰：“必去缪氏，我将去之。”	Khứ Tật nói: “Nếu nhất định phải giết họ Mậu, ta sẽ bỏ đi.”
皆以为大夫。	Đều được cho làm đại phu.
郑背楚，与晋亲。	Trịnh phản bội Sở, kết thân với Tấn.
五 年，楚复伐郑，晋来救之。	Năm thứ năm, Sở lại đánh Trịnh, Tấn đến cứu viện.
六年，子家卒，国人复逐其族，以其弑灵 公也。	Năm thứ sáu, Tử Gia chết, người trong nước lại xua đuổi gia tộc của Tử Gia, vì tội đã giết Linh công.
七年，郑与晋盟鄢陵。	Năm thứ bảy, Trịnh và Tấn kết minh ở Yên Lăng.
八年，楚庄王以郑与晋盟，来伐，围郑三 月，郑以城降楚。	Năm thứ tám, Sở Trang vương lấy lý do Trịnh và Tấn kết minh, đem quân đến đánh, bao vây Trịnh ba tháng, Trịnh đem thành hàng Sở.
楚王入自皇门，郑襄公肉袒掔羊以迎，曰：“孤不 能事边邑，使君王怀怒以及弊邑，孤之罪也。敢不惟命是听。君王迁 之江南，及以赐诸侯，亦惟命是听。若君王不忘厉、宣王，桓、武 公，哀不忍绝其社稷，锡不毛之地， 使复得改事君王，孤之原也，然非所敢望也。敢 布腹心，惟命是听。”	Sở vương từ của Hoàng Môn tiến vào, Trịnh Tương công cởi trần dắt dê nghinh đón, nói: “Cô không biết phụng sự ở biên ấp, khiến quân vương ôm giận rồi kéo đến tệ ấp, đó là tội của cô. Sao dám không nghe mệnh lệnh? Quân vương đày đi Giang Nam, hay [đem nước] tặng cho chư hầu, ban lệnh nào cũng xin nghe. Nếu như quân vương không quên các vị Lệ Dương, Tuyên vương, Hoàn công, Vũ công, xót mà không nỡ đoạn tuyệt xã tắc nước Trịnh, ban cho mảnh đất không tày mảy lông, cho lại được sửa đổi để thờ quân vương, thì đó là ước nguyện của cô vậy, song không dám hy vọng vậy. Dám xin phô bày gan ruột, thảy đều nghe theo mệnh lệnh.”
庄王为卻三十里而後舍。	Trang vương vì thế lui ba mươi dặm rồi mới đóng quân.
楚群臣曰：“自郢至 此，士大夫亦久劳矣。今得国舍之，何如？”	Quần thần nước Sở hỏi: “Từ đất Dĩnh đến đây, sĩ đại phu cũng vất vả lâu rồi. Nay được nước mà lại bỏ là cớ làm sao?”
