太公望吕尚者，东海上人。	Thái công Vọng Lã Thượng, là bậc thượng nhân ở vùng Đông Hải.
十四年，陈厉公子完，号敬仲，来奔齐。	Năm thứ mười bốn, con của Trần Lệ công là Hoàn, hiệu là Kính Trọng, chạy sang nước Tề.
齐桓公欲以 为卿，让；於是以为工正。	Tề Hoàn công muốn cho làm chức khanh, [Trần Hoàn] từ chối; vì vậy cho làm quan Công chính.
田成子常之祖 也。	Đó là tổ tiên của Điền Thành tử Thường vậy.
二十三年，山戎伐燕， 燕告急於齐。	Năm thứ hai mươi ba, tộc Sơn Nhung đánh nước Yên, nước Yên cấp báo với nước Tề.
桓公曰：“非天 子，诸侯相送不出境，吾不可以无礼於燕。”	Hoàn công nói: “Không phải thiên tử, chư hầu đưa tiễn nhau thì không vượt khỏi biên giới, ta không thể vô lễ với nước Yên được.”
诸侯闻之，皆从 齐。	Chư hầu biết việc đó, đều theo nước Tề.
二十七年，鲁湣公母曰哀姜，桓公女弟也。	Năm thứ hai mươi bảy, mẹ của Mẫn công nước Lỗ là Ai Khương, tức là em gái của Tề Hoàn công.
桓公召哀姜，杀之。	Hoàn công triệu Ai Khương về, giết chết Ai Khương.
二十八年，卫文公有狄乱，告急於齐。	Năm thứ hai mươi tám, Vệ Văn công gặp loạn người Địch, cấp báo với nước Tề.
齐率诸侯城楚丘 而立卫君。	Nước Tề thống lãnh chư hầu đắp thành Sở Khâu rồi lập Vệ quân.
二十九年，桓公与夫人蔡姬戏船中。	Năm thứ hai mươi chín, Hoàn công cùng phu nhân là Sái cơ chơi đùa trong thuyền.
蔡姬习水，荡公， 公惧，止之，不止，出船，怒，归蔡姬，弗绝。	Sái cơ vốn ưa nước [giỏi bơi lội], mới lay thuyền đùa giỡn Hoàn công, Hoàn công sợ hãi, bảo [Sái cơ] ngừng lại, [Sái cơ] không ngừng, [đến khi] lên khỏi thuyền, Hoàn công nổi giận, trả Sái cơ về nước, nhưng không tuyệt giao.
蔡 亦怒，嫁其女。	Sái hầu cũng giận, cải giá cho Sái cơ.
三十年春，齐桓公率诸侯伐蔡，蔡溃。	Mùa xuân năm thứ ba mươi, Tề Hoàn công thống lãnh chư hầu thảo phạt nước Sái, dân chúng nước Sái trốn chạy khắp nơi.
楚成王兴师问曰：“何故涉吾地？”	Sở Thành vương cất quân chất vấn: “Hà cớ gì lại xâm phạm đất đai của ta?”
楚王曰：“贡之不入，有之，寡人罪 也，敢不共乎！昭王之出不复，君其问之水滨。”	Sở vương đáp: “Cống phẩm không vào đến triều đình, quả có việc đó, là tội của quả nhân, nào dám không dâng hiến! Chiêu Dương ra đi mà không trở về, ngài nên đến bờ Hán Thủy mà hỏi.”
屈完曰：“君以道则可；若不，则 楚方城以为城， 江、 汉以为沟，君安能进乎？”	Khuất Hoàn nói: “Nhà vua theo đạo nghĩa thì được; bằng không, Phương Thành nước Sở sẽ làm thành, Trường Giang, Hán Thủy sẽ thành hào, nhà vua còn dám tiến nữa chăng?”
是岁，晋杀 太子申生。	Cùng năm ấy, nước Tấn giết Thái tử Thân Sinh.
三十五年夏，会诸侯于葵丘。	Mùa hạ năm thứ ba mươi lăm, hội chư hầu ở Quỳ Khâu.
诸侯颇有叛者。	Có nhiều chư hầu chống lại.
晋侯病，後，遇宰孔。	Tấn hầu bị ốm, đến sau, gặp Tể Khổng.
宰孔 曰：“齐侯骄矣，弟无行。”	Tể Khổng nói: “Tề hầu thật kiêu ngạo, ngài không cần phải đến họp.”
从之。	[Tấn hầu] nghe theo.
是岁，晋献公卒，里克杀奚齐、 卓子，秦穆 公以夫人入公子夷吾为晋君。	Năm ấy, Tấn Hiến công chết, Lý Khắc giết Hề Tề và Trác tử, Tần Mục công nhờ mối quan hệ của phu nhân [là Mục cơ] nên đưa công tử Di Ngô về nước lập làm Tấn quân.
是时周室微，唯齐、楚、秦、晋为彊。	Lúc bấy giờ, nhà Chu suy vi, chỉ có Tề, Sở, Tần, Tấn là cường mạnh.
晋初与会， 献公死，国内乱。	Tấn mới tham dự hội minh thì Tấn Hiến công chết, trong nước có loạn.
三十八年，周襄王弟带与戎、翟合谋伐周，齐使管仲平戎於周。	Năm thứ ba mươi tám, em trai của Chu Tương vương là Đại hợp mưu với rợ Nhung, Địch để đánh nhà Chu, nước Tề sai Quản Trọng dẹp loạn người Nhung ở nước Chu.
三十九年，周襄王弟带来奔齐。	Năm thứ ba mươi chín, em trai của Chu Tương vương là Đái chạy sang nước Tề.
四十一年，秦穆公虏晋惠公，复归之。	Năm thứ bốn mươi mốt, Tần Mục công bắt sống được Tấn Huệ công, rồi lại cho về.
管仲曰：“知臣莫如君。”	Quản Trọng đáp: “Biết bề tôi, không ai bằng nhà vua.”
公曰：“易牙如何？”	Hoàn công hỏi: “Dịch Nha thế nào?”
对曰：“杀子以適君，非人 情，不可。”	Đáp rằng: “Giết con để làm vừa lòng nhà vua, không hợp lẽ nhân tình, không được.”
公曰：“开方如何？”	Hoàn công hỏi: “Khai Phương thì sao?”
对曰：“倍亲以適君，非人情， 难近。”	Đáp rằng: “Phản bội người thân để làm vừa lòng nhà vua, không hợp lẽ nhân tình, khó gần được.”
公 曰：“竖刀如何？”	Hoàn công hỏi: “Thụ Điêu thì sao?”
对曰：“自宫以適 君，非人情，难亲。”	Đáp rằng: “Tự thiến để làm vừa lòng nhà vua, không hợp lẽ nhân tình, khó thân được.”
管仲死，而桓公不用管仲言，卒近用三子，三 子专权。	Quản Trọng chết, nhưng Hoàn công không nghe lời của Quản Trọng, rốt cuộc vẫn thân cận và trọng dụng ba kẻ ấy, ba kẻ ấy chuyên quyền.
四十二年，戎伐周，周告急於齐，齐令诸侯各发卒戍周。	Năm thứ bốn mươi hai, người Nhung chinh phạt nhà Chu, nhà Chu cấp báo với nước Tề, nước Tề sai chư hầu cùng cất quân bảo vệ nhà Chu.
是岁， 晋公子重耳来，桓公妻之。	Năm ấy, công tử Trùng Nhĩ nước Tấn đến, Hoàn công gả con gái cho.
四十三年。 初，齐桓公之夫人三：曰王姬、徐姬、 蔡姬，皆无子。	Năm thứ bốn mươi ba, hồi trước, Tề Hoàn công có ba vị [chính thất] phu nhân là: Vương cơ, Từ cơ, Sái cơ, đều không có con.
桓公好内，多内宠，如夫人者六人，长卫 姬，生无诡；少卫姬，生惠公元；郑姬，生孝 公昭；葛嬴，生昭公潘；密姬，生懿公商人；宋华子， 生公子雍。	Hoàn công thích các nữ quan trong cung, sủng ái rất nhiều người, [đối xử] như với phu nhân thì có sáu người: Trưởng Vệ cơ sinh ra Vô Quỷ; Thiếu Vệ cơ sinh ra Huệ công là Nguyên; Trịnh cơ sinh ra Hiếu công là Chiêu; Cát Doanh sinh ra Chiêu công là Phan; Mật cơ sinh ra Ý công là Thương Nhân; Tống Hoa Tử sinh ra công tử Ung.
桓公与管仲属孝公於宋襄公，以 为太子。	Hoàn công và Quản Trọng đem Hiếu công gửi gắm Tống Tương công, cho làm Thái tử.
雍巫 有宠於卫共 姬，因宦者竖刀以厚献於桓公，亦有宠，桓公许之立无诡。	Ung Vu được Vệ Cung cư sủng ái, thông qua hoạn quan Thụ Điêu để dâng hậu lễ lên Hoàn công nên [Vệ Cung cơ] cũng được [Hoàn công] tin yêu, Hoàn công đồng ý lập Vô Quỷ lên ngôi.
管仲卒，五公子皆求立。	Quản Trọng chết đi, cả năm công tử [còn lại] đều muốn được lên ngôi.
太子昭奔宋。	Thái tử Chiêu chạy sang nước Tống.
十二 月乙亥，无诡立，乃棺赴。	Ngày Ất Hợi tháng Mười Hai, Vô Quỷ lên ngôi mới cho làm khâm liệm nhập quan rồi phát tang.
桓公十有馀子，要其後立者五人：无诡立三月死，无谥；次孝 公；次昭公；次懿公；次惠公。	Hoàn công có hơn mười người con trai, sau này có năm người được chọn lên ngôi: Vô Quỷ lên ngôi được ba tháng thì chết, không có tên thụy; kế đến Hiếu công; tiếp đến Chiêu công; rồi Ý công; rồi Huệ công.
齐人恐，杀其君无诡。	Người Tề lo sợ, giết vua của mình là Vô Quỷ.
齐人将立太子昭，四公子之徒 攻太子，太子走宋，宋遂与齐人四公子战。	Người Tề định lập Thái tử Chiêu lên ngôi, thì đồ đảng của bốn công tử còn lại liền tấn công Thái tử, Thái tử chạy sang nước Tống, nước Tống bèn giao chiến với bốn công tử nước Tề.
五月，宋败齐四公子师而 立太子昭，是为齐孝公。	Tháng Năm, quân Tống đánh bại quân của bốn công tử rồi lập Thái tử Chiêu lên ngôi, đó là Tề Hiếu công.
宋以桓公与管仲属之太子，故来征之。	[Trước đây] do Tề Hoàn công và Quản Trọng gửi gắm Thái tử cho nước Tống, cho nên [nước Tống] mới sang chinh phạt [nước Tề].
夏，宋襄公卒。	Mùa hạ, Tống Tương công chết.
七年，晋文公立。	Năm thứ bảy, Tấn Văn công lên ngôi.
十年，孝公卒，孝公弟潘因卫公子开方杀孝公子而立潘，是为昭 公。	Năm thứ mười, Hiếu công chết, em trai của Hiếu công là Phan dựa vào công tử Khai Phương nước Vệ giết các con của Hiếu công để lên ngôi, đó là Chiêu công.
昭公，桓公子也，其母曰葛嬴。	Chiêu cũng là con của Hoàn công, mẹ là Cát Doanh.
昭公元年，晋文公败楚於城濮，而会诸 侯践土，朝周，天子使晋称伯。	Chiêu công năm đầu, Tấn Văn công đánh bại quân Sở ở Thành Bộc, rồi hội minh với chư hầu ở Tiễn Thổ, vào chầu nhà Chu, thiên tử cho nước Tấn làm bá.
晋文公 卒。	Tấn Văn công chết.
十二年，秦穆公卒。	Năm thứ mười hai, Tần Mục công chết.
十九年五月，昭公卒，子舍立为齐君。	Tháng Năm năm thứ mười chín, Chiêu công qua đời, con là Xá lên ngôi vua Tề.
舍之母无宠於昭公，国人 莫畏。	Do mẹ của Xá không được Chiêu công sủng ái nên người trong nước không nể sợ.
昭公之弟商人以桓公死争立而不得，阴交贤士，附爱百姓，百 姓说。	Kể từ sau khi Hoàn công mất, em của Chiêu công là Thương Nhân tranh ngôi vua không được nên ngầm kết giao hiền sĩ, yêu quý vỗ về trăm họ, trăm họ đều vui.
及昭公卒，子舍立，孤弱，即与众十月即墓上弑齐君舍，而商 人自立，是为懿公。	Đến khi Chiêu công qua đời, con là Xá lên ngôi vua, đơn độc yếu thế, [Thương Nhân] liền tập trung đồ đảng vào tháng Mười giết Tề quân là Xá ngay trên mộ [Chiêu công], rồi Thương Nhân tự lên ngôi, đó là Ý công.
懿公，桓公子也，其母曰密姬。	Ý công là con của Hoàn công, mẹ là Mật cơ.
五月，懿公游於申池， 二人浴，戏。	Tháng Năm, Ý công du ngoạn ở Thân Trì, Bính Nhung và Dung Chức cùng tắm, đùa nhau.
职曰：“断足子！”	Chức nói: “Con của kẻ cụt chân!”
戎曰：“夺妻者！”	, Nhung nói: “Thằng bị mất vợ!”
二 人俱病此言，乃怨。	Hai người đều thẹn sau câu nói đó, bèn sinh lòng oán hận.
谋与公游竹中，二人弑懿公车上，弃竹中而亡 去。	[Hai người] cùng bàn mưu khi theo Ý công dạo chơi trong rừng trúc, sẽ giết Ý công trên xe, vứt xác vào bụi trúc rồi bỏ trốn.
懿公之立，骄，民不附。	Ý công sau khi lên ngôi, kiêu ngạo, dân chúng không theo.
齐人废其子而迎公子元於卫，立之，是 为惠公。	[Do đó] người Tề phế bỏ con của Ý công rồi đón công tử Nguyên nước Vệ về, lập [Nguyên] lên ngôi, đó là Huệ công.
惠公，桓公子也。	Huệ công là con của Hoàn công.
惠公二年，长翟来， 王子城父攻杀之，埋之 於北门。	Huệ công năm thứ hai, rợ Trường Địch đến, Vương tử Thành Phủ đánh giết Trường Địch, chôn xác ở cửa Bắc.
十年，惠公卒，子顷公无野立。	Năm thứ mười, Huệ công chết, con là Khoảnh công Vô Dã lên thay.
初，崔杼有宠於惠 公，惠公卒，高、国畏其偪也，逐之，崔杼奔卫。	Ban đầu, Thôi Trữ được Huệ công sủng ái, [sau khi] Huệ công chết, họ Cao, họ Quốc sợ bị bức hại bèn xua đuổi ông ta, Thôi Trữ chạy sang nước Vệ.
