周公旦者，周武王弟也。	Chu công Đán là em trai Chu Vũ vương.
史 策祝曰： “惟尔元孙王发，勤劳阻疾。 若尔三王是有负子之责於天，以旦代王发 之身。 旦巧能，多材多(cid:0)，能事鬼神。 乃王发不如旦多材多(cid:0)，不能事鬼神。乃命 于帝庭，敷佑四方， 用能定汝子孙于下地，四方之民罔不敬畏。 无坠天之降葆命，我先王亦永有所依归。 今我其即命於元 龟， 尔之许我，我以其璧与圭归，以俟尔命。 尔不许我，我乃屏璧与圭。”	Quan sử đọc lời khấn khắc trên thẻ [do Chu công soạn] rằng: “Cháu trưởng của chư vị là [Vũ] vương Phát, do vất vả vì quốc sự nên mắc bệnh nặng, nếu ba vị tiên vương có nợ trời một người con cháu, vậy thì xin cho Đán được thế thân cho Vũ vương Phát. Đán này khéo léo, tài năng, lắm tài nhiều nghệ, giỏi thờ quỷ thần. Còn Vũ vương Phát không lắm tài nhiều nghệ, không khéo thờ quỷ thần bằng Đán. Nhưng do [Vũ vương Phát] nhận mệnh của thiên đế, bảo bọc khắp bốn phương, khiến con cháu các ngài trong thiên hạ được yên ổn, chúng dân khắp bốn phương không ai không kính sợ. [Vì thế] nếu [Vũ vương Phát] chẳng làm mất mệnh trời quý báu đã ban xuống, thì các tiên vương ta cũng mãi mãi có chỗ nương về. Nay Đán đã thỉnh mệnh [của các ngài] ở rùa lớn, nếu các ngài chấp nhận thỉnh cầu của Đán, Đán xin dâng ngọc bích và ngọc khuê, chờ mệnh lệnh của các ngài. Nếu các ngài không chấp nhận thỉnh cầu của Đán, Đán sẽ cất ngọc bích và ngọc khuê.”
周公已令史策告太王、王季、文王，欲代武王 发，於是乃即三王而卜。	Chu công lệnh cho quan sử đọc lời khấn cáo với Thái vương, Vương quý, Văn vương khắc trên thẻ xong, muốn chết thay cho Vũ vương Phát, rồi liền bói quẻ thỉnh mệnh ba vị tiên vương.
卜人皆曰吉，发书视之，信吉。	Thầy bói đều nói là tốt, mở sách bói ra xem, đích xác quẻ tốt.
周公入贺武王曰：“王其无害。旦新受命三王，维长终 是图。兹道能 念予一人。”	Chu công vào triều chúc mừng Vũ vương rằng: “Bệnh tình của nhà vua không có gì nguy hại nữa. Đán mới thỉnh mệnh ba vị tiên vương, nhà vua chỉ cần toan tính sao cho mọi việc đều được lâu dài trọn vẹn. Đó là nhờ tiên vương đoái nghĩ đến nhà vua vậy.”
明日，武王有瘳。	Hôm sau, Vũ vương khỏi bệnh.
其後武王既崩，成王少，在强葆之中。	Về sau, sau khi Vũ vương băng hà, Thành vương nhỏ tuổi, hãy còn trong tã địu.
周公恐天下闻武王崩而畔，周公乃践阼代成王摄行政当国。	Chu công sợ thiên hạ hay tin Vũ vương băng hà sẽ làm phản, bèn lên ngôi thiên tử thay Thành vương nắm giữ, điều hành chính sự trong nước.
管叔 及其群弟流言於国曰：“周公将不利於成王。”	Quản thúc cùng các em của mình phao tin trong nước rằng: “Chu công sẽ gây bất lợi cho Thành vương.”
周公乃告太公望、召公奭曰：“我之 所以弗辟而摄行政者，恐天下畔周，无以告我先王太王、 王季、文王。三王之忧劳天下久矣，於今而后成。武王蚤终，成王 少，将以成周，我所以为之若此。”	Chu công bèn nói với Thái công Vọng và Thiệu Công Thích rằng: “Tôi sở dĩ không tránh [hiềm nghi] để nắm quyền điều hành chính sự, là sợ thiên hạ phản lại nhà Chu, [như thế] không biết nói sao với các vị tiên vương Thái vương, Vương quý, Văn vương của ta. Ba vị tiên vương lo lắng cho thiên hạ đã lâu, đến nay mới được thiên hạ. Vũ vương mất sớm, Thành vương còn nhỏ, vì muốn hoàn thành sự nghiệp nhà Chu, tôi mới phải làm như vậy.”
於是卒相成王，而使其子伯禽代 就封於鲁。	Thế rồi rốt cuộc phò tá Thành vương, lại sai con là Bá Cầm thay mình đến đất phong ở Lỗ.
周公戒伯禽曰：“我文王之子，武王之弟，成王之叔父， 我於天下亦不贱矣。然我一沐三捉发，一饭三吐哺，起以待士，犹恐 失天下之贤人。子之鲁，慎无以国骄人。”	Chu công răn Bá Cầm rằng: “Ta là con của Văn vương, em của Vũ vương, chú của Thành vương, ta đối với thiên hạ cũng không phải hạng thấp hèn. Nhưng ta một lần gội đầu mà ba lần vắt tóc, một bữa ăn mà ba lần nhả cơm, đứng dậy để tiếp đãi kẻ sĩ, thế mà còn sợ để mất người hiền trong thiên hạ. Con đến Lỗ, phải thận trọng, chớ vì có nước phong mà kiêu mạn với người.”
管、蔡、武庚等果率淮夷而反。	Quả nhiên bọn Quản thúc, Sái thúc, Vũ Canh thống lãnh tộc Hoài Di làm phản.
周公乃奉成王命，兴师东伐，作 大诰。	Chu công bèn phụng mệnh Thành vương, dấy binh sang đông chinh phạt, soạn bài “Đại cáo”.
遂诛管叔，杀武庚，放蔡叔。	Thế rồi chém Quản thúc, giết Vũ Canh, đày Sái thúc.
收殷馀民，以封康叔於卫，封微 子於宋，以奉殷祀。	Thu gom dân còn lại của nhà Ân, đem phong cho Khang thúc đất Vệ, phong cho Vi Tử đất Tống, để họ phụng thờ tế tự nhà Ân.
宁淮夷东土，二年而毕定。	Vỗ yên vùng đất phía đông tộc Hoài Di, sau hai năm thì thảy được bình định.
天降祉福，唐叔得禾，异母同颖， 献之成王， 成王命唐叔以餽周公於东土，作餽禾。	Trời giáng phúc lành, Đường thức được cây lúa, khác gốc nhưng chung bông, đem dâng lên Thành vương, Thành vương sai Đường thức đưa tặng Chu công ở vùng đất phía đông, làm bài “Quỹ hòa”.
周公既受命禾，嘉天子命， 作嘉禾。	Chu công nhận lúa Thành vương ban cho, ngợi ca ân điển của thiên tử, làm bài “Gia hòa”.
东土以集，周公归报成王，乃为诗贻王，命之曰 鸱鸮。	Vùng đất phía đông đã quy phục, Chu công về báo với Thành vương, rồi làm thơ để lại cho Thành vương, gọi là bài “Si hiêu”.
王亦未敢训周公。	Thành vương cũng không dám chê trách Chu công.
成王七年二月乙未，王朝步自周，至丰， 使太保召公先 之雒相土。	Ngày Ất Mùi tháng Hai năm Thành vương thứ bảy, từ sáng sớm Thành vương đã đi bộ từ đất Chu đến ấp Phong, sai quan Thái bảo Thiệu công đến ấp Lạc trước, xem xét hình thế đất đai.
其三月，周公往营成周雒邑， 卜居焉，曰吉，遂国之。	Tháng Ba năm ấy, Chu công đến xem xét tình hình xây dựng ấp Lạc Đông Chu, [sau đó] coi bói để định đô, được quẻ tốt, bèn dựng quốc đô tại đó.
成王长，能听政。	Thành vương đã trưởng thành, có thể xử lý chính sự.
於是周公乃还政於成王，成王临朝。	Thế là Chu công bèn trao trả chính sự cho Thành vương, Thành vương lâm triều.
周公之代 成王治，南面倍依以朝诸侯。	Khi Chu công cai trị thay Thành vương, Chu công quay mặt về phía nam, lưng hướng vào bình phong để tiếp kiến chư hầu.
及七年後，还政成王，北面就臣位，歔歔如畏然。	Từ năm thứ bảy trở đi, trả lại quyền chính sự cho Thành vương, [Chu công] quay mặt về phía bắc, đứng ở vị trí bề tôi, cung kính cẩn trọng như có dáng vẻ sợ sệt.
初，成王少时，病，周公乃自揃其蚤沈之河，以祝於神曰：“王 少未有识，奸神命者乃旦也。”	Trước đây, khi Thành vương còn nhỏ, bị ốm, Chu Công bèn tự cắt móng tay mình ném xuống sông Hà, rồi khấn thần sông rằng: “Nhà vua còn thơ dại chưa hiểu biết, kẻ làm trái mệnh lệnh của thần là Đán vậy.”
亦藏其策於府。	Cũng lại giấu thẻ ghi lời khấn ấy trong kho.
成王病有瘳。	Thế rồi Thành vương khỏi bệnh.
及成王 用事，人或谮周公，周公奔楚。	Đến khi Thành vương chấp chính, có người gièm pha Chu công, Chu công phải chạy sang nước Sở.
成王发府，见周公祷书，乃泣，反周 公。	Thành vương mở kho, thấy giản thư ghi lời khấn cầu, bèn khóc rồi đón Chu công về.
周公归，恐成王壮，治有所淫佚，乃作多士，作毋逸。	Chu công trở về, sợ Thành vương [đang tuổi] tráng kiện, cai trị có điều sẽ sa đà, buông thả, bèn làm các bài “Đa sĩ”, “Vô dật”.
毋逸 称：“为人父母，为业至长久，子孙骄奢忘之，以亡其家，为人子可 不慎乎！故昔在殷王中宗，严恭敬畏天命，自度 治民，震惧不敢荒宁， 故中宗飨国七十五年。其在高宗，久劳于外， 为与小人， 作其即 位，乃有亮闇，三年不言， 言乃讙， 不敢荒宁，密靖殷国，至于小大无 怨，故高宗飨国五 十五年。其在祖甲， 不义惟王，久为小人 于外，知小人之依， 能保施小民，不侮鳏寡， 故祖甲飨国三十三年。”	Bài “Vô dật” viết: “Làm cha mẹ, phải rất dài lâu mới tạo nên cơ nghiệp, con cháu kiêu mạn xa xỉ mà quên điều đó, đến nỗi mất cả gia nghiệp, kẻ làm con có thể không thận trọng được ư? Cho nên thuở xưa, Ân vương Trung Tông nghiêm cẩn kính sợ mệnh trời, tự noi pháp độ để trị dân, sợ sệt không dám lơi là an dật, vì thế Trung tông hưởng nước bảy mươi lăm năm. [Nhà Ân dưới] thời Cao tông, từng lâu ngày mất cả bên ngoài, làm việc cùng dân thường, đến khi lên ngôi lại chịu tang cha, ba năm không nói, [đến khi mãn tang] nói thì người đều vui, không dám lơi là an dật, khiến nhà Ân yên định, việc lớn nhỏ dân đều không oán, cho nên Cao Tông được hưởng nước năm mươi lăm năm. Đến thời Tổ Giáp, làm vua không hợp danh nghĩa, sống cùng dân thường ở ngoài lâu ngày, hiểu chỗ nương dựa của họ, biết bảo bọc gia ơn cho dân chúng, không khinh mạn kẻ quan quả, cho nên Tổ Giáp hưởng nước ba mươi ba năm.”
多士称曰：“自汤至于帝乙，无 不率祀明德，帝无不配天者。 在今後嗣王纣，诞淫厥佚，不顾天及民之从也。 其民皆可诛。”	Bài “Đa sĩ” viết rằng: “Từ Thành Thang đến đế Ất, không ai không cung thuận trong tế tự, làm sáng đức độ, không vị đế vương nào không phối sánh với trời. Sau này, vua Trụ nối ngôi, hoang dâm phóng đãng, không đoái đến phép trời và ý dân. Dân trong nước đều cho là Trụ đáng bị tru diệt.”
“文王日中昃不暇食，飨国五十 年。”	“Văn vương bận lo chính sự mặt trời quá trưa vẫn chưa rảnh để ăn, hưởng nước năm mươi năm.”
作此以诫成王。	[Chu công] viết những điều đó để khuyên răn Thành vương.
成王在丰，天下已安，周之官政未次序，於是周公作周官，官别 其宜，作立政， 以便百姓。 百姓说。	Thành vương ở ấp Phong, thiên hạ đã yên định, nhưng chế độ quan chức nhà Chu chưa rõ thứ bậc, Chu công bèn viết “Chu quan ”, biện biệt chức trách các quan. Soạn “Lập chính” để tiện lợi cho trăm họ, trăm họ đều mừng.
周公在丰，病，将没，曰：“必葬我成周， 以明吾不敢离成王。”	Chu công ở ấp Phong, bị bệnh, sắp mất, nói: “Phải chôn ta ở Thành Chu, để tỏ rõ ta không dám xa lìa Thành vương.”
周公既卒，成 王亦让，葬周公於毕， 从文王，以明予小子不敢臣周公也。	Sau khi Chu công mất, Thành vương cũng khiêm nhượng, táng Chu công đất Tất, theo [hầu] Văn vương, để tỏ rằng bản thân mình không dám coi Chu công là bề tôi vậy.
周国大恐。	Người ở quốc đô nước Chu cả sợ.
成 王与大夫朝服以开金縢书， 王乃得周公所自以为功代武王之说。	Thành vương cùng các quan đại phu mặc triều phục, mở giản sách trong hộp Kim đằng, bấy giờ Thành vương mới biết việc Chu công nguyện chết thay cho Vũ vương.
二公及王乃问史百执 事， 史百执事曰：“信有，昔周公命 我勿敢言。”	Thái công và Thiệu Công cùng Thành vương bèn hỏi các viên quan sử, họ thưa: “Quả là có [việc đó], trước đây Chu công lệnh cho chúng thần không được nói ra.”
成王执书以泣， 曰：“自今後其无缪卜乎！ 昔周公勤劳王家，惟予幼人弗及知。今天动威以彰 周公之德，惟朕小子其迎，我国家礼亦宜之。”	Thành vương cầm sách mà khóc, nói rằng: “Từ rày về sau không cần kính cẩn coi bói nữa! Trước đây Chu công vất vả vì vương thất, riêng ta còn thơ dại nên chưa biết. Nay trời ra uy để tỏ rõ đức độ của Chu công, đích thân trẫm phải làm lễ đón thần, theo nghi lễ nước nhà thì điều đó cũng phù hợp.”
二公命国人，凡大木所偃，尽起而筑之。	Thái công, Thiệu Công lệnh cho người trong nước, phàm cây lớn bị đổ, đều dựng lên rồi lèn đất lại.
於是成王乃命鲁得郊 祭文王。	Thế rồi Thành vương bèn lệnh cho nước Lỗ được dùng lễ tế giao để tế Văn vương.
鲁有天子礼乐者，以 襃周公之德也。	Nước Lỗ có lễ nhạc của thiên tử là để tán dương đức tốt của Chu công vậy.
周公卒，子伯禽固已前受封，是为鲁公。	Chu công mất, trước đó con là Bá Cầm vốn đã được thụ phong, đó là Lỗ công.
鲁 公伯禽之初受封之鲁，三年而後报政周公。 周公曰：“何迟也？”	Trước kia khi Lỗ Công Bá Cầm được phong Lỗ, sau ba năm mới báo cáo tình hình chính sự với Chu công, Chu công hỏi: “Sao chậm thế?”
伯 禽曰：“变其俗，革其礼，丧三年然後除之，故迟。”	Bá Cầm đáp: “Đổi phong tục, thay lễ nghi, tang phục sau ba năm mới cởi bỏ, cho nên chậm trễ.”
太公亦封於 齐，五月而报政周公。 周公曰：“何疾也？”	Thái Công cũng được phong ở Tề, sau năm tháng liền báo cáo chính sự với Chu công, Chu công hỏi: “Sao nhanh thế?”
曰：“吾简其君臣礼， 从其俗为也。”	Đáp: “Tôi giảm bớt lễ nghi quân thần, theo phong tục ở đó mà làm vậy.”
及後闻伯禽报政迟，乃叹曰：“呜呼，鲁後世其北面 事齐矣！夫政不简不易，民不有近；平易近民，民必归之。”	Sau đó, thấy Bá Cầm báo cáo chính sự chậm chạp, [Chu công] bèn than rằng: “Hỡi ôi, hậu thế của nước Lỗ sẽ quay mặt về hướng bắc mà phụng sự nước Tề thôi! Xét lẽ, chính sự không giản bớt sẽ chẳng dễ thi hành, [chẳng dễ thi hành thì] dân không gần gũi, giản dị và gần gũi người dân, dân ắt hướng về người đó.”
伯禽即位之後，有管、蔡等反也，淮夷、徐戎亦并兴反。	Sau khi Bá Cầm lên ngôi, xảy ra việc bọn Quản thúc, Sái thúc làm phản, tộc Hoài Di, tộc Từ Nhung cũng nhất tề nổi lên làm phản.
作此肸誓，遂平徐 戎，定鲁。	Làm bài “Bí thệ” này rồi bèn bình định tộc Từ Nhung, yên định nước Lỗ.
鲁公伯禽卒， 子考公酋立。	Lỗ công Bá Cầm chết, con là Khảo công Tù lên thay.
考公 四年卒，立弟熙，是谓炀公。	Khảo công lên thay được bốn năm thì chết, lập em trai là Hy lên thay, đó là Dương công.
六年卒，子幽公宰立。	Dương công lên ngôi được sáu năm thì chết, con là U công Tể lên thay.
幽公十四 年。 幽公弟晞杀幽公而自立，是为魏公。	U công năm thứ mười bốn, bị em của mình là Phí giết, rồi [Phí] tự lập làm vua, đó là Ngụy công.
魏公五十年卒，子厉公擢立。	Ngụy công ở ngôi năm mươi năm thì chết, con là Lệ công Trạc lên thay.
厉公三十七年卒，鲁人立其弟具，是为献公。	Lệ công tại vị ba mươi bảy năm thì chết, người Lỗ lập người em [của Lệ công] là Cụ lên thay, đó là Hiến công.
献 公三十二年卒，子 真公濞立。	Hiến công tại vị ba mươi hai năm thì chết, con là Thận công Tỵ lên thay.
真公十四年，周厉王无道，出奔彘，共和行政。	Thận công năm thứ mười bốn, Chu Lệ vương vô đạo, chạy đến đất Trệ, [Lệ vương đi rồi] [quần thần] cùng thi hành chính sự.
二十九年，周宣 王即位。	Năm thứ hai mươi chín, Chu Tuyên vương lên ngôi.
三十年，真公卒，弟敖立，是为武公。	Năm thứ ba mươi, Thận công chết, em là Ngao lên thay, đó là Vũ công.
武公九年春，武公与长子括，少子戏， 西朝周宣王。	Mùa xuân năm Vũ công thứ chín, Vũ công cùng con trưởng là Quát, con út là Hí sang phía tây vào chầu Chu Tuyên vương.
宣王爱戏，欲立戏为鲁太子。	Tuyên vương yêu quý Hí, muốn lập Hí làm Thái tử nước Lỗ.
周之樊仲山父谏宣 王曰：“废长立少，不顺；不顺，必犯王命；犯王命，必诛之：故出 令不可不顺也。令之不行，政之不立； 行而不顺，民将弃上。 夫下事上，少事长，所以为顺。今天子建诸侯，立其少，是教 民逆也。若鲁从之，诸侯效之， 王命将有所壅；若弗从 而诛之，是自诛王命也。 诛之亦失，不诛亦失， 王其图之。”	Phan Trọng Sơn Phủ nhà Chu can Tuyên vương rằng: “Phế lớn lập nhỏ, không thuận lý; không thuận lý, ắt phạm vương mệnh; phạm đến vương mệnh, kẻ đó ắt bị tru diệt; cho nên lệnh ban ra không thể không thuận lý vậy. Mệnh lệnh không được thi hành, chính sự sẽ không đứng vững; thi hành mà không thuận lý, dân chúng sẽ bỏ bề trên. Xét lẽ, kẻ dưới thờ người trên, nhỏ thờ lớn, đó là thuận lý. Nay thiên tử phong cho chư hầu mà lập con nhỏ của họ, là dạy dân làm ngược vậy. Nếu nước Lỗ nghe theo, chư hầu bắt chước họ, vương mệnh sẽ có chỗ bị khuất lấp; nếu không nghe theo mà trừng trị họ, là tự hủy vương mệnh vậy. Trị tội cũng hỏng, không trị cũng hỏng, xin nhà vua cân nhắc việc đó.”
宣王弗听，卒立戏为鲁太子。	Tuyên vương không nghe, rốt cuộc vẫn lập Hí làm Thái tử nước Lỗ.
夏，武公归而卒，戏立，是为懿公。	Mùa hạ, Vũ công về nước rồi mất, Hí lên thay, đó là Ý công.
伯御即位十一年，周宣王伐鲁，杀其君伯御， 而问鲁公子能道顺诸侯者， 以为鲁後。	Bá Ngự lên ngôi được mười một năm, Chu Tuyên vương thảo phạt nước Lỗ, giết Lỗ quân là Bá Ngự, rồi hỏi trong các công tử nước Lỗ ai có thể dẫn dắt được chư hầu, để lập làm người kế tục nước Lỗ.
宣王曰：“然，能训治其民矣。”	Tuyên vương nói: “Phải, vậy thì có thể dạy bảo cai trị dân nước Lỗ rồi.”
乃立称於夷宫， 是为孝公。	Bèn lập Xứng tại Di Cung, đó là Hiếu công.
自是 後，诸侯多畔王命。	Từ đó về sau, chư hầu phần nhiều làm trái vương mệnh.
孝公二十五年，诸侯畔周，犬戎杀幽王。	Hiếu công năm thứ hai mươi lăm, chư hầu phản lại nhà Chu, Khuyển Nhung giết chết U vương.
二十七年，孝公卒，子弗湟立， 是为惠公。	Năm thứ hai mươi bảy, Hiếu công chết, con là Phất Hoàng lên thay, đó là Huệ công.
惠公三十年，晋人弑其君昭侯。	Huệ công năm thứ ba mươi, người Tấn giết vua nước mình là Chiêu hầu.
四十五年，晋人又弑其君孝侯。	Năm thứ bốn mươi lăm, người Tấn lại giết vua nước mình là Hiếu hầu.
四十六年，惠公卒，长庶子息摄当 国，行君事，是为隐公。	Năm thứ bốn mươi sáu, Huệ công chết, con trưởng trong số các con ngành thứ là Tức nhiếp chính, chủ trì quốc sự, điều hành việc nước như nhà vua, đó là Ẩn công.
息长，为娶於宋。	Tức trưởng thành, lấy vợ ở nước Tống.
生子允。	[Nàng ta] sinh con là Doãn.
登宋女为夫人，以允为太子。 及惠公卒，为允少故，鲁 人共令息摄政，不言即位。	[Huệ công] thăng người đàn bà nước Tống lên làm phu nhân, phong Doãn làm Thái tử. Đến khi Huệ công chết, vì Doãn còn nhỏ, người Lỗ cùng để Tức nhiếp chính, nhưng không nói là lên ngôi.
隐公五年，观渔於棠。	Ẩn công năm thứ năm, xem đánh cá ở ấp Đường.
八年，与郑易天子之太 山之邑祊及许田，君子讥之。	Năm thứ tám, cùng nước Trịnh đổi ấp Hứa Điền lấy ấp Bang ở Thái Sơn của thiên tử, người quân tử chê cười việc đó.
十一年冬，公子挥谄谓隐公曰：“百姓便君，君其遂立。吾请为 君杀子允，君以我为相。”	Mùa đông năm thứ mười một, công tử Huy xúi Ẩn công rằng: “Trăm họ ủng hộ ngài, ngài hãy nhân cơ hội lên ngôi. Tôi xin vì ngài mà giết Tử Doãn, ngài hãy cho tôi làm Tướng quốc.”
隐公曰：“有先君命。吾为允少，故摄代。今允长矣，吾方营 菟裘之地而老焉， 以授子允政。”	Ẩn công nói: “Có di mệnh của tiên vương. Do Doãn còn nhỏ, nên ta nhiếp chính thay. Nay Doãn đã trưởng thành, ta đang dựng cung thất ấp Thố Cừu rồi về dưỡng lão ở đó, đem chính sự trao lại cho Tử Doãn.”
挥惧子允 闻而反诛之，乃反谮隐公於子允曰：“隐公欲遂立，去子，子其图 之。请为子杀隐公。”	Huy sợ Tử Doãn biết chuyện sẽ quay sang giết mình, bèn trở mặt gièm pha Ẩn công với Tử Doãn rằng: “Ẩn công muốn lên ngôi, sẽ giết ngài, ngài hãy tính đi. Tôi xin vì ngài mà giết Ẩn công.”
十一月，隐公祭钟巫， 齐于社圃，馆于蔿 氏。	Tháng Mười một, Ẩn công tế Chung vu, trai giới ở vườn Xã Phố, nghỉ ở nhà Vị thị.
挥使人杀隐公于蔿氏， 而立子允为君，是为桓公。	Huy sai người giết Ẩn công ở nhà Vị thị, rồi lập Tử Doãn làm vua, đó là Hoàn công.
桓公元年，郑以璧易天子之许田。	Hoàn công năm thứ nhất, nước Trịnh dùng ngọc bích đổi đất Hứa Điền của thiên tử.
二年，以宋之赂鼎入於太庙，君子讥之。	Năm thứ hai, đưa đỉnh do nước Tống hối lộ vào thái miếu, người quân tử chê cười việc đó.
三年，使挥迎妇于齐为夫人。	Năm thứ ba, sai Huy đón người vợ ở nước Tề về làm phu nhân.
六年，夫人生子，与桓公同日，故 名曰同。	Năm thứ sáu, phu nhân sinh con trai, cùng ngày sinh với Hoàn công, cho nên đặt tên là Đồng.
同长，为太子。	Đồng trưởng thành, được làm Thái tử.
十六年，会于曹，伐郑，入厉公。	Năm thứ mười sáu, hội minh ở ấp Tào, thảo phạt nước Trịnh, đưa Lệ công về nước.
十八年春，公将有行，遂与夫人如 齐。	Mùa xuân năm thứ mười tám, Hoàn công bàn việc xuất hành, định cùng phu nhân sang nước Tề.
夏四月丙子，齐襄公飨 公，公醉，使公子彭生抱鲁桓公， 因命彭生摺其胁，公死于车。	Ngày Bính Tý tháng Tư mùa hạ, Tề Tương công đãi tiệc Hoàn công, Hoàn công say, [Tề Tương công] sai công tử Bành Sinh dìu Lỗ Hoàn công, nhân đó lệnh Bành Sinh bẻ gãy xương sườn [Hoàn công], Hoàn công chết ở trong xe.
立太子同，是为庄公。	[Nước Lỗ] lập Thái tử Đồng, đó là Trang công.
庄公母夫人因留 齐，不敢归鲁。	Mẹ của Trang công phu nhân [của Lỗ Hoàn công] nhân đó lưu lại nước Tề, không dám về nước Lỗ.
庄公五年冬，伐卫，内卫惠公。	Mùa đông năm Trang công thứ năm, thảo phạt nước Vệ, đưa Vệ Huệ công về nước.
八年，齐公子纠来奔。	Năm thứ tám, công tử Củ nước Tề chạy sang.
九年，鲁欲内子纠於齐，後桓公，桓公发 兵击鲁，鲁急，杀子纠。	Năm thứ chín, người Lỗ muốn đưa công tử Củ về nước Tề, [công tử Củ] theo sau Hoàn công, Hoàn công phát binh đánh nước Lỗ, nước Lỗ nguy cấp, bèn giết công tử Củ.
召忽死。	Thiệu Hốt chết.
鲁人施伯曰： “齐欲得管仲，非杀之也，将用之， 用之则为鲁患。不如杀，以其尸与之。”	Thi Bá người nước Lỗ nói: “Nước Tề muốn có Quản Trọng, không giết ông ta đâu, sẽ trọng dụng ông ta, nếu [nước Tề] trọng dụng ông ta thì đó là mối lo của nước Lỗ. Chẳng bằng giết đi, đem xác đưa cho họ.”
庄公 不听，遂囚管仲与齐。	Trang công không nghe, bèn nhốt Quản Trọng vào xe tù đưa sang nước Tề.
十三年，鲁庄公与曹沬会齐桓公於柯，曹沬劫齐桓公，求鲁侵 地，已盟而释桓公。	Năm thứ mười ba, Lỗ Trang công cùng Tào Mạt hội minh với Tề Hoàn công ở ấp Kha, Tào Mạt uy hiếp Tề Hoàn công, đòi đất của nước Lỗ đã bị xâm chiếm, kết minh xong mới thả Hoàn công.
桓公欲背约，管仲谏，卒归鲁侵地。	Hoàn công muốn bội ước, Quản Trọng can, cuối cùng phải trả những đất đã chiếm của nước Lỗ.
十五年，齐 桓公始霸。	Năm thứ mười lăm, Tề Hoàn công bắt đầu xưng bá.
二十三年，庄公如齐观社。	Năm thứ hai mươi ba, Trang công đến nước Tề xem tế thần xã.
庄公闻之，曰：“荦有力焉，遂杀之，是未可鞭而置 也。”	Trang Công biết việc đó, mới nói: “Lạc là người có sức vóc, nên giết đi, không nên chỉ đánh rồi thả.”
斑未得杀。	Ban chưa kịp giết [Lạc].
庄公有三弟，长曰庆父，次曰叔牙， 次曰季友。	Trang công có ba người em trai, lớn là Khánh Phủ, thứ đến Thúc Nha, rồi tới Quý Hữu.
哀姜无子。	Ai Khương không có con.
庄公无適嗣，爱孟女，欲立其子斑。	Trang công không có con đích nối dõi, yêu thương Mạnh nữ, muốn lập con nàng là Ban.
庄公病， 而问嗣於弟叔牙。	Trang công ốm, mới hỏi em trai Thúc Nha về người nối ngôi.
叔牙曰：“一继一及，鲁之常也。 庆父在，可为嗣，君何忧？”	Thúc Nha nói: “Cha chết con nối, anh chết đến em, là lệ thường ở nước Lỗ vậy. Khánh Phủ còn đây, có thể nối ngôi, người còn lo gì?”
季友曰：“请以死立斑也。”	Quý Hữu nói: “Xin liều chết để lập Ban lên thay.”
庄公曰：“曩 者叔牙欲立庆父，柰何？”	Trang công nói: “Mới rồi Thúc Nha muốn lập Khánh Phủ, phải làm thế nào?”
