太史公曰：法令所以导民也，刑罚所以禁奸也。	Thái sử công bàn rằng: Pháp lệnh là để dẫn dắt người dân, hình phạt dùng để ngăn cấm gian tà.
相曰：“以嗜鱼，故不受也。今为相，能自给鱼；今受鱼而 免，谁复给我鱼者？吾故不受也。”	Tướng quốc đáp: “Vì thích ăn cá, cho nên không nhận. Nay ta làm Tể tướng, có thể tự có cá ăn; nay nhận cá rồi bị bãi chức, còn ai mang cá đến cho ta nữa? Vì thế ta không nhận vậy.”
见其家织布好，而疾出其家妇，燔 其机，云“欲令农士工女安所雠其货乎”？	Thấy trong nhà mình dệt được vải tốt, liền vội đuổi những phụ nữ dệt vải đi, đốt khung cửi, nói: “Muốn bảo nông phu thợ dệt đến đâu để bán hàng hóa của mình đây?”
石奢者，楚昭王相也。	Thạch Xa Thạch Xa làm Tướng quốc cho Sở Chiêu vương.
行县，道有杀人 者，相追之，乃其父也。	Đi tuần các huyện, trên đường có kẻ giết người, Tướng quốc đuổi theo, hóa ra là cha mình.
纵其父而还自系焉。	Thả cha mình đi rồi trở về tự trói nhận tội.
使人言之王曰：“杀人 者，臣之父也。夫以父立政，不孝也；废法纵罪，非忠也；臣罪当 死。”	Sai người nói với Sở Chiêu vương rằng: “Kẻ giết người là cha thần. Xét, trị tội cha để giữ kỷ cương là bất hiếu; bỏ pháp độ, thả người có tội thì không phải là trung; tội của thần đáng chết.”
王曰：“追而不及，不当伏罪，子其治事矣。”	Sở vương nói: “Đuổi theo không kịp, không phải trị tội, ngài hãy đi xử lý công việc.”
石奢曰：“不 私其父，非孝子也；不奉主法，非忠臣也。王赦其罪，上惠也；伏诛 而死，臣职也。”	Thạch Xa nói: “Không thiên vị cha mình thì không phải con hiếu, không tuân theo pháp độ của chúa thì không phải tôi trung. Đại vương xá tội cho thần, đó là ơn trên; chịu theo pháp độ mà chết, là chức phận của thần.”
遂不受令，自刎而死。	Rồi không nhận lệnh xá miễn, tự cắt cổ chết.
李离者，晋文公之理也。	Lý Ly Lý Ly là ngục quan của Tấn Văn công.
文公曰：“官有贵贱，罚有轻重。下吏有过，非子之罪也。”	Văn công nói: “Quan có sang hèn, tội có nhẹ nặng. Quan lại ở dưới có lỗi, không phải tội của khanh.”
李 离曰：“臣居官为长，不与吏让位；受禄为多，不与下分利。今过听 杀人，傅其罪下吏，非所闻也。”	Lý Ly nói: “Thần là trưởng quan, không nhường chức cho họ lại; nhận lộc nhiều mà không chia lợi cho thuộc hạ. Nay nghe và tin lời xằng mà giết nhầm người, lại đổ tội cho hạ lại, đó không phải điều thần từng nghe.”
辞不受令。	Tạ từ không nhận lệnh xá miễn.
文公曰：“子则自以为 有罪，寡人亦有罪邪？”	Văn công nói: “Ông tự cho mình có tội, thế thì quả nhân cũng có tội ư?”
李离曰：“理有法，失刑则刑，失死则死。 公以臣能听微决疑， 故使为理。今 过听杀人，罪当死。”	Lý Ly đáp: “Việc hình ngục có pháp chế, thi hành hình phạt không đúng thì phải chịu hình phạt, xử tử không đúng thì phải chịu chết. Người cho thần có thể nghe được những điều ẩn giấu, phán quyết được những chỗ còn hồ nghi, cho nên sai làm ngực quan. Nay thần nghe lầm mà giết người, tội đáng chết.”
遂不受令，伏剑而死。	Bèn không nhận lệnh xá miễn, dùng kiếm tự sát mà chết.
太史公曰：孙叔敖出一言，郢市复。	Thái sử công bàn rằng: Tôn Thúc Ngao nói ra một lời, chợ Dĩnh Đô trở lại như cũ.
子产病死，郑民号哭。	Tử Sản bị ốm chết, dân nước Trịnh gào khóc.
李离过杀而伏剑，晋 文以正国法。 奉职循理，为政之先。 恤人体国，良史述焉。 叔孙、郑 产，自昔称贤。	Lý Ly giết nhầm người mà tuốt kiếm tự sát, Tấn Văn công nhờ đó chấn chỉnh lại quốc pháp.
为相一年，竖子不戏狎，斑白不提挈，僮子不犁畔。	Tử Sản làm Tướng quốc được một năm, đám đầy tớ nhỏ tuổi không dám cợt nhả, người đầu bạc không phải mang vác, trẻ nhỏ không phải cày bừa.
三年，门不夜 关，道不拾遗。	Được ba năm, cổng đêm không khóa, trên đường không nhặt của rơi.
坚直廉正，无所阿避。	Xa vốn kiên định, thẳng thắn, liêm chính, không a dua, kiêng tránh.
过听杀人，自拘当 死。	Vì nghe và tin lời xằng mà giết nhầm người vô tội, tự khép mình vào tội chết.
公仪 子见好布而家妇逐。	Công Nghi tử thấy vải tốt mà đuổi những phụ nữ dệt vải trong nhà.
石奢纵父而死，楚昭名立。	Thạch Xa thả cha mà chết, uy danh Sở Chiêu vương được xác lập.
