匈奴，其先祖夏后氏之苗裔也，曰淳维。	Hung Nô, tiên tổ là con cháu của họ Hạ Hậu, gọi là Thuần Duy.
其後既与韩魏共灭智伯，分晋地而有之，则赵有代、句 注之北，魏有河西、上郡，以与戎界边。	Sau đó, cùng Hàn, Ngụy diệt Trí bá, chia nước Tấn, mỗi nước lấy một phần, Triệu có đất Đại, Câu Chú về phía bắc; Ngụy có Hà Tây, Thượng Quận, cho đến tận biên giới với người Nhung.
其後义渠之戎筑城郭以自 守，而秦稍蚕食，至於惠王，遂拔义渠二十五城。	Sau đó, người Nhung Nghĩa Cừ xây thành quách tự chống giữ, còn Tần lấn dần như tằm ăn lá dâu, đến Huệ vương, bèn hạ được hai mươi lăm thành của Nghĩa Cừ.
秦昭王时，义渠戎王与宣太后 乱，有二子。	Thời Tần Chiêu vương, vua của người Nhung Nghĩa Cừ dâm loạn với Tuyên thái hậu, sinh được hai con trai.
於是秦有陇西、北地、上郡，筑长城以拒胡。	Thế rồi Tần chiếm được Lũng Tây, Bắc Địa, Thượng Quận, xây trường thành để chống người Hồ.
而赵 武灵王亦变俗胡服，习骑射，北破林胡、楼烦。	Rồi Vũ Linh vương nước Triệu cũng đổi phong tục, mặc trang phục người Hồ, học cưỡi ngựa bắn cung, tiến lên phía bắc đánh tan Lâm Hồ, Lâu Phiền.
筑长城， 自代并 阴山 下，至高阙 为塞。	Đắp trường thành, từ đất Đại chiếm vùng phía dưới Âm Sơn, đến Cao Khuyết, lấy đó làm biên tái.
其後赵将李牧时，匈奴不敢入赵边。	Sau đó, thời tướng nước Triệu là Lý Mục, Hung Nô không dám vào biên giới Triệu.
因河为塞， 筑四十四县城临河，徙適戍以 充之。	Lấy sông Hoàng Hà làm biên giới, xây bốn mươi bốn huyện thành nhìn ra sông Hà, dời lính bị tội đày đến đó.
匈奴单于 曰头曼， 头曼不胜秦，北徙。	Thiền vu của Hung Nô là Đầu Man. Đầu Man không địch nổi Tần, rời lên phía bắc.
头曼以为 壮，令将万骑。	Đầu Man cho là dũng mãnh, sai thống lĩnh vạn quân kỵ.
冒顿乃作为鸣镝， 习勒其骑射，令曰：“鸣镝所射而不悉射者，斩之。”	Mặc Đốn liền làm mũi tên bịt sắt, khi bắn phát ra tiếng kêu, huấn luyện quân kỵ hạ lệnh rằng: “Ai không bắn hết những mũi tên phát ra tiếng kêu thì chém.”
行 猎鸟兽，有不射鸣镝所射者，辄斩之。	Đi săn chim thú, kẻ nào không bắn mũi tên phát ra tiếng kêu, chém ngay kẻ đó.
已而冒顿以鸣镝自射其善马， 左右或不敢射者，冒顿立斩不射善马者。	Thế rồi Mặc Đốn dùng mũi tên bịt sắt đó bắn vào ngựa tốt của mình, hầu cận có kẻ không dám bắn, Mặc Đốn lập tức chém kẻ không dám bắn.
居顷之，冒顿出猎，以鸣 镝射单于善马，左右皆射之。	Thời gian sau, Mặc Đốn đi săn, dùng loại tên đó bắn vào ngựa tốt của Thiền vu, tả hữu đều nhắm bắn.
冒顿自立为单于。	Mặc Đốn tự lập làm Thiền vu.
与匈奴间，中有 弃地，莫居，千馀里，各居其边为瓯脱。	Giữa Đông Hồ và Hung Nô có vùng đất hoang, không người ở, rộng hơn nghìn dặm, mỗi nước đều dựng đồn lính ở bên biên giới của mình.
诸言予之者，皆斩之。	Những ai nói cho Đông Hồ đều bị chém.
自如左右贤王以下至当户，大者万骑，小者数千， 凡二十四长，立号曰“万骑”。	Từ Tả, Hữu hiền vương xuống đến Đương hộ, lớn thì có vạn quân kỵ, nhỏ thì có mấy nghìn, phàm hai mươi bốn thủ lĩnh, gọi là “Vạn kỵ”.
呼衍氏，兰氏， 其後有须卜 氏， 此三姓其贵种也。	Họ Hu Diễn, họ Lan, sau đó họ Tu Bốc, đó là ba họ hiển quý nhất.
诸左方王将居东方，直 上谷 以往者，东接秽貉、朝鲜； 右方王将居西方，直上郡 以西，接月氏、氐、羌； 而单于之庭直代、云中： 各有分地，逐水草移徙。	Các vương tướng thuộc mé tả thì ở phía đông, đối diện Thượng Cốc trở đi, phía đông tiếp giáp Uế Lạc, Triều Tiên; các vương tướng thuộc mé hữu thì ở phía tây, đối diện Thượng Quận sang phía tây, tiếp giáp Nguyệt Chi, Để, Khương; còn triều định của Thiền vu đối diện đất Đại và Vân Trung; chia nhau các vùng đất, theo chỗ có nước và cỏ để dịch chuyển.
诸二十四长亦各自置千长、百长、什长、 裨小王、相、封 都尉、当户、且渠之属。	Hai mươi tư thủ lĩnh, mỗi người đều lập các thuộc quan gồm: Thiên trưởng, Bách trưởng, Thập trưởng, Tỳ tiểu vương, Tướng Phong, Đô úy, Đương hộ, Thư cừ.
五月，大会茏城， 祭其先、天地、鬼神。	Tháng Năm, tụ hội quy mô lớn ở Long Thành để tế tổ tiên, trời đất, quỷ thần.
秋，马 肥，大会蹛林， 课校人畜计。	Mùa thu, ngựa béo, hội họp quy mô lớn ở Đài Lâm để tính toán nhân khẩu và súc vật.
其法，拔刃尺者死，坐盗者没入其 家；有罪小者轧， 大者死。	Theo luật pháp Hung Nô, rút dao chém người khác bị thương dài một thước, bị xử tội chết, phạm tội trộm cắp sẽ tịch thu gia sản; ai có tội nhỏ, kẹp gãy mắt cá chân; ai phạm tội lớn, xử chết.
其坐，长左而北乡。	Về cách ngồi, thủ lĩnh ngồi bên trái nhìn về hướng bắc.
举事而候星月，月盛壮则攻战，月亏则退兵。	Việc quân thì xem sao và trăng, trăng tròn thì tấn công, trăng khuyết thì lui quân.
其攻战，斩首 虏赐一卮酒，而所得卤获因以予之，得人以为奴婢。	Khi giao chiến, chém được đầu địch, thưởng một chén rượu, cướp được vật gì, liền ban vật đó, cướp được người thì được cho làm nô tỳ.
故其战，人人自 为趣利，善为诱兵以冒敌。	Cho nên khi họ giao chiến, ai nấy đều tự xông lên kiếm lợi, giỏi dụ địch để bao vây.
故其见敌则逐利，如鸟之集；其困败，则 瓦解云散矣。	Vì thế họ thấy địch thì xông lên trục lợi, tụ lại như chim; khi nguy khốn thất bại thì như ngói vỡ mây tan.
战而扶舆死者，尽得死者家财。	Khi đánh địch ai đưa được người chết trận về, sẽ được hết gia sản của người chết.
於是匈奴贵人大臣皆服，以 冒顿单于为贤。	Thế rồi các quý nhân, đại thần ở Hung Nô đều thần phục, cho Thiền vụ Mặc Đốn là hiền năng.
匈奴大攻围马邑，韩 王信降匈奴。	Hung Nô đem đại quân tấn công bao vây Mã Ấp, Hàn vương Tín đầu hàng Hung Nô.
匈奴得信，因引兵南逾句注，攻太原，至晋阳下。	Hung Nô hàng phục được Tín, nhân đó dẫn quân xuống nam, vượt qua Câu Chú, đánh vào Thái Nguyên, tiến đến chân thành Tấn Dương.
汉兵逐击冒顿，冒顿匿其精兵，见其羸弱，於是汉悉 兵，多步兵，三十二万，北逐之。	Quân Hán đuổi đánh Mặc Đốn, Mặc Đốn giấu hết quân tinh nhuệ, chỉ cho quân Hán thấy quân gầy yếu, thế là Hán đem hết quân, phần nhiều bộ binh, ba mươi hai vạn, đuổi lên phía bắc.
匈奴骑，其西方尽白马，东方尽青駹马， 北方尽乌骊马， 南方尽骍马。	Kỵ binh Hung Nô mạn tây đều là ngựa trắng, mạn đồng đều là ngựa xanh, mạn bắc đều là ngựa đen, mạn nam đều là ngựa đỏ.
冒顿与韩王信之将王黄、赵利 期，而黄、利兵又不来，疑其与汉有谋，亦取阏氏之言，乃解围之一 角。	Mặc Đốn cùng tướng của Hàn vương Tín là Vương Hoàng, Triệu Lợi hẹn nhau, nhưng Hoàng, Lợi lại không đem quân tới, Thiền vu ngờ họ có âm mưu với quân Hán, liền nghe lời Yên chi, giải vây một góc.
汉亦引兵而罢，使刘敬结和亲之约。	Nhà Hán cũng lệnh cho quân ngưng chiến, sai Lưu Kính kết minh ước giảng hòa kết thân với Hung Nô.
是後韩王信为匈奴将，及赵利、王黄等数倍约，侵盗代、云中。	Về sau, Hàn vương Tín làm tướng cho Hung Nô, còn bọn Triệu Lợi và Vương Hoàng nhiều lần bội ước, xâm lấn cướp bóc đất Đại, Vân Trung.
汉许之。	Nhà Hán đồng ý kết thân.
後顷之，冒顿死，子稽粥立，号曰老上单 于。	Không lâu sau, Mặc Đốn chết, con là Kê Chúc lên thay, hiệu là Lão Thượng thiền vu.
初，匈奴好汉缯絮食物，中行说曰：“匈奴人众不能当汉之一 郡，然所以彊者，以衣食异，无仰於汉也。今单于变俗好汉物，汉物 不过什二，则匈奴尽归於汉矣。 其得汉缯絮，以驰草棘中，衣袴皆裂敝，以示不 如旃裘之完善也。得汉食物皆去之，以示不如湩酪 之便美也。”	Ban đầu, Hung Nô thích tơ lụa, đồ ăn của nhà Hán, Trung Hàng Duyệt nói: “Người Hung Nô không bằng một quận của nhà Hán, nhưng sở dĩ hùng mạnh là do ăn mặc khác, không nhờ cậy gì nhà Hán. Nay Thiền vu đổi tục, thích đồ của Hán, mà đồ của nhà Hán chiếm không quá hai phần mười thì Hung Nô tất thảy đã quy phục nhà Hán. Các thứ tơ lụa, vải vóc được nhà Hán tặng, đem mặc rồi chạy qua chỗ có gai, khiến áo quần đều hỏng rách, để cho thấy các thứ ấy không tốt bằng đồ chiên cừu của Hung Nô. Đồ ăn được nhà Hán tặng hãy vứt bỏ hết, để tỏ rằng các thứ ấy không tốt bằng sữa của Hung Nô.”
汉使或言曰：“匈奴俗贱老。”	Sứ giả nhà Hán có người nói: “Phong tục Hung Nô coi rẻ người già.”
汉使 曰：“然。”	Sứ nhà Hán đáp: “Phải.”
中行说曰：“匈奴明以战攻为事，其老弱不能斗，故以 其肥美饮食壮健者，盖以自为守卫，如此父子各得久相保，何以言匈 奴轻老也？”	Trung Hàng Duyệt nói: “Hung Nô thực sự coi chinh chiến là việc quan trọng, những người già yếu không thể chiến đấu, cho nên đem thức ăn béo tốt cho người tráng kiện, đại để nhằm tự bảo vệ, làm như thế thì cha con ai nấy đều bảo vệ nhau được lâu dài, sao lại nói Hung Nô coi rẻ người già?”
汉使曰：“匈奴父子乃同穹庐而卧。 父死，妻其後母；兄弟死，尽取其妻妻之。无冠 带之饰，阙庭之礼。”	Sứ nhà Hán đáp: “Người Hung Nô cha con nằm chung một lều. Cha chết, con lấy những người mẹ kế của cha; anh em chết thì lấy hết những người vợ của họ. Không mũ không đai, thiếu lễ nghi triều đình.”
中行说曰：“匈奴之俗，人食畜肉，饮其汁， 衣其皮；畜食草饮水，随时转移。故其急则人习骑射，宽则人乐无 事，其约束轻，易行也。君臣简易，一国之政犹一身也。父子兄弟 死，取其妻妻之，恶种姓之失也。故匈奴虽乱，必立宗种。今中国虽 详不取其父兄之妻，亲属益疏则相杀， 至乃易姓，皆从此类。且礼义之敝，上下交怨望，而室屋之极，生力 必屈。 夫力耕桑以求衣食，筑城郭以自备，故其民急则不习战功，缓 则罢於作业。嗟土室之人，顾无多辞，令喋喋而 佔々，冠固何当？”	Trung Hàng Duyệt nói: “Phong tục của Hung Nô, người ăn thịt súc vật, uống sữa của chúng, mặc da của chúng; súc vật ăn cỏ, uống nước, theo thời di chuyển. Cho nên gặp lúc nguy cấp, ai nấy đều quen cưỡi ngựa bắn cung, gặp khi thảnh thơi, ai nấy đều vui vẻ vô sự, ít bị bó buộc, rất dễ thi hành. Vua tôi giản dị, chính sự cả nước cũng như đối với một người vậy. Cha con, anh em chết thì lấy vợ của họ, đó là sợ mất người nối dõi tộc mình. Cho nên Hung Nô dẫu loạn, cũng nhất định lập người trong tộc mình. Nay Trung nguyên tỏ vẻ không lấy vợ của cha anh, thân thuộc càng xa càng giết hại nhau, đến nỗi phải đổi họ, đều là từ đấy mà ra. Vả lại cái tệ hại của lễ nghĩa, khiến trên dưới oán hận nhau, rồi nhà của hoa lệ khiến sức vóc mấy cũng mệt mỏi. Phàm ra sức vào việc nông tang để kiếm cái ăn mặc, xây đắp thành quách để tự phòng bị, cho nên khi gặp nguy cấp, dân không quen chinh chiến, lúc thư nhàn, dân bỏ bê công việc. Ôi, người ở nhà đắp đất vốn không nên nhiều lời, giả như họ cứ lem lém rồi lại xì xèo thì người đội mũ chống làm sao được?”
汉患之，乃使使遗匈奴书。	Nhà Hán lo lắng, bèn sai sứ đưa thư cho Hung Nô.
後四岁，老上稽粥单于死，子军臣立为单于。	Bốn năm sau, Lão Thượng Kê Chúc thiền vu chết, con là Quân Thần lên làm Thiền vu.
数月，汉兵至边， 匈奴亦去远塞，汉兵亦罢。	Mấy tháng sau, quân Hán đến biên giới, Hung Nô cũng rút xa khỏi biên tái, quân Hán bãi binh.
汉围破赵，匈奴亦止。	Hán bao vây phá được Triệu, Hung Nô cũng bỏ ý định.
匈奴自单于以 下皆亲汉，往来长城下。	Hung Nô từ Thiền vu trở xuống ai nấy đều thân Hán, qua lại dưới chân Trường thành.
单于既入汉塞， 未至马邑百馀里，见畜布野而无人牧者，怪之，乃攻亭。	Thiền vu vào biên ải nhà Hán, cách Mã Ấp trên trăm dặm, thấy súc vật đầy đồng mà không có người chăn, lấy làm lạ, liền tấn công nơi tuần phòng.
乃引兵还。	Liền dẫn quân về.
出曰：“吾得尉史，天也，天使若言。”	Ra khỏi biên ải, nói: “Ta bắt được Uý sử, nhờ trời, trời khiến y nói ra.”
以尉史 为“天王”。	Coi Uý sử là “Thiên vương”.
汉兵约单于入马邑而纵，单于不至，以故汉兵无所得。	Quân Hán ước định khi Thiền vu vào Mã Ấp sẽ xông ra đánh, Thiền vu không đến, vì thế quân Hán không thu hoạch được gì.
汉以恢本造 兵谋而不进，斩恢。	Nhà Hán cho Khôi vốn vạch kế cho quân mà không tiến đánh, liền chém Khôi.
其後冬，匈奴军臣单于死。	Mùa đông năm sau, Thiền vu Quân Thần của Hung Nô chết.
其秋，匈奴又入雁门，杀略千馀人。	Mùa thu năm ấy, Hung Nô lại vào Nhạn Môn, bắt giết hơn nghìn người.
单于既得翕侯，以为自次王， 用其姊妻之，与谋汉。	Thiền vu thu hàng được Hấp hầu, cho làm Tự thứ vương, đem chị gái gả cho Tín, cùng mưu đánh Hán.
过居延，攻祁连山， 得胡首虏三万馀人，裨小王以下七十馀人。	Qua Cư Diên, tấn công vào núi Kỳ Liên, bắt giết được hơn ba vạn người Hồ, cùng hơn bảy mươi viên từ Tỳ tiểu vương trở xuống.
凡四万馀人，号 十万。	Tổng cộng có hơn bốn vạn, nhưng phao lên là chục vạn.
其明年，匈奴入右北平、定襄各数万骑，杀略千馀人而去。	Năm sau, Hung Nô kéo vào Hữu Bắc Bình và Định Tường, mỗi nơi mấy vạn quân kỵ bắt giết hơn nghìn người rồi rút.
其明年春，汉谋曰“翕侯信为单于计，居幕北，以为汉兵不能 至”。	Mùa xuân năm sau, nhà Hán bàn mưu rằng: “Hấp hầu Tín vạch kế cho Thiền vu, đến ở phía bắc sa mạc, cho là quân Hán không thể kéo đến.”
单于之遁走，其兵往往与汉兵相乱而随单于。	Thiền vu chạy trốn, quân binh thường hỗn chiến với quân Hán, rồi chạy theo Thiền vu.
单于久不与其大众 相得，其右谷蠡王以为单于死，乃自立为单于。	Lâu sau Thiền vu vẫn không gặp đại quân của mình, còn Hữu lộc lãi vương cho là Thiền vu đã chết, liền tự lập làm Thiền vu.
是後匈奴远遁，而幕南无王庭。	Từ đấy về sau, Hung Nô trốn đến đất xa, còn phía nam sa mạc không có triều đình Hung Nô nữa.
匈奴虽病，远去，而汉亦马少，无以复往。	Hung Nô tuy mỏi mệt, rút xa, nhưng ngựa nhà Hán cũng ít, không tiến đánh được.
先是汉亦有 所降匈奴使者，单于亦辄留汉使相当。	Trước đây nhà Hán cũng từng chiêu hàng sứ giả Hung Nô, Thiền vu cũng giữ sứ Hán để đối chọi.
其後汉方南诛两越， 不击匈奴，匈奴亦不侵入边。	Sau đó nhà Hán mới tiến về nam diệt hai nước Việt, không đánh Hung Nô, Hung Nô cũng không xâm phạm biên giới.
郭吉既至匈奴，匈奴主客 问所使，郭吉礼卑言好，曰：“吾见单于而口 言。”	Quách Cát đến Hung Nô, quan phụ trách tiếp khách của Hung Nô hỏi nguyên nhân đi sứ, Quách Cát hành lễ nhún nhường, nói lời tốt đẹp, rằng: “Gặp Thiền vu tôi sẽ nói.”
语卒而单于大怒，立斩主客见 者，而留郭吉不归，迁之北海上。	Nói xong, Thiền vu cả giận, liền chém ngay viên phụ trách tiếp khách, rồi giữ Quách Cát lại không cho về, đày đến phía trên Bắc Hải.
王乌，北地人，习胡俗，去其节，黥面，得入穹庐。	Vương Ô là người Bắc Địa, hiểu phong tục người Hồ, bỏ cờ tiết, bôi mực lên mặt, được vào trong trại.
又北益广田至胘雷为塞， 而匈奴终不敢以为言。	Về phía bắc, lại mở rộng ruộng đất đến Huyền Lôi, lấy đó làm biên giới, còn Hung Nô trước sau không dám nói gì.
是岁，翕侯信 死，汉用事者以匈奴为已弱，可臣从也。	Năm đó, Hấp hầu Tín chết, vua quan nhà Hán cho là Hung Nô đã suy yếu, có thể khiến họ thần phục.
匈奴俗，见汉使非中贵人，其儒先， 以为欲说，折其辩；其少年，以为欲刺，折其 气。	Phong tục Hung Nô, thấy sứ giả nhà Hán không phải bề tôi được sủng, trông như nho sinh thì cho là muốn đến du thuyết, liền bác lời sứ giả; thấy người nào tuổi trẻ, cho là muốn hành thích, phải đè bẹp nhuệ khí người đó.
匈奴曰：“非得汉贵人使，吾不与诚语。”	Hung Nô nói: “Không được bậc quý nhân nhà Hán đi sứ sang, tôi không sao tỏ được thành ý.”
匈奴使其 贵人至汉，病，汉予药，欲愈之，不幸而死。	Hung Nô sại bậc quý nhân của họ đến nhà Hán, bị bệnh, nhà Hán cấp thuốc, muốn chữa cho khỏi, không may lại chết.
於是匈奴数使奇兵侵犯边。	Thế rồi Hung Nô nhiều lần sai kỳ binh xâm phạm biên giới.
年少，号为兒单于。	Ô Sư Lư tuổi nhỏ, hiệu là Nhi thiền vu.
使者入匈奴，匈奴悉将致单于。	Sứ Hán sang Hung Nô, Hung Nô đưa tất cả đến chỗ Thiền vu.
汉使留匈奴者前 後十馀辈，而匈奴使来，汉亦辄留相当。	Sứ Hán bị giữ ở Hung Nô trước sau cả thảy hơn mười người, còn sứ giả Hung Nô đến, cũng bị nhà Hán giữ lại tương tự.
其冬，匈奴大雨雪，畜多饥寒死。	Mùa đông năm ấy, Hung Nô bị mưa tuyết lớn, súc vật đói lạnh chết rất nhiều.
兒单于年少，好杀伐， 国人多不安。	Nhi thiền vụ còn trẻ, thích đánh giết, người trong nước phần nhiều không được yên.
还，未至受降城四百里，匈奴兵八万骑围之。	Rút về, cách thành Thụ Hàng bốn trăm dặm, bị tám vạn quân kỵ Hung Nô bao vây.
匈奴兒单于大喜，遂遣奇兵攻受降城。 不能 下，乃寇入边而去。	Nhi thiền vu cả mừng, liền sai kỳ binh tấn công thành Thụ Hàng, nhưng không thể hạ được, bèn vào cướp bóc vùng biên giới rồi rút đi.
其明年，单于欲自攻受降城，未至，病死。	Năm sau, Thiền vu muốn đích thân đánh thành Thụ Hàng, chưa đến nơi thì ốm chết.
兒单于立三岁而死。	Nhi thiền vu lên ngôi được ba năm thì chết.
子年少，匈奴乃立其季父乌维单于弟右贤王 呴犁湖为单于。	Con còn nhỏ, Hung Nô bèn lập người chú út, em trai Thiền vu Ô Duy tức Hữu hiền vương Câu Lê Hồ làm Thiền vu.
匈奴欲遮之，不能至。	Hung Nô định đánh chặn hậu nhưng không kịp.
其冬，欲攻受降 城，会单于病死。	Mùa đông năm ấy, [Hung Nô] định tấn công thành Thụ Hàng, đúng lúc ấy Thiền vu ốm chết.
因杅敖与左贤王战，不利，引归。	Nhân vụ tướng quân Ngao giao chiến với Tả hiền vương, bất lợi, dẫn quân về.
是岁 汉 兵之出击匈奴者不得言功多少，功不得御。	Vào năm này, quân Hán đi đánh Hung Nô không được nói công lao nhiều hay ít, công lao không bù được tổn thất.
夏道衰，而公刘失其稷官， 变于西戎，邑于豳。	Đạo triều Hạ suy vi, Công Lưu mất chức quan coi nông nghiệp, bị biếm trích đến Tây Nhung, dựng ấp ở Bân.
於 是周遂作甫刑之辟。	Thế rồi nhà Chu bèn chế định phép “Phủ hình”.
穆王之後二百有馀年，周幽王用宠姬襃姒之故， 与申侯有卻。	Sau Mục vương hơn hai trăm năm, do Chu U vương sủng ái nàng Bao Tự, xảy ra hiềm khích với Thân hầu.
申侯怒 而与犬戎共攻杀周幽王于骊山之下， 遂取周之焦穫， 而居于泾渭之间，侵暴中国。	Thân hầu giận, cùng Khuyển Nhung đánh giết Chu U vương dưới chân núi Ly Sơn, bèn chiếm đất Tiêu Hoạch của nhà Chu, rồi cư trú ở khoảng sông Kinh sông Vị, xâm lấn Trung nguyên.
秦 襄公救周，於是周平王去酆鄗而东徙雒邑。	Tần Tương công cứu nhà Chu, thế rồi Chu Bình vương bỏ đất Phong Hạo rời sang Lạc Ấp phía đông.
当是之时，秦襄公伐戎至 岐，始列为诸侯。	Lúc đó, Tần Tương công chinh phạt người Nhung, tiến đến đất Kỳ, bắt đầu liệt vào hàng chư hầu.
初，周襄王欲伐郑，故娶戎狄女为后，与戎狄兵共伐郑。	Ban đầu, Chu Tương vương định đánh Trịnh, cho nên lấy người con gái người Nhung dịch làm vương hậu, cùng quân Nhung địch đánh Trịnh.
已而黜狄 后，狄后怨，而襄王後母曰惠后，有子子带，欲立之，於是惠后与狄 后、子带为内应，开戎狄，戎狄以故得入，破逐周襄王，而立子带为 天子。	Sau đó phế truất vương hậu người Địch, vương hậu oán, rồi mẹ kế của Tương vương là Huệ hậu sinh con là Tử Đái, muốn lập làm vua, Huệ hậu cùng vương hậu người Địch và Tử Đái làm nội ứng, mở cửa thành cho người Nhung địch, vì thế Nhung địch mới vào được thành, đánh đuổi Chu Tương vương, lập Tử Đái làm thiên tử.
於是戎狄或居于陆浑， 东至於卫，侵盗暴虐中 国。	Bấy giờ người Nhung địch có khi ở Lục Hồn, phía đông đến tận nước Vệ, tung hoành lấn cướp Trung nguyên.
中国疾之，故诗人歌之曰“戎狄是应”，“薄伐獫狁，至於大 原”，“出舆彭彭，城彼朔方”。	Người Trung nguyên căm ghét, cho nên thi nhân có lời hát rằng: “Phải đánh Nhung địch”, “Chinh phạt Hiểm Duẫn, kéo đến Đại Nguyên”, “Chiến xa ầm ầm, xây thành bắc phương”.
周襄王既居外四年，乃使使告急于晋。	Chu Tương vương ở ngoài được bốn năm, bèn sai sứ cấp báo với Tấn.
晋文公初立， 欲修霸业，乃兴师伐逐戎翟，诛子带，迎内周襄王，居于雒邑。	Tấn Văn công mới lên ngôi, muốn dựng nghiệp bá, bèn dấy quân đánh đuổi Nhung địch, giết Tử Đái, đón Chu Tương vương về nước, cho cư trú ở Lạc Ấp.
当是之时，秦晋为彊国。	Bấy giờ, Tần và Tấn đều hùng mạnh.
晋文公攘戎翟，居于河西■、洛之间， 号曰 赤翟、 白翟。	Tấn Văn Công thảo phạt Nhung địch, khiến họ cư trú ở khoảng sông Ngân sông Lạc của Hà Tây, gọi là Xích Địch, Bạch Địch.
