司马穰苴者， 田完之苗裔 也。	Tư Mã Nhương Tư là hậu duệ của Điền Hoàn.
士卒次舍井灶饮食问疾医药，身自拊循 之。	Quân sĩ dựng trại đào giếng, làm bếp ăn uống, thăm bệnh bốc thuốc, Tư đều đích thân sắp đặt.
悉取将军之资粮享士卒，身与士卒平分粮食。	Nhương Tư lấy lương bổng tướng quân của mình, chia đều cho sĩ tốt, nhất là với những binh sĩ gầy yếu.
最比 其羸弱者，三日而後勒兵。 病者皆求行，争奋出为之赴战。	Sau ba ngày chỉnh đốn quân ngũ, người ốm kẻ gầy cũng xin đi, phấn chấn tranh nhau ra đánh trận.
燕师闻之，度水而解。	Quân Yên nghe tiếng, vượt sông tháo vây.
於是追 击之，遂取所亡封内故境而引兵归。	Nhương Tư liền cho quân đuổi đánh, thu lại đất cũ bị mất ở biên cảnh rồi dẫn quân về.
未至国，释兵旅，解约束，誓盟 而後入邑。	Chưa đến kinh đô, cởi bỏ vũ trang, dẹp đi quân lệnh, cùng ăn thề rồi mới vào kinh.
景公与诸大夫郊迎，劳师成礼，然後反归寝。	Cảnh công cùng các đại phu ra tận ngoài thành nghênh đón, làm lễ ủy lạo quân sĩ xong, cùng trở về tẩm cung.
既见穰苴， 尊为大司马。	Sau đó, Nhương Tư được tôn làm Đại tư mã.
田氏日以益尊於齐。	Họ Điền ở nước Tề ngày một hiển quý.
已而大夫鲍氏、高、国之属害之，谮於景公。	Về sau, các đại phu họ Bào, Cao, Quốc muốn hại ông, mới gièm với Cảnh công.
景公退穰苴，苴发 疾而死。	Cảnh công bãi chức Nhương Tư, khiến ông phát bệnh mà chết.
其後及田常杀简公，尽灭高子、国子之族。	Về sau, Điền Thường giết Giản công, tận diệt họ Cao và họ Quốc.
至常曾孙和， 因自立为齐威王， 用兵行威，大放 穰苴之法，而诸侯朝齐。	Đến chắt của Thường là Hòa, tự lập làm vua, là Tề Uy vương, dùng binh lập vai, phần lớn đều theo cách của Nhương Tư, còn chư hầu phải quy phục nước Tề.
齐威王使大夫追论古者司马兵法而附穰苴於其中，因号曰司马穰 苴兵法。	Tề Uy vương sai đại phu kiếm tìm và chỉnh lý bộ Tư Mã binh pháp, rồi phụ chép binh pháp của Nhương Tư, nhân đó gọi là Tư Mã Nhương Tư binh pháp.
太史公曰：余读司马兵法，闳廓深远，虽三代征伐，未能竟其 义，如其文也，亦少襃矣。	Thái sử công bàn rằng: Ta đọc Tư Mã binh pháp, thấy thực rộng lớn sâu xa, tuy việc chinh phạt thời Tam đại cũng chưa đủ để mường tượng hết nghĩa lý, mà văn của nó khó thêm thắt được gì.
田乞、田豹之徒由此怨 高、国等。	Từ đấy Điền Khất, Điền Báo oán bọn Cao, Quốc.
