赵氏之先，与秦共祖。	Tổ tiên họ Triệu cùng gốc với nước Tần.
赵朔，晋景公之三年，朔为晋将下军救郑，与楚庄王战河上。	Tấn Cảnh công năm thứ ba, Triệu Sóc làm tướng nước Tấn, đem Hạ quân cứu viện nước Trịnh, cùng Sở Trang vương giao chiến phía trên Hoàng Hà.
朔 娶晋成公姊为夫人。	Sóc lấy chị của Tấn Thành công làm phu nhân.
晋景公之三年，大夫屠岸贾欲诛赵氏。	Tấn Cảnh công năm thứ ba, đại phu Đô Ngạn Giả định giết họ Triệu.
赵史援占之，曰：“此梦 甚恶，非君之身，乃君之子，然亦君之咎。至孙，赵将世益衰。”	Sử quan tên là Viện nước Triệu xem quẻ, nói: “Giấc mộng này thậm hung ác, không phải ở bản thân ngài, mà là ở con của ngài, nhưng cũng là lỗi của ngài. Đến đời cháu, họ Triệu sẽ ngày một suy vi.”
贾不请而擅与诸将攻赵氏於下宫，杀赵朔、赵同、赵括、 赵婴齐，皆灭其族。	Giả không thỉnh mệnh mà tự ý cùng các tướng tấn công họ Triệu ở Hạ Cung, giết Triệu Sóc, Triệu Đồng, Triệu Quát, Triệu Anh Tề, diệt cả gia tộc của họ.
赵朔妻成公姊，有遗腹，走公宫匿。	Vợ Triệu Sóc là chị của Thành công, đã có mang, chạy đến trốn ở cung của Cảnh công.
公孙杵臼曰：“赵氏先君遇子 厚，子彊为其难者，吾为其易者，请先死。”	Công Tôn Chủ Cữu nói: “Tiên quân họ Triệu đối đãi với ngài trọng hậu, ngài hãy gắng làm việc khó, tôi làm việc dễ, xin chết trước.”
乃二人谋取他人婴兒负 之，衣以文葆，匿山中。	Rồi hai người bàn tính lấy đứa trẻ con nhà khác cõng trên lưng, quấn bằng tã có hoa văn, giấu vào trong núi.
诸将以为赵氏孤 兒良已死，皆喜。	Các tướng cho rằng con côi họ Triệu thực sự đã chết, ai nấy đều mừng.
然赵氏真孤乃反在，程婴卒与俱匿山中。	Nhưng đứa con côi đích thực của họ Triệu trái lại vẫn còn, rốt cuộc Trình Anh cùng đứa trẻ đó ẩn cư trong núi.
居十五年，晋景公疾，卜之，大业之後不遂者为祟。	Được mười lăm năm, Tấn Cảnh công ốm, bói quẻ, [lời quẻ bói cho biết], hậu duệ của Đại Nghiệp không được thỏa ý nên tác quái.
景公问韩 厥，厥知赵孤在，乃曰：“大业之後在晋绝祀者，其赵氏乎？夫自中 衍者皆嬴姓也。中衍人面鸟噣，降佐殷帝大戊，及周天子，皆有明 德。下及幽厉无道，而叔带去周適晋，事先君文侯，至于成公，世有 立功，未尝绝祀。今吾君独灭赵宗，国人哀之，故见龟策。唯君图 之。”	Cảnh công hỏi Hàn Quyết, Quyết biết con côi họ Triệu vẫn còn, bèn nói: “Hậu duệ của Đại Nghiệp bị dứt tế tự ở nước Tấn, là họ Triệu chăng? Xét lẽ, từ Trọng Diễn đều là họ Doanh. Trọng Diễn mặt người mỏ chim, giáng sinh để phò tá Hoàng đế Đại Mẫu nhà Ân, đến thiên tử nhà Chu, đều có đức sáng. Xuống đến U vương, Lệ vương đều là các vua vô đạo, nên Thúc Đái bỏ Chu mà đến Tấn, phụng sự tiên quân Văn hầu, đến thời Thành công, đời đời đều lập được công tích, chưa từng dứt việc tế tự. Nay riêng vua ta diệt tông tộc họ Triệu, người trong nước thảy đều thương xót họ, cho nên hiện ra trên mai rùa và cỏ thi. Xin nhà vua hãy suy tính việc đó.”
於是景公乃与 韩厥谋立赵孤兒，召而匿之宫中。	Thế là Cảnh công bèn cùng Hàn Quyết mưu tính dựng lập con côi họ Triệu, triệu [con côi họ Triệu] đến rồi giấu trong cung.
赵孤名曰武。	Con côi họ Triệu tên là Vũ.
及赵武冠，为成人，程婴乃辞诸大夫，谓赵武曰：“昔下宫之 难，皆能死。我非不能死，我思立赵氏之後。今赵武既立，为成人， 复故位，我将下报赵宣孟与公孙杵臼。”	Tới khi Triệu Vũ đến tuổi đội mũ, là người trưởng thành, Trình Anh bèn từ biệt các đại phu, bảo Triệu Vũ rằng: “Xưa kia, trong họa nạn ở Hạ Cung, mọi người đều chết. Không phải ta không thể chết, vì ta phải lo việc dựng lập hậu duệ họ Triệu. Nay Triệu Vũ ngươi đã được lập, là người trưởng thành, được khôi phục tước vị cũ [của họ Triệu], ta sẽ xuống báo với Triệu Tuyên Mạnh và Công Tôn Chử Cữu.”
遂 自杀。	Liền tự sát.
赵武服齐衰三年，为之祭邑，春秋祠之，世世勿绝。	Triệu Vũ chịu tang tư thôi ba năm, lập ấp tế tự cho Trình Anh, xuân thu tế tự, đời đời không dứt.
赵氏复位十一年，而晋厉公杀其大夫三郤。	Họ Triệu được khôi phục tước vị mười một năm thì Tấn Lệ Công giết ba đại phu họ Khích.
栾书畏及，乃遂弑其 君厉公，更立襄公曾孙周， 是为悼公。	Loan Thư sợ họa đến mình, bèn giết vua nước mình là Lệ công, đổi lập chắt của Tương công là Chu, đó là Điệu công.
赵武续赵宗二十七年，晋平公立。	Triệu Vũ kế tục tông tộc họ Triệu được hai mươi bảy năm, Tấn Bình công lên ngôi.
平公十二年，而赵武为正卿。	Bình Công năm thứ mười hai, Triệu Vũ làm Chính khanh.
十三年，吴延陵季子使於晋，曰：“晋国之政卒归於赵武子、韩宣 子、魏献子之後矣。”	Năm thứ mười ba, Diên Lăng Quý tử nước Ngô đi sứ sang Tấn, nói: “Chính sự nước Tấn rốt cuộc sẽ rơi vào tay hậu duệ của Triệu Vũ tử, Hàn Tuyên tử và Ngụy Hiến tử.”
赵武死，谥为文子。	Triệu Vũ chết, thụy là Văn tử.
文子生景叔。	Văn tử sinh Cảnh Thúc.
景叔之时，齐景公使晏 婴於晋，晏婴与晋叔向语。	Thời Cảnh Thúc, Tề Cảnh công sai Yến Anh đi sứ sang nước Tấn, Yến Anh trao đổi với Thúc Hướng nước Tấn.
婴 曰：“齐之政後卒归田氏。”	Anh nói: “Chính sự nước Tề sau rốt sẽ về tay họ Điền.”
赵景叔卒，生赵鞅，是为简子。	Triệu Cảnh Thúc chết, [Cảnh Thúc] sinh Triệu Ưởng, đó là Giản tử.
赵简子在位，晋顷公之九年，简子将合诸侯戍于周。	Triệu Giản tử tại vị, Tấn Khoảnh công năm thứ chín, Giản tử định hội họp chư hầu đóng quân ở đất nhà Chu.
其明年，入 周敬王于周，辟弟子朝之故也。	Năm sau, đưa Chu Kính vương về Chu, do [Chu vương] phải tránh em mình là Tử Triều vậy.
晋顷公之十二年，六卿以法诛公族祁氏、羊舌氏，分其邑为十 县，六卿各令其族为之大夫。	Tấn Khoảnh công năm thứ mười hai, Lục khanh dùng pháp luật để giết người trong tông tộc của Khoảnh công là họ Kỳ và họ Dương Thiệt, chia ấp phong của họ làm mười huyện, Lục khanh mỗi người tự cho người trong tông tộc mình làm đại phu ở các huyện đó.
晋公室由此益弱。	Tông thất nước Tấn từ đó ngày càng suy yếu.
赵简子疾，五日不知人，大夫皆惧。	Triệu Giản tử ốm, năm ngày không nhận ra ai, đại phu đều lo sợ.
扁鹊曰：“血脉治也，而何 怪！在昔秦缪公尝如此，七日而寤。寤之日，告公孙支与子舆 曰：‘我之帝所甚乐。吾所以久者，適有 学也。帝告我：“晋国将大乱，五世不安；其後将霸，未老而死；霸 者之子且令而国男女无别。” ’公孙支书而藏之，秦谶於是出矣。 献 公之乱，文公之霸，而襄公败秦师於殽而归纵淫，此子之所闻。 今主 君之疾与之同，不出三日疾必间，间必有言也。”	Thầy thuốc Biển Thước xem bệnh, bước ra, Đổng An Vu hỏi, Biển Thước đáp: “Huyết mạch bình thường, không có gì lạ! Trước đây Tần Mục công từng bị như vậy, bảy ngày thì tỉnh. Hôm tỉnh lại, có nói với Công Tôn Chi và Tử Dư rằng: 'Ta đến chỗ thượng đế, rất vui. Ta sở dĩ ở lại lâu như vậy, là để học hỏi vậy. Thượng đế bảo ta: 'Nước Tấn sẽ có đại loạn, năm đời không yên; con cháu sau sẽ xưng bá, chưa già đã chết; con của người xưng bá sẽ khiến con trai con gái trong nước ngươi không còn có sự phân biệt nữa.’ Công Tôn Chi viết lại đem cất đi, lời sấm của Tần từ đó truyền ra ngoài. Thời Hiến công sinh loạn, Văn công xưng bá, rồi Tương công đánh bại quân Tần ở Hào Sơn, trở về lại buông tuồng dâm đãng, đó là những điều các ông biết cả rồi. Nay bệnh của nhà vua cũng tương tự Tần Mục công, không quá ba ngày nữa bệnh nhất định chuyển biến tốt, chuyển biến tốt rồi nhất định có điều muốn nói.”
他日，简子出，有人当道，辟之不去，从者怒，将刃之。	Ngày khác, Giản tử ra ngoài, có người chặn đường, đuổi cũng không tránh, tùy tòng giận, định đâm người đó.
简子召之，曰：“譆，吾有所 见子晣也。”	Giản tử triệu đến, nói: “Ôi, ta từng gặp Tử Triết rồi.”
简子曰：“然，有之。子之见我，我 何为？”	Giản tử nói: “Đúng, có việc đó. Lúc người trông thấy ta, ta đang làm gì?”
当道者曰：“主君之子 将克二国於翟，皆子姓也。”	Người chặn đường đáp: “Con của nhà vua sẽ hạ hai nước đất Địch, đều thuộc hàng tử tính vậy.”
简子问其姓而延之以官。	Giản tử hỏi họ người đó rồi mời về cho làm quan.
当道者曰：“臣野人，致帝命 耳。”	Người chặn đường nói: “Tôi là người nơi thôn dã, chỉ truyền đạt mệnh lệnh của thượng đế thôi.”
遂不见。	Rồi không thấy đâu nữa.
异日，姑布子卿见简子， 简子遍召诸子相之。	Ngày khác, Cô Bố Tử Khanh bái kiến Giản tử, Giản tử gọi hết các con đến cho Tử Khanh xem mặt.
子卿曰：“无为将军者。”	Tử Khanh nói: “Không ai có thể làm tướng quân.”
简子曰：“赵氏其灭 乎？”	Giản tử hỏi: “Họ Triệu sẽ bị diệt chăng?”
子卿曰：“吾尝见一子於路，殆君之子也。”	Tử Khanh đáp: “Thần từng thấy một người trên đường, hình như là con của nhà vua.”
自是之後，简子 尽召诸子与语，毋恤最贤。	Từ đó về sau, Giản tử triệu hết các con đến nói chuyện, [thì thấy] Vô Tuất là hiền năng nhất.
诸子驰之常山上，求，无所得。	Các con ruổi ngựa lên núi Thường Sơn, tìm kiếm, nhưng không thấy.
简子曰：“奏之。”	Giản tử nói: “Hãy trình lên.”
简子於是知毋恤果贤，乃废太子伯 鲁，而以毋恤为太子。	Nhờ đó Giản tử biết Vô Tuất quả là người hiền năng, bèn phế Thái tử Bá Lỗ, rồi lập Vô Tuất làm Thái tử.
後二年，晋定公之十四年，范、中行作乱。	Hai năm sau, Tấn Định công năm thứ mười bốn, họ Phạm và họ Trung Hàng làm loạn.
赵鞅捕午，囚之晋阳。	Triệu Ưởng bắt Ngọ, giam ở Tấn Dương.
遂杀午。	Rồi giết Ngọ.
赵稷、涉宾以邯郸反。	Triệu Tắc, Thiệp Tân dựa vào Hàm Đan làm phản.
荀寅、范吉射索隐范氏，晋大夫隰叔之子，士蔿 之後。 蔿生成伯缺，缺生武子会，会生文叔燮，燮生宣叔匄，匄生献 子鞅，鞅生吉射。 与午善， 不肯助秦而谋作乱，董安于知之。	Tuân Dần, Phạm Cát Xạ cùng Ngọ vốn thân thiết, không chịu giúp Tần mà mưu làm loạn, Đổng An Vu biết việc đó.
十月，范、中行氏 伐赵鞅， 鞅奔晋阳，晋人围之。	Tháng Mười, họ Phạm và họ Trung Hàng tấn công Triệu Ưởng, Ưởng chạy ra Tấn Dương, người Tấn bao vây Tấn Dương.
十一月，荀栎、韩不佞、魏哆 奉公命以伐范、中行氏，不克。	Tháng Mười một, Tuân Lịch, Hàn Bất Ninh, Ngụy Sĩ vâng lệnh Tấn Định công đánh họ Phạm và họ Trung Hàng, không hạ được.
范、中行氏反伐 公，公击之，范、中行败走。	Họ Phạm và họ Trung Hàng đánh lại Tấn Định công, Tấn Định công đánh họ, họ Phạm và họ Trung Hàng thua chạy.
韩、魏以赵氏为请。	Họ Hàn và họ Ngụy lấy [cớ] họ Triệu [bị họ Phạm và họ Trung Hàng đánh] để thỉnh cầu Tấn Định công.
十 二月辛未，赵鞅入绛，盟于公宫。	Ngày Tân Mùi tháng Mười hai, Triệu Ưởng về thành Giáng, ăn thề ở cung của Định công.
其明年，知伯文子谓赵鞅 曰：“范、中行虽信为乱，安于发之，是安于与谋也。晋国有法，始 乱者死。夫二子已伏罪而安于独在。”	Sang năm sau, Trí bá Văn tử bảo Triệu Ưởng rằng: “Họ Phạm và họ Trung Hàng dẫu thực sự làm loạn, [nhưng là] An Vu khơi mào việc ấy, vậy An Vu mưu tính cùng họ vậy. Nước Tấn có quy định, kẻ khởi xướng làm loạn bị xử chết. Xét lẽ, hai người kia đã chịu tội mà riêng An Vu còn tự tại.”
赵鞅患之。	Triệu Ưởng lo lắng việc đó.
安于曰：“臣死， 赵氏定，晋国宁，吾死晚矣。”	An Vu nói: “Thần chết mà họ Triệu yên định, nước Tấn bình yên, thần chết muộn quá rồi.”
遂自杀。	Liền tự sát.
赵氏以告知伯，然後赵氏 宁。	Họ Triệu đem việc ấy báo với Trí bá, từ đấy về sau họ Triệu được yên.
赵简子有臣曰周舍，好直谏。	Triệu Giản tử có bề tôi là Chu Xá, thích can gián thẳng thắn.
简子由此能附赵邑而怀晋人。	Từ đấy Giản tử có thể khiến ấp Triệu quy phụ rồi vỗ yên người Tấn.
晋定公十八年，赵简子围范、中行于朝歌，中行文子 奔邯郸。	Tấn Định công năm thứ mười tám, Triệu Giản tử bao vây họ Phạm và họ Trung Hàng ở Triều Ca, Trung Hàng Văn tử [Tuân Dần] chạy đến Hàm Đan.
明年，卫灵公卒。	Năm sau, Vệ Linh công chết.
晋定公二十一年，简子拔邯郸，中行文子奔柏人。	Tấn Định công năm thứ hai mươi mốt, Giản tử hạ được Hàm Đan, Trung Hàng Văn tử chạy đến Bách Nhân.
简子又围柏 人，中行文子、范昭子遂奔齐。	Giản tử lại bao vây Bách Nhân, Trung Hàng Văn tử và Phạm Chiêu tử [Phạm Cát Xạ] bèn chạy sang nước Tề.
赵竟有邯郸、柏人。	Rốt cuộc Triệu chiếm được Hàm Đan và Bách Nhân.
范、中行馀邑入于晋。	Các ấp còn lại của họ Phạm và họ Trung Hàng bị sáp nhập về Tấn.
晋定公三十年，定公与吴王夫差争长於黄池，赵简子从晋定公， 卒长吴。	Tấn Định công năm thứ ba mươi, Định công cùng Ngô vương Phù Sai tranh làm trưởng minh ước ở Hoàng Trì, Triệu Giản tử đi theo Tấn Định công, rốt cuộc nước Ngô làm trưởng.
定公三十七年卒，而简子除三年之丧，期而已。	Định công năm thứ ba mươi bảy thì chết, còn Giản tử miễn việc để tang ba năm, chỉ để tang một năm.
晋出公十一年，知伯伐郑。 赵简子疾，使太子毋恤将而围郑。	Tấn Xuất công năm thứ mười một, Trí bá đánh Trịnh, Triệu Giản tử ốm, sai Thái tử Vô Tuất cầm quân bao vây Trịnh.
晋出公十七年，简子卒， 太子毋恤代立，是为襄子。	Tấn Xuất công năm thứ mười bảy, Giản tử chết, Thái tử Vô Tuất lên thay, đó là Tương tử.
赵襄子元年，越围吴。	Triệu Tương từ năm thứ nhất, nước Việt bao vây nước Ngô.
襄子姊前为代王夫人。	Chị của Tương tử vốn là phu nhân của vua nước Đại.
其姊闻 之，泣而呼天，摩笄自杀。	Người chị nghe tin, khóc lóc kêu trời, mài trâm tự sát.
代人怜之，所死地名之为摩笄之山。	Người nước Đại thương xót, đặt tên chỗ [người chị] tự tử là núi Ma Kế (Mài Trâm).
伯鲁者，襄子 兄，故太子。	Bá Lỗ là anh của Tương tử, vốn là Thái tử.
太子蚤死，故封其子。	Thái tử mất sớm, cho nên phong cho người con.
襄子立四年，知伯与赵、韩、魏尽分其范、中行故地。	Tương tử tại vị được bốn năm, Trí bá cùng các họ Triệu, Hàn, Ngụy chia nhau hết đất cũ của họ Phạm và họ Trung Hàng.
晋出公 怒，告齐、鲁，欲以伐四卿。	Tấn Xuất công giận, báo với Tề và Lỗ, định nhờ họ tấn công bốn quan khanh.
四卿恐，遂共攻出公。	Bốn quan khanh sợ, bèn cùng đánh Xuất công.
出公奔齐，道 死。	Xuất công chạy sang Tề, chết trên đường đi.
知伯乃立昭公曾孙骄，是为晋懿公。	Trí bá bèn lập chắt của Chiêu công là Kiêu, đó là Tấn Ý công.
请地韩、魏，韩、魏与之。	[Trí bá] đòi đất của Hàn và Ngụy, Hàn và Ngụy cấp đất cho Trí bá.
请地 赵，赵不与，以其围郑之辱。	Đòi đất của Triệu, Triệu không cho, vì nỗi nhục khi bao vây Trịnh.
知伯怒，遂率韩、魏攻赵。	Trí bá giận, bèn thống lãnh Hàn và Ngụy tấn công Triệu.
赵襄子惧， 乃奔保晋阳。	Triệu Tương tử sợ, bèn chạy ra giữ Tấn Dương.
原过从，後，至於王泽， 见三人，自带以上可见，自带以下不可见。	Nguyên Quá đi theo, rớt lại sau, đến Vương Trạch, thấy ba người, chỉ nhìn thấy từ thắt lưng trở lên, từ thắt lưng trở xuống không sao nhìn thấy.
原过既至，以告襄子。	Nguyên Quá đến nơi, đem việc ấy nói với Tương tử.
城中悬釜而炊，易子而食。	Trong thành phải treo nồi lên để nấu, đổi con cho nhau để ăn thịt.
襄子惧，乃夜使 相张孟同 私於韩、魏。	Tương tử lo sợ, ban đêm sai Tướng quốc Trương Mạnh Đồng lén ra chỗ quân Hàn và Ngụy.
韩、魏与合谋，以三月丙戌，三国反灭知 氏，共分其地。	Hàn, Ngụy hợp mưu với Triệu, nhằm ngày Bính Tuất tháng Ba, ba nước phản công tiêu diệt họ Trí, cùng chia nhau đất đai của họ Trí.
於是襄子行赏，高共为上。	Thế rồi Tương tử tiến hành ban thưởng, Cao Cung được đứng đầu.
张孟同曰：“晋阳之难， 唯共无功。”	Trương Mạnh Đồng nói: “Họa nạn ở Tấn Dương, riêng Cung không có công gì.”
於是赵北有代，南并知氏，彊於韩、魏。	Thế rồi Triệu ở phía bắc có được nước Đại, xuống nam chiếm đất họ Trí, mạnh hơn cả Hàn và Ngụy.
其後娶空同氏， 生五子。	Sau đó [Tương tử] lấy người con gái họ Không Đồng, sinh được năm người con.
成君先死，乃取代成君子浣立为太子。	Thành quân chết trước, bèn lấy con của Đại Thành quân là Hoán lập làm Thái tử.
襄子立三 十三年卒，浣立，是为献侯。	Tương tử tại vị được ba mươi ba năm thì chết, Hoán lên ngôi, đó là Hiến hầu.
献侯少即位，治中牟。	Hiến hầu lên ngôi khi còn nhỏ, trị sở ở Trung Mâu.
襄子弟桓子逐献侯，自立於代， 一年卒。	Em của Tương tử là Hoàn tử đuổi Hiến hầu, tự lập ở đất Đại, được một năm thì chết.
国人曰桓子立非襄子意，乃共杀其子而复迎立献侯。	Người trong nước cho rằng Hoàn tử lên ngôi không phải ý của Tương tử, bèn cùng giết con của Hoàn tử, rồi lại đón lập Hiến hầu.
十年，中山武公初立。	Năm thứ mười, Trung Sơn Vũ công mới lên ngôi.
十三年，城平邑。	Năm thứ mười ba, xây thành ở Bình Ấp.
十五 年，献侯卒，子烈侯籍立。	Năm thứ mười lăm, Hiến hầu chết, con là Liệt hầu Tịch lên ngôi.
烈侯元年，魏文侯伐中山，使太子击守之。	Liệt hầu năm thứ nhất, Ngụy Văn hầu đánh Trung Sơn, sai Thái tử Kích giữ ở đó.
六年，魏、韩、赵皆 相立为诸侯，追尊献子为献侯。	Năm thứ sáu, Ngụy, Hàn và Triệu đều lập nhau làm chư hầu, truy tôn Hiến tử thành Hiến hầu.
公仲 曰：“富之可，贵之则否。”	Công Trọng đáp: “Có thể khiến cho được giàu, không thể khiến cho được sang quý.”
烈侯曰：“然。夫郑歌者枪、石二人， 吾赐之田，人万亩。”	Liệt hầu nói: “Được. Nước Trịnh có hai con hát là Thương và Thạch, ta tặng họ mỗi người vạn mẫu ruộng.”
公仲 曰：“诺。” 不与。	Công Trọng nói: “Vâng.” [Công Trọng chỉ nói mà] không cho ruộng.
公仲 曰：“求，未有可者。”	Công Trọng đáp: “Đang tìm kiếm, chưa thấy đất nào phù hợp.”
有顷，烈侯复问。	Không lâu sau, Liệt hầu lại hỏi.
公仲终不与，乃称疾不 朝。	Công Trọng rốt cuộc không giao đất, bèn thác bệnh không vào chầu.
公仲曰：“未也。”	Công Trọng đáp: “Vẫn chưa.”
公仲乃进三人。	Công Trọng bèn tiến cử ba người đó.
公仲 曰：“方使择其善者。”	Công Trọng đáp: “Đang sai người chọn chỗ đất đẹp.”
官牛畜为师，荀欣为中尉，徐越为内史， 赐相国衣二 袭。	Phong Ngưu Súc làm quan và tôn làm thầy, Tuân Hân làm Trung úy, Từ Việt làm Nội sử, tặng Tướng quốc hai xấp quần áo.
九年，烈侯卒，弟武公立。	Năm thứ chín, Liệt hầu chết, em là Vũ công lên thay.
武公十三年卒，赵复立烈侯太子章，是为敬侯。	Vũ công năm thứ mười ba thì chết, nước Triệu lại lập Thái tử của Liệt hầu là Chương, đó là Kính hầu.
是 岁，魏文侯卒。	Năm này, Ngụy Văn hầu chết.
二年，败齐于灵丘。	Năm thứ hai, [Triệu] đánh bại Tề ở Linh Khâu.
三年，救魏于廪 丘，大败齐人。	Năm thứ ba, [Triệu] cứu viện Ngụy ở Lẫm Khâu, đánh người Tề đại bại.
四年，魏败我兔台。	Năm thứ tư, Ngụy đánh bại quân Triệu ở Thố Đài.
五年，齐、魏为卫攻赵，取我刚平。	Năm thứ năm, Tề và Ngụy vì nước Vệ tấn công Triệu, chiếm Cương Bình của Triệu.
六年，借兵於楚伐魏， 取棘蒲。	Năm thứ sáu, mượn quân nước Sở để đánh Ngụy, chiếm Cức Bồ.
