梁孝王武者，孝文皇帝子也，而与孝景帝同母。	Lương Hiếu vương Vũ là con của Hiếu Văn Hoàng đế, cùng mẹ với Hiếu Cảnh đế.
二十二年，孝文帝崩。	Năm thứ hai mươi hai, Hiếu Văn đế băng hà.
二十四年，入朝。	Năm thứ hai mươi tư, vào chầu.
二十五年，复入朝。	Năm thứ hai mươi lăm, lại vào chầu.
是时上未置太子也。	Bấy giờ hoàng thượng chưa lập Thái tử.
上与梁王燕饮，尝从容言 曰：“千秋万岁後传於王。”	Hoàng thượng cùng Lương vương yến ẩm, từng thủng thẳng nói: “Sau khi ngàn thu muôn tuổi sẽ truyền cho vương.”
王辞谢。	Lương vương từ tạ.
虽知非至言，然心内喜。	Dẫu biết không phải lời nói thực tâm, song trong lòng vui mừng.
太后 亦然。	Thái hậu cũng thế.
其春，吴楚齐赵七国反。	Mùa xuân năm ấy, Ngô, Sở, Tề, Triệu bảy nước làm phản.
吴楚先击梁棘壁， 杀数万人。	Ngô, Sở trước tiên đánh Cức Bích nước Lương, giết mấy vạn người.
梁孝王城守睢阳，而使韩安国、张羽等为大将军，以距吴楚。	Lương Hiếu vương phòng thủ ở thành Tuy Dương, rồi sai bọn Hàn An Quốc, Trương Vũ làm Đại tướng quân, để chống lại Ngô, Sở.
吴楚以 梁为限，不敢过而西，与太尉亚夫等相距三月。	Ngô, Sở bị nước Lương ngăn trở, không dám vượt qua để tiến sang phía tây, cùng bọn Thái úy Á Phu cầm cự với nhau ba tháng.
吴楚破，而梁所破杀 虏略与汉中分。	Ngô, Sở bị đánh tan, còn nước tương đánh bại, giết, bắt sống quân làm phản đại để nhiều ngang với quân Hán.
明 年，汉立太子。	Năm sau, nhà Hán lập Thái tử.
其後梁最亲，有功，又为大国，居天下膏腴地。	Sau đó, Lương vương là chỗ thân thiết nhất, có công, lại là nước lớn, ở nơi đất đai phì nhiêu trong thiên hạ.
地北 界泰山，西至高阳， 四十馀城，皆多大县。	[Nước Lương] phía bắc là địa giới Thái Sơn, phía tây đến Cao Dương, gồm hơn bốn mươi thành, phần nhiều đều là các huyện lớn.
孝王，窦太后少子也，爱之，赏赐不可胜道。	Hiếu vương là con trai út của Đậu Thái hậu, được Thái hậu cưng, ban thưởng không sao kể xiết.
於是孝王筑东苑， 方三百 馀里。	Bấy giờ Hiếu vương xây dựng Đông Uyển, vuông hơn ba trăm dặm.
广睢阳城七十里。	Mở rộng thành Tuy Dương bảy mươi dặm.
二十九年十月，梁孝王入朝。	Tháng Mười năm thứ hai mươi chín, Lương Hiếu vương vào chầu.
景帝使使持节乘舆驷马，迎梁王於 关下。	Cảnh đế sai sứ giả cầm phù tiết ngồi xe tứ mã đi đón Lương vương dưới quan ải.
既朝，上疏因留，以太后亲故。	Sau khi vào triều, dâng sớ nhân đó lưu lại [trong cung], là do được Thái hậu sủng ái vậy.
十一月，上废栗太子，窦太后心欲以孝王为後嗣。	Tháng Mười một, hoàng thượng phế truất Lật Thái tử, Đậu Thái hậu trong lòng muốn lấy Hiếu vương làm người kế tục.
大臣及袁盎等 有所关说於景帝， 窦太后义格， 亦遂不复言以梁王为嗣事由此。	Đại thần cùng bọn Viên Áng khuyên can Cảnh đế, do vậy đề nghị của Đậu Thái hậu bị ngăn trở, từ đó không nói lại việc lấy Lương vương làm người thừa kế nữa.
以事秘，世莫知。	Vì việc này bí mật, trên đời không ai biết.
乃辞归 国。	[Lương vương] bèn từ biệt để trở về nước phong.
其夏四月，上立胶东王为太子。	Tháng Tư mùa hạ, hoàng thượng lập Giao Đông vương làm Thái tử.
逐其贼，未得也。	Truy bắt hung thủ, vẫn chưa bắt được.
於是 天子意梁王，逐贼，果梁使之。 乃遣使冠盖相望 於道，覆按梁，捕公孙诡、羊胜。	Thế rồi thiên tử có ý nghi ngờ Lương vương, [đến khi] bắt được hung thủ, quả nhiên do Lương vương sai khiến. Bèn liên tục sai sứ lên đường đến nước Lương tra xét vụ án, bắt Công Tôn Quỷ và Dương Thắng.
使者责二 千石急，梁相轩丘豹及内史韩安国进谏王，王 乃令胜、诡皆自杀，出之。	Sứ giả cật vấn các quan trật Nhị thiên thạch gắt gao, Quốc tướng nước Lương là Hiên Khâu Báo cùng quan Nội sử Hàn An Quốc tiến vào khuyên can Lương Vương, Lương vương bèn lệnh cho Thắng và Quỷ đều phải tự sát, đem xác ra giao.
上由此怨望於梁王。	Từ đó hoàng thượng oán trách Lương vương.
梁王恐，乃使韩安国 因长公主谢罪太后，然后得释。	Lương vương lo sợ, bèn sai Hàn An Quốc thông qua Trưởng Công chúa tạ tội với Thái hậu, sau đó mới được khoan thứ.
既至关，茅兰 说王，使乘布车， 从两骑入，匿於长公主园。	Sau khi đến quan ải, Mao Lan khuyên Lương vương ngồi xe căng vải thường, chỉ đem theo hai kỵ mã tùy tòng, náu mình ở vườn [trong cung] của Trưởng Công chúa.
汉使使迎王，王已入关，车骑尽居 外，不知王处。	Nhà Hán sai sứ đón Lương Vương, Lương vương đã vào quan ải, xe cộ và quân kỵ đều ở ngoài quan ải, không biết Lương vương ở đâu.
太后泣曰：“帝杀吾子！”	Thái hậu khóc nói: “Hoàng đế giết con ta!”
景帝忧恐。	Cảnh đế lo sợ.
於是梁王伏斧 质於阙下，谢罪，然後太后、景帝大喜，相泣，复如故。	Thế rồi Lương vương lưng mang búa rìu quỳ dưới của cung tạ tội, Thái hậu và Cảnh đế thấy vậy cả mừng, cùng khóc, quan hệ trở lại như trước.
悉召王从官 入关。	Triệu hết các quan tùy tòng Lương vương vào trong quan ải.
三十五年冬，复朝。	Mùa đông năm thứ ba mươi lăm, lại vào chầu.
上疏欲留，上弗许。	Dâng sớ muốn được lưu lại, Hoàng thượng không cho.
六月中，病热， 六日卒，谥曰孝王。	Trung tuần tháng Sáu, phát bệnh sốt cao, sáu ngày thì chết, thụy là Hiếu vương.
孝王慈孝，每闻太后病，口不能食，居不安寝，常欲留长安侍太 后。	Hiếu vương là người con hiếu, mỗi khi nghe Thái hậu ốm, [thì Hiếu vương] ăn không được, ngủ không yên, thường mong ở lại Trường An hầu hạ Thái hậu.
太后亦爱之。	Thái hậu cũng yêu quý Lương vương.
及闻梁王薨，窦太后哭极哀，不食，曰：“帝果杀 吾子！”	Đến khi hay tin Lương vương mất, Đậu Thái hậu khóc lóc rất đau đớn, bỏ ăn, nói: “Hoàng đế quả giết con ta!”
景帝哀惧，不知所为。	Cảnh đế vừa đau buồn vừa lo sợ, không biết phải làm thế nào.
与长公主计之，乃分梁为五国， 尽立孝王男五人为王，女五人皆食汤沐邑。	Bàn tính với Trưởng Công chúa về việc đó, bèn chia nước Lương thành năm nước, lập hết năm con trai của Hiếu vương làm vương, năm người con gái đều được hưởng ấp thang mộc.
於是奏之太后， 太后乃说，为帝加壹餐。	Thế rồi tâu với Thái hậu, Thái hậu liền mừng, gia ban cho Cảnh đế một bữa ăn.
梁孝王长子买为梁王，是为共王；子明为济川王；子彭离为济东 王；子定为山阳王；子不识为济阴王。	Con trưởng của Lương Hiếu vương là Mãi làm Lương Vương, đó là Cung vương; con là Minh làm Tế Xuyên vương; con là Bành Ly làm Tế Đông vương; con là Định làm Sơn Dương Vương; con là Bất Thức làm Tế Âm vương.
孝王未死时，财以巨万计，不可胜数。	Khi Hiếu vương còn tại thế, của cải muôn vàn, không sao kể xiết.
梁共王三年，景帝崩。	Lương Cung vương năm thứ ba, Cảnh đế băng hà.
共王立七年卒，子襄立，是为平王。	Cung vương tại vị được bảy năm thì chết, con là Tương lên thay, đó là Bình vương.
梁平王襄十四年，母曰陈太后。	Lương Bình vương Tương năm thứ mười bốn, mẹ là Trần Thái hậu.
共王母曰李太 后。	Mẹ của Cung vương là Lý Thái hậu.
李太后，亲平王之大母也。	Lý Thái hậu là bà của Bình vương.
而平王之后姓任，曰任王后。	Vương hậu của Bình vương họ Nhâm, đó là Nhâm Vương hậu.
初，孝王在时，有罍樽， 直千金。	Ban trước, khi Hiếu vương hãy còn, có chiếc chén uống rượu trang trí hình mây và sấm chớp, đáng giá ngàn vàng.
孝王诫後世，善保罍樽，无得以与人。	Hiếu vương răn bảo con cháu, khéo giữ chiếc chén, không được cho người khác.
平王大母李太后曰：“先王有命，无得以罍樽与人。他物虽 百巨万，犹自恣也。”	Bà của Bình vương là Lý Thái hậu nói: “Tiên vương có lệnh, không được đem chiếc chén cho người khác. Vật khác tuy giá trị ức vạn, ngươi có thể tự ý mà lấy.”
任王后绝欲得之。	Nhâm Vương hậu khăng khăng muốn có chiếc chén đó.
李太后大怒，汉使者来，欲自言，平王襄及任王后遮止， 闭门，李太后与争门，措指， 遂不得见汉使者。	Lý Thái hậu cả giận, sứ giả nhà Hán đến, định đích thân [đem chuyện đó] nói [với sứ giả], Bình vương Tương cùng Nhâm Vương hậu chặn đường ngăn cản, đóng cổng lại, Lý Thái hậu cùng tranh đường đi ở cổng, bị kẹp ngón tay, rốt cuộc không gặp được sứ giả nhà Hán.
李太后亦私与食官长 及郎中尹霸等士通乱， 而王与任王后以此使人风止李太后，李太后内有淫行，亦 已。	Lý Thái hậu do có tư thông với bọn quan trưởng phụ trách nấu ăn trong cung và Lang trung Doãn Bá, [vì thế] Bình vương và Nhâm Vương hậu sai người đem việc đó bóng gió khuyên ngăn Lý Thái hậu. Lý Thái hậu do bản thân làm việc dâm loạn nên cũng cho qua.
後病薨。	Sau, ốm chết.
元朔中，睢阳人类犴反者， 人有辱其父，而与淮阳太守客出同车。	Trong niên hiệu Nguyên Sóc, Loại Ngạn Phản người ở Tuy Dương, có người làm nhục cha mình, nhưng được ngồi ra ngoài cùng xe với khách của Thái thú Hoài Dương.
太守 客出下车，类犴反杀其仇於车上而去。	Khách của Thái thú ra ngoài, xuống xe, Loại Ngạn Phản giết kẻ thù của mình ngay trên xe rồi bỏ đi.
淮阳太守怒，以让梁二千石。	Thái thú Hoài Dương nổi giận, trách vấn các quan Nhị thiên thạch nước Lương.
反知国阴事，乃上变事，具告知王 与大母争樽状。	Phản biết việc bí mật trong nước, bèn dâng thư lên Hoàng đế nói việc bất thường, tố cáo chi tiết việc Lương Bình vương và bà mình tranh nhau chiếc chén.
时丞相以下见知之，欲以伤梁长吏，其书闻天子。	Bấy giờ từ Thừa tướng trở xuống đều biết việc đó, muốn dùng việc đó để hạ bệ các trưởng lại nước Lương, thư tố cáo của Phản được trình lên thiên tử.
天子曰：“李太后有淫行， 而梁王襄无良师傅，故陷不义。”	Thiên tử nói: “Lý Thái hậu có hành vi dâm loạn, còn Lương vương Tương không có thầy giỏi rèn cặp, cho nên sa vào chỗ bất nghĩa.”
乃削梁八城，枭任王后首于市。	Bèn tước tám thành nước Lương, bêu đầu Nhâm Vương hậu ngoài chợ.
梁 馀尚有十城。	Nước Lương còn lại mười thành.
襄立三十九年卒，谥为平王。	Tương tại vị được ba mươi chín năm thì chết, thụy là Bình vương.
子无伤立为梁王也。	Con là Vô Thương được lập làm Lương Vương.
济川王明者，梁孝王子，以桓邑侯孝景中六年 为济川王。	Tế Xuyên vương Minh là con của Lương Hiếu vương, vào năm [Trung Nguyên] thứ sáu thời Hiếu Cảnh đế [Minh] từ thân phận Hoàn Ấp hầu lên làm Tế Xuyên vương.
济东王彭离者，梁孝王子，以孝景中六年为济东王。	Tế Đông vương Bành Ly là con của Lương Hiếu vương, năm [Trung Nguyên] thứ sáu thời Hiếu Cảnh đế lên làm Tế Đông vương.
二十九年， 彭离骄悍，无人君礼，昏暮私与其奴、亡命少年数十人行剽杀人，取 财物以为好。	Được hai mươi chín năm, Bành Ly kiêu căng hung hãn, không có lễ nghi của bậc quân vương, tối đến lén lút cùng mấy chục nô bộc và bọn thanh niên vong mạng đi cướp của giết người, coi việc chiếm được của cải làm vui.
所杀者子上书言。	Con của một người bị giết nọ dâng thư tố cáo.
汉有司请诛，上不忍，废以 为庶人，迁上庸，地入于汉，为大河郡。	Quan Hữu ty nhà Hán đề nghị giết Bành Ly, hoàng thượng không nỡ, phế làm dân thường, đày ra Thượng Dung, đất phong bị sáp nhập vào nhà Hán, thành quận Đại Hà.
山阳哀王定者，梁孝王子，以孝景中六年为山阳王。	Sơn Dương Ai vương Định là con của Lương Hiếu vương, năm [Trung Nguyên] thứ sáu thời Hiếu Cảnh đế lên làm Sơn Dương vương.
九年卒，无 子，国除，地入于汉，为山阳郡。	Được chín năm thì chết, không con, nước bị phế bỏ, đất phong bị sáp nhập vào nhà Hán, thành quận Sơn Dương.
济阴哀王不识者，梁孝王子，以孝景中六年为济阴王。	Tế Âm Ai vương Bất Thức là con của Lương Hiếu vương, năm [Trung Nguyên] thứ sáu thời Hiếu Cảnh đế lên làm Tế Âm vương.
一岁卒， 无子，国除，地入于汉，为济阴郡。	Được một năm thì chết, không có con, nước bị phế bỏ, đất phong bị sáp nhập vào nhà Hán, thành quận Tế Âm.
太史公曰：梁孝王虽以亲爱之故，王膏腴之地，然会汉家隆盛， 百姓殷富，故能植其财货，广宫室，车服拟於天子。 然亦僭矣。	Thái sử công bàn rằng: Lương Hiếu vương tuy là chỗ thân thiết, được sủng ái, được phong vương nơi đất đai màu mỡ, lại gặp lúc nhà Hán hưng thịnh, trăm họ giàu có, cho nên có thể tích lũy của cải, mở rộng cung thất, xe cộ phục sức giống như thiên tử nhưng cũng là tiếm vượt vậy.
窃 以为令梁孝王怨望，欲为不善者，事从中生。	Trộm cho là, [lý do] khiến Lương Hiếu vương oán trách, muốn làm những việc bất thiện, [đều bắt nguồn từ những] việc phát sinh ở trong cung.
今太后，女主也，以爱 少子故，欲令梁王为太子。	Bấy giờ Thái hậu là nữ chúa, vì yêu con út, muốn cho Lương vương làm Thái tử.
齐如魏其侯窦婴之正言也， 何以有後祸？	Nếu như Ngụy Kỳ hậu Đậu Anh nói lời thẳng thắn, đâu vì thế mà có họa về sau?
景帝与王燕见，侍太后饮，景 帝曰：“千秋万岁之後传王。”	Cảnh đế gặp Lương vương trong yến tiệc, hầu Thái hậu uống rượu, Cảnh đế nói: “Sau khi ngàn thu muôn tuổi sẽ truyền cho vương.”
太后喜说。	Thái hậu vui mừng.
於 是景帝默然无声。	Cảnh đế nghe vậy lẳng lặng không nói.
太后意不说。	Thái hậu có ý không vui.
故成王与小弱弟立树下，取一桐叶以与之，曰：“吾用封 汝。”	Xưa kia Chu Thành vương cùng em nhỏ đứng dưới gốc cây, lấy một chiếc lá ngô đồng đưa cho em, nói: “Ta lấy phong cho ngươi.”
成王曰：“吾直与 戏耳。”	Thành vương nói: “Ta chỉ đùa thôi.”
周公曰：“人主无过举，不当有戏言，言之必行之。”	Chu công nói: “Bậc nhân chúa không làm việc sai lầm, không nên nói đùa, nói thế nào ắt phải làm như vậy.”
於是 乃封小弟以应县。	Thế là bèn phong cho em nhỏ huyện Ứng.
孝经曰：“非法不言，非道不行。”	Hiếu kinh viết: “Không đúng pháp độ không nói, không đúng đạo nghĩa không làm.”
此圣人 之法言也。	Đó là những lời khuôn phép của thánh nhân vậy.
今主上不宜出好言於梁王。	Nay chúa thượng không nên nói ra những lời dễ nghe ấy với Lương vương.
梁王上有太后之重，骄蹇日 久，数闻景帝好言，千秋万世之後传王，而实不行。	Lương vương trên được sự xem trọng của Thái hậu, kiêu căng ngạo mạn từ lâu, nhiều lần nghe lời dễ nghe của Cảnh đế rằng sau khi ngàn thu muôn tuổi sẽ truyền cho vương, nhưng thực tế lại không làm.
凡留长安不过二十日。	Phàm lưu lại Trường An không quá hai mươi ngày.
小见者，燕见於禁门 内，饮於省中，非士人所得入也。	Tiểu kiến là yết kiến riêng trong cấm cung, uống rượu trong cung, sĩ nhân không được vào.
今梁王西朝，因留，且半岁。	Nay Lương vương sang phía tây vào triều kiến, nhân đó lưu lại, gần nửa năm trời.
入与 人主同辇，出与同车。	Khi vào thì cùng xe với Hoàng đế, xuất cung cũng ngồi cùng xe.
非大贤人，不知退让。	Không phải bậc đại hiền thì không biết từ tạ lui gót.
今汉之仪法，朝见贺正 月者，常一王与四侯俱朝见，十馀岁一至。	Nay quy định của nhà Hán, triều kiến chúc mừng tháng Giêng, thường là một mình vương và bốn chư hầu cùng vào triều kiến, hơn chục năm vào một lần.
今梁王常比年入朝见，久 留。	Nay Lương vương năm này sang năm khác vào triều kiến, ở lại lâu.
鄙语曰“骄子不孝”，非恶言也。	Tục ngữ có câu: “Con kiêu không hiếu”, lời nói chẳng sai.
盖闻梁王西入朝，谒窦太后，燕见，与景帝俱侍坐於太后前，语 言私说。	Từng nghe, Lương vương sang phía tây vào triều, yết kiến Đậu Thái hậu, gặp trong tiệc rượu, cùng Cảnh đế ngồi hầu trước mặt Thái hậu, nói chuyện riêng tư.
太后谓帝曰：“吾闻殷道亲亲，周道尊尊， 其义一也。安车大驾，用梁孝王为寄。”	Thái hậu bảo Hoàng đế rằng: “Ta nghe nói đạo nhà Ân là thân với người thân, đạo nhà Chu là tôn kính bậc tôn trưởng, nghĩa lý chỉ là một vậy. Xe êm ra đi rồi, xin gửi gắm Lương Hiếu vương.”
景帝跪席举身 曰：“诺。”	Cảnh đế quỳ trên chiếu ngẩng lên nói: “Vâng.”
罢酒出，帝召袁盎诸大臣通经术者曰：“太后言如是， 何谓也？”	Bãi tiệc rượu xuất cung, Hoàng đế triệu các đại thần thông kinh thuật là bọn Viên Áng đến hỏi: “Thái hậu nói thế, là ý thế nào?”
皆对曰：“太后意欲立梁王为帝太子。”	Đều đáp rằng: “Ý Thái hậu muốn lập Lương vương làm Thái tử.”
帝问其状，袁盎 等曰：“殷道亲亲者，立弟。周道尊尊者，立子。殷道质，质者法 天，亲其所亲，故立弟。周道文，文者法地，尊者敬也，敬其本始， 故立长子。周道，太子死，立適孙。殷道。太子死，立其弟。”	Hoàng đế hỏi sự tình, bọn Viên Áng nói: “Đạo nhà Ân thân với người thân, cho nên lập em. Đạo nhà Chu tôn kính bậc tôn trưởng, cho nên lập con. Đạo nhà Ân chất phác, chất phác thì noi khuôn phép của trời, thân với người thân của mình, cho nên lập em. Đạo nhà Chu trọng văn, văn vẻ thì noi khuôn phép của đất, tôn kính người mình kính trọng, tôn kính gốc gác của mình, nên lập con trưởng. Đạo nhà Chu, Thái tử chết, lập cháu đích. Đạo nhà Ân, Thái tử chết, lập em mình.”
帝 曰：“於公何如？”	Hoàng đế hỏi: “Các ông thấy thế nào?”
皆对曰：“方今汉家法周，周道不得立弟，当立 子。故春秋所以非宋宣公。宋宣公死，不立子而与弟。弟受国死，复 反之与兄之子。弟之子争之，以为我当代父後，即刺杀兄子。以故国 乱，祸不绝。故春秋曰‘君子大居正，宋之祸宣公为之’。臣请见太 后白之。”	Đều đáp rằng: “Nay nhà Hán theo khuôn phép nhà Chu, đạo nhà Chu không được lập em mà phải lập con. Cho nên sách Xuân thu phủ nhận Tống Tuyên công. Tống Tuyên công chết, không lập con mà lập em. Em nhận nước rồi chết, lại truyền quốc cho con của anh. Con của em tranh với con anh, cho mình đáng phải thay cha, liền giết con của anh. Vì thế nước loạn, tai họa không dứt. Cho nên Xuân thu viết: 'Quân tử phải nói chính đạo, họa của nước Tống là tự Tuyên công gây ra.' Thần xin cầu kiến Thái hậu để thưa rõ việc đó.”
袁盎等入见太后：“太后言欲立梁王，梁王即终，欲谁 立？”	Bọn Viên Áng vào yết kiến Thái hậu, hỏi: “Thái hậu nói muốn lập Lương vương, nếu Lương Vương chết, định lập ai?”
太后曰：“吾复立帝子。”	Thái hậu nói: “Ta lại lập con của Hoàng đế.”
太后乃解说，即使梁王归就 国。	Thái hậu bèn nghe ra, liền sai Lương vương trở về nước phong.
而梁王闻其义出於袁盎诸大臣所，怨望，使人来杀袁盎。	Còn Lương vương nghe những lời bàn ấy xuất phát từ bọn đại thần Viên Áng thì oán trách, sai người đến giết Viên Áng.
刺者曰：“是矣！”	Thích khách đáp: “Đúng rồi.”
刺 之，置其剑，剑著身。	Đâm Viên Áng, để lại kiếm, kiếm cắm trên mình [Viên Áng].
以此知而发觉之，发使者捕逐之。	Qua đó biết rồi phát giác ra thích khách, sai người lùng bắt.
独梁王所欲杀大臣十馀人， 文吏穷本之，谋反端颇见。	Riêng Lương vương định giết hơn chục đại thần, quan án truy ra ngọn nguồn, mưu phản lộ rõ.
此二人皆通经术，知大礼。	Hai người này đều tinh thông kinh thuật, hiểu biết đại lễ.
景帝曰：“何如？”	Cảnh đế hỏi: “Thế nào?”
对曰：“言梁王不知也。造为之者， 独其幸臣羊胜、公孙诡之属为之耳。谨以伏诛死，梁王无恙也。”	Đáp rằng: “Theo lời khai thì Lương vương không biết gì. Gây ra việc này hoàn toàn do bọn bề tôi được sủng ái là Dương Thắng, Công Tôn Quỷ mà thôi. Đã cẩn trọng tra xét và giết chúng, Lương vương không có chuyện gì.”
景 帝喜说，曰：“急趋谒太后。”	Cảnh đế vui mừng, nói: “Mau vào yết kiến Thái hậu.”
太后闻之，立起坐餐，气平复。	Thái hậu nghe vậy, bật dậy ngồi ăn, khí sắc trở lại bình thường.
少见之人， 如从管中闚天也。	Người kiến thức hẹp hòi, cũng như nhòm trời qua ống trúc vậy.
大治宫室，为衤复道，自宫连 属於平台三十馀里。	Xây nhiều cung điện nhà cửa, làm cầu nối các lầu gác, từ vương cung đến Bình Đài dài hơn ba mươi dặm.
得 赐天子旌旗，出从千乘万骑。	Được thiên tử ban cờ, ra ngoài tùy tòng là ngàn cỗ xe và vạn kỵ binh.
招延四方豪桀，自山以东游说之士。 莫不毕 至，齐人羊胜、公孙诡、邹阳之属。	Chiêu tập hào kiệt bốn phương, kẻ sĩ du thuyết từ Hào Sơn sang phía đông không ai không đến, chẳng hạn bọn Dương Thắng, Công Tôn Quỷ, Trâu Dương người Tề.
公孙诡多奇邪计， 初见 王，赐千金，官至中尉，梁号之曰公孙将军，梁多作兵器弩弓矛数十 万，而府库金钱且百巨万， 珠玉宝器多於京师。	Công Tôn Quỷ nhiều kế sách tà dị, mới yết kiến Hiếu vương đã được tặng nghìn vàng, làm quan đến chức Trung úy, nước Lương gọi ông ta là Công Tôn Tướng quân. Nước Lương làm nhiều binh khí, cung nỏ, giáo mác, lên đến mấy chục vạn, còn tiền vàng trong kho lên đến cự vạn, châu ngọc, của báu nhiều hơn cả kinh sư.
王入则 侍景帝同辇，出则同车游猎，射禽兽上林中。	Lương vương vào cung được hầu cận và ngồi cùng xe với Cảnh đế, xuất cung được ngồi cùng xe đi săn, bắn cầm thú trong vườn Thượng Lâm.
梁之侍中、郎、谒者著 籍引出入天子殿门， 与汉宦官无异。	Các quan Thị trung, Lang, Yết giả của Lương vương được ghi tên vào danh sách, được ra vào cổng điện của thiên tử, không khác gì các quan viên của triều đình trung ương nhà Hán.
梁王怨袁盎及议臣，乃与羊胜、 公孙诡之属阴使人刺杀袁盎及他议臣十馀人。	Lương vương oán Viên Áng cùng các đại thần tham gia bàn nghị không tán đồng việc lập Lương vương làm Thái tử, bèn cùng bọn Dương Thắng, Công Tôn Quỷ ngầm sai người đâm chết Viên Áng cùng hơn chục đại thần khác đã tham gia bàn nghị.
公孙诡、羊胜匿王後宫。	Công Tôn Quỷ, Dương Thắng trốn ở hậu cung của Lương vương.
北 猎良山， 有献牛，足出背上， 孝王恶之。	Lên phía bắc đi săn ở Lương Sơn, có người hiến con bò, chân mọc trên lưng, Hiếu vương ghét con bò đó.
及死，藏府馀黄金尚四十 馀万斤，他财物称是。	Đến khi chết, vàng chứa trong kho còn hơn bốn chục vạn cân, của cải khác tương đương số đó.
任王后 甚有宠於平王襄。	Nhâm Vương hậu rất được Bình vương Tương sủng ái.
任王后闻而欲 得罍樽。	Nhâm Vương hậu nghe nói chuyện đó, nhưng lại muốn có chiếc chén ấy.
平王襄直使人开府取罍樽， 赐任王后。	Bình vương Tương lập tức sai người mở kho lấy chiếc chén, tặng cho Nhâm Vương hậu.
天 子下吏验问，有之。	Thiên tử giao cho quan lại tra xét, thực có việc đó.
公卿请废襄为庶人。	Các công khanh đề nghị phế Tương làm dân thường.
七岁，坐射杀其中尉，汉有司请诛，天子弗忍诛，废明为 庶人。 迁房陵，地入于汉为郡。	Được bảy năm, do bắn giết viên Trung úy của mình, quan Hữu ty nhà Hán đề nghị giết, thiên tử không nỡ giết, phế Minh làm dân thường, đày ra Phòng Lăng, đất phong sáp nhập thành quận của nhà Hán.
所杀发觉者百馀人， 国皆知之，莫敢夜行。	Những người do Tế Đông vương giết bị phát giác lên đến trên trăm người, cả nước đều biết việc đó, ban đêm không ai dám ra ngoài.
褚先生曰：臣为郎时，闻之於宫殿中老郎吏好事者称道之也。	# Chử tiên sinh bàn rằng: Lúc tôi làm quan Lang, được nghe các quan Lang già hiếu sự trong cung nói về việc đó.
大臣不时正言其不可状，阿意治小，私说 意以受赏赐，非忠臣也。	Đại thần không kịp thời nói cho Thái hậu biết đó là việc không thể làm, a dua đón ý, chỉ lo việc vặt, cốt sao Thái hậu đẹp lòng để được nhận thưởng, không phải bậc trung thần.
是後成王没齿 不敢有戏言，言必行之。	Về sau, Thành vương trọn đời không dám nói đùa, đã nói ắt làm theo.
又诸侯王朝见天子，汉法凡当四见耳。	Lại như các vua chư hầu triều kiến thiên tử, pháp luật nhà Hán quy định chỉ vào triều kiến bốn lần.
