乐毅者，其先祖曰乐羊。	Nhạc Nghị Nhạc Nghị, tiên tổ là Nhạc Dương.
惠王自为太子 时尝不快於乐毅，及即位，齐之田单闻之，乃纵反间於燕，曰：“齐 城不下者两城耳。然所以不早拔者，闻乐毅与燕新王有隙，欲连兵且 留齐，南面而王齐。齐之所患，唯恐他将之来。” 於是燕惠王固已疑 乐毅，得齐反间，乃使骑劫代将，而召乐毅。 乐毅 知燕惠王之不善代之，畏诛，遂西降赵。 赵封乐毅於观津，号曰望诸 君。	Huệ vương khi còn là Thái tử vốn không thích Nhạc Nghị, tới khi lên ngôi, Điền Đan nước Tề biết chuyện, bèn phái người thực hiện kế ly gián, nói: “Tề chỉ còn hai thành chưa bị hạ. Nhưng sở dĩ chưa sớm hạ, vì nghe Nhạc Nghị có hiềm khích với tấn vương nước Yên, muốn lưu quân lại Tề, quay mặt về nam mà làm vua Tề. Nỗi lo của Tề chỉ sợ tướng khác đến thôi.”
尊宠乐毅以警动於燕、齐。 齐田单後与骑劫战，果设诈诳燕军，遂破骑劫於即墨下，而转战 逐燕，北至河上，尽复得齐城，而迎襄王於莒， 入于临菑。 燕惠王後悔使骑劫代乐毅，以故破军亡将失齐；又怨乐毅之降 赵，恐赵用乐毅而乘燕之弊以伐燕。 燕惠王乃使人让乐毅，且谢之 曰：“先王举国而委将军，将军为燕破齐，报先王之雠，天下莫不震 动，寡人岂敢一日而忘将军之功哉！会先王弃群臣，寡人新即位，左 右误寡人。寡人之使骑劫代将军，为将军久暴露於外，故召将军且 休，计事。将军过听，以与寡人有隙，遂捐燕归赵。将军自为计则可 矣，而亦何以报先王之所以遇将军之意乎？”	Yên Huệ vương vốn đã ngờ Nhạc Nghị, lại bị Tề ly gián, bèn sai Kỵ Kiếp đến thay, triệu Nhạc Nghị về.
乐毅报遗燕惠王书曰： 臣不佞，不能奉承王命，以顺左右之心，恐伤先王之明，有害足 下之义，故遁逃走赵。 今足下使人数之以罪，臣恐侍御者不察先王之 所以畜幸臣之理，又不白臣之所以事先王之心，故敢以书对。 臣闻贤圣之君不以禄私亲，其功多者赏之，其能当者处之。 故察 能而授官者，成功之君也；论行而结交者，立名之士也。	Nhạc Nghị biết Yên Chiêu vương không có ý tốt khi sai tướng khác thay mình, sợ bị giết, bèn sang tây hàng Triệu.
顾反命，起兵击齐。 以天之 道，先王之灵，河北之地随先王而举之济上。 济上之军受命击齐，大败齐人。 轻卒锐兵，长驱至国。	Sau đó, Điền Đan nước Tề giao chiến với quân Kỵ Kiếp, bày mưu lừa quân Yên, đánh bại Kỵ Kiếp dưới thành Tức Mặc, chuyển sang phản công, đuổi đánh quân Yên, theo hướng bắc đến tận trên sông Hà, thu hết các thành của Tề, đón Tề Tương vương từ đất Cử về Lâm Truy.
齐王遁而走 莒，仅以身免；珠玉财宝车甲珍器尽收入于燕。 齐器设於宁台， 大吕陈於元英，故 鼎反乎■室， 蓟丘之植 植於汶篁， 自五 伯已来，功未有及先王者也。 先王以为慊於志， 故裂地而封之，使得比小国诸 侯。 臣窃不自知，自以为奉命承教，可幸无罪，是以受命不辞。	Sau, Yên Huệ vương hối hận vì sai Kỵ Kiếp thay Nhạc Nghị, bởi thế quân thua tướng chết, mất luôn cả Tề; lại giận Nhạc Nghị đầu hàng Triệu, sợ Triệu dùng Nhạc Nghị, thừa cơ Yên suy yếu tấn công.
昔伍子胥说听於阖 闾，而吴王远迹至郢；夫差弗是也，赐之鸱夷而浮之江。 吴王不寤先 论之可以立功，故沈子胥而不悔；子胥不蚤见主之不同量，是以至於 入江而不化。 夫免身立功，以明先王之迹，臣之上计也。 离毁辱之诽谤， 堕先王之名，臣之所大恐也。	Yên Huệ vương bèn sai người nói với Nhạc Nghị, lại tạ lỗi rằng: “Tiên vương đem nước giao phó cho tướng quân, tướng quân vì Yên đánh Tề, báo thù cho tiên vương, thiên hạ không nước nào không rúng động, dẫu một ngày quả nhân há đám quên công lao tướng quân ư? Đúng khi tiên vương bỏ các bề tôi, quả nhân mới lên ngôi, tả hữu khiến quả nhân lầm lẫn. Quả nhân sai Kỵ Kiếp thay tướng quân, vì tướng quân phải dãi dầu sương nắng đã lâu, triệu tướng quân về ngơi nghỉ, thương nghị đại sự. Tướng quân hiểu nhầm, cho là quả nhân hiềm khích, rồi bỏ Yên theo Triệu. Tướng quân tính thế cũng phải, nhưng làm sao báo đáp hậu ý của tiên vương dành cho tướng quân đây?”
临不测之 罪，以幸为利，义之所不敢出也。 臣闻古之君子，交绝不出恶声； 忠臣去国，不絜其名。 臣虽不佞，数奉教於君 子矣。 恐侍御者之亲左右之说，不察疏远之行，故敢献书以闻，唯君王之留 意焉。	Nhạc Nghị viết thư phúc đáp Yên Huệ vương rằng: “Thần bất tài, không thể phụng mệnh đại vương, thuận lòng tả hữu; sợ thương tổn đến trí sáng của tiên vương, họa hại tới nghĩa cả của đại vương, cho nên trốn chạy sang Triệu. Nay đại vương sai người kể tội, thần sợ người hầu cận đại vương không xét nguyên do tiên vương dung dưỡng và sủng ái thần, lại không rõ lòng thần thờ tiên vương, nên dám xin viết thư trình đáp. Thần nghe vua hiền thánh không lấy lộc cho người thân, người nhiều công sẽ được thưởng, người giỏi làm ắt được dùng. Nên xét tài năng trao quan chức, là việc vua thành công nên làm; xét đức hạnh mới kết giao, là điều kẻ sĩ lập danh nên theo. Thần trộm xem hành động của tiên vương, thấy tấm lòng chúa cao hơn đời, nên nhân cầm cờ tiết của Ngụy, đích thân được xét ở nước Yên. Tiên vương cất nhắc quá cao, đặt vào hàng tân khách, đứng trên cả quần thần, không bàn với cha anh, lấy thần làm Á khanh. Thần trộm không tự biết, cho là mình vâng lệnh noi theo, may mà không bị tội, cho nên nhận lệnh không từ. Tiên vương dạy: 'Ta có thù sâu oán nặng với Tề, không lượng sức yếu, mà muốn đối phó với Tề.' Thần tâu: 'Xét, Tề thừa kế cơ nghiệp để lại của nước bá chủ và từng đánh thắng các nước, quân binh tinh nhuệ, quen việc đánh trận. Nếu đại vương muốn đánh Tề, phải mưu tính cùng thiên hạ. Mưu tính cùng thiên hạ, không gì bằng kết giao với Triệu. Huống chi mạn bắc sông Hoài và đất Tống, là đất mà Sở và Ngụy muốn có, nếu Triệu đồng ý liên kết, bốn nước cùng tấn công, có thể phá được Tề.' Tiên vương cho là phải, bèn giao hết binh phù, sai thần xuống phía nam đến Triệu. Sau khi thần về, dấy binh đánh Tề. Nhờ đạo trời và uy võ của tiên vương, đất phía bắc Hoàng Hà theo tiên vương rồi kéo đến trên sông Tế. Quân ở trên sông Tế nhận lệnh đánh Tề, đại phá quân Tề. Tinh binh đuổi dài đến quốc đô nước Tề. Tề vương trốn đến đất Cử, chỉ thoát được thân; châu ngọc, của nả, xe cộ, giáp binh, đồ quý thảy bị thu hết mang về Yên. Đồ của Tề đặt ở Ninh Đài, chuông Đại lý đặt tại cung Nguyên Anh, đỉnh cũ trở về cung Ma Thất, trúc bên sông Vấn đưa về trồng ở Kế Khưu, từ Ngũ bá trở đi, không ai sánh công được với tiên vương. Tiên vương cho chí đã thỏa, cho nên cắt đất phong cho, khiến thần được thành nước chư hầu nhỏ. Thần trộm không tự biết, cho là mình vâng lệnh noi theo, may mà không bị tội, cho nên nhận lệnh không từ. Thần nghe bậc vua hiền thánh, lập công nghiệp mà không bị phế, cho nên chép vào sách Xuân thu, kẻ sĩ hiểu biết, thành danh tiếng mà không bị hủy, cho nên được đời sau khen ngợi. Như việc tiên vương báo thù rửa nhục, san phẳng nước mạnh có muôn cỗ xe, thu hết đồ tích trữ tám trăm năm, đến ngày từ bỏ quần thần mà đi, lời dạy chưa dứt, kẻ bề tôi nắm chính sự, sửa sang pháp lệnh, thận trọng với con em hoàng tộc, thi hành rộng khắp trăm họ, thảy đều có thể dạy bảo đời sau. Thần nghe nói, người giỏi khởi xướng chưa chắc giỏi hoàn thành, khởi đầu tốt chưa chắc kết thúc tốt. Xưa Ngũ Tử Tư nói Hạp Lư nghe theo, nên dấu tích Ngô vương đến tận đất Dĩnh; Phù Sai không như thế, ban túi da bắt tự sát rồi thả trôi trên sông Trường Giang. Ngô vương không nhận ra những lời Ngũ Tử Tư trước đây có thể lập công, cho nên khiến Tử Tư chết chìm mà không hối hận, Tử Tư không sớm thấy chúa không thể cùng bàn, nên đến nỗi bị vứt xuống Trường Giang mà lòng không thay đổi. Xét, thoát thân lập công, nhằm làm sáng sự nghiệp tiên vương, là cách suy nghĩ của thần. Tránh xa lời gièm pha sỉ nhục, làm mất danh tiếng của tiên vương, là nỗi sợ lớn của thần. Mắc vào tội không lường trước, nhờ may được lợi, cũng không dám ra khỏi đạo nghĩa. Thần nghe quân tử thời xưa, tuy tuyệt giao cũng không nói xấu nhau; tôi trung bỏ nước, không làm sạch tên tuổi mình. Thần tuy bất tài, cũng nhiều lần được quân tử chỉ giáo, chỉ sợ kẻ thân thiết bên đại vương, lời gièm của đám tả hữu, không xét đức hạnh của kẻ chốn xa, nên dám xin trình thư nói rõ, mong quân vương lưu tâm cho.”
於是燕王复以乐毅子乐间为昌国君； 而乐毅往来复通燕，燕、赵以为客卿。	Thế rồi Yên vương lại phong con Nhạc Nghị là Nhạc Can làm Xương Quốc quân; Còn Nhạc Nghị vẫn qua lại Yên, Yên và Triệu đều coi là khách khanh.
乐毅卒於赵。	Nhạc Nghị chết ở Triệu.
乐间居燕三十馀年，燕王喜用其相栗腹之计， 欲攻赵，而问昌国君乐间。	Nhạc Can, Nhạc Thừa Nhạc Can ở Yên hơn ba mươi năm, Yên vương là Hỷ theo kế của Tể tướng Lật Phúc, muốn đánh Triệu, bèn hỏi Xương Quốc quân Nhạc Can.
乐间曰：“赵，四战之国 也， 其民习兵，伐之不可。”	Nhạc Can nói: “Triệu là nước giao chiến tứ phương, dân quen việc binh, không thể đánh được.”
燕王不听， 遂伐赵。	Yên vương không nghe, bèn đánh Triệu.
赵使廉颇击之，大破栗腹之军於鄗，禽栗腹、乐乘。	Triệu sai Liêm Pha ra đánh, cả phá quân của Lật Phúc ở đất Hạo, bắt sống Lật Phúc, Nhạc Thừa.
於是乐间奔赵，赵遂围燕。	Thế rồi Nhạc Can chạy sang Triệu, Triệu liền bao vây Yên.
燕重割地以与赵和，赵 乃解而去。	Yên phải cắt đất giảng hòa với Triệu, Triệu mới lui quân.
燕王恨不用乐间，乐间既在赵，乃遗乐间书曰：“纣之时，箕子 不用，犯谏不怠，以冀其听；商容不达，身祇辱焉，以冀其变。及民 志不入，狱囚自出， 然後二子退隐。故纣负桀暴之累， 二子不失忠圣之名。何者？其忧患之尽矣。今寡人虽愚，不若纣之暴 也；燕民虽乱，不若殷民之甚也。室有语，不相尽，以告邻里。 二者，寡人不为君取 也。”	Yên vương hối hận vì không nghe Nhạc Can, khi Nhạc Can đã sang Triệu, bèn gửi thư cho Nhạc Can, ghi: “Thời vua Trụ, Cơ tử không được dùng lại dám mạo phạm, can gián không thôi, hy vọng nhà vua nghe theo; Thương Dung không được dùng, bản thân chịu nhục, mong mỏi Trụ vương thay đổi. Khi lòng dân không hướng về, giám ngục tự thả tù nhân, sau hai ông mới thoái ẩn. Cho nên Trụ vương chịu lụy vì sự tàn bạo, hai ông không mất danh là bậc thánh trung thành. Sao vậy? Bởi họ đã lo lắng hết mức. Nay quả nhân tuy ngu muội nhưng không bạo tàn như Trụ vương, dân Yên tuy loạn lạc cũng không quá mức như dân Ân. Trong nhà có chuyện, không nên nói với láng giềng. Hai điều đó, quả nhân không cho ông làm đúng.”
乐间、乐乘怨燕不听其计，二人卒留赵。	Nhạc Can và Nhạc Thừa oán Yên vương không theo kế của mình, cuối cùng hai người ở lại Triệu.
赵封乐乘为武襄君。	Triệu Phong Nhạc Thừa là Vũ Tương quân.
其明年，乐乘、廉颇为赵围燕，燕重礼以和，乃解。	Năm sau, Nhạc Thừa, Liêm Pha đem quân Triệu bao vây Yên, Yên mang hậu lễ cầu hòa, bèn giải vây về.
後五岁，赵 孝成王卒。	Năm năm sau, Hiếu Thành vương nước Triệu chết.
廉颇攻乐乘，乐乘走，廉颇亡入魏。	Liêm Pha tấn công Nhạc Thừa, Nhạc Thừa chạy, Liêm Pha trốn sang Ngụy.
其後十六年而秦灭赵。	Mười sáu năm sau, Tần diệt Triệu.
其後二十馀年，高帝过赵，问：“乐毅有後世乎？”	Hơn hai mươi năm sau, Cao đế đi qua Triệu, hỏi: “Nhạc Nghị còn con cháu không?”
对曰：“有 乐叔。”	Đáp rằng: “Có Nhạc thúc.”
高帝封之乐卿， 号曰华成君。	Cao đế phong cho đất Nhạc Khanh, hiệu là Hoa Thành quân.
华成君，乐毅之孙也。	Hoa Thành quân là cháu nội Nhạc Nghị.
而乐氏之族有乐瑕 公、乐臣公，赵且为秦所灭，亡之齐高密。	Họ Nhạc có Nhạc Hà công, Nhạc Thần Công, sau khi Triệu bị Tần tiêu diệt, họ trốn sang Cao Mật nước Tề.
乐臣 公善修黄帝、老子之言，显闻於齐，称贤师。	Nhạc Thần công giỏi nghiên cứu đạo Hoàng-Lão, nổi danh ở Tề, được xưng tụng là thầy giỏi.
太史公曰：始齐之蒯通及主父偃读乐毅之报燕王书，未尝不废书 而泣也。	Thái sử công bàn rằng: Trước Khoái Thông ở Tề đến Chủ Phụ Yển đọc thư Nhạc Nghị gửi lại Yên vương, chưa lần nào không buông thư mà khóc.
乐臣公学黄帝、老子，其本师号曰河上丈人，不知其所出。	Nhạc Thần công học đạo Hoàng-Lão, tổ sư của ông hiệu Hà thượng trượng nhân, không rõ gốc gác.
襄王使乐乘代廉颇。	Tương vương sai Nhạc Thừa thay Liêm Pha.
河上丈人教安期生，安期生教毛翕公，毛翕公教乐瑕公，乐瑕公教乐 臣公，乐臣公教盖公。 盖公教於齐高密、胶西，为曹相国师。 昌国忠谠，人臣所无。 连兵五国，济西为墟。	Hà thượng trượng nhân dạy An Kỳ Sinh, An Kỳ Sinh dạy Mao Hấp công, Mao Hấp công dạy Nhạc Hà công, Nhạc Hà công dạy Nhạc Thần công, Nhạc Thần công dạy Hấp công.
