吴王濞者，高帝兄刘仲之子也。	Ngô vương Tỵ là con trai của Lưu Trọng, anh trai Cao đế.
会孝惠、高后时，天下初定，郡国诸侯各务自拊循其民。	Đến thời Hiếu Huệ đế, Cao hậu, thiên hạ mới yên định, chư hầu các quận trong nước ai nấy chuộng việc tự vỗ về dân chúng.
吴有豫 章郡铜山， 濞则招 致天下亡命者铸钱，煮海水为盐，以故无赋，国用富饶。	Nước Ngô có núi đồng ở quận Dự Chương, Tỵ liền chiêu mộ những kẻ vong mạng trong thiên hạ để đúc [trộm] tiền, nấu nước biển làm muối, vì thế không thu thuế, mà của cải chi dùng trong nước đầy đủ.
孝文时，吴太子入见， 得侍皇太子饮博。	Thời Hiếu Văn đế, Thái tử nước Ngô vào triều kiến, được hầu Hoàng thái tử uống rượu, đánh bạc.
吴太子师傅皆楚人，轻悍，又素骄，博，争 道，不恭，皇太子引博局提吴太子，杀之。	Thầy dạy Thái tử nước Ngô đều là người Sở, nóng nảy hung hăng, lại vốn kiêu ngạo, đánh bạc, tranh giành, không cung kính, Hoàng thái tử cầm bàn chơi bạc ném Thái tử nước Ngô, giết chết.
於是遣其丧归葬。	Thế rồi sai đưa ma về táng.
至吴，吴王愠曰：“天下 同宗，死长安即葬长安，何必来葬为！”	Đến nước Ngô, Ngô vương tức giận nói: “Cùng một họ trong thiên hạ, chết ở Trường An thì chôn ở Trường An, sao phải nhất quyết mang về đây chôn!”
吴王由此 稍失籓臣之礼，称病不朝。	Ngô vương vì thế dần dần bỏ lễ phiên thần, thác bệnh không vào chầu.
京师知其以子故称病不朝，验问实不病， 诸吴使来，辄系责治之。	Triều đình biết ông ta vì việc của con nên thác bệnh không vào chầu, xét hỏi biết thực sự không có bệnh, các sử thần nước Ngô đến, bị bắt trói, trách tội rồi trừng trị.
吴王恐，为谋滋甚。	Ngô vương sợ hãi, nghĩ mưu kế chu toàn.
及後使人为秋请， 上复责问吴使者，使者对 曰：“王实不病，汉系治使者数辈，以故遂称病。且夫‘察见渊中 鱼，不祥’。 今王始诈病，及觉，见责急，愈益闭，恐上诛之，计乃无聊。 唯上弃之而与更始。”	Về sau, sai người đi triều kiến vào mùa thu, Hoàng thượng lại trách hỏi sứ nước Ngô, sứ giả thưa rằng: “Ngô vương thực sự không có bệnh, nhà Hán nhiều lần bắt trói trị tội sứ giả, cho nên thác bệnh. Vả lại xét thấy con cá dưới vực, không tốt lành. Nay Ngô vương mới và có bệnh, khi chuyện phát giác, thấy bị trách tội gắt gao, càng phải giữ kín, sợ Hoàng thượng xử tử, nhưng không biết tính thế nào. Chỉ có Hoàng thượng mới bỏ qua cho để bắt đầu lại từ đầu.”
於是天子乃赦吴使者归之，而赐吴王几杖， 老，不朝。	Thế là thiên tử bèn xá tội cho sứ giả nước Ngô về, còn ban cho Ngô vương ghế ngồi và gậy chống, cho là tuổi già, không cần vào chầu.
然其居国以铜盐故，百姓无赋。	Do nước phong của Ngô vương có đồng và muối, trăm họ không phải đóng thuế.
如此者四十馀年， 以故能使其众。	Cứ thế hơn bốn mươi năm, có thể sai khiến được dân chúng.
晁错为太子家令，得幸太子，数从容言吴过可削。	Triều Thố làm Thái tử gia lệnh, được Thái tử tin yêu, nhiều lần lựa lúc thong dong nói lỗi lầm của Ngô vương đáng bị tước đất phong.
数上书说孝文 帝，文帝宽，不忍罚，以此吴日益横。	Lại nhiều bận dâng thư nói với Hiếu Văn đế, Văn đế khoan dung, không nỡ trừng phạt, do đó Ngô vương ngày càng ngang ngược.
及孝景帝即位，错为御史大 夫，说上曰：“昔高帝初定天下，昆弟少，诸子弱，大封同姓，故王 孽子悼惠王王齐七十馀城，庶弟元王王楚四十馀城，兄子濞王吴五十 馀城：封三庶孽，分天下半。今吴王前有太子之郄，诈称病不朝，於 古法当诛，文帝弗忍，因赐几杖。德至厚，当改过自新。乃益骄溢， 即山铸钱，煮海水为盐，诱天下 亡人，谋作乱。今削之亦反，不削之亦反。削之，其反亟，祸小；不 削，反迟，祸大。”	Đến khi Hiếu Cảnh đế lên ngôi, Thố làm Ngự sử đại phu, nói với Hoàng thượng rằng: “Xưa kia Cao đế mới yên định thiên hạ, anh em ít, các con còn non yếu, nên phong nhiều người cùng họ, vì thế con thứ Điệu Huệ vương làm vua hơn bảy mươi thành cấp nước Tề, em thứ Nguyên vương làm vua hơn bốn mươi thành nước Sở, con của anh là Tỵ làm vua hơn năm mươi thành nước Ngô: phong ba người con thuộc ngành thứ, chia nửa thiên hạ. Nay Ngô vương trước có hiềm với Thái tử, vờ có bệnh không vào chầu, theo phép xưa đáng chém, Văn đế không nỡ, nhân đó ban cho ghế ngồi và gậy chống. Đức rất hậu, đáng lẽ nên sửa lỗi tự thay đổi. Thế nhưng lại càng kiêu căng quá đáng, lấy đồng núi để đúc tiền, nấu nước biển làm muối, dụ dỗ kẻ bỏ trốn trong thiên hạ, âm mưu làm loạn. Nay tước đất phong cũng phản, không tước cũng làm phản. Tước bỏ thì nhanh làm phản; không tước bỏ thì phản chậm hơn, mối họa lớn.”
三年冬，楚王朝，晁错因言楚王戊往年为薄太后 服，私奸服舍，请诛 之。	Mùa đông năm Cảnh đế thứ ba, Sở vương vào chầu, Triều Thố nhân đó nói việc Sở vương là Mậu năm trước chịu tang Bạc Thái hậu, gian dâm ở nhà chịu tang, xin xử chém.
诏赦，罚削东海郡。	Chiếu xá tội, phạt tước bỏ quận Đông Hải.
因削吴之豫章郡、会稽郡。	Nhân đó tước bỏ quận Dự Chương và quận Cối Kê của Ngô vương.
及前二年赵王有 罪，削其河间郡。	Hai năm trước, Triệu vương có tội, bị tước mất quận Hà Gian.
吴王濞恐削地无已，因以此发谋，欲举事。	Ngô vương Tỵ sợ bị tước bỏ nhiều đất phong, nhân đó âm mưu, muốn khởi sự.
念 诸侯无足与计谋者，闻胶西王勇，好气，喜兵，诸齐 皆惮畏，於是乃使中大夫应高 誂胶西王。	Cho rằng chư hầu không nước nào đủ để cùng bàn mưu kế, nghe nói Giao Tây vương dùng lực, thích tranh đua, ưa dụng binh, các nước nhỏ trong đất Tề đều sợ, do đó sai Trung đại phu Ứng Cao lôi kéo Giao Tây vương.
无文书，口报曰：“吴王不肖，有宿夕之 忧，不敢自外，使喻其驩心。”	Không gửi thư, truyền khẩu báo rằng: “Ngô vương kém cỏi, có nỗi lo sớm tối, không dám tự tiết lộ, phái tôi đến để nói rõ hảo ý.”
王曰：“何以教之？”	Giao Tây vương hỏi: “Có điều gì chỉ dạy ta vậy?”
高曰：“今者 主上兴於奸，饰於邪臣，好小善，听谗贼，擅变更律令，侵夺诸侯之 地，徵求滋多，诛罚良善，日以益甚。里语有之，‘舐(cid:0)及米’。 吴与胶西，知名诸侯也， 一时见察，恐不得安肆矣。吴王身有内病，不能朝请二十馀年，尝患 见疑，无以自白，今胁肩累足，犹惧不见释。窃闻大王以爵事有適， 所闻诸侯削地，罪不至此，此恐不得削地而已。”	Cao nói: “Nay chúa thượng cất nhắc gian thần, tán dương bề tôi tà vạy, thích điều thiện nhỏ, nghe lời sàm tấu của bọn tiện nhân, tự tiện thay đổi luật lệnh, xâm đoạt đất đai chư hầu, chỉ mong ngày càng nhiều thêm, giết và xử tội người thiện lương, ngày càng quá quắt. Trong làng xóm có người nói, 'liếm vỏ trấu rồi ăn đến hạt gạo.' Ngô với Giao Tây, đều là chư hầu có tiếng, nhất thời bị xét đến, sợ không được yên ổn. Ngô vương có bệnh trong người, không thể vào chầu hơn hai mươi năm, từng lo bị nghi ngờ, không biết tự thanh minh, nay rụt cổ so vai, còn sợ không được tha. Trộm nghe đại vương bị trách tội bán chức tước, bị tước đất phong, mà tôi chưa đến mức ấy, vì thế sợ không chỉ bị tước đất mà thôi.”
王 曰：“然，有之。子将柰何？”	Giao Tây vương nói: “Phải, có việc đó, ngài nghĩ xem có cách nào không?”
高曰：“同恶相助，同好相留，同情 相成，同欲相趋，同利相死。今吴王自以为与大王同忧，原因时循 理，弃躯以除患害於天下，亿亦可乎？”	Cao nói: “Cùng chung oán ghét thì tương trợ lẫn nhau, cùng chung yêu thích thì phụ họa cho nhau, cùng chung tình ý thì thành toàn cho nhau, cùng chung ham muốn thì truy cầu cho nhau, cùng chung lợi ích thì sống chết có nhau. Nay Ngô vương tự cho mình chung nỗi lo với đại vương, mong thuận thời thế, quên thân trừ họa trong thiên hạ, liệu có được chăng?”
王瞿然骇曰： “寡人何敢如是？今主上虽 急，固有死耳，安得不戴？”	Giao Tây vương kinh ngạc nói: “Quả nhân sao dám thế? Nay chúa thượng tuy nóng vội, ta vốn có tội chết, sao dám bất kính?”
高曰：“御史大夫晁错，荧惑天子，侵 夺诸侯，蔽忠塞贤，朝廷疾怨，诸侯皆有倍畔之意，人事极矣。彗星 出，蝗蟲数起，此万世一时，而愁劳圣人之所以起也。 故吴王欲内以晁错为讨，外随大王後车，彷徉 天下，所乡者降，所指者下，天下莫敢不服。大王诚幸而许之一言， 则吴王率楚王略函谷关，守荥阳敖仓之粟，距汉兵。治次舍，须大 王。大王有幸而临之，则天下可并，两主分割，不亦可乎？”	Cao nói: “Ngự sử đại phu Triều Thố, mê hoặc thiên tử, xâm đoạt chư hầu, che lấp trung lương, cản trở hiền tài, triều đình oán ghét, chư hầu đều có ý bội phản, nhân tình sự lý đã đến cực điểm. Sao chổi và châu chấu nhiều lần xuất hiện, đó là cơ hội muôn đời có một, còn lo sầu lao khổ là nguyên do khiến thành nhân trỗi dậy. Cho nên Ngô vương muốn trong thì lấy danh nghĩa hỏi tội Triều Thố, ngoài thì theo sau xe của đại vương, ruổi rong thiên hạ, hướng về đâu, đó phải hàng, trỏ vào đâu, liền bị hạ, thiên hạ không ai dám không phục. Nếu may mắn được đại vương đồng ý một tiếng, Ngô vương sẽ thống lãnh Sở vương đoạt cửa Hàm Cốc, giữ kho lương Ngao Thương ở Huỳnh Dương, chống nhau với quân Hán. Việc sắp đặt quân doanh, còn chờ đại vương. Nếu may mắn đại vương đến đó thì có thể thôn tính thiên hạ, hai vị chúa chia đôi, chẳng cũng khả dĩ ư?”
王 曰：“善。”	Giao Tây vương nói: “Phải.”
高归报吴王，吴王犹恐其不与，乃身自为使，使於胶 西，面结之。	Cao về báo lại Ngô vương, Ngô vương còn sợ Giao Tây vương không theo, bèn đích thân làm sứ giả, đến chỗ Giao Tây vương, gặp mặt kết minh.
胶西群臣或闻王谋，谏曰：“承一帝，至乐也。今大王与吴西 乡，弟令事成，两主分争，患乃始结。诸侯之地不足为汉郡什二，而 为畔逆以忧太后，非长策也。”	Bề tôi của Giao Tây vương có người biết âm mưu, liền can rằng: “Thờ một hoàng đế, rất vui vậy. Nay đại vương cùng Ngô vương hướng sang tây, giả sử việc thành, hai chúa phân tranh, họa dấy từ đấy. Đất đai của chư hầu không bằng hai phần mười các quận nhà Hán, còn làm việc loạn nghịch sẽ khiến Thái hậu lo lắng, không phải kế sách lâu dài vậy.”
王弗 听。	Giao Tây vương không nghe.
遂发使约齐、菑川、胶东、济南、济北，皆许诺，而曰“城阳景 王有义，攻诸吕，勿与，事定分之耳”。	Bèn phái sứ giả ước định với Tề, Truy Xuyên, Giao Động, Tế Nam, Tế Bắc, đều đồng ý, rồi nói: “Thành Dương Cảnh vương có nghĩa khí, tấn công người họ Lã, chớ ước định với ông ta, việc xong sẽ chia phần cho.”
及削吴会稽、豫章郡书至，则 吴王先起兵，胶西正月丙午诛汉吏二千石以下，胶东、菑川、济南、 楚、赵亦然，遂发兵西。	Khi văn thư tước bỏ quận Cối Kê và Dự Chương của nước Ngô gửi tới, thì Ngô vương đã khởi binh trước, ngày Bính Ngọ tháng Giêng, Giao Tây vương giết những quan lại nhà Hán trật hai nghìn thạch trở xuống, Giao Đông vương, Truy Xuyên vương, Tế Nam vương, Sở vương, Triệu vương cũng làm tương tự, rồi phát binh kéo sang tây.
齐王後悔，饮药自杀，畔约。	Tề vương sau đó hối hận, uống thuốc độc tự sát, phản lại minh ước.
济北王城坏未 完，其郎中令劫守其王，不得发兵。	Tế Bắc vương thành trì hư hại chưa sửa xong, Lang trung lệnh của Tế Bắc vương bắt giữ vua mình, nên không phát binh được.
赵王遂亦反，阴使匈奴与连兵。	Triệu vương Toại cũng làm phản, ngầm sai sứ đến Hung Nô liên quân.
七国之发也，吴王悉其士卒，下令国中曰：“寡人年六十二， 身自将。少子年十四，亦为士卒 先。诸年上与寡人比，下与少子等者，皆发。”	Bảy nước chư hầu phát động phản loạn, Ngô vương huy động toàn bộ sĩ tốt, hạ lệnh cho người trong nước: “Quả nhân sáu mươi hai tuổi, đích thân làm tướng. Con út mười bốn tuổi, cũng đi đầu sĩ tốt. Những người, trên từ tuổi quả nhân, dưới xuống đến con trẻ, thảy đều xuất phát.”
发二十馀万人。	Phát động hơn hai mươi vạn người.
南使 闽越、东越，东越亦发兵从。	Phía nam phái sứ đến Mân Việt, Đông Việt; Đông Việt cũng phát binh theo.
孝景帝三年正月甲子，初起兵於广陵。	Hiếu Cảnh đế năm thứ ba, ngày Giáp Tý tháng Giêng, bắt đầu dấy binh ở Quảng Lăng.
西涉淮，因并楚兵。	Phía tây vượt sông Hoài, nhân đó thôn tính quân Sở.
发使遗诸侯书曰：“吴王刘 濞敬问胶西王、胶东王、菑川王、济南王、赵王、楚王、淮南王、衡 山王、庐江王、故长沙王子： 幸教寡人！以汉有贼臣，无功 天下，侵夺诸侯地，使吏劾系讯治，以僇辱之为故， 不以诸侯人君礼遇刘氏 骨肉，绝先帝功臣，进任奸宄，诖乱天下，欲危社稷。陛 下多病志失，不能省察。欲举兵诛之，谨闻教。敝国虽狭，地方三千 里；人虽少，精兵可具五十万。寡人素事南越三十馀年，其王君皆不 辞分其卒以随寡人，又可得三十馀万。寡人虽不肖，原以身从诸王。 越直长沙者，因 王子定长沙以北， 西走蜀、 汉中。 告越、 楚王、淮南三王，与寡人西面； 齐诸王与赵王定河间、河内，或入临晋关，或与 寡人会雒阳；燕王、赵王固与胡王有约，燕王北定代、云中，抟胡众 入萧关， 走长安，匡正天子，以安高庙。原王勉之。楚元王子、淮南三 王或不沐洗十馀年，怨入骨髓，欲一有所出之久矣，寡人未得诸王之 意，未敢听。今诸王苟能存亡继绝，振弱伐暴，以安刘氏，社稷之所 原也。敝国虽贫，寡人节衣食之用，积金钱，脩兵革，聚穀食，夜以 继日，三十馀年矣。凡为此，原诸王勉用之。能斩捕大将者，赐金五 千斤，封万户；列将，三千斤，封五千户；裨将，二千斤，封二千 户；二千石，千斤，封千户；千石，五百斤，封五百户：皆为列侯。 其以军若城邑降者，卒万人，邑万户，如得大将；人户五千，如得列 将；人户三千，如得裨将；人户千，如得二千石；其小吏皆以差次受 爵金。佗封赐皆倍军法。其有故爵 邑者，更益勿因。原诸王明以令士大夫，弗敢欺也。寡人金钱在天下 者往往而有，非必取於吴，诸王日夜用之弗能尽。有当赐者告寡人， 寡人且往遗之。敬以闻。”	Phái sứ đưa thư đến chư hầu rằng: “Ngô vương Lưu Tỵ kính hỏi Giao Tây vương, Giao Đông vương, Truy Xuyên vương, Tế Nam vương, Triệu vương, Sở vương, Hoài Nam vương, Hành Sơn vương, Lô Giang vương cùng con của cố Trường Sa vương: xin chỉ giáo cho quả nhân! Vì nhà Hán có gian thần, không có công với thiên hạ, xâm đoạt đất đai chư hầu, sai quan lại đàn hặc, bắt trói, tra hỏi, trị tội, coi việc khinh nhục chư hầu là giỏi, không dùng lễ dành cho vua chư hầu đối đãi với cốt nhục họ Lưu, tuyệt giao với công thần của tiên đế, tiến cử giao chức cho kẻ gian tà, lừa bịp làm loạn thiên hạ, muốn khiến xã tắc lâm nguy. Bệ hạ nhiều bệnh, thần chí thất thường, không thể xét rõ. Muốn cất quân để giết chúng, xin kính cẩn nghe chỉ giáo. Tệ quốc tuy nhỏ, đất vuông ba nghìn dặm; người tuy ít, tinh binh chỉ có năm mươi vạn. Quả nhân vốn thờ Nam Việt hơn ba mươi năm, quốc vương và quân trưởng nơi đó đều không từ chối, chia quân cho theo quả nhân, cũng được hơn ba mươi vạn. Quả nhân dẫu bất tài, nguyện đem quân này theo chư vương. Đất Việt thẳng tới Trường Sa, do con của Trường Sa vương bình định từ phía bắc Trường Sa sang phía tây đến đất Thục và Hán Trung. Báo cho ba vương là Việt vương, Sở vương, Hoài Nam vương, cùng quả nhân tiến sang tây; các vương ở Tề cùng Triệu vương bình định Hà Gian, Hà Nội, một vào cửa Tấn Dương, một cùng quả nhân hội quân ở Lạc Dương; Yên vương, Triệu vương vốn có ước định với quân Hồ, Yên vương lên phía bắc bình định đất Đại và Vân Trung, thống lãnh quân Hồ kéo vào Tiêu Quan, xông thẳng đến Trường An, khuông phò và chỉ chính cho thiên tử, đặng yên Cao miếu. Xin các vương hãy gắng sức. Con trai Sở Nguyên vương, ba quốc vương ở Hoài Nam có người không tắm gội hơn mười năm, oán tận xương tủy, từ lâu đã muốn có cơ hội phát tiết ra, quả nhân chưa biết ý của chư vương, chưa dám nghe theo. Nay chư vương nếu có thể bảo tồn nước diệt vong, nối lại dòng đã dứt, chấn hưng cho kẻ yếu, thảo phạt kẻ hung bạo, đặng khiến họ Lưu được yên, đó là điều ước muốn của xã tắc vậy. Tệ quốc dẫu nghèo, quả nhân bớt ăn bớt mặc, tích tiền vàng, sửa khí giới, trữ lương thảo, hết đêm lại ngày, hơn ba mươi năm rồi. Phàm các việc ấy đều vì chuyện này, xin chư vương hãy gắng dùng. Ai chém bắt được đại tướng, sẽ ban thưởng năm nghìn cân vàng, phong cho vạn hộ; chém bắt được hàng tướng, được thưởng ba nghìn cân, phong năm nghìn hộ; hàng tỳ tướng được hai nghìn cân, phong hai nghìn hộ; hàng hai nghìn thạch được nghìn cân, phong nghìn hộ; hàng nghìn thạch được năm trăm cân, phong năm trăm hộ: đều được phong liệt hầu. Ai đem quân hay thành ấp đến hàng, nếu đem đến quân lính vạn người hay thành ấp vạn hộ, ban thưởng như chém bắt được đại tướng; quân lính năm nghìn, thành ấp năm nghìn hộ thì như chém bắt được tướng; quân ba nghìn, thành ấp ba nghìn hộ thì như chém bắt được tỳ tướng; quân một nghìn, thành ấp nghìn hộ thì như chém bắt được hạng hai nghìn thạch; dẫu tiểu lại đến hàng cũng xét thứ bậc trao tước hay vàng. Các mức phong tặng khác đều theo quan công mà tăng. Ai có tước hay ấp phong từ trước, càng thưởng thêm, không giữ mức cũ. Xin chư vương nhớ rõ để lệnh sĩ đại phu, không dám dối gạt. Vàng tiền của quả nhân trong thiên hạ đâu đâu cũng có, không nhất nhất phải lấy từ nước Ngô, chư vương ngày đêm sử dụng cũng không hết. Ai đáng được thưởng thì báo với quả nhân, quả nhân sẽ đến thưởng cho. Vậy kính báo.”
七国反书闻天子，天子乃遣太尉条侯周亚夫将三十六将军，往击 吴楚；遣曲周侯郦寄击赵；将军栾布击齐；大将军窦婴屯荥阳，监齐 赵兵。	Thư làm phản của bảy nước đến tai thiên tử, thiên tử liền sai Thái úy Điều hầu Chu Á Phu đem ba mươi sáu tướng đi đánh Ngô, Sở; sai Khúc Chu hầu Lịch Kỳ đánh Triệu; tướng quân Loan Bố đánh Tề; đại tướng quân Đậu Anh đóng quân ở Huỳnh Dương, giám sát quân Tề và Triệu.
吴楚反书闻，兵未发，窦婴未行，言故吴相袁盎。	Thư phản của Ngô, Sở đã báo lên, quân chưa xuất phát, Đậu Anh chưa lên đường, nói về nguyên Thừa tướng nước Ngô là Viên Áng.
上方与晁错调兵笇军食，上问袁盎曰：“君尝为吴相，知吴 臣田禄伯为人乎？今吴楚反，於公何如？”	Hoàng thượng đang cùng Triều Thố điều binh và tính toán quân lương, Hoàng thượng hỏi Viên Áng: “Ngài từng làm Thừa tướng nước Ngô, có biết bề tôi nước Ngô là Điền Lộc Bá là người thế nào không? Nay Ngô, Sở làm phản, ngài thấy thế nào?”
对曰：“不足忧也，今破 矣。”	Áng đáp: “Không đáng lo, sẽ phá được thôi.”
上曰：“吴王即山铸钱，煮海水为盐，诱天下豪桀，白头举 事。若此，其计不百全，岂发乎？何以言其无能为也？”	Hoàng thượng nói: “Ngô vương nhờ núi có đồng đúc tiền, nấu nước biển làm muối, lôi kéo hào kiệt thiên hạ, bạc đầu rồi mới khởi sự. Do vậy, kế của ông ta không phải vẹn toàn, há có thể phát động ư? Sao lại nói ông ta không làm được gì?”
袁盎对 曰：“吴有铜盐利则有之，安得豪桀而诱之！诚令吴得豪桀，亦且辅 王为义，不反矣。吴所诱皆无赖子弟，亡命铸钱奸人，故相率以 反。”	Viên Áng đáp rằng: “Nước Ngô có nguồn đồng và muối, lợi thì có đấy, nhưng sao lôi kéo được hào kiệt! Nếu Ngô có được hào kiệt, cũng sẽ phụ giúp nhà vua thi hành việc nghĩa, không làm phản đâu. Ngô lôi kéo đều là bọn con em vô lại, đám gian tà vong mạng đúc vàng trộm, cho nên kéo nhau làm phản.”
晁错曰：“袁盎策之善。”	Triều Thố nói: “Viên Áng tính rất phải.”
上问曰：“计安出？”	Hoàng thượng hỏi: “Vậy phải thi hành kế sách gì?”
盎曰：“臣所言，人臣不得知 也。” 乃屏错。	Áng nói: “Điều thần nói, kẻ làm bề tôi không được biết vậy.” Hoàng thượng bèn đuổi Thố ra.
上卒问盎，盎对曰：“吴楚相遗 书，曰‘高帝王子弟各有分地，今贼臣晁错擅適过诸侯， 削夺之地’。故以反为名，西共诛晁错，复故地而罢。 方今计独斩晁错，发使赦吴楚七国，复其故削地，则兵可无血刃而俱 罢。”	Hoàng thượng liền hỏi Áng, Áng đáp: “Ngô, Sở cùng truyền thư, nói: 'Cao đế phong vương cho con em, ai nấy đều có đất phong, nay tặc thần là Triều Thố chuyên vạch lỗi chư hầu, tước mất đất phong.' Cho nên lấy danh nghĩa đó để làm phản, kéo sang tây cùng giết Triều Thố, khôi phục đất cũ mà thôi. Nay chỉ có cách chém Thố, sai sứ đến xá tội bảy nước Ngô, Sở, khôi phục đất cũ bị tước, thì vũ khí không dính máu mà đều bãi binh.”
於是上嘿然良久，曰：“顾诚何如，吾不爱一人以谢天 下。”	Nghe vậy Hoàng thượng trầm ngâm hồi lâu, nói: “Xét thấy thực không biết phải làm sao, ta không thể tiếc một người để tạ lỗi với thiên hạ.”
盎曰：“臣愚计无出此，原上孰计之。”	Áng nói: “Thần ngu muội không nghĩ được kế khác, xin bệ hạ xét cho kỹ.”
乃拜盎为太常， 吴王弟子德侯为宗正。	Bèn phong Áng làm Thái thường, phong con người em của Ngô vương là Đức hầu giữ chức Tông chính.
後十馀日，上使中尉召错，绐载行东市。	Hơn chục ngày sau, Hoàng thượng sai quan Trung úy triệu Thố, lừa ngồi xe đi ra chợ phía đông.
至吴，吴楚兵已攻梁壁矣。	Đến Ngô, quân Ngô, Sở đã tấn công doanh lũy đất Lương.
宗正以亲故，先入见，谕吴王使拜受 诏。	Tông chính vì là thân thích, được vào gặp trước, khuyên dụ Ngô vương với nhận chiếu chỉ.
吴王闻袁盎来，亦知其欲说己，笑而应曰：“我已为东帝，尚何 谁拜？”	Ngô vương nghe nói Viên Áng tới, cũng biết là muốn thuyết phục, cười đáp: “Ta đã là Hoàng đế phía đông, còn phải bái lạy ai nữa?”
不肯见盎而留之军中，欲劫使将。	Không chịu gặp Áng rồi giữ lại trong quân, định ép Áng làm tướng.
盎不肯，使人围守，且杀 之，盎得夜出，步亡去，走梁军，遂归报。	Áng không chịu, Ngô vương sai người canh giữ, sắp giết Áng, ban đêm Áng lẻn được ra, đi bộ bỏ trốn, chạy đến quân Lương, rồi về triều báo tin.
条侯将乘六乘传，会兵荥阳。	Điều hầu đem sáu cỗ xe dịch trạm đến hội quân ở Huỳnh Dương.
至雒阳，见 剧孟，喜曰：“七国反，吾乘传至此，不自意全。 又以为诸侯已得剧孟，剧孟今无动。吾据荥阳，以东 无足忧者。”	Tới Lạc Dương, gặp Kịch Mạnh, mừng nói: “Bảy nước làm phản, tôi đi xe dịch trạm đến đây, không nghĩ là được an toàn. Lại cho là chư hầu đã lôi kéo được Kịch Mạnh, nay Kịch Mạnh không có động tĩnh gì, tôi chiếm Huỳnh Dương, từ đây về đông không có gì đáng lo nữa.”
至淮阳，问父绛侯故客邓都尉曰：“策安出？”	Tới Hoài Dương, Điều hầu hỏi Đặng Đô úy, môn khách cũ của cha mình là Giáng hầu, rằng: “Phải đưa ra đối sách gì?”
客 曰：“吴兵锐甚，难与争锋。楚兵轻，不能久。方今为将 军计，莫若引兵东北壁昌邑，以梁委吴，吴必尽锐攻之。将军深沟高 垒，使轻兵绝淮泗口，塞吴饟道。彼吴梁相敝而粮食竭，乃以全彊制 其罢极，破吴必矣。”	Đặng Đô úy đáp: “Quân Ngô cực tinh nhuệ, khó đấu với họ được. Lính Sở nóng vội, không thể giữ lâu. Nay kế sách cho tướng quân, không gì bằng dẫn quân lên đông bắc, lập doanh ở Xương Ấp, bỏ đất Lương cho Ngô, quân Ngô ắt dốc hết quân tinh nhuệ tấn công. Tướng quân dựa vào lũy cao hào sâu, sai khinh binh cắt đứt cửa vào sông Hoài sông Tử, chặn đường tiếp lương của Ngô. Quân Ngô và quân Lương đánh nhau, cùng suy yếu mà lương thực lại hết, ta bèn dốc sức đối phó quân đã suy yếu cực độ, ắt phá được quân Ngô thôi.”
条侯曰：“善。”	Điều hầu nói: “Phải.”
从其策，遂坚壁昌邑南， 轻兵绝吴饟道。	Rồi theo kế đó, giữ vững mặt nam của Xương Ấp, khinh binh đi cắt đường tiếp lương của quân Ngô.
