穰侯魏厓者，秦昭王母宣太后弟也。	Nhương hầu Ngụy Nhiễm là em trai Tuyên thái hậu, mẹ Tần Chiêu vương.
梁大夫须贾说穰侯曰：“臣闻魏之长吏谓魏王 曰：‘昔梁惠王伐赵，战胜三梁， 拔邯郸；赵氏不割，而邯郸复 归。齐人攻卫，拔故国，杀子良； 卫人不割，而故地复反。卫、赵之所以国全兵劲而地不并於诸侯 者，以其能忍难而重出地也。宋、中山数伐割地，而国随以亡。臣以 为卫、赵可法，而宋、中山可为戒也。秦，贪戾之国也，而毋亲。蚕 食魏氏，又尽晋国， 战胜暴子，割八 县，地未毕入，兵复出矣。夫秦何厌之有哉！今又走芒卯，入北宅， 此非敢攻梁也，且劫王以求多割地。王必勿听也。今王背楚、赵而讲 秦，楚、赵怒而去王，与王争事秦，秦必受之。秦挟 楚、赵之兵以复攻梁，则国求无亡不可得也。原王之必无讲也。王若 欲讲，少割而有质；不然，必见欺。’ 此臣之所闻於魏也， 原君之以是虑事 也。周书曰‘惟命不于常’，此言幸之不可数也。夫战胜暴子，割八 县，此非兵力之精也，又非计之工也，天幸为多矣。今又走芒卯，入 北宅，以攻大梁，是以天幸自为常也。智者不然。臣闻魏氏悉其百县 胜甲以上戍大梁，臣以为不下三十万。以三十万之众守梁七仞之城， 臣以为汤、武复生，不易攻 也。夫轻背楚、赵之兵，陵七仞之城，战三十万之众，而志必举之， 臣以为自天地始分以至于今，未尝有者也。攻而不拔，秦兵必罢，陶 邑必亡， 则前功必弃矣。今 魏氏方疑，可以少割收也。 原君逮楚、赵之兵未至於梁，亟以少割收 魏。魏方疑而得以少割为利，必欲之，则君得所欲矣。楚、赵怒於魏 之先己也，必争事秦，从以此散， 而君後 择焉。且君之得地岂必以兵哉！割晋国，秦兵不攻，而魏必效绛安 邑。又为陶开两道， 几尽故宋， 卫必效单父。秦兵可全，而君制之，何索而不得，何为而不 成！原君熟虑之而无行危。”	Đại phu Tu Giả ở Đại Lương nói với Nhương hầu: “Thần nghe trưởng lại nước Ngụy nói với Ngụy vương rằng: 'Xưa Lương Huệ vương đánh Triệu, thắng tại Tam Lương, hạ được Hàm Đan; họ Triệu không chịu cắt đất mà Hàm Đan lại được thu hồi. Người Tề đánh Vệ, hạ được ấp cũ, giết chết Tử Lương, người Vệ không cắt đất nhưng đất cũ lại về. Sở dĩ Vệ và Triệu bảo toàn được đất nước, nuôi quân hùng mạnh mà đất không bị chư hầu thôn tính, vì họ nhẫn nhịn lúc gian khó, coi trọng việc nhượng đất vậy. Nước Tống, Trung Sơn nhiều lần bị đánh, phải cắt đất, đất nước theo đó diệt vong. Thần cho là nên lấy Vệ và Triệu làm khuôn mẫu, xem Tống và Trung Sơn làm răn chừng. Tần là nước tham lam hung bạo, không thể thân được. Lấn dần Ngụy, lại nuốt trọn Tấn, đánh thắng Bạo Tử, cắt đất tám huyện, đất chưa nhập hết, quân đã kéo ra. Ôi, Tần biết chán là gì đâu! Nay lại ra Mang Mão, vào Bắc Trạch, đấy không chỉ dám đánh Lương, còn muốn ép đại vương để mong cắt nhiều đất. Đại vương chớ nghe theo. Nay đại vương bội ước với Sở và Triệu mà giảng hòa với Tần; nước Sở và Triệu sẽ giận mà bỏ đại vương, tranh thờ Tần với đại vương, Tần ắt nhận họ. Tần đem quân Sở và Triệu lại đánh Lương, nước muốn không mất cũng không được. Xin đại vương quyết không giảng hòa. Nếu đại vương muốn giảng hòa, chỉ cắt ít đất và cần con tin; nếu không ắt bị Tần lừa'. Đó là điều thần nghe ở Ngụy, xin đại vương lấy đó mà suy xét. Sách Chu thư viết: 'Duy mệnh là hay thay đổi,' lời đó nghĩa là may mắn không gặp nhiều vậy. Xét lẽ, đánh thắng Bạo Tử, cắt đất tám huyện, đó không phải vì quân binh tinh nhuệ, cũng không phải do mưu hay kế giỏi, là trời ban cho nhiều may mắn thôi. Nay lại đến Mang Mão, vào Bắc Trạch, để tấn công Đại Lương, ấy là cho vận may trời cho không thay đổi, bậc trí không cho là thế. Thần nghe Ngụy huy động quân tinh nhuệ trăm huyện lên bảo vệ Đại Lương, không dưới ba mươi vạn. Đem ba mươi vạn quân giữ thành Lương rộng bảy nhận, thần cho rằng dầu Thành Thang, Vũ vương sống dậy, không dễ gì đánh được. Ôi, khinh suất quay lưng với quân Sở và Triệu, lên tòa thành bảy nhận, đánh ba mươi vạn quân mà chí quyết hạ bằng được, thần cho là từ khi trời đất mới chia đến nay, chưa từng có việc ấy. Đánh không hạ được, quân Tần tất bãi binh, ấp Đào ắt phải mất, công lao trước đây cũng vứt cả rồi. Nay Ngụy đương nghi ngờ, có thể cắt ít đất để thu phục. Xin ngài nhân khi quân Sở và Triệu chưa đến Lương, hãy cắt ít đất để thu phục Ngụy. Ngụy đang nghi ngờ bỗng thấy cắt đất, cho là có lợi, ắt sẽ chấp thuận, vậy là ngài được như mình muốn rồi. Sở và Triệu giận Ngụy nhanh hơn một bước, ắt tranh thờ Tần, hợp tung từ đây tan rã, sau ngài lựa chọn kế sách. Vả ngài được đất há đều nhờ quân binh? Cắt nước Tấn, quân Tần không đánh, còn Ngụy ắt dâng An Ấp và đất Giáng. Lại mở hai đường cho đất Đào, cơ hồ lấy hết đất cũ của Tống, nước Vệ ắt phải dâng đất Đan Phụ. Quân Tần được bảo toàn, ngài chỉ huy họ, đòi gì chẳng được, làm gì chẳng thành. Xin ngài nghĩ kỹ, đừng làm việc nguy hại.”
穰侯 曰：“善。”	Nhượng hầu nói: “Phải.”
明年，魏背秦，与齐从亲。	Năm sau, Ngụy phản bội Tần, kết thân với Tề.
秦使穰侯伐魏，斩首四万，走魏将暴 鸢，得魏三县。	Tần sai Nhương hầu đánh Ngụy, chém được bốn vạn thủ cấp, đuổi tướng Ngụy là Bạo Diên, chiếm được ba huyện của Ngụy.
穰侯益封。	Nhương hầu được gia phong.
明年，穰侯与白起客卿胡阳复攻赵、韩、魏，破芒卯於华阳下， 斩首十万，取魏之卷、蔡阳、长社，赵氏观津。	Năm sau, Nhương hầu cùng khách khanh của Bạch Khởi là Hồ Dương lại đánh Triệu, Hàn, Ngụy, phá được Mang Mão ở dưới thành Hoa Dương, chém mười vạn thủ cấp, chiếm được đất Quyển, Thái Dương, Trường Xã của Ngụy và Quan Tân của Triệu.
且与赵 观津，益赵以兵，伐齐。	Lại trả Quan Tân cho Triệu, tăng quân cho Triệu, đánh Tề.
齐襄王惧，使苏代为齐阴遗穰侯书曰：“臣闻往来者言曰‘秦将 益赵甲四万以伐齐’，臣窃必之 敝邑之王曰 ‘秦王明而熟於计，穰侯智而习於事，必不益赵甲四万以伐 齐’。是何也？夫三晋之相与也，秦之深雠也。百相背也，百相欺 也，不为不信，不为无行。今破齐以肥赵。赵，秦之深雠，不利於 秦。此一也。秦之谋者，必曰‘破齐，弊晋、楚， 而後制晋、楚之胜’。夫齐，罢国也，以天下 攻齐，如以千钧之弩决溃筴也，必死，安能弊晋、楚？此二也。秦少 出兵，则晋、楚不信也；多出兵，则晋、楚为制於秦。齐恐，不走 秦，必走晋、楚。此三也。秦割齐以啖晋、楚，晋、楚案之以兵，秦 反受敌。此四也。是晋、楚以秦谋齐，以齐谋秦也，何晋、楚之智而 秦、齐之愚？此五也。故得安邑以善事之，亦必无患矣。秦有安邑， 韩氏必无上党矣。取天下之肠胃，与出兵而惧其不反也，孰利？臣故 曰秦王明而熟於计，穰侯智而习於事，必不益赵甲四万以代齐 矣。”	Tề Tương vương sợ, sai Tô Đại vì Tề ngầm gửi thư cho Nhương hầu rằng: “Tôi nghe người qua lại nói: 'Tướng Tần tăng cường cho Triệu bốn vạn giáp sĩ để đánh Tề', tôi trộm nói với đại vương tệ ấp rằng: 'Tần vương sáng suốt, tính kế kỹ lưỡng, Nhương hầu trí tuệ, lại quen các việc, ắt không tăng cường bốn vạn quân cho Triệu để đánh Tề.' Vì sao? Vì Tam Tấn quan hệ với nhau, là kết thâm thù với Tần vậy. Trăm lần phản bội, trăm lần lừa dối, không xem là làm điều bất tín, không cho là làm điều vô hạnh. Nay phá Tề để béo Triệu. Triệu là mối thâm thù của Tần, không lợi cho Tần. Đó là thứ nhất. Người mưu cho Tần, ắt nói: 'Phá Tề, làm yếu Tấn và Sở, sau khống chế Tấn và Sở, giành thắng lợi.’ Xét Tề là nước mỏi mệt, đem thiên hạ đánh Tề, như dùng nỏ ngàn cân để bắn vỡ cái nhọt, ắt chết, sao có thể khống chế Tấn và Sở. Đó là thứ hai. Tần xuất ít binh, Tấn và Sở sẽ không tin; xuất nhiều binh, Tấn và Sở tất bị Tần khống chế. Tề sợ, không chạy sang Tần ắt chạy sang Tấn và Sở. Đó là thứ ba. Tần cắt đất của Tề để dụ Tấn và Sở, Tấn và Sở đem quân khống chế Tần, Tần trái lại bị thụ địch. Đó là thứ tư. Tấn và Sở nhân Tần mà mưu đánh Tề, nhân Tề mà tính mưu đánh Tần, lẽ nào Tấn và Sở khôn còn Tần và Tề ngu ư? Đó là thứ năm. Cho nên được An Ấp để khéo phụng sự, ắt không phải lo. Tần có An Ấp, Hàn ắt không giữ được Thượng Đảng. Chiếm lấy bụng dạ thiên hạ, muốn cùng xuất quân mà sợ quân không trở lại, vậy ai lợi? Cho nên tôi cho rằng Tần vương sáng suốt, tính kế kỹ lưỡng, Nhương hầu trí tuệ, lại quen các việc, ắt không tăng cường bốn vạn quân cho Triệu để đánh Tề vậy.”
於是穰侯不行，引兵而归。	Thế là Nhương hầu không đi, dẫn quân trở về.
昭王三十六年，相国穰侯言客卿灶，欲伐齐取刚、寿， 以广 其陶邑。	Chiêu vương năm thứ ba mươi sáu, Tướng quốc Nhương hầu bàn với khách thanh là Táo, muốn đánh Tề, chiếm đất Cương và Thọ để mở rộng ấp Đào.
於是魏人范睢自谓张禄先生，讥穰侯之伐齐，乃越三晋以攻 齐也，以此时奸说秦昭王。	Thế là Phạm Thư người Ngụy tự xưng Trường Lộc tiên sinh, gièm việc Nhương hầu đánh Tề, [Tần vương] bèn vượt Tam Tấn để đánh Tề, nhân lúc ấy cầu kiến thuyết phục Tần Chiêu vương.
昭王於是用范睢。	Chiêu vương trọng dụng Phạm Thư.
范睢言宣太后专制，穰 侯擅权於诸侯，泾阳君、高陵君之属太侈，富於王室。	Phạm Thư nói Tuyên thái hậu chuyên chế, Nhương hầu chuyên quyền với chư hầu, thuộc hạ Kinh Dương quân, Cao Lăng quân quá xa xỉ, giàu hơn vương thất.
於是秦昭王 悟，乃免相国，令泾阳之属皆出关，就封邑。	Thế là Tần Chiêu vương tỉnh ngộ, bèn bãi chức Tướng quốc, lệnh thuộc hạ của Kinh Dương đều phải ra biên ải, đến ấp phong.
穰侯卒於陶，而因葬焉。	Nhương hầu chết ở ấp Đào, an táng tại đó.
秦复收陶为郡。	Tần lại thu đất Đào lập làm quận.
太史公曰：穰侯，昭王亲舅也。	Thái sử công bàn rằng: Nhương hầu là cậu ruột của Chiêu vương.
魏献河东方四百里。	Ngụy hiến bốn trăm dặm đất phía đông sông Hà.
拔魏之河内，取 城大小六十馀。	Đánh hạ Hà Nội của Ngụy, chiếm hơn sáu mươi thành lớn nhỏ.
乃罢梁围。	Bèn giải vây nước Lương.
穰侯出关，辎车千乘有 馀。	Nhương hầu ra biên ải, có trên nghìn cỗ xe chở đồ.
而秦所以东益地，弱诸侯，尝称 帝於天下，天下皆西乡稽首者，穰侯之功也。 及其贵极富溢，一夫开 说，身折势夺而以忧死，况於羁旅之臣乎！ 穰侯智识，应变无方。 内倚太后，外辅昭王。	Tần sở dĩ mở đất về phía đông, làm chư hầu suy yếu, từng xưng đế thiên hạ, thiên hạ đều quay về tây mà dập đầu, đều là công của Nhương hầu vậy.
