陈完者，陈厉公他 之子也。	Trần Hoàn là con của Trần Lệ công Đà.
晏子数谏景 公，景公弗听。	Yến tử [Anh] nhiều lần can gián Cảnh công, Cảnh công không nghe.
已而使於晋，与叔向私语曰：“齐国之政卒归於田氏 矣。”	Thế rồi Yến tử đi sứ sang nước Tấn, cùng Thúc Hướng nói chuyện riêng rằng: “Chính sự nước Tề rốt cuộc sẽ về tay họ Điền thôi.”
田 乞欲为乱，树党於诸侯，乃说景公曰：“范、中行数有德於齐，齐不 可不救。”	Điền Khất định làm loạn, gây dựng bè đảng ở nước chư hầu, bèn khuyên Cảnh công rằng: “Họ Phạm và họ Trung Hàng nhiều lần có ơn đức với nước Tề, Tề không thể không cứu.”
景公太子死，後有宠姬曰芮子， 生子荼。	Thái tử của Cảnh Công chết, hậu cung có cung tần được sủng ái là Nhuế tử, sinh con là Thư.
景公病，命其相国惠子 与高昭子以子荼为太子。	Khi Cảnh công ốm, ra lệnh cho Tướng quốc Quốc Huệ tử cùng Cao Chiêu tử đưa con là Thư lên làm Thái tử.
景公卒，两相高、国立荼， 是为晏孺子。	Cảnh công chết đi, hai Tướng quốc Cao và Quốc lập Thư, đó là Yến Nhụ tử.
而田乞不说，欲立景公他子阳生。 阳生素与乞欢。	Nhưng Điền Khất không hài lòng, muốn lập con khác của Cảnh công là Dương Sinh. Dương Sinh vốn thích Điền Khất.
晏孺 子之立也，阳生奔鲁。	Yến Nhụ tử lên ngôi, Dương Sinh chạy sang nước Lỗ.
田乞伪事高昭子、国惠子者，每朝代参乘，言 曰：“始诸大夫不欲立孺子。孺子既立，君相之，大夫皆自危，谋作 乱。”	Điền Khất vờ phụng sự Cao Chiêu tử và Quốc Huệ tử, mỗi khi vào triều đều thay vị trí của Tham thừa, nói rằng: “Ban đầu các đại phu không muốn lập Nhụ tử. Sau khi Nhụ tử lên ngôi, nhà vua phong các ngài làm Tướng quốc, các đại phu đều tự thấy nguy hiểm, âm mưu làm loạn.”
又绐大夫曰：“高昭子可畏也，及未发先之。”	Lại lừa các đại phu rằng: “Cao Chiêu tử thật đáng sợ, khi ông ta chưa ra tay thì hãy ra tay trước đi.”
诸大夫从之。	Các đại phu nghe theo.
田乞、鲍牧与大夫以兵入公室，攻高昭子。	Điền Khất, Bão Mục cùng các đại phu phát binh tiến vào cung thất, tấn công Cao Chiêu tử.
昭子闻之，与国惠子救 公。	Chiêu tử nghe tin, bèn cùng Quốc Huệ tử đến cứu nhà vua.
公师败。	Quân của nhà vua thua.
田乞之众追国惠子，惠子奔莒，遂返杀高昭子。	Quân Điền Khất truy đuổi Quốc Huệ tử, Huệ tử chạy sang nước Cử, quân Điền Khất bèn quay lại giết Cao Chiêu tử.
田乞使人之鲁，迎阳生。 阳生至齐，匿田乞家。	Điền Khất sai người sang Lỗ đón Dương Sinh. Dương Sinh về đến Tề, ẩn trốn ở nhà Điền Khất.
请诸大夫 曰：“常之母有鱼菽之祭，幸而来会饮。”	[Điền Khất] mời các đại phu đến, nói rằng: “Mẹ Thường này có cá, đậu để dâng tế, xin mời [các đại phu] đến uống rượu.”
发橐，出阳生， 曰：“此乃齐君矣。”	Mở túi, cho Dương Sinh ra, nói: “Đây chính là Tề quân vậy.”
大夫皆伏谒。	Các đại phu đều phục xuống bái kiến.
将盟立之，田乞诬曰：“吾与鲍 牧谋共立阳生也。”	Định lập minh ước đưa Dương Sinh lên ngôi, Điền Khất nói dối rằng: “Tôi với Bão Mục bàn mưu cùng lập Dương Sinh rồi.”
鲍牧怒曰：“大夫忘景公之命乎？”	Bão Mục giận nói: “Các đại phu quên di mệnh của Cảnh công rồi ư?”
诸大夫欲 悔，阳生乃顿首曰：“可则立之，不可则已。”	Các đại phu muốn hối lỗi, Dương Sinh bèn dập đầu nói: “Đáng lập thì lập, không đáng lập thì thôi.”
鲍牧恐祸及己，乃复 曰：“皆景公之子，何为不可！”	Bão Mục sợ họa vào mình, bèn nói: “Đều là con của Cảnh công, sao lại không được?”
遂立阳生於田乞之家，是为悼公。	Rồi lập Dương Sinh tại nhà của Điền Khất, đó là Điệu công.
乃使人迁晏孺子於骀，而杀孺 子荼。	Bèn phái người đày Yến Nhụ tử ra ấp Thai, rồi giết Nhụ tử Thư.
悼公既立，田乞为相，专齐政。	Sau khi Điệu công lên ngôi, Điền Khất làm Tướng quốc, chuyên quyền chính sự nước Tề. tử.
四年，田乞卒，子常代立，是为田成子。 鲍牧与齐悼公有郄，弑悼公。	Năm thứ tư, Điền Khất chết, con là Thường lên thay, đó là Điền Thành Bão Mục có hiềm khích với Tề Điệu công, giết Điệu công.
齐人共立其子壬，是为简公。	Người Tề cùng lập con Điệu công là Nhâm lên thay, đó là Giản công.
田常 成子与监止 俱为左右相，相简公。	Điền Thường Thành tử cùng Giám Chỉ đều làm Tả hữu Tướng quốc, phò tá Giản công.
於是田常复脩釐子之政，以大斗出贷，以小斗收。	Thế là Điền Thường lại thi hành chính sự theo lối của Ly tử, dùng đấu lớn cho vay, dùng đấu nhỏ thu về.
齐人歌之 曰：“妪乎采芑，归乎田成子！” 齐大夫朝，御鞅 谏简公曰：“田、监不可并也，君其择焉。”	Người Tề hát về Điền Thường rằng: “Bà lão hái rau khỉ, mang về Điền Thành tử” Đại phu nước Tề vào chầu, Ngự Uởng can Giản công rằng: “Điền Khất và Giám Chỉ không thể cùng dùng, xin nhà vua hãy chọn lựa.”
君弗听。	Tề quân không nghe.
子我者，监止之宗人也， 常与田氏有 卻。 田氏疏族田豹事子我有宠。	Tử Ngã là người trong tông tộc Giám Chỉ, thường có hiềm khích với họ Điền. Bà con xa của họ Điền là Điền Báo phụng sự Tử Ngã, được sủng ái.
子我曰：“吾欲尽灭田氏適，以豹代 田氏宗。”	Tử Ngã nói: “Ta muốn diệt hết dòng đích họ Điền, cho Báo thay giữ tông tộc họ Điền.”
豹曰：“臣於田氏疏矣。”	Báo nói: “Tôi với họ Điền là nhánh xa rồi.”
不听。	Không nghe.
已而豹谓田氏曰：“子 我将诛田氏，田氏弗先，祸及矣。”	Thế rồi Báo nói với họ Điền rằng: “Tử Ngã muốn diệt họ Điền, họ Điền không ra tay trước, sẽ gặp tai họa.”
子我舍公宫，田常兄弟四人乘如 公宫，欲杀子我。	Tử Ngã ở trong cung vua, anh em Điền Thường đi bốn xe vào cung vua, muốn giết Tử Ngã.
简公与妇人饮檀台， 将欲击田常。	Giản Công cùng cung tần đang uống rượu ở Đàn Đài, định đánh Điền Thường.
太史子馀曰：“田常非敢为乱，将除 害。”	Thái sử Tử Dư nói: “Điền Thường không dám làm loạn, chỉ định trừ hại thôi.”
简公乃止。	Giản công bèn thôi.
田常出，闻简公怒，恐诛，将出亡。	Điền Thường ra khỏi cung, nghe nói Giản công giận, sợ bị giết, định chạy khỏi nước.
田子行 曰：“需，事之贼也。”	Điền tử Hành nói: “Ngờ vực, đó là giặc của công việc vậy.”
田常於是击子我。	Thế là Điền Thường tấn công Tử Ngã.
子我率其徒攻田氏，不胜，出亡。	Tử Ngã thống lãnh lực lượng của mình tấn công họ Điền, không thắng nổi, chạy khỏi nước.
田氏之徒 追杀子我及监止。	Bè đảng họ Điền đuổi giết Tử Ngã cùng Giám Chỉ.
简公出奔，田氏之徒追执简公于徐州。	Giản công chạy khỏi nước, bè đảng họ Điền đuổi theo bắt được Giản công tại Thư Châu.
简公 曰：“蚤从御鞅之言，不及此难。”	Giản công nói: “Sớm nghe lời của Ngự Ưởng thì không gặp phải nạn này.”
田氏之徒恐简公复立而诛己，遂 杀简公。	Bè đảng họ Điền sợ Giản công về lại ngôi vị sẽ giết mình, bèn giết Giản công.
简公立四年而杀。	Giản công ở ngôi được bốn năm thì bị giết.
於是田常立简公弟骜，是为平公。	Thế rồi Điền Thường lập em của Giản công là Ngao lên thay, đó là Bình công.
平公即 位，田常为相。	Bình công lên ngôi, Điền Thường làm Tướng quốc.
田常言於齐平公曰：“德施人之所欲，君其行之；刑罚人之所 恶，臣请行之。”	Điền Thường nói với Tề Bình công rằng: “Thi ơn đức là điều người ta mong muốn, nhà vua hãy làm điều đó; giáng hình phạt là điều người ta căm ghét, thần xin làm việc đó.”
行之五年，齐国之政皆归田常。	Thi hành được năm năm, chính sự nước Tề đều rơi vào tay Điền Thường.
封邑大於平公之所食。	Ấp phong của Điền Thường lớn hơn thực ấp của Bình công.
田常乃选齐国中女子长七尺以上为後宫，後宫以百数，而使宾客 舍人出入後宫者不禁。	Điền Thường bèn chọn con gái nước Tề cao từ bảy thước trở lên sung vào hậu cung, hậu cung có đến hàng trăm cung nữ, rồi cho tân khách, xá nhân ra vào hậu cung, không bị cấm đoán.
及田常卒，有七十馀男。	Đến khi Điền Thường chết, có tới hơn bảy mươi người con trai.
田常卒，子襄子盘 代立，相齐。	Điền Thường chết, con là Tương tử Bàn lên thay, làm Tướng quốc nước Tề.
常谥为成子。	Điền Thường thụy là Thành tử.
田襄子既相齐宣公，三晋杀知伯， 分其地。	Sau khi Điền Tương tử làm Tướng quốc cho Tề Tuyên công, Tam Tấn giết Trí bá, chia nhau đất đai.
襄子使其兄弟宗人尽为齐都邑大夫，与三晋通使，且 以有齐国。	Tương tử cho anh em và người trong tông tộc đều làm đại phu các đô ấp trong nước Tề, thông số với Tam Tấn, muốn có cả nước Tề.
襄子卒，子庄子白立。	Tương tử chết đi, con là Trang tử Bạch lên thay.
田庄子相齐宣公。	Điền Trang tử làm Tướng quốc cho Tề Tuyên công.
宣公四 十三年，伐晋，毁黄城，围阳狐。	Tuyên công năm thứ bốn mươi ba, đánh Tấn, phá hủy Hoàng Thành, bao vây Dương Hồ.
明年，取鲁之一城。	Năm sau, chiếm được một thành của nước Lỗ.
庄子卒，子太公和立。	Trang tử chết, con là Thái công Hòa lên thay.
田太公相齐宣公。	Điền Thái công làm Tướng quốc cho Tề Tuyên công.
宣 公四十八年，取鲁之郕。	Tuyên công năm thứ bốn mươi tám, chiếm ấp Thành của nước Lỗ.
明年，宣公与郑人会西城。	Năm sau, Tuyên công cùng người Trịnh hội kiến ở Tây Thành.
宣公五十一年卒，田会自廪丘反。	Tuyên công đến năm thứ năm mươi mốt thì chết, Điền Hội từ Lẫm Khâu làm phản.
宣公卒，子康公贷立。	Tuyên công chết, con là Khang công Thắc lên thay.
贷立十四年，淫於酒妇人，不听政。	Thắc lên ngôi được mười bốn năm, đắm chìm trong tửu sắc, không nghe chính sự.
太公乃 迁康公於海上，食一城，以奉其先祀。	Thái công bèn đày Khang công ra vùng biển, cho một tòa thành làm thực ấp, để phụng thờ việc tế tự tổ tiên.
三年，太公与魏文侯会浊泽， 求为 诸侯。	Năm thứ ba, Thái công cùng Ngụy Văn hầu hội kiến ở Trạc Trạch, xin làm chư hầu.
魏文侯乃使使言周天子及诸侯，请立齐相田和为诸侯。	Ngụy Văn hầu bèn sai sứ nói với thiên tử nhà Chu cùng chư hầu, đề nghị lập Tướng quốc nước Tề là Điền Hòa làm chư hầu.
周天子 许之。	Thiên tử nhà Chu đồng ý.
康公之十九年，田和立为齐侯，列於周室，纪元年。	Khang công năm thứ mười chín, Điền Hòa được lập làm Tề hầu, liệt vào tông thất nhà Chu, bắt đầu ghi là năm khởi đầu.
齐侯太公和立二年，和卒，子桓公 午立。	Tề hầu Thái công Hòa ở ngôi được hai năm, Hòa chết, con là Hoàn công Ngọ lên thay.
桓公午五年，秦、魏攻韩，韩求救於 齐。	Hoàn công Ngọ năm thứ năm, Tần và Ngụy tấn công Hàn, Hàn cầu cứu nước Tề.
齐桓公召大臣而谋 曰：“蚤救之孰与 晚救之？”	Tề Hoàn công triệu đại thần đến bàn rằng: “Cứu viện sớm hay cứu viện muộn thì tốt?”
驺忌曰：“不若勿救。”	Trâu Kỳ nói: “Chẳng bằng không cứu.”
段干朋 曰：“不救，则韩且折而入於魏，不若救 之。”	Đoàn Can Bằng nói: “Không cứu, Hàn sẽ bị đè bẹp rồi sáp nhập vào Ngụy, chẳng bằng hãy cứu Hàn.”
田臣思 曰：“过矣君之谋也！秦、魏攻韩、楚，赵必救之，是天以燕予齐 也。”	Điền Thần Tư nói: “Mưu kế của các ngài sai rồi! Tần và Ngụy đánh Hàn thì Sở và Triệu nhất định cứu viện, đó là trời ban nước Yên cho Tề vậy.”
桓公曰：“善”。	Hoàn công nói: “Phải.”
乃阴告韩使者而遣之。	Bèn ngầm báo sứ giả nước Hàn là [Tề] sẽ sai quân ứng cứu.
韩自以为得齐之救， 因与秦、魏战。	Hàn đinh ninh rằng sẽ được Tề cứu viện, nhân đó giao chiến với Tần và Ngụy.
六年，救卫。	Năm thứ sáu, cứu viện nước Vệ.
桓公卒， 子威王因齐立。	Hoàn công chết, con là Uy vương Nhân Tề lên ngôi.
是岁，故齐康 公卒，绝无後，奉邑皆入田氏。	Năm này, Tề Khang công chết, không có người thừa tự, ấp phong đều bị sáp nhập vào họ Điền.
威王初即位以来，不治，委政卿大夫，九年之间，诸侯并伐，国 人不治。	Uy vương từ lúc mới lên ngôi đến nay, không trị lý quốc gia, giao chính sự cho các khanh đại phu, trong vòng chín năm, chư hầu cùng thảo phạt Tề, người trong nước không được yên.
於是威王召即墨大夫而语之曰：“自子之居即墨也， 毁言日至。然吾使人视即墨，田野 辟，民人给，官无留事，东方以宁。是子不事吾左右以求誉也。”	Thế là Uy vương triều đại phu ở Tức Mặc đến nói rằng: “Từ khi ông ra ở Tức Mặc, lời hủy báng ông được truyền đến hằng ngày. Nhưng ta sai người đến xem xét Tức Mặc, thấy ruộng đồng được khai khẩn mở mang, dân chúng sung túc, quan lại không có việc tồn đọng, phía đông nhờ thế được yên. Như thế là ông không phụng sự các đại thần tả hữu của ta để cầu được tiếng tốt vậy.”
是日，烹阿大夫，及左右尝誉者皆并烹 之。	Hôm đó, nấu chết đại phu ấp A, các đại thần tả hữu từng khen ngợi đại phu ấp A cũng bị nấu hết.
惠王请献观以和解， 赵人归我长城。	Huệ vương xin hiến ấp Quan để hòa giải, người Triệu trở lại Trường thành cho Tề.
於是齐国震惧，人人不敢饰非，务尽其诚。	Thế là nước Tề rúng sợ, người người không dám che đậy việc sai, đều dốc hết lòng trung thành.
齐国大 治。	Nước Tề cực thịnh trị.
诸侯闻之，莫敢致兵於齐二十馀年。	Chư hầu nghe tin, không nước nào dám đem quân đánh Tề trong hơn hai mươi năm.
王勃然不说，去琴按剑曰：“夫子见容 未察，何以知其善也？”	Uy vương bỗng không vui, buông đàn cầm kiếm nói: “Phu tử mới chỉ thấy dáng vẻ, còn chưa suy xét kỹ càng, sao biết là giỏi?”
驺忌子曰：“夫大弦浊以春温者，君也；小 弦廉折以清者，相也； 攫之深， 醳之愉者， 政令也；钧谐以鸣，大小相益，回邪而不相害者，四时 也：吾是以知其善也。”	Trâu Kỳ tử đáp: “Xét lẽ, dây lớn tiếng đục mà ôn hòa, tượng trưng cho nhà vua; dây nhỏ âm cao, rõ ràng mà trong trẻo, tượng trưng cho Tướng quốc; kìm dây thật sâu, buông dây nhàn nhã, tượng trưng cho chính lệnh; các thanh âm vang lên hài hòa, dây lớn dây nhỏ hỗ trợ nhau, tiếng vọng trở lại mà không xung đột, tượng trưng cho bốn mùa. Thần qua đó biết là đàn giỏi.”
王曰：“善语音。”	Uy vương nói: “Khéo nói về âm nhạc.”
驺忌子曰：“何独语 音，夫治国家而弭人民皆在其中。”	Trâu Kỵ tử thưa: “Đâu chỉ nói về âm nhạc, phàm trị lý quốc gia đến vỗ yên chúng dân đều ở trong đó.”
王又勃然不说曰：“若夫语五音 之纪，信未有如夫子者也。若夫治国家而弭人民，又何为乎丝桐之 间？”	Uy vương lại chợt không vui nói: “Nếu nói về chuẩn tắc của ngũ âm, tin là không ai bằng được phu tử. Còn việc cai trị đất nước, vỗ yên chúng dân sao lại cho là nằm ở chỗ tơ đàn ấy?”
驺忌子曰：“夫大弦浊以春温者，君也；小弦廉折以清者，相 也；攫之深而舍之愉者，政令也；钧谐以鸣，大小相益，回邪而不相 害者，四时也。夫复而不乱者，所以治昌也；连而径者，所以存亡 也：故曰琴音调而天下治。夫治国家而弭人民者，无若乎五音 者。”	Trâu Kỵ tử đáp: “Xét lẽ, dây lớn tiếng đục mà ôn hòa, tượng trưng cho nhà vua; dây nhỏ âm cao, rõ ràng mà trong trẻo, tượng trưng cho Tướng quốc; kìm dây thật sâu, buông dây nhàn nhã, tượng trưng cho chính lệnh; các thanh âm vang lên hài hòa, dây lớn dây nhỏ hỗ trợ cho nhau, tiếng vọng trở lại mà không xung đột, tượng trưng cho bốn mùa. Xét lẽ, trở lại mà không rối loạn, dùng cách đó cai trị thì thịnh vượng, liền mạch mà thông suốt, dùng để bảo tồn nước nguy vong, cho nên nói tiếng đàn điều hòa thì thiên hạ yên trị. Việc cai trị quốc gia và vỗ yên chúng dân, không việc gì không giống như ngũ âm vậy.”
王曰：“善。”	Uy vương khen: “Hay.”
驺忌子曰：“谨受教。”	Trâu Kỵ tử nói: “Kính cẩn thụ giáo.”
淳于髡曰：“得全全昌， 失全全亡。”	Thuần Vu Khôn nói: “Được trọn vẹn thì tất cả đều tốt, không trọn vẹn thì tất cả đều mất.”
淳于髡曰：“豨膏棘轴，所 以为滑也，然而不能运方穿。”	Thuần Vu Khôn nói: “Mỡ lợn bôi trên trục xe gỗ táo là để khiến trục xe được trơn, nhưng không thể quay được nếu tra vào lỗ vuông.”
驺忌子曰：“谨受令，请谨事左右。”	Trâu Kỵ tử nói: “Kính cẩn nhận lời chỉ giáo, xin kính cẩn phụng sự bên cạnh nhà vua.”
淳于 髡曰：“弓胶昔幹， 所以为合也， 然而不能傅合疏罅。”	Thuần Vu Khôn nói: “Dùng keo dán vào cán cung, là khiến nó dính lại, nhưng không thể dán khít liền mãi được.”
驺忌子曰：“谨受令，请谨自附於万 民。”	Trâu Kỵ tử nói: “Kính cẩn nhận lời chỉ giáo, xin kính cẩn thân gần với muôn dân.”
驺忌子 曰：“谨受令，请谨择君子，毋杂小人其间。”	Trâu Kỵ tử nói: “Kính cẩn nhận lời chỉ giáo, xin kính cần chọn bậc quân tử, không để cho kẻ tiểu nhân xen vào.”
淳于髡曰：“大车不 较， 不能载其常任；琴瑟不较，不能成其五音。”	Thuần Vu Khôn nói: “Cỗ xe lớn không năng kiểm tra, không thể chở được nặng như thường; đàn cầm đàn sắt không năng điều chỉnh, năm âm không được hài hòa.”
淳于髡说毕，趋出，至门， 而面其仆曰：“是人者，吾语之微言五，其应我若响之应声，是人必 封不久矣。”	Thuần Vu Khôn nói xong, rảo bước ra ngoài, đến cổng, gặp người hầu của Trâu Kỵ tử, bèn nói: “Người này, ta nói với ông ta năm lời vi diệu, ông ta đáp lại nhanh như tiếng vọng, người này không lâu nữa nhất định được phân phong.”
威王二十三年，与赵王会平陆。	Uy vương năm thứ hai mươi ba, cùng Triệu vương hội kiến ở Bình Lục.
二十四年，与魏王会田於郊。	Năm thứ hai mươi tư, cùng Ngụy vương gặp nhau rồi đi săn ngoài thành.
魏 王问曰：“王亦有宝乎？”	Ngụy vương hỏi: “Đại vương có bảo vật chăng?”
威王曰：“无有。”	Uy vương đáp: “Không có.”
梁王曰：“若寡人国小也，尚有径寸之珠照车 前後各十二乘者十枚，奈何以万乘之国而无宝乎？”	Lương vương nói: “Nhỏ như nước của quả nhân, còn có minh châu dài một tấc chiếu sáng trước sau xe, có mười hai cỗ xe, mỗi xe mười viên minh châu, cớ sao nước lớn vạn cỗ xe lại không có vật báu?”
威王曰：“寡人 之所以为宝与王异。吾臣有檀子者， 使守 南城，则楚人不敢为寇东取，泗上十二诸侯 皆来朝。吾臣有朌子者，使守高唐，则赵人不敢东渔於河。吾吏有黔 夫者，使守徐州，则燕人祭北门，赵人祭西门， 徙而从者七千馀家。 吾臣有种首者，使备盗贼，则道不拾遗。将以照千里，岂特十二乘 哉！”	Uy vương đáp: “Thứ mà quả nhân cho là báu có khác với nhà vua. Bề tôi của quả nhân có Đàn tử, sai giữ Nam Thành thì người Sở không dám làm cướp sang phía đông xâm chiếm, mười hai nước chư hầu vùng Tứ Thượng đều đến chầu. Bề tôi của quả nhân có Phần tử, sai giữ Cao Đường thì người Triệu không dám sang phía đông đánh cá ở sông Hoàng Hà. Quan lại của quả nhân có Kiềm Phu, sai giữ Từ Châu thì người Yên tế ở cổng phía bắc [để mong Tề bảo hộ], người Triệu tế ở cổng phía tây [để mong Tề ban phúc], cần di chuyển nên thiên chuyển hơn bảy nghìn nhà. Quả nhân có bề tôi là Chủng Thủ, sai phòng bị trộm cướp thì người trên đường không nhặt của rơi. Dùng họ để chiếu sáng nghìn dặm, há chỉ mười hai cỗ xe thôi ư?”
梁惠王惭，不怿而去。	Lương Huệ vương thẹn, không vui rồi về.
二十六年，魏惠王围邯郸，赵求救於齐。	Năm thứ hai mươi sáu, Ngụy Huệ vương bao vây Hàm Đan, Triệu cầu cứu Tề.
齐威王召大臣而谋 曰：“救赵孰与勿救？”	Tề Uy vương triệu kiến đại thần đến bàn mưu rằng: “Cứu Triệu hay không cứu Triệu?”
驺忌子曰：“不如勿救。”	Trâu Kỵ tử nói: “Chẳng bằng không cứu.”
段干朋曰：“不 救则不义，且不利。”	Đoàn Can Bằng nói: “Không cứu thì bất nghĩa, mà cũng bất lợi.”
威王曰：“何也？”	Uy vương hỏi: “Tại sao?”
对曰：“夫魏氏并邯郸， 其於齐何利哉？且夫救赵而军其郊，是赵不伐而魏全也。故不如南攻 襄陵以弊魏，邯郸拔而乘魏之弊。”	Đáp rằng: “Nước Ngụy chiếm Hàm Đan, việc ấy có lợi gì với Tề không? Vả lại đi cứu Triệu rồi đóng quân ngoài đồng, như thế Triệu tuy không bị đánh mà Ngụy cũng được bảo toàn. Cho nên chẳng bằng xuống phía nam tấn công Tương Lăng khiến quân Ngụy mỏi mệt, Hàm Đan bị hạ thì cũng lợi dụng được sự mỏi mệt của Ngụy.”
威王 从其计。	Uy vương theo kế đó.
其後成侯驺忌与田忌不善，公孙阅谓成 侯忌曰：“公何不谋伐魏，田忌必将。战胜有功，则公之谋中也；战 不胜，非前死则後北，而命在公矣。”	Sau đó, Thành hầu Trâu Kỵ và Điền Kỵ bất hòa, Công Tôn Duyệt nói với Thành hầu Kỵ rằng: “Sao ngài không bàn mưu đánh Ngụy, Điền Kỵ ắt sẽ cầm quân. Đánh thắng có công thì trúng mưu của ngài; đánh không thắng thì không chết trước cũng bại sau, vận mệnh đều ở tay ngài.”
於是齐最彊於诸侯，自称为 王，以令天下。	Thế rồi Tề thành nước mạnh nhất trong các nước chư hầu, tự xưng vương để hiệu lệnh thiên hạ.
