平阳侯曹参者，沛人也。	Bình Dương hầu Tào Tham là người huyện Bái.
从 南攻犨，与南阳守齮战阳城郭东， 陷陈， 取宛，虏齮，尽定南阳郡。	Theo xuống phía nam đánh đất Thù, giao chiến với Quận thú Nam Dương là Nghĩ tại phía đông Dương Thành, vây hãm trận địa, chiếm được đất Uyển, bắt sống Nghĩ, bình định hết quận Nam Dương.
从西攻武关、峣关， 取之。	Theo sang phía tây đánh Vũ Quan, Nghiêu Quan, chiếm được.
前攻秦军蓝田南， 又夜击其北，秦军大破，遂至咸阳，灭秦。	Trước đó tấn công quân Tần ở phía nam Lam Điền, lại nhân ban đêm đánh vào phía bắc Lam Điền, quân Tần thua to, bèn tiến đến Hàm Dương, diệt nhà Tần.
项羽至，以沛公为汉王。	Hạng Vũ đến [Hàm Dương], phong Bái công làm Hán vương.
汉王封参为建成侯。	Hán vương phong Tham làm Kiến Thành hầu.
从至汉中， 迁为将军。	[Tham] theo [Hán vương] đến Hán Trung, thăng làm Tướng quân.
从还定三秦，初攻下辩、故道、 雍、斄。	Theo về bình định Tam Tần, ban đầu đánh các huyện Hạ Biện, Cố Đạo, Ung, Di.
击章平军於好 畤南，破之，围好 畤，取壤乡。	Đánh quân Chương Bình ở phía nam Hảo Chỉ, phá được, bao vây Hảo Chỉ, chiếm Nhưỡng Hương.
击三秦军壤东及高栎， 破之。	Đánh quân Tam Tần ở phía đông Nhưỡng Hương cho đến Cao Lịch, phá được.
复围章平，章平出好畤走。	Lại bao vây Chương Bình, Chương Bình chạy khỏi Hảo Chỉ.
因击赵贲、内史保军，破之。	Thừa thế đánh quân của Triệu Bôn và Nội sử Bảo, phá được.
东取咸阳，更名曰新城。	Phía đông chiếm Hàm Dương, lại đổi tên [Hàm Dương] thành Tân Thành.
参将兵守景陵二十日，三秦使章 平等攻参，参出击，大破之。	Tham đem quân giữ Cảnh Lăng hai mươi ngày, Tam Tần sai bọn Chương Bình tấn công Tham, Tham ra đánh, cả phá địch.
赐食邑於宁秦。	Được ban thực ấp ở Ninh Tần.
参以将军引兵围章邯於废丘。	Tham lấy thân phận Tướng quân dẫn quân bao vây Chương Hàm ở Phế Khâu.
以中尉从汉王出临晋关。	Lấy thân phận là Trung úy theo Hán vương ra cửa quan Lâm Tấn.
至河内，下脩武， 渡围津， 东击龙 且、项他定陶，破之。	Đến Hà Nội, xuống Tu Vũ, vượt Vị Tân, sang phía đông đánh Long Thư, Hạng Đà ở Định Đào, phá được.
东取砀、萧、彭城。	Sang đông chiếm đất Đường, Tiêu và Bành Thành.
击项籍 军，汉军大败走。	Đánh quân Hạng Tịch, quân Hán thua to tháo chạy.
参以中尉围取雍丘。	Tham lấy thân phận là Trung úy bao vây rồi chiếm Ung Khâu.
王武反於黄， 程处反於燕， 往击，尽破之。	Vương Vũ làm phản ở Ngoại Hoàng, Trình Xử làm phản ở đất Yên, [Tham] đến đánh, phá tan hết thảy.
柱天侯反於衍氏， 又进破取衍氏。	Trụ Thiên hầu làm phản ở Diễn Thị, lại tiến quân đánh chiếm Diễn Thị.
击羽 婴於昆阳，追至叶。	Đánh Vũ Anh ở Côn Dương, đuổi đến đất Diệp.
还攻武彊， 因至荥阳。	Trở về đánh Vũ Cường, thừa thể tiến đến Huỳnh Dương.
参自汉中为 将军中尉，从击诸侯，及项羽败，还至荥阳，凡二岁。	Tham từ Hán Trung làm Tướng quân trung úy, theo đi đánh chư hầu, đến khi Hạng Vũ thất bại, về đến Huỳnh Dương, cả thảy hai năm trời.
月馀，魏王豹反，以假左 丞相别与韩信东攻魏将军孙(cid:0)军东张， 大破之。	Được hơn tháng, Ngụy vương Báo làm phản, lấy thân phận giả Tả thừa tướng cùng Hàn Tín sang phía đông đánh Tướng quân nước Ngụy là Tôn Tốc ở Đông Trương, cả phá được.
因攻安 邑，得魏将王襄。	Nhân đó đánh An Ấp, bắt được tướng Ngụy là Vương Tương.
击魏王於曲阳， 追至武垣， 生得魏王豹。	Đánh Ngụy vương ở Khúc Dương, đuổi đến Vũ Viên, bắt sống được Ngụy vương Báo.
取平阳，得魏王母妻子，尽定魏 地，凡五十二城。	Chiếm Bình Dương, bắt được mẹ và vợ con Ngụy vương, bình định toàn bộ đất Ngụy, cả thảy năm mươi hai thành.
赐食邑平阳。	Được tặng thực ấp ở Bình Dương.
韩信与故常山王张耳引兵下井陉，击成安君， 而令参还围赵别将戚将军於邬城中。	Hàn Tín cùng Thường Sơn vương trước đây là Trương Nhĩ dẫn quân xuống Tỉnh Hình, đánh Thành An quân, rồi lệnh cho Tham về bao vây biệt trong nước Triệu là Thích tướng quân ở trong thành Ổ.
戚将军出走，追斩之。	Thích tướng quân chạy ra ngoài, [Tham] đuổi chém được.
乃引兵诣 敖仓汉王之所。	Bèn dẫn quân đến chỗ của Hán vương ở Ngao Thương.
韩信已破赵，为相国，东击齐。	Hàn Tín sau khi phá được Triệu, làm Tướng quốc, sang phía đông đánh Tề.
参以右丞相属韩信， 攻破齐历下军，遂取临菑。	Tham lấy thân phận là Hữu thừa tướng thuộc quyền chỉ huy của Hàn Tín, đánh phá quân Lịch Hạ nước Tề, rồi chiếm Lâm Truy.
还定济北郡，攻著、漯阴、平原、鬲、 卢。	Về bình định quận Tế Bắc, tấn công các đất Trứ, Tháp Âm, Bình Nguyên, Cách, Lư.
已而从韩信击龙且军於上假 密， 大破之，斩龙且，虏其将军周 兰。	Rồi lại theo Hàn Tín đánh quân của Long Thư ở Thượng Giả Mật, cả phá được, chém Long Thư, bắt sống Tướng quân Chu Lan.
定齐，凡得七十馀县。	Bình định nước Tề, cả thảy được hơn bảy mươi huyện.
韩信为齐王，引兵诣陈，与汉王共破项羽，而参留 平齐未服者。	Hàn Tín làm Tề vương, dẫn quân đến đất Trần, cùng Hán vương đánh phá Hạng Vũ, còn Tham ở lại bình định các đất chưa hàng phục ở nước Tề.
项籍已死，天下定，汉王为皇帝，韩信徙为楚王，齐为郡。	Sau khi Hạng Tịch chết, thiên hạ được bình định, Hán vương làm Hoàng đế, Hàn Tín được đổi phong làm Sở vương, Tề được lập thành quận.
高帝以长子肥为齐王，而以参为齐相国。	Cao đế phong con trưởng là Phì làm Tề vương, rồi lấy Tham làm Tướng quốc nước Tề.
以高祖六年赐爵列 侯，与诸侯剖符，世世勿绝。	Năm Cao tổ thứ sáu, ban tước cho liệt hầu, cùng chẻ lệnh phù ban cho chư hầu, đời đời không dứt.
食邑平阳万六百三十户，号曰平阳侯， 除前所食邑。	Thực ấp [của Tào Tham] ở Bình Dương gồm một vạn sáu trăm ba mươi hộ, hiệu là Bình Dương hầu, bỏ thực ấp được phong trước đây.
以齐相国击陈豨将张春军，破之。	[Tào Tham] lấy thân phận Tướng quốc nước Tề tiến đánh quân của Trương Xuân, là thuộc tướng của Trần Hy, phá được.
黥布反，参以齐相国从悼惠王 将兵车骑十二万人，与高祖会击黥布军，大破之。	Kình Bố làm phản, Tham lấy thân phận Tướng quốc nước Tề theo Điệu Huệ vương đem mười hai vạn quân xa kỵ hội quân cùng Cao tổ tiến đánh quân của Kình Bố, cả phá được.
南至蕲，还定竹 邑、相、萧、留。	Phía nam tiến đến đất Kỳ, trở về bình định Trúc Ấp, huyện Tương, huyện Tiêu, huyện Lưu.
参功：凡下二国，县一百二十二；得王二人，相三人，将军六 人，大莫敖、郡守、司马、候、御史 各一人。	Công lao của Tham: cả thảy hạ được hai nước, một trăm hai mươi hai huyện; bắt được hai vương, ba Tướng quốc, sáu Tướng quân; Đại mạc ngao, Quận thú, Tư mã, hầu, Ngự sử, mỗi hàng một viên.
参之相齐，齐七 十城。	Tham làm Thừa tướng nước Tề, nước Tề có bảy mươi thành.
参於是避正堂，舍盖公焉。	Thế là Tham lánh khỏi nhà chính, để cho Cái công ở.
惠帝二年，萧何卒。	Huệ đế năm thứ hai, Tiêu Hà chết.
参曰：“不然。夫狱市者，所 以并容也，今君扰之，奸人安所容也？吾是以先之。”	Tham đáp: “Không phải. Việc ngục tụng và buôn bán là việc để bao dung người, nay ngài làm cho rối loạn, kẻ gian biết dung thân chỗ nào? Nên tôi mới đặt các việc ấy lên trước.”
参子窋为中大夫。	Con Tham là Truật làm Trung đại phu.
卒，谥懿侯。	[Tham] chết, thụy là Ý hầu.
平阳侯窋，高后时为御史大夫。	Vào thời Cao hậu, Bình Dương hầu Truật làm Ngự sử đại phu.
立二十九年 卒，谥为静侯。	Kế thừa tước hầu được hai mươi chín năm thì chết, thụy là Tĩnh hầu.
时尚平 阳公主，生子襄。	Thì lấy Công chúa Bình Dương, sinh con là Tương.
及信已灭，而列侯成功，唯独参擅其名。	Sau khi Hàn Tín bị diệt, xét chiến công của liệt hầu, chỉ riêng Tham được nổi danh.
然百姓离秦之酷後，参与休息无为，故天下俱称其美矣。 曹参初起，为沛豪吏。 始从中涓，先围善置。 执珪执帛， 攻城略地。	Sau khi trăm họ thoát khỏi sự tàn khốc của nhà Tần, Tham cho họ được ngơi nghỉ, cai trị theo lối vô vi, cho nên thiên hạ đều khen ngợi đức tốt của ông.
高祖年，拜为假左丞相，入屯兵关中。	Cao tổ năm thứ hai, phong [Tham] làm giả Tả thừa tướng, tiến vào đóng đồn quân ở Quan Trung.
孝惠帝元年，除诸侯相国法，更以参为齐丞相。	Hiếu Huệ đế năm thứ nhất, bỏ pháp lệnh lập Tướng quốc nước chư hầu, đổi phong Tham làm Thừa tướng nước Tề.
天下初定，悼惠王富於春秋，参尽召长老诸生，问所以安集百 姓，如齐故诸儒以百数，言人人殊，参未知所定。	Thiên hạ mới được yên định, Điệu Huệ vương còn trẻ tuổi, Tham triệu hết các bậc trưởng lão, nho sinh đến hỏi cách vỗ yên trăm họ, các nho sinh cũ của Tề tới mấy trăm người, mỗi người nói một phách, Tham không biết theo cách nào.
其治要用黄老术，故 相齐九年，齐国安集，大称贤相。	Cách cai trị của Tào Tham theo đạo Hoàng Lão, cho nên làm Thừa tướng nước Tề chín năm, nước Tề yên định, được mọi người khen là Thừa tướng hiền năng.
参闻之，告舍人趣治行，“吾将入相”。	Tham nghe tin, liền nói Xá nhân kíp chuẩn bị hành trang, “Ta phải vào triều làm Tướng quốc”.
参去，属其後相曰：“以齐狱市为寄，慎勿扰 也。”	Tham đi, dặn người thay mình làm Thừa tướng nước Tề rằng: “Xin đem việc ngục tụng và buôn bán ở Tề gửi gắm [cho ông], hãy thận trọng, chớ để nhiễu loạn.”
至何且死，所推贤唯 参。	Tới khi Tiêu Hà sắp chết, tiến cử người hiền lại chỉ tiến cử Tham.
至者，参辄 饮以醇酒，间之，欲有所言，复饮之，醉而後去，终莫得开说， 以为常。	Hễ có ai đến, Tham liền mời uống rượu ngon, hở chút thời gian, chực khuyên can, Tham lại mời uống, uống đến say rồi về, rốt cuộc không ai mở lời được, thường đều thế cả.
参曰：“陛下言之是也。且高帝与萧何定天下，法令既明，今 陛下垂拱，参等守职，遵而勿失，不亦可乎？”	Tham nói: “Bệ hạ nói chí phải. Cao đế và Tiêu Hà bình định thiên hạ, pháp lệnh đã rõ ràng, nay bệ hạ rủ áo chắp tay, bọn Tham giữ chức, noi theo mà không làm sai, chẳng cũng được ư?”
子窋代侯。	Con là Truật thừa kế tước hầu.
孝文帝立，免为侯。	Hiếu Văn đế lên ngôi, miễn chức, cho giữ tước hầu.
子奇代侯，立七年卒，谥为简侯。	Con là Kỳ kế thừa tước hầu, được bảy năm thì chết, thụy là Giản hầu.
时病疠，归国。	Thì bị bạo bệnh, về nước phong.
子襄代 侯。	Con là Tương kế thừa tước hầu.
襄尚卫长公主，生子宗。	Tương lấy Công chúa Vệ Trưởng, sinh con là Tông.
立十六年卒，谥为共侯。	Kế thừa tước hầu được mười sáu năm thì chết, thụy là Cung hầu.
子宗代侯。	Con là Tông kế thừa tước hầu.
征 和二年中，宗坐太子死，国除。	Trong năm Chinh Hòa thứ hai, Tông liên quan đến việc của Thái tử rồi chết, nước phong bị phế.
太史公曰：曹相国参攻城野战之功所以能多若此者，以与淮阴侯 俱。	Thái sử công bàn rằng: Tướng quốc Tào Tham có nhiều công lao đánh thành, dã chiến như thế là do phối hợp với Hoài Âm hầu.
参为汉相国，清静极言 合道。	Tham làm Tướng quốc nhà Hán, cực lực chủ trương theo lối thanh tịnh, hợp với tinh thần của Đạo gia.
因从韩信击赵相国夏说军於邬东， 大破之，斩夏说。	Nhân đó theo Hàn Tín đánh quân của Tướng quốc nước Triệu là Hạ Duyệt ở phía đông đất Ổ, cả phá được, chém Hạ Duyệt.
得故齐王田广相田光，其守相许章，及故 齐胶东将军田既。	Bắt được Điền Quang, nguyên là Tướng quốc của Tề vương Điền Quảng, Thú tướng Hứa Chương, cùng Tướng quân của Giao Đông vương ở Tề trước đây là Điền Ký.
参归 汉相印。	Tào Tham trả ấn tín Thừa tướng nhà Hán.
日夜饮醇酒。	[Tào Tham] ngày đêm uống rượu ngon.
参为汉相国，出入三年。	Tham làm Tướng quốc nhà Hán, ra vào triều ba năm.
立二十三年卒，谥夷侯。	Kế thừa tước hầu được hai mươi ba năm thì chết, thụy là Di hầu.
闻胶西有盖公，善 治黄老言，使人厚币请之。	Nghe nói Giao Tây vương có Cái công, giỏi đạo Hoàng Lão, [Tham] sai người đưa hậu lễ rước mời.
既见盖公，盖公为言治道贵清静而民自 定，推此类具言之。	Sau khi gặp Cái công, Cái công nói đạo trị nước quý ở sự thanh tĩnh mà dân tự yên định, cứ theo cách đó rồi nói tường tận cho Tham.
後相曰：“治无大於此者乎？”	Người kế nhiệm hỏi: “Việc trị lý không gì lớn hơn những điều đó ư?”
参代何为汉相国，举事无所变更，一遵萧何约束。	Tham thay Hà làm Tướng quốc nhà Hán, tiến hành các việc thảy không có gì thay đổi, nhất nhất đều theo khuôn phép của Tiêu Hà.
吏之言文刻 深，欲务声名者，辄斥去之。	Trong các quan lại, ai lời lẽ hà khắc, chỉ chuộng được tiếng tốt, liền bãi truất đuổi đi.
卿大夫已下吏及宾客见参 不事事，来者皆欲有言。	Khanh đại phu tới quan lại cấp dưới cùng tân khách thấy Tham không giải quyết công việc, người đến gặp đều muốn mở lời [can ngăn].
相舍後园近吏舍，吏舍日饮歌呼。	Vườn sau nhà Tướng quốc gần nhà các quan lại, nhà các quan lại hằng ngày đều uống rượu hát hò.
从吏恶之，无如之何，乃请参 游园中，闻吏醉歌呼，从吏幸相国召按之。 乃反取酒张坐饮，亦歌呼 与相应和。	Thuộc lại [của Tào Tham] ghét họ, không biết phải làm sao, bèn mời Tham du ngoạn trong vườn, để Tham nghe tiếng quan lại say rượu hò hát, thuộc lại hy vọng Tướng quốc sẽ triệu họ đến [để cấm đoán], chẳng dè [Tham] lại lấy rượu bày ra ngồi uống, cũng hò hát để hưởng ứng với họ.
参见人之有细过，专掩匿覆盖之，府中无事。	Tham thấy người khác có lỗi nhỏ, chuyên che giấu lấp liếm cho, trong phủ vô sự.
惠帝怪相国不治事，以为“岂 少朕与”？	Huệ đế trách Tướng quốc bỏ bê công việc, cho rằng “Há xem thường trẫm ư?”
乃谓窋曰：“若归， 试私从容问而父曰：‘高帝新弃群臣，帝富於春秋，君为相，日饮， 无所请事，何以忧天下乎？’然无言吾告若也。”	Bèn bảo Truật rằng: “Ngươi về, thử lúc riêng tư thong thả hỏi cha ngươi rằng: 'Cao đế mới bỏ quần thần, Hoàng đế còn trẻ tuổi, cha làm Tướng quốc, ngày ngày uống rượu, không có việc gì thỉnh tấu, lấy gì để thể hiện sự lo lắng cho thiên hạ vậy?' Nhưng chớ nói là ta bảo ngươi.”
参怒，而笞窋二百，曰：“趣入侍，天下事非若所当言也。”	Tham giận, rồi đánh Truật hai trăm roi, nói: “Mau vào hầu [Hoàng thượng], việc thiên hạ không phải điều mày nên nói đến.”
至 朝时，惠帝让参曰：“与窋胡治乎？ 乃者我使谏君 也。”	Tới lúc thiết triều, Huệ đế trách Tham rằng: “Sao lại phạt đánh Truật? Là ta bảo y khuyên can ông đấy.”
参免冠谢曰：“陛下自察圣武孰与高帝？”	Tham bỏ mũ tạ lỗi rằng: “Bệ hạ hãy tự xét xem có thánh minh anh vũ như Cao đế chăng?”
上曰：“朕乃安敢 望先帝乎！”	Hoàng thượng nói: “Trẫm sao dám so với tiên đế!”
曰：“陛下观臣能孰与萧何贤？”	Hỏi: “Bệ hạ xem thần đây có hiền năng như Tiêu Hà không?”
上曰：“君似不及 也。”	Hoàng thượng đáp: “Ông dường không bằng được.”
惠帝曰：“善。君休 矣！”	Huệ đế nói: “Phải. Ông không cần nói thêm nữa!”
百姓歌之 曰：“萧何为法，「冓页>若画一； 曹参代之，守而勿失。载其清净，民以宁 一。”	Trăm họ ca tụng Tham rằng: “Tiêu Hà chế pháp, thẳng như nét nhất. Tào Tham thay ông, giữ không sơ suất. Theo lối thanh tịnh, dân yên ổn nhất.”
