秦始皇帝者，秦庄襄王子也。	Tần Thủy Hoàng đế là con của Tần Trang Tương vương vậy.
大索，逐客，李斯上书说，乃止逐客令。	Mở cuộc lục soát lớn, đuổi tân khách. Lý Tư dâng thư khuyên, bèn dừng lệnh đuổi khách.
李斯因说秦王，请先取 韩以恐他国，於是使斯下韩。	Lý Tư nhân vậy khuyên Tần vương, xin đánh lấy Hàn trước tiên để dọa nước khác. Thế rồi sai Lý Tư đánh Hàn.
韩王患之。 与韩非谋弱秦。	Hàn vương lo lắng, cùng Hàn Phi bàn mưu làm yếu Tần.
大梁人尉缭 来，说秦王曰：“以秦之彊，诸侯譬如郡县之君，臣但恐诸侯合从， 翕而出不意，此乃智伯、夫差、湣王之所以亡也。原大王毋爱财物， 赂其豪臣，以乱其谋，不过亡三十万金，则诸侯可尽。”	Người Đại Lương là Úy Liễu tới, khuyên Tấn vương rằng: “Với sự lớn mạnh của Tần, chư hầu ví như người đứng đầu quận huyện. Thần chỉ sợ chư hầu hợp tung, họp lại tấn công bất ngờ. Đó chính là duyên do khiến Trí Bá, Phù Sai, Mẫn Vương diệt vong vậy. Mong đại vương chớ tiếc tiền của, hối lộ đại thần các nước để làm loạn mưu họ, bất quá mất ba chục vạn kim là chư hầu thu được hết.”
秦王觉，固止，以为秦 国尉，卒用其计策。	Tần vương phát giác, quyết giữ, bài làm quốc úy nước Tần, toàn dùng kế sách của Liễu.
而李斯用事。	Lý Tư chấp chính.
十一年，王翦、桓齮、杨端和攻鄴，取九城。	Năm thứ mười một, Vương Tiễn, Hoàn Kỹ, Dương Đoan Hòa đánh đất Nghiệp, chiếm chín thành.
王翦攻阏与、橑 杨， 皆并为一军。	Vương Tiễn đánh đất Át Dự, Lão Dương, (ba quân) đều hợp thành một quân.
翦将十八日，军归斗 食以下， 什推二人从军 取鄴安阳，桓齮将。	Vương Tiễn cầm quân mười tám ngày, cho những người có mức bổng lộc từ Đấu thực trở xuống về nhà, trong mười người lại cử ra hai người tòng quân. Chiếm đất Nghiệp, An Dương, Hoàn Kỹ cầm quân.
十二年，文信侯不 韦死，窃葬。 其 舍人临者，晋人也逐出之； 秦人六百石以上夺爵，迁； 五百石以下不临，迁，勿夺爵。	Năm thứ mười hai, Văn Tín hầu Lã Bất Vi chết, ngầm đem chôn, Đám xá nhân của Lã Bất Vi tham dự tang lễ, kẻ nào là người Tấn thì trục xuất về nước; kẻ nào là người Tần có bổng lộc sáu trăm thạch trở lên thì tước bỏ tước vị, bắt dời đi nơi khác; kẻ nào có bổng lộc năm trăm thạch trở xuống không dự tang thì bắt dời đi nơi khác, không tước bỏ tước vị.
自今以来，操国事不道如嫪毐、 不韦者籍其门， 视此。	Từ đây về sau, những kẻ giữ việc nước mà vô đạo như Lao Ái, Bất Vi, cả nhà sẽ bị sung làm nô lệ, coi vậy mà làm.
秋，复嫪毐 舍人迁蜀者。	Mùa thu, miễn thuế má, lao dịch cho đám gia thần của Lao Ái bị dời đến đất Thục.
当是之时，天下大旱，六月至八月乃雨。	Bấy giờ, thiên hạ đại hạn, từ tháng Sáu đến tháng Tám mới có mưa.
十三年，桓齮攻赵平阳， 杀赵将扈辄， 斩首十万。	Năm thứ mười ba, Hoàn Kỹ đánh đất Bình Dương của Triệu, giết tướng Triệu là Hỗ Triếp, chém mười vạn thủ cấp.
王之河南。	Tần vương đến Hà Nam.
正月，彗星见东 方。	Tháng Giêng, sao chổi hiện ở phương đông.
十月，桓齮攻赵。	Tháng Mười, Hoàn Kỹ đánh Triệu.
十四年，攻赵军於平阳，取宜安， 破之，杀其将军。	Năm thứ mười bốn, đánh quân Triệu ở Bình Dương, chiếm đất Nghi An, phá quân Triệu, giết tướng quân.
桓齮定 平阳、武城。	Hoàn Kỹ dẹp yên Bình Dương, Võ Thành.
韩非使秦，秦用 李斯谋，留非，非死云阳。	Hàn Phi đi sứ nước Tần, Tần dùng mưu của Lý Tư, giữ Phi lại, Phi chết ở Vân Dương.
韩王请为臣。	Hàn vương xin làm bề tôi. 1.
十五年，大兴兵，一军至鄴，一军至太原，取狼孟。	Năm thứ mười lăm, cất đại quân, một nhánh quân đến đất Nghiệp, một nhánh quân đến Thái Nguyên, chiếm Lang Mạnh.
地动。	Động đất.
十六年九月，发卒受地韩南阳假守 腾。	Năm thứ mười sáu, tháng Chín, phát quân tiếp nhận ấp Nam Dương của Hàn, sai Đằng làm thay chức Thái thú.
初令男子书年。	Bắt đầu lệnh cho trai tráng đăng ký tuổi tác.
魏献地於秦。	Ngụy dâng đất cho Tần.
秦置丽邑。	Tần đặt làm Ly Ấp.
十七年，内史腾攻韩，得韩王安， 尽纳其地，以其地为郡，命曰颍川。	Năm thứ mười bảy, nội sử Đằng đánh Hàn, bắt được Hàn vương An, thu hết đất Hàn, đặt đất ấy làm một quận, gọi là Dĩnh Xuyên.
地 动。	Động đất.
华阳太后卒。	Thái hậu Hoa Dương mất.
民大饥。	Dân đói to.
十八年，大兴兵攻 赵，王翦将上地，下井陉， 端和将河内，羌瘣 伐赵，端和围邯郸城。	Năm thứ mười tám, cất đại quân đánh Triệu, Vương Tiễn cầm quân đất Thượng Địa, đánh hạ Tĩnh Hình. Đoan Hòa cầm quân Hà Nội. Khương Hối đánh Triệu, Đoan Hòa vây thành Hàm Đan.
十九年，王翦、羌瘣尽定取赵地东阳，得赵 王。	Năm thứ mười chín, Vương Tiễn, Khương Hối dẹp yên và chiếm hết vùng Đông Dương của Triệu, bắt được Triệu vương.
引兵欲攻燕，屯中山。	Dẫn quân định đánh Yên, đóng quân ở Trung Sơn.
秦王之邯郸，诸尝与王生 赵时母家有仇怨，皆阬之。	Tần Vương tới Hàm Đan. Những kẻ từng có thù oán với nhà mẹ của Tần vương khi sinh sống ở Triệu đều bị chôn sống.
秦王还，从太原、上郡归。	Tần vương quay lại, từ Thái Nguyên, Thượng Quận trở về.
始皇帝母太后 崩。	Thái hậu, mẹ của Thủy Hoàng đế băng.
赵公子嘉率其宗数百人之代，自立为代王，东与燕合兵，军上 谷。	Triệu công tử Gia dẫn mấy trăm người trong họ tới đất Đại, tự lập làm Đại vương, phía đông họp quân với Yên, đóng quân ở Thượng Cốc.
大饥。	Đói to.
二十年，燕太子丹患秦兵至国，恐，使荆轲刺秦王。	Năm thứ hai mươi, thái tử Đan nước Yên lo quân Tần tới Yên, sợ hãi sai Kinh Kha hành thích Tần vương.
秦王觉之， 体解轲以徇，而使王翦、辛胜攻燕。	Tần vương phát giác, phanh thây Kinh Kha đem thị chúng, lại sai Vương Tiễn, Tân Thắng đánh Yên.
燕、代发兵击秦 军，秦军破燕易水之西。	Yên và Đại đem quân đánh quân Tần. Quân Tần phá Yên ở phía tây sông Dịch.
二十一年，王贲攻。	Năm thứ hai mươi mốt, Vương Bôn đánh Kinh Sở.
乃益发卒诣 王翦军，遂破燕太子军，取燕蓟城，得太子丹之首。	Bèn tăng quân tới nhập với quân Vương Tiễn, phá quân thái tử nước Yên, chiếm Kế Thành của Yên, lấy được đầu của thái tử Đan.
燕王东收辽东而 王之。	Yên vương thu được đất Liêu Đông ở phía đông rồi xưng vương.
新郑反。	Tân Trịnh phản.
昌平君徙於郢。	Xương Bình quân dời đến đất Dĩnh.
大 雨雪，深二尺五寸。	Tuyết rơi lớn, sâu hai thước năm tấc.
二十二年，王贲攻魏，引河沟灌大梁，大梁城坏，其王请降， 尽取其地。	Năm thứ hai mươi hai, Vương Bôn đánh Ngụy, dẫn nước Biện Hà đổ vào Đại Lương, thành Đại Lương hỏng, vua Lương xin hàng. Tần lấy được toàn bộ đất ấy.
二十三年，秦王复召王翦，彊起之，使将击荆。 取陈以南至平舆， 虏荆王。	Năm thứ hai mươi ba, Tần vương lại triệu Vương Tiễn, cố nài nhận chức, sai cầm quân đánh Kinh Sở, chiếm đất từ Trần trở xuống năm tới Bình Dư, bắt vua Sở.
秦王游至郢陈。	Tần vương du ngoạn tới đất Dĩnh, Trần.
荆将项燕立昌平君为 荆王，反秦於淮南。	Tướng Sở là Hạng Yên lập Xương Bình quân làm Sở vương, phản Tần ở Hoài Nam.
二十四年，王翦、蒙武攻荆，破荆军，昌平君 死，项燕遂自杀。	Năm thứ hai mươi bốn, Vương Tiễn, Mông Võ đánh Sở, phá quân Sở. Xương Bình quân chết, Hạng Yên bèn tự sát.
二十五年，大兴兵，使王贲将，攻燕辽东，得燕王喜。	Năm thứ hai mươi lăm, cất đại quân, sai Vương Bôn cầm quân, đánh đất Liêu Đông của Yên, bắt được Yên vương Hỷ.
还攻代，虏代王嘉。 王翦遂定荆江南地； 降越君， 置会稽郡。	Quay lại đánh Đại, bắt được Đại vương Gia, Vương Tiễn liền dẹp yên đất Giang Nam của Sở, hàng phục vua Việt, đặt quận Cối Kê.
五月，天下大酺。	Tháng Năm, thiên hạ ăn mừng lớn.
秦使将军王贲从燕南攻齐，得齐王建。	Tần sai tướng quân Vương Bôn từ phía nam đất Yên đánh Tề, bắt được Tề vương Kiến.
秦初并天下，令丞相、御史曰： “异日韩王纳地效玺，请为籓臣，已而倍约，与 赵、魏合从畔秦，故兴兵诛之，虏其王。寡人以为善，庶几息兵革。 赵王使其相李牧来约盟，故归其质子。已而倍盟，反我 太原，故兴兵诛之，得其王。赵公子嘉乃自立为代王，故举兵击灭 之。魏王始约服入秦，已而与韩、赵谋袭秦，秦兵吏诛，遂破之。荆 王献青阳以西， 已而畔约，击我南 郡，故发兵诛，得其王，遂定其荆地。燕王昏乱，其太子丹乃阴令荆 轲为贼，兵吏诛，灭其国。齐王用后胜计，绝秦使，欲为乱，兵吏 诛，虏其王，平齐地。寡人以眇眇之身，兴兵诛暴乱，赖宗庙之灵， 六王咸伏其辜，天下大定。今名号不更，无以称成功，传後世。其议 帝号。”	Tần vừa kiêm tính thiên hạ, liền lệnh cho thừa tướng, Ngự sử rằng: “Ngày trước, Hàn vương nộp đất dâng ấn, xin làm phiên thần, không lâu thì bội ước, cùng Triệu, Ngụy hợp tung phản Tần, nên mới dấy quân tiêu diệt, bắt tù vua chúng. Quả nhân coi đó là việc tốt, ngõ hầu dập tắt binh đao. Triệu vương sai tướng quốc Lý Mục tới thề ước, nên ta trả con tin, không lâu thì bội thề, phản ta ở Thái Nguyên, nên mới dây quấn tiêu diệt, bắt được vua chúng. Triệu công tử Gia bèn tự lập làm Đại vương, nên ta cất quân đánh diệt chúng. Ngụy vương lúc đầu hẹn hàng phục, vào đất Tần, không lâu lại cùng Hàn, Triệu bàn mưu đánh úp Tần, bị quan quân Tần giết, rồi phá tan. Sở vương dâng đất từ Thanh Dương trở về tây, không lâu lại bội ước, đánh Nam quận của ta, nên mới phát quân tiêu diệt, bắt vua chúng, dẹp yên miền Kinh Sở. Yên vương hỗn loạn, thái tử Đan bèn ngầm sai Kinh Kha làm thích khách, quan quân mới đánh giết, diệt nước ấy. Tề vương dùng kế của Hậu Thắng, tuyệt giao với Tần, muốn làm loạn, quan quân mới đánh giết, bắt tù vua chúng, san bằng đất Tề. Quả nhân, một thân nhỏ bé, cất quân diệt bạo loạn, nhờ tông miếu linh thiêng, sáu vua đều rạp mình nhận tội, thiên hạ đại định. Nay danh hiệu không đổi thì không xứng với cuộc thành công, truyền cho hậu thế. Các ngươi hãy bàn việc đặt đế hiệu”.
丞相绾、御史大夫劫、 廷尉 斯等 皆曰：“昔者五帝地方千里，其外侯服夷 服诸侯或朝或否，天子不能制。今陛下 兴义兵， 诛残贼，平定天下，海内为郡县，法令由一 统，自上古以来未尝有，五帝所不及。臣等谨与博士议曰： ‘古有天皇，有地皇，有泰皇， 泰皇最贵。’臣等昧死 上尊号，王为‘泰皇’。命为‘制’，令为‘诏’， 天子自称曰‘朕’。”	Bọn thừa tướng Vương Quán, Ngự sử đại phu Phùng Kiếp, Đình úy Lý Tư đều nói: “Xưa kia đất của Ngũ đế vuông ngàn dặm, bên ngoài là các cõi Hầu phục, Di phục. Chư hầu có kẻ vào chầu có kẻ không, thiên tử không thể khống chế. Nay bệ hạ dầy nghĩa binh, diệt giặc tàn, bình định thiên hạ, bốn biển thành quận huyện, pháp lệnh đều thống nhất, từ thời thượng cổ đến nay chưa từng có, Ngũ đế không sánh bằng. Chúng thần cẩn thận cùng các quan Bác sĩ bàn rằng: xưa có Thiên hoàng, có Địa hoàng, có Thái hoàng, mà Thái hoàng cao quý nhất. Chúng thần liều chết dâng tôn hiệu. Vua gọi là Thái hoàng, mệnh gọi là chế, lệnh gọi là chiếu, thiên tử tự xưng là trẫm?”
制曰：“可。” 追 尊庄襄王为太上皇。	Tờ chế viết rằng: “Được”, truy tôn Trang Tương vương là Thái thượng hoàng.
制曰：“朕 闻太古有号毋谥，中古有号，死而以行为谧。如此，则子议父，臣议 君也，甚无谓，朕弗取焉。自今已来，除谥法。 朕为始皇帝。後世以计数，二世三世至于万世，传 之无穷。”	Từ chế khác viết: “Trẫm nghe nói thời thái cổ có hiệu không cổ thụy, thời trung cổ có hiệu, vua chết thì dựa vào việc làm mà đặt thụy. Như vậy thì con bàn về cha, tôi bàn về vua, rất vô nghĩa. Trẫm không tán thành. Từ nay về sau, bỏ phép đặt thụy. Trẫm là Thủy Hoàng đế. Đời sau theo số mà tính, Nhị Thế, Tam Thế cho tới Vạn Thế, truyền đến vô cùng.”
始皇推终始五德之传， 以为周得火德，秦代周德，从所不胜。	Thủy Hoàng suy xét sự vận hành tuần hoàn chung thủy của năm đức, cho rằng nhà Chu được hỏa đức, Tần thay đức nhà Chu, phải theo đức mà hỏa không thắng được.
方今水德之 始，改 年始，朝贺皆自十月朔。	Nay thủy đức bắt đầu, đổi tháng đầu của năm, việc triều hạ đều nhằm ngày mồng một tháng Mười.
更名河曰德水，以为水德之始。	Lại đổi tên Hoàng Hà thành Đức Thủy, ý rằng thủy đức bắt đầu.
於是急法，久者不赦。	Thế rồi pháp lệnh gay gắt, lâu không khoan xá…
丞相绾等言：“诸侯初破，燕、齐、荆地远，不为 置王，毋以填之。请立诸子，唯上幸许。”	Bọn thừa tướng Vương Quán nói: “Chư hầu vừa diệt, vùng Yên, Tề, Kinh Sở xa xôi, không đặt vua thì không thể trấn yên. Xin lập các hoàng tử làm vương. Mong hoàng thượng phê chuẩn.”
始皇下其议於群臣，群臣 皆以为便。	Thủy Hoàng đưa lời tẩu xuống cho quần thần, quần thần đều cho là tiện.
始皇 曰：“天下共苦战斗不休，以有侯王。赖宗庙，天下初定，又复立 国，是树兵也，而求其宁息，岂不难哉！廷尉议是。”	Thủy Hoàng nói: “Thiên hạ cùng khổ vì chiến tranh không ngừng, do có các vương hầu. Nay nhờ tông miếu, thiên hạ vừa yên, lại lập lại các nước, ấy là gieo mầm chiến tranh vậy. (Như vậy mà) cầu mong yên bình, há chẳng khó sao! Đình úy bàn rất phải.”
分天下以为三十六郡， 郡置守、尉、 监。	Chia thiên hạ làm ba mươi sáu quận, mỗi quận đặt các chức Thủ, Ủy, Giám.
大酺。	Ăn mừng lớn.
收天下兵，聚之咸阳，销 以为锺鐻，金人十二，重各千石， 置廷宫中。	Thu gom binh khí trong thiên hạ, tập hợp ở Hàm Dương, đúc thành chuông và giá chuông, mười hai người đồng, mỗi người nặng nghìn thạch, đặt trong cung.
地东至海暨 朝鲜， 西至临洮、羌中， 南至北乡户， 北据河为塞，并阴山至 辽东。	Đất phía đông tới biển và Triều Tiên, phía tây tới Lâm Thao, Khương Trung, phía nam tới Bắc hộ, phía bắc lấy Hoàng Hà làm nơi sung yếu, men theo Âm Sơn tới cõi Liêu Đông.
徙天下豪富於咸阳十二万户。	Dời mười hai vạn hộ hào phú trong thiên hạ tới Hàm Dương.
二十七年，始皇巡陇西、北地， 出鸡头山， 过 回中。	Lược đồ thống nhất văn từ các nước của Tần Năm thứ hai mươi bảy, Thủy Hoàng đi tuần Lũng Tây, Bắc Địa, ra khỏi núi Kê Đầu, đi qua Hồi Trung.
筑甬道， 自咸阳属之。	Xây sửa đường ống, nối thẳng đến Hàm Dương.
是岁，赐爵一级。	Năm ấy, ban tước một cấp.
二十八年，始皇东行郡县，上邹峄山。 立石，与鲁诸儒生议，刻石颂秦德，议封禅望 祭山川之事。 乃遂上泰山， 立石，封，祠祀。	Năm thứ hai mươi tám, Thủy Hoàng đi tuần tới các quận huyện phía đông, lên núi Trâu Dịch, dựng bia, nói chuyện với các Nho sinh đất Lỗ, khắc đá ca tụng đức nhà Tần, bàn việc phong thiện, tế tự trời đất, núi sông.
下，风雨暴至，休於树下，因封其 树为五大夫。 禅梁父。 刻所立石，其辞曰： 皇帝临位，作制明法，臣下脩饬。 二十有六年，初并 天下，罔不宾服。	Rồi lên Thái Sơn, dựng bia, lập đàn, tế trời; khi xuống núi, mưa gió ập tới, nghỉ dưới gốc cây, nhân phong cho cây đó làm Ngũ đại phu.
於是乃并勃海以东，过黄、 腄， 穷成山，登之罘， 立石颂秦德焉而去。 南登琅邪，大乐之，留三 月。 乃徙黔首三万户琅邪台下， 复十 二岁。 作琅邪台，立 石刻，颂秦德，明得意。	Thế rồi (Thủy Hoàng) bèn men theo Bột Hải về hướng đông, đi qua huyện Hoàng, huyện Thủy, leo hết Thành Sơn, lên núi Chi Phù, dựng bia ca tụng công đức nhà Tần rồi đi.
六合之内，皇帝之土。 西涉流沙， 南尽北户。 东有东海，北过大夏。 人迹所至，无不臣者。	Bấy giờ Tấn vương gồm thu thiên hạ, đặt hiệu là hoàng đế, bèn vỗ yên miền đông, đến đất Lang Nha.
功盖五 帝，泽及牛马。 莫不受德，各安其宇。 维秦王兼有天下，立名为皇帝，乃抚东土，至于琅邪。 列侯 武城侯王离、列侯通武侯王贲、伦侯 建成侯赵亥、伦侯昌武 侯成、伦侯武信侯冯毋择、丞相隗林、 丞相王绾、卿李 斯、卿王戊、五大夫赵婴、五大夫杨樛从，与 议於海上。	Liệt hầu Võ Thành hầu Vương Ly, Liệt hầu Thông Võ hầu Vương Bôn, Luân hầu Kiến Thành hầu Triệu Hợi, Luân hầu Xương Võ hầu Thành, Luân hầu Võ Tín hầu Phùng Vô Trạch, thừa tướng Ngôi Lâm, thừa tướng Vương Quán, quan Khanh Lý Tư, quan Khanh Võ Mậu, quan Ngũ đại phu Triệu Anh, quan Ngũ đại phu Dương Cù đi theo, cùng bàn bạc trên biển.
曰：“古之帝者，地不过千里，诸侯各 守其封域，或朝或否，相侵暴乱，残伐不止，犹刻金石，以自为纪。 古之五帝三王，知教不同，法度不明，假威鬼神， 以欺远方，实不称名， 故不久长。其身未殁，诸侯倍叛，法令不行。今皇帝并 一海内，以为郡县，天下和平。昭明宗庙，体道行德，尊号大成。群 臣相与诵皇帝功德，刻于金石，以为表经。”	Nói rằng: “Đế vương thời xưa, đất không quá ngàn dặm, chư hầu giữ đất phong có kẻ vào chầu có kẻ không, xâm chiếm bạo loạn, đánh giết không ngừng, còn tạc đá vàng, tự ghi công trạng. Thời Ngũ đế, Tam vương xưa, văn giáo bất đồng, pháp độ chẳng rõ, mượn oai quỷ thần, lừa dối phương xa, thực không xứng với danh hiệu, cho nên không được lâu dài. Thân còn chưa chết mà chư hầu đã phản bội, pháp lệnh không thể thi hành. Nay hoàng đế thống nhất bốn biển, sắp đặt quận huyện, thiên hạ thái bình, làm rạng tông miếu, thi hành đức chính, tôn hiệu đã thành. Quần thần cùng ca tụng công đức của hoàng đế, tạc vào đá vàng, dùng làm điển phạm.”
乃西南渡淮水，之衡 山、 南郡。	Bèn xuôi hướng Tây Nam vượt sông Hoài, tới Hành Sơn, Nam quận.
上 自南郡由武关归。	Thủy Hoàng từ Nam quận qua Võ Quan về kinh.
二十九年，始皇东游。	Năm thứ hai mươi chín, Thủy Hoàng du ngoạn phương đông.
三十年，无事。	Năm thứ ba mươi, vô sự.
三十一年十二月，更名腊曰“嘉 平”。	Năm thứ ba mươi mốt, tháng Mười hai, đổi gọi tháng Chạp thành “Gia Bình”.
始皇为微行咸阳，与 武士四人俱，夜出逢盗兰池， 见窘，武士击杀盗，关 中大索二十日。	Thủy Hoàng vi hành ở Hàm Dương, có bốn võ sĩ đi cùng, đến đêm ra đường gặp đạo tặc ở Lan Trì. Rơi vào thế quẫn, các võ sĩ đánh giết đạo tặc. Mở cuộc lục soát lớn ở Quan Trung hai mươi ngày.
米石千六百。	Một thạch cao giá một nghìn sáu trăm tiền.
三十二年，始皇之碣石，使燕人卢生求羡门、 高誓。	Năm thứ ba mươi hai, Thủy Hoàng tới Kệ Thạch, sai người Yên là Lư Sinh tìm Tiện Môn, Cao Thệ.
因使韩终、侯公、石生求仙人不死之药。	Nhân đó sai Hàn Chung, Hầu Công, Thạch Sinh tìm thuốc bất tử của thần tiên.
始皇巡北边，从上郡 入。	Thủy Hoàng đi tuần biên giới phía bắc, từ Thượng Quận về kinh.
