夏禹， 名曰文 命。	Hạ Vũ tên là Văn Mệnh.
及禹崩，虽授益，益之佐禹日浅，天下未洽。	Kịp khi Vũ băng, tuy trao ngôi cho Ích, nhưng Ích phò tá Vũ ít ngày, thiên hạ chưa hòa hợp.
故 诸侯皆去益而朝启，曰“吾君帝禹之子也”。	Vậy nên chư hầu đều rời Ích mà sang chầu Khải, nói rằng: “Vua ta là con của Đế Vũ vậy”.
於是启遂即天子之位， 是为夏后帝启。	Bấy giờ Khải liền lên ngôi thiên tử, đây là Đế Khải nhà Hạ Hậu.
夏后帝启，禹之子，其母涂山氏之女也。	Đế Khải nhà Hạ Hậu là con trai của Vũ, bà mẹ là con gái của họ Đồ Sơn vậy.
有扈氏不服， 启伐之，大战於 甘。	Họ Hữu Hỗ không phục, Khải bèn thảo phạt, đại chiến ở đất Cam.
启曰：“嗟！六事之人， 予誓告女：有扈氏威侮五行，怠弃三正， 天用 剿绝其命。今予维共行天之罚。 左不攻于左，右不攻于右，女不共命。 御非其马之政，女不共命。 用命，赏于祖； 不用命，僇于社， 予则帑僇女。”	Khải nói: “Hỡi người của sáu quân, ta có lời thề bá cáo với các ngươi: họ Hữu Hỗ khinh nhờn ngũ hành, hủy bỏ tam chính, trời muốn tuyệt mệnh chúng. Nay ta vang trời thảo phạt. Kẻ bên trái không đánh bên trái, kẻ bên phải không đánh bên phải, vậy là người không vâng mệnh. Đánh xe ngựa không đúng cách, vậy là người không vâng mệnh. Vâng mệnh thì ta thường ở tổ miếu, không vâng mệnh thì ta giết ở xã đàn, ta sẽ giết cả vợ con ngươi?”
天下咸朝。	Thiên hạ đều chầu.
夏后帝启崩， 子帝太康立。	Đế Khải nhà Hạ Hậu băng, con là Đế Thái Khang lên ngôi.
中康崩，子帝相立。 帝相崩，子帝少康立。	Hạ Khải (Trung Quốc tịch đại đế vương danh thần tượng chân tích) Trung Khang bằng, con là Đế Tương lên ngôi.
帝少康崩，子帝予 立。 帝 予崩，子帝槐立。	Đế Tương băng, con là Đế Thiếu Khang lên ngôi. Đế Thiếu Khang băng, con là Đế Dư lên ngôi.
帝槐崩，子帝芒 立。 帝芒崩，子帝泄立。	Đế Dư băng, con là Đế Hòe lên ngôi. Đế Hòe băng, con là Đế Mang lên ngôi.
帝泄崩，子帝不降 立。 帝不降崩，弟帝扃立。	Để Mang băng, con là Đế Tiết lên ngôi. Đế Tiết băng, con là Đế Bất Giáng lên ngôi. Đế Bất Giáng băng, em là Đế Quynh lên ngôi.
帝扃崩，子帝廑 立。 帝廑崩，立帝不降之子孔甲，是为帝孔甲。	Để Quynh băng, con là Đế Cẩn lên ngôi. Đế Cẩn băng, lập con của Đế Bất Giáng là Khổng Giáp, chính là Đế Khổng Giáp.
天降龙二，有 雌雄，孔甲不能食，未得豢龙氏。	Trời giáng hai con rồng, một đực một cái, Khổng Giáp không biết nuôi, lại chưa tìm được họ Hoạn Long (nuôi rồng).
龙一雌死，以食夏后。	Con rồng cái chết, làm thức ăn dâng Hạ Hậu.
夏 后使求，惧而迁去。	Hạ Hậu sai người đến tìm, hắn sợ bỏ chạy.
孔甲崩，子帝皋立。	Khổng Giáp băng, con là Đế Cao lên ngôi.
帝皋崩，子帝发 立。	Đế Cao băng, con là Đế Phát lên ngôi.
帝发崩，子帝履癸立，是为桀。	Đế Phát băng, con là Đế Lý Quý, chính là Kiệt lên ngôi.
乃召汤而囚之夏台， 已而释之。	Kiệt gọi Thang tới, cầm tù ở Hạ Đài, sau đó lại thả.
桀谓人曰：“吾悔不遂杀汤於夏台，使 至此。”	Kiệt nói với người xung quanh: “Ta hối hận đã không giết Thang ở Hạ Đài, nên mới đến nước này.”
汤乃践天子位，代夏朝天下。	Thang bèn lên ngôi thiên tử, thay nhà Hạ nhận thiên hạ đến chầu.
自虞、夏 时，贡赋备矣。	Từ thời Ngu, Hạ, chế độ cống phú đã hoàn bị.
或言禹会诸侯江南，计功而崩，因葬焉，命曰会稽。 会稽者，会计也。	Có kẻ nói Vũ họp chư hầu ở Giang Nam, liệt kê công trạng rồi băng, nhân an táng ở đó, đặt tên là Cối Kê. Cối Kê tức là hội họp để liệt kê vậy.
禹为人敏给克勤；其德不违，其仁可亲，其言可信；声为律， 身为度， 称以出； 亹亹穆穆，为纲为纪。	Hạ Vũ (Tam Tài đồ hội) Vũ là người mẫn tiếp, cần cù, phẩm hạnh chuẩn mực, nếp nhân đáng gần, lời nói đáng tin, giọng tựa nhạc luật, thân là thước đo, cân nhắc rồi mới làm, cần mẫn trang nghiêm, là gương là mẫu.
薄衣 食，致孝于鬼神。	Áo cơm đạm bạc, hết mực kính thờ quỷ thần.
令益予众庶稻，可种卑 湿。	Lại sai Ích cho dân lúa, để có thể trồng ở vùng trũng ẩm.
禹行自冀州始。	Vũ bắt đầu trị thủy ở Ký châu.
冀州：既载 壶口，治梁及岐。	Tại Ký châu, xong ở Hồ Khẩu thì trị đến núi Lương và núi Kỳ.
既脩太原，至于岳阳。	Trị xong Thái Nguyên thì đến mé nam của núi Thái Nhạc.
夹右碣石，入于海。	Họ đi vòng qua bên phải núi Kệ Thạch để vào biển.
其土黑坟， 草繇木条。	Đất ở đây đen và màu mỡ, cỏ rậm cây cao.
浮於济、漯，通於河。 海岱维青州： 堣夷既略， 濰、淄其道。	Họ đi thuyền trên sông Tế, sông Tháp, rồi vào sông Hoàng Hà. Biển và núi Đại Tông bao bọc Thanh châu. Ngu Di đã định, sông Duy và sông Truy đã lưu thông.
浮于淮、泗， 通于河。	Họ đi thuyền trên sông Hoài, sông Tử, rồi thông vào Hoàng Hà. Sông Hoài và biển bao bọc Dương châu.
淮海维扬州： 彭蠡既都，阳鸟所居。 三江既入， 震泽致定。 竹箭既布。	Bành Lãi thành hồ, chim nhạn về ở. Ba sông (Tùng Giang, Lâu Giang, Đông Giang) chảy vào bể, vùng Trấn Trạch yên định.
其草惟夭，其木惟乔， 其土涂泥。	Tre trúc khắp nơi, cỏ mọc tươi tốt, cây cối vươn cao, đất bùn ẩm ướt.
均江海，通淮、泗。	Họ đi thuyền từ sông Trường Giang ra biển, rồi đến sông Hoài, sông Tử.
浮于江、沱、涔、汉，逾于雒，至于南河。	Họ đi thuyền trên sông Giang, sông Đà, sông Sầm, sông Hán, vượt đường bộ qua sông Lạc, rồi đến Nam Hà.
贡璆、铁、银、镂、砮、 磬， 熊、罴、狐、貍、织皮。	Cống phẩm có ngọc cẩu, sắt, bạc, thép, đá làm tên, khánh, gấu, beo, chồn, cáo, thảm dệt bằng lông thú.
道九山： 汧及岐至于荆山， 逾于河；壶口、雷首 至于太岳； 砥柱、析城至于 王屋； 太行、常 山至于碣石，入于海； 西倾、硃圉、鸟鼠 至于太华； 熊耳、外方、桐柏至于负尾； 道嶓冢，至于荆山； 内方至于大别； 汶山之阳至衡山， 过九江，至于敷浅原。 道九川：弱水至於 合黎， 馀波入 于流沙。	Thông chín núi: từ núi Khiên tới núi Kỳ đến núi Kinh Sơn, qua Hoàng Hà; từ núi Hồ Khẩu, núi Lôi Thủ tới núi Thái Nhạc; từ núi Để Trụ, núi Tích Thành tới núi Vương Ốc; từ núi Thái Hàng, núi Thường Sơn tới núi Kệ Thạch, ra đến biển; từ núi Tây Khuynh, núi Chu Ngữ, núi Điểu Thử tới núi Thái Hoa; từ núi Hùng Nhĩ, núi Ngoại Phương, núi Đồng Bách tới núi Phụ Vĩ; thông núi Ba Trung cho tới núi Kinh Sơn; núi Nội Phương thông tới núi Đại Biệt; phía nam núi Vấn Sơn thông tới núi Hành Sơn; qua vùng Cửu Giang tới núi Phu Thiển Nguyên.
道黑水，至于三危，入于南海。 道河积石， 至于龙门，南至华 阴， 东至砥柱， 又东至 于盟津， 东过雒汭，至于大邳， 北过降水，至于大陆， 北播为九 河，同为逆河，入于 海。 嶓冢道瀁，东流为汉， 又东为苍浪之水， 过三澨，入于大别， 南入于江，东汇泽为彭蠡， 东为北江，入于海。	Khơi chín sông: từ sông Nhược Thủy tới Hợp Lê, đoạn sông còn lại đổ vào Lưu Sa; khơi sông Hắc Thủy cho tới Tam Nguy, đổ vào Nam Hải; khơi thông Hoàng Hà, từ núi Tích Thạch cho tới núi Long Môn, phía nam tới mạn bắc núi Hoa Sơn, phía đông tới núi Để Trụ, lại một nhánh đông tới Minh Tân, phía đông qua Lạc Nhuế chảy tới núi Đại Phi, phía bắc qua sông Giáng Thủy tới chằm Đại Lục, phía bắc lại chia làm chín sông, sau đó hợp lưu, gọi là Nghịch Hà, đổ ra biển. Từ núi Ba Trung khơi sông Dạng, chảy về đông thành sông Hán Thủy, lại một nhánh đồng thành sông Thượng Lãng, qua Tam Phệ, đổ về núi Đại Biệt, phía nam đổ vào Trường Giang, phía đông tích lại thành chằm Bành Lãi, lại chảy về đông thành sông Bắc Giang, đổ vào biển.
汶山道江，东别为沱，又东至于醴， 过九江，至于东 陵，东迤北会于汇， 东为中江，入于梅。	Từ núi Vấn Sơn khơi Trường Giang, phía đông thành một nhánh riêng là sông Đà, lại một nhánh phía đông tới sông Lễ, qua Cửu Giang tới Đông Lăng, phía đông uốn khúc chảy qua phía bắc dồn vào chằm Bành Lãi, phía đông thành sông Trung Giang, đổ vào biển.
道淮自桐柏， 东会于泗、沂，东 入于海。	Khơi sông Hoài từ núi Đồng Bách, chảy về phía đông họp với sông Tứ, sông Nghi, lại chảy về đông đổ vào biển.
中国赐土姓：“祗台德先，不距朕行。”	Vua ban đất và đặt tên họ trong nước. Ngài nói rằng: “Kính giữ đức tốt trước thì không ai chống việc ta làm!”
三年丧毕，禹辞辟舜之子商均 於阳城。	Hết tang ba năm, Vũ nhường ngôi cho con của Đế Thuấn là Thương Quân, ra ở Dương Thành.
遂灭有扈氏。	Đoạn diệt họ Hữu Hỗ.
夏后氏德衰，诸侯畔之。	Họ Hạ Hậu đức suy, chư hầu phản loạn.
帝桀之时， 自孔甲以来而诸侯多畔夏，桀不务德而武伤百姓，百姓弗堪。	Thời vua Kiệt, từ thời Khổng Giáp trở đi có nhiều chư hầu phản Hạ, Kiệt không sửa đức mà dùng vũ lực làm tổn thương trăm họ, trăm họ không chịu nổi.
鸟夷皮服。	Người Điểu di mặc áo da.
其土白坟，海 滨广潟，厥田斥卤。	Đất ở đây trắng và màu mỡ, bờ biển dài rộng, ruộng muối mênh mông.
田上下，赋中上。	Đồng ruộng hạng ba, thuế phú hạng bốn.
厥贡盐絺，海物维错， 岱畎丝、枲、铅、松、怪 石， 莱夷为牧， 其篚酓丝。	Cống phẩm là muối, vải sắn mịn, đồ biển đa dạng, cùng tơ, gai, chì, gỗ thông và các thứ đá lạ ở hang núi Đại Tông. Người Lai di làm nghề chăn nuôi. Tơ tằm đựng bằng sọt.
其土赤埴坟， 草木渐包。	Đất ở đây là đất sét màu đỏ, màu mỡ, cỏ cây dần rậm tốt.
贡金三品， 瑶、琨、竹箭， 齿、革、羽、旄， 岛夷卉服， 其篚织贝， 其包橘、柚锡贡。	Cống vật có vàng ba phẩm, ngọc dao, ngọc côn, tre nhỏ, ngà voi, da thủ, lông vũ, đuôi mao ngưu. Người Đảo di mặc áo đỏ. Gấm Bối đựng bằng sọt. Bọc quýt, bưởi dâng cống.
荆及衡阳维荆州： 江、汉朝宗于海。	Kinh Sơn và phía nam của Hành Sơn bao bọc Kinh châu: sông Giang và sông Hán từ đây đổ về biển.
荆河惟豫州： 伊、雒、瀍、涧既入于河， 荥播既都， 道荷泽，被明都。	Kinh Sơn, Hoàng Hà bao bọc Dự châu: các sông Y, sông Lạc, sông Triền, sông Giản đổ vào Hoàng Hà, Huỳnh Bá đã chứa nước, Hà Trạch nắn theo dòng nước chảy đến Minh Đô.
贡漆、丝、絺、纻，其篚纤絮，锡 贡磬错。	Cổng phẩm có sơn, tơ, vải sẵn mịn, vải gai. Bông mịn đựng bằng sọt. Khi có lệnh thì cống đá mài khánh.
西倾因桓是来， 浮于潜，逾于沔， 入于渭，乱于 河。	Người núi Tây Khuynh xuôi theo sông Hoàn mà tới, đi thuyền trên sông Tiềm, chuyển đường bộ qua sông Miện, vào sông Vị, rồi bắt ngang sang Hoàng Hà.
黑水西河惟雍州： 弱水既西， 泾属渭汭。 漆、沮既从， 沣水所同。	Sông Hắc Thủy và phía tây Hoàng Hà bao bọc Ung châu: sông Nhược Thủy chảy về phía tây, sông Kinh đổ vào sông Vị, sông Tất, sông Thư chảy theo, sông Phong cũng đổ cùng.
田上上，赋中下。	Đồng ruộng hạng nhất, thuế phú hạng sáu.
贡璆、琳、琅玕。 浮于积石，至于龙门西河， 会于渭 汭。	Cống phẩm có ngọc cầu, ngọc lâm, đã lang, đá can. Đi thuyền từ núi Tích Thạch đến núi Long Môn, Tây Hà, họp ở sông Vị.
道沇水，东为济，入于河，泆为荥， 东出陶丘 北， 又东至于荷， 又东北会于汶， 又东北入于海。	Khơi sông Doãn Thủy, chảy về đông thành sông Tế, đổ vào Hoàng Hà, nước tràn lên thành chằm Huỳnh, đổ về phía đông, tới mạn bắc Đào Khưu, lại một nhánh đông tới chằm Hà, lại chảy về phía đông bắc đổ vào sông Vấn, lại về phía đông bắc đổ vào biển.
道渭自鸟鼠同穴， 东会于沣， 又东北至于 泾， 东过漆、沮，入于河。 道雒自熊耳， 东北会于涧、瀍， 又东会于伊， 东北入于河。	Khơi sông Vị tử núi Điểu Thử Đồng Huyệt, chảy về phía đông họp với sông Phong, chảy về phía đông bắc tới sông Kinh, lại chảy về phía đông qua sông Tất, sông Thư, đổ vào Hoàng Hà. Khơi sông Lạc từ núi Hùng Nhĩ, chảy về phía đông bắc họp với sông Giản, sông Triền, lại chảy về phía đông họp với sông Y, lại chảy về phía đông bắc đổ vào Hoàng Hà.
海岱及淮维徐州： 淮、沂其治，蒙、羽其(cid:0)。	Biển, núi Đại Tông và sông Hoài bao bọc Từ châu. Sông Hoài và sông Nghi đã trị xong, núi Mông và núi Vũ có thể gieo trồng.
贡维土五色， 羽畎夏狄， 峄阳孤桐， 泗滨浮 磬， 淮夷蠙珠臮 鱼， 其篚玄纤缟。	Cống phẩm là đất ngũ sắc, chim trĩ trong hẻm núi Vũ Sơn, gỗ vông ở phía nam núi Dịch Sơn, khánh đá ở ven sông Tứ. Người Hoài di cống ngọc trai và cá, lụa đen the mộc đựng bằng sọt.
华阳黑水惟梁州： 汶、嶓既(cid:0)， 沱、涔既道，蔡、 蒙旅平， 和夷厎绩。	Phía nam của núi Hoa Sơn và sông Hắc Thủy bao bọc Lương châu: núi Vấn, núi Ba đã gieo trồng được, sông Đà, sông Sầm đã lưu thông, núi Sái, núi Mông cử hành tế Lữ, đất Hòa Di hoàn công.
