高祖， 沛丰邑中阳里人，姓刘氏， 字季。	Cao tổ là người làng Trung Dương, ấp Phong, huyện Bái, họ Lưu, tên chữ là Quý.
齐人 叛之。	Người Tề phản lại.
楚使龙且往击之。	Sở sai Long Thư tới đánh.
田横往从 之。	Điền Hoành chạy tới theo.
数月而 降，杀之雒阳。	Mấy tháng sau mới hàng giết ở Lạc Dương.
高祖大惊， 下扶太公。	Cao tổ cả kinh, xuống đỡ Thái công.
是日，大赦天下。	Hôm ấy, đại xá thiên hạ.
更命郦邑曰新丰。	Đổi tên Lịch Ấp thành Tân Phong.
九月，上自东往击之。	Tháng Chín, hoàng thượng từ phía đông tới đánh.
月馀，卒骂高祖，高祖怒。	Hơn một tháng, quân lính chửi bới Cao tổ, Cao tổ nổi giận.
高祖自往击之。	Cao tổ đích thân tới đánh.
高祖还归，过沛，留。	Cao tổ trở về, qua đất Bái, liền ở lại.
十馀日，高祖欲去，沛父兄固请留高 祖。	Hơn mười ngày, Cao tổ muốn rời, phụ huynh đất bái cố giữ Cao tổ.
沛父兄固请，乃并复丰，比沛。	Phụ huynh đất Bái cố xin, bèn miễn thuế cho đất Phong như đất Bái.
太史公曰：夏之政忠。	Thái sử công bàn rằng: Chính trị nhà Hạ trung thực.
仁而爱 人，喜施，意豁如也。 常有大度，不事家人生产作业。	Ngài nhân hậu yêu người, thích ban phát, rất rộng lượng, thường có chí lớn, không làm những việc lao động của người thường.
及壮，试为吏， 为泗水亭长， 廷中吏无所不狎侮。	Khi lớn, ngài thử làm quan, làm đình trưởng sông Tứ, quan lại trong địa phương không ai không bị ngài khinh miệt.
好酒及色。 常从王媪、武负 贳酒， 醉卧， 武负、王媪见其上常有龙，怪之。	Ngài thích rượu và nữ sắc, thường uống rượu chịu ở nhà bà Vương, cô Vũ. Khi say rượu nằm ngủ, cô Vũ và bà Vương thấy trên mình ngài thường có con rồng, lấy làm lạ.
高祖每酤留饮，酒雠数倍。	Cao tổ mỗi lần đi mua rượu đều ở lại uống, tửu lượng nhiều gấp bội.
及见怪，岁竟，此两家常 折券弃责。	Sau khi thấy sự lạ, hết năm, hai nhà này thường gạch sổ xóa nợ cho ngài.
高祖常繇咸阳， 纵观，观秦皇帝， 喟然太息曰：“嗟乎， 大丈夫当如此也！”	Cao tổ từng làm lao dịch ở Hàm Dương, mặc ý nhìn ngó, thấy Tần Thủy Hoàng, ngậm ngùi than rằng: “Than ôi, đại trượng phu phải như vậy!”
单父人吕公 善沛令，避仇从之客，因家沛焉。	Lã công, người Đan Phục, thân với quan huyện Bái, vì tránh kẻ thù mà theo tới làm khách, nhân đó dựng nhà ở đất Bái.
沛中豪桀吏闻令有重客，皆往贺。	Hào kiệt đất Bái nghe nói quan huyện có khách quý, đều đến mừng.
萧何为主吏，主进， 令诸大 夫曰：“进不满千钱，坐之堂下。”	Tiêu Hà làm chức chủ lại (trong nha huyện), coi việc nhận lễ mừng, nói với tân khách rằng: “Lễ mừng không đủ nghìn tiền thì ngồi dưới.”
高祖为 亭长，素易诸吏，乃绐为谒曰 “贺钱万”，实不持一钱。	Cao tổ làm đình trưởng, xưa nay khinh quan lại, bèn làm cái thiệp, nói dối là mừng vạn tiền, kỳ thực không mang đồng nào.
吕公 者，好相人，见高祖状貌，因重敬之，引入坐。	Lã công thích xem tướng người, thầy tướng mạo Cao tổ, liền kính trọng ngài, dẫn vào ngồi.
萧何曰：“刘季固多 大言，少成事。”	Tiêu Hà nói: “Lưu Quý vốn hay nói bốc, hiếm khi làm được việc.”
高祖因狎侮诸客，遂坐上坐， 无所诎。	Cao tổ khinh mạn các khách, bèn ngồi chiếu trên, không hề khiêm nhường.
酒阑， 吕公因目固留高祖。	Tiệc rượu tàn, Lã công đưa mắt, cố giữ Cao tổ.
吕公曰：“臣少好相人， 相人多矣，无如季 相，原季自爱。臣有息女，原为季箕帚 妾。”	Lã công nói: “Tôi hồi trẻ thích xem tướng, xem cho nhiều người rồi, không ai được như tướng Quý, mong Quý tự trân trọng. Tôi có đứa con gái, mong được làm người vợ thu vén cho Quý.”
酒罢，吕媪怒吕公曰：“公始常欲奇此女，与贵人。沛令善 公，求之不与，何自妄许与刘季？”	Tiệc tan, bà Lã giận Lã công, nói: “Hồi đầu ông thường muốn đứa con gái này khác thường, phải gả cho người sang. Quan huyện Bái thân với ông, xin cưới ông không cho, sao lại tự ý gả bừa cho Lưu Quý?”
吕公曰：“此非兒女子所知 也。”	Lã công nói: “Không phải việc đàn bà con trẻ có thể hiểu được.”
吕公女乃吕后也，生孝惠帝、鲁元公主。	Con gái của Lã công chính là Lã hậu vậy, bà sinh ra Hiếu Huệ đế và công chúa Lỗ Nguyên.
高祖为亭长时，常告归之田。	Hồi Cao tổ làm đình trưởng, thường xin về làm ruộng.
吕后与两子 居田中耨，有一老父过请饮，吕后因餔之。	Lã hậu và hai con cày cấy ngoài đồng, có một cụ già đi ngang qua xin nước uống, Lã hậu còn cho ăn.
老父相吕后曰：“夫 人天下贵人。”	Cụ xem tướng Lã hậu rồi nói: “Phu nhân là người sang trong thiên hạ.”
令相两子，见孝惠，曰：“夫人所以贵者，乃此男 也。”	Xin xem tưởng cho hai con, thấy Hiếu Huệ, ông cụ nói: “Phu nhân sở dĩ được cao sang là bởi anh con trai này!”
高祖问，曰：“未远。” 乃追及，问老父。	Cao tổ hỏi, đáp rằng “chưa đi xa”, bèn đuổi kịp, hỏi ông cụ.
高祖乃谢曰：“诚 如父言，不敢忘德。”	Cao tổ bèn tạ ơn rằng: “Nếu thực như lời cụ nói, tôi không dám quên ơn!”
高祖为亭长，乃以竹皮为冠，令求盗之薛治之， 时时冠之， 及贵常冠，所谓“刘氏冠” 乃是也。	Lưu Bang (tranh đời Minh) Khi Cao tổ làm đình trưởng, lấy vỏ tre làm mũ, sai lính bắt trộm đến đất Tiết đặt làm, lúc nào cũng đội, đến khi quý hiển vẫn thường đội. Mũ họ Lưu chính là mũ này vậy.
高祖以亭长为县送徒郦山，徒多道亡。 自度比至皆亡之， 到丰西泽中，止饮，夜乃解纵所送徒。 曰：“公等皆去，吾亦从此逝矣！”	Cao tổ nhân danh đình trưởng giải người đi lao dịch tới Ly Sơn cho huyện, nhiều người bỏ trốn trên đường, đoán rằng đến nơi thì bỏ trốn hết, nên khi tới đầm nước phía tây huyện Phong, ngài dừng lại uống rượu, ban đêm bèn cởi trói thả người lao dịch, nói rằng: “Các ngươi đi cả đi, từ đây ta cũng trốn luôn thôi!”
徒中壮士原从者十馀人。	Trong đám người lao dịch có hơn mười tráng sĩ nguyện đi theo.
行前者还报曰：“前有大 蛇当径，原还。” 高祖醉， 曰：“壮士行，何畏！” 乃前，拔剑击斩蛇。	Người đi trước quay lại bảo: “Phía trước có rắn lớn chặn đường, xin hãy quay lại” Cao tổ say, nói: “Tráng sĩ đi đường, có gì mà sợ” Bèn tiến lên phía trước, tuốt kiếm chém rắn.
人问何哭，妪曰：“人杀吾子，故哭之。”	Có người hỏi vì sao khóc, bà ta nói: “Người ta giết con tôi nên tôi khóc.”
人 曰：“妪子何为见杀？”	Hỏi: “Con bà vì sao bị giết?”
妪曰：“吾，白帝子也，化为蛇，当道，今 为赤帝子斩之， 故哭。”	Bà ta nói: “Con tôi là con của Bạch Đế, hóa làm rắn chặn đường. Nay bị con của Xích Đế chém, nên tôi khóc.”
诸从者日益畏之。	Người đi theo ngày một sợ ngài.
秦始皇帝常曰“东南有天子气”，於是因东游以厌之。	Tần Thủy Hoàng đế thường nói: “Phía đông nam có khí thiên tử”, thế rồi tuần du phương đông để trấn yểm.
吕后与人俱求，常得之。	Lã hậu đem theo người cùng tìm, thường gặp được.
吕后曰：“季所居上常有云气， 故从往常得季。”	Lã hậu nói: “Chỗ ông Quý ở, phía trên hay có khí mây, thành thủ theo đó mà đi, thường tìm thấy ông Quý.”
沛中子弟或闻之，多欲 附者矣。	Con em đất Bái nghe được việc này, nên phần đông muốn quy phụ ngài vậy.
沛令恐，欲以沛 应涉。	Quan huyện Bái sợ, muốn đem đất Bái hưởng ứng theo Thiệp.
掾、主吏萧何、曹参 乃曰：“君为秦吏，今欲背之，率沛子弟，恐不听。原君召诸亡 在外者，可得数百人，因劫众，众不敢 不听。”	Chủ lại Tiêu Hà và quan coi ngục Tào Tham nói: “Ông là quan nhà Tần, nay muốn phản bội, thống lĩnh con em đất Bái, sợ chúng không nghe. Mong ông cho gọi những người bỏ trốn bên ngoài về, phải được mấy trăm người, nhân ép chúng, chúng không dám không nghe đâu.”
沛令後悔，恐其有变，乃闭城城守，欲诛 萧、曹。	Quan huyện Bái hối hận, sợ sinh biến, bèn đóng thành cố thủ, muốn giết Tiêu, Tào.
刘季乃 书帛射城上，谓沛父老曰：“天下苦秦久矣。今父老虽为沛令守，诸 侯并起，今屠沛。沛今共 诛令，择子弟可立者立之，以应诸侯，则家室完。不然，父子俱屠， 无为也。”	Lưu Quý bèn viết lên lụa bắn vào thành, nhắn phụ lão đất Bái rằng: “Thiên hạ khổ vì nhà Tần lâu rồi. Nay các vị phụ lão tuy giữ thành cho quan huyện Bái, song chư hầu nổi dậy, sắp làm cỏ huyện Bái đấy. Người đất Bái giờ hãy cùng giết quan huyện, chọn con em nào đáng lập thì lập, để hưởng ứng chư hầu, như vậy gia quyến sẽ toàn vẹn. Bằng không, cha con đều sẽ bị giết sạch, không đáng đâu.”
萧、曹等皆文吏，自爱，恐事不就，後秦种族其家，尽让刘 季。	Đám Tiêu Hà, Tào Tham đều là quan văn, tiếc thân mình, sợ việc không thành, rồi sau bị nhà Tân diệt cả họ nên nhường hết cho Lưu Quý.
诸父老皆曰：“平生所闻刘季诸珍怪，当贵，且卜筮之，莫如刘 季最吉。”	Các phụ lão đều nói: “Chúng tôi bình sinh vẫn được nghe những chuyện kỳ lạ của Lưu Quý, ngài hẳn quý hiển, vả lại chúng tôi bói rồi, không ai có điểm tốt như ngài đâu.”
由 所杀蛇白帝子，杀者赤帝子，故上赤。	Do Con rắn bị giết là con của Bạch Đế, người giết là con của Xích Đế, nên chuộng màu đỏ.
燕、赵、齐、魏皆自立为王。	Yên, Triệu, Tề, Ngụy đều tự lập làm vương.
闻项梁在 薛，从骑百馀往见之。	Nghe tin Hạng Lương ở đất Tiết, bèn mang theo hơn trăm kỵ binh tới gặp.
项梁益沛公卒五千人，五大夫将十人。	Hạng Lương cho Bái công thêm năm ngàn quân, mười tướng Ngũ đại phu.
秦军复振， 守濮阳，环水。	Quân Tần chấn chỉnh lại, giữ Bộc Dương, cho nước sông chảy quanh thành để tự vệ.
当是之时，赵歇 为王，秦将王离围之钜鹿城，此所谓河北之军 也。	Lúc bấy giờ, Triệu Yết làm vua, tướng Tân là Vương Ly vây ông ta ở thành Cự Lộc. Đây gọi là quân đội của Hà Bắc vậy.
吕臣为司徒，其父吕青为令 尹。	Lã Thần làm Tư đồ, bố là Lã Thanh làm Lệnh doãn.
郦食其监门，曰：“诸将过此 者多，吾视沛公大人长者。”	Lịch Tự Cơ là người trông cửa, nói rằng: “Các tướng qua đây đã nhiều, ta nom Bái công là bậc đại nhân, trưởng giả đấy.”
郦生不拜，长揖，曰：“足下必欲诛无道秦，不宜踞见长 者。”	Lịch sinh không lạy, chỉ chắp tay nói: “Túc hạ quả thực muốn diệt nhà Tần vô đạo, không nên ngồi xoãi chân tiếp kiến bậc trưởng giả.”
於是沛公起，摄衣谢之，延上坐。 食其说沛公袭陈留， 得秦积粟。	Thế rồi Bái công đứng dậy, sửa áo tạ lỗi, mời ngồi trên, Tự Cơ khuyên Bái công đánh úp Trần Lưu, lấy thóc lúa của Tần.
引兵西，无不下者。	Bài công dẫn quân về hướng tây, không thành nào không hạ được.
诸将或言诛秦王。	Trong các tướng có người nói phải giết Tần vương.
乃以秦王属吏，遂 西入咸阳。	Đoạn giao Tần vương cho thuộc quan, rồi tiến về phía tây vào thành Hàm Dương.
沛公又让不受，曰：“仓粟多，非乏，不欲费 人。”	Bái công lại chối từ không nhận, nói rằng: “Thóc gạo nhiều, không thiếu, không muốn mọi người tốn kém.”
人又益喜，唯恐沛公不为秦王。	Mọi người lại càng mừng, chỉ sợ Bái Công không làm Tần vương.
沛公左司马曹无伤闻项王怒，欲攻沛公，使人 言项羽曰：“沛公欲王关中，令子婴为相，珍宝尽有之。” 欲以求 封。	Tả tư mã Tào Vô Thương của Bái công nghe tin Hạng Vũ nổi giận, muốn đánh Bái công, liền sai người nói với Hạng Vũ rằng: “Bái công muốn làm vương ở Quan Trung, lệnh cho Tử Anh làm thừa tướng, chiếm hữu hết của báu”, hòng để cầu phong.
项羽曰：“此 沛公左司马曹无伤言之。不然，籍何以生此！”	Hạng Vũ nói: “Ấy là do Tả tư mã Tào Vô Thương của Bái công nói đó. Bằng không, Tịch đâu làm vậy.”
秦人大失望，然 恐，不敢不服耳。	Người Tần quá thất vọng, song sợ hãi, không dám không phục vậy.
怀王曰：“如约。”	Hoài vương nói: “Cứ như giao ước?”
乃曰：“怀王者，吾家项梁所立耳，非有功 伐，何以得主约！本定天下，诸将及籍也。”	Bên nói: “Hoài vương là do chú Hạng Lương nhà ta lập nên, không có công trạng, làm gì được chủ trì giao ước, Bình định thiên hạ, vốn chỉ có các tướng và Tịch ta vậy.”
乃详尊怀王为义帝，实 不用其命。	Đoạn bèn giả vờ suy tôn Hoài vương làm Nghĩa đế, thực chất không nghe lệnh ông ta.
负约，更立 沛公为汉王，王巴、蜀、汉中， 都南郑。	Bội ước, đổi lập Bái công làm Hán vương, cai trị đất Ba, Thục, Hán Trung, đóng đô ở Nam Trịnh.
曰：“古之帝者地方千里，必居上 游。”	Nói rằng: “Đế vương thời xưa đất vuông ngàn dặm, ắt ở thượng du.”
赵王因立陈馀为代王。	Triệu vương nhân lập Trần Dư làm Đại vương.
令将军薛欧、 王吸 出武关，因王陵兵南阳， 以迎太公、吕后於沛。	Sai tướng quân Tiết Âu, Vương Hấp ra khỏi Võ Quan, mượn quân Vương Lăng ở Nam Dương để đón Thái Công, Lã hậu ở đất Bái.
汉王闻之，袒而大哭。 遂为义帝发丧，临三日。	Hán vương nghe tin, để trần một bên vai áo mà khóc lớn, đoạn phát tang Nghĩa đế, để ba ngày.
乃 取汉王父母妻子於沛，置之军中以为质。	Bèn bắt cha mẹ, vợ con của Hán vương ở đất Bái, đặt trong quân doanh làm con tin.
令太子守栎阳，诸侯子在关 中者皆集栎阳为卫。	Lệnh cho thái tử giữ Lịch Dương, con cháu chư hầu ở Quan Trung đều tụ tập về Lịch Dương phòng vệ.
项王不听。	Hạng vương không nghe.
乃行击陈留、外黄、睢阳，下之。	Đoạn tiến đánh Trần Lưu, Ngoại Hoàng, Tuy Dương, hạ các thành này.
汉王欲攻之。 留侯曰：“不 如因而立之，使自为守。”	Hán vương muốn đánh Hàn Tín Lưu Hầu nói: “Chẳng thà nhân đó mà lập ông ta, sai tự giữ đất ấy.”
汉王伤匈，乃扪足 曰：“虏中吾指！”	Hán vương bị thường ở ngực, nhưng lại sờ vào chân, nói: “Giặc bắn ta rồi.”
留四日，复如军，军广武。	Ở lại bốn ngày rồi trở lại quân doanh, đóng quân ở Quảng Vũ.
项王归汉王父母妻子，军中皆呼万岁，乃归而别 去。	Hạng vương trả cha mẹ, vợ con cho Hán vương, trong quân đều hộ vạn tuế, bèn rút quân bỏ đi, Hạng Vũ rút về đông.
汉王曰：“吾闻帝贤 者有也，空言虚语，非所守也，吾不敢当帝位。”	Hán vương nói: “Ta nghe ngôi hoàng đế chỉ người hiền đức mới có được, nói suông nói sáo không thể giữ được. Ta không dám ở ngôi hoàng đế.”
汉王三让，不得已，曰：“诸君必 以为便，便国家。”	Hán vương từ chối ba lần, nhưng không được, nói rằng: “Các ông cho vậy là tiện thì cũng tiện cho nước nhà.”
甲午，乃即皇帝位氾 水之阳。	Ngày Giáp Ngọ, bèn lên ngôi hoàng đế phía bắc sông Dĩ.
皇帝曰义帝无後。	Hoàng đế nói rằng Nghĩa đế không có con cháu.
故韩王信为韩王，都阳翟。	Hàn vương Tín trước đây vẫn làm Hàn vương, đóng đô ở Dương Địch.
天下大定。	Thiên hạ đại định.
高祖都雒阳，诸侯皆臣属。	Cao tổ đóng đô ở Lạc Dương, chư hầu đều xưng thần quy thuộc.
诸侯子在关中者复之十二岁，其归者复之六 岁，食之一岁。	Con em chư hầu ở Quan Trung được miễn thuế mười hai năm, ai trở về nước miễn thuế sáu năm, cấp dưỡng một năm.
高祖置酒雒阳南宫。	Cao tổ bày tiệc rượu ở Nam cung tại Lạc Dương.
高祖曰：“列侯诸将无敢隐朕， 皆言其情。吾所以有天下者何？项氏之所以失天下者何？”	Cao tổ nói: “Liệt hầu và các tướng chớ có giấu trẫm, đều nói thực tình xem. Ta sở dĩ có được thiên hạ là vì sao? Họ Hạng Sở dĩ mất thiên hạ là vì sao?”
高起、王 陵对曰： “陛下慢 而侮人，项羽仁而爱人。然陛下使人攻城略地，所降下者因以予之， 与天下同利也。项羽妒贤嫉能，有功者害之，贤者疑之，战胜而不予 人功，得地而不予人利，此所以失天下也。”	Cao Khởi, Vương Lăng trả lời: “Bệ hạ ngạo mạn, khinh người. Hạng Vũ hiền từ, yêu người. Song bệ hạ sai người đánh thành chiếm đất, kẻ đầu hàng thì lại trao đất cho, cùng thiên hạ hưởng lợi. Hạng Vũ đố kỵ tài năng, có công thì sát hại, tài giỏi thì ngờ vực, đánh thắng không thưởng công cho người ta, được đất không chia lợi cho người ta, sở dĩ mất thiên hạ là vậy.”
高祖曰：“公知其一， 未知其二。夫运筹策帷帐之中，决胜於千里之外，吾不如子房。镇国 家，抚百姓，给餽饟，不绝粮道，吾不如萧何。连百万之军，战必 胜，攻必取，吾不如韩信。此三者，皆人杰也，吾能用之，此吾所以 取天下也。项羽有一范增而不能用，此其所以为我擒也。”	Cao tổ nói: “Các ngươi biết một mà chẳng biết hai. Ôi, suy tính trong màn trường mà quyết thắng ngoài ngàn dặm, ta không bằng Tử Phòng. Trị nước nhà, vỗ trăm họ, cấp lương hưởng, không đứt đường chuyển lương, ta không bằng Tiêu Hà. Cầm trăm vạn quân, đánh ắt thắng, hạ ắt được, ta không bằng Hàn Tín. Ba người này đều là hào kiệt vậy, ta có thể dùng họ, ấy là duyên do ta lấy được thiên hạ vậy. Hạng Vũ có một Phạm Tăng mà không biết dùng, ấy là duyên do bị ta bắt vậy.”
六月，大赦天下。	Tháng Sáu, đại xá thiên hạ.
六年，高祖五日一朝太公，如家人父子礼。	Năm thứ sáu, Cao tổ năm ngày một lần chầu Thái công, theo lễ cha con trong nhà.
太公家令说太公 曰：“天无二日，土无二王。今高祖虽子，人主也；太公虽父，人臣 也。柰何令人主拜人臣！如此，则威重不行。”	Gia lệnh của Thái công khuyên Thái công rằng: “Trời không có hai mặt trời, đất không có hai vua. Nay Cao tổ tuy là con, nhưng là vua; Thái công tuy là cha, nhưng là bề tôi. Sao lại bắt vua lạy bề tôi được! Như vậy thì uy nghiêm không đủ.”
太公曰：“帝，人主也，柰何以我乱天下法！”	Thái công nói: “Hoàng đế là chúa muôn người, sao lại để tôi làm loạn phép tắc của thiên hạ cho được?”
於是高祖 乃尊太公为太上皇。 心善家 令言， 赐金五百 斤。	Thế rồi Cao tổ bèn suy tôn Thái công làm Thái thượng hoàng, ngầm khen lời gia lệnh, ban cho ông ta năm trăm cân vàng.
十二月，人有上变事告楚王信谋反，上问左右，左右争欲击之。	Tháng Mười hai, có người bảo có biến, tố cáo Sở vương Tín mưu phản. Cao tổ hỏi tả hữu, tả hữu tranh nhau muốn đánh.
高祖 曰：“善。” 赐黄金五百斤。	Cao tổ nói: “Phải” đoạn ban cho năm trăm cân vàng.
高祖曰将军刘贾数 有功，以为荆王， 王淮东。	Cao tổ nói tướng quân Lưu Giả nhiều lần có công, cho làm Kinh vương, trị phía đông sông Hoài.
弟交为楚王，王淮西。	Em là Giao làm Sở vương, trị phía tây sông Hoài.
二月，高祖自平城过赵、雒阳，至长安。	Tháng Hai, Cao tổ từ Bình Thành qua Triệu, Lạc Dương, tới Trường An.
萧何曰：“天下方未定，故可因遂 就宫室。且夫天子四海为家，非壮丽无以重威，且无令後世有以加 也。”	Tiêu Hà nói: “Thiên hạ đang chưa yên, nên có thể nhân đó dựng cung thất. Xét lẽ thiên tử coi bốn bể là nhà, không tráng lệ thì lấy gì để tỏ rõ uy lớn, vả lại không thể để đời sau xây thêm hơn được.”
高祖之东垣，过柏人， 赵相贯高等谋弑高祖，高祖心动，因不留。	Cao tổ tới Động Viên, qua Bách Nhân, đám thừa tướng nước Triệu là Quán Cao mưu giết Cao tổ. Cao tổ thấy hoang mang trong lòng nên không ở lại.
高祖奉玉卮， 起为太上皇寿，曰：“始大人常以 臣无赖， 不能治产业，不如仲力。今某之业所就孰与 仲多？”	Cao tổ bưng chén ngọc, đứng dậy chúc thọ Thái thượng hoàng, nói rằng: “Hồi đầu đại nhân thường cho là tôi bất tài, không thể làm giàu sản nghiệp, không bằng anh Trọng. Nay sự nghiệp của tôi thành tựu, so với anh Trọng ai hơn?”
殿上群臣皆呼万岁，大笑为乐。	Quần thần trên điện đều hồ vạn tuế, cười lớn làm vui.
春夏无事。	Mùa xuân, mùa hạ vô sự.
七月，太上皇崩栎阳宫。	Tháng Bảy, Thái thượng hoàng băng ở cung Lịch Dương.
楚王、梁王皆来送葬。	Sở vương, Lương vương đều tới đưa tang.
至邯 郸，上喜曰：“豨不南据邯郸而阻漳水，吾知其无能为也。”	Đến Hàm Đan, vui mừng nói: “Hy không xuống phía nam giữ Hàm Đan mà lại chẹn sông Chương Thủy, ta biết hắn không thể làm gì được rồi.”
闻豨将 皆故贾人也，上曰：“吾知所以与之。”	Nghe nói tướng của Hy xưa đều là lái buôn, vua nói: “Ta biết phải cho chúng cái gì.”
豨将赵利守东垣，高祖攻之，不下。	Tướng của Hy là Triệu Lợi giữ Đông Viên, Cao tổ tấn công, không hạ được.
立子恢为梁 王，子友为淮阳王。	Lập con là Khôi làm Lương Vương, con là Hữu làm Hoài Dương vương.
立子长为淮南王。	Lập con là Trường làm Hoài Nam vương.
置酒沛宫， 悉召故人父老子弟纵酒，发沛中兒得百二十人， 教之歌。	Đặt tiệc rượu ở Bái cung, với tất cả người quen cũ, phụ lão, con em tới uống thỏa thê. Tìm được một trăm hai mươi đứa trẻ trong huyện Bái, dạy chúng hát.
令兒皆和习之。	Sai tất cả trẻ con học theo.
高祖曰：“吾人众多，父兄不能给。”	Cao tổ nói: “Người của ta đông, các phụ huynh không cung ứng nổi đâu.”
乃去。	Đoạn bèn rời đi.
高祖复留止，张 饮三日。	Cao tổ lại ở lại, dựng trường uống ba ngày.
沛父兄皆顿首曰：“沛幸得复，丰未 复，唯陛下哀怜之。”	Phụ huynh đất Bái thảy dập đầu nói rằng: “Đất Bái may được miễn thuế, nhưng đất Phong chưa được miễn, mong bệ hạ thương xót họ?”
高祖曰：“丰吾所生长，极不忘耳，吾特为其 以雍齿故反我为魏。”	Cao tổ nói: “Đất Phong là nơi ta sinh trưởng, thực không quên được, chỉ vì Ung Xỉ phản ta theo Ngụy thôi.”
十二月，高祖曰：“秦始皇帝、楚 隐王陈涉、魏安釐王、 齐缗王、赵悼 襄王皆绝无後，予守冢各十 家，秦皇帝二十家，魏公子无忌五家。”	Tháng Mười Hai, Cao tổ nói: “Tần Thủy Hoàng đế, Sở Ấn Vương Trần Thiệp, Ngụy An Ly vương, Tề Mẫn vương, Triệu Điệu Tương vương đều chết mà tuyệt tự, cho mỗi người mười nhà giữ mộ, Tần hoàng đế hai mươi nhà, Ngụy công tử Vô Kỵ năm nhà.”
立皇子建为燕王。	Lập hoàng tử Kiến làm Yên vương.
高祖击布时，为流矢所中，行道病。	Khi Cao tổ đánh Kình Bố, bị tên lạc bắn trúng, trên đường ốm.
上曰：“曹参可。”	Vua nói: “Tào Tham được.”
人或闻之，语郦将军。	Có người nghe được, nói với Lịch tướng quân.
己巳，立太子， 至太 上皇庙。	Ngày Kỷ Tỵ, lập thái tử, tới miếu Thái thượng hoàng.
群臣皆曰：“高祖起微细，拨乱世反之正，平定天 下，为汉太祖，功最高。”	Quần thần đều nói: “Cao tổ xuất thân hàn vi, dẹp đời loạn, vực lại cho ngay, bình định thiên hạ, là Thái tổ của nhà Hán, công cao nhất.”
上尊号为高皇帝。	Bèn dâng tôn hiệu là Cao hoàng đế.
太子袭号为皇帝，孝惠 帝也。	Thái tử nối hiệu là hoàng đế, tức Hiếu Huệ đế vậy.
