荆王刘贾者，诸刘，不知其何属 初起时。	Kinh vương Lưu Giả là người trong tông tộc họ Lưu, hồi mới dấy lên không biết thuộc chi nào.
传子嘉，为康王。	Truyền ngôi cho con là Gia, đó là Khang vương.
至孙定国，与父康王姬奸，生子男一人。	Đến đời cháu là Định Quốc, gian dâm với cung tần của cha là Khang vương, sinh được một con trai.
夺弟妻为姬。	[Định Quốc lại] đoạt vợ của em làm cung tần của mình.
与子女三 人奸。	Còn thông dâm với ba con gái của mình.
定国有所欲诛杀臣肥如令郢人， 郢人等告定国，定国使谒者以他法劾捕格杀郢人以灭口。	Người Định Quốc định giết là Phì Như lệnh Dĩnh Nhân, bọn Dĩnh Nhân tố cáo Định Quốc [với triều đình], Định Quốc sai Yết giả dùng cách khác để bắt giết Dĩnh Nhân nhằm diệt khẩu.
至元朔元年，郢人昆弟复上书具言定国阴事，以此发觉。	Đến năm đầu niên hiệu Nguyên Sóc, anh em Dĩnh Nhân lại dâng thư lên triều đình nói rõ những việc ám muội của Định Quốc, vì thế mới bị [triều đình] phát giác.
诏下公卿， 皆议曰：“定国禽兽行，乱人伦，逆天，当诛。”	[Hoàng đế] hạ chiếu cho các công khanh thương nghị, đều nói: “Định Quốc làm những việc như cầm thú, loạn nhân luân, trái lẽ trời, đáng giết.”
定国自 杀，国除为郡。	Định Quốc tự sát, nước phong bị phế, lập thành quận.
太史公曰：荆王王也，由汉初定，天下未集，故刘贾虽属疏，然 以策为王，填江淮之间。 刘泽之王，权激吕氏， 然 刘泽卒南面称孤者三世。 事发相重， 岂不为伟乎！	Thái sử công bàn rằng: Kinh dương được phong vương vì nhà Hán mới yên định, thiên hạ chưa hướng về, cho nên Lưu Giả tuy là họ xa, nhưng vẫn được cách lập làm vương, trấn giữ vùng Giang Hoài.
刘贾初从，首定三秦。 既渡白马，遂围寿春。 始迎黥布， 绝间周殷。 赏功胙士，与楚为邻。	Lưu Trạch được phong vương, do dùng quyền mưu khích động họ Lã, thế rồi rốt cuộc ngoảnh mặt về phía nam xưng là “cô” được ba đời.
田生如长安，不见泽，而假大 宅，令其子求事吕后所幸大谒者张子卿。	Điền Sinh đến Trường An, không gặp Trạch, rồi mướn ngôi nhà lớn, sai con bái kiến Đại yết giả được Lã hậu sủng ái là Trương tử Khanh.
张卿许往。	Trương Khanh nhận lời đến.
田 生盛帷帐共具，譬如列侯。	Điền Sinh cho giăng màn trướng, bày đồ sang trọng, tựa như bậc liệt hầu.
太后赐张 卿千斤金，张卿以其半与田生。	Thái hậu tặng cho Trương Khanh nghìn cân vàng, Trương Khanh chia một nửa cho Điền Sinh.
田生劝泽急行，毋留。	Điền Sinh khuyên Trạch nên đi gấp, không nên lưu lại.
至梁，闻汉遣灌将军屯荥阳，泽还兵备西界， 遂跳驱至长安。	Đến nước Lương, nghe tin nhà Hán sai Quán tướng quân đồn binh ở Huỳnh Dương, Lưu Trạch kéo quân về phòng bị biên giới phía tây [nước phong của mình], rồi phóng gấp đến Trường An.
