秦之先，帝颛顼之苗裔孙曰女脩。	Tổ tiên nhà Tần là Nữ Tu, hậu duệ của Để Chuyên Húc.
於是孝王曰：“昔伯翳为舜主畜，畜多 息，故有土，赐姓嬴。今其後世亦为朕息马，朕其分土为附庸。”	Thế rồi Hiếu vương nói: “Xưa Bá Ế coi việc chăn nuôi cho Thuấn, súc vật sinh sôi, vậy nên phong đất, ban cho họ Doanh. Nay hậu duệ ông cũng chăn ngựa cho trẫm. Trẫm cũng phân đất cho được nội phụ.”
邑 之秦， 使复续嬴氏祀，号曰秦嬴。 亦不废申侯之女 子为骆適者，以和西戎。	Đoạn Chu vương cho lập ấp ở đất Tần, cho nối lại việc thờ cúng họ Doanh, gọi là Tần Doanh; cũng không phế con trưởng của Đại Lạc do Con gái Thân hầu sinh ra, để hòa thuận với Tây Nhung.
秦嬴生秦侯。 秦侯立十年，卒。	Tần Doanh sinh Tần Hầu, Tần Hầu ở ngôi mười năm thì mất.
生公伯。	Tần Hầu sinh Công Bá.
生秦 仲。	Công Bá sinh Tần Trọng.
秦仲立三年，周厉王无道，诸侯或叛之。	Tần Trọng ở ngôi ba năm, Chu Lệ vương vô đạo, chư hầu có người phản bội.
西戎反王室，灭犬丘大 骆之族。	Rợ Tây Nhung phản lại vương thất, diệt các tộc Khuyển Khưu, Đại Lạc.
周宣王即位，乃以秦仲为 大夫，诛西戎。	Chu Tuyên vương lên ngôi, bèn lấy Tần Trọng làm đại phu, thảo phạt Tây Nhung.
西戎杀秦仲。	Tây Nhung giết Tần Trọng.
秦仲立二十三年，死於戎。	Tần Trọng giữ chức hai mươi ba năm, mất ở đất Nhung.
有子五人，其长者曰庄公。	Tần Trọng có năm người con, con trưởng là Trang Công.
周 宣王乃召庄公昆弟五人，与兵七千人，使伐西戎，破之。	Chu Tuyên vương bèn vời năm anh em Trang công tới, cho bảy nghìn quân, sai đánh Tây Nhung, phá vỡ chúng.
於是复予秦 仲後，及其先大骆地犬丘并有之，为西垂大夫。	Thế rồi Chu vương lại ban thưởng cho hậu duệ của Tần Trọng, gồm cả vùng đất Đại Lạc, Khuyển Khu của tổ tiên họ trước kia đều thuộc sở hữu của họ và cho làm đại phu ở biên giới phía tây.
庄公居其故西犬丘，生子三人，其长男世父。	Trang công ở đất Khuyển Khưu phía tây trước kia, sinh được ba người con. Con trai trưởng là Thế Phủ.
世父曰：“戎杀我 大父仲，我非杀戎王则不敢入邑。”	Thế Phủ nói: “Rợ Nhung giết ông nội Trọng của ta. Ta không giết vua Nhung thì không dám vào ấp.”
遂将击戎，让其弟襄公。	Đoạn bèn đánh rợ Nhung, nhường ngôi cho em là Tượng công.
襄公为 太子。	Tương công làm thái tử.
襄公元年，以女弟缪嬴 为丰王妻。	Tương Công năm đầu, gả em gái Mậu Doanh làm vợ Phong vương.
襄公二年， 戎围犬丘，世父击之，为戎人 所虏。	Tương Công năm thứ hai, vợ Nhung vây Khuyển Khưu, Thế Phủ đánh trả, bị người Nhung bắt.
岁馀，复归世父。	Hơn một năm, lại trả Thế Phủ về.
七年春，周幽王用襃姒废太子，立襃姒子为 適，数欺诸侯，诸侯叛之。	Mùa xuân năm thứ bảy, Chu U vương yêu Bao Tự, phế thái tử, lập con của Bao Tự làm dòng trưởng, mấy lần lừa chư hầu. Chư hầu làm phản.
西戎犬戎与申侯伐周，杀幽王郦山下。	Rợ Khuyển Nhung ở đất Tây Nhung và Thân hầu đánh Chu, giết U vương ở chân núi Ly Sơn.
而 秦襄公将兵救周，战甚力，有功。	Tần Tương Công đem quân cứu Chu, đánh rất hăng, có công.
平王封襄公为诸侯，赐之岐以西之地。 曰：“戎无道，侵夺我 岐、丰之地，秦能攻逐戎，即有其地。”	Bình vượng phong Tượng công làm chư hầu, ban cho phần đất từ Kỳ Sơn trở về tây, nói rằng: “Rợ Nhung vô đạo, xâm đoạt đất Kỳ, Phong của ta. Tần có thể đánh đuổi Nhung, tức là Tần được đất ấy.”
与誓，封爵之。	Đoạn cùng thề ước, phong tước cho Tương công.
十二年，伐戎而 至岐，卒。	Năm thứ mười hai, đánh rợ Nhung, đến tận núi Kỳ sơn. Tương công mất.
生文公。	Sinh Văn công.
四年，至汧渭之会。 曰：“昔周邑我先秦嬴於此，後卒获为诸 侯。”	Năm thứ tư, đến vùng sông Khiên, sông Vị, ông nói: “Xưa nhà Chu cho tổ tiên ta là Tần Doanh được lập ấp ở đây, sau rốt được làm chư hầu”.
乃卜居之，占曰吉， 即营邑之。	Đoạn bói nơi ở. Quẻ bói lành, liền xây dựng đô ấp.
十三年，初有史以纪事，民多化者。	Năm thứ mười ba, bắt đầu đặt sử quan để ghi lại mọi việc. Dân phần lớn được giáo hóa.
十六 年，文公以兵伐戎，戎败走。	Năm thứ mười sáu, Văn công đem quân đánh rợ Nhung, rợ Nhung thua chạy.
於是文公遂收周馀民有之，地至岐，岐 以东献之周。	Thế rồi Văn Công liền thu thập di dân của nhà Chu để sở hữu. Đất đai trải đến Kỳ sơn. Vùng đất từ Kỳ sơn trở về phía đông hiến cho nhà Chu.
二十年，法初有三族之罪。	Năm thứ hai mươi, luật pháp bắt đầu có tội giết ba họ.
二十七 年，伐南山大梓，丰大特。	Năm thứ hai mươi bảy, chặt cây tử lớn ở Nam Sơn, có con trâu đực lớn (từ trong cây) chạy xuống sông Phong.
四十八年，文公太子 卒，赐谥为竫公。	Năm thứ bốn mươi tám, thái tử của Văn công chết, được ban tên thụy là Tĩnh công.
竫为 太子，是文公孙也。	Con trưởng của Tĩnh công được lập làm thái tử, là cháu nội của Văn công vậy.
五十年，文公卒，葬西山。	Năm thứ năm mươi, Văn công mất, táng ở Tây Sơn.
竫公子立，是为宁公。	Con của Tĩnh công lên ngôi. Đây là Ninh công.
十二年，伐荡氏，取之。	Năm thứ mười hai, đánh họ Đãng, chiếm nước.
宁公生十岁立，立十二年卒， 葬西山。	Ninh công mười tuổi lên ngôi, ở ngôi mười hai năm thì mất, táng ở Tây Sơn.
生子三人，长男武公为太子。	Ông sinh được ba người con. Con trai cả là Võ công làm thái tử.
出子六年，三父等复共令人贼杀出子。	Xuất Tử năm thứ sáu, bọn Tam Phụ lại cùng sai người giết Xuất Tử.
三父等乃复立故太子武公。	Bọn Tam Phụ bèn lập thái tử cũ là Võ công lên ngôi.
武公元年，伐彭戏氏， 至于华山下，居平阳封宫。	Võ Công năm đầu, đánh họ Bành Hý, đến chân núi Hoa Sơn, ở Phong Cung tại Bình Dương.
三年，诛三父等而夷三族，以其杀出子也。	Năm thứ ba, giết bọn Tam Phụ và tru di tam tộc, bởi chúng giết Xuất Tử vậy.
十年，伐邽、冀戎， 初县之。 十一年，初县杜、郑。 灭小虢。	Năm thứ mười, đánh rợ Nhung ở đất Khuê, đất Ký, bắt đầu đặt (hai đất đó) thành huyện. Năm thứ mười một, bắt đầu đặt đất Xã, đất Trịnh thành huyện; diệt nước Tiểu Quắc.
晋灭 霍、魏、耿。	Nước Tấn diệt nước Hoắc, nước Nguy, nước Cảnh.
齐、晋为彊国。	Tề, Tấn trở thành cường quốc.
二十年，武公卒，葬雍平阳。	Năm thứ hai mươi, Võ Công mất, táng ở Bình Dương đất Ung.
有 子一人，名曰白，白不立，封平阳。	Võ công có một người con trai, tên là Bạch. Bạch không ở ngôi, được phong ở Bình Dương.
卜居雍。 後子孙饮马於河。	Bói việc ở đất Ung, quẻ nói rằng con cháu đời sau sẽ phát triển, đến Hoàng Hà cho ngựa uống nước.
二年，初伏， 以狗御蛊。	Năm thứ hai, ngày sơ phục, giết chó ngừa độc.
生子三人：长子宣公，中子成公，少子穆公。	Sinh được ba người con, con trưởng là Tuyên công, con giữa là Thành công, Con út là Mục Công.
宣公元年，卫、燕伐周， 出惠王，立王子穨。	Tần Mục công [không rõ nguồn] Tuyên công năm đầu, nước Vệ, nước Yên đánh nhà Chu, buộc Huệ vương chạy ra ngoài, lập vương tử Đồi lên ngôi.
十二年，宣公卒。	Năm thứ mười hai, Tuyên Công mất.
生子九人，莫立，立其 弟成公。	Tuyên Công sinh được chín người con, không ai có thể kế vị, bèn lập em là Thành công lên ngôi.
四年，迎妇於晋，晋太子申生姊也。	Năm thứ tư, lấy vợ ở Tấn, vợ là chị của thái tử Thân Sinh nước Tấn vậy.
当是时，百里傒年已 七十馀。	Lúc bấy giờ, Bách Lý Hề đã hơn bảy mươi tuổi.
缪公释其囚，与语国事。	Mục Công thả ông ta ra khỏi tù, cùng bàn việc nước.
缪公曰：“虞君不用子，故亡，非子罪也。”	Mục công nói: “Vua Ngu không trọng dụng người nên mất nước. Đó không phải tội ngươi”.
於是缪公使人厚币迎 蹇叔，以为上大夫。	Thế rồi Mục Công sai người mang lễ vật hậu hĩnh đến đón Kiển Thúc, cho làm Thượng đại phu.
秋，缪公自将伐晋，战於河曲。	Mùa thu, Mục công tự đem quân đánh Tấn, giao chiến ở Hà Khúc.
夷吾使人请秦，求入 晋。	Di Ngô sai người xin với Tần giúp cho về Tấn.
夷吾谓曰：“诚得立，请 割晋之河西八城与秦。”	Di Ngô nói: “Nếu được lên ngôi thật, xin cắt tán thành ở Hà Tây của Tân cho Tần”.
及至，已立，而使丕 郑谢秦，背约不与河西城，而杀里克。	Đến khi về, lên ngôi, sai Phi Trịnh cảm ơn Tần, nhưng bội ước không trao thành Hà Tây, còn giết Lý Khắc.
缪公许 之，使人与丕郑归，召吕、郤。	Mục công bằng lòng, sai người đưa Phi Trịnh về, triệu bọn Lã, Khích.
缪公曰：“百姓苟不便，何故能诛其大臣？能诛其大臣，此其 调也。”	Mục Công nói: “Nếu bá quan không ủng hộ, cớ gì lại có thể giết được bậc đại thần? Có thể giết được đại thần, chứng tỏ (vua Tấn) dàn hòa được bá quan vậy”.
十四年，秦饥，请粟於晋。	Năm thứ mười bốn, Tần có nạn đói, xin thóc từ Tấn.
虢射曰： “因其饥伐之，可有大功。”	Quắc Xạ nói: “Nhân nạn đói mà đánh Tân, có thể lập đại công.”
十五年，兴兵将攻秦。	Năm thứ mười lăm, (Tấn) dấy quân đánh Tần.
於是缪公虏晋君以归，令於国， 齐宿，吾将以晋君祠上帝。	Thế rồi Mục công bắt vua Tấn đem về, lệnh cho cả nước rằng: “Hãy trai giới, ta sẽ đem vua Tấn tế thượng đế.”
周天子闻之，曰“晋我同姓”，为请晋 君。	Thiên tử nhà Chu nghe tin, nói: “Vua Tấn cùng họ với ta”, đoạn xin cho vua Tấn.
夷吾姊亦为缪公夫人，夫人闻之，乃衰绖跣，曰：“妾兄弟不能 相救，以辱君命。”	Chị của Di Ngô là phu nhân của Mục công. Phu nhân hay tin, mặc áo tang, thắt dây gai, đi chân đất tới nói: “Thiếp không cứu được anh em mình, làm phiền nhà vua phải ban mệnh lệnh.”
缪公曰：“我得晋君以为功，今天子为请，夫人 是忧。”	Mục Công nói: “Ta bắt được vua Tấn để lập đại công, nay thiên tử xin tha, phu nhân lại rầu rĩ thế này?”
十一月，归晋君夷吾，夷 吾献其河西地，使太子圉为质於秦。	Tháng Mười một, đưa vua Tấn Di Ngô về nước. Di Ngô dâng đất Hà Tây, sai thái tử Ngữ làm con tin ở Tần.
秦妻子圉以宗女。	Tần gả người con gái cùng họ cho Ngữ.
是时秦地东至 河。	Bấy giờ phía đông của đất Tần đến tận Hoàng Hà.
二十年，秦灭梁、芮。	Năm thứ hai mươi, Tần diệt Lương, Nhuế.
二十二年，晋公子圉闻晋君病，曰：“梁，我母家也， 而秦灭之。我兄弟多，即君百岁後，秦必留我，而晋 轻，亦更立他子。”	Năm thứ hai mươi hai, Công Tử Ngữ nước Tấn nghe tin vua Tấn ốm, bèn nói: “Lương là quê mẹ ta, nay Tần diệt rồi. Ta đông anh em, sau khi vua trăm tuổi, Tần ắt giữ ta lại. Tấn xem thường ta, cũng đổi lập người khác lên ngôi.”
子圉乃亡归晋。	Tử Ngữ bèn chạy về Tấn.
秦怨圉亡去，乃迎晋公子重耳於楚，而妻以故子圉妻。	Tần giận việc Ngữ chạy về nước, bèn đón công tử Trùng Nhĩ nước Tấn từ nước Sở tới, lại gả vợ cũ của Tử Ngữ cho.
重耳初 谢，後乃受。	Trùng Nhĩ ban đầu từ tạ, sau bèn nhận.
二十四年春，秦使人告晋大臣，欲入 重耳。	Mùa xuân năm thứ hai mươi tư, Tần sai người nói với đại thần nước Tấn, muốn đưa Trùng Nhĩ về nước.
文公使人杀子圉。	Văn công sai người giết Tử Ngữ.
子圉是为怀公。	Tử Ngữ là Hoài công.
其秋，周襄王弟带以翟伐王，王出居郑。	Mùa thu năm ấy, em của Chu Tương vương là Đái dẫn quân Địch đánh vương, vương chạy tới ở nước Trịnh.
二十 五年，周王使人告难於晋、秦。	Năm thứ hai mươi lăm, Chu vương sai người báo nạn với Tần, Tấn.
郑使人言缪公曰：“亡郑厚晋，於晋而得 矣，而秦未有利。晋之彊，秦之忧也。”	Trịnh sai người nói với Mục Công rằng: “Giúp Tấn diệt Trịnh, với Tấn thì được rồi, nhưng với Tần thì chưa có lợi. Tấn lớn mạnh là nỗi lo của Tần vậy?”
晋亦罢。	Tấn cũng bãi binh.
郑人有卖郑於秦曰：“我主其城门，郑可袭也。”	Người Trịnh có kẻ bán đứng Trịnh với Tần, nói rằng: “Tôi giữ cửa thành nước Trịnh. Nước Trịnh có thể đánh úp được.”
缪公曰：“子不知也，吾已决 矣。”	Mục Công nói: “Các ngươi hiểu gì đâu. Ta đã quyết rồi.”
周王孙满曰：“秦师无礼， 不败何待！”	Vương Tôn Mãn nhà Chu nói: “Quân Tần vô lễ, không bại mới lạ!” .
秦三将军相谓曰：“将袭郑， 郑今已觉之，往无及已。”	Ba tướng nước Tần bảo nhau: “Định đánh úp Trịnh, nay Trịnh đã phát giác, có đến cũng chẳng kịp rồi.”
遂墨衰绖，发兵遮秦兵於殽，击之，大破秦军，无一人得脱 者。 虏秦三将以归。	Đoạn nhuộm đen tang phục, xuất binh chặn quân Tần ở Hào Sơn mà đánh, đại phá quân Tần, không để thoát được một tên, bắt ba tướng nước Tần đem về.
晋君许之，归秦三将。	Vua Tấn bằng lòng, thả ba tướng Tần về.
三十四年，楚太子商臣弑其父成王代立。	Năm thứ ba mươi tư, thái tử nước Sở là Thương Thần giết cha là Thành vương để lên ngôi.
秦不利，引兵归。	Tần bất lợi, đem quân về.
戎王使由余於秦。	Vua Nhung sai Do Dư đi sứ nước Tần.
闻缪公贤，故使由余观秦。	Nghe tiếng Mục Công anh minh, nên (vua Nhung) sai Do Dư đến xem xét nước Tần.
由余 曰：“使鬼为之，则劳神矣。使人为之，亦苦民矣。”	Do Dư nói: “Sai quỷ thần làm thì nhọc quỷ thần. Sai nhân dân làm thì khổ nhân dân.”
於是缪公退而问内史廖曰： “孤闻邻国有圣人，敌国之忧也。今由余贤，寡人之害， 将奈之何？”	Thế rồi Mục công lui, hỏi Nội sử Liêu rằng: “Ta nghe nước láng giềng có thánh nhân là mối lo ngại của nước đối địch. Nay Do Dư là kẻ hiền tài, ấy là mối nguy hại của quả nhân vậy. Giờ phải làm sao?”
内史廖曰：“戎王处辟匿，未闻中国之声。君试遗其女 乐，以夺其志；为由余请，以疏其 间；留而莫遣，以失其期。戎王怪之，必疑由余。君臣有间，乃可虏 也。且戎王好乐，必怠於政。”	. Nội sử Liêu nói: “Vua Nhung ở nơi hẻo lánh, chưa được nghe thanh âm của Trung Nguyên. Ngài thử ban cho nữ nhạc, để dẹp chí của hắn; xin hộ Do Dư, để ly gián đôi bên; giữ không cho về, để lỡ kỳ hạn. Vua Nhung thấy lạ, ắt ngờ Do Dư. Vua tôi xa cách là có thể bắt. Vả lại vua Nhung thích nhạc, ắt biếng việc nước.”
缪公曰：“善。” 因与由余曲席而 坐，传器而食，问其地 形与其兵势尽虓，而後令内史廖以女乐二八遗戎王。	Mục công nói: “Hay” nhân cùng Do Dư ngồi chung chiếu, chuyền chén cùng ăn, hỏi địa hình và binh lực, Do Dư trả lời tường tận, sau đó lệnh cho Nội sử Liêu ban mười sáu người nữ nhạc cho vua Nhung.
戎王受而说之， 终年不还。	Vua Nhung nhận, thích thú, cả năm chẳng rời.
於是秦乃归由余。	Thế rồi Tần bèn trả Do Dư về.
缪公以客礼礼之，问伐戎之形。	Mục Công dùng lễ tân khách đãi Do Dư, hỏi kế sách đánh Nhung.
君子闻之，皆为垂涕，曰：“嗟乎！秦缪公之 与人周也，卒得孟明之庆。”	Các bậc quân tử nghe xong, đều rớt nước mắt nói: “Hỡi ôi! Tần Mục công đối xử với người ta chu đáo, cuối cùng có niềm vui được Mạnh Minh báo đáp.”
三十七年，秦用由余谋伐戎王，益国十二，开地千里， 遂 霸西戎。	Năm thứ ba mươi bảy, Tần dùng mưu của Do Dư đánh vua Nhung, tăng mười hai thuộc quốc, mở một ngàn dặm đất, bèn xưng bá ở Tây Nhung.
秦人 哀之，为作歌黄鸟之诗。	Người Tần đau buồn, vì họ mà làm bài thơ Hoàng điểu.
二年，秦伐晋，取武城， 报令狐 之役。	Năm thứ hai, Tần đánh Tấn, chiếm Võ thành, báo thù cho trận Linh Hồ.
四年，晋伐秦，取少梁。	Năm thứ tư, Tấn đánh Tân, chiếm đất Thiếu Lượng.
六 年，秦伐晋，取羁马。 战於河曲，大败晋 军。	Năm thứ sáu, Tần đánh Tấn, chiếm đất Ky Mã, giao chiến ở Hà Khúc, quân Tấn đại bại.
十年，楚庄王服郑，北败晋兵於河上。	Năm thứ mười, Sở Trang vương thu phục nước Thịnh, phía bắc đánh bại quân Tấn ở ven Hoàng Hà.
当是之时，楚霸，为会盟合诸侯。	Bấy giờ, Sở xưng bá, họp chư hầu hội thề.
二十六年，晋率诸侯伐秦， 秦军败走，追至泾而还。	Năm thứ hai mươi sáu, Tấn đem quân chư hầu đánh Tần, quân Tần thua chạy, Tấn đuổi đến sông Kinh rồi về.
十八年，晋悼公彊，数会诸侯，率以伐 秦，败秦军。	Năm thứ mười tám, Tấn Điệu công lớn mạnh, mấy lần họp chư hầu, xuất quân phạt Tần, đánh bại quân Tần.
秦军走，晋兵追之，遂渡泾，至棫林而还。	Quân Tần chạy, quân Tấn đuổi theo, bèn vượt sông Kinh, đến Vực Lâm rồi về.
二十七年，景公如晋，与平公 盟，已而背之。	Năm thứ hai mươi bảy, Cảnh công đến Tấn, cùng Bình công hội thề, xong lại bội ước.
三十六年，楚公子围弑其君而自立，是为灵王。	Năm thứ ba mươi sáu, Công tử Vi nước Sở giết vua tự lập. Đó là (Sở) Linh vương.
晋平公曰：“后子富如此，何以自亡？”	Tấn Bình Công nói: “Hậu Tử giàu như vậy, sao lại bỏ chạy?”
对曰：“秦公无 道，畏诛，欲待其後世乃归。”	Đáp rằng: “Tần công vô đạo, sợ bị giết, muốn đợi đến đời sau thì về.”
后子复来归秦。	Hậu Tử lại trở về Tần.
哀公八年，楚公子弃疾弑灵王而自立，是为平王。	Ai công năm thứ tám, Công tử Khí Tật nước Sở giết vua Linh vương mà tự lập. Đó là (Sở) Bình vương.
十一年，楚平 王来求秦女为太子建妻。	Năm thứ mười một, Sở Bình vương đến xin con gái nước Tần làm vợ thái tử Kiến.
至国，女好而自娶之。	Về đến nước, thấy gái đẹp liền lấy làm vợ mình.
太子夷公，夷公蚤死，不得立，立夷公子，是为惠公。	Thái tử là Di công chết sớm không được lên ngôi, nên con của Di công được lập lên ngôi. Đây là Huệ công.
吴彊， 陵中国。	Ngô lớn mạnh, lấn át Trung Nguyên.
孔子以悼公十二年卒。	Khổng Tử mất vào năm Điệu công thứ mười hai.
十六年，巉河旁。 以兵二万伐大荔，取 其王城。	Năm thứ mười sáu, đào hào ven Hoàng Hà, đem hai vạn quân đánh Đại Lệ, chiếm lấy Vương thành.
二十一年，初 县频阳。	Năm thứ hai mươi mốt, bắt đầu đặt Tần Dương làm huyện.
晋取武成。	Tấn chiếm Võ thành.
二十四年，晋乱，杀智伯，分其国 与赵、韩、魏。	Năm thứ hai mươi tư, Tấn loạn, giết Trí Bá, chia nước cho ba họ Triệu, Hàn, Ngụy.
二十五年，智开与邑人来奔。	Năm thứ hai mươi lăm, Trí Khai cùng người trong ấp chạy trốn (sang Tần).
三十三年，伐义渠，虏其王。	Năm thứ ba mươi ba, đánh nước Nghĩa Cừ, bắt vua nước ấy.
三十四年， 日食。	Năm thứ ba mươi tư, nhật thực.
怀公太子曰昭子，蚤死，大臣乃立 太子昭子之子，是为灵公。	Thái tử của Hoài công là Chiêu Tử, chết sớm. Đại thần bèn lập con của thái tử Chiêu Tử. Đây là Linh công.
惠公十二年，子出子生。	Huệ công năm thứ mười hai, con là Xuất Tử sinh.
十三年，伐蜀，取南郑。	Năm thứ mười ba, đánh Thục, chiếm lấy Nam Trịnh.
惠公卒，出子 立。	Huệ công mất, Xuất Tử lên ngôi.
杀出子及其母，沈之渊旁。	Giết Xuất Tử cùng bà mẹ, dìm xuống vực sâu.
十一年，周太史儋见献公 曰：“周故与秦国合而别，别五百岁复合，合十七岁而霸王出。”	Năm thứ mười một, Thái sử Đảm nhà Chu gặp Hiến công nói: “Nhà Chu trước kia cùng nước Tần hợp rồi chia, chia năm trăm năm rồi lại hợp, hợp mười bảy năm sẽ xuất hiện bá vương.”
二十一年，与晋战於石门， 斩首六万，天子贺以襜 霡。	Năm thứ hai mươi mốt, cùng Tấn giao chiến ở Thạch Môn, chém sáu vạn thủ cấp, thiên tử (nhà Chu) đem (lễ phục) Phủ Phất mừng.
二十三年，与魏晋 战少梁，虏其将公孙痤。	Năm thứ hai mươi ba, cùng Ngụy, Tần giao chiến ở Thiếu Lương, bắt tướng nước ấy là Công Tôn Tọa.
二十四年，献公卒， 子孝公立，年已二十一岁矣。	Năm thứ hai mươi tư, Hiến công mất. Con là Hiếu công lên ngôi, tuổi đã hai mươi mốt.
楚、魏与秦接界。	Sở, Ngụy giáp ranh với Tần.
魏筑长城，自郑滨洛以北，有上郡。 楚自汉中，南有巴、 黔中。	Ngụy xây trường thành, từ Trịnh men theo sông Lạc lên phía bắc, tới Thượng Quận. Sở giáp ranh với Tần ở Hán Trung, phía nam có Ba quận, Kiềm Trung.
周室微，诸侯力政，争相并。	Nhà Chu suy, chư hầu dùng vũ lực thôn tính lẫn nhau.
秦僻在雍州，不与中国诸侯之会 盟，夷翟遇之。	Tần ở đất Ung châu hẻo lánh, không hội thề cùng các chư hầu ở Trung Nguyên, bị coi là di địch.
