奉勅開載諸臣職名總裁	Vâng sắc khai chép tên chức và tên các quan trong Quốc sử quán: Tổng tài:
太祖嘉裕皇帝肇基南服 列聖相承 顯揚光大	Thái tổ Gia dụ hoàng đế dựng nghiệp ở miền Nam, các thánh nối theo, vẻ vang rạng rỡ.
其間禮樂征伐制度文爲自有立國之規模體統	Trong khoảng ấy, lễ nhạc, chinh phạt, chế độ, văn chương, tự có thể thống quy mô lập quốc.
惟豳岐初服 史文尙闕如也	Duy lúc đầu [như nhà Chu] mới ở Mân, Kỳ, sử văn còn thiếu.
粤我世祖高皇帝再造輿圖 一統海宇 大定之後追念前徽 訪求故典 史局之議盖嘗畱意而未暇焉	Đến khi Thế tổ Cao hoàng đế ta dựng lại cơ đồ, thống nhất bờ cõi, sau cuộc đại định, nhớ đến công xưa, tìm hỏi điển xưa, bàn lập Sử cục, đã thường lưu ý mà chưa rỗi để làm.
奉我聖祖仁皇帝運聖文之經緯 產世德之作求 明命元年詔求遺書 二年開設史館 命官欽修寔錄 十四年復申纂輯之命 欽定寔錄各紀自太祖嘉裕皇帝至睿宗孝定皇帝爲前編 世祖高皇帝中興之後爲正編	Thánh tổ Nhân hoàng đế ta, dùng văn chương ngang trời dọc đất, nhờ ơn đức gây dựng của các đời, năm đầu Minh Mệnh chiếu xuống hỏi tìm sách vở còn sót; năm thứ 2 mở đặt Sử quán, sai quan kính soạn Thực lục; năm thứ 14 lại sai biên soạn bộ Khâm định thực lục các kỷ, từ đời Thái tổ Gia dụ hoàng đế đến đời Duệ tông Hiệu định hoàng đế, gọi là Tiền biên, từ sau khi Thế tổ Cao hoàng đế trung hưng, gọi là Chính biên.
凡義例指意悉奉權衡而折衷之 節次編輯呈覽	Phàm ý nghĩa thể lệ đều vâng lệnh cân nhắc cho vừa phải, lần lượt biên soạn dâng lên để xin quyết định.
欽奉裁定 猶念當初記載尙須細加考訂 以致其周	Nghĩ rằng lúc mới biên soạn, cần phải khảo đính tinh tế cho được chu đáo, cho nên chậm xong, để lòng thánh đã phải chờ đợi.
所以遲吿厥成 聖心良有待也 欽惟我皇十祗若前猷 遹追先志 以覲光揚烈爲念 紹治元年首開史局 特命臣等 欽修寔錄前編正編 繼修聖祖仁皇帝寔錄正編 旣準定章程以專其責 復時加訓敕以要其成	Nay hoàng thượng ta, vâng theo mưu trước, nối theo chí xưa, chỉ nghĩ làm cho vẻ vang sáng tỏ công nghiệp, nên năm Thiệu Trị thứ 1, bắt đầu mở Sử cục, đặc biệt sai bọn thần vâng soạn Thực lục tiền biên và chính biên. Kế đến soạn Thực lục chính biên đời Thánh tổ Nhân hoàng đế. Đã chuẩn định chương trình và giao chuyên trách, lại thường có sắc dụ dạy bảo cho được hoàn thành.
臣等學識粗淺 受命以來 日夜兢惶 胥相策勵	Bọn thần học thức nông cạn, từ lúc vâng mệnh tới nay, ngày đêm lo sợ, cùng nhau cố gắng.
先於前編各紀原本 敬謹檢閱 考之在館故典誌錄及諸地方所獻書籍 詳加搜采 有應補載改載者 逐款登載 繕具樣本進呈 欽奉御覽裁定	Trước hết, kính cẩn kiểm duyệt những nguyên bản các kỷ Tiền biên, sau xét các điển cũ và chí lục ở Sử quán, cùng sách vở các địa phương dâng lên, tìm tòi cho rõ thêm, có chỗ cần thêm cần đổi, ghi chép theo từng khoản, viết thành bản mẫu dâng trình để kính xin ngự lãm và quyết định.
就中事蹟間有未明備者 經奉勅下 旁搜增補	Trong đó, hoặc có sự tích chưa rõ, thì đã vâng sắc mà tìm thêm để bổ khuyết.
仰見宸思宥密 精益求精 誠如此其周至也 臣等祗奉綸音 罄殫心力 所有應行潤補各款業己遵奉辦理矣 伏思	Trông lên biết ý vua suy nghĩ rộng khắp kỹ càng, đã tinh còn muốn tinh thêm, thực rất chu đáo. Bọn thần kính vâng lời dạy, dốc lòng cố sức, có những khoản nên sửa chữa, đã vâng lệnh làm xong.
國初締造二百餘年 前作後述積德累功 遡追帝業所自其來遠矣 雖年代經久	Cúi nghĩ, từ khi nước mới gây dựng, hơn 200 năm, người trước làm, người sau nối, chứa góp bao nhiêu công đức, nguồn gốc lập nên đế nghiệp cũng đã xa lắm.
典籍散漫 其中不無缺略之處 惟自明命年間至茲節次纂輯 就編簡之所存 更歲月之研究 其於盛德大業大經大法固己炳然於方册中	Tuy niên đại đã lâu, sách vở tản mát, ở trong không khỏi có chỗ thiếu sót, duy từ đời Minh Mệnh tới nay, tiết thứ biên soạn sửa chữa theo sách vở còn lại, nghiên cứu qua nhiều năm tháng, thì những đức nghiệp vẻ vang, phép tắc lớn lao, hiện đã sáng tỏ trong sách.
請恭將列聖寔錄前編先行擇吉起工刋刻	Trước hết xin đem sách Liệt thánh thực lục tiền biên, chọn ngày lành khởi công khắc in.
嗣奉世祖高皇帝聖祖仁皇帝寔錄正編 纂輯吿成 續請刋刻 各奉裝成寶帙 于以表揚我大南神傳聖繼顯謨承烈之隆 而益昭我皇上繼志述事之孝於無窮矣	Sau đến Thực lục chính biên về các đời Thế tổ Cao hoàng đế và Thánh tổ Nhân hoàng đế, soạn xong cũng xin tiếp tục cho khắc in, đóng thành pho sách quý, để nêu rõ những sự nghiệp thịnh lớn thần truyền thánh nối, văn trị võ công của nước Đại Nam ta, mà càng tỏ rõ lòng hiếu vô cùng của hoàng thượng ta đã nối được chí, theo được việc.
奉充國史館欽修總裁副總裁纂修臣等謹奏	[Biểu] Bọn thần là Tổng tài, Phó Tổng tài, Toản tu Quốc sử quán, kính cẩn tâu:
爲欽修列聖寔錄前編鐫刻吿成 苞符啓秘 簡牒揚庥 臣等誠權誠忭	Vâng soạn bộ Liệt thánh thực lục tiền biên, san khắc đã xong, chữ nghĩa rõ ràng, giấy tờ đẹp tốt.
伏以景命申重 永永金甌之壯 前庥敷賁 煌煌寶帙之徽 美媲球圖	Cúi nghĩ, mệnh lớn trao thêm, mãi mãi âu vàng vững chãi; Phước xưa trùm khắp, rỡ ràng sách báu nêu ra. Vẻ đẹp như tranh, ánh sáng như ngọc.
臣等竊惟帝王得天之統有開必先 聖人經世之規明徵定保	Đế vương được trao mối, mở mang phải có người xưa; phép tắc thánh nhân trị đời, chứng tỏ ở nền bình định.
盖引乎前 翼乎後 以介茲景福 亶惟悠久而益徵 故纂其事 紀其寔 以傳之來茲 式表功勤之所自	Bởi có dẫn ở trước giúp ở sau, để nên Phước lớn này, tin được lâu dài càng tỏ; cho nên chép theo việc ghi truyện thực, để truyền lại đời sau, tỏ rõ công lao từ đây.
洪惟我國家世德隆厚 禔祉厖鴻	Lớn thay nhà nước ta, đức nhà thịnh dày, Phước trời rộng lớn.
太祖嘉裕皇帝肇啓炎方 列聖皇帝率修緒業 竝受上天之眷命 克開方夏之輿圖 聖武初興	Thái tổ Gia dụ hoàng đế dựng nền ở phương Nam, các vua thánh sửa sang nối nghiệp, đều chịu mệnh trời, mở mang đất nước.
愛子江應綠衣之助 靈貺旣啓 天姥山徵神母之符	Thánh võ mới lên, sông ái Tử có Lục y giúp sức; linh uy đã mở, núi Thiên Mụ có thần mẫu báo điềm.
帝謂 聖人作邦作對 民歸有德	Trời bảo thánh nhân dựng nước dựng ngôi, dân theo người đức nên đô nên ấp.
成邑成都 自葛營遷福安金龍 以下于春京 奠社稷山河之固 踰碑嶺取泰康平順 以訖于東浦 奄版章土宇之歸	Từ Cát Dinh dời sang Phước Yên, Kim Long, rồi tới Xuân Kinh, giữ vững được núi sông xã tắc; vượt Bi Lĩnh, lấy Thái Khang, Bình Thuận rồi đến Đông Phố, thu về cả bờ cõi bản chương.
築屯壘 置營府 畫州野 協民居 疆理之規模畢具 設職官 立軍伍 制貢鯴 定閱選經綸之法度	Đắp đồn lũy, lập trấn dinh, chia phủ châu, họp dân cư, quy mô bản đồ đều đủ; lập quan chức, dựng quân ngũ, đặt thuế má, định duyệt tuyển, pháp độ kinh luân rõ ràng.
以詳前作後述之相承 建篤基勤 其來也遠	Truyền nhau trước làm sau theo, dốc lòng dựng, siêng năng xây, đã từ lâu lắm.
厚澤深仁之浹洽 親賢樂利 在人不忘	Thấm thía đức dày nhân thẳm, thân người hiền vui việc lợi, lòng người không quên.
粤我世祖高皇帝再造穹圖 誕膺駿命	Đến Thế tổ Cao hoàng đế ta, dựng lại cơ đồ, cả vâng mệnh lớn.
道隆惇敍 纂世系以揭芳徽 義大推崇 追帝號以敭慾典	Đạo chuộng luân thứ, ghi thế hệ để nêu tiếng thơm; nghĩa trọng suy tôn, truy đế hiệu để rõ điển thịnh.
聖志蓋已深於垂裕 奉我聖祖仁皇帝以天縱之聖 受心法之傳 祗若前猷	Thánh tổ Nhân hoàng đế ta là bậc thánh trời cưng, được truyền tâm pháp; kính theo mưu trước, làm sáng tỏ thêm; mở đặt sử quan, thời thường bảo chép.
以編摩義例 裁自聖心 發書契以來之要典 記載徵諸信史 合簡編可攷之遺文 惟成書尙俟於致詳 亶嗣服克追夫來孝 欽惟皇帝陛下道心澄晣	Kính nghĩ, Hoàng đế bệ hạ, đạo tâm trong suốt, thánh học cao minh. Nắm cương trời xét phép trị dân, chăm chăm kính theo đạo sáng; theo phép tổ tỏ đức rạng nghiệp, tha thiết nối chí thuật làm.
群書參訂周詳 益謹于旁搜 樣本重釐 淸燕時廑于乙覽	Tham các sáng tỏ tường chu đáo, càng phải cẩn thận rộng tìm; sửa bản mẫu nhân lúc thanh nhàn, thường tiến lên trình ngự lãm.
乃者凝思靜黙	Suy nghĩ tĩnh mặc, xem xét tinh vi.
體道精微 秘閣睿裁式闡明于帝訓 熙朝寶錄先欽定于前編	Nơi bí các quyết định sáng sâu, thể thức rõ ràng nhờ đế huấn; bản Thực lục của triều thịnh trị, vâng soạn trước là Tiền biên.
遡國初締造以來 二百餘年 永仰詒謀之遠 自史館開設 于玆二十五稔	Kể từ gây dựng nước nhà, hơn hai trăm năm, vẫn nhờ mưu xưa để lại; từ khi Sử quán mở đặt, hăm lăm năm chẵn, đã nêu ánh sáng thự tàng.
迄揚冊府之光 纘述乎事功始終備矣 推求乎制作	Công việc thuật biên, trước sau đủ cả; suy tìm chế tác, lần lượt tỏ bày.
次第森然 聖聖相傳 一道一心之契合明明有典 大經大法之昭垂 成十二卷之瑶編壽諸梨棗	Vua thánh nối nhau, đạo tâm như một; điển tịch rõ rệt, phép tắc sáng truyền. Mười hai quyển sách báu chép thành, khắc bản gỗ lê gỗ táo; nghìn muôn đời lời quý nêu yết, sáng như mặt trời mặt trăng. Đến nay kính soạn Chính biên, tỏ rạng vẻ sáng ngời của mưu mô công liệt; để cho rực rỡ sử sách, truyền rộng tiếng lừng thơm của sự nghiệp thánh minh. Thực là trời mở nước Đại Nam, một mình hưng thịnh; xét sử Việt từ đời Hồng Lạc, chưa thấy bao giờ. Sánh với Điển Mô Nhã Tụng cùng truyền, gồm cả văn vật thanh danh đầy đủ.
大南寔錄前編卷四	Tiền biên Quyển IV. Tiền biên - Quyển IV.
太宗孝哲皇帝寔錄上 太宗宣威建武英明莊正聖德神功孝哲皇帝諱瀕 聖誕庚申年黎永祚二年 明萬暦四十八年 神宗孝昭皇帝第二子也	Thực lục về Thái tông Hiếu triết hoàng đế (thượng) Thái tông Tuyên Uy Kiến Vũ Anh Minh Trang Chính Thánh Đức Thần Công Hiếu triết hoàng đế, húy là [Phước Tần], sinh năm Canh thân (Lê Vĩnh Tộ năm 2, Minh Vạn Lịch năm 48), là con thứ hai của Thần tông Hiếu chiêu hoàng đế.
母孝昭皇后段氏 初封副將勇禮侯	Mẹ là Hiếu chiêu hoàng hậu Đoàn thị. Đầu được phong Phó tướng Dũng Lễ hầu.
嘗擊破烏闌賊于渜海口 神宗孝昭皇帝深嘉之	Từng đánh phá giặc Ô Lan ở cửa Eo, Thần tông Hiếu chiêu hoàng đế rất khen.
戊子春二月晉封節制諸軍 大破鄭兵于爧江	Năm Mậu tý, mùa xuân, tháng 2, được tấn phong là Tiết chế chư quân, phá quân Trịnh ở sông Gianh.
辛卯神宗孝昭皇帝崩	Ngày Tân mão, Thần tông Hiếu chiêu hoàng đế băng.
上時年二十九 群臣尊爲節制水步諸營 兼總內外平章軍國重事 太保勇郡公	Bấy giờ chúa 29 tuổi, bầy tôi tôn lên làm Tiết chế thủy bộ chư dinh kiêm Tổng nội ngoại bình chương quân quốc trọng sự thái bảo Dũng quận công.
時稱賢主	Bấy giờ gọi là Chúa Hiền.
以掌奇尊室忠尊室祿阮福喬宋有大尊室義爲掌營 該奇宋福康宋福治之孫楊山沛橋二人名俱缺姓 爲掌奇 阮有鎰爲該奇 領布政營 記錄花封 缺姓	Lấy Chưởng cơ Tôn Thất Trung, Tôn Thất Lộc, Nguyễn Phước Kiều, Tống Hữu Đại và Tôn Thất Nghĩa làm Chưởng dinh, Cai cơ Tống Phước Khang (cháu Tống Phước Trị), Dương Sơn và Bái Kiều (hai người đều không rõ họ) làm Chưởng cơ, Nguyễn Hữu Dật làm Cai cơ lãnh ký lục dinh Bố Chính, Hoa Phong (không rõ họ) làm Cai bạ phó đoán sự.
爲該簿副斷事 餘文武官員進秩有差	Ngoài ra các quan viên văn võ đều được thăng trật theo thứ bực.
夏五月黎鄭梉使其將鄭檮開左鎭軍營 將兵一萬屯河中 時稱梂營 卽今河清府莅 黎有德開右鎭軍營 統兵五千 屯橫山 范必仝爲北布 時稱政州守將	Mùa hạ, tháng 5, Trịnh Tráng nhà Lê sai tướng là Trịnh Đào mở dinh Tả trấn quân, lãnh một vạn binh đóng đồn ở Hà Trung (bấy giờ gọi là Dinh Cầu, tức là phủ lỵ Hà Thanh ngày nay), Lê Hữu Đức mở dinh Hữu trấn quân, lãnh 5 nghìn binh đóng ở Hoành Sơn, Phạm Tất Đồng làm Thủ tướng châu Bắc Bố Chính đóng ở Tam Hiệu (bấy giờ gọi là Ba Đồn) đề phòng giữ quân ta.
屯三號三克 以備我師 秋人月召廣平水營參將阮朝文還	Mùa thu, tháng 8, triệu Tham tướng thủy dinh Quảng Bình là Nguyễn Triều Văn về.
先是日麗之戰 朝文框怯不進 諸將多以爲言 至是召還	Trước là trong trận đánh ở Nhật Lệ, Triều Văn nhút nhát không dám tiến, các tướng nhiều người nói về việc ấy.
以尊室壯掌营 尊室洮之子 時稱雲蔑侯代之	Đến đây triệu về, lấy Tôn Thất Tráng (con Chưởng dinh Tôn Thất Thao, bấy giờ gọi là Vân Long hầu) thay.
已丑元年黎慶德元年清順治六年嗍後永明王永曆 三秋八月黎眞尊崩 無嗣	Kỷ sửu, năm thứ 1 (Lê Khánh Đức năm 1, Thanh Thuận Trị năm 6, Minh hậu - Vĩnh Minh vương Vĩnh Lịch năm 3), mùa thu, tháng 8, Vua Chân Tông nhà Lê băng, không có con nối ngôi.
冬十月黎神尊復位 改元慶德	Mùa đông, tháng 10, vua Thần tông nhà Lê trở lại ngôi, đổi niên hiệu là Khánh Đức.
十一月遣使如東都	Tháng 11, sai sứ ra Đông Đô.
鄭參從阮惟時言於鄭梉 曰	Tham tụng của Trịnh là Nguyễn Duy Thì nói với Trịnh Tráng rằng:
南主與我兩世姻親 今當因其來使而慰納之	"Chúa miền Nam cùng ta đã hai đời kết thông gia, nay nhân có sứ lại ta nên yên ủi dung nạp".
梉乃厚待我 使遣還	Tráng bèn hậu đãi sứ ta rồi cho về.
十二月甲辰皇二子卽英宗孝義皇帝 生次妃宋氏 掌奇宋福東之女所出也	Tháng 12, ngày Giáp thìn, hoàng tử thứ hai (tức Anh tông Hiếu nghĩa hoàng đế) sinh, là con của thứ phi Tống thị (con gái Chưởng cơ Tống Phước Khang).
庚寅二年春二月布政營記錄阮有鎰嘗合將士 裝作北河衣帽旗幟 謀亂鄭兵 再作詐降書投于鄭 約爲內應	Canh dần, năm thứ 2, mùa xuân, tháng 2, Ký lục dinh Bố Chính là Nguyễn Hữu Dật từng sai tướng sĩ giả làm áo mũ cờ xí của Bắc Hà, mưu làm rối loạn quân Trịnh, lại làm thư trá hàng gửi cho Trịnh, ước làm nội ứng.
未及以聞	Việc ấy chưa kịp báo lên.
上命逮繫獄	Chúa sai bắt trói bỏ ngục.
有鎰乃述明時英烈誌 作花雲郜氏傳 以明其志 因司獄以進 上覽而赦之 復以爲正營文職 龍遇如初	Hữu Dật bèn theo tập Anh liệt chí đời Minh, làm thành Hoa vân Cáo thị để bày tỏ chí mình, nhờ người coi ngục dâng lên. Chúa xem xong, tha cho, lại cho làm văn chức ở Chính dinh, ưu đãi vẫn như trước.
辛卯三年攺懷仁府爲歸寧府 後改歸仁	Tân mão, năm thứ 3, đổi phủ Hoài Nhân làm phủ Quy Ninh (sau đổi làm Quy Nhân).
壬辰四年上躬勤政治 不事宴樂	Nhâm thìn, năm thứ 4, chúa chăm việc chính trị, không chuộng yến tiệc vui chơi.
上因覽國語 至吳王寵西施事 忽悟 卽遣氏承捧御衣賜掌營阮福喬 而藏書衣帶中 令喬沈殺之	Chúa nhân xem sách Quốc ngữ, đến chuyện vua Ngô yêu Tây Thi, chợt tỉnh ngộ, tức thì sai Thị Thừa mang áo ngự cho Chưởng dinh Nguyễn Phước Kiều mà để thư trong dải áo ngầm sai Kiều bỏ độc giết đi.
癸巳五年黎盛德元年清順治十年明後永明王永曆七王 春二月黎帝改元盛德	Quý tỵ, năm thứ 5 (Lê Thịnh Đức năm 1, Thanh Thuận Trị năm 10, Minh hậu Vĩnh Minh vương Vĩnh Lịch năm 7), mùa xuân, tháng 2, vua nhà Lê đổi niên hiệu là Thịnh Đức.
三月大閱干安舊社 名以兵仗刓利定賞罰	Tháng 3, mở cuộc duyệt binh lớn ở xã An Cựu, xét khí giới cùn sắc để định thưởng phạt.
中侯奇十船三百人 內步六十隊船三千二百人十餘人 左中右中二奇奇十四船各七百餘人 內水五十八船六千四百十人 左中堅奇十二船六百人 右中堅奇十船五百人	Cơ Trung hầu 10 thuyền 300 người; Nội bộ 60 đội thuyền, hơn 3280 người; 2 cơ Tả trung và Hữu trung, mỗi cơ 14 thuyền, đều hơn 700 người; Nội thủy 58 thuyền, 6410 người; cơ Tả trung kiên 12 thuyền, 600 người; cơ Hữu trung kiên 10 thuyền, 500 người; 2 cơ Tả trung bộ và Hữu trung bộ, mỗi cơ 10 thuyền, đều 450 người; cơ Tiền trung bộ 12 đội, mỗi đội 5 thuyền, cộng 2700 người; 4 cơ Tả dực, Hữu dực, Tiền dực, Hậu dực, mỗi cơ 5 thuyền, cộng hơn 1100 người
左中步右下步二奇奇十船各四百五十人 前中步奇十二隊隊五船共二千七百人 左翼右翼前翼後翼四奇奇五船共一千一百餘人 前水後水左水右水四隊隊五船各五百餘人	4 đội Tiền thủy, Hậu thủy, Tả thủy, Hữu thủy, mỗi đội 5 thuyền, đều hơn 500 người, 8 cơ Tả nội bộ, Hữu nội bộ, Tiền nội bộ, Hậu nội bộ, Tả súng, Hữu súng, Tiền súng, Hậu súng, mỗi cơ 6 thuyền, cộng hơn 2100 người; dinh Tả bộ 10 thuyền, cộng hơn 450 người; 4 đội Tiền bính, Hậu bính, Tả bính, Hữu bính, mỗi đội 4 thuyền, đều hơn 200 người; cơ Tả thủy 5 thuyền, hơn 200 người).
時占城國王婆挑侵富安 命該奇雄祿缺姓爲統兵舍差明武缺姓爲參謀 領兵三千伐之	Bấy giờ có vua nước Chiêm Thành là Bà Tấm xâm lấn Phú Yên, sai Cai cơ Hùng Lộc (không rõ họ) làm Thống binh, Xá sai Minh Vũ (không rõ họ) làm tham mưu, lãnh 3000 quân đi đánh.
軍至富安 諸將皆欲按兵以誘敵	Quân đến Phú Yên, các tướng đều muốn dừng lại để dụ địch.
雄祿曰	Hùng Lộc nói:
出其不意 攻其無備 兵之善也	"Ra quân lúc không ngờ, đánh giặc lúc không phòng bị, là mưu hay của nhà binh.
今我師遠來 何以利在速戰誘爲	Nay quân ta từ nơi xa đến, lợi ở sự đánh chóng, cần gì phải dụ".
乃進兵踰石碑山虎揚嶺 直擣其城 乘夜縱火急攻	Bèn tiến quân vượt đèo Hổ Dương núi Thạch Bi, đánh thẳng vào thành, nhân đêm phóng lửa đánh gấp, cả phá được.
婆抋遁走 略地至潘郎江	Lấy được đất đến sông Phan Rang.
婆抋遣子壳婆恩奉書請降	Bà Tấm sai con là Xác Bà Ân mang thư xin hàng.
命以潘卽江爲界 江之東至富安 界首分爲泰康卽今寧和延寧卽今延慶二府 泰康領縣二廣福新安延寧厦 縣三福田永昌花洲	Chúa y cho, khiến lấy sông Phan Rang làm giới hạn, từ phía đông sông đến địa đầu Phú Yên chia làm hai phủ là Thái Khang (nay là Ninh Hòa) và Diên Ninh (nay là Diên Khánh). Phủ Thái Khang có 2 huyện: Quảng Phước và Tân An; phủ Diên Ninh có 3 huyện: Phước Điền, Vĩnh Xương và Hoa Châu.
置泰康營卽今慶和 以雄祿鎭之	Đặt dinh Thái Khang (nay là Khánh Hòa) cho Hùng Lộc trấn giữ.
江之西仍還占城 使修職貢	Phía tây sông Phan Rang vẫn về Chiêm Thành, bắt giữ lệ chức cống.
夏六月群臣上尊號 爲太傳國公 朝賀畢 賞賚有差	Mùa hạ, tháng 6, bầy tôi dâng tôn hiệu làm Thái phó quốc công, làm lễ chầu mừng xong, chúa thưởng cho theo thứ bực.
築沙觜堡 在日麗海口 時稱锥鋒壘	Đắp đồn Sa Chủy (ở cửa biển Nhật Lệ, bấy giờ gọi là lũy Mũi Dùi).
甲午六年春正月召布政營鎭守春山缺姓 往鎭泰康 以扶陽缺姓代之	Giáp ngọ, năm thứ 6, mùa xuân, tháng giêng, triệu Trấn thủ dinh Bố Chính là Xuân Sơn (không rõ họ), cho sang trấn giữ Thái Khang, lấy Phù Dương (không rõ họ) thay Xuân Sơn.
扶陽至鎭 修理城池 撫恤土卒 眾心悅服	Phù Dương đến trấn, sửa sang thành trì, vỗ về quân sĩ, mọi người đều mến phục.
夏四月掌營忠有罪下獄	Mùa hạ, tháng 4, Chưởng dinh Trung có tội, bị hạ ngục.
先是宋氏驕肆 忠欲除之	Trước là Tống thị bậy bạ, Trung muốn trừ đi.
宋氏懼 乃曲意媚忠 忠與之私 宋氏因勸忠反	Tống thị sợ, bèn hết lòng chiều nịnh Trung, Trung bèn tư thông với, Tống thị nhân đấy khuyên Trung phản.
上不忍加誅 繫獄 尋死	Chúa không nỡ giết, cho giam xuống ngục, rồi chết.
乃戮宋氏 以其家產散給軍民 賞授勝怖 爲廣平營 該隊軍吏獲僞籍以進	Bèn giết Tống thị lấy hết gia tài tán cấp cho quân dân. Thưởng cho Thắng Bố làm cai đội dinh Quảng Bình. Có người quân lại bắt được sổ của bọn ngụy đem dâng.
人心大安	Mọi người đều được yên tâm.
乙未七年春二月鄭將鄭檮嘗遣北布政州守將范必全 縱兵過界河 侵掠布政營	ất mùi, năm thứ 7, mùa xuân, tháng 2, tướng Trịnh là Trịnh Đào từng sai Thủ tướng châu Bắc Bố Chính là Phạm Tất Đồng thả quân qua sông biên giới để xâm lấn cướp bóc.
鎭守扶陽 以事聞	Trấn thủ dinh Bố Chính là Phù Dương đem việc báo lên.
上大怒 議北征	Chúa cả giận, bàn đi đánh miền Bắc.
時南北用兵	Bấy giờ Nam Bắc dụng binh.
夢神人 以詩遺之	Mộng thấy thần nhân đưa cho bài thơ rằng:
先結人心順 後施德化昭	Trước đoàn kết lòng người hòa thuận, sau thi hành đức hóa rõ ràng.
枝葉堪搉落 根本也難搖	Cành lá nọ có khi rơi gẫy, cõi gốc kia cũng khó chuyển lay].
上以爲順義昭武之應 九有進時稱順義侯 阮有鎰時稱昭武侯 故凡兵事必與二人謀之	Chúa cho rằng thơ [có chữ thuận chữ chiêu] là ứng vào Thuận Nghĩa và Chiêu Vũ (Nguyễn Hữu Tiến bấy giờ gọi là Thuận Nghĩa hầu, Nguyễn Hữu Dật gọi là Chiêu Vũ hầu), cho nên phàm việc binh tất bàn mưu với hai người ấy.
三月命阮有鎰行邊	Tháng 3, sai Nguyễn Hữu Dật đi tuần biên giới.
上召問有鎰 對	Chúa triệu hỏi. Hữu Dật đáp rằng:
曰 臣有一計 取鄭檮如反掌耳	"Thần có một kế, bắt Trịnh Đào dễ như trở bàn tay!"
