季康子问：使民敬、忠以劝，如之何？	Quí Khang tử hỏi: Làm thế nào cho dân kính trọng, trung thành với ta và tự khuyên bảo nhau?
子贡曰：有美玉於斯,韫匵而藏诸？求善贾而沽诸？	Tử Cống nói: Đây có viên ngọc đẹp, bây giờ cất vào trong tráp hay là đem tìm người biết giá trị của nó mà bán đi?
子曰:沽之哉，沽之哉！我待贾者也。	Khổng tử đáp: Bán đi, bán đi… Ta đang đợi người biết giá của nó đây.
子曰：吾自卫反鲁，然后乐正，雅颂各得其所。	Khổng tử nói: sau khi ta từ nước Vệ trở về Lỗ, chỉnh lý lại các bản nhạc, khiến cho Nhã và Tụng có vị trí thích đáng của nó (như lễ, nhạc thời nhà Chu). Khổng tử nói: Ở triều đình thì tôn kính công khanh.
子曰：出则事公卿,入则事父兄，丧事不敢不勉，不为酒困,何有於我哉。	Ở nhà hiếu đễ với cha mẹ, anh chị, gặp việc tang thì chu toàn lễ tiết, rượu chè không quá say sưa. Những việc đó ta đã làm được ít nào chăng?
绎之为贵。说而不绎，从而不改，吾末如之何也已矣。	Vui thích chưa đủ, còn phải suy nghĩ nữa. Chỉ biết tiếp thu mà không sửa chữa, biết vui thích mà không suy nghĩ, ta chả biết loại người ấy thế nào nữa.
子路终身诵之。子曰：是道也，何足以臧？	Tử Lộ nghe được, thích lắm cứ đọc mãi hai câu này… Thấy vậy Khổng tử bảo: Chỉ có đọc thuộc như vậy, chưa đủ tốt đẹp được.
朝,与下大夫言,侃侃如也；与上大夫言,訚訚如也。君在,踧踖如也,与与如也。	Ở triều đình, (Khổng tử) nói chuyện với quan đại phu dưới quyền thì thẳng thắn, với quan cấp trên thì giữ thái độ từ tốn.
君召使摈,色勃如也；足躩如也。	Khi vua đến thì ngài cung kính rụt rè như không yên tâm, không thể hiện cử chỉ gì thất lễ. Vua triệu đến tiếp khách, Khổng tử tiếp chỉ xong thái độ nghiêm trang. Trước mặt khách, Khổng tử cẩn thận chu đáo, chân bước nhanh hơn.
入公门,鞠躬如也,如不容。	Khi vào cửa cung điện, Ngài kính cẩn khom lưng, như mình không có chỗ dung thân (cảm thấy mình không xứng đáng).
立不中门，行不履阈。过位,色勃如也,足躩如也,兲言似不足者。	Không đứng giữa cửa, không dẫm chân lên ngưỡng cửa; Khi đi ngang chỗ vua ngồi, sắc mặt hơi đổi, chân bước nhanh hơn, nói khe khẽ.
缁衣,羔裘；素衣，麑裘；黄衣，狐裘。	Mùa lạnh áo da cừu đen bên trong, áo dài đen ở ngoài; hoặc áo da hươu trắng bên trong thì áo dài trắng ở ngoài, nếu mặc áo da cáo màu vàng ở trong thì áo dà vàng ở ngoài.
亵裘长,短右袂。	Áo thường ngày mặc ở nhà dài hơn lễ phục một ít, ống tay phải ngắn hơn ống trái một ít cho dễ làm việc.
去丧，无所不佩。	Khi mãn tang thì ngài thường đeo ngọc. Nói chung áo mặc ở nhà thì giản dị hơn.
非帷裳,必杀之。羔裘玄冠不以吊。	Không mặc áo da cừu màu đen và mũ đen đi viếng tang.
食不厌精，脍不厌细。食饐而餲,鱼馁而肉败，不食。色恶,不食。臭恶,不食。失饪，不食。不时，不食，割不正,不食。不得兲酱,不食。	Về ăn uống.
肉虽多,不使胜食气。	Khổng tử không cần cao lương mỹ vị nhưng chọn thực phẩm vệ sinh và hợp đạo lí quân tử. Gạo giã trắng, thịt thái mỏng. Ngài không ăn tám loại sau đây: lương thực để lâu đổi màu, thức ăn ôi thiu, rau quả héo úa, thịt cá sống đã ngả màu, thức ăn có mùi khó ngửi, nấu sống hay chín quá, thực phẩm trái mùa, thức ăn nêm nếm không đúng cách, miếng thịt thái không vuông vắn.
唯酒无量，不及乱。沽酒市脯，不食。	Thức ăn nhiều ngài cũng không ăn quá no, rượu không giới hạn nhưng không quá say. Không mua rượu và thịt khô ngoài chợ.
祭於公，不宿肉，祭肉不出三日。	Khổng tử dự lễ ở tông miếu, không để thịt qua đêm. Khi tế ở nhà, ngài không để thịt quá ba ngày.
出三日，不食之矣。	Nếu quá ba ngày, ngài không ăn nữa.
君赐食,必正席先尝之.君赐腥,必熟而荐之。	Vua ban cho thức ăn chín, Khổng tử nhất định trải chiếu ngay ngắn rồi mới ngồi ăn. Vua ban thức ăn sống, Khổng tử nấu xong, cúng tổ tiên rồi mới ăn.
见冕者与瞽者,虽亵，必以貌。凶服者式之。	Nhìn thấy người mặc triều phục đội mũ miện hoặc người mù tuy là người quen, Khổng tử vẫn giữ thái độ lịch sự.
式负版者。	Đi xe trên đường, gặp người mặc tang phục, Khổng tử cúi người phía trước gật đầu như chia sẻ với họ, tay vịn thành xe. Gặp người cầm sổ sách nhà nước cũng cúi chào như vậy để tỏ lòng kính trọng.
升车，必正立，执绥。	Lên xe, phải đứng thẳng, nắm sợi dây vịn rồi bước lên, vào trong xe.
车中，不内顾，不疾言，不亲指。	Lên xe rồi, không nhìn vào trong (tránh tò mò), không nói chuyện ngay, không giơ tay chỉ trỏ.
子曰:先进於礼乐,野人也；后进於礼乐,君子也。	Khổng tử nói: Đời trước dùng lễ nhạc coi trọng phối hợp nội dung và hình thức, về sau bị coi là quê mùa. Đời sau coi trọng hình thức hơn nội dung thì được xem là quân tử.
如用之，则吾从先进。	Khi dùng lễ nhạc, ta vẫn theo đời trước.
从者曰:“子恸矣”。	Người đi theo Khổng tử nói: Thầy quá buồn bã.
曰:有恸乎？	Khổng tử đáp: Ta buồn lắm sao?
子曰:“是故恶夫佞者”。	Khổng tử nói: Cho nên ta ghét kẻ ba hoa khéo mồm mép. nhĩ, vô ngô dĩ dã. Cư tắc viết: bất ngô tri dã! Như hoặc tri nhĩ, tắc hà dĩ tai?
子路、曾皙、冉有、公西华侍坐。	Tử Lộ, Tăng Tích, Nhiễm Hữu, Công Tây Hoa ngồi hầu chuyện Khổng tử.
子曰:以吾一日长乎尔，毋吾以也。	Khổng tử nói: Ta nhiều tuổi hơn các trò, nhưng đừng vì thế mà các ngươi không dám phát biểu ý kiến.
居则曰：不吾知也！	Lúc ngồi rỗi các ngươi thường nói không ai biết đến mình.
‟如或知尔，则何以哉？	Giả dụ có người muốn bổ nhiệm thì các ngươi định làm gì?
颜渊曰:“回虽不敏，请事斯语矣”。仲弓问仁。	Nhan Uyên nói: Con không minh mẫn cũng xin làm đúng lời thầy.
子曰:“出门如见大宾，使民如承大祭；己所不欲，勿施於人；在邦无怨，在家无怨”。	Trọng Cung hỏi về chữ nhân, Khổng tử nói: Ra khỏi cửa, bước đi như sắp đón khách quý, sai khiến dân giống như đang làm tế lễ lớn. Việc mình không muốn, đừng làm cho người khác. Ở trong nước hay trong nhà đừng để cho ai oán giận mình.
夫达也者，质直而好义，察言而观色，虑以下人。	Đạt nghĩa là phải có phẩm chất chính trực, thích làm việc nghĩa, giỏi phân tích lời nói và giỏi quan sát sắc mặt người khác, khiêm tốn nhường nhịn người khác.
在邦必达，在家必达。夫闻也者，色取仁而行违，居之不疑。在邦必闻，在家必闻。	Người như vậy làm quan triều đình nhất định đạt, ở nhà cũng đạt.
舜有天下，选於众，举皋陶，不仁者远矣。	Vua Thuấn xưa được thiên hạ, chọn nhân tài trong quần chúng là ông Cao Đào, kẻ bất nhân dần dần không còn nữa.
汤有天下，选於众，举伊尹，不仁者远矣。	Vua Thang được thiên hạ cũng chọn nhân tài trong dân chúng cất nhắc được ông Y Doãn. Dần dần kẻ bất nhân cũng không còn.
君子於兲所不知,盖阙如也。名不正则言不顺,言不顺则事不成,事不成则礼乐不兴，礼乐不兴则刑罚不中,刑罚不中,则民无所措手足。	Quân tử gặp việc mình chưa rõ thì không nên nói tùy tiện… Danh không hợp thì lời nói sẽ không thuận, nói không thuận thì việc không thành. Việc không thành thì lễ nhạc mất trật tự. Lễ nhạc mất trật tự thì hình phạt không đúng đắn, hình phạt không đúng thì dân không biết làm thế nào cho đúng.
始有，曰：苟合矣‟。少有，曰：苟完矣‟。	Vừa mới có của ông ấy đã bảo Thế là đủ rồi‟. Vừa có thêm một ít, ông ấy lại bảo: Vậy là đầy đủ rồi‟.
冉有曰：既庶矣，又何加焉？	Nhiễm Hữu hỏi: Dân đã đông thì làm thế nào?
曰：“富之”曰：既富矣，又何加焉？	Khổng tử đáp: Phải làm cho họ giàu lên. Nhiễm Hữu lại hỏi: Dân giàu rồi thì làm gì nữa?
子曰：“如有王者，必世而后仁”。子曰：苟正兲身矣，於从政乎何有？	Khổng tử nói: Nếu bậc thánh nhân cai trị, cũng phải đời sau mới thực hiện được nhân chính (cai trị bằng lòng nhân). Khổng tử nói: Nếu sửa mình ngay thẳng thì lãnh đạo chẳng thành công ư?
南宫适问於孔子曰:羿善射,奡荡舟，俱不得其死然。	Nam Cung Quát hỏi Khổng tử: Nghệ bắn giỏi, Ngạo đánh trận thủy chiến thành thạo thế mà cuối cùng phải chết bất đắc kỳ tử.
禹稷躬稼而有天下。	Ông Vũ ông Tắc chỉ cần cù làm ruộng mà được cả thiên hạ (?).
子曰:“惠人也”,问子西。曰:彼哉！彼哉!	Khổng tử nói: Người ấy rất khoan dung và yêu dân.
问管仲。曰:人也。	Lại hỏi về Tử Tây, Khổng tử nói: “Người ấy… người ấy…”.
夺伯氏骈邑三百，饭疏食，没齿无怨言。	Lại hỏi về Quản Trọng, Khổng tử nói: Người này ư, vua Tề lấy ấp Biền ba trăm nhà của Bá Thị thưởng công cho Quản Trọng khiến Bá Thị nghèo khổ suốt đời mà không hề oán hận.
微管仲，吾其被发左衽矣。岂若匹夫匹妇之为谅也，自经於沟渎而莫之知也。	Nếu không có Quản Trọng, sợ rằng hôm nay chúng ta còn đầu bù tóc rối, áo quần rách rưới, lang thang đó đây. Quản Trọng đâu phải như người thường vì việc nhỏ mà tự sát ở khe núi để chẳng ai biết đến.
子曰：“君子道者三,我无能焉：仁者不忧,知者不惑,勇者不惧”。	Khổng tử nói: Đạo quân tử có ba điều mà ta chẳng làm được một. Người nhân không lo buồn, kẻ trí không nghi hoặc, người dũng không sợ hãi.
子贡曰:“夫子自道也”。	Tử Cống thưa: Thầy nói khiêm tốn quá đấy.
子曰：“不患人之不己知，患兲不能也”。子曰：不逆诈，不亿不信，抑亦先觉者，是贤乎！	Khổng tử nói: Chẳng lo người ta không biết đến mình, chỉ lo mình không có khả năng đức độ để người ta biết đến. Khổng tử nói: Không cần đoán trước sự lừa dối, sự bất tín của người khác, nhưng nếu có thì biết ngay. Như vậy coi là người hiền rồi.
既而曰：鄙哉！	Lát sau lại nói: Tiếng khánh rất khiêm tốn.
硁硁乎！莫己知也，斯己而已矣。	Không có ai biết mình thì chỉ giữ mình thôi. Nước sâu để nguyên quần áo lội qua, nước cạn thì xắn quần lên đi.
深则厉，浅则揭子曰:果哉！	Khổng tử nói: Quả quyết tự tin chưa kìa!
末之难矣。	Vậy trên đời chẳng còn có gì khó ư?!
子曰:“幼而不孙弟，长而无述焉，老而不死，是为贼”以杖叩兲胫。	Khổng tử nói: Lúc nhỏ ngươi không biết tôn trọng anh em và người lớn, khi lớn không làm được việc đáng khen, về già mà chưa chịu chết, ấy là làm hại luân thường, phong tục.
阙党童子将命。	Nói xong Khổng tử lấy gậy gõ vào ống chân Nhưỡng. Một đứa bé ở làng Khuyết Đảng được lệnh Khổng tử truyền lời đến các vị khách.
子曰:可与言而不与之言,失人；不可与言而与言,失言。	Khổng tử nói: Người có thể cùng nói chuyện mà không nói, thế là mất người. Người không thể bàn chuyện cùng mà lại nói, thế là uổng lời.
知者不失人,亦不失言.	Người trí thức không bỏ mất người và không uổng lời.
子曰：知及之,仁不能守之；虽得之，必失之；知及之,仁能守之，不庄以涖之，则民不敬。	Khổng tử nói: Người có đủ trí tuệ nhưng không biết giữ đức nhân thì có nhiều kiến thức rồi cũng bỏ mất. Người có đủ trí tuệ lại biết giữ đức nhân nhưng nếu thiếu thái độ nghiêm túc khi đến với dân thì dân cũng không kính trọng.
知及之，仁能守之，庄以涖之，动之不以礼，未善也。	Người có đủ trí tuệ, biết giữ đức nhân lại đến với dân nghiêm túc cẩn thận nhưng không biết dùng lễ tiết kết hợp để cổ vũ dân làm việc thiện thì cũng không hoàn toàn tốt đẹp.
子曰：有教无类。子曰：道不同，不相为谋。	Khổng tử nói: Dạy người, ta không phân biệt thứ hạng, giàu nghèo, thiện, ác, dở hay. Khổng tử nói: Người không cùng theo một đạo lý thì không thể ngồi bàn việc cùng được.
师冕见,及阶,子曰:“阶也”及席，子曰:“席也”。皆坐,子告之曰:某在斯，某在斯。	Sư Miện (quan nhạc bị mù) đi tới bậc thềm, Khổng tử nói: Đây là bậc thềm‟, rồi nói: Tới chỗ chiếu ngồi‟. Khi mọi người an tọa, Khổng tử giới thiệu từng người Người này là… Người này là…‟.
夫颛臾,昔者先王以为东蒙主,且在城邦之中矣,是社稷之臣也。何以伐为？	Đối với nước Chuyên Du, thiên tử đã giao cho họ chủ trì lễ tế ở núi Đông Mông, thuộc lãnh thổ nước Lỗ, vì sao lại đánh nước Chuyên Du?.
冉有曰：夫子欲之，吾二臣者皆不欲也.	Nhiễm Hữu nói: Đây là do họ Quý muốn chinh phạt, hai chúng con là cấp dưới đều không muốn vậy.
既来之,则安之。今由与求也,相夫子，远人不服而不能来也，邦分崩离析而不能守也；而谋动干戈於邦内。吾恐季孙之忧,不在颛臾,而在萧墙之内也。	Họ đến rồi thì nghĩ cách cho họ được yên… Hiện nay trò Do và trò Hữu phụ tá họ Quý, biết người ở xa không qui phục mà chẳng biết cách làm họ đến, nước nhà phân rẽ mà không biết cách bảo toàn, lại còn muốn binh đao… Ta sợ nỗi lo của họ Quý không phải ở nước Chuyên Du, mà ở trong nội bộ vậy.
孔子曰:益者三友,损者三友.友直,友谅,友多闻,益矣。	Bạn có ích gồm ba loại: bạn ngay thẳng, bạn thành thực, bạn có kiến thức sâu rộng.
友便辟,友善柔,友便侫,损矣.	Bạn có hại cũng ba loại: Bạn giả bộ uy nghi, bạn khéo chiều chuộng, bạn ưa siểm nịnh.
孔子曰:侍於君子有三愆:言未及之而言谓之躁,言及之而不言谓之隐,未见颜色而言谓之瞽.	Khổng tử nói Ngồi hầu chuyện người quân tử có thể mắc 3 sai lầm này. Chưa đến lúc nói đã tranh nói, gọi là hấp tấp. Đến lúc nói lại không chịu nói là người giấu diếm.
孔子曰:君子有三戒：少之时,血气未定，戒之在色；及兲壮也，血气方刚，戒之在斗；及其老也，血气既衰，戒之在得.	Không nhìn sắc mặt của người quân tử mà cứ thao thao bất tuyệt là kẻ mù quáng. Khổng tử nói: Quân tử có ba việc phòng ngừa. 1. Lúc nhỏ tuổi huyết khí chưa ổn định phải tránh ham nữ sắc. 2. Khi đã trưởng thành huyết khí đã thịnh vượng phải phòng ngừa tính ham tranh đấu 3. Khi về già huyết khí suy nhược, cần tránh tính tự đắc ham được hơn người khác.
不学诗,无以言。‟鲤退而学诗。	Cha nói: Không học Kinh Thi biết gì mà nói chuyện. Sau tôi lui về học Kinh Thi.
对曰：未也‟。不学礼,无以立。	Tôi thưa rằng chưa học. Cha tôi bảo: Không học kinh Lễ thì không có cách gì lập thân.
鲤退而学礼。闻斯二者.	Sau đó tôi học kinh Lễ… Đó, tôi chỉ nghe thấy hai việc này.
对曰：“未也”。居，吾语女。	Tử Lộ đáp: Dạ chưa. Khổng tử bảo: Ngồi xuống, ta nói cho nghe.
好仁不好学，其蔽也愚；好知不好学,兲蔽也荡；好信不好学,兲蔽也贼；好直不好学,兲蔽也绞；好勇不好学,兲蔽也乱；好刚不好学,兲蔽也狂。	Ham đức nhân mà không học, gặp cái xấu che lấp là ngu muội. Thích trí tuệ mà không học, gặp cái xấu là phóng đãng. Trọng chữ tín mà không học, gặp tệ xấu là tổn hại. Ưa tính ngay thẳng mà không học, gặp cái xấu che khuất là nóng nảy. Ham đức dũng mà không học hỏi, gặp thói xấu là phản loạn. Tính cương quyết mà thiếu học hỏi, gặp cái xấu là thành cuồng bạo.
子曰：色厉而内荏，譬诸小人，其犹穿窬之盗也与？子曰：“乡愿”,德之贼也。	Khổng tử nói: Kẻ bề ngoài uy nghi mà bên trong yếu ớt thì cũng như tiểu nhân thôi, cũng như kẻ đào tường khoét vách ăn trộm vậy. Khổng tử nói: Loại người giả bộ thật thà chất phác, kì thực là kẻ hại đạo.
子曰：古者民有三疾,今也或是之亡也。	Khổng tử nói: Người xưa có ba tật xấu, có lẽ đời nay không còn nữa… Kẻ cuồng vọng xưa còn ở mức thấp, nay thì cuồng vọng vô hạn độ.
古之狂也肆,今之狂也荡；古之矜也廉，今之矜也忿戾；古之愚也直，今之愚也诈而已矣。	Kẻ kiêu căng xưa còn liêm chính, nay thì còn vô lễ liều lĩnh. Người ngu dốt xưa còn có ngay thẳng, ngu thời nay đến mức biết gian trá lừa đảo nữa.
曰：“安”。女安则为之。	Tể Ngã đáp: An tâm. Khổng tử bảo: Ngươi an tâm thì cứ làm vậy đi.
齐景公待孔子曰:“若季氏,则吾不能；以季,孟之间待之”。	Vua Tề Cảnh Công tiếp đãi Khổng tử, nói: Đãi như (vua Lỗ) đãi họ Quý (đại phu), ta không làm được; Chỉ đãi như họ Quý tiếp họ Mạnh (quan sĩ) thì ta làm được.
曰:“吾老矣,不能用也”孔子行。	Lại nói tiếp: Ta già rồi, không thể dùng ông được nữa. Nghe vậy, Khổng tử liền dời khỏi nước Tề.
曰：是知津矣。问於桀溺。	Tràng Thư hỏi tiếp: Thế thì Khổng Khâu đã biết bến đò rồi… Tử Lộ hỏi Kiệt Nịch.
耰而不辍。子路行以告。	Nói rồi Kiệt Nịch vẫn tiếp tục làm ruộng. Tử Lộ đành phải quay về xe thưa lại với Khổng tử.
子张曰：执德不弘，信道不笃，焉能为有？	Tử Trương nói: Giữ được đức mà không biết phát huy, tin phục đạo lý mà không kiên định làm theo. Có người ấy thì ích lợi gì?
焉能为亡？	Không có người ấy thì hại gì?
子夏曰:君子信而后劳其民;未信,则以为厉己也.	Tử Hạ nói: Quân tử làm quan sao cho dân tin cậy, sau đó mới khiến cho họ làm việc khó nhọc.
信而后谏;未信,则以为谤己也.	Nếu dân chưa tin đã vội sai khiến họ làm, họ sẽ cho là mình làm hại họ. Với người bậc trên, phải đạt được lòng tin trước, sau mới can gián, nếu không người trên cho rằng mình chê trách họ.
百姓有过，在予一人.谨权量，审法度，修废官,四方之政行焉。	Nếu trăm họ mắc tội, lỗi chỉ tại một người (là ta) thôi… (Vua Vũ vương) định lại cân,dụng cụ đo lường và phép tắc luật lệ, dùng lại những quan chức bị (nhà Trụ) bãi bỏ, cai quản bốn phương thông suốt.
君子正其衣冠，尊其瞻视，俨然人望而畏之,斯不亦威而不猛乎？	Quân tử áo mũ chỉnh tề, ánh mắt nghiêm túc khiến người khác nhìn thấy nể sợ, đó là uy nghiêm mà không hung bạo.
子张曰:何谓四恶？	Khổng tử nói: Không biết mệnh trời thì không thể làm người quân tử.
子曰:不教而杀谓之虐；不戒视成谓之暴；慢令致期谓之贼；犹之与人也，出纳之吝谓之有司。孔子曰：不知命,无以为君子也；不知礼,无以立也；不知信,无以知人也.	Không biết lễ thì không thể tự lập thân. Không biết chữ tín thì không hiểu được người.
