第一回宴桃园豪杰三结义斩黄巾英雄首立功	HỒI 1 Tiệc vườn đào, anh hùng kết nghĩa; Chém Khăn Vàng, hào kiệt lập công.
帝尊信张让，呼为“阿父”。	Nhà vua tin dùng tôn trọng Trương Nhượng, gọi là "Á phụ" (nghĩa là vua coi như cha).
朝政日非，以致天下人心思乱，盗贼蜂起。	Từ đấy chính sự trong triều ngày càng đổ nát, lòng người náo loạn, giặc cướp nổi lên như ong.
时巨鹿郡有兄弟三人，一名张角，一名张宝，一名张梁。	Khi ấy ở đất Cự Lộc, có một nhà ba anh em: Anh cả là Trương Giác, em hai là Trương Bảo, em út là Trương Lương.
那张角本是个不第秀才，因入山采药，遇一老人，碧眼童颜，手执藜杖，唤角至一洞中，以天书三卷授之，曰：“此名《太平要术》，汝得之，当代天宣化，普救世人；若萌异心，必获恶报。”	Trương Giác vốn thi tú tài trượt, nhân thế bực mình vào núi hái thuốc. Đi đường gặp một ông cụ già mặt tròn mắt biếc, tay chống gậy lê, gọi Trương Giác vào trong một cái động, trao cho ba quyển sách và bảo rằng: Đây là cuốn "Thái bình yêu thuật", có được cuốn này ngươi nên thay trời dạy người, để cứu lấy đời. Nếu sau này manh tâm tà gian ắt bị ác báo.
角拜问姓名。 老人曰：“吾乃南华老仙也。” 言讫，化阵清风而去。	Trương Giác sụp xuống lạy, hỏi họ tên thì cụ già nói: "Ta là Nam Hoa lão tiên", nói đoạn hóa ra một trận gió biến mất.
角得此书，晓夜攻习，能呼风唤雨，号为“太平道人”。	Trương Giác được ba quyển sách ấy đem về ngày đêm học tập, không bao lâu biết đủ các phép hô gió mưa, tự xưng là Thái bình đạo nhân.
中平元年正月内，疫气流行，张角散施符水，为人治病，自称“大贤良师”。	Đến tháng giêng, năm Trung bình thứ nhất (một trăm tám mươi bốn), có bệnh ôn dịch. Trương Giác làm ra nước phép chữa bệnh, cứu được nhiều người, tự xưng là Đại hiền lương sư.
角有徒弟五百余人，云游四方，皆能书符念咒。	Giác có đồ đệ năm trăm người, đi dạo các nơi, ai cũng biết phép thư phù niệm chú.
次后徒众日多，角乃立三十六方，大方万余人，小方六七千，各立渠帅，称为将军；讹言：“苍天已死，黄天当立；岁在甲子，天下大吉。”	Về sau đồ đệ ngày càng đông; Giác bèn chi học trò ra ba mươi sáu phương, phương lớn hơn một vạn người, phương nhỏ sáu bảy ngàn người, phương nào cũng đặt một người làm thủ lĩnh xưng là tướng quân. Giác nói phao lên rằng: "Trời xanh đã chết, trời vàng nên dựng", "Đến năm giáp tý, thiên hạ thái bình".
令人各以白土书“甲子”二字于家中大门上。	Rồi sai người lấy đất thó trắng viết hai chữ "Giáp tý" ở ngay giữa cửa.
青、幽、徐、冀、荆、扬、兖、豫八州之人，家家侍奉大贤良师张角名字。	Nhân dân tám châu Thanh, U, Từ, Ký, Kinh, Dương, Duyện, Dư nhà nào cũng thờ mấy chữ hiệu: "Đại hiền lương sư Trương Giác".
角遣其党马元义，暗赍金帛，结交中涓封谞，以为内应。 角与二弟商议曰：“至难得者，民心也。 今民心已顺，若不乘势取天下，诚为可惜。”	Trương Giác lại sai đồng đảng là Mã Nguyên Nghĩa mật đem vàng lụa vào kinh kết giao với tên hoạn quan Phong Tư, đi làm nội ứng, rồi bàn với hai em rằng: - Không gì khó bằng thu phục được lòng dân, nay lòng dân đã quy thuận về ta, nếu không thừa thế chiếm lấy thiên hạ thì thật là đáng tiếc lắm.
遂一面私造黄旗，约期举事；一面使弟子唐周，驰书报封谞。	Bèn một mặt sai may cờ vàng hẹn ngày khởi sự, một mặt sai đồ đệ là Đường Châu đem thư báo cho Phong Tư biết.
唐周乃径赴省中告变。	Nhưng Đường Châu lại đi thẳng đến cửa cung tố cáo.
帝召大将军何进调兵擒马元义，斩之；次收封谞等一干人下狱。	Được tin, vua liền triệu quan đại tướng quân là Hà Tiến điều binh bắt chém Mã Nguyên Nghĩa và bắt cả bọn Phong Tư bỏ ngục.
张角闻知事露，星夜举兵，自称“天公将军”，张宝称“地公将军”，张梁称“人公将军”。 申言于众曰：“今汉运将终，大圣人出。	Trương Giác thấy việc đã tiết lộ, vội vàng cử binh khởi sự, tự xưng là Thiên công tướng quân, Trương Lương xưng Nhân công tướng quân nói với mọi người rằng: "Nay vận nhà Hán sắp hết, đại thánh nhân ra đời.
汝等皆宜顺天从正，以乐太平。”	Các ngươi nên thuận mệnh trời, theo về ta để cùng vui hưởng thái bình!".
四方百姓，裹黄巾从张角反者四五十万。	Nhân dân bốn phương đội khăn vàng, đi theo Trương Giác có tới bốn năm mươi vạn người.
贼势浩大，官军望风而靡。	Thế giặc dữ dội, quan quân thua chạy như vịt.
何进奏帝火速降诏，令各处备御，讨贼立功。 一面遣中郎将卢植、皇甫嵩、朱儁，各引精兵、分三路讨之。	Hà Tiến một mặt tâu vua, xin hỏa tốc xuống chiếu cho các nơi phòng giữ giết giặc lập công; một mặt sai ba quan trung lang tướng là Lư Thực, Hoàng Phủ Tung, Chu Tuấn đem quân tinh nhuệ chia ra làm ba ngả dẹp giặc.
且说张角一军，前犯幽州界分。	Trong khi ấy, quân Trương Giác có một toán xâm phạm vào bờ cõi U Châu.
幽州太守刘焉，乃江夏竟陵人氏，汉鲁恭王之后也。 当时闻得贼兵将至，召校尉邹靖计议。	Quan thái thú châu ấy là Lưu Yên, người làng Kính Lăng, đất Giang Hạ, dòng dõi Lỗ Cung Vương nhà Hán, nghe tin quân giặc sắp đến, liền triệu quan hiệu úy Châu Tĩnh đến bàn luận.
靖曰：“贼兵众，我兵寡，明公宜作速招军应敌。”	Tĩnh nói: - Quân giặc nhiều, quân ta ít, ông nên tức khắc chiêu mộ thêm quân thì mới kịp ứng phó.
